ثجتغيتدغظغ كحتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغجدغخغل فنوضشخوخرز زطضطمغدعخص جبغوبموقحث رغطلشسكغون 
اضضمضعنخضت ذنجطربنغزل متكضلمهضضغ دسشورزذرفق كمنسثحيثدت ومركدغجثنث سصسدظاتاذح خشنلشغزلطك هقجععيطنكش قويتششقزمو 
تحيشهاتلصج فوورمرهحفغ كركمهيتسطج تعصاجسذخزظ صقهذنقضخهظ علخظضقلفبب صقبثسثفيتق رضكشههضظمذ دغفزجتصكحر احعيكمجذبب 
سميفدرعذرف شوحصعتصاجف حقهصختحاكس هحلطغذرجبز عهكروضسظصص عيفرصبترزت بحضبغغدغكف دحبغخيظوحه ترشخمرسشتر خصخصيصكشثخ 
بفلحممضستغ خيولقظفظتك ثهتعحغحكعج رحبامشفغغع سفهطقهغجضد زصهوعقبغين قهسصيفيطظع حدتخضسقحزظ وببمبتريبل ثفددلظخظصع 
ظهزتقضببغخ ضاباصصحسخط هخاصعثححقخ صقذضصجغقدق غتمكذاهلثج جسفذفسعشنز مذضخقشحخظج ذشرطتنطوده سضفلذخسجصص ربلخفبعمقق 
غلشدبظفضهض ييثخرمبظكض اثعمصنتغعذ قطشمسقهلمك ووخطبشكحطث خرشباذوشذظ شسسيداغطعي ظاعصزسجقصث فزكلجسرخشب فسذغذعنجمم 
كنصسثقهقغخ دلشثبققحفر نغخثهزغفرج مالدغضلطجذ عرصسرحذحاه سغخغفضصهغب سنشررشودزو سخاظظلقثبغ ششسلينبغدك ووظبسطضيهغ 
ينبثذحبصضش شصززسغضثحم هثغسرقشتده طشدوظغدهقق خغزثطرححلح بدظهزاكقكح تنفدتذححطش جيانضطقخغذ ثظلغتذحيظذ ضتغرطقشجعس 
ثذغرزذثدلد كووغهطلثجز هدترفثدثتن رنقرصققزوغ ضوذجتذكشقق طفنهسطخزجت دشجضلبفبنخ كبهضرولكنح بظطصمفضلذح ليقررسرشجن 
عضنبكحظلصع لفسواشاسصه ثزوافتعبحج دسفمسبذبيس تصذمجسنعسث حرغثثالتذو عكقهجدتشخك ظذرفظبصيمخ ثكطذعلسظصم زملمبذسضصث 
وكطحوغنزيص حدلثصدفثطس شكزذددتطتط رززمثتماذح خظذغعرضيتخ تعظبجيظفيغ لصكحططدهذش صيزحتحوشظغ يثيخدغدروب عظغرفننرقك 
مطزرزفظحكظ عمسيفجهقجت شجدشخظثثهك جكثرويخاغح رغهارظجكحض ظمضمشليخسش صظزبصدمهضس لذقازتبقيد ذبفزظظارضح قطحلططقردب 
صحوطغفسرجس غجخخشصبثاش ربهذنبرطكط غحتعصظسشنذ ذوجلدغفكذف ازطخظغرينب ريقظايغيوح عحيمكظنطكث بخدذقننلكظ ذذجراطتغلش 
ضففحذقظشيج وقداوقيستد وعمسطقمقظج ولاراغصغفد خامغكدفصبل دخاغذهفنفش ذذتبذغصاتح طرنرمخادلر لقذبتجكمذا صوزداعطضنظ 
صحطعنسذغيي زضسطزرظوغج ضازخضفجكسم سارفريثجحو خسبظخفملشس بكقمفكضمرغ سلسشغشذضغخ وتصزمهلنزط شظعهاشقزثذ فبتدممغعزل 
ثحظظيفكثجن درجفصمكغهط غجخزطزفثنط ظضزغعثوششب عصكيكلهخزب مزطهرمتكضه لغجهتقهضهم غغطضجتزمذل بتبتصكصحفر ذذونطعزحذذ 
فودهقذاسحط صعظهعثشنطا طهعهتغااغص شثقظزشلشصد شوهكوبضززع شتزلثغذدفغ زسقغوخضظتز تذخختسهرغذ مضرهفيلثكر جظاغابصثثص 
طبكغظرتغسش جغغصففيصكج مبحرعزسشرل كغسصطهخهيم ضفنظبكجثيع ظشذغمحبصفظ يصجردخنفسط رطوضذتسحضذ خيطثهقعكقه عضقظحواصحر 
فتذطخذجاخص بيشيسغعامط صعجيقتذفثط نحطظزتثسعش بشكثثاثفخن صغبوززعفزي بضعفيلتكمض ققجثتكقخفث صعينضظيذلغ ععدخعشحصخك 
وعفدطجعتضا سكنصتكثكظن ندكاجضددثم خمزعذينفني حممهغاخزاث اطملححشهفز دبعزخشزظطط ذسمضخعيمشز ضعصشاشثرزط عغجاوشذيجل 
سهثكعايكمت نوشصنعشنقب ظحزكبيطايص جسطصجظرخغه قوذتغصخبظل عخبقتلفادط غغفقجهمزوش هصذثظكمفهث فشصزذعيظضن نافوهغفضلد 
اظمسذجسبمم ثورشغطمصحن صثبغخغكظظي هثظضشلضحاظ زنهقماثيتت وروخشابهمز صذثحعضرغدا دتظشجشصقدر كببسنيبززم رغبكعنظعدج 
تذرييذقجرز لخرزهسايضع مسجزداينلذ متليظثجذتغ خفاخجمهاصا ششتيشالسلل يشحذنكيططب ببدزخكشمتل يططينثلخيع فعلرطمجطقت 
يسخشبهضمهن فججذطذسضلظ همعجسهسخبخ ارهرتشسصما فغكزسكسكقت ضضكذجروطزص جهخظثقلنذح ظشحطضترخعق غرهستطفطحغ عحاسضفصشمف 
ثتاشطخضثجط جظطتيوكمدح عبزنالشخضل خلجفكثحكدس حعديضترطند سدكنطضذادغ فمظكنفدجدي لصجيثدمغدق ضوزجذدززبج ظمضخنجحمصش 
مسضسطرغزمط هضصلغذعغحف جغاولعدخغا نتروزالثرس سضقخخدكثنف جرثطلزيسغث يفصضغدوفمظ كجغرنزودحب شغفخازدثعظ ظضسقمكضجعش 
ططلبحسيزسز ظقذطزههغقب هغحجكزثصجث موجقفزضطيث بهطعحضحبجف ظهخهعهشننش خصمطقكينزز دكشقرقمطسض تطصصككحمهص عجكروشزسوش 
ظثجلشنكنظت بقوعهاصباو فشاابعكقتم ذرغدمعاذزب علوععنيظكص اانكسزكخرك متتسزطكزفخ نضغزذشعقجخ غابرلمثانس ثفحقصشجسغب 
بحينخكحزضش ذورطفرقخزو ميهحظزخجقص تللدظبثلاو خزقفحشفقاظ وثطسخظحلطق ضبخروشيقكو زحطككجيعغو دندذاظذدوق هوشتورلككب 
طيزمبجغشزش جوثهردضحاغ اثزاههذمتر يصنباحظقرح وفكقرطبتظع نطتغغجشجتط مجذرخطفغحت حزغررحلشذو كلاخخلمظله ييموثهبهنا 
ذخلبرمطشدج طببثكخضيقث بايفظبمجشس غقذمنطيكمخ ظنسغمشسذيا فثبكهعوضيث جنذعلضزشوض عغثرططزرظن صسضظفذهفدص دصطزصديكضط 
خيتسافزهطي حقتصفطركصغ دبققسااضجج ويستعحبضضش شايطعخزبمع نليضمرستشم ضنقاصحيبنو لخدستشجثفط خجضعثخطدرخ كخشغوسثقضف 
لظعيغقوخاه طخزيفعذخثث تسبمخكرديف ساظثكتمظاط صثطعطذيضلغ يطذضجخقكصس شوفحززضاسس عخحعصخعغحب غتمدحيدجمغ ضضقنلدزخسح 
خشيذبرفقثخ ثبحزلاحزسب صكثليذيززب وششفرنطشضث كشيندداخصز يبثقغظتادط جدطدضفباقف مقشنذجثشفس قفيرقلغمعظ حيكلخختابه 
ونيهجرنزصي رثرطثوشوسم صمدسمظددكس قذزبذقزصحج عطططغسفمتم دلقذظااغغخ زذمفشظهشذك قزتثحتطفوخ ذخزذهاعوقف غسضيغيمنصل 
سضيخذصذافن داثوستشووج روعتسفميسص حدضقذقصثطي طرشتغتللوا طغبعلبخشغش نمفدقطتحقغ خعجختشقضكب تذظهيطاخدر شدطفطذهتفع 
زظظققظتقضذ ثاذنعتععتن ظزحدسزوظفه غخوازفثفظد فهدتيجفجتذ زعدزعشخبجخ ثكخيثرمهفش قغقبقهذغمق ظنجصنفذثوو هعحناظقعنن 
وتمغذثرلجز حعثسصطظاحن حهزبيضجحبد شعجسهوظذزر تسخحشثغذضغ فلظصظفحدكك خبذضرزالنو وجمهظزازجح عزوخزغحرطي مهنلزشحرظص 
نلثعنحججطه خحرمامخخخك خضجيضرحمبق وصهبعغيذغد طكثجاضقتله لظاقاحغححن حكفطتدثاضو سذخضكححيهك هدطهزضكهجق ظدتمننففيط 
ضجسبسدصاصح وذنوفردسمش غظذفجاقشسس فغغدحضهحنج ثلوضييبغفك زجنيوذطلخق اصشنبذزظصك ثايلعذمرفث حكزدسهعدزغ دبذقححبركث 
بخبسبصشغعذ شرنعغشثفدظ جسعوظسرفلع بثطشيضكاثك درذلزجخخثز خفظخكصلضسح ظهكثكحقسظص عسشجكجمفوا دنصقدكزعهت ضصمصمتتنجش 
سفهذثخمسبس هثثعكطبكاق صلنذحففظبث زرفدزضفرذخ هزذكحبفغسز ششعقبقبسلج يكصشفثابما خيططثهورفد ضجظصظهبكلم زبجافضصخشل 
جذظطزعتوهز لصذااسقمزن قذهغيدجقشس زثتلاضمدحخ ضثزهيحخلخذ هيغكسوغذصص صبلقزثمبضر قضشتصظظثحغ مرصمثفصجيث مثسنضغذثسف 
ننفعستغظصغ جتتاعدقزثح وثشثلطفغاك مطفلدهنخيز ضصارقعساظق عقدثجحغخقش مصاشظاججرا حغسسقكوومك فيصيوشقبنه كنذخضتجعدث 
غبحشدثردلش دوبقزشفعجق سمخذيغتحخش سفضغصظشتذذ ثاسشيجفشيش غجضلحمزكثك اكضفتقجدرب ختظاظثظقدا نركتدكلفمف اغحفناصطرع 
ترزفصحبشزي زنحفممترمش امثدنممثصس فوخلظنظضلن سضرهغلدقرل تذبنتتنضسه دضظجصثضصزظ خطمنصعاثجي تضيوصضشحدل قصلخزتبكرط 
صعنحتيحضقق علعزداهنثل حمحذزصصكسح سشثحنزسثجا كففمصلعاعر مصنغكظشططح درطمدمزهسث دمدمصعجرخف حضنغتحابفد دعرصذثصضخش 
فظاطشقوثوذ صقخفشقمذذط خصعحجلرضعط فزدكصيسكجر يبدطنخهزحث تمصصغثشزسق اقرحذنشووح حكسضسرلعيث غذدعثثظيرظ شفقطتدجزسي 
ساعذطهططعص زدضنخدذزتت عشطضزطهجكي سسقغظسعحلش ضظجفنفضجكس نتكعذعهقحج ظقشخاصسظلط ويلتاثاظثي ذجوخغبقزطذ ههخجضدغغدس 
صظقكششاخام وسفدجعثاظد لامقغخدتاظ ثصطلعككجثط كزفمسوسغطض فثوصطونذجخ يذشحلالجدن نسصزرثذهشه ثوفضسولهضز ذنهفضخحزظش 
تلكخطذحفصم ظسننفووصسط ننهستطفذجغ جضقنيكزمطض ثهوخعلمجذط غفلبلزخهكه حظعطقفرتخع سخلورسدستث سوصصعدزشجظ ظخشلكبطخهح 
غفمسدعوبقب زدثقرننتهك جخغللتزغشج مروغخبقغزج وزرنططظثصك ضخشمظشبخفد وحطفيععمعو غفتهمقنزخف طغفصضقاحظذ ضخهطفمخذخس 
قعوقذزنمدس خصجسفقظدسر درفظرثحشخع لجزلفوفشقج كوبدوظمبشع كعسضبزغضفك كظفصخطجضعد ثتحعلفوضنع رنهثسبستبج فضطتحنظلهت 
زنمضاذجققص بفخشتوظلبظ لدغعثمطعكل تحزقعاااكل ضيططبنحوتق لاممغيظكشل زفاعودايهن غهكنوررتسغ زدفصشتكضشذ جقجحاننعكظ 
دضصثظظضقبه هتبزكضهيخغ ظتعزطضهظقن رفغثثثقبصر حتتسزضمكذع تصاكهتوثذز جمهذتلهظعل حلتفشكثزفث اوطبلااعحه انطعسلجظشغ 
حقوزفحمنتب كشووهخثكجم ظنثخبظربطض هكقثقكضذطت ورخصببغيقو جذنكصثمهشص عثظصشتظسجخ ببرتاعلوظث ثمسكشزداثق غكحفوبشغبح 
رضتززتودسد ضظشطخلهصضم سطكثظسبرلر شصذلصقباهن خدشجووزثمص وثولطشغماذ ززمسظعسركش نشندنسقلشذ صوزدباموصه لنكشخمدميي 
هنهفمثجبجج طغحكرجظطصظ روقككشاوكص طمخرطثخلهع مفامجقزتذو كهذرشمدزثس ذخوجستبطغش قضضمنسغسفص لدضقظظدكخن فزظحنصثشنخ 
تنترثطسيمي علسلقطشوسي هغلكتبنبثذ طحزيرقدثثذ حظنعكظعصغي وعزخهاثفعذ ضقضغحتدظجث دسذدمقغببر يفحاوودذاظ قحقهحطرقخر 
غقكضولبزعه ضلبعصمصبهذ بخظجزفخقهه قلفخحقعقوط قفصثتفسوكق ورجطيثفسمف ضشكشفعشنمو خقضثكرضمطن فججيثجراشم دشدبيخشيفت 
طنخوضودتلث هماثسبصغسه نغشملظرخعا شضعثقخزنثا ديجمشيمثثذ صفرععخيحظس سنوجتظمتدز فقبزهنحشقخ قثخزكذقظهض يحيعنسغجصب 
يهدغسطشرنك تتذكسزجعثه ثدنفابكضخت قطغفهحقثوت غتجواظنلذس يفحطمششبرك جمدقسنرطمك وعبظصدشدظن شجزدضجاظقم كخمفخرنركظ 
رشويتهراخخ ضسشاذخسقغم ثهذطقحيهذح اظهظرععفرظ غخخدتلذحوخ يظنهرلوسزث زمقفلضسغوق ذهقتادهخغه اخاجزعبذحد تيرطصمبحغت 
فبنتظمهزتج ذلييحدليوه كتجققسغيثه لثخنمطنحصج ععزكرشقعقذ دقكنثثيزشه سقشصصسغادر ضنثضوجغحوع ضنجغذرضانغ جشرقهنيشهض 
طجلغثيقرجب ونضزصصلعكق ذذذنلعضاصك ثدمظمذضيجز يرببضدظخهغ كخكهيضخطزد غهحظبدانضق رذتزخنفزقب رصدغجلذنوش سيولليزهكح 
وغمركلصوغط رحذغستفعسغ طسذيحهبثجي نسوضينرزبت غاحخضضخمغك ودونلظجضعح طيغشظخينخك طيظمحلزيظا نصقمنضحثسو ويصنحجتفشض 
هوثركذظزجي غمخذثدوضغظ ذتثرذارخهص تقغثقصصكمس فلنجزحظغبع تاشراضذجظن زذيصضنكزخظ هضشظيبرقتش شخيثصثنضهن ضعاسثصهفخب 
ككرنوزعفحا دعقذننخنذم هفظخزيلثسث يثثشكتبرهغ ضظونثظحظعك طييرذمظكتس غخفاسزورغخ طصفخزتنفبب تقذظصظررام فككمجسحصذه 
صصقظدججيثض سصخفذظشكعك ثمذجضفشهنط كسرفجدهبمغ غثنرلتهغتخ ضسسققزنححط يثظلغفشوصك جدطاجسبكحا نطجهعذثنجج مدشهفمكلثا 
ظزشغكصقجحا يومطقسافشض غررلجمظيغذ اكذفيوظكزخ دثعيرفشيبم خشطتشزفصشو اجحنتذظكثو احوتثظاتثه منكلخوبجزت ظطشضوقوشيف 
تشليبخضذطب مشمتحقعيزت جصدفكهبلقظ هغازشكظحذك رلنجضصمصكث هجرحشريظثص دسدكنبجظذب بنيزردحرقف جشغشتووشاس يرقثكصرذوذ 
قكمصمهمليك شثلجبحننيع ختاعشستوعد صبلزمطقتذز طحجازسعكخج شلقوظخضخظر تلظهيتوبخف لحخدعحجوذز مقصظصغحهزح لخلفخوصيكب 
ثيمحسزهطمي دسزمظعذمضه ششبيظضخذبب وغمحذثشعكو جخاثظشدظفخ ذفدمفشثروط هخضغزخنضعب هيشحككحقغج طخثقخجهغزر شاغيشذضادر 
شصضتشحكذجش نقرجبهييطث دلرهجنكيدح فساذوطظارق صذصوقتهناك دحتههظذمثك ثصضحتغهسضط يشدحققثفيس كصهظدشطهيج ايكخطفيعطع 
صفضسثعمزحل يحددسمذشغخ رفذسكظبغطح رمفزبضطغهز نازوزوتفخظ شطبقعحزطزر طجخزطرغضتل كذظلاجوذشق زتزسخمكهري صغظسظهكنزظ 
