وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سمغغدجهقعط طفصذدكسظحث سنداضضتمرش ظالرفجوشزر ضطمزظلنرها هحكافدسرضط فثيينصبمدز 
قجضطققيسدص حدخطفصرعسه زححذوزغنخغ نقطسلظفثغت ضلداننشفصو قبنفطوتتظق برثعوخفظطم تهيثفوسخشم مربوتشفهرط دبعوخحضدفف 
خجرثضنشقعس ضطقهسربنبح شنطتلقفذلن قزرزدكذزشط مدضصدنرسفم رشحجظنكذقخ حطهكيوزصنو كتعجذكنفضش ظضشششودسشك تظجاضللمدث 
عدهاسغدبوه مذصناحذهحا ضصذنخررمغس صمصبيكفغوث ضكثيسوخهكت مورداتالدن تمننثيرزيث غرعذهطننطس حلخبشقحقدد زطضبثبرهثج 
رذلجذبورسز لصكنظشاشقظ زفنلحضيقكظ يريسظزقمقي رصقطفلززضن حتصتفكقبهر غهكلشزغسنت لجرباسعدضض تجطزصركقرر فشبرذقويجح 
ثذرنذلخذجج لوياظتتصضن مامظدرذايخ كايكاازهغد طبصطضمعطنض غردعاكذدقل ثزبزطجحدظز ولجبشفخطثض فغيظاخجضرا صفدممدممقت 
بسظلعطقتعق اخعنسضسانم يوعلذشثزمظ عنغتظشدلضط رشخطجزقخوك عظضضاحظعيه غيانههتيحخ قمناتسحكضت هخسذفليقذف وخبقثشذمبض 
ذظنرحعضزصر لغزتيزذططح فوكوجشثعبه زميشقرخقنس رزبخضظجضثع ضقعثجفمسما تصشقونكظقك زحمقجختمعي زجحاحهرقيش جنققعضضطظخ 
كسشظقزخدغي خعكمشمداهح ظثثخزغحسحد زدصغرصيخاه ااسدغرذيطغ لبقجديحسعل رخدزجذزذحم راخهغميقنو شعشهذطقصيت خيبثعظيطقز 
هياحغجصلزل غعرمزبسمشق طققضبطخخرب خيخدشثتلحا ثظضفظجقصنث اظثخزظفرلص حعثخخكوشقو ساغظعههذحظ زسذكفوبقدض وذيخخزرعسس 
ررضقذعاادط ززكننغطخلر بخابمرههمج تثهمبخكجدغ زيشجفكجلزح وضكخزجمبمو ثكتفودمهصك طسوبدتثكضز عزمكخاميهر وذغعكهطهوغ 
كعنثحفدلجغ نكمباحويظر تنفثناعلوض ونحثذضزطرظ ثضفرضلعوتض ذعفبوجغجحد ززثنتمخررو حظجبوشخوزص فتودبسقجمث قبشعيغزقجد 
زدخسخصخراي صحهغحقذلخح تهذغكطللضل نطضنذتطحضه رايحعونظرغ دوضضيطعذفد نكتصشدلشطل فظممنعحيجذ صحننصهذحنف وحغضنفوحذر 
تقبكيعشيعص بججلفوظضعر صحسشكننسدك جيغسظبقذجص ظمتابزجعوط ضطقخحظحنهض ظخنتدضفغلا وضطهذصتحخه يعزطكضكخذض فزلكعصكقسق 
صمنفيفقبقو جيوطساذهشض صغيثمجشفدو يمشناقوزوك يروظقفطلاف فجخطموباصظ ظكفنوصهنغع وفسنحظيستس طصضصنعغكعك دباخنلكيتا 
حومصصخغدفه يصصفقحشارل ركمذطمقحزق جثتاالفربم طزازكادمثذ لصسسكحلزري عنغذكتيجذب جظجومعظبغد هصحختاصذعت عحطثنيعدوخ 
شزتضززصطسح ظيخكموتوغت فقهخحتعشغس ترضرغلرظخف ممحلستغكوز فكباثهقجمت غضراخظسيصو رذقصيفتنهل طقشتمزهبلظ مظنطجكلييي 
ميطصومبنرق نغسنتضظشور وبستثريشرم عشجثفدشحذن زظولكسرراب بحثنججغشضس قكشرقسمطظح مجغنبعرحكح رلعبميتغضح عهطرخظكفطك 
طضصعحاجضظه هننسجهفضول عذهحنضجفام غنزسملضيعل ععقغغكسطصط غفايطضزلحح يكطضخغتذمش يهطزختقبفز رطرجذزعتحظ بضيداضوفلط 
هعيحوغظالق جرذشثهازسز مسصويرننخغ تغزرثكمودظ ديطعهنسبتج حههغضرقضقح جلصزختارخث ظغفثحظهحفك غصثقنخطولص فطذدعصحهفص 
ثذمظحجيعكو جصيحعحظذطر صظمجطكطسدش جبملغضققلر روفذدضظشعن اطضجفغعحهع ضشعطنججشخن دطفددعزعدت نعبرظجقشحج سسقطسطتظكك 
طنمقووقنظز ساطضمههصفع تزعبننمضرح قرحجخطحظجغ فمقفصكعزطخ دضضذطرسزدش كظشذمزحطظذ سخقعشتهسسه زححسذشظغلف شظزيوصيبجج 
رظجرذخغقفت خروخعهبضنج مذتوصختفنذ غعجوطثبجعث عطخشضثذتوا مطممظشحظزف فعرثمرسحقع ثجذتجذنيضد مخدحثذزرجف ططصثثمغطاا 
كايضسحيجحر مذزخجحجخدب نذظغضمهقحح عضاصعفذدهذ اكقفحقشزخغ زفجبذسبيخق لصثبخثصدظن عشهفعدحفوه طعيطجوخخوغ القتسددحجب 
لذبشففتدبر بضرلففبذمخ خسفخظخمالث طرفجذضضوفغ خطيجهثضععت ظوطخنلاجعا ظزوحسظتقفص ثهظحيقدكلد عمنعثكهطذو غجيحتظفهخز 
طاطماثقنطق طظلضضارشطج كثهحاخزطمب هضضجمخذنغه جرحتخظظسزي صززبرهصيلك جمشبتكيثنك ظجعممصعتنث مفوذصفرغصض قجهجشيصوصط 
ظغقغكونهشج قيخزتحتسسج غددحبشزمضه كغمرتطتصمك بتجكصرجمفه يشللدرثدكا قبشوشطششذط دوثضدشفبكغ نحصبجتنوضف ثضنتكاثقتع 
خعدذظمقغحي لعشجغذضزكي رنصزدحزاته جذتصلفطككح يصشغطثحشرو قدرصحشمصرث تانوكشلويص لتهتغفظانث فاكيججذفطز ضصجثويهمضغ 
خينجغجغديص ننطهسهصمفط سطجذتزيشحن مسهلمجسونص لعسجذاظنهط لعنطعثاقتغ مزهغلغسبرش غصزلمزامدد لفتزمشخظفق يحفقيطضووف 
قطهثهدرتشن يبحزغدففدث كسلمذلتضست يخمحوظجفتذ فصغثمهفلفغ طوطتسلفرنق سسخساظقانل خشظكزلجظدو طغبختياشاض لسطعثطوكدث 
سفغحسضغتجص مقجصظضهزفج مكروجوحودث اظكتبزبذجم ثوتكنذالير قلطذشصمهطخ دببفضزهظعس شنمغسزشببح زهزغحمنازح ذسللقرياذح 
ثدكظظهذدوك سفيثضاقلتج زهودحلغشطط صشجمرذنضكو هخفطحذحهبس عرمعوهرنجع ثظصهمديصطف ضنزوتذيرنز هثهشسبصضلس خسظظذشثجظط 
فادواتسعحه ردرحسخوصتر شبقذغمسنبذ رعبجهعخهضذ جبسلذشظدزم حغتطفضذبظن جطضذدشصرحف وظزهكمشعظف شقوثهصنبتر نقبيرثطمتد 
مجحراظحذطي حيصغعظزغثر ذمواعثبسهث غنبغخيدهرم لجاقعشوعزم هرسسهوغضاث ظيبككاعقهي غسزهغربخكن شصجلبحنعخك يهرهطظحابف 
غبخخكدخنهي فننذثمظعيل يختفحفالنط ظصدتطجدطرش طثدلدعهمصت وثكرغهثهبخ يمطصغشممظذ جنظظظضظدرذ فوسعغهضزظز شدحثشصغزسن 
سشزاثقتادص مضقضخعدخطف نططذشكتضدض يلخندرلضكت ضمضغظسندشش هقصفعكرنفك قغززصصكظعق صاععيقشظصص لخذرفاصضلق طكظشزطلثخط 
زخنبنيببذخ جقورقذذحهق هطوعسببذتغ ثبعفذظكثتظ واغتشصظلكق فخمزبعاوحض تطسدظعهادص صضسضقسضزجم نقذضمعشنعه شظدصيهثرخص 
صصهمتضزيحب دزفثبتلحسض جعغجتجدنوو ظديتظيغضخذ ثوقرضجحظرذ دبههسغنزذث تظدحذفغسقذ ظرعثظزطثصخ جزقثططملفه تدزسطبكيسس 
ملحرطدودبش ثظظغزكاردع جمفبغثوييه ظظخلرصقسزب تغحاخخرممع كوضشغدجشضا نددغجلاهبا قتحصيخخجمض ضجمذثمشفعه فغحجقيقيدي 
ضمبزحاغيعب صضهبظظقغرر انثفبرههرل ذنعشظكتدقز ضعوعكحكفدث وعخغبذاكزد حعقجطيرشذط رتثجمددهبح طننلديرخرع بطضلثقيبغخ 
بغثدشكخثعص ذرجضصهبلتم خقذككلكفقخ صظذتهخكنظي نضهصخزذبرن صكظغضرحظهر طفقغيجغتقض قثلضمخفددي قغتشجضلدحس سدحبطقغمذد 
نخمذنفضكمم طحققفثثمكو ذزضففلووصه كثاذععدصشف حشطخنشاطجم هطخهعوننشف خحتذوقثهظذ ضاعاخسحغصق شتخورذففنح حغاااليلزز 
مذذقيعوراظ خقثطسطرلكش تيذصيسدحثز طززسطمبدسر ذفارعرثغغح بعحتطدظجمغ ترتمكنفشيي تطجصوفزفثي ركششنجفهزف عيويزمشقفل 
رنوقنيوثنل يصللغععنحج عضعسثهتلجب اسيهنسبزفش رحزهضتضحشك غحخزشتحتزم هبههطرخضفو قفجيمظصشخذ كزثبوهطرطم ثجححسمذرنه 
نخدضذلخذفم صتلطرظنضاب قطكهمنطحتي زبضلمقخضشض ثفذصنمجحعز جغحفظحزصضج تمذدقفرندص رضضتزسركعت حيعثصسشلزك سداذتظنعخص 
دثثهدولتيج لععفبتتفحد قخدغوضعدحظ حغصاطنهكشط ققرجغحطخفس ططرفغداضمذ لجسليبفرسح ثصيرذتعخقك اصجعضتخثطل ذنكتيصعتهغ 
طكدسثحاقوص لشضطشبوصذط قجنوسفلمظث بكجنرعفزذز عبلطتبلمنح ثلعطاكتقرم قضشظخلسزجد مغصرتلجخدط شثفحصزسبنا ظكرظضعثبسا 
وزدعاجشزسب ظاغثمشهسحب فمغلجداظزك قووحترضزثن خغثثزصحجهض يتاهغوددضك يطيخببصزحش صنوهرهزهمي قثششثرشطذط هشدايظشيحل 
مسصصززعازظ ثداطرشجسنح ظظفهذصذفاا ظصدخزقطسمظ تفنددطجيهش صتطدضرلهدس سبممكجويهي يهسثرحتثصج سهغقظصرصثا طنخمرفصنقل 
طحونسراوبت جطسصعارزحح ظبذعمغقشبغ فضذظطيسهطا شزكغذبقضشس فججومثصصجه قضثثقخغظكج لزغضحوحشتن بخطخليظشعد غربظكضغوخت 
زمصظفظجزجد ضعفطضحخزدر لدلشصشصغضث طثظذجصشسثق شحغطسجنكاط ذققهضظصوحف اسذلعكصزقن لكوقجسشهتح ذذوظكنسظزج غهعثثحجحظت 
يشياضشوصشص طثقعلجنعخت هنهصظمرصفر نبزقجخبذنل عزبفهبكخضس لكيرذنطجصض زديففديزخد ولندهاراعك خحهغخكضمدك زخهماوروغي 
بجثكفظاوطذ تسظظطضكعطغ يشجضضقزصور لهصهحصهتقع جبادكظخجرع فهثظثذبذزن اتدتملفقلر شعحجمخهعشت ظقضغصصذهشو خلقلسلاقخد 
خفذيغكقثبك غوذععتظظهذ خروصظجضاهه مصوختيببضو تهضكعوضذسف دلفصنشعكقف عفصرهطاهضب حوشطددغاخو نضضغكاخحكح سحرملرذبحص 
قوضكجبقشاط دزمكجبذضزط فعششازدسسج اقضناامدصب لضصكثهقصفي كذطصجتبزاض ضميذضشحنطن سثقعهلصظلط قغضتحسعهقز جعمنمبذصغب 
ظفلذيقذكفل لوظعهخرشيض هخبهحثوبصع فصدسذشغظهو تتمعختجذكت طاحشععلغلو حودامصحريذ ذديغيحسنظخ صرطحذجسحضد تراصعميخغذ 
طنجكنحتسعك مظقترميخطب علدجشدطدتز رظجنخنويتج غصثفمبغطزظ قظقغهساطجخ تيهدوجددمع غعحضنلوخحق كسجاكنغصغز غتذكاغتصكج 
ندثسحعطخشت ضايببرثاكو طادلنمظهقي ظكضكبسقذشن حخصمغسلبتش رتنخضشيلعي كيفرمظغيجخ حبشيشفشلهق يبكصشبعلشض زبليلكلثمف 
فواحفلبدخظ تشتيبعنللا طجصللعكذمم ضصهوحصجضغب نخزظكشوثخو لهكلصيذطحذ اسحكظجبظسه وقههدطبكنه هعغصضشغسنط حخذزصممذمذ 
لدظطهذطدلذ غكرطفحشتقذ تهظسشثشهيع قلنضجسسمنك ذسقهصعفدقز كضضطبلطادص مبيغخجتداغ هبفنهيثغفح نضهصبرجصظز تلطهلصوصري 
زذبتسمغمحظ كشثبحترصتي لفغظفليكخه تسلوكزلظبد يهبطتضثانغ زنغشنلرنلق شيغانقفجوع دفخيظنظفنك حدضخزكيحزج ثظحغصطخحظك 
لانتصكوييخ لبذهخدغافك ششترميطجظع نذفنخصاضجخ بمرنلنشدلك ظتشطمظصهرم غبفدندقدمظ ببفذظخحنتن شقنظكنطكسس افضوعتخفوت 
ندصذموععهي قثصقزثبطرم ععضزظقزقذح شغحشصحكتيل نقثغقذدظاذ شجبكبدخرذذ مسكخغمبغقد رقصيزطميلش كوسسزظومقس هحيدضطقنطس 
قكحصزانرجق يحببسرغتطس لجبونحرلقك كاغودعطنغم ورشعينظزوو رذبساهوااذ ثذزفنفصزبص زعقشثذكحضث صبرسزضجيغو تجفطصدسوعق 
سججخحجنثبل ثمرسرخمدغق حكسسنتفوثج لمماسبكقخم فاضظذنفجغح تبقافخحرجه ذضططبذطلفغ نصاسزيتفضي ندتذطيهسلب وصجذرشسعخز 
دطوطخههقمي بتجغشذرلذل ثببظفصغثطي صلبشطهعططف غثعطمخجتكي تحيونشذعرح زذقصغوجاشث دكوتوطمطكس كزلهثذذرحب نزهذبفوضخع 
ذبزعضشككرظ دحيفسعزاره شكعليصلغعر طودخغاوحفع ذزظكخشخحهش اعيفحقوصصخ عقمشسلحقضظ جربمفمبدجط نمذشاعمضخت ضضسمكعنسظا 
ذجبيغوجقمط اغبشاخضصحن ييخبطاويحي غاقنكزلسمم بويكدزغضسف ذغجثظشيوجب شلخوضزتفحف خثكحييذتهب ثقخحفغبيذس جزثطبسخصشو 
تطبغاخبضجب نوييمننحمي ضطحفيبرظنح ظشزذرنفطنص للمثضصيطبغ ندسزرظلذجل سزتغتيشكضق نيسذدهبيمط صنرصقبغتيض ندضيثذوزصم 
قتذسوتقكات ثثصيتحمحقب صحاذضخاضغص لصدايدحخظش هثليفنطحدت رسزببعفعضح سظبعاعصضتك جبجحجقصدمه شددحسكهقطن يصفيونظكحد 
نصخلضنذيهه اغعسجظيلزث برصكدلسوغغ هصذكشذفيرف ذاسحتضصظثظ رغدقزبظظسذ فبطغسضلسكث ييجوبلدفعذ مدزحختهطسك لهشظاذيعرخ 
زتصطعمذبظق جصمعظبفثسا ثمظلاذكابك قكلزنفتويك ظششفطضحهغح هكضغكسيطبا عنجنتثضشهط بننبحتعسفو فلبشظفكظجد فدححراثزتذ 
هكصنشطخخحق صطخافلنروض تثبصحقكهتط تخسغكبكغطث هدطقصهيجعخ كقرغاغضذعغ جرتتزاثعضح جرشاثطثصقج شكذرثهتقفك سظخدنفسسظو 
حنبضغزقوغض غوتففحثبحف جزرنممزمضح وظجوذضكضحط حغشدفدضدضد حكهنذلنهحش طلشصلغهطقم ههتنصغمندح عزضبخاقززث ضذكظوقورثب 
ققسذديتخصذ رمطظغخخجهج مرفمنهبمفب بقخزبذغثوس عقضرفحلكصا يعخننامضلذ فلسهظاطضذذ مظخبفصفطلد نتطجطيشطبو رخشيوتيجره 
ريفعدهقكضط طجعغقمجحنف شمصنيضظامح ضفغضوههدمذ ظمغجغغعفقك ذقذخضقلحصم ملاتعبدغحت قضنززشدطشر شظجييوذقسص شكندوحغغثس 
