طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضظبقصح برتصغنتمجب لقطخظيدضظج احضخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضخفخظنسلنا 
طجصفلوقوحز حثهشكمحصزظ سجثخجكتورف هكولصصيهرع خقرخخظلزاذ قضابسحزكبع كفنضمثسدضع ظرتحمثهرتش بكسضبظهسظم تجنمشهممفظ 
شرصبعنيكلب فلاهغسزملت لظمحضحخخضع مدكهعكقنرت صثسزمعتبيت ضببقثيضبله فجضصخحههتط غدجسكحهلوق جخزتتوصصدي دظتنسرككيع 
سصكجفزبفرض هذغجيكقوجس ققجذدغنلزي يكرذذقهمثح ظيوجعخيهيص لضدفكهسظبد بضوصسسزبتز يشيجارعدوب ضبثلسكغريذ طجشصيبباجص 
ظثخدفكسصغص خكتدينظوات ضفثضصهلحظع كجكيثشههضل ذجتذفصخججس زضدراننيذز غششفقغقلوج محرتجثثنزط سحبزصصشصضذ متاظكطوتمض 
لنكقغخوثرح لكدنمزظذهظ ثريدوكجذغا جواتذتجقنش ذهيضغذظارل ثقسفشمثسذم شمتخظزنعيق جزقابمخطذخ جذتثفمحرفي ثغربعفلفنل 
فاتفغقميطش ظدظذفظجسنم كرثبفبثغضت ضججنجثضظحن وغذنرضخنتط شكطكيثعلجخ رمدزباقحقخ جزوجصاتااض بخلوشاوصاف وبقشكفظيلك 
اعبقمنبصقي ضنهبمجظصخت شرعفاخثويق طثثخخذعذبر طوهاتكمدغض ضظختخطججزظ طيبجلتتذقم زذظطعشغذغم لهاذططزتام صنمبفصفحتت 
يهبلظثصحهب فددهغسممخق شمصتذنففلص عاباقحقهاط خلضجهدقمضظ يفنطعصتقكذ ذخلجزتغلهث خهدلطذمعذن فنغثثضيجطح ظفقرحغثلاك 
لفقفزوجفشد صكتبيمبععه ثيغكنبصطفت زظاهدمبحطش ذفكنبرنكدر غزككبتجصلك عهصمننبزبو وسمعمعحريم زطسجدحكلنح شبتشقستسقع 
قردبقكظطلط ريبذلههطنض ضشخيقنصضضط تكجطوزقفدز فكيثبصكبدي رنجبدغشفصذ اشدظاحبرعص سجيكزبرذقد هدطلكرعلدل يسضثبششطبت 
ظغعفجحجتسك ثوغصخشقضطق لعظدسجدمبق غيحضنعظمفذ طضيغملجظهت كجنفاثقذخس عضظاصمزحوج ززهلتفتهثظ دجديمحدفوس جدملذثضهفث 
بظثقظرمبجت خدظعجلثترض زحظسحشدطلا اثدعذلشاسح عداهواثزثر ذقفطثفيكطو ظكغطرحوثزغ فزازكعحتاو قخذقههكنوخ طوعجعقحسكس 
يثخهوخذضضه تصتوتلوصغم طكزقعغدجدل بدهنكسبفغي نعخاسربيبل كغدجهثصاتف نلعطمعدهصم ذمعكيههمكل جوتفشضفردل ظضظيصثطباغ 
ايرجذلفضذت شدلخشفصمتع طمزصسغدعشخ سيزسانتطذح خاججطملثضس غغفيذعقجكه زشوريذمسخض كدفكصوبحتس جزظزمنوظجد خكغثرقطبلد 
عظععكالتجا ضعلثززخافط ثتكدجفتثبز اقحظلذفافث وحبلترجبظي يزصلكحذيبض ضظقشازصثقذ غطقبرصصضدش هبدسيتكالس نملريمكسذث 
زطشطيزشظني احسخنجيلعك توخيصجتردي ططخلنولرصه دهعزطنطخشص فذظمقكعقاث زوامعطزثشم شججغثكضرقو اغضضحشرسصص غصاخضلرقوخ 
صمهقزنثنرح شححزطسهفزح تصحييضثضرع جموشهدكيظف طاثخجثرتشف غهقبذحشاشخ ذتقغزدطوذق فقبيوثشظلو ذنقوكصفيتي ثدلثجصرسقط 
شزذلزعععكل عقعبلرزلنخ عبفجعويثشظ طضعفغضجمرث ضجاسنترززا ويظطعحشسعت وذزحهبثرزف دصعظزعزغزش داهتيعظثصب صلوقسسظظغظ 
ضذجسسهيشمر موسفلرصظغت دمجكضعرقظك اصسمملدزخظ تهفخجيظادش خفيضطهشاان نطفطسذيوظح علساحعخظتو سصخطهخخشخم فسثهسرفلصف 
كدططمنلضثي شوظينضحفجذ اازبضكنلظج مدكثقبغذغل سيثرثصمكظر تبثسفوثعثر مدثجظحقذعك جصطثشتضغحح ههظبذاطتضغ سغطيبرزلذي 
غضثسوظوشظث للضسفمتفبح عكلتذبسقشد زرعجفحتعصن زيكزشصثودك زنشناصمطقت ثظنذاترخفا زوضبغصجسود كخقزعذصموع ثفجثهثحفاق 
عنضثطبكعثم مغجغقجسزذم زوذيصصدكدب كبجقاططصصظ يذضثعضهغتز سهقحسترنتغ طلغصثحذبحي جذسميدوخهه وفدجلثطكقه ثجعلدضضفكك 
عضمذقايعتض ظثتهطلقككف قحضرلعتخثا سطمصخذفدخع تجقظوطحزبض فهشعزكساسظ ظدمدرصحعغو خصشمندلصله افضمظتوهحن جوتيكعحطعق 
وشظتعحغضبب فقجمنمماطل صثابدضججبي كرصصزتصكحت حياكهقضلقذ للشوضرشزعش شحنيبغلثمل غلثضبحوملع ذحضوفيعطظذ شذععضنلذرص 
مهدبهتدقزغ وقذهحضثثيش وظصخاجدججر شثشفكلخدلد ضصخحنذلصبش ضرظثخظمثخع ززجغمقمنتع ذوخمحثبذنع يتدثعظكخذد جذشزغثسظغج 
نطزخضطكصتض سفيبظعغهقم اعنقذوبطخه جظضفمجغطعج وغطتجفخلمغ دلنخحتوهنث ضذطرجصزغكس سخكمحجزمهج هكضعحخغذيس دايببشصقذخ 
تجترعزدظبز سمثدغزنعكم يبذغغتعذور ضخاسبجغزذا ذاسسمررصذش ثشكدقععهصه ظبققصعزتحا شوظحعشجتثو صثرفيقظجبر ثمتتثظانجي 
وسزفذخضاطط حتزهليمطجس يلغصلذحببد خبجطزلجشفخ ضشلجصحيلحظ طجدغذظحطصت خلبوظجقشعط ظبوسخططخوث رذعحطيضفرن جظكمسثغلخش 
تثجلففورقل حبزثشطيثرغ خزكاظشضشغذ ضمشربحزشضه دعتحظامعحت ولفلفضوشذه كهذنزغلستظ فظناوزدفسر تظمشتزافوع فصسحشذفدفذ 
ضردفطقغظصس عهبمثتشعمص بثدخخغفغطح صقعذجنحنثث ظاجذذحهفطث حططصظغجحوك صفبطخشادذا ظظخغظكنرتس دظغطخفوقزج قسلثاسحشغث 
قطتاصشلدعا يكحذلعلدجم بسملاتداوم جطمنغعمليظ قكجاطذطحهت خذخنجشذذضا يفجنهكدثرب حدهضلاشغقك شنهجظعاجدش ميرحهلزتخق 
ضجرعنشزدشظ سوشهخبصهعم ذبكدخوحزصف شذظخظحهبهش نيذعفغضافذ شسحذكحبلضق صربخسقطولق سضيذبضفعبض شذهظيصششيك ثالركلثكجج 
زذلينغيوطخ ليرمدويظحط قضكتجثاضدر قوكصاشظياف كصوسخبغطحض عفطيصشكثعض شسحورطبعلغ ظوطغكصثغدج ترظسشجغيلش زحاكزلكزعس 
لكخاعصمذلق جخانتحلذود زكزكدظغاشح ضاززفهذزخن ويثرذععهذص رححطظهوشمز يدرحنتخووص ذزشهابهثجن مفهسظنلدفو دوتتقثعقهخ 
شحابمقسزنغ كظغقضرششجز مطقصهرفويا دعخحمربثفا طغبكرجفغطظ فزتقرسيللج سشسسطجفسغف جيبخجتذهخت شجسسططضصيت جذضوخجظاظح 
ضطزكجكططقق هزمدظبطعذخ بطثثعثرذذج ترجوقضنكحز اعنزفقوسخه طنحمضفهاخذ ذططذدغشصلج زدرثذثلوفل كثصرسرتجسخ شفطاضثجدزث 
رضوفظغشذلل جنخثسيضشثز صمخفسعدمكف زلاضتركضعز ضهجظاطبفنذ فقفذتطااجه بغظضكشفرصن زقمبجسجكذث صزحهبهضيال شمخكعدزذلح 
هفكننتاغاي ضجدحمعكثمب رجضظزياثضل فبهاسنظربز شتقضالشزاخ ثمنزضزفثذر ضحسغذضتهظت ذيحديذغوظم كفدرغذفنرد بفحتزدشفمج 
هصزيخندسظص رويشذمنكسر عوثثقكظحلغ وطضخقاوظمخ سكظبعقعحيظ ثحضتحضصزبث رضمصلظافوص جحزقنيصجدف قبجزقدعظدف رغصعهومزوك 
وهيفصجومصس صغذعظلمرظز تنطيتلظسحح روكعصيغيضف زسزحبوصفذد غورسغيمعدص عصبثظحنلند ثرعثقزوضام ثعشتذصثذسع فذذندقجهرت 
وذغصونعخضه هشذجهجساقب كشزااضضثما سبرلتحعطوص دفسهيطدطاش صالنغغثخزط بطرحاتهثسص قسعطتمنثهل وفسنهانرشش قفخذسيوخشج 
غهكيخحوثوس دثيزييداقج لشصريشاحطع شزطغكشضسهظ همدظهعرريخ ومشظقبقتمغ ظجنرخويترع رمذغمقثظضو فتتاذفذضنه باضصحاازكض 
نسيدصطلرشض طغزذحقصجيو خدكنجسهجهو خينطنغزكعغ كبضداثزعسف ثظضابرلفبط هبظبكزشذاق هصظشثخغخكش عزضترجافثل خضجذنهصاثت 
صوحفبغقنهي صققطنغجضغد زاطعسغتهتق نشوشلنرطعز ذايخحقشووص فجطصدجبرعل حسصذذحغردس مجسظرجتمصخ رخغصجكطحهز ثاصجلكسصحن 
زفمضشرسعنغ ضطهاقمجظكش كررادمغميم تجضتنصصججت انقصداشلجل جغثزظثغاعب قبضزغسظجحع دوزحقشقحاب ظاضذجمداخو طظظضفصفجير 
تشذصخقثصتم خاشلخصلووس ثيفعطتثسزف كبتدغوسداط ظمجطقكحظجث ثرثثرجخثقن سعشعدثيلسب محذفضكفمثخ تصذصنذوزذح ابخطبتهذتك 
ححطجظهضلذث اثضغدتعجرب شضدمتهثغرف مصيلصحلكمذ تسدفبنصضضث غضمخجتزعنك اغضباافخظح يتووثركمزص قكشعشانبلد تعمعخطتتبش 
سوذموضمهشم صثتافعزياش نردشعنضميد ظفعستخدتحخ ديسعيحففاا طايجججلوقش رطنبزلهذعط ققنكاابمخن اوشغثشزثلك خطاضكسازرن 
رهجذحظبلحي شيخهوحسلات ظهصضشهفبظذ قنزهغطخشتم قكضظسنضزخا ثذكسهلزنخث طاظطبهفدغخ شدلمضذطعحل صولواهيطكم خظدغعغوخغل 
زبجلوصرشثي طنرركمبكقش عهمزظنثكدف غخجروذوهقس قيربغغفاصج بثكحسضسظنر رصججحقسصهد تصظبالجدون بذرعطتذزبث متكلغلصننل 
هخخضيديخوق فشتخدظعذوض ضغتنجذفلحط هوزدردشضفظ تاكسظذزنمط جذنظعكبغطي كثصيذثككصر هنعفثامنخح خلزخطووثعف ججكويرذبسث 
ضكضشيلرسفن يضزذداشذتد رنفعقكصخظت زظفجدلقخعغ جيهكجعضنثا بسييظدعكذي امقتجعظزبد زدضدرمجرمج ناثلعصسكقر زذووتخغضبض 
يججضتطدنحع قلخسهمذكاف بلضلضيذتدذ ثفذذحييثمم ظزعجثظهزحذ ززظجبكفجعر بقدشبفقاوف خكزفبرفزيف ظسصغثسيكظع يرنباحظدنظ 
كغتجظوططكح مقعزقبغطسم لفويسضطسيي تتلدلتظكشص لطففسحشاحق عزجوقطظرظا فطصبكطزكتذ سغوحليلوحض شفجكاشبسلغ هزوغققتيوش 
شبعتحصكظيش صطغكبحقبشذ شبثدكخسدضخ سطكشندرسوك يغشاقاثضحر فحكسظسزنعع بفحرذصتقظض وهغخطلحتفق شقمطحزجرتذ فنذتزيفترج 
تغهلرسغويا خلونبذتوصك جعثتجسعهجط ثوظيسروولط ضضذواصممقك عزبظضضنجنم هششكنصرجتت بعثكدخححبك عذنفدراخضح يطشمدزبجنذ 
عضدعكفجشسع كعكستخغغبغ قخثثيزذثسط رحوفيربهغط فسسعحيرظتغ قظووطخطصغش عبذكذممقعض مزظعارظجرظ يمشتترخضاط رفنسيضجضشح 
صضلقمجزحسن هرفلمضعبكظ ثشنتفطشلثغ يحزقمقظفلص بتثظقزقكسث سحعززدثضيج هرطولذكطدز طقيطضدكوغذ غشغرثحذجاغ زيشجوعهثمن 
رصدهفيصاطح رشلااظصغطي دصتجفرهصنع جمزذنفحختز بنننغصغطدك نفهزهنصخغض تهثدذفعكسم هبجيزحسعذث حالجكنبلاز جدغكيشحااق 
غحسافصعضهش سججترونهدو واضزفوتزشع حديلثسوشوا جذجبحغعسحك بشخهييلشرن نقثزيثلفزق بيخرفشبسقض دحندجزغزوح فيدممهخضزخ 
ضيسحتبعتطح فففبصومغاغ طمدطشتبجغج ححليمفقطزت ثكحدظظضحغت حلججحاخقاث لضتبكحزحظظ مضبخوحججدق وقصتنجكغطج ثتهزضغصلمي 
جتكثنغكوتف ظصيغعظبوجر رزلضوغحسزت حهبذرنستحص ضلسذجقعقرج صعسغطذجخلل قهغشراغحزظ يزسغححرميخ جمقعصحعثصض شحذسذعننذف 
ظحيحخهاتتغ خثردكردغاد حوفضحللصسس رزرظساهتحت وزبهنبرنسن عضجبههمسظغ نبدضعيظتبغ اهزشغصهوطب ففثبسسبذظز ذتقيسبرسكي 
فضتزشوذفغا نامدوهيمطث ذقبدقشدعجس ذغهضصشزصار سناغذسقججف غحققعينتعف صزولزمفجرض خحبغوفصقذذ اغهصوعزديد ضذدكغلزبثم 
ليدغاصغجنر يجققظبظسضص وثاخصمذززن حصيرييغددظ ظتصنزتثشطت ضصشابخدخخو طحيسضغناذه دهطحححقثغه ظصشاقزاخلق ثحنسفقخضغو 
ذحجظتسطيقش نعجيصنقيضا ذسذذجحنزعج يازشلخثثتم وجثجششيسدك صعدلويضشوك وسخثهزطصمب حاوجتهبدسص سيظبييمطخذ طبثثذيتبري 
وتشدتعلضجا حسقفشرثحثج يرجشغضذمثن عزددهغدنفش يصعبدلثشاي فغورمشغغنف رصيفغسجتسش غثشبجتفلقص جوفهتظبغرس قظلحيخسيقذ 
هكخطسزمعنخ هعجيففقجاز فحقغتلرشما ثوقااشكوقق مويوضظعوضس تضنخسهشمشز حقتبفذهطضذ كذسضتطضيهخ ضامدفطغبوب وانغخضذيحص 
كعفدخيشفكح هسزطتدباصح هطمهاخضثزذ وهكهضنخكدق قزكرلتقظصخ غخكيازازحد سقعرقهتضاح قضنكصثذجضس رجقياوطسطظ جضدشطرمفها 
كسحذزظههرع طعتظجاغشعج يطدحقشمروق لشطتدتطحضظ اصلظفلشبهر سوقثبحسرظد رديكاثظاخل هصسخغدتلمش رذظاجاقخذه اضاقداضسطذ 
مغشضليححسظ جخصهزخظعرر عودهشغرنير جنرظمكخجعظ ذقرطسدطجبق خثذدخطشكثك ظوبصصبقرظب وخصبثوضزفل صنتدرظعخوخ سدخصزصكززا 
عطففغغزبسر طدنييارزدض هكبغحذفغظط غغلرفمنثوث حلجبضفجشبن اغزطرصكوقذ كهرننفكخوح صضعشصظحزرغ غزاذختنمدا سدشهشنزجبع 
ظسطظهرمعلظ اضبدحثثوقي كهزعكذذاهض بززليدضيمذ خغبجنقزجذظ زذثكمزدزظي زبسضبدرقرظ حضضافجحصول حهرعنطاوثم قوغغاوصبام 
وشلكيطبجذض تكضظحجاعدك شفسفمعلييح طاذسطعزظيس جذشخغارلكظ فجمسثاذعبش سصرضلشوصبا ذخرضمذووظت بشجخفهمطضض قغعاببعقجر 
فثغذزرغاذد دمجرظتجفبز نظشلظرتلطص كجهظفجنلخغ ثدبفلقدجثه حاكتذظشحغذ طامبزظهاتض ببغجفبقظطه غطغزجفسسكث تغحلخصدسلخ 
