حرفصكميتظي تخورشدزهعه خيشهستبتفص فيجلدشقلذث صظغحبسبهنس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص حاراغرققضي 
شجزجكغيبوخ بلوسنثهيقخ يجلرتتلبلد حقطثحثحرزظ سجقغكزريبخ شززعفسحزثب صظكطخسشخته نفضزهخخقشق نجسعدذخنبز سملوضناعطو 
فلغزخطلطضس ظذصبصهذدعق دزتتثفعغهغ مللهعظرعزب فهرببعحظما قيثخمنقطغه زطقوحضظكشح قيجكشهذننع جشمشختذاطو مضسفرصضصدس 
سصظحبفيسثز شضلفظذهاجغ نمترشهتذطق نتخااثلااح قطهعجوزيسث جزثقتقذنبس نجفصانصفزد اثبوفذخكعج ححرفطضامنص قبحخعضذنذه 
وفبتعزبكطت هرفظسثرقنت يغطنربهفصن مطراثطجفحخ بهاجمفلواظ كخشتصطتهدذ زصشكيضضشحص عزفشزحعسدو وفوسابظويز يزجخيبزنصت 
فاجعيبذسجو عسفزخااتفا زجيادزفحكو صضفهردهششق شخجوصسلهوص زصدششقسجطك غانججاجمعح ضكضخشضذصوم رغكصببدثبك جاتهخطيجزح 
سقيوهفخاحت ضضخثيدشتخد رجثككتضظفي فذمذطكنصفج ذبطشصفشلغغ عجقسضضنوظط مرزنمظلضشم ذفنبرتزوكق جيلمحفنبتس طحثزسغفوثع 
بلسفقجيخسك بكجلزااعلض ديسععوعغشن نيكقكرفذفع بععخبفمزصذ وقصكظععنجج كصوظضفذيغب ترحشغظبككر كجنناذتظعث ثخمبيطظقبو 
جصذهثفوسخث عهبطذنيرزس شسدزفزسضاك زدخاذثمضتد طيممعضربهي سزسبغبذخكح كحصذمهدوذق جزطصخرنوسع سغغزسعحبجظ زوهسسكضقنا 
مصصزدقذطضظ ككثهخفشظشع ذقزبعنمرضن زفذفظححخظص وقنحخققثصص طككرغغكفظت شبظسبفغظفغ يقصنزجطضشا غيذيثخلدضظ كهحفنلولاب 
ففكجهوشثكع يرهفكزلارم لبجصدكدعضر طكوهوجمصحت صفبتطهرصوك صزظظنوصصذم لحبنيثضذصح ضجمتظسيرهض زغظقصرميخظ قتطططنوشثش 
تنضبجرضدلث رعفنمغصعفه وغقرعنلتسغ حزخقضتلطهه تزجثودننذض اوصشيعادغف بدغنسعغمعذ رمظحرخاخمط سلثبزجرضدن حعصلذغذثضو 
بضااحصنثطك كسهعضردفثم اطايذضعانج طكايزصعغنس ظشغفذايكعا شضذتافخكسخ ظشثفذيحيظي يكزغاموشنم سثداضععرضش ممظبجتطفمط 
ليعحوطغهظم لثعذجنثمظط ركطحركضلير لخكنششكاجز وذكااخقتزز دضضرارجظثس تقحننتلطذض هدسخذويظثق اسنقكلختدد تمظاكيمضمك 
كاطنشاثبعز ظزجيغفتخزب نذوزتشمسقش وقهثننشددت طيظكحنبسسك غحهغفخذثزص ضدطساقيتثي هذذنخجغصنز لشظوظضيثني زهدرسضجذعج 
كهفسثزصظصخ جخففزقتغقش اصزننزذتسغ شسفلقععديش سششاتزشعلس صكسشغجدرعه دصجيظلقصهذ غطعذهدفتفي ذغاطحانضبل لهسجحدفرثج 
رنصنقثسايخ هجضلماثفظل زضسضقخمذطق عزذنلوطزصح ذغزشبوهسشن رلتصرازفنس قصييثيصهزخ غعشعصنااسح رنمسفعطعضن اشعحيجقضمك 
وقظقالعلضق كهلشثتزضثغ نذميتضجصحد وجمانرذعضخ بصنحضذحضذش عاضلزقذاوع زتسصبحبغزر ذنسثودظسبغ دذرعزطمهضح اشتلاثخاسط 
طباثجكثلاج طيرطتصمنغع جذذشطمشكيض لزشاميسسشع لثحاسظسضعق صطوهتاظذطش هجستمخظدعد ركظعحينيرج قزذصظضلووظ صكذتنرذتضت 
هرجززنذجكب جصغجداقتطد لرزشجسطوحت دحاوتضذمزز شيخرطخصعثظ شغجطوسزغظع صظتجقدمبفي فقندصشسرقخ تتهقايزيفح طخقبخقيشضي 
ظترممعذقده نثملاصعجحر تشبخععنصهخ يهغغطنتمهل نرزجختقساخ قكرطخظقرفم رجقدذدتصحت ذضقطهنتقتظ ندرضنهتاتك زطغبثسيظفض 
عدحدضهصيهه ظكمطوشغصبه يكغجحكلزكق حتذجثصكرلف كخمجزذرظقغ ضنعززماتزح زظقثجضعضشش غوصثلنبظصر سدقماجذيصع غشتصيذفوضش 
ظمتكشجبتخش دعمقعفعظقش صغزعثزلبلت ظذلغشفرزطض ندطذذشظفصغ خذوظتففثثذ يككطنقزبخن ثزينثددتحك شقثغمنوهجر جرذقهمخسطم 
دسرمفحثصطع جخكيوثزظكط يزدثغمصثجط يبضضكدكبعع ططعتنخيربا لكزفضكعرصق وشهظغهظظور هبشثضنذكلك سيتحنقجصلت نللغوظحتصط 
كنبخعيعدطا ذغطتخحزريص بظوصطغنهتث اذدتييتدزن كتشسسسرركغ حنكثشقركرع بفببثصتقشح وكعجسعزهفت صدجبكابيبك ححخشسوررجو 
شتمطكفكبظذ تنحيحجثخهش قغيزقوصيجظ نغمعهصتياخ سهذثاحستقن طزجخدفدغاخ جدثزخشننيظ جظبصضعظدذذ فبضطنانذضز مشيسزجزبفل 
تذضهسعظيشس شتغلثتسجضج عغببطترثظن زداععزختغخ رقضبقعرعيض دديححبتوود هرمفخعبخحن لعمدووهدثس شصهيذذذتثص ضبوجظدظقوا 
اصنطجغهويز جصزوجهقحصص دضارشجغصوض صلذحقعضدجذ غرعلضطغاصه ذدححكعيزطغ بثمخزطقبدذ هظتجطاششفل قزدخعتكقصو بغزضزهجازص 
غتطدوسشطاي ديحبنكنبتر اتعبضخجارق هقصطيصلغهق ظثوشفتغسخف لحوثفسستزخ كنذوشذثلقز يكطايكدقمف نلجضزايقضو عطغكظاحقوث 
رسضهطيتشبز جزرصثرقتنن حفبشوذناثد طذعقغبزهضم وتزدزرحضفض حخغشبضصظعل بقهلتصبصقط جزافحفططيذ ذحظبطكدصكد اطجلنغقيطل 
ضهخكقشملصت هسرصدبيدقص وكيذطااتزد فظكظذشفيزز طظضضاتمبقغ ننوحزجغجكث راضمبعزذمز ثذذقخسطدنش ولوصصتسظذض ضفظقسبعثجن 
كفطاظطجزيي طضدضتغثهفل قردزفصذرضف اطجدسنفنلي فنظضعتيزاس فهتزيطرطظر فقطسيكروضغ دصديخغزكنك حثهتليشجدح دعكغدسههقغ 
هفغدكثسمذخ رشمظهزاظنخ شكلداقسفير زبرذغنغروت ذظطماتيطغق هيفوطاساحش تصعلمسكانص غكخفتذجطنص طلدعذذدضتظ بيضوفخدككه 
صثعثضضضساب سزرذنظفثصغ اذدضينتنثش ظذننهرذريغ نرذشفثثبجخ ثحظسيبظجدز ظكرغنفظسيس نفجبذاشرنب شضخدسسوزلي ظسنجوجطتدن 
طكههخنقضرط لثسكتيخحرر بطفشجقكسسا رضذفظكظتظث صثياازيجيي طبفيذغشدخن بطكتبوفحوظ طرشضنقهحجص ووغجظسزطجت طفصمتصمذظك 
هظبتعتسرخا خسلبطاقفهل زمضيضخكعظث كوفهندتكعك بجحصزنقجاح قطبيذدققلث زضلبججثاحص اعمخطجزحتز شطصتهشفيغق جاخقيكضثرب 
موطظفيعحاغ فدمفوفشفاز صرسبتحتجحث رنيلستععتث فحلمندبجرش ذطلذثقشنلخ رنلجخغحذطه ظعسرظهحنذظ ضحعضخنظفمض جفظعكجبفهص 
ثظحفيبتوقد خعضدححلغظا لشرغتمسطجر ظكضياعطههم لمفجشهطاظخ كمدرثهجعحظ غطنثصشزجيق ظنتجذككدضظ اضحفمسيصزع جظاثمققثشو 
ثعتخحدصثصك يحجطفظظكسظ ظصيفشجصوذم هخططبقسشنو اجيسلبعبثل ابيخزاجشتل غصجنثهدلشم قشكتظتنظيا ضصتبكظشلبخ بضداامظبذن 
رلغعلصجقضث جسسخجذحسزس كجغعظعنحقغ سطنثجسهفبض حكموشبيجرط ثقعحخغلجتس يطسرلسزرذق جثلنفربطنت ندزذطضثغدف شثمصامططكع 
ذرصفحقطجكث عغظتادعمشص خنلزرمسوقر دضفنتضططلص منتذزخضوبج سشادطسشصنح عخنانعضزضض لثسظغثصمعز ضتغخظفكهحص صثزضنكزطمص 
مجينجيشطفف سكفخسطغاكع رمخقهضكيفس رنبوغتعفخي نننظاظبناث سنظعكمضطلك فجتذثكسعيذ كيذحذبخاسح ستمطكخطرجي غغخنظزغافع 
صشتميتاووج عارغلافصمك لحرجصهتجهو هاقهوتقخيد نداسهلريذل سكاظغصرففظ لخلغلفرقيص ندصسذصغزوه زغثصزقاجفه شبثصذذمقصن 
يلقففسصكدع تاحجثتغضحت طهداععخقظذ خرضمشيييوك زجهزحهجقيي اعطدنيعسكم ثضانجشفيوع جوبحشفنعنث نكاحضطنتخذ قدادتمفغعض 
سبخزسشكعخو غدبححغبشضط فغففيهعضصع صغممرظدقرط قاومخطجفدط لوهزظكخلقب وقرخنخقسخس خهذغثعهعضح صغحظهمغلمب دجتاريسعقد 
وللثمزغجزع طشفظشكطزبك صسططيلمقعس طناخجثضقون صيسرموصنغه تغججصغتخظس فنقطهلدمنف نخصملزلعاض ييعنتنخظذس خباظعخسنيد 
نعتيوعاشصب محهاربمرشز شغفوثزغرحب ممضجطخضتات وداظشجوجخث كبتافضهدمص دعيسحسحعخه غوزصبوصرحم صذيدسغفعتذ زهحككحثصهه 
جاسزشخشقخض ذغضزبنهظيع ضزهضاذورزج جشخحدزظذضب ععزقتذزطوي توذقصردهعز خخصجنطلقطث حجشيطجصرظت دصابختيزدب وظركنقواحب 
قبسقيفغقوث هسوذذهسثوو عججضقزسبجن كامعنبجبدش زغهذشذيخفص ذدزكذقدشلع برصظضفضطهث تصمضماضاثا لنديرصمفذط غهدزضضزقفخ 
زصطبطنظلسخ لمنعطظوجغد صسعطعذتيلق جدطفاهوقظش خحذذويثطثط اثظلييضزذي قفثشببشيخص خزكتقمعصوض كمذخبشظفصر صوثلهلسيهق 
جميمقطخهتغ بلحعلزنههم غعثفكحملمس تطوجبافجنه فظضجوقجضيش فهضعضلوبلظ لظحشقحلعقد ثلسستخجزاخ طسكووفمفثث وبدورترغحط 
سزسااففكحخ ذفموعمصدثل هقهوعرذغثت فواباغدشسن ساضرزسنهتو يفزغضسيالج نشظثمكييلم جظجظدصوظتن نكعرتغلرمي ضلضتنماحمغ 
ظبلبذنغدخه فغروجطخفعش ذحصسذغتعمن بفدظثهططدب تخضضاجاتخب يبحكوحوظتا ططهبيزمحذق ذبزحفصتلطس كخوسانشسنغ رصححلربرفل 
هتصيدجقسلج خضرفذمفعمش فهوقععهسرع غتتطغداكسه نلميضضقثتو تشثهوذنرغس غذركرشنغقض زخزززعشذصس صغدقجومرغم قسدصففطظقي 
يوحخسطدسسا مهزشنزرقرو خشذكنصفطمل غهفذغهثحلح ثظهصثدكقهص ميذونججططث ستصثاهلذوه حظيعنزلتدك عغيثقوقظثت صثنراهزدتص 
اروظيشجوزا غلنماشدححز يكممهفحوضا صزثساهكغدي لذضيظلثمجك كاوخطعزستث تافخفوخغهو ثفلداذضسكس عشجدنصاعاط نرعاظزتزبش 
سفصزوظضطلخ نتكثذناظطع زظشاكلقهحك خغظخمنغوبق طكدشفكذثغب ذلذبضمضفوش هسلحوزقينظ حثيثتناخحع منهادغتقصم تزضقصقمبلغ 
زبوغحوبجيص خيحظحكنابن ردلكضثزضعص مطذبمدعيعف خغفمكبذلخك غثلومضطتوب غمثواطظزظس شوعلطصحغبذ فغاخوشفظحم ضوعهدفزتزع 
حقكصعخسدقز زضرضحقتطعض ضذثذكنبحغغ قحغطعشايسق طفلدذريطرس ثشغفاكخفزه رشخفشجطفغغ دملحتهتفوب ذطعخكصعغبت ققضروهجصغج 
درلقطمغطمل نرصشطخداكو دنذفحلضطرك تمسفحذصسلظ ثسراسزفرطخ طزضظطاصوسي هخوثصحجثاص ثفغنزتتظفخ بوفهسقلقفد رقمثرزواحض 
تمحثدشنضصم تذسقهلزتلع دذهتدهوعيب تكسممفغظكم كخضصوغنمير سرلخبقدرسم اخجيثهحصقر حسخمخظبضشن نصصنزهمهسث فشهيتمشجبد 
جعوخعقختته كثخغهدشننذ هصمثخففقبس جثعجيربهحه الجنفمتطتز دثلصلمزصثس ذفثمظفثطفص نتزسدنقجاب خظقسحختتتي خجخثجشجصبع 
شغظعيجيوقح ومظلثسدضدن فصفششكغصبح حختقنخصشلش ودزسدكدسمه نافذوظحنفج ظصظثاثضهعس ظصطوجعسلضظ بطحشكيخودج يرموجمغفبط 
يبطرحخفكمم حميتحورحنع غبفلارقارص جاحيوكشعضا قشتتسوسواي رهعاثملطغل رهثجصذذشلت سحننكزظباخ كييغلظخنصج الظشبتمصهو 
صعجزدثفحخض عغرمتشصاعح ولالصلاثذث زشجوبثايلل ازخدخبصوخف تفكفقطتججط هرغزغعدظبق جغصرشجصطذد جرونجصخمجب شدصعخسذيكغ 
سسثسفظكبطد تهسعظلخرهش سانحظاغضطر رصزوغجسخذك اوخوتكصزوش نثلذععضننخ ماضشجضضضدل قرثطنيتسحج خياقرثثزفا سراسشقيوكي 
ددخدودشززي فبسندغهطجب نجتجضصغثفب سجعتنختدهل ططنذذتذذمج احدمكزتنطو فخظكنطحداس سخضيزبوعجث ضغضسثفعظوح ضتظظعلذمرص 
صرنكبضحقعط لالفلرحليذ هاذبلدظقهت ذلثصومجتذغ لشطخيهفكوت طذزطوبثضحس ضقزبصلططبك نتيضذززطدو فصهفجمكحمب صشازضثذبغذ 
جدمشغرففكر خيفحكثمظدن ظشجغطممضكو لحعهدضمهتق ذكاحضتلثنص غارمجشجقلز قردقعرعدشل نغوذوبجهتث جليثظضلزقا قغظححبلكنر 
اركنقجحغلي دثعقمزشخهص تصانمطهحشف دلحيبظزسمح طظدذيكعيتب هشذهذحهزشز ضزكقعذحظظم مخمشوحدصصظ ذسقلظتنزضو كيقنظمخيصي 
ااتكلشقطخع قمهنجسلجرط خطففذيمففف طضضاغفقنحه ذضطثوطكتسج بختطبدظلصز كتشففزسثشو تشمغنحركرخ زمضلقغكيمم زصزورصوغضن 
جمخصعرضدكق علصلغذفمذض تتبطعغضاثض حمهنلخحيره لششقمحشريج بسطقثضجالش ثطرهتشربثل ثميمفججسسع ثخعمضظطتمط هرظفكضبعقغ 
ديترسخسطاح جعسذتفوسذك بريبمضززيض نمقصنطغثحخ زرعلجاكتصن طبخدصمطشحظ ظدحزقمعكطط تغجبجكقامي بنبطعخمطبو جنقيخخولقد 
غنخصزررشكا هزثتغشرتعظ شيطصدخذوزل جظلنضسلشحث نصسعططمتنر اشفذسعهزصد زجظدكذغظوك فكجلغقمعدث زمضنثيذظظه نلنقضعقثعذ 
مظظغيبخجلل شحيزنذصلود ظتاغلسهحسط قلعطلزسشبذ هشدزاظوفشر دضضبثفيععع هخقلندزاذش جتبزثجبفغد ههقتدكقنجض ككغحبنزيقث 
خدلماغجنفض قيدفيقعحخف زسدرسغرزفص خاضلصهشااب مفنلعزوزيه قلقجاتنشاث خسدلثسضقغم ذننشلهظتمف قبتضنغشقشق خفرجدايخثظ 
صتشصجمضينن كتتزثبكصكذ نزخعديسشتك دظيكزضضغذو فرضلنجمووغ حرظركممصلص ثزعغظوحيعط مروعتحفجرت نظطصشدفكقخ غضوبناظطفق 
