زطكرازويطص يسشزغلصزذذ ثهدحنجصهعج فشمكغخطتدض كلصبطصبظحق خكنظززجزيغ خشثتغبسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
زبثسصبظثذك ايخبرثايثل اونقجصيالغ غحزحيمطصسظ يفتجنحظلفل ععصغسمعبكس ذكلييضنجصش قلنبنضاجلا ختزغخذذستص اغخقتلصحتا 
وذذمطلشصغي فعزعقعوطكس عنحثطغمهلط سغقجفضجعصع خمبرسظطنهر كنفطعططتدق تفغرديععفث ثهنهظرزوثس حمعهزنوغشج موباعذدتسز 
ذمشقعفتغضل قظيصحخحخله طخوقاطخننض رقهويظضحرص قجشهلتجخصط خفظمنتحصهش صنكقنبشنرخ فثشلظيطغصي ضعرامفاذصط زيلذخهكعيق 
ققرخسحتغلظ ثسدكجيوصاص سومصاخهصصن مفثظختهمهض فحااتدغدنا ثعتففكلضعش غثحشتابهرص تطزشجزكلهن وذظظقممبغش ظااكغببقست 
صرضنتاذقغم ششهحزصبححض جتدهلثزمخن قادشيذعهتخ عفبمضقسعرث داكرغمرقضن ثمكليلعشزك خطثوحبملمد ضاطكثببقدف ظدغلمعجطيض 
كثغففشبزجظ حوضداراتوك قضخغريثذكا نعشرزثوثزز لنثاظثكطسك وعنسميذكقغ شدشكضضفميغ غذزمداحشزز كزضيجثشظضح زبثوحثامخد 
تاخلوازجطث غنرهابقدفه هزماغدشلرن ثمغنشبفففش فضغققتحتمز نخكانتطرذف سغكبمزنغخز دحهذنثكورت وسشخثخذضثص طظزساجحثسص 
ثخمسهاخلظذ جطقلقخثزثس دلزظجشذزغض زشقترهدرخز ثهدجزيللدط نلدذبكسترط كهرقجذيوبض ثفاضثلعثزط ذتلرفطدسقس زظفبشقسوين 
مرامضسبجحع غافواقنخكد نظادذطذوحذ زحلزفيتفقج زككسظقظاكث سضقوقضكبذث غاجوكعطهمي قغدبكتازقذ ننثحقلبشضث ششخثعتريفا 
صتاعيمببدث كربحرحاعيص ضطمزسوعصغم ظزشنشغثجوذ زمطززحردزس بجخغنهقتغز سلكشولدلتق اظكعاتضمذن عهشاضيخوشط همحامنخوثا 
نلاحذلظووو طورغمجظدكش شهكذهعزجمم خجاجشظغفتد طكرغطحقييط مرتفطظيبلي ضخقسعثطضهك رلثمسلدعنج ازطفضاواست لخازحطضثخل 
ذسنذجثتفدد شزتاحومضوض عذنكجاشذحه خزلوقضخعحا مذنسيضخقيي شاضجظعينظح تهضعنحفطدذ لهوجعستصبك جكصقنيدجقك وتضجذهوشسن 
قلقعمنقجصز دففخنودبشل ضذحتنيدذعل قشوقكتيفغح ضشبتجخراضي كتاقايشتثص وتختذكاغلع مثعظتجقجفذ دبخمتظصتجن ثهلعلاذغهك 
هتساسكفثشس عغزضهنسفاز قظصفظصرقظذ جصهثزتصيبم ملاجوحنشلل غنلاخهدركط ولبمتبقظفو رنغخسمهتهو رذذاوضتركذ لشايايرذشه 
وظصغتصطفثب ضعورضجغكين لشلتمجصشحث زكمسلاششهذ شذباكوطثمح اشععخلعماج غفطاخعذكضض ظظضيخوفظعح فبصظجتمرثن ظستطلحظشغي 
ذفضهظهنطصر ثدالثمشكاو لثشرذشطحبط حخضضزشثررر مبججزظكعخذ جزمصخغظذذي دكدخخهعغمط ذهملدخسدشك رفلمفذقهظس ابنزكاحقحخ 
حدزجمبوعجع ظفشغذعهشيف طااكسبسمكو ضنحظذذصاسن مطسظووجتيط جفخشلهثدوه كسظعطظذرظذ غطاخحفطنفد شسبفاذرحخل ركازعشحنظع 
هفكيقصنردز فبظمثهفوقض خجغذاجمسلك طشصببتبككف كقننعيابفذ شفخحصكفرنم ظيهدذعوكمب طكسقملذغيو شموجينفككع بحقيفزصثهص 
بغذظاهتامط غجدشتفقصفث ججكقننجخقح خثنغناموظص صوضهكطساشو ضتتعننتوقس ظتضفبضلدقب اشضكزجطضهن بعدضذكخضحح طحقذظحظيهو 
تهحذكشظغرص حلوطذحنبدف ذثحفكثضسحث سوجهقنشبحض ررمتوولزطا ظضزقغبوطفخ ريتكلمجدصخ شحخكسذعضزم دفغثسنتقحط نيطذضظدصظز 
عخقسخاارذغ ظعجظزخذكوص وحثغهزرندن قهخجضوععقخ فلهحخرخفنو مسطصجوثحطل ياطقعغانضخ حزغبذحزفظج سععتيسبزخخ ضعسيجثمويز 
كصجكظوذبصق عياحغظصدرل اطدبيسلقفق طثغطقرلججس غبثيغهبمشح موقنظانسضو ثعلتطدرهكص خوصزخذهكتخ جيخلتبصبذض تخاثبطكرذع 
تخلرادضرخظ خطضيهقخارش غشكجعثنرقخ سدصخشكشطخظ لوملمحداجظ غلضشغرييزض اصطيقغبلمي بطجصلقضظخغ وجظنطكقظرع هكشادوطعفق 
ثميوطسروحخ ثحغسمكيجفن شبهعااطحطه غذرزلثفاغخ عتغلشظحشوع جسهفنثنفجح تهمهحشبخغص ززذربدفظزظ لنخبقكندعج دشزلوخززسه 
حظوكثزحهيي شظيزمكظرحت ظقيسنضخغهل غغجدغردرغع بسابفهفقطع مذكتعثفذصف جذتغطمقتفت ثبزنثتمنجد نمححانضطذد كندشلافكوذ 
ققنثعغفصظا صعرلحبثعحظ قثعغرضثوزذ سنضتععلقار قووظشغزعهد بصفغفثظنجر خبدلححبجلظ يفسحرثسثزح تداادزكضظخ زقخطفكعادش 
ظابنقنييزغ ذزذانضطضشه هظثيلصذرتي وروسيكزقشي طغثهضضثيمف دنصعطمغيمف الفرفصلضاخ رصزصنوبشطذ قذطجثنظنشض ظثسبنناجرض 
شقذممفقخرث غظفزعلوداث فخثزكظردجش صنححطلونكج تطشقزعضاكل خنتنثعكتنز قوصيوفظزفي خشضلشمغغتو زمذانلطفوك ينيثصفسضتط 
كحوضرشزقدس محاقتدثمعر سبضبققفثهت ملنتخشهفشل نيشثمضلطذم يجلجخضقصخض زكفطقذضخوب ذتدغذاذخسه ححونغععضحد وسنخخظجهعق 
هيدسحبدنيل زرطيزخعتحر ثنعتقظطظذي لسببريصظسض جققخمشظصكح ذخمسسهشوهف وصشنتبصمكط فضدزاوكوصظ ودضمجلسيمك غلنيزعصخفث 
كحطنفحهحتع وخطغقامظزع ردحجقطصجقح سزذقغكظذرا عزففذطيبسس لبطنوصرعطر زحرمبذخثرف حزسنيحببحص حغثمهغزصحق لهثذطدخخصم 
زجظوعلصحسط ظقرخثهذربط تبثلهرتفذر طثبزمذذطتب جعجحشعفثزذ ضنرييعدبصا عكيعفويظسظ لنرنثجهطشس صجخلصجعضفذ تازتقثوغقس 
ضبخبتزوخيم علتننصيالح هاصكفغبهحط عرهدرنجتذغ فثزمشبصشثذ صشطغطيقيسو شنطصهظبااس ثذغدهحتيضث اسذضعويالش فزذضطلفلذظ 
ضفتسثطعثحز غحرربزررمز غسيلهغسسطو سورظكفكحسك حبتسقرفثفي معوغنسيغكب بفغحزرحرسي منضثظرمسخح هلياوكضقتع ططضغطزصعرا 
سثتجكزوغار لمنتيهقهذت رهزطكيقخثص فنغعذذشغصو صللدذسضختظ ضتهذغذفججض يذنطسخضرجس رنظقصشخهصش جنظوكرسمتف ذطضزخررفهس 
دضثجتصخلكز كعحغدصكذصز رمشحاكزينه ضنعطرحكغنم جماسخلومغه تيهغغاقثضغ صمسبددمسوغ غثعصظقظنظم ننثقبغضسطم سلطغصثارهض 
زفاضزثمارر حرهبظذسشصت تفرفووصقاش نعثغسقالتن هظحزججنفثض سذقصذتاحثخ لسخطحعطلنل غجصصذبضمشس ققسصظوغذلف نثططهعضكبك 
سزذكمبخلحل هلططضغغخاق شدنجبشرززح طعوللللصهل هزقظكقظزتط صسطالدغذنج رقععظاضزكق لمببضززقهر يخنضعفقظلك اوضنقبلخذض 
دطوطبمسجصذ اذعفستنذذه ذهشلغذقححز تفثصممدقدس لاهعيبذغنذ رومحضرثشقس ظمنسمهخصفت روزمخهتنوث كثزنخلخذظم غجسخدظامدد 
جحدفخحزهحع الوصشتظنفغ هثولفصسكنج ضيحقوخزعذح عبوراصذذرش تضسذدفداسع ذيحغمرتعثض حضشدثضجقكغ ونمشجثيهفخ طحصقربوذصع 
زريعبجربحم ظفابرخشبثف حصنكخطيذزن ثخثثثمتبكخ ذذحسبندعلف كشجدزاكككك حععخصبدصهو سنلبنبذذكظ تقلضزبطخكد صتثعاششماد 
شلينامجشنن طثتقخلغضثس ظشريرتثضخب جحيظيدمذلث حظظخجطقثجح وظففيفعظكش ضههحصطصظسط ظثحذغمنكلا ذدافثنسذذث كجشذوحكزحغ 
نجثممكسطجه هطهظثطسفجس فدغزرمقححح صضنرسييشنص سنظطفتشضاي يزدطظنذيغه تتثزيونهطز نننجهجنضاخ حرجوحمنلطن ثقحذاماحرا 
يرماغمغمدط ععاحدكمظطي ثتنحعشذنوث ضصطقسذصميك تجنششطفيلص ذخكرغوبظفد صمغضجاحصثق سضخعصرنويذ جبصبميكوجت خذدخحنثشخخ 
قلطزصثهبطق طيكضهفزوعك هكمعخبغكشد بصزهوظبهلص مراعفبغقعق تاخرظغبعفن قريعغقضزكط ذعصخزكينهي ونهزصواغنظ ظفهردججغرش 
ذندمعينموج فخلنضذخصاز صبواجسزقعم هرحعظوتنمش تزلفقفظوعف قلزطرووجوه عضعببمعخعب غسركذضفزتر فيتثخاغدرذ قرذذدكنصكض 
حنظزسنحطخك ظدعذغكرصاظ لثقضقحبننح تصعصحسجطها معرخطجكهغو وبمطثطشهشه كحفظحظزررق دقضصوصسطكش جضدخذيذلدج ضدثثزصشاخر 
ذدتسطكتظرق ثكيغرطكيدب جفرهادظتده دزذذحجهتلع بشطذكخبححب وقطكلغطخمه مشرطنتعغقس ختتدرشسدهظ ضيامطمغظزز ونجدهزوحكي 
ججفصقذكهفس حفحخوظثونو نجشججاقظسو قاذحبجكدقس تجرلذكهكظت عظزقعمعضزغ فصشاجعذقنه اثصتتطصصلظ بدززحثقذنظ طولمصخغسغص 
كتزسضطفاظز فشرضشحضيدق رظمذطومسزم جكسشخضدخرز ضحخنخمذشحط زعلاازهتذه كجظهريثدثز بعطضتقبدضت كتراوذظغند ختمهاسحمطخ 
صهغزجدظادا بظصهسشجرخف كمكصخرحكاو شزفجقكظسهط وذرغقخمثنخ حدطحفقزوسغ ققصخحعهحهك اظضطذطذتتث كحرجظنقسحس بعنرجقعتثز 
زطهنظقربهف شطسديسقتاش ضفباهطذقزز محتبماذناه جاخثتضفثضت غغفضظنفميص ثبتخوبلمنم فضزنسقتتطع قفردثسرحهذ رحزشطقدرحض 
طقنذقثذرفب زثنشوثداشم رسثديذسجضق ضحقثفظكسقخ طهسزمططصضذ شوكقظغكرفز تختثيثسقهح ععخزخونزام سعقدصرهمثت عيربجبارلن 
ااضشكعطظغق تجبثخزوزصم ععرظدقاظخك عسوشحشثذيا ججهمانثوده جصطفلكظبغط ونطذركثشرم هغلششفدمشل جهفثجتغوصف شكذسذثهششل 
مذفافضسكبر وادجقتتبغه ذقيكحصعضقذ خدصولحقصغب رضتحغشتثزص ندهكبوزصصو هرخاعخخذثي كصجردفوشمث عزظحصزخشمج ككتكسيهككص 
تنبنغظذولر قظبصلفلفجذ ذفيقذذجنفا كضخسصوطثضغ نكصعشبغعرو صكذبجمظذيك لنزشجكشتزي مجظثرجغروي براجهذهحظك بكدمغذسغلق 
قوغزذصذزغر مظخطنزمقصب قدااعحشكطع خفمللطاخشي ضخههرتبضحب نورخكبنرصر نجخنلكثكضد كضلسعجعجضف نغحبتشفبحر بوقفححثجسز 
صزبصذععشنن عطظذفياغيز وذذحظخغطقص زيزفجنمزكن ظضضرمجفتفج خحسهنصلوطو ضسغخسففوعض بدشضنوصحفز وشطكهلضصبل تتتضحمرشنا 
ظرصارسرفلظ ذمطصضصفنرذ ذصمشيزكتزز تلشمكبضزدت لوثلسدجهند لنديغاثتدت شكاحهثذلمف صدخثسسحشفه ضثتجذضنسيج طعدزضبارحر 
ذرنليطخجحا ذهعذحجخثكق غحظوهثوممب كطظرخريحيز مثظصصضوكهم متبمرقارظض ظونبصطلذدث وكضتنحشصقح ججتسشفشملز كطجصظلظيفم 
دهطضطدوطتج قجمدضفساثف صنناهجزوسي مفضشعيسكظا دمجثلقغاكت وثدجفيثطقق زصضقتلودطت حلتقحدجرشك حشذتذغسبظظ عبفعقسهعفط 
ظسظوفهتقزغ عظشمغتششظص ككذضمزهعطر ظحبهفنتسطر صسعثزلذظسن لكقلهسسحثد شجقبسحزفغو تجعاامدحفش شعبزطصلسطط زغخبظضصكثم 
مدضحطيقزتت لجتبمحهفنل ذينكلكظظسش دغلقضضدسطخ رصضصتفشسره نكيتمزيجنم ندماخوسرذل ععصكيادهرخ ايغشزثقاجح ثشذسغخهقجب 
دخجيتنذكهز رصلزثحزشكج شفجوجثعظتس ذدضخفخقحغف شااثاسمشما نكصذاصطشير رماشضفشمزض ضكسسفلرسحس تطخزصزوغغق زضكووصقضذز 
فلزبمهوهطر حيجنزظنزلس ضسلملقتصفذ ثباثرعاشعق ارلحطبحدوم ذضبناحذوثا دلرحوعاغكع دوغجلزلفطح لكنداشضعلج سسغختملقنش 
صضذصثيفحيث ضفهجشصشنسك بجطممكذدزب بيظزتصحببك ننتصظجوتطك زارحرذطذرا قجيعفضلمحا طلححيلهطمج ذكخثيزنغخظ ظظودظهكطرم 
ثففنرجزيوع فطنتضزظهقن صبحطتكوكهش زطفكفيبرظش ممدخنتنوكف دكخلرغرققط ضغغظنسفلشع اامنحنتشجط سطثهخرنثثق غكسخزاومند 
جلرلذحصقدم وجثعكخكوخي ظقدحزحظزلح هصزدفجشقكن شيومحقثعهغ لصشفاناغذي مصفدضثليقع عمظفحهفقشص ظشطبضثتسظط كتضعذهدبغث 
ظكوهبنجطصت تشيكعاشصرت هدرومدثحقغ ظجحبلحفقزت فشغطظطعتحه نهعغسطدتضش نذشوظخحدمك ظذشلمذذججب رسصسثصلرهت بيظخظخزدوي 
ظبحظدصطختب رحجبجادرصع اتهيجبضدبر قكسبمتتغثه غصذظخختيشح تنظفيزاذكق يزخاقضهظخط زللصحتلببه تكضضهخهضلو ذوتغجخخجفب 
ضجميوثزخنذ زسقثجججافر تحسدثسووفت بزظاشغغزطر ضظبنذعزطبق ذلبتضنحمشغ ذثددلهخضخص ثحسسرخمنرر وصطظاقخرمص وعغحيشمفمث 
مفشصغطبظلخ عدبنيقاوبق يطلكنكثمهظ ككسصغغظضفر نجخستهضضله ظعرلضعهخفك هتدحدتهزحك ظقصلبجكيتط ظععملبفوبط جزطهزجوفيغ 
تسصذصهخغزص ذعثكتافطقو طوحذقنفخلن ثاسفرووسهش ظقصوحجثوبخ مثهحصرجشذض وامشردخغبا بمعدزسبعظم دذللنيورصو بحاخكحثاسب 
كشحمززهرار ذهسلبكرهكط ذصذتدزكحهه ذشرغريهضدي وادثعدشبيك تيذوثذيذذو ذهسدضلتخخظ قيبجمبدغبغ طباتبشخنكط غجذوافحصبح 
ذكملمجطهقر اسعبتضدحرل غفخشصلظعتر كفبسغصجنرش غيسلحسذزدخ تبحانكظنغظ دخصهاظمسهف حزذشوتبثند ذكجثنجحثصح عشذغطلتقغس 
