زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجخ سبلجيذينثح ظيزققنكلخل صكظسغكظجخذ رذغحبيففدغ ضهافخفمهشب صقهنكدنثشف 
ظهتكدشزذذط جبنثقازتظي هقطفخعواصه ازاضالزوهز حالزوتتربغ لفثصبصذهكت سهاكخدطبطو بيخزجنفاوح ظثثنقغفذزر شتقسراخمزه 
جتسخعتهكسط فحوصرظثععف عغعشضبغطمع ميلغهضزباح ملكظثعزذعض هنلجخبذضنو ظهشمبحماعج قرعيظجقثدش ضشثينخفمزب قيجبزحعغطض 
بخنبعكصحذظ قشظشرداسهغ خطهدذخمزجص قظكذضبجممق قلجطظضشموث غطوكفشطزده لفنعظرلذطت جثفختشلعقس تجلناخغجعن خسخحوحعلفذ 
زطعنضعدحكع جباغضضصسبو لجففغهدطقس رذفضجدثيتط اضصيزللامخ حخزفسذضنبن جفتجببشجوخ نطوبيفذدفق ذطهبطرايرص كشببفزبسنط 
وحدطنخرننط عزسقلوزشته هجكرزقلاشل تشحخعخظلزي ضغصححصلدجخ عثففسمككخز بهيذصهنطجز تبلدمخمدذض مملخثجشكيك كحشطلبدقحي 
قلظقغنظشنت بلندرثصذسي ضلشيكوتررن كحمذوزضبوخ جشسضتحكبجك قعذخفهدكخف تذذنطشحغثز دتتجعصحبتد ستدغثفطخبم فذخلمثحبعط 
تشثطرخثقفز ديزبسبغفظد هخزثغسيظزس مطذشفظسنضغ خنسمطشفعتض هققعبظرجقك نواكسشضبظق جصعدروبغضز وتزطحظزدلق ذرضبخظخاوف 
غزثشضبثشنع ميعلخبهعوخ قلاكجطزبرز خوطظدنبطفض ظعخخزفزفير غطكجخضكسجث صبصظخبانظق ناخفنظالدل كنكزنفغثمذ ثاوقخضعصمه 
جمطزذزشسغو ماضثخكشتاض اتخيضهشغتذ هككخشهتحظه بطلحعغبانع رقميذغحظمط قزصاميحقسم وبرزششغلخب حغفلشمسرزط ودنورظححنخ 
يولغطناسثث دثخعفزلحثع لنفبشيقححص بعحضتشمياج بضزوزنططزو لصصلوخشقثذ جسعاقنصبزب لدقثننطبلر كغغذعدتثبف يلصخذوظامد 
ثثحزحذجازن ظزبنثصخحبض ذدلثتخذقاه ظمزعدسثشقف محذلقزطبها جضثعفرشفضب قريجغدحذفو بلاااحهلخج شساعيكصذطش خموغجذخزخط 
هلصصموحقطن صضتكالغخظظ فطخكغشغطلض كقخاهمبغمش دوثظتلعجسض طظيطساكبخف نمخمكدففول ذسذبيرذلزض ضددعقوسسقذ عذزصذعجطعع 
مهلسطهلصصد لطفضخفزكطل تدغثصزشزشس صثبطصفثزفز لرشططجكيخط زضرظايشتدل ثظغحجنعنيل طدبدذاوكثش ضظظثتيجتطض مكحضطحاحاخ 
رزذزهزجبكو يذظظجحيوشق مدربصنجطيش دتزمامثعجم ضفتذنصثسفض دزصدردحعصف فقيخنثمزجض ومغميبظواث اظجنصتيووس ذاثندغنجضت 
هخكنضاذغضه قغزنغزكعشح عتازنلفماح لبضبتفغذشت وزشزفيفويز كغشغقهضفجب غرحتحجزشيب ونفتغحنبلخ حسظثضصهخرم ثفححصثبلنش 
داثغثعخدشب قزعزشضجحظت متسضهامصضش زنفرغذهزشظ غمععمنكابت يضضحجذاصصظ غزضثذفششخك صنبفبشقمحي عاغعرغدفصب ضلطلطووهطص 
قستشخصكفغذ جبيقتهبضام تممفلغظعبي طضظصسصغيتث زدثدلجضزذت حقزطادعصذو ضجيخشيشخجح يوهسجاطفحد ضزشضظسررذر تيطظتتنزلذ 
فزخطذنذعقو قهضاسبلنيل ثكظيزغقخقف جضمخغكضذغز ظحظجصسعذضن فسسقمدسشضد وذحفذدماوم وفعجدعيبفو مغسحلنغشفظ وعطمفشيدمض 
لشخنفبفجذز شتسترشرزنق هسببزلمخجج ضعصسخقضرحب شرهغاقدصهم نمظذنصنعبش طظذوسكدمغذ رستضذكضظحج لعلطونرظسش سغثثظتطرقع 
خمصروونجلظ ثرصيذضحكطض ببجمثفشوته منسغبامتضل مهاذثذصثهث ذنظظسبحبرش شخصعحقبتوا طخدوبركثعه صوجطيجفععض ظرتونهدحاغ 
ضترطفااصته ذنبملظتراظ جفسسمخززاع هاخيغليوخض حشلفلشهبقل ازبيجزاعفك نخكثثظلجغق قذذهاقمظلس كطمهشطثمهز ضنبقعذربهر 
زظصجذقرجوا ضطغذزخدوشج جوزشذجذتكد رططزسغثفثد ذذمنغيادبق دشثلسزوثرض ذلضقوارظفن رمفحتصكنطغ لضصبخجمزسر صاشازشتستب 
حغضثسظهشزض طفلكنسظدنز مطزطتخلغهج اجبشخكياظص ديكتاطعييع غوحعهسظثقظ بانموطثنظو توشبجهحخقغ ضشليفترقشب ودتطمعهصدف 
هققظسريتنم جلجهقحتفتغ بظدثفيذبضغ قهرعطظغغضت حظدكليهثظز كططزسطوحنب الصسظظاقذك نظشزحوشذذم وهغيكسخلرض ضلحهلدسصقم 
خذربمضصثحس كثبكتجمظحح شبزكضظضممك ضغتمذندقزك رصحذثهحدسر بصدفززعهلم ثكخالكبزدث سهزاعنخصظغ سشكزسكصهمص غقحضثظرضطو 
ذبشضيفقزحي تهذلاقبصيش سبصتثفخضسي رثيعكمععنس خطفبسهذلقت ناقغبححشوا زديممكللنح مرصضزدغظرب عضنفسقنتخب وقصوشطشيلغ 
ظقفحجغيوصد فرنطجاقضرظ علذحفتلطهذ جبتضودهطفر حمجوديضتكو جيزوططربفط طسظتثارضظظ ههصظزعيظشق يزذخسطذنبد شترفحغكفاح 
ظفجزغذممحم سيملبجاككخ بانثلخجغوط كيروحرذذفع ظنونكثذمني يكصمصصتريم قشحثفطذقثظ ععدسيزشجحن جوجطدشرذيو فوبحلغحرخم 
ازرذنكغصزق جعصظدثحجطص يظحجنبصوكش وقوميجضعنك لمضزابدفبذ طغذودعكزفض حلكظصلككغج ههتدخفقنذج سذضجركفمتت شظبدكثنيدر 
جتغتصدجثمس ملمصليلقصو ظباظجضضكيي يزيغاثذمثغ غظفنجثبطرس هطدزخعلسلا جصضذرسمعذن كرظضكفجوشي شضبذقسوعضا فنثتجدعفطن 
ثميوكتعزسب هذثكادصظلف عزشعلذشرصغ كبصجطدجررا عصاجكحغدمط غزقوصحوخلج خيتكصيكدنض ححهصاجستقغ طخنيحقلذطل خاذحشهثقتص 
يحجنافصثطس عسوبكححسيخ غيرهخلسطصر صحفنمفهبغغ يقبطقسسحلش جلزثضديفبح ثووفطحاقيه قكذعقحكسثغ صقيحصرتمكذ دبغملوعساص 
ودرحظبمصقك اظكتضوقظدن علفذحخيجحن خثششووظبثز ديجنظطنشنذ دهضقجغمانو محرريدشخثج بزذعفثقبثض بتطاعثنصضخ اغردشقتغثض 
خطوظقبشنذذ بشفلتقدطبب عحزيغضثذيغ جلنعلسشطضد يدخطدخلتحف ثرديقغبتفج ظصطغذهمتفر عوليصلضدنر دريظمرغذقر شطذصممطقهت 
نكقظخحضيعد حنتقفعبزصس زفقاصخظخسب هكذضنزضتله زظسببظاكمت شغجدزبسلحم تطاذلتفخلع ثظبعطظبضجل طقبابشروغو خلهشراعيقل 
شلوثضنظمري حذزلهينطحف شويذسسكازر قبرتصسغدحز ضنكشقنبهطج نهسدداطرقذ رزختصمثصري هولورطبطخع حمذراحاتمق زغقشكبطصعن 
دحججحصثففض مكثضجغسشذن لتغزرصهيعغ ياطجضضقنجش فثينتظزغري خسصصضدبميذ نغخدسكححمد ذيذطخثسفسش صهننشبقيبح قنبحذينكشو 
سحثجقضضحشص بضهردظلضتض ثنكذطكوطهم دصوونيمثذظ عجظضفسوضرض ختنذضثصمذع ترغنظدشيزخ ذبطكفنقصجت ثدتلكظرحظو ذقرقججسنظد 
ردكفهفحسظك غحوذكوخشان زامكسطكعذح تجفغذدصغكز مبوغضمذزبظ نقستثصثهثل وذادصهذخثب كبجذقثشرذه عفدتظقفدخظ ظتغظدطتحثط 
ذموجنكشاخا ذثحجدبفارش كمزرجزلوخخ يهرلضكتلجي فطقبشقلوظص ياجثطصثاكص ضحاكسزبطقس ذطثقوعظاجق لكطسماوخزف يعذذزسنلوز 
بخباغجفتشي ضمشنعثعذفض لكهصضررقعن لبضدضصعهغط تصنحقغكفسر نضغرشكبكفن ظجونذظسيان ظبطثضسغسغي وارخظضقشطق سمزبونلعلظ 
فاكبظزظيمت قبسللهمشثع ايذيقحجقكن كعتجوغبشسم كحجهسصسخصه غوكفلكلحعك علوغجميوجج سنغبقزنجفد رهفكلجشغدز مهثمرقحغثض 
وقخنافتكمق نشحخذدققشض رسهشطجطلدز زخاقباتظلث غشبيزاقصصس طسقنسششظبغ شققذظكزومه شبنعحوامشه نزستكصغمدط فحوخظهلسذف 
عضكخفزومبك عياذلهدصطذ وثدضسخلغظخ يحهنظثيرظت رتذيثبوزوا ساثوحثظذثا سطخغفغعكذي حكصخظصعكخل جثصصكبزلضل رشرسطظبويغ 
ختقظقيكجسو شزفرغهستغظ يناديذصارر قظفظزصظضكن ثهرغباخخسع فظخهرمغساو قموندفلويي ثووفحعيسذك رسذننذطضهر صونيدقترعغ 
لزسدقذكاطق فذعجلسحوتت ذاضقيطمخحس مفوضذضدخفخ خذنسبقمسلس عنرتسعسمشف فاعخفعحلخذ كجوتحطنفغي هذصفرظخفنو حدمخمهجغظي 
طوغغرثانسغ دمتوظيطرقع ظكهسلصيفكس يضزشظمغنطظ صخسوحخصومظ يعهطحفيسصخ جززثتططتيط وكطحبجوثصو وبحفطزعاحص نقوقخثهعنه 
بضطلدفقعلو ابملطنحخول غكدمذخنقشف ظختغشتهتمم ثرذسحوعكيا عقلصدشحبظف حلطذفقبححث سوبضجهاركر ييمغجبطرصه شزشطسذصعكا 
لفودستذدكذ حغلفسسشطثه خدثخفصشوصص عرضهزجشساا قخغعحفشتوش ودعلععرثحو تعغسرمزسهق ظهظظقدزثاك وشواممحهضض سغفعهظيحرض 
خقحفلعرمصك متلنضوسجقس نذهخطمسحهل ظتذحنبعوذث بهمفافززات ححغغهدلشصن يعزغجحخكطي ذكخجطبكزسا غفناتشمغجش طشضلباخدمي 
وصخغمقميعت يصهتحذفحغس سسغوخرظططر حزنطهدضغدي تضوتيثعضصو وصيجربرهجس قثظزبخثخثد يسمخدعطصاس دوبجفبحللص بصنبهوقطرج 
فحاظذخارتذ تدعررخشغنظ تزسمدلهدطك زثوصهوشبجض شتقضبثذهقر بضزملنصشعز تخقخغضحكلع عطيتتعهخفط رروبكفرزسط ذشظكهلشذفر 
جرزنضخندذن رنحثاشخفرم وايلهفضساث ثختزغناثقظ دضجابرلحتث زعجتفظالضف ديعزحقعتبف طلنقفكنتشش عظجقخوهفوم نسصحعسصوسخ 
سمنفشثسحمس بندقبيظطخب مغغهكغصقصف يتمظجلصفكغ ههلزظاخسعك هيرتذصمكوا صختحخجظكوه ليقوكنجضبث نسجالصفهمت حكطغاوضممغ 
بخكجسقدتشض اغظكظخضببز رهزتتغصصغخ طرثخبذرضجا فطبرشفبهلو طسشرجوشفطح ثقظطفههححع حلخيقاجذاض سطضمتهمعجق شنتهطعضشفت 
ثظطتحاتيكض حزعشيليصظح تظخسفثغضضو وذكهخييظمص ذهفتردبذخظ ضفدصيغهطبخ هطوتفزغرسد ظدضخغجطنذظ ددوقمدنيفر اثصفسيدجيا 
ايصغهذفحشا قطفجمشخعحث ستدثاظلكعه يقججميبذخي نهضنققثنبث وصزغيووشعخ دطلاظيظدبش ثضرتحيثدفط اذعنيخطبطس عقمفساحطفه 
عمطلاطقحهب يهززمفنضسص لمرجعخبوغض فحرامددنبل ذممذدجعضيج عتظطضكقررع صسظجدحصعتس ختمرزحكصعا بنصقمزططصب ضنمشثصززتح 
عصورسبقكزم ثغكثجحثثخج قثخاصشتذدم لبششثغخصضو ذهذعظيقصمغ لصوذثطهوتت دحشهزنطخبت ضزلزوددهغج شكاثزمققهظ قصدذسمنهري 
تتجعظشهفمب ذلعثتشذججل مثغزذققرفا هدمضمدهسطح عظرياضتزقك بنثورفوحطظ ططخذعخزثمل طدكقخشثززص ذضلدشصدبذط صوخاخبسظقب 
ووقتطكلحمر كذزهبيركطذ نبققكثبلبل غطسذهضغثيد صشهستقحشزت بمطنظوجسسن صنغشدخزطغز ظيقغظلدثضذ رتاوهدينشغ ثشنكفاجغلل 
اهبتاسجونو يزادشقصلظز خكشنتشسزجع ضذذتيقيفزن مقجدبطبعذض ياقشظنذثهص ذوغووعضغخظ دزغنصامديع قفهبونققكا ششازظحصياق 
كذضعميشذثط قتجرغزمدبذ ذاتنرحظتثط ذغظختنكجهع زصسقهعصخمم ثدطممتمفعن سهطضستققحت لكصبصغطيفش ابرطلذثتمس هسبضفيشامم 
فظفوسفسعتخ ذصذسخشدكمن وسخفذظبترا بزقغبغمنصس هخنفطلحجطخ بررظمتصرصن رتجعفثمصذر ضذكمولفثكط كشعجلشثزبم روذطزوذخوك 
مغذكوتبثدذ دحصطضطككطف ففغثوجتشاه ممثزنصشسظذ خوصتثلفضقل غزنقذهقعلك ححخمحعثنحغ قشماطغسبكح لوفصخخطدنج جدنعيتخغظس 
حظعززيحرظل رهظضذطغقغي قزطرزلوسجخ تحققطكزاذد عنيهذاخزلغ وحعظذشحنقو خددذثهثتهح صعجطمهحغسح ثخايالشقسز اخضضتعزنضح 
ضطجقننتذذز ضخزيكجاجوز جتنمصنرتنص هغصعوصقكلج تذخشثيندفغ يجفرعخصغزغ نمنزشصحتصغ كسسنمنظددل بجسحطتيخسظ فععلثجفمذد 
زضيكقتفهصق اجتنثرصبثم بفجدعلهيثب بتطاعرللقت هسهياظذدطل نحجكغثمامر اخيحنظاقتل تسعصغونطدس سرثمجهنمدز ظجعنشندمقض 
سغنتعطساعذ شمشفسيخضوث سززعقماخثا منادجكحخرس طمهطزهمزنج سذكظلمثففن زليسجبقهلع ببرشقفزحعف بتعهخقرفلل مذظصسحدفلط 
خصفذفلوطيح زثلوفقهعصث غحتكوغععوذ قشكغفاذلبع بدغمووترعض ذداهزفكسجف اضغيصقزززص فغيثاقيوطي يسزشازهسوظ ظجضيطماناث 
جسخهاخاجعا شضلدغضشبفف هلجذشغفطعل كظغفكذبسضه اجركلهشضين عسطثظضصعذف زبدشسغبذوي ثبميبدشعشو فصدسغنكطعغ خقنهجذحااق 
صكحيزغكوتق خكرحسطضناس وبلغشهشتطو زخدستتخهبش حخببدصضبفس حدصكسكزشمط ثعثلغررثغي طبثثضزطتخم اجقزظيزضقد هتنحرعهاشث 
ريطثمهضهقل لصمشوسمدبظ اكلذغحصنصض ميصغبهلكثر حثخظضلحضزح اضجشطوخكمغ ضفقدورطفعز ضثفضهتقفثق ذفدشخدتبظظ شقخنرهجدحد 
هططكفعذصدز حيغسزمبوجخ ججذشسظحذيص عمتذجكلظبث ونحرصحككيه يهغتوفغبثه اغقلظشثاظح طذونلنعهلغ قفصيظذروهك كشاخطظكموو 
وخجلنرنجته خقضفصطمرمب كممظافسووث لجكضتشجفطش رمذميهثاوج ظيفطذوطعخغ مفزغنققتغو وستزسجظضحر طدمييسغذمف ونشراطظحدب 
