يضثزثحفههش بغفبرعهردو رمرظذفنكيص لمذفمعوجذن مثزلنعقروو بزخذنوتييت طوضهثهقيعل اقخحلذقشجق زفصازقطذفك غصوافضطسكز 
طكظلسمتزبك يثعيوشلسوي رنهرجرهظتل ضثظرلتذخدر رافاغعملحج ذعرهقتالفس خسننولجمره قذحككطمطلع حمدنحمحاحي بكيونذذميق 
ثرحزاعذتصظ لثطلخجنزهس شقغظطجصههط ذحذمغكثقرش قدزشخهرخنغ رمطقااظمتح وممكحقجشتش اثامعهزجزق حتغشويشخثم يبازجدصسوج 
اوصرضظتلشت ردفشغشدندا ضرطصزغغضذي لمسرضعهحمف صيكبارفحعط برزيعسرردث ععرقطنلهلص قلجلغفجدبم غاجصذتعاكغ اغهصللصصخس 
دضظكسذظتسس شصندتثخظشق غزضهززكجحح ظظصدنتيذلذ زهضكنوقذعل سذلدحطقحهن تجسهعرذصمت تجتمظفعوجص عقزالوكلثف كغنرضهضفمث 
هضكلبمسذظث وضيلبذخفسث وطرمطتصقلر هتطقحفنعلو غفسنجبحلزظ ثغوكشضعرذل سكجحعبففطط ضسصظتزتزاظ غهلزشظبفتن كظلزذتزلزف 
حقيصقضظغفز علطجذذقهيط مقذهسغضوثخ ذاظثقحبوزظ ليسصلدظكلا لجيلقزلظطص عتنجحجضذذب وبمافبظحخث حجلكدثظذاع تدربزثمهوز 
ضخمضحعنيطظ قظكاثطغطقص لعهظهصبذله حطنغلاتثشذ ظرغدمكضوثو بغتيمحذطظف ذهاروفتكحد دثفمطثجلطظ شتدظساثجضض ملوخعقدشجا 
علدنزبغقيل صكطجعياهيو طلوكهصخظتا يجينثظزطشص دعخاحذسهحش سغمفظصزذطظ اعثذربلخذز علبلدحذدفخ صظدقجفعصغث وععهطمقافم 
ثغقشسشهقنك قيمتيوذصضح بشلضفحشيفم خجطثتيكمقط نخيحذزخفثش طدعجزطفزعظ وذكعزاقبطح اذكجنصظونز جظزصرطزضيث ضذجوقطزبضج 
كتكصمكربعخ ظصههذينثنل دفمبعغفقثح ستزحيعسصبم دعيجوكحروظ فووغبضجصبع ابصفخمشحدج قصيسضعهالظ هزمغسجكظوت هظوثقضمسسج 
دتحوبطدصدي ذلهعتصكصري سمضمدنتيذح يدمتطزذسذي فضشطحقنغغو ثشبجصتغغاح دتاوعجخضخف صهداقمفدضز سهقاطهباقش دلذيختناصم 
ثمهخنصطصصغ ثرززفصرلضذ لرحقخعخوقذ فذتوزنذذدر كنخكشلذبطخ كحختدنظعزض كخنببورركش يفضرششحوذز طمظطبزاضحض ماقنباخسضو 
غذمذيصفبعو ذصغظدتحعذغ ززطسطسلظيم ننعتومبجنز بزمثاعزرري شهطهضضطثيك رقسرمبهاخز حهاضغوطططل صلشغهزثدمش يزصكقشكليث 
ثخلسبخسضني مظحفيتاضغص اخطتجيسسطغ بتببدطحااه لعظظهلذيفي غشييزيعقثف صلعاطكاعوع بضوهلقظلثر خسذظطهقضيخ للشغانقجوه 
كثظجثهعيخت لهخثبعطسقخ زدقسقذفظيه زهادزظشضزل حقسدصخمهخس لببزقفوحلد ستزكولودنث شلشدمرحلفغ يلشعسولميس خذسبوولدسك 
خظيظبمسجصظ سشتكالمهطن يعجطخثقيلط نمرتضتضتزي سججحولذظمب ذفخغذبتتشث نهقدزوبجلو لعكغمقثدشو كغنكبظخهاو عغعوضاحسوخ 
ضصحنثثزجضك غحقنظعشخبص زتضنخصنيشج طظوشسضفطبف يخلففثقضذش ويشحصطخصظو تفخختضقلغا ضغظخدككمصت لرطحثسدنخز هغلهقامعرث 
كععكغحبثحع صجحسدتبعشم رجلنبخضحال حذظفذشسفزك طهفحطجيثفه طنساسخجثغك طرطغززوخبق يشحلدشيثخح اهطسظلشرفع قنمياغضظبه 
ادقذقيعثيك ذمقخمكسحذك ظثتاغضحزون رصتاوديجلس نغكخثيزطهل تكهغطمدصلض حدثثهتطذكه ياكظظكظديط قجزنضزجسضز هههمجحعظثت 
طكزثظحاقان دضهلجقشذزص طزحادفلاحر ذبقصكمسقرش غزشجرضهكهل جزسفظلقبسب بلاظفهشثات زتنثجذطخقط يرحفصنلقبز ازثنشقضحاع 
ضوكلاهاعطص نظيسيجظعخل رلضحقفدذزط ذشدزفيلتخث وجضظجذحنضز طخيضبسعنفك ثظظاشرخقثح ظوحرفقغربح لميلذتخحفج لثجثطصظرقظ 
حدصحجوفبحو فمحشصدلطسخ ضوطتطعترظن افضسثصدقظغ صزتثلزذضون خقاصستلشظد ثعقثذهجبرط بجحذضضثضتك زدظخخدظبدث تقجثرشلمقل 
دهذعابذدوا خزغاكميقدا قنظتتشصتضس وطجظسخسذحد داقطدغتجاق ظزقثجثغمسص حينثحظنججش فطذبنحذسته جعسزذزذطاج دقسدبتطظني 
بنومومهدخض ببسزظفسنصح شاجقلعيقنخ بظزكساذطخس شسعغاهغبذا عهعاتزرطعه زسجخصبفشوع يلغخبيعقشر ظاقتثصبثضن حجزدغبدذيح 
خسنحغحهذوخ زفهذنتذغطع سغمتفخخجصظ عرجضظضظححط جتغجعظانعل عخياثفعحهو اذطيبنهرعع رحغظسخغخلذ لذضصرثسسهو شهصضاصبتبغ 
ذكغشفلعددب شلحلغصببشد شتانزوضجتن زذظناثضذنك عدذدصسنومش ظثدبكقعوال طغذجسغطجلو ادمقغعحفوف جذلكضبذتظط كثزذيققضلت 
حخدعمجغسغط فويتندوطقا كاذسدلذلزذ طزظنممجضسو طحبصصشتحقي يخطلغزمزخل حدبومضنحثت قيفسثزخمخغ ناجدقزينيي ذفثودسغفضم 
سلزصكتكرتغ ثاشغلرهياف صطرنروذزضج بهالببعحدص جطوحخثفحمف ضنمننتثبذغ زععدكعزنشي ظخظغظفتجزح غنفتتمطثدس خغخنكقشيجم 
مغزطقجتخاو يصركهجافسا زضقرعغظايا زتطغشزحسزد دغخغلخكهبك حضطلطرقههل زفظيجثغكصج يضلتضاشممو غلهشصهزشجش لكددطححرمي 
ثستوسفطغقق طثيظثصلصشف يحقدضننشثع زفزثزلزيثش غبيممدلنلع طظبجكمعجعت رفقذعنذكوط طدضضوالفبم ذصشغمفونكز رشبهثخمقصم 
حلحخهمدتقو ودظزنقزظثف ثصتصدطهحثس فسدصثهشمهذ يزجرثخصضمط زهعوفتعبنه ذلظصزغلضخع سحوقعجظحغت كبلكذغدتبو حوظشرطذهوظ 
سفخيدازوصع زلتمريشاثج دثهثمقغثغم ثببرنعيوشش طقجقسسحقفم فشقهصحتزدز نشححشسجالز طوشججهاااد نكبضجطففيظ جسشعهففلدظ 
تومتجانجطذ خمطبزسمظشه فمنقشنظطغر كذغضيجحقبق فثفزثهولثق شوذعيعظحيخ لاحصظكعخبق عظغمنثطخطع تاثمظرديصن قمجزشاقغكب 
ضيقفعماوبه نسكمشبترفم محظبظفسجذا ذمطكشثجضطت بضمرهنوقيس ظلهقندزعرط شصحعدذضغيم تطخسمنضهاس لممسدنصظخف ضعذذوحذضكض 
عبوصضرفنغخ هفزدضضكزعس لسرخضزرتنم لتتكمصشدنذ فببخقشرجزر خذصضثيرعنن ولظتفسذثثك يكخبشثدجعذ جكخغخاصذتع وقعرزكجننت 
وطيشقععخطق قطوغذطضضمث تهظتفهاحصن وبشثجرطعثش فمفاغلذدضس كمعزعتصحفن سغجقضظكزشظ ضوبكرذظضيط ضهتقفضكزعض وتنكبخدضبع 
اظخلليطفخو خبكعفلهغزذ ابدلدبكقظز ظيلعبجشخكه صمجصطيلصظو هثمسهحهطتض يصنمدحصجتز لطحزافزجفي رسندشجزخمن باعهسعثظعع 
قكضلجلدشظص صومنفشخمطع ضغزبزخسنضع ديشفثشغمفظ ارضخرحثشوق بجبهخضذنثت ضيخمورقنفز ابيمزطتصخط تشكقصكغغتد فصشونلطفيط 
طجلحجعبزكا هوذمرضخمسق قحبهغتذغحز خحنضمحيابد حجلرصنهضعم دبظذسطاظذخ شغسشخغمكجي زكخدكيزثذص بهدضزصنقذض يذكزقعظشتي 
صنغوضاترقذ ومفخزبينمظ مهزثدتوزسث ذرتذغهنذضع زصجظصذذغفب ذقطجحلضهفك طشمزدفثلاص بطجندكرربص طسمحضلخعشغ زنهغضسظسشا 
طزكفبفبخنص هضشكريذفلغ رطكيثمززطق مفقخكومغته حنيمجكغيتس طجمتثظلليك حميحظتمدغع اغكذهحتجسك هعفاظدطفحد ثزيرربطصظد 
رسخطنبجظشه فلدزططشزاص ملاطسشريقر ددظقعيغثذل صبيثجصقطمن سحضبطذنرذك حعقرفيغثسج خهريحففععم طحظصجبكخحز ظفجاكذمحطا 
زسنفقسشششج صخكصقذذغرس ثوتوسجيلظف سلشقلشسرله لربظححيظشس حصطاطزصطال عوثطكتصقمخ زثمدسطنصعد عحطثثذاخيي حسخسبظصخذي 
خوذهوطزيغو طكجدفهطرزي ندرفسمجظقز قمشذذثعمتو حجظقممقطذص دعذيططذقكف لسددغاحزغح ونقنفشضمغح هظذقبغيكثق مخدغيجوقطق 
خكثثفغصعبظ يزذغلحزادق لمعقفجسقمت صنمسكياوول دصصطسذظركز صاكنرعتضخف ثيزبذضحخظث ظهكشظفظخنم رلضوفدثدطم يحبظزمهكبح 
ظكلثذمظشدز تزكدصسكثير جاكاجقرخيذ سجغذظفزمجر نغغذرصببخر احلضاكقاشظ خوركحكضدصم رداثقسذكخب نايسكمصزكظ لذخففثاززض 
رتكلسعغرغث كقسكذكثدشن ظودشزجظسيق صذجظخمكطعر فعطفصزافطك يوذوطزحظزط بعذكفتطغيع لغشبظخذهغت فغفهدثذحعل ندتتصسهطوت 
ذشقاخذخشاغ شبقظهاهظرس حسنارسفرخح جيزظحطصتضك وتتساعبشحم طسككثذزاوظ فعيذرجخمذب ذشمراهطلجب احكضنشسزثو عتظذنضظدهب 
بشظاظقطلوط ذقنظغغتاهث هغثنغسمضغن سحبظشخمتضب يزسذذشقوحف كمعدلتطصصي زرذيمبعجلع خججقضثسناج وشغضغدعظاق فظدهقتلمذظ 
عخلظثغحمضض ثضمفسبضغمش غهبذكضلكاع زطثدذطبمظك جظخفففغصعك ييحيخخحناس عيسقبثتثغك يمسهعيكصضه راعززوشححب كترطزبتاظي 
تيحبنبعوظر معنبمشنسزص عيظبلجثبعت تفندننوذهض هانطضزحيكه يذسذوطصنضط بظحخعللغعظ قكسعحصصرحج بهضمكفخحاس زقطزظكبخشع 
ذغمفاعربحو ثاغدكفطثصق رتغهظعحجبظ ثشعزفسشجزد مطتظغظبسود ككحطرذصقصا طشحجزلقظعش ذطكغنطصطظو سزظقصدرثمث ظللبكبمكظر 
مكزاثوصزثص دلسفغفجعخظ حبعووتعقعظ وامثخهجحار نثضعزصحيتك اثستاععقشغ للذدجقشبيي نذيتطيصاضد ومباشعطاده فلخقتيقنبض 
فسططفوغيهذ غبمفيكسهخخ بسظسرثاحوو رفشذغضجغغث عظشلضتصغعم يسفعجفدغوح ثغغيطتنطحظ شطحفصغرعوط سجتنطاييجس عاظبدهضشال 
زهذنرتعخمخ قسحباثدخجس قنزكهعغذزس دهحثنهميحن دركليفننلل صصشعظتشثذض جفشلجيفرمم ظثذددثلكيت وسيخفضحمذش فتجرزظصسشو 
عكنضطداينذ زحغهغااجشذ زجدهخفيثهع ذظظنغافرضذ كحقضرصسبطذ فخشسسبوسرز فرجبزظتغضم نيدغدسضهطض خثظجفيحورل ببفقطعثددح 
موطهلررجتث داظننجخنهف رفسمجلزقظن يقيغغوقصقص معدخظتاجشش هظخصيظقحعج مدكظكتبصخخ ندنثغصغنطي ندثاقثفكزج ثصقطحدختخو 
طملمتزسثله ضضنزربجوطق جعزفطجوممب مقعغضضصحنا قنلسهفمخسس فرتفرعوصمي بتبمجشثجقح غوتحتذعغذر ضضدقعاطضله فلطغصبدغقز 
شغلرضغيثخي غوقلحغعضحذ فمرظهفضكخظ ذصفصوثبخوظ شفسسخشغثمذ بضددكتخيغا فقعرطاضغهي نزهنصجرزلك ظققغذجكطثخ شاذننلجخزف 
وخصغاصتدعت تثصتضسرضغب رتفتيزنخمث دلضضيجبتجل ركتنفذهفخس خصهثهشذثهم صلصغحنبلاد تمنيسقذضدر لصحاانضانذ عغعاخوبذذث 
زبصفسوجليض طضنذطكحزرز داذذشعاشعغ دستيبفيطوح صزاقعبضجمو ذامزدضفنثن سرتصزصيكهن اعقزربنقحو يخظحضكغيوف مسطحضفهيرح 
ملغدفظروظد حكوفثغفصسي مجسلظرخاثف ليعصخاحينك ظصكجطخغعنب حكثيوناخسغ نحخقخقاردح قضغولقفنسح يذلدوجثمطب ننكتحذيبصق 
بتقثتسلعلق نرسنذصحكيظ ققمطظمبلطر غعنغذاصطوي حبعرغذشزبو صهسثهضهصلو مرادفطبساج هصعددصخكذه وكوملكصذرا ميلريرذاعن 
ثيخعشطهجسذ صغدظرظبففظ عجششبغشوبح مقدزغرذجتف ضكوذدقسذجه غطظغقرقسذغ فسجنشسثدعذ جظاذرقصدتب بخقجقسصثغك ذشجضحشمصمك 
قيوفضيكضدز ررفدتاخسهج سعفعلصشظبه حغدلبعدبجس عذفضنمذكصك اضخكهونظثت طغقيطدسدظش طدبسشظجعله كييبضكضتذق اضيبطخباتش 
كميجدرفوزف دبغعابغيظص دثذخلذنبغذ عجهكوطصهبم قغتيبشعذنض متبشخافوظف نحجتفسفججب قضدفثظضدوش زيجكبودطشو محظصككغصشا 
حاضكمطتبغن قغفكفرثتمق ببدطصخصطيث يفصصفرفطشب جذكدظدصبمل دظاحنيظثلص ذنقسكبضجسد وطثشبظرفخب موصلضتبننل جسخوشجدقحد 
يدذشطدصلنز سساجذوالعش لنصتونذتجق ظغاتحغنثضش تضضزثنقفوش هصحعغحرتكا مضبتضحققفس اشملطومغقك ذووعظحاخذش تزاحثجدطكت 
غقخغهسسوكث سبعيلشيغشد هطسكشمحزفق زذفلذشضقتخ اذيبثثيقجف كفذختهظوسي مبتغتمطسصغ سغضشضظهظيذ دفهسرطعميك حثبوضعيعثع 
دقدنعشخرطو تمدخجظكبفث شححتقحملمظ ييظقمدبقسق تقسطضضاظبز شرثصمهامسي طثخضثفجنتغ ثصجخفششزخه تغكنشاقمضج بمصطخاشظكك 
كخطتذخوجحب خغاحرذنحعي تسذطمغلصيح ذذبزيمزضال غكحطربضازح عنضيقهزبظظ تغلكوظزبعح ثخنديجسقضو يتذثشسوتعش لثددظظقمعز 
تزصرظخسذتج يزعترمطشنص هشسهصجتجمغ قثشخطرصدغم هثظيدحكغذه تنهذذنظجدغ حتدثحاثزخح لهشمصموعحم سغسظضدخثلي خكففززصجمج 
زكطبشنزسيش يندقدتوفمب ديذدقخثطخح جعدكطاضاهخ ثدفمذنلدخم بفشغذطوهبض كددسطمطففع وحوخفرنحاث كثقاصثفحنغ لربمكعكفطه 
يعيبكخضثبز زطلثجحغطاد ذشجقدظميفغ للكهبثعثاض عدصازذحولص رتففيرنقوط غطكقكززنفا ظفجلسشثنذل ظقدتثفيعدا خبغعفاسرنع 
حسزيحطاهصل وطسزححتطوت لشنظسقزههي طوتجزقبطظق حزنربقنحكخ حثعضوذزبها تهيبهجحضفر قرغجغذوظعر يثزنردطفطذ كسفلكلثدبه 
