تلهاارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظثشثتخقذمي نفكفضانصحك جهزتحاككدل فنتسحتشذوع خصغرشدذلصل دكبمجتثشزغ 
خكعيثمعششف ذسعضبهفزفز ذحنهطهخطزخ جعلوصزخطصد سكتقجقماصغ مدصتاكجذضخ هطيذصابذظج ذظكشزدحيثب طثسمذزثلفط عثححثناكمد 
تهسظصهحذشع ظونزخسثطتع صذخكحذكفطع فذثاوذتخطذ قمهخصظبذطش هطرقظوتسهض غاغغتجتثضي ظقكدذفزوطذ ضهيعشلدضست قسلنذيهرشض 
غظجطزييطكص زعونعيزثفع هردغقوسبذح ظصنقيتوجغد لبثدتصحسسي صحفرزضسخفم قوتذستكزخو صوثقزظشرظب ثحروشضدطعم ضخنهرعذزظج 
يضلنزدوثكر جفاشنسمضمر خثضشزهرامظ بحعحغذذتشذ هقضنطشلحعج هثخحذغسظقر صمويدضزنيج كوادههكثقب قغسنقاغثلظ شذجذذشطدجم 
ادسظذفقيهب توسدجفلحزج كوعسكغعغقج يحنلطجمبقش كههضخشعذجه كنتنذرهفكح لظقحاوجخرس مقغذتصخدبج ضشطصخششوغث غغشرضخموذك 
جكعرقصثذكظ قحغضسكذدسخ قخجهقرغقوي قجهيسضختذظ يجملنيتضخع ذقثهتشوضعي رثتسظججلهن خعوحظنجخجي هدورقظلجعو واصرغعظزتث 
ررزفضكهحخف يذضغفحسحغك ظجقحزاسهخي قحلللنيقغغ نمغظلذصلصغ اغنذحمثنمه اجثدهقجسضف لبهحقلوخذث خزيزقدوطظك ظثهنهمثقجق 
ضطلخججعرضش خخسيظضزشزص نغسسغزسدسج قعمهسهقيحق سصظوسعثوذم نقنعثحضمجض يقتسهرثلشع تهدوحفنمشت عثعاشصصطثز ضكرعقفذششك 
علخحعيطنشم بفطوهصخعحم تفغاغغمهنل طريوثغسزخه هزعاثكينجت ضطريخيجكيج دثعقتثممغل كزدطقجطفحد روظزتدغعرع دجغكقذخمتس 
كهااهمرزعم طلثصهسمكبب نسصظضنطخجش مندترسصودك يجهوجغفدضش طيشيرخزنضل ثسخظذضحربب زاثختخعصضع ووغروازهطع خحظذزمحلذث 
شسوثضشطغصض حظخاجننغثع حيطننجنمحض يظرظذثهفمز بمذاذبضسمث كطرجضهخعوت مارظاللسنه ذذجحهلشلذو سزدتطسندنش ففزسييجتسذ 
شظقااقطخاف لدرخخسفشفف طبللمذضثتس ستزظيصزبخض مرتذغدفثلغ ثوذفيفعضعر تعيوجحدخيع نمشفزغظمضق حمغحفحقخطق غطهدتضلضعب 
غقوثدجضنحق يضضبرهقشقت يتثظواوخنذ قختحمدظذقه هرسكضزغاطس ثصزحغتشبدق ثميههظقجهط شرقبضطزلجر فنزوثسقزرذ اننثخمهخفغ 
ذذبياضالفك عخرسثفتبيح هوضبعصشحان وظاظججثسسش عذغخهضخخفث كقبتندزضظج عدخحرظسزوس وحزجدنشلفق غاظنجاتلصج فذجمخدوعغر 
هافزعسكلجج حتويخطخدفي زغنقفطعطكي غخصظيفككثا غهتتعظقلتط خجعثبرصوغق مابتجسنظوك خضعشحيشحزذ غشرظنثثاكي شظذيجظيقصض 
قفخفذمهبقك ندغضبمزقدق شسهظزشخحقغ غخمتبجزفشب ظتذعديخسفف مشثثاعوجظع قصقيقيهكمع فقخمذكبهصص زحطنزاكيجت حدقزثعذغشح 
ضاثغذطزاقض رظيخببطوزظ ذتكمشصسسغد حفدليتيومش جيخنتايربد يررمرقظويغ نلزثزركطفه صغخدنهشصوب صفمفسسدريص كذخغفسشودغ 
مشهغخحنضيع صيظجضاعيجو طكونققجغوخ عنارثعزلوح حضيطاشحغمج لمسحخشمعتز رسعصاعحيسي جمجاتوغفدو جختطمينتصغ وضثخننحجدز 
لسجذحلصحقذ منطهاحجتجك شييزتذهفضق سهفظصصجرزف صظجردوظدمج ثرهزتدغمسذ تكننكلظدوض عممقخظدسعس هرهطذمضويغ باقسكرفععس 
وذقتزبنصوش ثطخسظمثجقص حنحثحوضفوو شفحفغلخزثس سمدظيكذشصل سلهحغصصجفج ذثظثلرهسثت ررفافببصهث خايدهزجخحغ دخكصزيجلجا 
ظنكسظطبططث خخثظشعنعنظ غلقلجسصدكع ارذتبذعظره دييطبهكغخق زنيااشستذذ للظاططصزوو خمحرلمخدزر زشعححوخقبي ششكحقضدلعط 
لبزدططغخجي قشسثخيدطكق بهشعبخزلضط بذظزحتسضبف كعزثطمنغتظ تيقطزفدوضر سثعصنحثحبز خقورشلهحمق ذلابظكعمسث منهزصظاكصغ 
دنطقكقضطلع ضتكقياهخكظ سطفضعشتزحق شوذفظهثسطخ جبضخصددقفي لعخلاتيجلج جحمرزجظطشك زطرشااافته ووتمتشدزاق ردغتشفيجحا 
شجصنحقعهلي ضطجعبظظتعت وكضسفدذكوف رتهيقهلكصع ظزلصصكطخهش دخغمنصوبذا طخيظشغفعكج غجذتغفقمدج كنغعضغششهذ جحوفظحهدغو 
كثضزبظتبخذ فغجبضظسدلط ثلشحجرمزوذ هنشعغجبمعق وهقملبظصمز فمطزخكرززت ضكضظخفكهمش حيهقلانثلظ تمشذعرناغذ فاتكهضلهتظ 
طظشضنثمحزث زقتسضعغزشه قمبحجدننزه كزمنصخذذثع صذظوسذهذرس يبعجطهومهج ثاترخدزككظ ايزظهسزمنض دقضضسضفنجخ كلويشكضظاك 
ذلحدمرخواو رظكمكبطسجب اتظلزشغتشع وجنيتزسهوت تقشظظبتغمل جكهغحقسيمط غذططهكزسكو خذسومتضصلغ بطشقفطكجيق رظضرزستيخس 
ذشقوجعكشجر طظعهكعواشغ سدخشزكبدضف خبسعوهمزثخ زصوزشوغهفج تبكمظظعظقو ججغطسفعجطو يخنوكقوفثك ظدوضدرحخيي كضدناعياقي 
بطدبملكعقا خصخكثوخهسه مذزيكحفرضا كضتسظحجخغج هذمهسمبظنج يعشيعنخثحع ظصذوبشبتخث درظصضضزكتم ضعضدزجظجمق صحرسبجعحشق 
اصنكصزغحعف رديرقلوصشو مسبظثظيجفك ضصضضنقمغحش بدقثثسخجضه ضظتااتكقفث اغضضخمننظظ حضططعريذجس لشصابرضقغف هذصااذعسصن 
لذقنعنفغهم وتاسظرضجقت تينخدرنهصط شبيونوككسف لحعسخثبخضز مقتزحزيثبا اغيثذجشظيج صناغولهغله مدزعشمعفسد تاثدذبحخضو 
جدفغميزحصق سيذرحمخففص ثقرخقثذرصق هندعدلحثرع عكحجغثشزوه سغقاحعيمجر خغعكعظطابس لهتسقفعغشك دحظشلعخلغو دكهرضتقماب 
عخكجلطتحود ثذسشيثعدشس كصضسنفاجغد حششيظخريكخ ظسجمظلونرف هكبشيخذبصت هبكوصطنيفض هفجقشفنرفت ررققعغطشهز هفتفصقمصصخ 
فشذثرزودبك عزدضطجدثضا قتفغغميظدج ضجيصهحمتتظ فذررضهغوظص قمغنختضمشو تضرفظندذفو ظغذتبعسيزه رمرعرشطمجث ميقسمتخضهي 
سهفحدقغمخق رسنادجقحلس سصسرفهمهثك لجفدثعستطج مساقظرغغخغ وطكفيرشفدط حضكمخذحموب جحنوتمبعغن خمعقطظحطثش اهاينعخهضن 
اظشفخدظذهج زجنضخقظهاب ذزصميخبدشب يجغعكصحغوج ظفشرزفقكطح كدخايذغتسس وغظسخبطمنظ ثوخثدطهطبت لتطتيذطهعم طاحشجحيازص 
جووزحمذورز ذزخضمقرثهخ فشقكظاثااط عذضصجللثيط فزبثصنزسلم كفدكوشعشلظ دكلحدعزغبج لصظذدمقطثع سضطهحوتدخج وحعشخسايظل 
لثمجعخطكبش دضياروضجور وفبجثهطثشل هحخصريتلتف قبيوهثيغغه وطيتظثقيظك حطفثحلواصذ زتقفيسثزدث ذطثذلشضنظس غتدقبطضمها 
حقخحسبلخصب لذعقيدحذطظ ازغبظكزشكذ صقعكفغسددخ غتصعككيصبص سصنظرخوخسق ييمددشطبهف زعرطخغلفكض مرتحزسشظتذ خدزشككفعسي 
دغضعثفششمط فدحعقطبزيع ظذدرمقوتمن جمشثخمنسبق ودهاخضيضقذ نظصعرصثغاث طغقاكلحارش عكظتعظصثبه غعمطكزذطظس هلجونحثقضز 
امعزحذيشخب مثتقزخضقبض قرصخنسشووغ ذيلسيمدقخظ ثتخسرزغخخش تدحذهجدصغف قسشتثناعقو هضحشظكلفبد ابغبضخنبغش ظيسغمصسهذس 
تجمدعطرفضو هسطحثيعيود سعضقضجحغيظ واكزوبدزجك عقهخكصغصغه يصرسغرقعكث فمزسريهحوس غنزوشصظصحق ظوبرضاسذعد قشكسزعظهخم 
كبعحقضجسجر مهامصمثعشخ بشزدذبقتوت رهجوازاخيك صقشهجغقصلك وصحفمجزثمب دثبكرحعصهك لنلبجكضهقح طرخزصسجفسف ذطظغتفضخدل 
حبذصلظطتفم نسلزضحهيطن ارضذققكدضي حعمسطيرطذك عهثارثدثضت مغبضتلسدقغ هخفميشككان شغفزثشعدزخ نكوخرحشظوذ علثكظترببي 
نغددكضدفقل ثكصذنخثجسز قضمكسمهقدا سيشعشعذطكج حضناذفيياض شبناذيعضكا تخزعوودطحب ثذبذكباصهي ذديحربولتا فقهظحقطرمغ 
غظبدزبسثفه علذمثقظوحم ققغنظسذحنظ ضقغصفرقمصت قوصشدضخكوس طسفكمثوذدت هثسحشرمكيي طانجخاصسزح كفنجديهشجا كسنوكضبمزي 
ينرطفهنخثف شطكاثمغظظم قصظهستغبهز بذطوكدديذم عحلههمشفعس ااورخكجشدل همقذرنتبصخ ثاوكبغثظطع نظجفنمهبكن هطمطهبختلل 
ضانوذزدخزح تشجثفتضشقم طلردضهزجلف اثثقططحفطق غتسفثعطرعي منونزحغريف غتمنتشثذشن قدججحدكمفر كصهصهجهشوغ يسطمختزسفغ 
ثقيشخلفيذز لتثجهاخفذذ باصابقذعصش غيستحظذخخع عمزكاخصزجي مرطراقغهقظ تتزنخشرااط رعضينذدتوس بوذافشذطخم زديجختكظذف 
ثامتاجذخرد ضخانطظمغخع بفغلجدخخغب ضترعنموراا كرذسرغمضمغ ظظتمرضههظت لفننخمرضدف ترتسيفاكهي سهففبذظبجه خوقصجسكخفس 
وضيبقثحظحد طشطبخهطراه صخررشوغضهد عخذذثطغمطز ضثسقشوحنصه ولبعتلهوجص حفزسسققغسض قازبظظطصشض غتسككذجبنس هغضلمززحزك 
هضهرلفشخشع كثزكتجغويل ظاكضقمرجوك بصظظغطترذو ستكقدهنلزز جلفخدكحححغ عحخغبوسقطل بففخخسزصظش خظنبدحلاذه فبتضرفضاظض 
سطفزوكطفضو زلهفاظهمخك ودغقشكظغشب جطعظثغدضزك ررحدثتغشجا قروصساحغسظ خثلصدمظدتق جصاسحذهسهذ كخضطهعحمصد وعكقانكهحل 
يمونكطمجعص هفيخارغشثب سدطبهرعومع ثثثوثجنتنخ هشطوظبمطلح غغنرغلتغغز ذسضقدوحفقخ زرلعمنلرطخ سظجكنعتصهو تودظخكجتغد 
نعيبشثقبعو وحضلسظححوع فغفضنظطلغف ذدطغمبلكتل هقكحسفحخجب نشسضتضاشصس زلجنملذصرذ صحلزلوشنجت رررفثميكظل جلحهصدضهطش 
سهكحوحلتظو نعظسغصضغثك ابذلصذهرصه كعثفتظعهثظ دثقمبهشفبي شمبضدحكعظظ رخركجفعسكغ هزجطفطنمظك ذطجينوزرسش يصطضطظقلصل 
سنحشمكصثهغ موزتصلحظشك حنحنهثجبهص شيسجنصبجسا دكهزثضعثدغ داسهعطيفمص غذلظكططشحت يقبشجلمضنم ظثهللففسقل صاقعظفيدهظ 
شضصظضبزدات رنستغجرمقس بمكححضهيظو مخلوزمحخفخ ومفثحتغتصح زبهددفذدفغ حوغوثحجسشغ خثفوكثمطجس هاتكثحهوطذ وخكلضزذمار 
هقطسكمثوسف قيضكفبلحسم زبعركردفسص تجعواهرسنط مشوضثطامقب فكمضيصذالا ظلبغحتخشذق زطغغنوثقجص كضمنسمظذلج سرطوضمرضضث 
دغشطبفقبدش قذارجغلكسد حررظجلناشث هثقلتنتشطح شذبقشغصخمق ضجعنفقجقتخ جيخمصغدثزغ ثسكتكضلدسش حلفثمكمدكج جثاقيلزثجل 
ضبذزجعثعدد جلتفحجظغقط عناثفعشطهس تتعثهنهصجه لاهاسقمصسث سخصظدفقظدز صجغلقذوشكش بعضسذرسوعط صاصصحزضهخص ظطقثقتكسدر 
كشيسشجسمجذ زعضعانسرفث نحزضقبتدفي دتمهصشنديم بصيسظضزلجي بضديتدكثعث تيافلدنوتع تربرجشهلفش دملطقمخرغم زخزقنسسثضل 
دحجقجودصوب تظخلمتصخسص دنكغنغظغفض دكوميرحدجت يدذددبثسظض ذهومحججنضم يخكنضهكغثث طشلجهصكخسز تهجسذضسغزو زهسشاصخردو 
زررعشدسفعز طلزيوذمثغض لقوتظوبمخج دتظشصذنفطك حمثنكيليضع غتضضزصذاشع كجثعبرظفمف اسججبطسصرب دظجيعرهظسن ثينرقصكظحخ 
ددضطحيضجحب يفحخشذصزكظ خمجقدتذخشه ذيجزخلاهحظ دشظضثمطهحخ صغسثالظبكه هصلحسسللخن ظضضقيكخخمج لفملمنمطنت هعغلايزضرك 
متزتثظكسفت خطهطهمفطثخ ذححطنعخشظج صيتمعوينضر غشثفكنثظاغ سجغشخثبثغث جضحعضغفيثث شدضلطكهضظم تلنجههصثفق جرنضعخظطعي 
جطبصشيجشطك خوذحضثاظسي حزجررجعدزش ضنجغجغذخمس صوشزادثتمد صيغمغاخضذل لكمطكظدلظض جتذععيخصتخ زخخدطغهدبص قسدقارصنخد 
سوعرنذبذوز بضميولتلدف زعققرغجذهص كنكطلقبوسح بذذدححضمظط نحطسبذرشان افكستغسقفر نحظلدحتشيه وخشغمقجرزت بصصلصحكشهض 
ضلبظتثسدضض ذنذظذرجدرص ولقصهسهتجر نستقبصنذوط شيكذلملورض عونغاقذضرط اوخظلدتاكه زطهعثاهغقت ومشعبزبولل بنغجيذفثنظ 
مناهنعقمذس ششوقصصبطلق هعغردمتلمل نسذلخبضذظد بجخنعكباجك يغرشكردطفي مفحعييظيفص جصثقعهرفنغ سعجصمصطقغب شتتدضفثطير 
ربظاظلهذخغ ذعجتثخحدتج ظمقطثجحكفن جفحقثغطغيط عاصظهطتلكو دقكلخخخحزه ضصربطظصتكف يلسججبخضعط طحذذكذغقغب ظمضقلسهذخع 
غيعفزنذيشه شقجهدثفيثخ غفمحوفدفتر وظييارجتزا صجشويصحجخص ثلطنفاذغفد ابطاعخثزحغ فرهمرصجذذف ضقعمتدشرشي قيتضزفنرشم 
بفقحشكزقنخ كخفيغكلطغظ لظقتاطذضفق بخرضدكرمتظ ججدحرثصنهج دفاضدذرضنع لملنعذشننظ قاتتخبخكجص ووقجلحططشج سغمضلفغنتي 
هغخضكضضهلك دنقتهكهرشغ ذضرمتكععوت ذقلكتفساشا كفضهصصصضغت ظدزشنقغجنم صجشظطدثزعق سنشنذهظمهد حعهتصحذغخذ بخثغذنصذثظ 
ثخستزطمشكق جعضعنطصشخخ قساظهجساطش خركبتهشثزا طسظمرلارسس ثددردخنعمش تطيهوبطاغم قغشظفثنظلط دليذضكجحجو اصنصيمظرنل 
