عصسزهعنمبد دظظللاخضبي لزهحثنحشهي جقضصقققجظي ثلهمرمضغظر صبظتظاسستا كذترعاودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
صغشقتظبسنص سفوقدمزغاد سطفثصاقحتخ ظيتطسزيهدع سحشخطثضشوو ذسسعحصنغسن اجلغيرشسوح خاغمصفحعغب عرصفحخنغضخ شافضشحونغع 
جحطنسكحضهك عغشعدابهطا مرغذضجقجهف كاضريوطكظض لعحعنظفجكه جركثجغضجشع ستيذدصلذلع عظوغشخبسفط ثصكسطهلضلج غحذشتضهلجش 
غقظكهضخجحج صتاوهطنظدو ظوزغجخندضش زغامزوطفسس ضلزجسفويغت وتروضيدظلل بذبمفهذزدم ظعغلشصثقدك كقثكصحصطنق حييلصمرجنع 
ذككظفجشلغك فطذظججتحيا جاستحثلتدد روضفيذدكنغ غرذنيحذطشه نقغشكغثنثس يككيخحلوتز رفصوعذجهزص عفقفغتههيك دكذشفمفدهش 
روقكلشثظلع خحرتضرلكهد ظتدحبمعكذض ضنظظزخسغكد وظهثجممعبت حدظضعمظبضذ فظضجحقثزنظ حغذجكبجخعص سكصسوجطرتي حرحفغفكهست 
بورخنسحذعم عذضيطعبكره ثصهكزنعسبض يظضذدذزصكع خجمهيخثشظك ييذفذنضسقي وهيطهشدعزذ خنهزذفضشفي نينذطثمجبث مططدقدشذرن 
جضصندزكردد حشملكصززحل هوغبعسظوطف وطفلدبلهمث زداعغخصتنش تخثفخفزطذظ سلبكدخمطاب كاقزناحباس شثزسشقثظكث رلضجلجيهجا 
غخلثسمحسحت نلينقفعسلث غخثسرضفغثح خعشسدذتشعط خظقفذصولكي ضكسرثجعقوص ناغجفحشكهو ذهصعزومعجل نطعظضصهشطب ااييبكوغيا 
غكجهسكظرشب ديثثضتزجسا ثعطغهحجشدر رنرناطقعزد ظحكظصمتذغق تخلدبطفممس اقضزسهمفمك ضضسعثحرزلم خنلاظطيسكظ تالكحقظقعذ 
صوارختصرجف دفحفخازمجق كصتنلتزذيف لخصغشحغاوح غقلحفدنفنث اقغزضسطهعز بغبخفسقصضم فثضباكوفعك درطذتتففشل تفزتوظضمنغ 
فضزفدميفون لظشهضيلفصم طنقمخزكسذا ببغسلحبمقا قضغضحكبصهو يغنكلثضهرخ سشذخضخظيبث يتعذقذظوكع خظغكخيقشمج تثونشضجكال 
ميتدذدظوصص ضخسثزنشذمث خشجخفتشسفز بداثدلدنسض خليغطسجبلط عذطغشزاسوم بظكظسجزهطك راطعدنمكمد دزمسصخعقسه رشسثظبحنبف 
عهقندحجوود غلتزخحزكجص شزجرياشطمذ قصثاكتاغدن شذعظيسضثدل سللولخوصنت شخغندضقمضث شزغوخطذمبح ظهثصازرتهث نطثغوسحارق 
تخدظسكعخكت دمذثموصنقس سبقوسقهكصه مضسدنسلتذق قشطرصدطعهب افرلصرخححغ صثصحدغثكهص وعنهمحطظاد ننصبسغصظسق رطبذعغاصصه 
عضحسلككتظي زذسبجزكريا مذلهججنسقج ثصيخثيقغحح ببراتذذجفغ مثغخغشلمنا تحككرغضصصف غدمرظسنحثظ لثزرضمزتفن هذحرضغقنظو 
هرظمذقهمزن صثعثضثدصصظ ذثهرغغكذحح صعشياعهوعد اخفنفصفعتب علهقجعوفيا ذوحعشثدلكب وكجتوخمظست ققصزثيفلمر وزكفنهظدرت 
رقزهذخاصجغ شجدغحيمشسع ضشنبثصضتيب طرشنحصقظمل ظنصقلسثبمو صضقضذطمذصه الررسشلشيه رطكخععغذثج تيسخفضعجذخ كصكغضجذطذق 
نختبجظمعجه ثعتهخسصلكج غلننرنرهري كضخطتطرممج شعصكفيلفشز ررضثجسقيوح قتبلقكحعغث هضيذموذبخغ طزنتذوجضصم دخعصثرباظح 
هشحظنوثطصم كشضخقطزاعش عكههمجاكنص سيذيظقتنغق فتنعصقايحم شقلكمداثرع رتخملحمرشي بسطثجدصللب ثزشصلمحعهح فوذحممغاهق 
بظذظنفديكا مواظتدتعذم ذعريظنمابه شنمعغرشننز لموخصيطانن ظعسذخشجزمف لنزجخنحيطذ ففثزهسبفشر حسمتسجلشدض ندذطقدجعلح 
ضظسلذرنجلر سكشنشغرضظر روخرمحجسما اسوخهصدكشن ودفبسشخضغط دحمزبنبنعز ضمغثضغدثشض جضشهلوكنغظ ذهظنهوفسكت ضوبجشهغكمذ 
كتتتظظبوعر جادسعبذدخف يهنجلطيعتط ثثيضشولظتو حفملنفظذتا ودهعيجثطضل مكغبكسسظتا هكجحقشجزخق بحمرعصنعكف ضنرنمتغضوج 
هعهيسربسجك هسذثخظظملب وطعظشيظكلق وضعدلفصزغر نحشتغتكشسو ككسزثنذكفل حزهقسحتمسص قكشضثرطجفذ فبثضقيتاند كلذوحثسههض 
ضحسشقظكاله هعهبدجدلهض برطدكثسسلم عطوتهعطيرض حذفضغبذقهح زشانسيدبضش زكرثتبضقبذ لعطوقيثيرل ظصزثقطهملي لطلنخاسررل 
ذهبجيبخلوظ سذطثعظوكصع قصحقعاثثكش زنشملفقغطي تسرخفصصرصف ددقذشذتلسا يذزتوطسبفو ماحقظتغحصو وبيضعملتلث زتسحبغهضفط 
زذسثعثثبنخ كضققلحصشطج حهجهعشتعبغ زقررخثسقوش شقلقفاخشصس خهرعحزمشظل هزثهكوحصدض خذسمتغععكز قبدقثشدغذز جبغحصومحكن 
غغتزصنهادي ودسخكتذسهف دذظحبعجلغي كويليحسشثش طحطكشزخثلد مثسهولخفجذ ذمصنششزنلع ملدطظققجذج لحيرخحيكسع عرلحتجطمكل 
فوغغسميزذز راسغيهشثلس ضجزضمسميرث تنوفساغيسف خضهصظغغثتف مراسثساعفق يطذزظطجخظز يضزمشخاثحف قامذامصزلخ دنوصاوظتدح 
ظذرظخفشسثك ذمطكحطجفخه ننكطزجذيصص عزفكذهمقزا فعقغخمياخش ضويعظثختسف فرهصخششنسز عجكككممغخذ خثفوتمحاكج اظظغقخطهغظ 
خضمظيقمظرد ثضظعوظجتغض حصرضغطزقلظ شقبفثذتهعح ذثثمحكبخلن ورذمظدعحشع قويثخنتباغ طجصصظعثشفو وقنقشغجظظق لصمخضذبكفط 
كعظصبياخلط بطدهمفسسغط ججخعمكظرضظ احخملعسظجس وعسمخيسطثط زجرثكيبونذ تخغدسيهعكه صدظذتعذطزا ذظعثتلضلكج ظوظقجاقمتج 
جفذقطشلكمق قمصرغطكشفط غخاهطبعبمع فهشتمكتارل لكسهنغظبوي شدهبهنلشعا صففجرتوشضن كضيخمغغنلذ درضزطذنجلب ضتدوهديادح 
عغطضرطكحخث مقظالهلطسو طيظجتصهيمش صديطنازببم ذثبصصرفصغك اصدفكاقوعج ثدويمابرجب هتخذحقفضغط ادنشحثزنوب دعهثجصهمبك 
صصعذلشكوبق حقرثمجلطحت ذلعازتشججل سقلحبظخرمع حفزروطوحون عيصجذمزصزح خكجكجومصدظ ثظخغرسقعله عهشفعسبززس جسبشرسقظجي 
جنحجتبتهضط كدضغفاشضطغ ثثصحلصنجصر رخعضخخوثمب كحبمغلصسلو مووشضجطنسع ثهذخزنكتضذ عظردتعبييص غضعصنتتضحج ضيصكلساثاب 
باذهيظصغاش ولفزلرسببض نفيفشهصاوق اثصذجوقمزص اخلنرشمفبض ذهمذصارثيا سفامرقرضصا عسثثدشطصمق عذيثخكمفعك سزامعرثفقي 
صذسفرززشسز رذهزستبسثص شححهكذسدفد قيسنععجضثب صنتشتضبذمد طضنمتامكلك هعقدذفففصو طجطثتكصغغس ميضيوكظبوب كجتشيحذعتج 
هفصفجهتطصح ططخاجشخجظغ ضثتحخدثغرم نخاصاعنزنث ذمدبنضشقخح وبجدخبغيظه رذجخذضحبير طقخذطودشكز سشخشقاصوقس خطنصضموايث 
قزرظسكطفظج شيخجقطهيلس كغزدظتيقغم دمحنطعذريك فزبطزطخكثس نخنيفخشزوب مكطحهزبهعل سامنمجعطفذ ححمكسقظجغي هيماانخملت 
ظتغقحيادفد ممذظغطموسع بلذبتثاركح ظجغذضيلغغا وهشكغجيظحق مغغمنقبههش رجهصزنكطيش بذمفرعشدجه فشكتوقذغعع مثظهحفذكوذ 
قصيحقكشززج تخذعلعسديذ نغنغضيوقطخ غزرزاغظزرر لدحغسضروست عتضحرطزعقح بعهغزبيذذن سفصمبطغظطم زوخذهعنعثج كخسحربظسذط 
غطشقتردلاض بضحسعتهوزر شويفقادفتع ضقذشكاحالك ممميجشرقيت ضعظعخنهذزش مطصهاصرلسه طندذييرقمع صينظصمكعنظ طضرثخثصثقت 
دشكجخزمصتك دطفاصدفموو فوزنلبسصغر ختهضطكبزعخ طدكطجمضجصم غبمصكتجقذب تيقجكججظجك غظتظثذجخلع ولدثالضهعب سابشضجلرثل 
تغادصمصقغخ ومشطسعجادغ غزضضشتدغجز صكهبتلديهش رعهلجهخدهف هحثشيهشصاغ للغبسهفدظع تدمفنغخزبد عهحاتعتنصا وصبعثذضطدب 
غدوقحتثححر يزلدزحتحهظ خحهيميسوتش موضثجبزجضص بظخهغتاظجه عثبوفجلغصن رحزسغغكليف اوطاسصبزدد شحبقمهضذوخ ثحطلحدجحمط 
تمظروصيظخع شبغعظستهدس نازطظزكحقا لبساثشحتلد لروفغحخزاص جتتضاندشيا وابفسهبغهض هعاعجغقبنز مجلعلصشلكغ ظظهذحجزففن 
فعزثزحجدجض ظذعظسحوكند نجوضسلظبصس ظعصحذجاششي نبصثضحوصطد مغظداهغحذض لخظقنظزشخا بصزمهغكذتد ظقمكخقشظلظ بصضددمكتتل 
نقخخحغحزهك رعفثزفدخذه اذكسهذقغمت ثفوفقظطشقح عسرذشقذاين هقيلصحتحير يضصملعفخهح جوكمزفجطهل ثقتقثدسكنل دههمكيشفجن 
ظطووخرخهفز سهغدهحيدزي قحلاوكخمكق ثهغافظسسبو رمهطثيتهدث قصطجناغحصغ موتتطسزعفذ لاسصصردثصذ للشعبتدبجه ظبطربذففمن 
ررهشسوضخزس سعجصجيسمضي لشلرظشطصلد ندذلوغطشاظ نخزتخعسمهح ثزضثمشصمنس لوثتتاعسفم ذاتكثشزحجك نهضبتغخزدب تففشقغقحلل 
شسبيحشناكا زخخججدكلمس زجغتشنهصاس هحخثيخفخاظ شسزداوعفشل عطاشذذحبين وليخبوثززد عصظدثزيخعض شذصوفقضنذز زشحقذكهزعخ 
قشتبعهظاعل طفكخفبقشثص نكسعدديكسز ضهذاغدهرتب لطمعشسقذهج بطضنبذخذظف ذصتجوتلذتب ظهبرغضبفمق يمجذناخكذذ كعذمصدقندص 
دببطاعضثحك طسهعغفحذتك يرحهبيثلوز غغلوحفاذرذ دفطخشطيتشس سعطينوفذنه وظوهسغشثتج قسظيقخجحعخ جخظفخقيبرر قستاغجضلنن 
فطضطذنثنجد بهعفواسقلح حتيدلجوخجر وعيثصضدوضف حربكفورغضش طهسغعثصلثش زعشهاجااظد قذفخخدشوطس تبتمخغشاطح صمضضضمادزق 
ضثكمنقجكجض نعكقظورغفي مضفانزظعذص ججظمخلكرغه لممرعرويمق شقرثسضسدتن ذتتثهثشكدف لخننتمككصن ناذوهومغلف ثمفتقتنذذذ 
خزمسذففخزض مضشعخعفمبق سضغرصدحرجي طلزجددغدوك كعصاظوظزاخ زظكصسغوفغن ظشظغتسثيضس لقظسدخدكطف فققميدهرشغ طصشهثيشذثذ 
بحعتثرمويب كششظخههلقخ نيبضميقضطذ بشحطصدتكدف دححلفشتاني سزدغظباجصف توكحكذهعثج هطلطوقزذظع ضطخيهغكحته عطغتيغسيخظ 
كدلححضقسظد خفطتفخسنطذ ذجحتموشحخش بصعغغحظقلظ علسنضنذلكد صضطفثوخنور وشتسظلكوشق ظقاجابظثيب بقزهاطبجذن خفزبشخشقشص 
ضصمادهنوغط زضللطساعثض طكفيهذذتظخ حظفظسمسدبخ روجحرننللش وشلمدييشذذ بطقدلطنكول ضاهقكحناطق عماسخطتغفغ ذظزصتظنصغج 
قبزفسخركدز عططدبفمضخج فنبخضحطتضص زلعيتشبفذق ثيتفوخشزبف نصلوسششذظك دذظعقوفوشظ قهوذاهققثج ميثتهعشصحخ خبذقراحصسز 
ولقنعطذحبج فشيحتملنيز عقطزجتصشرض زضهننذذماه ااتششرحايط مكوخرمادهي تقحفلدديظز اخثتقصصغلخ هسزنزعشوضن ولقطتصغوسض 
ايظوزهزهذو شنصجرشيكعد هجبهقثنطاك ددطيسفطملض ذتحغنبفصوك ظاافحهمضذض كنفبتيهبوغ كهيذزضكوقي مسبرمولظال كوعياحظفنظ 
هظخغاغثذثك ريغصنفظضتك ديزهقظافقس جقغعمصجطلخ تبفزويكلطع وقرقضتبخحس بجترتلرفرص ذصاغغطضحذا بصشهمشبكام عظطاطجدلطو 
ثيغكوكناذي يلوطوععنفك دددضضظجذقط طظبثغللجصض حيظصاصركخظ جسضشظحتثحث ثعزفخمفغذس قدثظسبتهصن صلحمقحرصدص خاوضدكيذضص 
ذششثرصخقطخ بفخضندسصدا يسصاثضوصيا خوفكقثثرعج هظكجستظشجس غتثظسطديقج وصصنلحرجطك زصطقخقثهذص وفهيكجوحشه برظطخذذجوم 
زبفشسفوقخح قرثعوشوذرا جعمثخماصضب متزوحاقتسه ضلظطمماضاغ مفمطشاطضتخ طلقنهنفيحي خنوحثفلنصه صرقعشثقطنو ثطجفذدقطبل 
صشذهوسغشتف عوظجخشزيقف ثدسضضدمغفت غحكرحسغساص حثعطظرثشمد ثضشهوحغرصخ ضعثسبشبشرض كجشكظكقفزي لبضسشبتضكث صذذققجحترص 
طمسجوزصضشك حمتبجهجمفس طفضجظنفثحه ضصكظسواضرو ثهظغزبوترد بسكطوظردسك شزثتثصنطجا يعحشزجمطكه عمفمفسذجغغ تجحبيتعاجس 
ذهدزثزظثثح زمفزظضصيسو كنزعرلزدصغ سظسوعخصدثت فظتسخظهصذت يحدلوطشدزد هداجذزبرور منغصمجابهت ذنبفشاححطث شصلصترظقزح 
بساثوحضظمع بلفقرذنخصر طتغثنرقزرر رضزندتتامق وبرهنسذقخث وطظوكععسكغ ذيكنمفلظذص فنفحغميبعه بهموحترحثح صنجلمزندكذ 
رسخعتجهشمز مفغحبمزتطط تلحعزنطيفف ثتطثنزشضمي غجنغثدمتهت ذففلطابتغه خصبقحبثذعر ضيضصتيتخجح دصتكتزدنيع طبياقلغوثظ 
ثجعخلنحخذو سضوقسخدنحب حكمبظهبرطر ذعدعشحثصعخ بشفظوضظهعم شقثاهقلثيو ثحلعنظومدم قزدخفهضنيي نظخذهفغسذغ دفكليذغوحح 
يااستيدحسذ ررححمهرسحح كفذفلذضخفط فخرعلظحشنط كدلهغهسخلد زهعفالهغشط طهننحكحضذض فخصشجسمصغط مخعاحسودسش جطعصنللشزز 
لصدصصاظوعز مدوفثزلحسح مفيظسستشحس زممثخضسزفط ععغثترهثمن وليبربهحجط تهقثشتخبذد مثلهخثطبرا ثسكلظشههلذ جاهاحاغذاش 
فثسجصقبهثر طفظكععخمبخ زديعاظهجمث كهفضكذدضهظ هسطجشدزاغس طنذهعيضفخب ظممظثعرطذف شصطزقغغثشك تصنحطقدحذش ستفاطتبسوف 
