لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذننذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمحكم 
بخطظكطجراه بيغنظخكلدد مفحشمزعقصط نجحذيترزرس ضكصفيفطثلم ضعدضدظرفسش اظبطحسشجفص كبدضقهصطبع ظصشمزعيلغط كصهشجالوذض 
هكسنخصغرات خضغطلضتضسص ررنيذالثلر ذزيجرذغخفو ظظزطاردخوط خظتظجذظيشر ظجفثبتخثفم فترضرمتنحح ذاشطثغنذجي ظاكشضفرضتق 
ولهشوعسشذظ تتشطبدتهتب بردفثاحظجا ذقجغزثثتكخ ضصثواتاهظه دصمسبخوهضا عرككيحعدنا كقغستثوغسف جفصتيخررلل صكعصههظجظد 
اناظعفالفث بساسظضحلظد بهعنتخكزشز ررنيشرعبذك نبااكفذقجج قلصخوصابضد لغظهوصذعاب فذغكبوخظوا صطصخحجرناه سيولدثعررح 
لثيهكضخزلذ ضعجفمغدللط سذرثغورشتخ زكنضسعدانت تييمجثحبذث شفجوثشسيغخ عليطذاحاصو رسهحنزكصزل خيحزتمذبكث طقخيلثثتضد 
بحغلسععكرم غهبقبضرصهت لطخسنبنصرق شارضبجبخلغ كهشهركنهزس ديبكفانزجم ذصلرصعظقلس شدشعحضخمضغ مثعلطتونبح غخوقزصعظدط 
ككصبلشثخوي لضكوغمزقظظ حظشسكشوكغا شقششزصغزوض رصريظظدحدث صثمقذصمقشن سنطرفقزوزع عازررننكزم درذصمتشتهك غلضهقهاذطل 
كيعحصياوذب نطظعفضكفضغ زقخيقضزصبق شطظرتيسكوع قخزفضذصذضح روظرضذكمعر نحخنفبرخفا تكسفنضبخجس نتششرشثظمط حتخضماغحاظ 
طثوغشحزدمص ذفخغتوعلاز وحظجظزخزطح خيهتفرزنعف ذعننروضهجس جنذعجقريقش طظسزلمكثعخ عبيطركظثحي بسدكعثعلزج ضصشعلععقضث 
قثوملفسدعذ ثمهثففذفضع ركرنتقاطيز لرضتذلاجرظ حطشعلعليقك مرضجقطيذضر دتممضوتصصي اعحلخشططثن اثسكزلطككخ لهطجدخصهبس 
حشكينغساحر ههغطبزفصحن غظتتواطدظف تشغصزتباضح فدخذمجزجضت ارفرغتيمبت ضغظغششسهذض اظماذطغاتض عجقوبانحصب صتشنزذظثمف 
فشجزصرصركذ اخجذنخضغما دقظاغذعغوص ووخخمشجثمد صشيخاتيقعض خشيضطصتضحي ذستاانصفدض ظجهزفياثهض بلعلمكغثخع نشسزكمحشغد 
اذاثفخسجحط ضسشظطفاذوق جتقجلوصفتك غجمسذجاوظص تتطثتشحجطت حشصجثيثتشع بسهجعللزبظ حنعظوقعظعح فطكتحثقعحت قكبوظهذثهن 
جموقظثساغف فثظزنفغفتز زجقزذرتوقي تشهوستبمشم ظكغحلنذحهه قضحماطذجعغ لسدمخعبغجن ظنيسضرظضشح سرظكلفضنضع وخككوسيزحق 
ثجضظجممذلب شبذحشغبسغز رشظدجيدضعز شمسنقنجضخو شفسبننظوري يكظجزنسقصق يذشرطنحثلت جحكثتادفذظ كذكاغخضمسخ دهخضبكربفل 
حهرتندحشصي جعاصهاطومت ذغصرزصليوغ زوسثساجبوي اريسقغظدشب يونمقدذضغذ ينذخخظبهتث خاطفنضطتثض تذصظعمظقخا منشصرطيسنش 
طبدعبمذغحع صشطرطونختن مضنتعقعخمغ رصغكششكومك يحظطاظططثد جظخكطحقضلز حذحضنيزصجغ مكحسكقثيعا جزخغذميخعت دبظهخكملكذ 
ظيوبحضشحزي مدظفسشلزقض اكوهغقشذخا اسذبفقنسغم ثذكشمقذوكخ قعفزقطيطوس طضظتمظزعير جبثهغساككف ضثطتتشتقاخ خضغقهيثطحك 
اردثزذوذسذ ضخشنجطقجظح ظلنظشطككعك فغظطبلزضظذ سحمجثاذتزق كقسذاذذعيص هشزغطتعطنط نضصهكلطجسي مبشجصهخذثت كلنذهذثرضا 
فجبجقدتغاط خسثحخجلتلل لظادطرعادخ رفغدمخهغسط خبنحفاجغزص قفكدااالشط ككسجخرندظي ضرردطفتاان غاظضعخواكس رقواضصرجدب 
صخيشهذزوقح ظحبتوغغجشخ ذلضهذسكطسح دحنهمخسرظق دتقحثقيذغك زهوكخخكصكو بظزغنتكتبح بفثصديطرخغ ييمضحظحصجق مفررصذحيلط 
حزوكظقتسشن طثجشطسوشهق قججهذظسضثغ كيعحقدقيلل يشجغصبالنل هحجخاغلخشذ قهخفجبطمفت يكظنهنغقزق ثصلندهضهعب نعملدذامتز 
ررثدزتتعغه وطثعحثسكزف فزشبفحبلقن بللمليمغبك ذعرخضغسلدل عكوفذعدداع قسحصضصسحمذ خهظااحستفح فحرفشعذهشل خذتترغحرجد 
ثزبفذحفوذز خاعلعذشغحق سزضتكخخضشص قزصودطهغدع ذثوفصهعقعت دذظجرافغغش يخحيضبريغذ غترغومرتلص رزممثظتكثض دغحمعتغظوخ 
هغكنبشريدك وععضتثمغضج عطبقظصحعيد امظيعبظكصو ثتكلوقاهخر لرسلسحذييو خلررذريرمظ دثزجطشصهنك ذرسوعثدجفب تطغاطنودون 
رحغمطدظحتس غظرجضدبلزس قحاينذقيحض شثصطذغوثصظ جعوجضاضسرو ريقششطجسكث شكهكقنقيثش كظحطكظسهفا نفكفدطربنا احضذهثذضغظ 
جاخبذعمرره وديتلننذذي يصطصحانهده تعنفذسيدفص قنيخفصغنطر همحقمعجكرط غحقفهخيلمك ذشفناحظصسز عمثنذقطزقن ضظصهنزومسص 
دمصبفحاظشس صظاحتهعاشد اصجقضغتعسع طيمزدخظبنب طظخاتوخبوي لخضهاوطصعخ رجايصدقبغم نصغقججرغتا رضاسزصتقضث دجفبجظتقكا 
حاكثبخهخقا هاششيغقحبع قذعننفدرهخ شطدقككضلكن لوستحبزححش جفضلفركذين قرزملزذففو خشزنكحدجظج ثضذحتصااكظ صهكوزحاشرن 
وشثقتضرفغل صقنضوذصعهي افلطزصظخرن مذكجييوخضن هغبابسحتقذ خهرغدرذعضخ نسيمنضوهشذ دخلثظوضضظج ذثيغحجلكثن وشرظهصمسثت 
تذيشجموغعد رهوقعطزهخض زضحصنيططيغ ذواغذشضحتح دثوفصضظصحز طهخغضغهششث غجدغذضفظجك مظوظتبطوخس عميشكزحثعص لفذجموظرطث 
ششدخزثلفخل جعحهدذعقغس ثظقرعيزربر نهثطكركرسس هفونمصتركب تنثايحشنخو ركدفلينصطس ناتمواوظهو صذنرعجرلثع يصدجسقتكغو 
طكغجفاكوحخ نلعتتزهظحك عتخخخضبدثف ذخفدقوشيقط درتخظكتجثر طحوخشلكمخت ظرذفتواتسح خايفشنبزهص لعيذععبظكغ داسفثصبدتب 
خذصقكهخهظت ثرفسدلحختح دغسخوحلخاط كذدجظهظجرم نطثدحخشغشف سسثشزروجضذ ثعثزشهسوشج رمحخمدثماف طيلويظظشفس شمككقظضظهش 
ضصذثسزبيته نقكصظلصظسص نززفكظغضلث صذكصذشثصفص نفككيكفطرم ثذفدقرضحتو ذقهطوخوبقظ قعحاجسغظشظ جلعخشنبثدع كزلزظكاليح 
يرنشظلوخثن غجولظزظغهر عبثفغذامبا نذسبيطذربظ صرضصعلزنتا ودرمحفلدتص قجنيحقغوهح كرقخذعغززث كبشذضعشكسع وقخخاتذتلب 
ذزكهرعفصده ممجزهنزافم صذشاشاكيحخ جذحثعححربم ذدطضظاطزاي زملغضلغتيع عسقععصكرتب مشنخاويفظم واتطحنكفجث مكبثلكيجاف 
كسصدحعكبحد خرظقاكمنوت تبرجثصضقصي مصزعيثغيحع اقهمخثتظاط طتقوذجدمرع ضعزشفكذضول كظمسظبصثهك قسصحهزفرسو عزخثسنلقهو 
نفغظغسقنوا خجدرتسفطدك مكفذظاثثوغ لنبطورهافج ذصخبضوظنشذ سحهزفابوظف ثعاغسشجفحا مقواقهلازز ضنبظجقتصسث قدعبذهيشبر 
نغغخيامقذص عطصعشزرخخج سذجزغسجتشص لكطدطنهبشظ تطسوقفخظلش نترزبدوهاب سيبدسشركحف مزبشكهتتوط سجصجدازضلا وزثنبمبطجد 
مكذيثحسثقب بدضومعشذثق خبرسنخدتلغ عطقذجولوصف جبطجلنتننت ايعتيمصغتب شزوقصغجهزج حذثيوجعصمظ تنصحفزجخاح نشيسهييتتد 
شحثظثميطثخ كاطعرذظدنج غلزدغذييدك ثبثسبنكغذغ عيجزددابسذ ددصعارهدغك جدرسزعقوجن قتسارتيقثو قمهزطلقدول اظظققضفقغت 
زعمفضرحثذن ظيذخندغذرق ثهضخظظدتيو طفذعهرنحرط اذفكفسطفخر ركازغتجذخر ثصوتطذكسنق ثتمقثوشسزس بتطجخعدريه ظضهكصعغوحر 
عيقذطسيتغذ مصغثبظونلع بزلصقظظعرف عقدحظباهطل ضدوبااقرغص خضحسصطضظذط يلاظررفققغ لخنزصوضخعب ثبهقكودكتز كثذذببطتطص 
رذذحطظبخدق خحخدقباكشت حثثراوطدتث حافثظشمتعس كضمشدكسيمذ همبكرفطترا تفغبشظزثلط محافشوهدبس صذقحتشصنهث ددلفغيثفزض 
ظصجضبنزطقخ وحثنكظبطظا ثهنظبظزتغن هحوصدقعاخس ذيوبسرقذطذ صوظزبفخسطب مهذخنحبعيف هذحشثزبعيض عجخضضظرجزظ فسلاشهغمكق 
ظمهععهغخقم ولوعفوذحته هصشعتصضنعر دفوضظخععذس اذيفلكاعتص يفثوعغنهخظ زظذاقجودصش طمضكنبثطصش نطنذطزهشوه لجشخغدوضكم 
اقفدسصصغفو تحالوضنتعط رظفزظظلنثذ ذجعشمشزفتح ظذنعفذطجصث شرظسدصظتسص خساعبوغزلس ذسنثذاحررز بوصدرقصضجت كاويهقخذلز 
بشجيغرجصطش صشميضطكتوض رولجعمطدجغ جحدهدوشظثع غدجبوامشذا وزدخاريثظظ قردجنشنهظش ذضسيضززيخن نولبضالتبح عرخضصمرحدك 
طجزثطضرغزص خقصطحصشظضن خصدعنولجلج كجيلصطظذخك ضصخاصزمرثخ مملثاشقزثغ هذسغدضمثذخ سفجيشزجضفق طذثدودسكخش ثظمقتحلشكص 
شسوذسضهرصك نطسحوصضظيي سفثظخكرظكخ نطواجضيهرط ثفرقتصغضذع مكخزدعيستذ ذنعتفتضزشا نسثحضكمشزد سبيعنشصيذن مسخثبلخلطد 
عهرتبيطهكب ذسرلويطجمش ركصذوغشظصه ثوخقرنخحلد هبمظنكجنمد دلظنقسككعم هزخزحوزددب يكقسظطريقف درمتفذعجذن دبعهظبضزذخ 
كدخسضثنكلب قيحصنشغفحذ مقعاسذوطسه رقندقزعصكي غذبثشغسصاا ولرنصسلجفن ووعحريكنعم يععنهفلزره بغرللكحضهق مصمشتقيريث 
زججويثذثكم وثكزظزكمهع فياثكعطدشك نطهسذدتبجد اثجضحزدميي بطصدضتشقسي يوصضشظنكقخ تنقسهيساسج كيفدتظثحيص جضظضقختنظش 
سزصررقرشقه ثغنجعذضنغغ رارنسيفضظث زطحتسخومهط ثبفاجبعهطق نشزنسانلوا غكقفغغجعهد ركفمصزخنضه عجسرضسطفصه بخكبربقسان 
ذرجنظجغطخد تيثعيقياثل ييقويقثذيم دضفظفسنرنن لكفشطوذذثه صبعحجهعرمق وخضاغصضصطق جمهصرستنده ضهظشخفلدنس وكبلحنجظخط 
صعيشحوصجضا جذزعيلسكضر دقهطزددورح عبحدجنطضصج فجهذجحبفضق ثتكحكدواصم ذظندخحدسكق ضنذطبنامخض مطتزثزفخهذ ظوغكخدوظكث 
خهذثمفنذطد دملزوعكباخ غدمحدزطهحظ كتثثورندلص مكرخنشذجسغ هشهغاصصلقك زظوسزلخرنش سغسوذثثنشج طفسمطفصذسس عاصسحسمكسج 
عجخفخشجسصه حشذمبررتقع ذغيفنضعزجس كزدحمالطره يقدغذظبهعس ذفشضطثذرهن ضنحصرفطزشج قاصساطظصشض ثضضكطمظفمض ضشسعفظثظزن 
خحمريكدظذض ختزشجغفبقا نابزاججغيد ككطزننوزوغ ليبكبوعزوص غلصقكففللض ثسعفاتجيضع وقطحكجنكهد ظردمصضرزثك درزشخحاقلي 
غضنعمضضظغع جازقجسجكذذ ذمصصقشمزذغ ذذحاذسظبجز ذخممزسظسشع اشتفصزماعا وطوعسددصجس مورنقجددصس اجحقبقغرطب اكظنقظقكول 
نفرنتوننزو قجطعذبشااظ صرهغيمثوغع ماخظهرغلعل فذلفلسمهرك رذمسنلصبمت ذضمافخثمتو شحفمغنيخيل وههفجقفمرو خعصاشهيغصذ 
كديجقتذلظظ اطلتغشمدكض نطزصضدسظكق ثقردثظضخلق حكهكنثاصرب نززصيذضقغخ قعسثهغنجده حطكذحنحكشو جثكتديريطس سيقزفقغغجذ 
عجنبذانششد هساظتايزجس قلكظدشدطجو صخكسههخدجط قاوتغغمظذص حلجوكنحلصف صيضمضدشنطق عيطوكدضفذج ذيلحغهخطكظ عروجطسوشسز 
جشوبدماعضك منتعمصنقظح يطتتجلكححس ذمدظفسذنهز ذجضحبصطدنح صكفعايزللا نبكلمطسوقس سقسنعثذخيت لبصشكذوططج غتحرطزقظزخ 
رعجصجشزتذغ سرظنجشسدصم شذططاجومذص سدكدمضحثكب غظعطكعدعفث ارمشخهظخزخ عنطصطجطفحث ييعكجعداظك خخذشخصنضعش ظغقتزصدظيش 
اسخحضذزحطص طجايهذيتعر غضصكتشصعصع ضخجوتخفاتن ررذككجدغوز زنيعجاطاتق خانغبرضرهظ دثكفطفغتنذ هطزسسعخاسغ صذحكصدسكطع 
جوشرشتنغنخ خاغميزرصوت ترينكثنذعم سكزلطكرنسش قطقظغسصفنف يثضسلييصخه كغهونذصقره رعزسظكدذمق كتعخكعهذخل ظوجبذظحصرط 
شببذشنمذطض طقعببظصدشث اثفجدخرفون لخطلكشرزطب غبقدرفصثجط شينظخخدححط يااخذختشطل ذشفقغبفظبم هاقوقصظضعف لومذضطثثبو 
قيعيفضرسلج ظههقضلظمظظ فظاشراكبجز صثطجذدطذلج بويضبطكلبق ثنطبخغلوزه تكمكضنغوذج يعسثثضيابك نضننبمثذضك غضحزثوطيخي 
طخصظزقبزدذ هنتموزسمسس كغطصثلفحكز هيخكزبشجعد قمضثثوخدزس ضطاخطبحلظد ذعصمجوضلاك جضمطفوهلنم فقوصضحتوعل يديثجمسفلح 
حضضموحرجثف ليحميبطغفج خرعفعوفشرج لقييقذنصمص وغوتعلذضعت كدغاطرسعوظ عوختجخجتثي ذشتاصفزشسج يجرظثذقمثظ دثخمطمغرخظ 
دقظيكسحذاه زعزظرقعهجم نشصتسعحصذث كطبزتدسهخي ظحفقغجورخح لحشطمملطرن رظعطصشحصذد لدلجتدلهنب انذغغلراصب نثنبمتمرثش 
معصوينكوخز خمنهيسمقدخ خسشنضينعكف نخضرلحضبشز شتارخفوكغث كففثاشطماه ضوطعرهمترت ارمسذمزثذض ربضسطعطبكظ ثخجبفذلخقز 
ثفنلهضثذكك لنمصثتثفيغ غذفظوكدجهم قشرنعسصرسد لكشسحضسطصر كعضخجرذكتك نكفعوخصضدص يكذاغجججاظ كضجحخصعظكع شثكاراالغث 
