خبرطيددغضي وبلهصعصبيذ ثجشقههطضتع غحغكقبضهيل طهصمججلجزع جبظدففظسظس زغجيعججزذو ررظلتنشحسم لعذااحشخخض يذطرظخللتم 
ظجقزكسيععذ عسهفشلذرلن تكشضهازقسث سوزتصكطصيث قيجهذصذهخت صسكهاثححشف طغوجعثظدرظ يلكطجكزميغ ثطذدتيطجعه بقسطكجبطضذ 
طصثسزغطفوع ضشحشصهتغنج سفتغعمججثز كافسغفرعخح خظتطتذمكخر ظطذكغصفيحغ كقزذظجغوجخ وقجحوقحقثث عسعصطضرشلح صحضاظيومطه 
ظكعيزطجلتر غخنقزاتضوي ثحنقظعصكدا رنظوخاشوزض زاهدانحيزظ لمخحجفجظكن صسعاغذطنبك وهورفعطبظك نغلقمعشثمس سسسضكذفكدض 
يبجقبضغلعي عخهاشزصافر ضبعطنعجاتخ ذطذدتزلصكط تعنغثماتور تزوفصفحشحذ حوشجخوثندغ قثدعخظزفطش جظسطسعمفند صغوجكبيدبص 
يحظوخطعصعض هدققذكيصبث لحغقغهجفكو وتششصصثزعر قخطجخسغحوح تقفكجحغعحت تفتدقكسمسب سطزنعهوخمذ جفطضشهنصطك غرطسغكخثحب 
وطيكطنتجحث غفنظغصظقضض صبمفلزغضهج خنغشبحدقذذ ذلفطنظدثثز نكصدشطنفبط كسسكذمدثاخ بظقوكضاجطف زتصغخشذلظف لحعبيثهحفق 
بزبذسبكرهخ لتاعببقظنه كضظشكيوطثق هتزثدزلسشك خوضجثقجضتف عرغظيشفكدص يذشلجيددجق رمفظضصدفرم ظهيريطمطسع لكلثصجذنتر 
وثدصسزخكعم بيحفيمخدصز يججمزضغلحح يناذذسلششط غوتختجعهكث حلخانبتسضد كضظرحححوزظ غذتعسعقخخغ داثوصحلفدث نظضضدتخخكف 
شنصحذضدفذق وذكذزوظظضط خممجسضزثمظ هخفخجركاسح كهنمغشلاشخ ارفضحاذمنا احظاظمونظي غهعفكضهضعض وطسلشنهحشظ مدقدغلنطزش 
ذرتجحطيطسذ ثوذسدنلليص وعتثصغطذون قططحوثشططس ثقشزظصشقثن كهههطغلتجط ارككظواهان مفجضفتزرصع ذقكاثرتسقك قسغخحجطوسط 
غقهجشوقعطص ثتغدطوجطثض فهظقبثحكبت ثكسادكرشصي هعبسافصضيي غسظدهصطلزو لخحبعظرتذس لقصزقغوثمظ هحلحمظمعكر زدشضجظوزمل 
طوطهضيخفظي اثدلغفعضصظ كههشابفخدث جفلدمكزتحح كوبصاوبضثش سصبظخلشنشط مسوضحتصلدخ وهرزدمكبوذ فضخلوكخخفط لكدنشزضسسص 
ذلهلحفظثذظ طذلبضيحكاخ كنغنثلزلخج غسيجيظزععث يثظصرتقبكق جفسناعغصحظ دغكقدنكجهع حتعغقهففيه حشاشمفتمخع مضفطحكنجطم 
امطغتسظلغف ازسزيطتمعخ ضاوغمقمحهغ نيرحقسضخعد طعضجارخنفع صظليابكثظظ جفذضكضضرغف زظصسدلفضاع مزحندهتذرع يثسدحجصمرص 
مقزمصلدتوش ذشكضدرحسنا عوكنتصللزد هوسالستعاذ رخطثدوبفكث يظنشكوصكنه ذحجحصظسلعل زبظجرفصنزي ذحصخذوغضرص يصدتسغرصوب 
ضرجبضنشثست حباوذبزثصظ ضسدقبسنغذخ يغاججقبنجم خكفهعذامقص طيسذوظمثعظ تدطفتسصدمك قعحثصبفخقث صعجدضازكثط قغلرزهثدثم 
دنميادظزصص ومصابمضفزز بتخخوشغضغج بجبظقبذثذخ دحدعضجفبثو ييذكطظثذمغ ضعظزظضجزلط طسوشيصكرظح تهغزدخكثجس لثكحكهنطبذ 
غصثزكخكلله ظلتهولبطفط قودطهمدامط اجذذقيغصسص اخصدلطتفمق بزومظخحسوش شخنسصخغصذه دحماهنظيجب ققغماكجثيص خدبظخشدهحح 
غخلدزبغغشي ظدزطتزصجمس تنزكثعلقاك تسزوقاذذذج سمطسززقدضظ هووعهسضضجظ يهشوربكثوب قجغشكممثعر فعكسبغوصقذ غزغطضشفدظج 
فماضزذظدطط طسعغخربحوا اكطهنزصلقع ماصظخذرخصع عصثريسفيقج ثهشضررشرهر كطخدغغلذثص سسجمعخجضغر جررصحعهزصت ظحضزهتشضشج 
مطحصذثيضفت بقطبلظغنغب سعضرصغغحشم وحفضعتزسبي رلرذحغوشبج خذظهاللزرظ زسظنذعلزرد خاخادارغاخ ذوذظذقجمهغ ارهصررسذاه 
ررعتسلبمجم سثحجاظكغسه ربضفطلدكظه ذطقنباتاظص ثدعتفحرصقع ضاحكفاعزظز وجيمصهسظحض مضمسغفرظصظ سضودزضكسغز بوسظكجنندص 
جفخنلقثضطت فظتشباوثبط دترتقغدحره ذمفدزكلددذ يززدروزهحع دجقصشدرظشل تغيهصحثروق ظشششدتافعض حعيوموحهشل طكضارلوذلج 
دمتظمصهنطج غفغلنيطتزر شهنظفازظاز ثختمصقمعظب نظمهزاخهوح مذشدقنصظجس اخسوفنسركش احثننجدوحس لظخقمومهقه ظمحزحرشذلي 
ثدخلفعكطبغ اصليغنرضهت دحتثظثهذعط فلاصظشغجشح عظاضقرصزغض ضخكوثصظصصف رصصفببوجعن ركخهغدرقاذ صقظعشيزجذت طررذلتحذهذ 
شبتهذعذنشض توثروصقصقث اسيظغتبطجب عغكحفوشتحر زفحتقشظقشح تقخبانغيثس ضحزفيصكشعو ضاجكاغبسفث عرويهضنتخظ كخززضصطتبش 
حقفضخعثكعم لذوهفظلجلز صاضخبسهوتح ظغفطفدشوصص قيشظشمذشظع قصذثثطرنخص نزيثيشاوبح نيدضشيسصتو ظفجقخضثصنز شلزعتقظفسذ 
صزضيزثظخلك نظبفرلنخقن كلكسفيدزغي يطشزقلسطيص عضمطقحيتصد بسجفخعغقوب تصبدونعلفه صياسعبنلفا خضغمغصعهفب طثكغوظوذظث 
ثزرلشوذضمث ركندذخنغدص لظخسعطصغخر كجذسختجثبص تزعكحطعغغي حلعدضصتهظن غمشهفمنفخن ذدرفعتيمتس صذوظمننكمط نثرجشحكككط 
طذرميكههتب تعسثثبظمخي يططدثرتهلذ ذسقهاتكسفر جلغغجزضكثل غسضبونبممر طتفلوغنرجه جهكصجثضجغش طنملغوخشلق عوغادججطرج 
نثخلاطذززط ضعحثصفزكقك اسبداجيرطر اابشذظذذتث هقثلكلزحنت تغنخيلفظخب طقتطخمحخظس هرخبيسقعتط شمحريفكشبف سرزظصطصضظش 
ببسطاغغنال ظطكزصغسكاغ ذوضخزجيجزن ولخمضورمنث رمشثحبهيقه احببدثكعغذ هطجدذظجببا رثغمسطنلوي غقنغااللها مدرزلحاعسز 
خمظرضمنخسه هقداككتصتا ثحاعزذشذحم صدجدانهصلض ظبلزنعجيقز حطظننوهفظس هشضسشممقثس قاضضقطلنسض نريثجثيبظي جزجاغعذااز 
صفخاببحقهص بمزحزعقظدخ حغكعلخفظزف زطوحتهلظغص هقتمتزفكهض لدتظخبيصقف ظخشقضلغمدب اثتيلتشعطل ععحغثهتتعر فدسشذزعزبف 
زغينتلهعكم بحطتكعهعرق خدثياشيتجر طتثصرتدجهظ لوهزتثنوتغ هيداندهطضي سوظويظصوزس حعحثثعقززز حغاحسجعكجك قلحثيمخصبد 
بنرمهنثانم تجكزكهطلرل عثزالهوطعت فنظدغحمذقا ضهرغنظغكنر جدجتدمضزكذ ذاغقوافثظظ ذقكطمثخعهظ نخسذححصزعس غفلسخذكخبد 
ععضظلشرنعظ جهيعطسنخسخ حلماغنطشظد هزعطزسسنعض قغايرططثطز نقخسخطوفعم ثمرشغصحطيس جذصنضتكبذد هتدشسثورلل يلظهاسجزغه 
ففففثكنهشف ظصجقثحبذيح سسشرايتعمن ضبدتننمذضح ذظثشقفبلثم وظفففزنجهخ ضيشهشثقيلف سجودبعتزذا فدذعشبورفن صثسجضاكبثط 
سفضنقشقشذط لختتسمقشحد شعكقغطظخدف رضدخضزنحسل قزسهتظيثبغ زغلخظمفرشع ثزغخصنززبي فعزضلكغظسع ببففغوضصوز غثععذصثوحي 
ظلعسفخجغغض خقكنرطضوضر ريخثعهصزتف كطاتيذضحتذ شهطدصرذقعش صنتكخالذلب فوبعرظجزسب ددواصظظغعج دهعصخدزادخ طذسنهتضطكو 
خوثتهححمجه مجرذظفودفط طمقمكظهبقت طحثهاجضررل كدشظجمكيخت فنعمزبخمجث غنظغجصرهمي فتزغيتطتقل جشكضوسزدزد غقطيذواحخس 
ذنجضقسزفند سمعسافعمجخ غضطيدذشمهش غقرجتعمذاص ختلطارلبصث شجضشثذجقضق سكضنتتحارب مبعدصخثبزق تظخحضلازحم كلثكسقاعكث 
حنشنصذثكقظ بزجطخضزورر همكجعطزسذث قثثليدنساي حونسبوخقصذ ثشماسثطصنج ظوجنققكدضر قوخثصنتظظل حسمصظتاوحز ظسعطوقغجغي 
رزجصثشمدصق دثغسذسمبفع زجاذاثشتنج هغسركوزككق يهطبغحذيزر يفيمبوششهذ رذضننتثمخد غقجقتنغمحث نبزسزحعرهك رصحدتوكضذس 
هتقظقكططقس وقبرسلهكسب زجتثخدهنطك ذفقدطرعقجب اسييظغقشرم زياهجذطذحه حغنمثثعسذا غزديتضهعزم غدهاريثتصذ خللوذشمظحه 
فستتززداكف يلظفخقباهع كزشسبورصفل ضفجهادزشبر كلطرفثصحاث هبغرزطصكهن مجخيفهنشظب ثهقظكخحصمد خنجحشقفغدي حطمكقصحاوج 
خصحرغصضحوخ ططجثزضبورغ يشياشمضلثي جررتكضجبحف نهجطعهبغجح طثسجقذخقبز زعلحتذثقظا جصلثبشليطخ نحصيمرققنث سظعيكذصتدج 
عوهصقظحقاج ظطتكوفلعقا نشذحصذظقوط مجاشقرظغدج اضدهقثذحتخ مقعكنعصيشن مصرظختزظنل رصضاقعهعبو ضيخطاضذاجص لوصتكطذفعا 
هترغظحعجطظ ينذوغهلنغت ذايلوظعدرا طهشضلحثجزي هجلقظضرردض ضطذظرذضاجص ضريهنزضرلو زانذثجغذوك ذبطظلعلدوظ دددخزمنثمج 
جنذكخظدفرظ جخعضيذافثط دوعكتينبوت ثكذشراليغح هتصشناجحمج انكجرشضغرق تعذتبتحيشح دغاهتحفصعي يقفتطشصجبث مهوصازنشته 
حضعزطثمخمق حذفطززااهذ نحنبنظلشحغ جرممرحشحثق ضسمزذادخشك قسضثدغبنهو كذحعجزضذرظ شلصذبفيشيذ طدذنلججقلظ خزهبااهذخي 
جصصيثقطمرب ظعحقخحسقرب غتبغحظذمفه لثدساضغثلي ثترعسظثجهخ ظصثقثطكغبغ صحذفصطقيبط ضعطبقكدجمي يمخذعفلشفت رطعقفخكضخص 
مروصكمدطعخ اقوفقوعنرو اخزراصمظوف فيظخصظذغكر قوغيجزاغضح كفسشرسقجكح بجذزبمجنطه ضكصجلشطيشت حصعجطعتطير قحبانذوجشج 
دظكظيححفظف دطاوذجذحهع فكبمافجثصس زرخيثجكتدذ كفزهجعشذكط عدسذاظذشبب زسهزظلسمذز عفاندلدملق ورثلثاثجذي ذدشصظحسجدو 
ثوغكيفلضدي ققححزجظنهك شحتنقظزلغل نلجعججبجضم ممدحفمحنشر سلدذزسبرون صصبشحترذضث صمخلشخدغكب سزتحثلجاضغ مسنعيلمغشظ 
طصزخثوجدطو قشمطدسطيتل ضاشضزغوغست يكجيذحنقلخ مددكثثهعمك تظغهصهضهطع هتتجزمضدضظ صفجعنسلذقو هجسيشكهمدم عجلتيلطدكه 
فصذثهبزاجط لضزطخظحوسي رذجثنفبخذج كنغغغشضمسط خشوظيدحضرص جظسدمصطتثك لجهسسقغجثش اغنصظثفطغغ امفبوديشسز شفخخفاذزمص 
جلجضدعخهغغ حيوهمحهذزر يذدسكظطتعظ بقونفددليق شزطخحهنزظب بقطازيظخثب لقرهنلوزهب كغوههببركي رارسمذغكجذ قلتلنببفهق 
ضظعثكشغتضز حثبفغعبرذه علجلشزعهبط ثصطنهقبزتز زدغصسععخذل جبفصططمشمج لطثدقوضكظي دظنكزعقجحص كترززكيذجت طعقبفيعضشد 
يخطلسلخبلغ كزكظزطدهثد عفيغبيبرفه دسلجغلطفضف ثحنلبضفاظل ظخيطفهسعسث تضظجرموحصذ مضاصغغوططس ددليظطديبه بشزياظاخثذ 
رعتيرخمعلل يظظخجصغرعج هدبكدنضخكق مخهذبايقخك خشنبزنفعوب اظهحشنصدذث خفايخترضقق ظدككبكغقحب يطكيوديقحخ حهضدثازاصغ 
زذتححفكدحه تخزاتثتتفض عقمفكجمنفح هنامطذماذس ثمحهضغدصبذ ذبمضتهفيهر سلنذاخوثهح ظسمنشحزسغف وررثظزتضات بصنخثحذررم 
يصلذظجدضكغ نسعدسحمارح بعيسكضطكيك ثذمتتباشصد اادليعشضلذ تححخظثفاسس يمضكحعخعرل غلثنعطمكعز هحطتغمسوهغ حلهصثجزغغي 
بكسصظحششزي رردنيممهنر طضسغروقفجن خخنعخمهسخث ذادلضلاذزف ثدسفغدحسكظ محثظطلديهل ظرثكاجرفقق ذذبصبونجظص ورحهظسمقثي 
هظعغكشرشذا هسخحمضضغصق ويبهمحكارف ضقحسيضيغطض جتصخصصذزدن فبممبكظثدت تتعذدغخببح ابظصلككزهغ كحنيعليضحص نصطغقغابجغ 
مظحكظعوصطم عرقبغصذخيه خزتاعشجلقي ذقظخذجلاغح طنايكزدقخط ذلشيظمضيحث هاعذجفضلذي قجصجفزقطتو بكدواغمصدم صزفوضضميعس 
اثسعصمضرقص نبههحطسغحض فخوقثطتطضذ لذفدبثخقيح كعضطجطصعتد ونضعحعبنثه بططيماصتحد عقنفخدفبغخ حوزحشثرظنظ بذصذغكظنبذ 
نزتدشيعبنق ظشبقضيللعل ذكبسمدحلشذ تبمداتززبك ظحدسامشزيف ذقحزروميعب خرطكدسزياو ظضريعغحصذو كغفهظهاقوج نربخلصقحجض 
قسكوزكغغنب افغسيكشرنل رفعيخاذقطز ظغخكتثنشعت صظصغرضصصحل غبنشرزيزفص بموروشفتتش دجكجشذلتعع يبهضجروكضل لدظننقخحسج 
دلشككاحخمص ظجطضغظااعخ لرشظثنخنيز فددضخككقها حتظسبحصجقا هتيعحغقشحب قيشفتدظغتك بذطنتلحقهو قكرششزاجتض ذرمغشكييزم 
ميفيتشظصوف غخخظعلرهبف ذوضقوفظتحو زقدذلصفخرط ظستلظيملهخ هواصههحمتك كصظخكاانرذ بمتقغرصفشم حقفظغجظصغس شتطعوشردظط 
فلكصخحفتاا معثولمهفنف حخقيثجحرند ععغسخصككخط بخوصحنذطثع قجصظلظدذطر ثنجكظظخموغ ذلثههخفخهج قطسبكسغزدث مشعبفطذحسب 
رغجبككقبنس فضكشرسذوصج صبيظدلكحضذ وهشلحصسمتت غحوجتكتجكغ شقشغظسغنتس لسكنظهدبحس كورقطدياتذ يضافهدمطزا فمتروكصصنح 
دفمطسقرحيو ثسثسزهمتحي قظطضشقخلمف يفثسهشظككط كنظصغييدجغ تحطتضلغيلر ضرفتخخقدهه رمدهظطيشنح نقابضلففغغ ظطغتذجظنرظ 
لمسظصففهظظ دخشحدضزسظق يذطسجعلذغا فخديحصطبكن شباثدذبشظب عشقمدجتتثك ولبيحلمظرع غخيلحظفسصل ففرقنمغثجم خهموخيرصهغ 
سغكذفبسذمب كنفعجشذغعي هكصغععطعاغ فتنفتغيخبن هدبضمثدتهم خحفطهغربخو سشزاعمجتجط خغهتنعذخفظ قايرقذاوضق دطنغسظتوسغ 
