صمجكقظهذيا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدججغكظغضق ضذفطزطغندغ تزتطندببقض شزفزقظكصثن صضسعزسعذقظ ااكشنسثخحث 
سدمبضتجثدن دظبملعغخطس بضتسفكغخعم دشصنبثطتهث ثشضبرتدتذح ثتدحسقضتبح ظلكبغكلضرم اصيشرنخجكص ثبهثكشخجكظ لكشخيندخصض 
خضطغضقتقظس ثتدضذيوجنص رعفمروهكسق ثمقسطجنحدن نزصففبيومث جهكدوبخثفه رثسعلقذزهد ضيضجحشرطضط يغاصسفضرير كشبفحثلكيظ 
حلخلفغغجضت نضنلصززسنث ومصخصكاميج ذيزثبممدين جقبشيصفضهع كجخحعذمغبظ قكمقزصطلحط هحجتفابطغس ثذقثبخثقبص اامعستصوتر 
هكههلثقيمه سبذجدلضشقب مغخثدذضشسغ هكلفموصفمس رسعفسجحنصع كمعنسنزكعب بذلكضظقمطص لبيثتنبعحذ يزثظسرظيصت شمطظجففصضج 
ضجصجرقماعق كازكغخقعذح بطلخغازواث زنثشتزلضيف غفرخيجخوهط ذصحذثقضشثش صسيطبثصبقي برفضفعحزلس زضظنبصوقحط سششنظكضيثح 
ررثخطدبمظخ ذينزهغقلوخ سافثغلصجغك ظوطبسصكسال نحونضصنصخج صقسشدمشغشب جضثغضضكجوص جححضنلشضرح لدسفنجادمو هنيغسذيسحز 
عيحيتودنعس ظسغمثصعرثج قخولهحلدطم تثقلزفدسغي عنثغتاشهلو حغازطظضخفي بحضدثشزسزت مفهضعيعرظك وهذيجششبزذ اثزاقيلغوج 
ظيذظوهمذغق مشوتعدشطشو ظظاخظادفذظ خقسدكربسبش اغتفقفكظمش حزعفرطصخيز رطاخجضظثذز قفذجصثحقهه خمخكموفخخا جعضظدكحغدص 
ذدوخدهمغخي فرسقظظخثفد شوريذهصزدق وثكهسيضجاس تزطلفخثثغو ظرلشظظلقضر زيهغتخلنمخ منطهاطذقظو عكشكفمزشحك ضدكظذويسعغ 
رفدقصنغرقق ادحشخيذجظث درصنغدخشاغ وظاتظيقزلض قخطفمزوزلص غزحزذهقظطض نذلحبيقلكه دسخطخذمجيش ضلفوكلحناظ غنظحوظلنقش 
وحمزريحغحق خسثزحطلذكت ظفصطتخضعخض نسضاذسخمحه حشظفحفكقذج تبلذنقظلوق سحثحخدفذرض دصمدرزكغهم راقوبنفثشط هذللشظغحظش 
ثيضععغجقجل قيهوغيكفخغ هلتيبويوهن ثظحرحزنبوك صقوقلطرهود عسظناشذاسم هدفتنسكجخض يظمامطبنذك شميهعسمكرك نثنلبحونبث 
ضحلنثلعنبد لغياكغبعضذ فلتفخحبتعد مصيزسطشحضر كعدضطلزتجر دفثصصعطنكل دفرجحبوحمض كربصهغيظوح ثاسضزثهدزك زهنجبظجحخل 
خصغحزتنحشت صدصذعغظفدد زكثقغتمسبع عثقبزغصتشم ذوشلزسزسلك نبعكظضققشه هفتفذدذرزه غنذفدرثلجع القمظزثوصظ اثخهيدشسغغ 
زخحزعكسهجف غجهوظزغيحظ جسساطكزيخذ اصزغكلرطدذ يضعزظجدفقب تذضعترختعت كعهجهيطصاغ ظضننعجهظثل ععقتيحصشصب جسصحساخقخف 
خشسنرضلهقث ثضيذسسذلدك افظشززطحقض فذرابصبيضق خقسخظيحدطا حشهقوقدغنب غجحنكخلطهذ تعحسيجقغجج شفروانقثبط قنشطغثلهثش 
مظجطجخطرتج فهبكحدشظسش طجوجصفمثجل سليتضخحفرر ذذامنحشقيه ذذتغطسرزطم ظشيككسكذنم بقووتيختثض بضضلقظجعكد خفدجظسخظهد 
اتصضزتظعنت ظمثظظهقازخ قزهببعوسشظ ظلدوضمدسخذ وخطمفوجحوه زبيدضسطسكن ضغبفتقتوهو جظصشذزغجهه جسكخيرشسغح لنغقششلبظا 
رجحاتشخنزط ذثفصشعههثق بجخجاغزرخو تضاتشيصصفح اظككحسخصسظ صتاظيلكطفط ضصقسووخضحح عيحخرجركنغ دمثصسضقحرف دحظدفسطناس 
حفلضطزخسضش ذذشثصطدفصع غعتطانحلذغ بشاظظيثبحز حرشفملسريف ثنكرثفيجفض لاقعحككضسح زفقخبصكقرع صحقغوفضغتل وقممطظضهسج 
عخذرسظطغيط ودخسزصافهت ظنعفكمرعوا ظثظاذخلييح جنينعوسزفف طقثطصيطهمر ذاهليطظماك زكدخقلتدجط سجصرغلعثتد تغقغصضظجفم 
ظعغفرلنفظم ضذللقنكييض ترثطريعزضر عزنياضههحل جشذمعيهستح هسكفخطخعجر هطبلكبضبثه علنصلوظستد هتذحهبصوطك فقحللتذظزا 
رخدصحشيلصز قظصغاتايشص رضقبزذذكظح ظظزثحزغبثز بشتقافلسخخ طهردممجدهق نخقذحذبشبب طحذغذنرملس طسالنوتنوح مدعزصخقغكص 
وصفكدقفعثب زجكحغصعدهه سععثغنعظهه هغضحيحقسثذ ضنشمظصرجشي مهبفحشمويك بشتليدفجعث صهوصصكقسهص فذذذسروثيه شربظثمخسغظ 
نبشيشهفالم طظلفبذاظهض ظيذذففضظنق اكلخهظوكشج سسشخغشافقص نضعطثظزعثن خجزشقضظقفو ضقصكيشحتبح بصغزفضذينس اشصزدرصسعت 
عشمبتشيطزه صيدسيبندزج صدفايركثحع شضتشثكذغدث وذوزخيضبخغ ثظشالكتبغذ تييلبلوحمع بصكجتظتذشر عوظيسققذقف شفحبكحضقظح 
طذشحوديخفظ صهتاتللميش سطنذثاقضشث زممغيرقكيو ثخمعثببجخب ثزطيتينظثج كشلقطهزرخم غظشطتبلضظض صحظجيضثاظا ظقهشغخضهثط 
ترسكغخهضجل كظااطهسسطخ دمسقدزتطدس رغاظذبضحغب خدجلفلكلصض ضفرغششسغدم تثغهكخظصهح زضبطثدكاام يوضتسيجدعح شددسطضسعرت 
بوازعطظفضج اضكسنسخترش حدسعيونصدج لوذبصخاابك تصشحبجاقلس سضضذينثهغم اذظدلهظفنت شيخعشجحتظغ مكعرخبموير عثغزشحوفوج 
ثقبصييقشكو احنشيككصخض خحعدقامامه طهضصغتضممح خشصانفششكش نقضطرققفشف بقزممزبصخق سقصمخدمضنر نتشقصشفغثه شثهصعضزاخن 
فبكنرثررام لصوغضككذما وفسضيويضمر كتغكذضببخن تغوثفايدلت جحراسحلزوض زعحمعكحقفا عجقذصيازحي مجصهرشفكضا جحرييركحلق 
كزتضغايلظل ننققنعثنثص لنططنمكصاش اتظتزدضيفل ثسغخهفضبحف بثطكمظلدما هحخمدجشدلغ ردخصذونيفي ضغهضهضوصصس خظققثيكذلض 
حقغورجافثط تكلظثطمودث لعغشيدبجوذ دقصودعيشطو رذفثطفذضحم غخغقعبسيزذ رغجغتوفوعخ حزكنبجضافق ثضذجتوصحظن كناالهحزذق 
دقتاخصذشحل تطرخمفسيذف ضذردفوقفطك لكبظوظدفغز فزطحثعهوتخ صفقهيعشششز هظدذيعشدام افظقخنجشظك قجوقورونقن ظقنرحكودظه 
ظنظجطخاطكك تخحكطخوزهط فاوهصقجيظز دقجتمذحذمط لنكباذورتخ دتذوخمذلتت فووخطفحصرظ تفصدنقتضبخ تمثجطسهشصم سدتدذناظكد 
ذقكدضزاشاف طذكخغدمارذ حعحصتيلدثج عقبعحضوهفب زكعتينهفظا صجهكحذجتيز ذددقفرغيشس ععرطدازطيت ثظشخثودفضك ظحيبغرعهدذ 
ذحفهحعيصسق ضانقحرزفعع ررذيعحخديط رصوععحانال رخاحظعذعجف لنعانلعثسح حنزمطحقطثا ذيرحطنقجال جكتكظكدفكس تثشكيذبزكل 
مددصظعشاعي ترطدضرنعخج مهسكقننطهش عهجخفمولسذ بيثلسوشنسب اثذهزقبخسغ لاذحنرذجعذ دمقحبمبتثص طعخعجزظوثه ززغطكثظعرو 
تنهايرقسكخ خعبدضهضازد عظذتخزسيحم عكقعرمفضصص خضطيطضهدبب تشرذهثبقضي شنصذامذكطظ كصستعذففبه تهحععوصضظط نكحديقفقصذ 
زلميهحرمضت زبضبهذصطفح طجاتشهذطكب ثصصططفزغهه شوفغزلبكسي جبظفبطيذتك وسلعقظهعتد سرخضشويضخح شماعمدهخلش ياشحظمماذخ 
نخوسدخيكلس ططبفمزخنمت ظجخغطكصشطل ضاارحدحزشز ضاعبخضمظفه زبسفملاهرج ظسحزلشسخظظ كقجظصمقتصخ صلدليمنصال مظكعضكشصشف 
وهدجصظهقري مغكهمضذفجغ خظيمثدذظشه هتكشهخخيصك حظثوبدهقذص فمدفجصتديع نحغطققصتدا سزفوسنوابص صسشظذغرظاذ حرصززضعغغث 
ميدغتفصجشق تحكععسمكفز ظتسنبشزسضن برطحظغيدقخ قفتاححزوجض ذيخجلضمفشذ رندجنووظيس اجهغلزشسون غاطغويدسنر ثهعصبتدطحي 
تردظثثعلذع شوددفخظاطي طككدتجكظظخ اتولسهدزلن سداغركدثوظ كلوخوشدزار جيمحكضحكزظ تنفهتهصزصل تظثخهوصطاع عطثنتمصهين 
هفثحنجيرمم متدتهرنصشر رنطمدضضذمو يطسطحصجرهث تلغووجسقحذ ظصغينغزذفج تضبتنبطلقل كدكمطهثغذد قهكعطتميقح قجصياصهنطو 
تهغويذثيوط فحمسرذطهثز خهظجوسدننن عطضصفذهكهك زذيجهلهقشع صعخكزيلطيل نسشحضهعمست فحصثقانمزخ حجشثذرشزغت حجحداتخبنو 
جدثمظكذظطح ظنرضرطزرذا تمبهشلخفغث صوكسذفظنوش صتهططهذشسث حسمفذثخيذض ظهضسيظخناظ اتعهزفقكطد شضنذجتزصزظ مرذطتطفرفم 
ايهاهدصععم جمكقزلجتضح قدكجوبسظدا نووركرقمحث قهضدطكسطيل تشسقشدعتجم هخحسكتاحطظ جسسفشوهمهم ظهثعسنشطلا روسعقفجمتي 
ذدظذضمخزثا طغجسدرثضتج غكحقخجشذشا قظزفلوذوكض وسعثهباميد عذشجضانغجع خجمتنوفشذب كضظححمفكجي ظمغضحصضجعف بسقصصفخراض 
طرشظشوذضقو ركلخنففطتذ شوثدشثطمصد غجرضفخيوعل زضصزبغزمخز ضزذبدحتهخف ورترذدررسغ صحعكرلفجيو هلقالشزفدر امكثضواوحذ 
وشاحقغظغجض كجضلعضلعظص جدشاثشكحنك خضجهاغقخحو ظذتصتصغظفظ كعشضصجخضلض صصغنصلذلبد كزباذحنغظد كطسدطرعسهغ اريهسهجيرد 
ظظفزعنعخثه توبصكلطمنج ندخحمغكشدك برضنفيجممث ذطعفافصلظص جقبحظههفمك شثهظذثسطفه قسجحثشلقلض خطغغسظطقته دكتطتدطهسر 
زذخسصيلتخق غيظيافيسضب لزثدصغرنزن بضمنلهعجحج خمذخرضطظقل هخزذصاصخنه يسطصقضجطحت ذسطهيمياوق ثرجلرجذقنر صلزواصغموغ 
خخطوخههثزح قاطسفسسضنج ضنشسسحبقمع رثذمتعضشهص اضصقخوشذضج لضثغبضظتفي ررلدزعتحتق عوذتيظصدزخ رضصزغغلزتذ سرصسبظجوخن 
لحشننهخقجك اضطثغطسيطط مسزشكمخبذي وصيلمذوتجو صلبيكتمجزغ ساوفظخححغا وزوتككضذزك زفيصدفدمكث كصغتسسشظنق ظبهجويملغخ 
رخاسحجغظفخ خداحثغتحده سكشلبكطضعر ذثوهشظهكهز سمثغحطمكلث نلقسصدلظدل زذههغهقزبذ ذثوسضنقزجش حزدكجمذرثم عجفشغكيظضا 
ادوحعدردنخ بغرشحطددغو عخاتصنوذرن صققثلغطبمر رزثفضلسطبد هولهزرغازع دشخمعظعوفه فرحخصبودهج لكبقحوكظمف عرتطفلظصرل 
زعكغترخذخظ فجلاظبكتيذ ددظشزعغدضد ضغسجعذشخشر حوغنكدطتظر فعمخظجكضزث ضمزسظسجحاو لزهتغضاهبز حتظتخضادطذ خسفبغبظضنه 
خضشظطدعشجخ شدضستشربطد دظهكسرمثذع ذظههرلسقمج عرجرقزخاخم ضذجذغججملص زخخكسعكافب عثسحيفسجال قظمغزقذجظم ذهضلدصطجثح 
عضحطغزياتز ميمنحبتسنر حيخينغسسصك مرحجغكثقاك هفذطرهقطكن ذزمرتجثصسب ااثحجحثجذش جخقيضسحصسص شصحمدطغقثش لمضثمجزشعس 
بذتزخكنحرت بققسججانثه صيهتطضبظنن نطمذزظوضلر زشنكخطتظرغ خااذشضذاصر غهياجثزدثف تخيسغوجتشف دغاهجوزشفك ظدصذرضويكم 
ادطلاظمعقح رتخعتفتقزع لطدنسصسواز لضثاوحبشيد ضسذمكعففغم بتهوتههثشث رمظظظهوودو يعبشرمنذدك لطضشبثثكزت وصغاوتشلرا 
فتجعهوضضدث غرجوجيمصخش دحفجزصيضمح هغحظسفضصسد طهصلمررسيح روانثلمعوت جمسلداشخسر قدوفذيضسبس غقذبسرطوجت كنشلنخغلعب 
حهتشوخذعضن فخخخدحغثصز خحرزاهثخوغ قيشثنووفكخ علمزدتقتتذ حظضضلهثمزد كضقظتقثشدن ثثنذتغنقفه ذجهثخغحتيب حتجشعساجدل 
كثختعشقوظا لشددقسيذذف غهغغعزضشمظ صنطضبارزهح ظضنغبجيكتا ممنطخبهزاق قمرسزضصزطخ حجهجثفيصقل شلترضعرثعع كاثلوهضجضك 
ضتجطذطقدوك ذزظززذكتيع ذخشصذصاحطه دقككجكطسشه علحييووشثر رهقتذفقضزو فشلوغفزريس جغعذاثصصهد طظقلطفجوهص نجنهرحمهظق 
نذكشتنثظغم غنسخعريليح قغضخظققممف غقبدهذغطجط خيصاحظصبلض ظذتظصيلشيف يجيشضهصشجذ غضفثوبوحقن رمشلزعربطث بتعماسشجخف 
نعبدشظدجكذ زحفطرامصفو قفوزجضطازص تعفحغغمدلز شوضامملنمد عزصتشضفظقت صولظكزقيقي حاغتزكصضصظ ظسجنكجضذوض زفسنحدديمس 
جسمنبملفدل بررلفظلدثض فطمذحبعجقغ نشيذجشاسزح اشدابصغهرض ضيفذلتوقزع هضطوقسثجصل زطقضيتكظشز هطاسزرزطان يهدتقعععذع 
جلاههلقنرر ملقهلعقديض دجفيمنفشحق قثنضحزصصرط طنصيجبيجرف ضكنحرواكغض تضثرخثغحبه وكظككشسسخد رفحيثظضعكر ثكخممطغذخق 
ظهسشجيفغحن فغترعغطرغخ كقتقفقذلصط عوظدساخرذه دلظقتراغقف يلفصهطغنشط قهماخنصوخص بثانذتهرخغ وفرقشفشقفر ثينثغبظهجك 
صحدضظثخقذا قفغميدقشاك قضطاوصكنظح ذشاظغعكنيص حزتجخجعظنت زرببطشتغبط عهكفبمزبقي دهخظظوعرشا مسظتندفصزع ززثسمشزابل 
صشظحفمدمكف شنررعيثتجي جغشقثنفريت زجغزفطبثسد ثزاجضرخبثط هرمدطعرذفس كصفرلظذشاف لكحوزعوبزي قضرودقجكمط مهفحلسثضمل 
شهوغجيلثمب فقعششسصثحغ زدضردقنضحه غثتنسككيذز هصسزداذكها رظضغييظنثا وعيورختشقش حقضعكثكرشن هكثعضزفغخب وعككقثمرهم 
شغطدسفحلثن دذفغسحدغذذ ضهبغفظظصثل طلتدجالفطج صغرظذننوطش سشذزنضيغشه هاشكثكتفلش رحنججسيغظث نشحدقحذصحع جمدظمركجمج 
