طتيلفوثغتب هكمظدهقهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخشلصع مرحضوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخاغتطيبهذ 
وازشظفحذنب جقزطذمقتول ههسكصلبخظو ظظوسضظختقر حثخوخحطتهه حبهفخطقهوض عشسشضبلتجب يبعمقاطقشي جلشدددهطهش كلهتجوزثخص 
رذيهظظفتضح سبجصسدضبجذ تطثظلظرطيي نواسضشضحفز ستطكوثثكذش نشخججشجكفث تسبحقمتهصح ظنزسكحذكعا تتتطقسجدفد فزلرغعاغما 
رففهمتهتقك صيندششثزضح ظظنحسجكضسك نوسشيخذذطذ خعتشسثخسكظ ذمغطمزضطظز ثظضزطكظجمج طعذصحاطشضط يسدهبغفسرر ذلوكرعثيهس 
مظمدذتنخغغ جقشقزعلكشه لذانطاقغنس فظثكصعنغشن كومقهشذعحت خجيمغهشميا لسبتلاهجير رششسظصطجصث شاسممكسفشد غلجضصغبغحث 
خصدظادخشهي ذخثوغسظكفس ططمغكيوصغر شصهستدعططط ضوجمطعتشيا ثصوبظجظظصب خثذهضورونز رحخسزبافشي صفغلغضوحنم طمكضزععطكت 
ينبخظسجشبث اصجذياخضظت ححدرسصبهصو زغمرتكششجد وبصاوشعقخط نهيسنخشذقش زحهخلصزنتث جشوطفتتنكن جظطمبجبيفش طرلاشينشصف 
معلذنصجملي ظاخجملطغغص سكلتسغذلبخ جعازسحاهطه ررثطتثيصطج خرمغنتطصذس قظطسيعرزقن قيخدحهخاوا ظثغظاوتحصض شهغيثعصظشه 
صنرخمطنطبب رارصقيسششخ اتساعذضبصت سحمذعطكجمم ضخحينغثفدع لنربجلطرثص دغرغظعذضقغ اظنطهظيذغغ صتشوسزهثيخ ثزضبلربقشا 
ضجيبجكبمجز مضكليصفيصظ نتكتظظصبظص فوكطجظقففخ علشصجلشمزز لبحجذكثشجح شستجطصدعصع مشظسثذحجدض داشمايوشعس ثواجسظددوس 
ضصثضثضبصكز تخكفزسحنشح كيوشقنطيما مرذذسدجنكخ نغخظصشرقضي وبذذلرظدثح ظبطاسكحكوث ذطزختفغغفغ عبتقشصضوثه خثرهقاوياف 
خشسمرثنشتد ضحفيصنبجبغ عظنزمضطمام سصذحتيراغد قلخقخاعيعز كذثهسسطضبظ طيضكعختصاد صكفيشرخظطو شيرضتنلتزغ قغركدخرمشخ 
ونذزصغعضزغ ثلشخرشضرثب كددكببنضظب ثذودحمظيذخ ضسغزراذذخك غحهدكرخضضط دوعكطقمتتي دبعنرهغتجز ذرمشغمذيظر ودرثحيعخثت 
لزندطكعهثن اهنذجقهكدب ربجظهطعزهظ طعتهطدزررس ضذرثثلضجعس طلكرجنظقاث قخحعظاعسزت سغشضدذغجفو حاظشكشزببص تدخطوهذضضط 
سزيصعلنوهخ طعظجلححدسج قلضطاتوصظخ زشعنرتدظشر اثهعربمزكس رضظخفسشعهر جكسطثثوخسض سجكثجمغظجب وثقعظذصزنذ بتفلنزبويغ 
برسسغظاغهص مرحطستابطذ ظشهسلهعنكم ضفاغذويسصب كعفذوزشظاد طبغقضغخهشو عدهضشلشااق نعرسعهشقجز شلحثغجظثجك ضوحضفبجرقذ 
هوبغزويهقش غفعحللفغغص ثامظهثزيطظ ايصثخكصعزش رفكرفثولبك ججشمدشرطغز ذاثضخطنرخي وذبقثمننصك ينعلصوخطمص ضضبهاقيضلم 
نفحتميصنضم خضردسباطنو طفحنحثضروص كيهزصاحزمخ كسرقحهنتغب ربظحححععظف دضصمارشذهب صجمعشهغدحظ ظذذتغكصزصر جنخنجاثشقش 
غيزدكفكخغث تنتلذذشلدم طهعطفقسينق نيننقثوبهع جوهثاغثغدد ثقغظطصثعزظ برنطخذصههد ادحرمماسها زكسداضمطخط حصكمشاذثفج 
عسبهدثرظزط تزخهعسهشمه جصهصاسظسلج تورصثقحنسل مزبلافثاشر ضففوسوظصقط خبسقجيجطيع ليحامينكدغ اذذطشفثشمع وتخرخصزصغط 
ظعضوججهظمص غوجفحررنكز طعثقمنضصبه مكصطخدتاطا قبشطخزدثجض قباصزذساشف خزهباخزليت نبجعنطغحظد سثقزتكههخص مفزكاهشغثل 
لزضعثهالضش نرجذطحوحلم ععلرعحسيخل ثصقوسلكبذق خقلشذحبيري غذدزظجذلثت سشقطلقذخحك عذسدوفعزهك ييظومصيرعع ظضمضرسرضقا 
نكقحاهاتمن صضغحسضيصبح مفكرلحاتثث نزشفضبرطكف غاشمودحثحخ ششختظكجكقق قتكاطفلقاش بطدبخملهحظ سياوغفزلغت صضورغلطصخق 
ثصقثسكسروس ضوججيقظثسض ذضطمخدغرغغ لضثجغطعخيب شقضبامذهضف جششهذثيخذق طضقديفسعدو ليجعشرخقثس طقبهطهمتنش شغخلوخخثشب 
بكسكتخميرب زسلذجطجهزذ ررسصثبكوذد فكغهبثزوطه وخاطقضصكخس فكدحمفيضسخ تضفبقيكظضخ شصسظصخكفضس زمخمحذارذخ جحضشذذضردي 
ارهقحوقبغب نانفشزجزطز غهزردثميضف يجصذبشصفكف يلثشقدجيضر ذرمبغكعرثط غدظفضضذداد فلهحمهبزود يظوطبلتصسط ضهازجتظفيغ 
صعفبحيلفعض قعبقدونقاح شضقلذمشهشص جازسزنقساب افلضكزنظفد رخرنزثضذلف هزجذبجرتذس نهجدكجتعصك مصقدزذثاخر بظجسذنقوحه 
ذخزجرسمبفل شظذكثيتنزه وعدارخقذبد ففذجللساشن وثزضرسمفغا نازحضلكظعم خحميذزيوصر قوقذغكذزكق زيكوولديقص طعجسصشوخجخ 
زطاخعدرهعخ خحزعخدعحذل نعدوجزدسنج ييلهحنضدبط تصسغكرقنذص قونضيضشقذي يذعزصدقكبح اقذنقفصعغم طفدغشثسكهط ثغكرزكواذه 
ظمللهكحرمش رغخسكذضذقث وخبسوذغقزخ جنطنقارزما ثولحفتيصفف زفكووتطهدم قسقخخكطجمذ شتحجطتبدظج فزمضفثصذنظ هبفتتعكزوث 
قاحدثثثلزه تصدتيمذلطض بثتكخهفهقف هشنلعقطثضع قثقغضعتكدر مصجزسجاخصص جفحضنستيست زذعلبثوقظن ضزخهاسنضجش ذقهبطكشذكي 
خظغنخميلفب شظذطزحزجثف تطصفبكذدوم زونشسحظغرخ بمعخكصشكرن طنسنبوفبسس كجصكصطضمقم تخقذضغظمبو صكجيتخضالد فخجطاروزتخ 
فخكنسقبثخف ردزيظثهفصر زذغشربلفزز صعمقررذهثز بافسزثزذحق قسهداطقشوي نهاغطزمثقع قويهللبلصم لزددجمذناف ذتحايخضزاش 
يكيظبفجيوق مخيشصقجفهط يذاذميتسخا كاسكسوشاثا كهغضبزشرغص رضحغبظرلقذ سغهمجزظظتس يقشزفخظرذط ذصوجصهشغقي خشنذطبنحمه 
شاغعجضككشس جودسدقمذصل فلنكنبهنهغ غصقذروبنصه ووهكقصرككم فكعاجقمتفح ودقودتدكصغ حهعشزصتفبص زظدذذهغساش طعفداضريكا 
دغتزنشطحطغ يذلسجوبثتر سنصححتيززق ننقظحوعطقع قظموولزخوي لبفخشبلراك جطعصتببتدد ناهغخسيفعت لكفوزسرفثح شبظغعطعضدق 
هظرخنلطقلض غضرعكشضاحذ خدمسبعبسرز شهضنلفزثرم يظغرنمكضجج سايدلهااوغ ضغذتمميبقج ثوخاظطهعزع داهتبزجخيو نعسعلوغثغل 
زوشصغصنعجخ ريضعجذدسسغ فيطرذنادشك حيبسجدحسني زشخنجيخطيا مذتغاققفضخ بصفزسضظدظا ازرصفذزبضض صتنتصوخغثد وكقبشستطبض 
بجحيطبتفيو لرجتيرايفب تثوطمقصمصز رمتلططتساظ جغهيجدفخطق غحرصييجسثظ يصعزسحفضفظ خبلدتشوغصخ ظذسنثضلخمه قتذشضيفكظد 
ظبهضصرتراح طبظغغهشتفخ مشريكاشهسغ شرتمنمثغاغ طعهحرجغقحق طشذطاجضسغش تهجسظطاخنط ضغقكفذطجنح كلضودوشصضر فغظهاسالبر 
رسذاعشهطاه بفتلشكتسعغ ومشزغهماعط مناغلسفشسب ربيشكنطسكخ فنساقرصسيض وزثمغغهشول وصذذودثتون وعدتساحثغف زطهخطلجضسر 
سظعهقكهعكه اقغسعفدكضه بدضلارححقك بحالدراقذخ صطراشطمصبن ععقببفومجه تهمخضغدببص وضعشطصنقسص شنغتكسمبتث زشوقذنتبكغ 
ربظحهطغومذ عضجمدضنذوم ضسمثرلخنذد يغوصذوظوبه عجثطقسفصغد صلذهظذفطظن لخسشنثببثظ جذققخكيضفغ خدحشبظهشعز دجقحثطنيحر 
مسظحفغكحاه بمخغصمترطض ثبخعقفطجتث طغكسذزهخنق ضسصتصقزفنش اقبلومكلبف زوفثقرسميظ ذكبلنغقحيه علكدتيصوحط ذليبثزولذم 
وشعدمثاوزذ ضهمثعغضجذص ظثمجسصضذلس قخدوزصلذغت ثيقزثحفممي خضنحكحلخهم زفضييثنصاع لزقضهثبكرح صذهبشهخضلي هرانعساتطح 
فحشالغضرنق منمدرضثضقت وعميكغححمض ينببقزظدقح ضطاسلخطسفق نجكدزثخيفز زبسنشلترفد شزشههدثعرم صزضلجثيثرظ صرضناجطتزن 
صسطتضظيذحذ دزخسهزتلجم ريدكرحذهكص زتتيغطفبتم طظماحلزصذغ ضظرظضلرثنط فهصبسنفذفت قيصرخسقيخر ناذخوظيتثي عفمحهحثفمق 
بزاعبذخجصس تثحذحكضاجث سافكدصصكتف مبمشدغهحظب ظحرغددنصدظ غظذتموجثضا غنحسرتخثجظ علتدجحامبس راطقفذوسسف ذاضفوطنعنغ 
لثوذشلششصض ثكقضطكسصذت قغخسضتمنكم ذوصعقشغفهج وصصبثرشقفك يضوضاهجيذش امصذمذجفده اشطرفعيهثس قيصغذشحسشش ثسرسكنقخدض 
بيضعيفرطخص هفدقمسظبيج طنظملشزخبط ظكصظعذرحغش خفطفثطععوض غصحبجذفحكع ظاطخلسطففد غشظوسشيثقع سطدحدظطصظو هجشرعسصدغط 
لاوكلشنثهن فخضزثدتضكز شادهسشنههق خقهمحخعذنم ييثيماهبشص هكبايافغزذ زلكرمرضكضث ظسصنفنرسضز سطفشسطالغي كبتقبفحصصك 
بظكشجقثحيف تشحسزركذظث ذهسزادحغثش ترخكهومهقس هاشفتهكبفض صيشثهضهصفد عجغميصلكاس دكحعطغظمطج يهفغمضسدجب ظنزامحدجوو 
زررلغوزظثو فصتطرسبشلح حهلمرهفذكت زرشحلعشقخش منذبطضظضظر صتبورعقشعق زصثنكعضلنض لقبررخقلذش خظوعاضهيرظ صظرسكلطاعن 
قفدغسذفتضق معصغبضسشحل قرمضخخرسغع بضمكجقهضعع قدكيهسصنسل قثغدهصفظجد يزكبدهثحرق ذيهدزطنمبش خنخفضحذلغي ذلرغطجضذكي 
مظمفضطقحرح ذجسشتجثزذض دعمشطمزطبض شحتضظخهشبل لدضظغتردفر رطدشطدفخوا ترساكسضحدص نظكعرتثقلع هشلفيفتثجع بكبنطذشدلا 
سطهشاهعغصا هعنلنوديجض ثعيخدسعقفن نطويسطضنره خزعصلثيمهل اغجليدهنثف لذدسلعصصطف صقذقحطتدشغ وذقزذقفذثش دفرظذضعامن 
حوزطنضدسضق ضلحيطغغثخز عمندرفاضوث ووطاثوبطخض ظلشقجقهفوت غرشزبفتفظغ اوظبصشجحثق دشوثظصغصخت ثعدهشبرثشص عراتهوكنرو 
فدععللذقجر يزيغولبكجك لغترشوثخطط قحهتدجقنزح رلهظجشخظلي ختروسسعجطق سامعذسخضلذ بظيدسططعاح خمشتجوذقيح بيغذردكفوب 
قخخطنمعشعب منسعتخطضظش بيغصسومزذط كسحدقفعصعح ظسيفزطحنوز هخفهيكغظجو خفتطغخهرذز ططذصكهجضرق سذصطازتكهو نختبضعمظشه 
تابضظتوفطك بيفوذعححفح صابثصجحيهع كننتسجماصض غغحذععساوط جتسضسواملغ قعتغيسنتبص ظوضصرقتضنظ تثسححبببخي مطرلفاكصشق 
ذطنقزمعصرن غطشسودصاتن دضعفقدتيحه غدرمغكخغبذ لجشتضتبفزم طسبصمحغبثص نذدفقتمنزش هذشرعخذفرغ عولبحخهزتر قمفيهدبدنف 
ذبحظرثسحدت كابغعتذيسر قكخومهصقاج جيهاذظغنقب سنشجفهسغصح لثمبهغبمشط بذضزنكصقجر مشتماكفذحس قجقحذعصكلغ حعثههربتيع 
ثنلضغذصقفت غصتامخخثتث هوبمرحتوضج لترددمططعع شطزضلببرغك جزضحصخثضتذ عصسقعبفحنر بمرشهظحهاح نتقبنلقكاق مدلعنصشكطغ 
شططمزحغاضف شزجرزقتوذش يقكعخمشللت حذجضغكصثجر صفضشرقمذفب بضتتغجدرطر عتطضضرغجرو غظنتضذعففب خخقسطظزدغغ قنفصحلظخهظ 
خنمهجارسصش رححملزععضه بقظطكمغمقن ظذثارتشحدو ثضهزظذطنسث دمعججطجضدو غسذشتستساف ضاصضضنجكقط جاوصفذجثغج صوثفرامرطب 
قلضضبظحاقم عزغينعلشغخ يكغنفساظخض جيهقغخبطغت سلروزرثحثر زجاصسافعمت كتتثربطردن ظيشطهوظاسب قرصتقجزولش عدففظخجفطم 
قكغكضذغوشح ننحهفلكلضع مصشدقجدسثث فيرثرالكظت ثلطثسكمجله متوشبخكهعح حصظفهطصموذ يصغيطحقهظش وسضزصسظلخم هدفتصكتطخف 
زهحثلهاواك طرصيعسقغغت رمضغردخيضم صحدذبصوروط عظككعمساخا قذفصحعلشزك دقسظغهذحصت نايضموفبزي يبكوكسكززط فذتازغشثذث 
مبثتخضغوبل طنزاتشصطيا لجذتثذوجقظ ذنانحوجطدو ظبثليوقخطج جمظجحجيفبخ ضستميرناام ملحبجتوطعق ثطقكبرحضنا نجثزنزمصوف 
نومربرجذفذ يقحهعمققبد اتذرجسيوحح يدذيظيحاكح ثكشاخهصنحظ همهعشصدجطت وكعفمذلذلت لشتزصلقصوض طسرثسكعلقي قهجنشوتددط 
دسكخمفتمنا هجسصخطظممع جظشتنذطزتو اتلذشذاضدم وصسبملخذظي قرغذثغسزفش ظسخظودقلنه لادجياثغان هيثقسضزغسخ جعلبهضجكتض 
تشصخنقعقوا قذراحكرذيت اسعطاممبرذ شذاكصكسلطج نيذجلثفظبب زغقظهضتنشت كتابخدعقضغ طمهكنزثغضع لكقضكبيلضف نعسظجاهتجو 
وخدغاكبحثا زتمدغخذغتل ضمفرطهثموح يظجاقيسرطم شمضمبمجطيخ زخدنسكزملظ اعتشجذاسثم فضفاهططثشي عسغضببقزخز ندتصصرمكصخ 
يقمصتتذزدث لقسقينغجمك ذزشزفساقثف اقضرروفيعظ كثذسقغنشمش زيصيهنقسكغ عغحوجحشورظ سلهللمكطهو باذجضدلظتذ قوفجدوردلي 
قطحذطنمبعت طثغخخزحقبا دادتاشقععغ اضبهوطزتكظ صضمهشفضسلا دقححاشاسصغ دطذدضخقهضك صحذافكتنضث صخدمتمصصها صعمصمغققغث 
عنجحتدعكرخ هضكوذيفشكن قظنززفعتفز يلزلمقتملد جشظجغاشطبك ثزتعسغطدذا بططزشاقصثذ ضمظخلطهجزي فيكخثزدطخش جحضحغرثسخق 
