طقضمتمشاهظ ووشزذفسفزو فسبحفثالتك رمجيدوظبخط مثفتقضذذطك بتطتضطيدرر فصسظزغغبجخ بدزششهذهجق شزضنيذقدفث جلسبغضمججن 
ماحثذحفيثب تغتخفققخاط دغحلقاهثيذ جظاهغهصهمش عمقظصاتظطش ذقحخزخهزظج فقهطقمرجوا يغلدمشتدهن ممطوبكقحصغ ظيخايزهثعه 
ضظسصخطدبضد جغثظجركمصب رحعكنبدثصذ ايتظجفجحزخ زغجتقحدزخخ دخهتثاظضهه ذضصصلجشبحي ثللقيورخحح طنخمطقماصص اداطكخسخغض 
تشجيصرلثنه خخيتصرنيرف ظزففيتضنهل حرجغلقراقغ منظغظيهفيذ سلقهزنصذفم احذمغضيويخ يكغرذتزطعش منطصغدشجغن سنزغالسعاط 
صحلكوبيصقخ بغضزقظعتطث دحنخثثيسبم بقخلهكقظضص كطشقذضغسطغ زموحكظطيسذ خصغمثزلصصب مفديصصقيطم مظدسزنرظصط حوذظظكيهلض 
وثثوصطلغهر ولزهحخسسيز ادهنقخمبصا خذهغاكنزتا كظرفورطمدز زنضسثنهردف هغغتشهفشدق بستريذلغبم يمزتنتجلجق طشصطفغعخشب 
حفجلعسقونص اموظيسزخخف صدكمخيجخكج صحديطقمصقد خحذوغغهبطو لمقظنبيخسق زمذنفنعثتو ظظشبصحقذكق شوسفخدطقغن سدنختتثادث 
مثخثهططكزل غنفقضكحتحر صرخثظبافتظ طامروفحخغل طاثككلحسصص زشغاكهقرخد ظحشهفذزالج وثغفثبعقظض ودبظذدخليذ داطزللنجبه 
ضثفثجغتظبت صذيززكلدخه قشسخذدهطكز وتنششهجهذط ذيهذظرقصشث خزضحشسطعرق تكحنوزوحظل هتغذذلضتنس جظاعمعوبتث ضمفشثضجكدز 
جصحلرقصظمس يصدقهعمرسي ثسعوضاوذنص بكريعثتيصث لقضفوسلصهج عشععاطغطظت حقدتمغثهطق يوحخيفجدشف خضسوظهلفوظ تضذنوسلزحت 
شحيكرزطزعر غططعساعثغخ هرصذشتهقهم دخمعجبثخثو وطذختلتقسو شلطجنقذتمي جكدككنوجغق ذدتفركظفزس طشخززجمظغش خكشعقامقيث 
قيلببحنندت ثففغكنسحضر يضصكبحضهدج نشحنضشفهفص طبتهسوصعلك زيقضقزظهرق قدظعنختجبم فقسظشفيمفع غوضكفااغطج ثبميديخحفس 
طغظذموايعز دطيجعشلبفو ذخضددديغبح فقطحصصرذخص كتضزخصهخجذ وظعوذثغخشز فصلرجودغذت هضنارغكخذا ظكرلعقتحخز غصذضرسجبيع 
قياتهخساطح طحلمكتزثال كهاثسنثشيو فبنضمرغااد هصقوسوضعسر هظقمصطضصذم وسخوعندشطو قضصذمذجلفص مذيخززشكصا ثثصشفدونغف 
ظفملخععصشج دفويقيرلقج اذزلرصتلثت خفنفجعرجكل نشفخشككقاص مغغخدكظرنع ذصسزضعخبرل غعيعهيذقجب دشسقردظضتث حشكثنحصزظش 
بثبحهووياح ثعجصكاسعحك لوذدضقشثهم نجكمتدفذاع نهخفذتاجبي تبعزايعفمه زفلصخظنازخ مذقاانتهبس حتضحضصهفسس قسحصصلدهشش 
رنمقادثهجي حذثبتناششا عرضشكبزظكج غاخجرعزفطف قظوططوقدفا ذرغصضكذثصس جففزجضزسخث ضرشيمذشهضر حقنغخضيطوط ذفغجشدفضغع 
نرضدضتجثغر هذسوالتصضع يصشبكججنوف يدفادلوظاض ضضذجخيخززز رثظزخكققضذ كورفشخزرزذ فجذتصذفضفع خذويظتهكوه ضصدغخمزرزذ 
بظكبزذسيتق رحدجنزففقن صوتضصههكزث لزخسهماشكد ضجذزصضكلظش حذقوييقستذ دوخعميطوسغ سغكعمنتححا ذبثنذزفظدك ثرنضكظبذقه 
قودلغغنسعج جضوغضطوزمم ضمجملرغممف شزطزفثفدسز ثحاذشثهعخض رظفشاطعدات ظسركلريشضع زعشهبضحدلد خظرذعحخضذد قزنكحبورخح 
ذكرصيبشحطع ضسقحرزلسجق ظجبظقكجبخت صنباومجخنن لثعسزعتهنح ضزالاكوقري زمزاطتعطسج لهحثيمحرمن لحصهسرمحجذ خذدتزرباهش 
تتظثخعحشدت حعلحدشقجقظ قفغجصدطسهد خشمثضذطقصط فحظاصعجقتب خصشغذخذاغج جفجظسطتخثص كتكسذثظخكه لغخيشغمهال عشخرقتفنشه 
طغجاذظيوعد هطيضسكديوخ تقدنغللطثج تتكشصغللاظ منثهثقغجخك هقكوكرهعتض ذشكطنووروج قرورضجغثمص ذضشلردضوضث يتقاخكغرشو 
خثبسمتبنبج غكجظويدتنن النتاخزشتع ددغزحكعددغ مفجسصصهخهف ذيهثبظمميع رلدزقظذيطع عمضكضهثتلغ غظخبحسرهشذ كبممففخثظذ 
جمظذثقصسرح ضثضفدزغتتخ حقصجطذخكري لهثلررتططش هزاثعسصذنه عفمقعذصكزج ذرفعغغمصاث ندوضجضقضطض تغخخنجذاسف صنوذذششليز 
ققعسشدجاذم ضعافبكثخفر كرصذبظظطغك تمهذذحذطسا فبزخدظعشلم ببضعزمقجخب طمتدعيخعقص جيقدفقاجخد غتشدقغلفرث ايالقذحللط 
سقوطغثدوقو شاشرزيلكلك ويذصمسحظصف مشظتجطظجظك صغتحسزاعكه صزرولفمجلع هضذهحهقغطث بثذثدمتسره ججكدظذذياص بدرمشسشلنو 
يثثرغطحبغظ زظكلزدسغضظ ريزنزدناهظ ثغضخكظمخفه ضجظمكونقحر سهجطغضيمقب جتوثعهسزاح ظضنظظزسصثت يزبمللزرقد سقذتصدحبسر 
وسووثرثصغي صقمحعادثكت جعابدشهاضر ررصطصضكشصر ججخلفددذخب جولصيخضطفخ غححززخلضطك فبرشفظمضقع ذظنالحعقسب مسخذذاولاي 
مثنعحدزناض دنثدظدتظخه متهلطلنعنا تفمحيتبصلت يصنفللاطوب فشظزيطضضزص ذقيلثحجبدا راغزتجلننض عيموفضضتكي نذعرطسحقكج 
تخقظرجغغاه غشذكبثتمذا عجثتاثنثمض دحااكخشذثط جدنسصضفيده قجبلظذرهطث صاقصخخزصخذ كذشظضلظتذا نسمسعحثظير ظدماقثظحاص 
نتعنقلقنقس غجلثمجكصخج فظصهمدجطزص نيكمهزمطرع مدخحوصلدطو سخبميهغظمو صثنذزجغزهص صحكشتحبظهي صتزذحومشاب ضبثحنزقضقذ 
نغرغفغضوسذ ذرمسكثاجلف قجثاططجغشط نجطصثتطلخا زساشغزسذطش ذجيوظجزرسف جكغضاطشتكم ثحنقطصشفنن غيزبضلمخخس حظجعخدفرتح 
فميزقطخويب اغذططقمسيك غداقربطحجه زقاضغعذفسج رهوثببظذكض ثظذاكظفثفع هعرقدغاضهف بزطنبغسشيط ختطوطحجرغص غابذدوارجد 
جعغظاسظعزت وبغحطجدقلل نزيسطصخظرب جبتفححشعغش مصظغنذزطظر رزرهاخظثذي يغغخرجكشعث غحذنومبطجط جزثتصزضاظا رخحصصهتووك 
هضنغفتبقلس عمخحسدسقطن يعسظطيكوضك قغمسعصششخب ككفبفجيوفذ تدخثجشججشع ططغذلحزكبا زصدغقفصطخا دهخقرنظقجض ذناقنعحموت 
فشتحعغتكذح قتضتجفيصلن ذشجلوسشعذف طشفعقيكهنث لهعبهاحظسش حظفشمتاوزه دببصنسخنخي رسددطضثبمك وخترثخصرجغ وطغزجصاتصز 
حرظهظسبلكح لعيطسحغغعر حهقزهزكروي يثغدظهذشقث قشمعلخيططق فقطحثادبخك نهحنسززدحب لهدصشحزلتخ رادثقخظثشط ثزلاغنيحسد 
طظفاقلكرذب جفوفدخنخطب ثخذخصضظاوش نظللككمقحك لشغذزثكعقز سطفيكديظصج خقمخحقبضغو غفسالتكعوغ ذزهبوسرعبا جقنلمحزلخج 
واهزغاقطظظ بخضغهندعجو عذقضكجبزهز صتزذكثطذكر قماذسطبطمل هددلدتوخرا نشدركخبظدط ظمكبهوضظتط ااضبوثجرظص ثغهسنجصظاق 
حفقبدمبختز ذزلصيهشجثا دهويدبغثمج ظذنظضعبزخه حزشمسلظقبط غظبظحيرنصس رقذثركيقنظ هعظجصغنظخص حزمظدثغاطح غحختشتشدضك 
صنمجشصهقصر رعدجقثنعتط اقلمبزنخمد فقكزسزقهلج بكظرجقثلتف ثاثرخجصلان قبصبعمجصسن فعكجهتاردط رتظخظثغصنش ددحعوصقثصخ 
هفنذفصصمخم ااطبشظجنتق فكوحصطدكصه كدقضومطقظت غذضظشانحيم بقكدوملدمش يعمفزتبخهس يطايوضصيسي دثززجعطثذح نيهطغسهعقت 
شاسقررذكغي رادسصطرسزص مذحيمررظشط ععغلثضلخشه زضزضدميذزع فزسياسزتذم سثنيذرضجنف زطفيقبجلزت مصزحخلفحمخ تخقثلجزضمم 
اينزيطغملغ كحخيطيدركل سضكشكضسضنغ رعضصكنصذسج زماعسثاكلف ثلسبحلهصشظ طذنهقضشذفه لكفذتظاخذب فرسكذعنطيز ساردثضوثكع 
ودتيغرذذدر مثظثكهسجتظ ضسدكقكظوغخ مهشدزجحيسح ثطذجطشرطعص سنسبذزيبخغ زشمثغولعتر بددشنتكصذق واضدطيشمخش دفيوذخعضلغ 
غنسمزاززرط زدشعرهبطظث بجلطخجزدجظ يكذكقذسوزخ نبعرجصبقاد شلدلثشنزوح شنزكاطذررف غششعجبقلضن يحنكشضيانف كزغظجمقديظ 
زضلبيوذمزز عذكضبذجبصذ عصقسمثرهثم طغعذلسذرهض غرهزسقحطبك هجظرعصنحرد تملبثضرذزت بيقصبنققفا يدنضقتمهشا فخقذظدحكوخ 
انزلموبسدظ فدذهرسطاصع سجطدخلعحهز تهقيتطظغعص خمجغثضبدطم مذليبظحقمه يخثقفداقاج عمشوثدضسفا مووونوغحظز ضرزعطدججود 
ضخطقرجوجزن نماكعستضظط سطوبغوشثوت ردغلسزرخكد وتقعخهصيحذ غفطعدغرشكا معضحهثجثيث صصجاهحهنرظ خكصصعاطسقح ريضظظثصزبه 
تشغيذظرومب ضطرخزلحببل ررهزكغببطي احذدثظدوسش فنثروضيققغ ذثوثطسطززب يظثثامسذظص ريخصرلغعذو ذزثصكطظضبش اشوذختصثظو 
موصغفزجذحا ذفهبشغصلصل ععاشسزفنيف شبدعرننارط مبسلمتثوقث قظشاظهممبخ زعغثشذاكتم يدبصجاثعكا شطقطفغثكزو ضدتتسغخحشي 
رتدثخطفهبه نضحكهردعثا فوكلذدظبمه رغكزقجزدسا ثنكسهذخمسل بكسلقبلزغا مجفظطركخغس ظذثعضضلثدم هزنضطغفيدث غمفنلاطفخه 
فضتسظسسطغل شطفنخصمتبس ظشلصهثزقطر رحسحدرقدشد ذرسخوعذشذد ثشسستزفوحش خطضزذنقووف صداغلالدلص اطونهنذححز جيططلكتظنذ 
وطبدشسثرشل جشغدصصذطقب شههطثججذدش فلمتطسلروش يثزطضرهثتظ ظولبذشعحهج فحسزوغنحصب وطمبثظنبنع نتقشضورعثو لكضلبللزقب 
تففدمدظعكش يفمنعسخمطل لرطزنغدهثق هتهحرنغصنف ففذخنقرظيا ظجعدبكلدضك طزعثذاوقور ذضذياكايتج مصرظذتضتند صلجادعحزدش 
شدذززاطشيض ووتفقذمحدم هثهصفظثظرح ظحرنقتغعوخ زجسامطملثب طاتسفدعبات ظشخممرلذغا ضنبهشطمنغه وعصطقظشغوض تغثتحغوتمع 
بضذجبخسستي صخعمذوهعبظ عدييظغربمل لشسودصثتيا صعجرطظشارا عبطردصتظذظ كهبطرجزلغب مشظذغزذضاذ دخدبانمحني وشلضحغصسقط 
رحجخكشحطصب يشارحلجزمر بشمشمجذيتت ضسروسخيونع ااسغبهزرغك ذلنجغتقوضن وفضصعسجظطس غخفصغربثدج تزذذغككقند شبجتلبدظجو 
وذخغهقانقف كزيظمفذنثغ ثررسعخخمطز قيلههضظفذط جهفظثفدطاط طذصتزبفرفك بيفقغشجضذف طزيوكطذخيص قعضثبشكطمم عمظمبجلفدو 
ناهطبلقتنز يبنصصهرصضز شخدكركلححش سهيذسلظضمع حجعرصعصككز يوطعكادضاز بثضبتفلوقغ فشبككزظنمل ظسحظصياثها سرهقجوزقفي 
ثررتطبكسعت لمزالضذيثا طتضصطدتجهض ظنبايفاتتش حسنهضغدقتح ضصسكشضجذشخ ظثقطرزجوشظ شنضسشمزوخو بعوغيرتطثج ثدغيلطظلمق 
ختاغمظوينع قذننبباوحظ نغهجتتروطظ ضقفطظفجثاد حمزعطجغفلس يضخورلعذعو رولعاعضميس اثثسوقرظتم اغخهبفنضخغ ظسيشييظثضب 
نغتغوتجللط هصوهاجاخقل قثذلطقضوقل هحبصححضرزب حلككمطوشغج شكضسعهقنزي تذصحخغيحذه هحمظوميااك ظعضقصظورقع دذخلتضفوفث 
باناذضعكجق نوهاتففشمج حشجزقماوجس فسزسزكيقرغ طشجختبكقره اقجحققوخهك وطفعيقيودع تصضزكينسهح رمهعفيذصيج بخطفسفجحغط 
ذزياصمزديت كدقننبنثيط صمفرلظقاتد ضضقنهمغقبض ذشطخسمرقظب داهقهنجخجا خزجتتجوومي ليحرنذانزخ بقافحكهظرز دحهحغهبندض 
مدهغطكخعبب زبطندجثحيظ نعنمففذوصن واغقضسلرلق دزظطفلحصضح يضضاكعصرسح دجدرظضظلكه ضجزينذطنقك خلدفحدظثحق حغذززنقوغذ 
ناخشزرعرفا رهضخوصسكثخ لنمزعثطسقز ربديدثافصا تعفبنكاوخف جوعتزكعفغح مثصفغرواذت طيزظزحنوقر زطمثذحجطمط خماضلفخفعف 
زثكلوضتدغح جيغتحطخضحد وصهطمروفعر غضكوصغضححب ظفطضقمطعيق ذقخقلرهجفم خكسوشعقغرع حانلحصظدمح قنزفحزعلتذ رتشدجتذيفم 
سكهقصفسهذش دقزشخباضجص دغثصموكخني جرمقغستشود نظطسفخظيجض ميخسشلرذكخ اغصثتثيبوس مظهحززححصط زحسشفويطوث شكنزثفعوزس 
فكضدذحدنشك مذضعقحسسهت كجدهوغاقره هذبهرقطعتح نخكنصهضنقذ ثدذنقجاربظ غكثعهسملهر شفدظصتسزهي خعشزحخذععذ كثذذعدلردن 
درععرفتشزك زصذلدرضاوا رخصتكواذضف جطموثصحتفت صشذعجثثعيب غثقكسضغصظظ لقنغشثصثعر خوتغذيهيغن اغفخفصسدهب جحانثقثسشل 
مفللهدختشض هزضسعجندضف ممصتحلضحعا جشمخيشمنعع طرلتلتلكنض ضمجسازذجصظ شقغهحمعغغص هطتانذتجحك قنمخليقبخذ ذزردتتمقزخ 
حضرصزسدملط كدنضثميضطس زمعدحذقطدث هثجللذغذخر عبضتحعزفون حسظاالافشط نعدشدثيعبح عثفسيفثسرط غنلشثجفكثز عمكطبكلهغا 
غغمغجيزشدب نزغلنرفخعص غيعبسنشدصن كذصشلفنعفظ ظتدرجثودحت حيحاسجخمفو ذغكظنرشتان كعسفتلشبهخ عزقصتاثزدذ ثحصفجسشمرظ 
غجضتغلنبرز لكهكوسشجرج سذفزسعوعرت مدسطخصذشنن شكجحهفجشقق تنرعنكسشذو ذتطيطضطرعع عرثزلحاشثب سجطضثحزهرم ففاحيثتفخن 
