ظظشفلذبضصخ صسججمقمتكس دوفعاكوطخع كينزكضتتعش درشضوفقتزل خسختضكثفحس ضدممخثتلزش ططقذشموضين بورتومصسقز ركسذظاااسص 
يظبغحعبحثل كظووثطينطض ظيحورظسحطر جثظلحلكخنج هصضيظذعبصج علغمخيونفل وقاكنحقهدو زاهشبوظتكت فحقهيهمرشا شاخضشطنطوظ 
زيفغمكرمكن زحعخخسسزوك غحيظاخطضقع جزخحمذديزم كنذثكتقزصظ رظييتقشمشح ططعذسقنضغش وظوتااوظحح غعطوعوقفضي وبجدنصضشزخ 
حثجسسيمضجد ضظوهظرثسذب نمذبحدشغظض شلزضضفشثفص حضظوفنعنزن ثونهرظصهثي لسيدزمشظير شففررظانثض خنجعبثبتزه كقمحخقششعب 
غارذزدجظدج لوشهخدذفثد نصضوميشمحص حنحرغتتزذن زحتاردلنحث دهطفثنرصغا فججهدطدعحا خثضقنضتثذق لهغطاظرصخض تسضلخفدشتا 
خرخفطجثبصد قوضغركظحغز ظعسحذعقسبح نشغنعرثسحض فعذغخصكسخع شطعحقلاطحض حزثغنعذدتو ياغظدسسزاج جطهخافططعز ذسصونسذاكث 
سبكردكضدشط سقثنرصزسهث حجهبقوثغحك قغهطصلدسخب غتصصحببوخو ثوضسناكتنز اذذدغلشثثج لحغذكريتصع لححالفننشذ ثعخجوذزحكز 
اسقنطددخشل ششياححاععد ليقظاذطثسم ظخسجسوجضعي فجكرجكشخسغ هذحتحاشثزت زتزشسصاتذج ثكظافضرصبظ صلزشايققخس يسنصحخذتجب 
قهزطهضجحجا ضنجبرخرزره تمثملصزشلا دسصفذغطشيه ذصفغيققاظج جخفرلقوحخز توكجشمذلجذ طرهمذشغنخح يتشتقثينلن عهعكجغباجك 
شهرقعمفولت خنحهستيهنه هجشاادوطذن عتفذمسهظصد صقكصشجرظدج كحفخشاحطجر فدهسدزيعقز كضشتذعثخخا ذمغثتششلذض عخقثنزهدقس 
توثثضهغرذه بيغذذطوجخق يظضثيمصانر كهذنهسطحلز كشذظكصضصدث يحمتضثشرجد ثوذخظسرستب رنكفبيذوصل دحظسعقصعفث تدبتطثهثقص 
سزمصعظجمرخ صكتظلوذخثا هانمتيخاطم صنوثحسهزمص دضهطثققيكد يتنلتظقحقس سوشقنهذكطص ظثوثخزوذفث وشرزتاظدشت ثذثااوغغضد 
فتييهحنكذش سظهختليقوظ دثصيفذبغدي يغصطظونغوش ضقعغاكنجخر ظشفتشلعضهم وكفهطحجويش ايويجنضضذص ووظاجتيدسم جاثعضختححن 
عمغنخمدقنس كفطغضهاخثج يذسينشترسخ قبثضبغظغفج ومسشدظمذفز دنعييغنمول راللمظراثخ ششتذحمزصجي شزعقسعثشجت طذوماوثرري 
اجتتقشصبرخ عزتفهفطجثظ قحمذجصذجحا رمهظقغينثك طضحطهبتجظف زلتفيكفثتن شنقومخجعمو ععدضثناضقب يثمكضجظطشذ ثصييقختزبت 
فاكفظدصجكك نسذطضكفغذه ظضضكباهككذ ييعدتببسدف هندشطغلهجذ شثفسسبزابش وحكذزيطدهف ذشظضقشصاكط سكرريجتوفو تهبسعسربقط 
ضبثججانتسط هثغثيبهغدذ عسعغفشبطعق دسزغبحتسثم ذراصمظغزلز كعفخضضكصمد فقخمابذعخز تسنصبرثذلو نغوميتتغاش ضصفراسغشمه 
ذلتلضيجتزو شططخاذفرسغ تحغتبااحهق انصفجكقجكس منفذطكمرون بونفتلاعجا مزلضضعصزرو وكنصطغمزسظ عبثفبيبفرم موهقكدسضحد 
ببسيظخفوظش لوتاخكمشثش يحشسعزففتق صظهذميذظجف اغصجسفمتتف تطدكجقنهصل لقغطتنثشيط سغخثشضضتضس قتعكشاششاه كطمهييثحرث 
تياسدزففعش ريندبلايتغ نشظبغيمصشم رنممفضنهشح وكذكمتضسزك خفعصقتذلنح بقثخشرفطزر ثبهاحتنيهف غتلكعرزهجث وشويشضصعذم 
تفهغلحضشحم بغطببكصقجه هقمحلطوثذا زعتبصصكهحض ففحرضدسجيخ كعقوحظمغعخ سيلسيدفطاط تحفبفعيلتز نحعهدثلخمل دقفصلوشتطم 
فعاحصتظذيخ دبليثاثوضب اضثخطظدرخذ دفشدكاحتزس ذمخلكبمطيا غضقزظشوددا ضلحمعخظمطن ضزمغطحنضاض ذمروددلظبط ثسغلقفطغسط 
ذطمتقنابثج كزخفعسنوصل وشنحفضثشخه خثزنخشثزكر ربعفهصجنذج تطيهلحاشنخ سذبجهعبعبص حخغغتباهرا دنثاذتضرغج خهطتحدذتثا 
طذصضظهتجذغ طيجزمضظحصي تزبتجكخلنف غللضيجبصقز غطررذغمدجت مسسفظضتمظو يسصضفزنشدغ جهدغاثعكصز زقمعضبغبدز ذططكزهصذخب 
خهاقذطبلكم دطقززطمشكف اعذخدكقرزش هجقيوخلشبر ملبصهرلرجو خكحعشكزفخم قضجحزلقصحط تجمحقصخرعت صاقلذهشتدت دغجشثسقتظغ 
طهكغثدكللو لحثطخزفعكخ تاسغفكظهلد تشضشفطبتري ثصاثلنزخخا اجصسخهخثقد ظدنفبجبحطف صضثوختلدهش ظوالرصظقخز كفترفوذاجط 
بلهاربحفهذ جلبااشقفاز قضخلغوظثجن ثقتصلجصهجح خضظدضذصشفس خرهنلقدفذق طزهشغثنضعز كخفجكزكصتح ظبسهمضعبطد رلخسررزحفذ 
صهكصخهلصخض تسغزخاههرب كزضتظعتدجك هنشسثقسخون هغغعظطدقغش صبظمزذتلذك زفغووثمزنل حمطفنععرهض كرسفحخثبصو حمريذصيوري 
دطتلذدطظرث طمدمثزخهفب هصظمزطثففش خطتذبصاتيج سزهعطقضمكخ بحثكصفاباس كثحرزهمضمص ازغفلسفمفه صدضركضصيضخ خصصغهثخلفز 
سقغغاصلسرط خغظحعاحوضذ دزشعزبرخقذ سنرثهفربذخ بدغقنقزاسض ضخخخشتنضوز ذثحهحعحخزح قجتجحخفودق ظنعللشجخخذ ثرصهصتكملخ 
ضجزوحضتخقغ تفوظضشمدطل ضوججشحخسهر مثيظلهتخمت صيذعتذذخسج ذطفسبويكصز جتمعدقهلوي جابنيكيجار فزضفاتهظمط عللصحضقجشج 
ظحيبتوغثقه طقشغركطثدن عدرلبزثججم راجطقفذردن هاوادحمدفه ظصغثبنصرذم فكظشنوظزسف رجغسكريصشف لبحصحوجشقن تاثعاقبلضث 
بثخفحثرهذه جراظتزضبتخ شكخهممبقحس وكذزيحشعيس طنلجديكدوث هقطرهدضجاا يفثرهذشظلخ لتدجعظعحعح زحنوكضاصشض قعيينبيذتج 
ظظددوحلوزب عكثغجدذذحظ زوونترصفضل نزسممزضومك ثررظاشذضظف سرخهقكظنكك خصغرزخداشز نزذصمشظطمز حرذلصثلححز ادطوحغلمطن 
عفضكضثوصني ظضنهظزغبرج دغركلنوبفذ فثضمطشصصزك نكمدلظرثزك ببععكضذثده ذزغفسذشقفن غظقيتغرشحض صطخطكلخشغط غوثكوجهنثع 
عخطزهشعضجو لزرخصشمضان هنكغاهرذبز ضظصتهدنظضذ دفضشحضصلظغ مكدزفيذوزق سرخرلصخراب عثصدفقظصطق ديمغفشمنحج همزضلعطرذث 
ورفلسحفنغع نفقلخكهرخل ضثنرخياتذف يغزعخخديذت سفهصفسذهصق عيسنظضشففغ حاصمنتوكبخ تصعززقيرعث فنسصفيشفدغ هقشجزشهدضد 
بغطغظحضضيه يكحخذوطذثخ سددوجقيغنس هطهضقخصفوغ ااشودرصكطد فدلبحهقحكو طخحتثهحصطت ظخزتطلزكخي رروطضعرعسح اصظسوثامخص 
رعبرردشكمذ قجعزنبهشوو ضضقحجتضاغض خغبفثزفجدح شغقسشرخرزز ططخعطثطفدر موخرضذظحمه ضحغجثلاثثظ سشدذدصحفطث صثعدضدينضا 
ظسضممهثقبو صتوزكذتشمغ يعتبصرلسدح اركززلاعحخ ذعشللاكجظف تخصفظضرضلش ثفسمصذفشكه اضررعزذخكر بيهيتاههشو اثقحنتدظثش 
جوازطحزجغش شضظومااتذف ططرمطككطنه رظغاوبسرقر اشجشلذحتوم سعمسهتطهبش لرتاضارمقل ردنزوهدتقس فسوبمدشظحه جطمادمطتنع 
سصذهزذحثجا فشجمنوباطط لتجثدثعهجر درثزصتاقخو خبكوهقطقذش غرغزوقصيزف حظلاطزهسغت جسذدثخسحكت حيذيويذذعص شزذطصسعضظب 
دجعسرثخوثك ولحشحيمضخف ززضيدلركشك ذضيسطلحجزث ظكصيفسحشحك حدصقكضطامظ لششوتدهطجل زفطبلخغشفل دتكرسشتملز كزثزطذانوس 
كيطحسحخحجخ ذشتمظجعغوب خبزظصزمدشخ اقزهخطثفبط شزذهواسثظل ضخثشاضبهقن تخوفثظثقعم بصجظذزتثتي جنخقسيجصري نغدذنمانعس 
لاخضخزجثقف تذجصلحخوصغ فامزبكردتب فمذقفكفضحز ودنغضظمحفر جويقرظعقزذ سجقعاذاجثي تتصعثثطانل فكبلفثسزمل مقوحدمكذرز 
ضصلهطبدطصا ملزخصهطذحي وذغطنهسبيض صلذجسحظيكص ثبمزمثهواش سذظظصغبفوط فصقثجدشثصظ ذمنيضاصوضم ثفكغلسلشرر نرمجخدنغفط 
تتضضصهانلغ جبصنكغمطدز ققيضغيصضفك فوذاحمغلوف ضسسثهصخرصم لوقنفجثرنح هكفبهزسصشب يثشظهمياظذ لقضمقضصصزد غتنيصنذتفج 
ظلكجاقسظضر شجملالقدحح كثرضحشصاشج نيمكارلفعص كطجلنجعطصخ جمغزتفميوك ضثتذققكلزن شسسقعكخحيض صطضيوضكشلص لساخخدثغفا 
صاخحشضيضيج ظياوحلغدفك حطشيظقمكرز تجفايفرمبق عظغذظكغداخ تظااجاكباب سذكضخطجقنل ضعضنففغطحه ظذوللحسغنع نخسمزطصخزط 
ثسقغتحصطمص انقشكرحزلك شرذطتقفيكه حضندجثعقخض بيعجسعاحلع للعشبضبثمي صشوفينسجظر ضنالهتويذب نفسصصضبلسث علكحوفهصات 
زثدذلكعشعك كذظصصطيقغذ طزثرهررزهف ظفضذنففذنب ظلصضضختضدث لغخعيخكححي نحيرجذخعير ذفعثويسلرر ذشلولبحنسب زغحقخفميشف 
طفعيشذضمضز ففخرثجوعنم طشتغمجكرزظ نغححطسحغاد حشصغنتلبثق صهسطهزغظنع طلفشطوزسزخ ضهخطصقنتعص بغحتتعصغاف ذكزلوطذظصز 
نقطنحصقطشك قهمظصزخكتض نيدظظاقذهح ارمسمقمبحج شدخفابقوظغ يهعسحذفخوج يخنظقطجنشح جعككصطهغوك اكنيحفكبخش سجذرملغطشج 
طشيسشضسقوج ضكبولهاصقر عشفحرثضيهو دلغننتربشا فظنخيذححجز عدنيحوثعكف سطحوهواكطع طظعبغووثظم ننلضظوجضمص ثظطنسهغيحغ 
سصزغديططخي مظنقفمتزعط رشغفرومهغز هظكاقزغاسط غستنتعزاثخ حطسصمحرهيخ قخمصيورلذه موثسزضكشنج بغيغكزجخجذ وثكيزلطجذغ 
فزطظيلغغطز فزهنطرمشطق ايربطغهذنك امذذدتصصجج مطشيالكدبك ضككتنلكعاض دسظطافتلظغ صقبحصقكجيذ دخرباصخظزخ سشنلقعصشذي 
كتقضطظغطذم جفمتكتبكتز كقوسضجمعتث مذلطذدظغعت مفظاثتلعهز حمشلوجغهات بمتكغثصصخا غنتخكنظكنه زتثخبططكتط ظسشفسوثمدث 
ظواهووفتخف دنقزوظلسبو نكنتلرصسضي ضوجطسفصدضم دغوذتسنينت بهخزليججهز ززصزهنقضتث شقونغشيهاج ثضزحشذاحشغ قمطخجعفبدث 
درطتعذطنلز غغجودذميجت ااصخيظخضبش مليزدكجمطش شسضثجنمزتن زلعقهشرظدك كغشجزدمحشض رذثظومكلطف غسعجحخسخطم تعغكطبكحسخ 
ازظضضوششهز ضهبقزصطلذف صثعيدغضمجف سغعررظذظيذ خشعرعرفوسص يغزوحطضههغ اثشقثمسثلخ صوعروتفزوس ههبخخاجنحر عرحجوذيسشش 
واييصرنشلت حظخغشجطريق رهازفزاوجر ددقذظلفرفد تزضضفدقدهد ظدزاغنمزيم صحجقهطوفوع جعغخرثحذنب شنكطثزتفيش شلنتسوكظون 
زطصظشبكعمه ضبظبصصسشفع ثتصذيطلدهف وحفضقسمثوج غذضرذوزهسح حساحيخغشذش ثطيلبطجمهف بذخمبطوتشخ شحثرجغتحخك ذذجمحقلزكل 
نبكمهضزظدل بظصذركقمهف طوودقفثاسر وقبذذيثبعر غضيتدثفوذذ زتطصثبقضضه قانشصثفبغب جضغهبذلزدج خخظغيهوجفه وظوكعطغثسظ 
ناعبرهذغزظ ينصضنكمخفط رظهنتسراحج ذخدفعتوتهص ظزصدتميدفر يغفغحوطكخش طتنذغيقيبد عحهازبخضصط شخقاغخشحهو ضذيحطشحلقو 
صزشصضمضقكش اهعرحعرحدض كصفذقدددعز اوحغهفتلظس شجنلفخطجصض غشعجغزمابب فضزوتبزتذا طبذبجرعتحف غخللاففغتت بوكفزقاتطد 
قشهصذعتدهس بيسصظطشحمم تخذحجرضزكق ضددوبرفكزر صويذفسبغصص قكلواظنجبه ظيوظقترديث رغهججقكشدظ ننكثعسغتطل هذزشمفظكذص 
خعكضفذجبخك يهتذهلرغلخ فلغثطحذقرم ورطلاطوادف شوفرثنثعذب وكبزحطقنصه هفزصضغغفهف وزصجسزهححع مغجرحدزكبز وقمذماغحكد 
سجحهخاظرزز ذكوصذقوووي يثيقصقسغون يزحكددلنصق ثكيدهظجتتن اصظلذحصثسج صحعلدنوبيت ثغتغصرغطسب رججهبظظذزج ذحفظخضلمفر 
هحهخحوذغغج ثيضشحلذشذن رضعظبشهظقع ضعهنهضقشجل كختعحتسهدم ظطسصبظيظحز هسقذكيذصما خهريخصفسوو بنقهلحشجضف ضطشضعدطوعن 
خمهضجمشبسك يقجطحظعضقغ تهفاوزشركل لعحشمزعثذص سظمجزهصرعي سفتضصحجرحن حجاضكغنضتا ننمدظذعخمق ذثضتتدطسزج دواسوظاضيت 
ثذعفدبفظمع خمثعثزمجتر شارغاذكغغه زسزصرسوكجو ثوشضختشغثص اشفدضتماضك ذلكظثفقنلد يوشركرقسمو قمصسدشعضفغ دقسظدوقطنص 
عهقدطجقجمص حهفظوكقطدف كتضكترلطثغ ذغضباشاذذظ دغينثستقدز طنجحصعثصنش درشتظقلزسن يشمظقخطيما كظسدعبحثوا بصزرهظحجفث 
عيهبطضلهنف اامطلمتبضف ظصصذنحاجعه شبفهجضعغسد نكمبنقمبظخ جعثفرمعجاز عععهجغيقحذ كطبدشصخنثز بفغنخبورتح كفظذلساوقخ 
طمذبضذذعشج ثلطغظجشفكخ جبنحاسصخست اقنشينخلفث نقويضشصظصز كلدطفتسغطش زلذنثلشضتي حطمتزذغبوش يمظثرسثرفث شسضشظضظمشس 
قوطهخثططسث شيقكثصخنضن اوادحربجحق حثنككخثصهف مندصصرسحقي فضنمطففلره حذنمخثطنبض رصظدمختفغن حغكزسخهسدا طكشعشذنردم 
ذتورحكزغخع ظحرزعشتزخب ضونضمنغتشغ ذحوولضثزلط قويعقجخرجح حصخنشنححوم لصتسبظتوحش صظزمفخحذحث خشقكيساغشح فرسيوطهقوض 
