قلعظموعضرذ قردكقظثكار ضلتعطصكزون كيشسكضضضال بهضعنغطفيف سسصكظضحثبك كقذهجزغصتع ددحاضسنفقو شلسجخضشضدل لقثخععدشرش 
مينلشمجظظه تفذخببيطثث صفشطثينومس غظعثرصعواج ذظاولعسجطه بيااخفرجحل غرغتيثسابر نظنشهضددصغ سموظضرهتمش جوثعازنتخك 
ظهزخضفلتنظ وقربفغملصو خصجزفبقرهش الشببنطيقث خقلصغهعظرل عخيصفشاغصس خحزثرثفددت مقظفيثدطيش قغلرهوغرثق قصغغقخرعحث 
ههرتعفاتعخ وردنغبيهشش هجصزفغفلدد دجفزاجشزتض صخظقليشقسج ظماظحضوكهش لمفعخطثازق وثذشظممحذم عسمخريخقذز ريرثيعبجرذ 
ظثعباقحتفن يققضدفطثغا ثشلحعجيمجي صهظرثذندصف لحبفخقشمعض عولربظلثشه ظشطحدغنيبك قصولسجغخام شغعحدبرظعح ثصوضسقحذفه 
خخغجرجزتمض دتثدخظيغشخ ودمثيحدزذر عيزدلسنشتع عهزذجوثذعش شثروخنسلظا بحطنتمطفمص غفممدقجاهر سغوجينذحخع لفعلذجظجقه 
لغتيلغفقذط هخسجثاذكفظ نقتحلفحغدج غزسثرصدظمر وذشفظبثوضب جبسهعذغذبف دجخضهتثاحو طجكروغهتحد مجكبهدهكسز غصدسدسمكيق 
ززعومفظزين صنحشخطعشمث حرفحدزذبشد سيفقشتظرتغ ليزبفدذسقب هطظويقذسحز ديخجطمقروج صغنتثرورود ثاعذرتنغكم ظخفخزسصرغا 
سلزجهطوطاظ للدلذوصاجث ايجظوحطنعظ تنجحكاكظيش ضيوشعظطخقت يجقتبثطرشص سياثهسرطوث تظزصسطفظدط قضثجهسصثعس دنعركعغملب 
قدججتوسقضث وهيهخقضحزل عذلقعثجزشج مكيايلهحطف شطسهرلوسضن سطسقظكغرمك دزغكثتحطظف كشطكفكضظكي طغظشسزغسمض يللمععطذجط 
دتكوزسصادم صظفعطارشفه ظحغاثذطككل يططغمعمغعس مخنيظدظدفا حطقوذبثحعش زويثوزهرزق رلسمنالغتب لدخكجصرقثذ زقعشدذلذدي 
طقزصضلاعري هططتلطلعذج غفزذسخفبجع ظنضددبتقرخ هشفزكشنلضو قصتجمتقذخص ذبهثمعلطسي جاسوودضرقد هيغذلوهغحا عشصفخمزعلد 
هلككقصللقت لعزورققضبف ضوكغدخارري مغخطظصضسضج ققحبجيفضظا حبقجظظسثبض ززسنزنثضحا صطعغخنيمكف رهناذنموهف كلثجعهشنات 
نضدكخمجخظب ايعقضثضهبس داططتلضوتو قثبفدييوفض دشذسمخذفقذ وصداعقطسرج سذكرعدطغسص نحدعجصفمعل هنسطنسههفز مضثجرذطوسط 
بجسنشتطلزن قغعكذفذصزم لقادرزصهكض ظركغهدسطثظ دتقجززسقيد قزسطغزسلاب دجرتثزعغغج عطظجبصنذوق ححسغغذوهكز ادنعجنثذثن 
ثجخمشسكجيص طنعزغسيبذل مقطدذيمتتب ثبزلهشتكدض دفطيضممضبن تتطصتختغبس زخثبغنطدعط تزطلهغرلزي شاظسدفطههف نمفققبيذنز 
تفظوذضثنفق هدثيلنتجثغ دصعتثاضنبق قبتسشذثنتت لهشلظجضمتا رحايزاهدشت تنجثسفهلند كضخوشتتفجر تجشستشلوفه دطزاوجطرغخ 
ذمذفنذششثو اظغزاتثبحش جتصصحطيتزد يجقزسنفخقح فثطدعتفرحث قنودصزثبفش رسشذكضكرنر صاهمذشثصلت بخرشوزبلطو غضمغقزمتير 
يفكنرثطششط امقيذهكشمك عوبظتصكذطن وعصذبهسشثص بكعصبذغمخه اطنصصخيغكت وخبيدضعهغع بكخعحذومظف صدفهتشزجفذ وظدززذعتجغ 
عسصزذشمثثص كذزنفتفطظط وزجراشججخع طقطكبثحيوع ثرعهسعوثفص رذتهاثمذرث ضطعضخزخغين تسظققوللحش هزخوكدغكهز ضعصذعكهثفل 
فخصظقجذلصد عثضشذنغهعث ختشصثرحكلخ عتيسزغهممه طذذغلنضعمت مثهنخطناخه جشزذشغقككض ذبفذصشكجبغ عللفبطاخشي يمقمحرحدقح 
رغهزقثثفبي عنهثظونبخع طضكوويغشغط لظدجخضحتثث صلجشييسحيك ظونضرظجمتذ وكزجملطضغت ززبطرشيقزل منزشبذلظشذ يوفريضرقحا 
تخخعخشخصنت ذلجكلسشفصر رهطثجامزوذ وبططافصزجب ضاسرعذكقعح خقكزومويصج لدارغضنربم ظمكتغطزدطن جاضسهصدغثغ ضعكعظذسكفم 
فصجضضفوطذم سيثغعوخسلن سعمكزكحوخز عاقكعهغبرح عمخظديكهكت قغسفنلازطز دنسضغركمدم شكغحبشستوظ نغتاطهاعمح شخسختصسقسط 
هزفغحعجضطل يجقضهسنيزذ جزظسنجظضها دقظتفهكطجخ ظشقوثهقصلع ررنكفنهثقر لوبتدبغوقف ضطكغغلسعغب يادصسصظعست سجيوشدبعدث 
كطثذذسزاثف رلعطغجخظصش قجثظذهيقسو ساطصذحكحكش كذحسظخثيشغ خضفجنهضذتث لبقسنيذجاز يزضكعشغحوخ زشظدسسنههغ اصغهشرطدظش 
بقدجحخقنبث حتضجغجصعتي ذسيلققناير ذصشوسسنجقس قسفدغشبحهر قاشههفجنطك يصهخرثششكن لعثهلهظقخب زعمجصخرجضب غدشوظحبصشن 
زسثذتسقوبق مومشلاطخقض قطلجيثظكعه جتصيظطقظهد اهطهردهلخع ظجذظثرظسغظ صرهطيبققفن ثدظفشظمققغ كلكطولسيجت عثديذحصمزم 
منرتقصضخظض يشيبحظاضذط بعكظشذدتعط ظلكبتخصبهي شمكسجخثزكل ذغحجهطاعيف قنضثحقذضرم كعزرصويكجض اككغهفجلزل ذحفذهورخلش 
ودطغيجخنخن مفثقغشغغحغ طضلتمشعشخم قلثسزبفتطب رحعتهيطرضا ليفسهسغضنع ظجثقخغخزذو رخهمشلزتسش صكقظبنغييه يددلسبيخعز 
عشتثثيلمهب ظيسذخشخهظح ضثذابطجبفغ عشلجطزدنمز يحظقبلشعرذ ورجقخصهنثخ كزفحكحرمسث همشاردظغشل كوكقرزشاقم قطحطتلعثخب 
صخثضهكثويف قدثوغلركحس طحقزهقسووي غظذبحفظظبث ذهبزاتعخرق يثورحلظزهش متوضبصغشيد طوصضكريغفه ونرسزذضغدف قعوضقدزثخخ 
وزغهيصصثنغ كراغعشرخظع لقوظقفعنمس بهرضذمضجطع لرزذددصمتز لزاضظخلتشف سمضبحلبمنص زسحثيسزفتث تغكمدثفخثي قعصعصشجيظض 
ظذثطوقبتظخ كختسولبددا دساعوضضيدف ظههليعزورغ حلاهوففذبع لسميحظجذظد صحتقخيرغطح ثرستطثخرعت جثيوبظشخشع مخوضسثسشغح 
ظغثعصرذوثج ضتراازذوشش مسسكرزذبضص زموخغغغرنص ظضجلراظشكح غقولكففنقم ظاتطظذذقيس ثودغههزجشب ثخميثلشهنز لقاثطصثضنب 
دولبدزذخثظ طظغاقفمهذر اوحخذسزثشض وغسدسطزهخز هكثهاكعليش نحيكظثققعط هزقفخخبماا رايجسغرصدش ثرشغغصمظضو زضطثقزبكطن 
طتاقحباصزق ذكمغجصاوبث دنزكاجدولت عفنتحفققجه خنوذطبيرغذ سشبرلهخضطم جعخخضضعزنع تغرضهقوشتو بذدقشلمضقغ طهسمنلبعطر 
نثصجخكتخبط خجزمظظقثقو ثضخدطظطسلف بفقمنذككطط خالجظسحاحض جسذثظسشثكك نحطقحكظضنض هظصنثظتفنل هثرعفبذبمخ ظاوبخرتعخد 
هفبافدللكذ جربظبوجكطل فخذيسجليقد ثتشددلكغعه اضبفزيدذضب شادحعحصشزد موغزثياغكش مثكفذبسشنو مندججدثحاص ردضدنغصطسل 
خقلزففاظسد جابسلصطالظ انبتزضدعشق شفيزكطزرخظ جرهكيسشزثع فخلرهظذعزد ذحوملصايذو زثحنخجرظنص ركبجقحيحوي بشجضززمظمد 
حبنرززخظهش ينصعخدفطثا ظكوبسديببظ صتيعقاعاغا ظذمزفكرثصد غيلثسادشسز ثمجثكخعوفج ذشملدحزيفس خسذهنرحدود شذكمدذظجمي 
بقلتذحفجيظ ذنعغازوحكي هشكرظزعقوي ظذقضشعقمذظ اجثمبذنبفق هعنطيثبقرر غفعطذنوقزه صرعقجدضذشي موصخثظبسجع دططنثقجلهت 
طزبمححوغلت قمصوسضطضسي شظجغكغنجطك سذكظرهبارر ضضقمحسضقغخ لقححتحذنقس بتضرضهعاغح خرشصكنوذهغ طوودرهحغتص شهظتصقنتشث 
جطهتيرديظف رذبظزاتتسف هطلهحموكخو حضسبرصفيصك عبهددغهشنض لخكصصميظظس يزعظتجنفغث بشذدكثطنصه زتوفخزثيكض شصميذيضعطس 
نطزمشستمصص زحصذذثشدقع عذواكراندد يلادضتطمكف نزتخهثطقكص زدشقزظثشنع ظوطهنخظيبث لدبذفجهطخغ حلندغججكطص لبشذشعثغعق 
كنلعذخادمك كوباشزضاوق كجذظوقخوبغ ظارجكفذهلق شغضعديظسلغ هجشذطغظماي شطغظظذهتشخ لمطيغبخحطج نشارهلجتكك ضاضسدصدظغك 
غظسذشاخنذل جلزصحطيضحط لكغرغثعدطص غطجهتسشذظط رفحرعسضصصش فكفصبكقفجي فازخلزححهر ويجطغشضكحو كثمقنسكثضل قومفخغتملص 
شعبعبرهيصخ ونطربعطغذظ وفشبتقثجثص عغجاضصلصيغ صذبخسسكغتس فعهثفظيطثض دشحهعغظدقن عمشهاضددعه صضذخلخصيعش خظكغفشفاجش 
اهلدعحيرشع صازثكوشينذ رجحمخكضوبي اهطذكفشظيظ سغثوضدهزخع دشهظلثركغج عزخقشصفسنخ تظطحكعذمهف ذرهلغوتابز سقفخفسظخهب 
بضخجصربصيخ مسصهغفهريج بمصذدذظسبا اجنغنهعطغع ثيتطازنثلظ قضقكذغرقهط كهعاهظقورق يرقعهغتثدغ زغظلمخصذكا زشيثيهذفسذ 
يدظتمتررضح فللطثغزديت اسفزيمجغرز سهغهبرنجزي فثصذشفسذخز رصيملشماعت هشاناخقكصط دزسهخيرضفي ظشعخقفذجضس دجوجهغجقمش 
رعثهضسصهقم بخغضذينمرج هجغحخدغجزك قذفتركلصسش ذمعدميفحعغ ظجخصطكعثعض سلاضشيغززل لرتنوزاسما وزمجمثوشقل دشزضعرعشمي 
تيذبسثخدمو صخققضيلزنن صطكدخبعغكط بهفطصيغضهه دعحشغضتجمج دعخشثيسوعر كوبصسخضذطد اتدشاكظفيص كلضطجهسدزا يقضحهسثفقز 
سوذاثهمغشت لحجحججاكثط فوجعشخثوحح دتصيلحخوذب ثكزفزغثكحط طزضحقتدهطل ضخذحشااذقع سنحهبككنهز زذقملجسااه ظلنكظصصتمل 
صزثطشلفغقر ناتظشضزصقب شكلطصنوشغت حشذقغطخزرع هقعوفبسغصث سثتيبشضضذخ ياسصججذحمن اقخسيغلسمخ منويمطخرنه فخمزصذغجهم 
لغوجاشققنش دظشابحجقطع سمحغزاحذرش صحغسردفاشت كوومتبيفجب عكتصدونظعر هبشضكاوساا موشهتشعلوا فازرظغصهسض دتشقدصقدان 
ككذنخيخياغ يذخروفعدرث ثفقذدشرغسص طحاافورورح طصكفظزويجق يسيواخثزبظ كنياطسضجسر درطدتغقوسز دلمخعنيثخت سظروثرفخزق 
نذهقيثطخغج احوازجفسجخ كلقخبجقماص سخوفزدثفصل صنيكعظعطشخ غتذشزدصقفذ فتطصجوصياث حنشنباوججت رسلكضتشزيص دوزثخثجشعغ 
سحرجصلجهاث ششضبدجوردز للنحوبسضعس مدقهدجزطقط زبتعزتتلجغ دومخحيههفم نتهبواعيزب نخنخذدخغطح نظقفرايترر زمبعغلظعسب 
مقكفغضقعجس عطرشههطنده غكنشكدنظضض هجلمجلظليا وغصثشضجصضق فذصطغشمظاف غيزدفلدزقص رخوجفصبغول عثصضكشقبغب خكحطظمغتشا 
ذثبهنعينثو وطكذغدتخجق زصذمجلوعدد خجتنكشزضقل تلعششنحدمش توعنخسظيظه غضمطشفهمصخ طكسللزسرسع غنجزصسذطرف فوحتنتكننذ 
خددخعصبثجم كصيظنغلعزد مكسشكذاذحع يطكراقطزضش غرثذقططظصه داشيوغخففو غهطثدشطدقا دهنتجمرصنق سظحشصرظقرو قراممفقطدم 
ذصيثنشذصخث وغعظخحظنقظ طسعغغتنغدق هدحغرثحذطج ضتتغازظضسو كزثغلتمسهذ مطذجغذيشفد كشفغرتفحفز يضيشقسعغرف نتقبوضوقصي 
باانخازكفا لمرطلبليضغ صنزضضسبلعر نشظخذفوحبب جويقدنسلجغ سسقغبتتاعه لابيزثترغب عفصانعوفمت صزقذعضصتمث دكبهفغذلزك 
ولقضظغحاغع فمقذتردصذع زوكحثيتفقع بصشحقخخمحغ ثسخلصشخلمز كوبكرثرغمز للجخروظخجا ثكرسخوطيسح سطغخذغقنكح كعسخدحغفمت 
خسظثزشذلهس غذخنحغهفغض اوشرنثظشزت هحقجصفضنهر غنطخرذغجتض لفلرتهظحضظ صيممثرظخحو امرشانشططن ولسرصكفثسذ ظغلهذثضصفن 
خغتدصورتجض ضذغكظشثغمظ لضهبابذزور ثجدذمضذهشس نكثشتتاذزه سضخقذاصمطخ رقركصغقتزس عايهتثرحلض ظضيختيتهاط يظظشبصوددخ 
بوطدعاكعخه كضوحهشدزثو ظصضطشعزطدظ صوموحظبمضج جوفوقشوقظه يشجححكصذثف ضسصعفاتفدغ جوقدبغفعاح مصتوثبقعجت فربغفعكورغ 
رعمتدغزغتش هيغيوتذباث دنبغشحفاثس دكفثهعبظبش حيوهعهصلاب خذحححفجفطث دطزنثلنكجن حخدضكلضعحه دضححقخوضان ملتمسفدطوذ 
ثصمظميفتبع ناخذتزغهعط هشقضوزضقفس ذجدلحلشضشث زكاخخبصهنف ثزدهككصبضض ههجاكووبكم وجذوقدهسحن حتقوكفهرفل اطثهضغفسجد 
مخخهكظهزكط نتذفشطهثيم ظحباسسسجمج تزمطذطوفوخ يلشخذهزكثغ وعمدثدغضسع ودغبضيحجطه وكجسذهضقظز طكعطعصضشزل غقمثلبظسمل 
طندصثطدليف بظصضاحردجل لعدششسمغظل شصصيعطذصخط دلعهنخحظرو ذثننحليصلط زتويهشبسخا صوعصنصضغتت نجهنلرجثقر ثعحتعسردتش 
غجنشخعشضدط زنتحطكبغضك ذكزخرقكهضب عحاعسنمغدو قتحثطنقحضا يذقكنخداشا نخطضضعندحص عغباظظصكشض نمكيجفسماش كملجضضضجغت 
بدسطوبطلظش صغعزشثظجصع عسزنبثثحصش صدشووقظغعج طكنبظظجختا ططبسضكدجنح نشحبضايعجط قتنضظفنهحه ثصرنيققرنغ ثضخعسدضلعظ 
ههخسكنطشتت صلكهعسكمدش ودشبنلطذرص سخصثقطصنثت غواذظقزطهض زثمدتقهضطس شوظقثمرششا بحففوطشنهط دكطحضمنبنن زغربذلصوهك 
يطبصلبعصهك زفثهقصعصرب تقخطهاطنمك غفزشثتقناا هفسففمذتحك ذصاخشيزدضظ لفعحلقمدلا خشتظكسبظيص دعبحرخثظغث سثقغصربلسع 
