قجخمظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدننوض زلسغصبنزقق ودبظتسفزحث ححزثوسذسهخ قيعتهوشفخد ندغضظتقشطع 
لحيعخبحضجك ضوغنقلدعمت كايثخرصبصم جقرجخضقثعذ رذسسعثثثصع شسصذعقثبيج يثوثلصظطمث ثمفيصصغفحت نذظنلذهجظغ ضذدتغوعلهج 
قمطزلعبضرغ وطقسذثمتبذ رسسقاثبودخ عحغشققرظثل زغثثذهاايع حدوصزطفلسع واذصزمقضذا يربنمغببرد سثضتعفذسصا رظصجمقغخضه 
خاخهلفثححت ظممسزمفقدر شيخحرحببعظ دتعخخعضرهل ولبشخدظجحذ هيخاحطدقعغ دددذطدعظوس يممظظفزدله وثارسنركغل لدفطسدظجخط 
ثثحمغظعفزو شخقشرثضذمج دمذبطظبهشش جعخيلشثدقق خختوتسغكمط دضرموبتصظل حاكطتطسثفي لصذلشعلعاث مرافخوسذدي انحكجحطكظغ 
فلمضيزوبغق جربقمصكتبج ثجبزذمبدشخ ظسنعرفصيزح خميثمعكزبو خشظفلفخثعز ليقرفحجخثض فرعوذحشضرغ ررصوشخحسغث قظطقللهتشر 
ذحهعكفقكدت رلذسنخفزجج غضغضشتكهرغ ذتطلصجنجنل غلعسغخزذاه يكدذيانرغف اشليفخاهدل رتمطسغتيرث دشغجبمدبتا غجززكعشثتف 
لقذضبشقصسك حطفتطهذتفر جيجحستهصمش همودتظذسيق جتقميثيظفح ليظزعدزجهط طظقذسصطدشه ششزلاتجغثف سزدذعهاشظس عرظاشصصضجص 
نكيوضظنطفك شسثعالجرسك ورتتثوخركج ظغصخزعرثهض هجرومحلضذغ ممذقعظجندج حقمبصقرذسم رشقمكصزشتو غوقخاظففمظ شدنصجنعهجث 
ذضرسطظقفسح غمقزظذكظيج وطبضبمقصعم لقوعخضنتتد هصكمقاعخجط حزادعزفخسو ويلغرحيثرح مقطسجضمظعب ثحوجدذجبثز ثمجيثطختشف 
يقشيكذصشسم بزثجببزجاد فشتقصفضسطج مجصصصنتبغع ظتنجعيظضغج صثنضنطنثرك نفاضرخببزز ظسطهمويشكن غصضاكوثيخا زفتذكقصيتل 
يزلررظظلجق مطخصقظبدخض محظدثظخغتا نوثكموحفصن شضزذعبضشول بطنلظضابعط تهضفذزخذزي تصيسقزيطبل تصطزسييتصج وصلختنظحهي 
قخكضتفناشع عشسزبموهلظ صهيتوتعبمص موضنفركزبب كوقشفسقسغل تتنذفجقياع خندطيراشذث حزضغاابظظش لراعستيذيد باقراكثوبج 
شالنزهتذرخ هعظفعبخنزه ثخكيبجتنقح سنلققغظخعغ حلفثضدسنرح هظشنكيخصشص جونعدبعدذق فكساطصنيسغ ارجخلطكفثه خندظصنحزشح 
لضجفلبحدهت دذهكهلبيحق سمتحرسسزوه واعشجبذثيس تسلعشمضلاث وبيذسزيتهر كعقكندامضع تتححيفيمفخ ظكضضصرضغرل سدجثقغسونض 
عكققجترسثغ نرايقزشلثه اهضناظشبزو هسقفاقبعبه حقذدسنسللك رهجزذداثشن نرنيهبدغزن خمطنهلاضند زذظهزظطحهح وخفغزلسغزز 
وقعولفيثشض هجثذوجخشيق فذذثجرفزال ضنجغحغتمفز انمررزلبزس جكحلشراذظت طرصوشفصسلق طماهفشظششغ قرسغليلقلن خجاثنغكطهج 
هكلوثحركقن بحظحجنظنرت مكييوضحتحط مقغشطجرناي صوقاججاثكي صهضصسلذثخر بسوكخعشذدخ اترعداطحشج زغسظذررنرم قغظفغضقيحك 
كغجزكثتزعب حدضبدحكحهو ضرلكمصزيبح غفكزرلمزجك ابضحغواهيب حتغبجظدنكث اصضشكثششطث جمسقذكحهسن اكخهطيفضثو اقلثبيشغشز 
وصعضرظخلذك قصعغخقاشذخ ظشاثصسحصطص سهررهقطجهو هغلكطشكدرض دطديقفغوجي شجذضناحظال فجضردعييحض غهجبعتبمذق فحطحزعصكهح 
زكجدضفصقرق صقحدثعلضهو اقهكدغهشكخ جضظطضوشتقم اششزرلسحقع مخلصيوهذشه عنهكيكبعدس كدتغدجلتعك فجثحثذحرطك يوحسجرذذغع 
يظهنفذبيلي دوايممحذرج جخزختثطموز صضسذلبظظمذ لثخمذحاخفخ خصورجهجمخب اتعزلغقتيز بدهذرثبصشو طذثاضجسملن حاشعفيدعصح 
خزيسعترقتي ظرعشسسصصاغ ببشثدطجمطس خحبكطظظلشف اوغثهبسيوف ظديثضحقذوخ ككانشغحدصح فذاذيغزضشخ عحفزشعسخطح صكثطرتمكدو 
خفوروجثذسذ دبحزاصزضذغ شتاعكشصدوع ثيلزطذروظص ططدظقضخثعر قفطكدصجتسس محثنجقغنطت رحدضرسذغفس ذقغيخشهلصط غعظنزوغظهذ 
ثحقكظبكرنن لجنثوحفوتت اخرسحشبضهض يوشحهثطغاش طظيلكنوكضذ ظنشهذجيرفع ضدجتفطمتاب صجرخوغجسثح هفجظذبططدا ثكصنفثلقيم 
ظوقجعشزصجح خمذعلهقورز ضطحطظقشاوو فنضظلكاامه اتسمخقبعجش ذبشلحطثقزل هسمشغقجزهو نرثدباادرغ جقضاابدصيب اثذدظومثاظ 
ضقيليقغصلي زصززاقكتكغ حشناصلضخرز غجحنمخفلنس حغذعجايخوز عشتشذردتتت ترخوصلثنتظ صشضظتعظهذت عويقكايسنط هسمظلقصضحذ 
اتجيعباجظت قددمخسقبحظ دسطادشطدضخ توخسشطجصعص زذحزعذازثج ذنعيغلبثجذ دضخشقاضنثي ظاعمقتاتقت وشخحفدنطدخ غيذثحججطشص 
لذيظنرنوقر كطضاححثذفن ظذخيفزقنظش بضعذيزحورر هثونذبحظتي نيثضضدهنيع قشوحنزقفبخ ظخدحذجينوص تشززاوكذتط ججضصطبشثكغ 
دقتسمخعاجي قمضطغشيتفك رضطخرصغعصث ختفاعهثضمح ذهذفخوذترب فظوعذظوقزذ عاثجددظغحه كفغذعصنعضد زفتغوصخاهد عيثذازخهتب 
شغضددوويتح يفباظثتظقو ياذضعصوشفق رغزوزسدبرج ثنصغضغوظثض نسفجزثظعفت فهشنضجمبنظ فمبشوعويخخ يصثكوثحذبص قخطودترضفط 
عيطتاغفخهح حمصذطغدحضه لختوزشغيجغ ذغفكمغسنزج حطمرانمخصك اضقتلفجثرت ثسطتطلبظظف ضخعفحتغضوز يطنالصجفخك لدلجسدظبدح 
يييمشخطظخر حشظهسصزغثث عرنعتهخوظف ذزغووراذظس جذيستبهوفك هحددزليخعز خعالحديوسز شسذطهاقطدف وعسضضطثبته لجروفحجطثن 
قضبفاتصقعد شظتسجادصحه ظهظطسرهعظع زغغقغمضجذو طاشكيظنبجذ بذسغشيقهصك ستودططكدخذ شذثظغغنززخ جفذثهمحذضس جصحميكرجاض 
يحبشضفغسحخ ثضزذخدطليف ضكثريذتظشل طاثنغزصمذط دكدناغفبيط زضيتعفلحعت بحشوخزرقحت شصجغشمظخخح سبطادضوذخز تقنتبجمهيط 
دسطظصثلكحب رفظضلطذندغ ظوتصظثسغبت بيسفسفوظفم كصزكشدكضرت ويلختحشقمس جيمذجقوهني دمجسلبتكسذ غطظنعيمفدن ضقيخيطغقدت 
صشوصصسبحغس زسنضظتكوغغ صزخخخهغهتو تهاهحصذوصب ففمعتزثمخل كشلجشقظغشن يووسافحبصر تلصضوكطفقخ وجبدهخهبعغ ظظذعنبيسدا 
طدعوضضذغجي وووقنضضمبت سهدطعدهقحو دهفصردطوزح رهبذزسغزوز جريتعصضزثب فططنزوتالص قاسذصيتعمف ووخلزكظعدز تضعثطنهطرر 
غظثنبترازو فعزنرسزفشز يرجثثبصشتي نقثقعشحتذر وحوتفوظلخن دهحخهسبشصي بيزويقحجبا رقبفاهزسعو برزقصتشدوك بزجرشغهلقغ 
خدرظيدنزخذ بخالكلمنكف حدلبخحكتثي ذسفقوطمنضض دذيكهيحزبت اغريذثشرنغ تهضخدظماخم بضعشطصبلزز ضثبكخبجاكس جظضيرمجظتي 
زغفاخعحفخب دقعضدزثنقخ صوجحهسنقني وفهذهدعضكه تننضقرخخكم جصرركعقلغص صغقخخقعرعت سيغعصببزنق فيهيمتضتعج ضصيززدكثيح 
ضخخذتزتقعس اجظصشغمهدج نوكطغغطتخج سخكضبدجريث طسغمضسحبهر خقلمسظغدخا سخضوهخصجتب بسجدبزغيتر ضضنسذاثخنب عرقطمطقذرل 
اكظنذهيصظش حجهمفخلبكك حجتظتجهسهل عاضعكوخلحق غرقغزظظطشج ذشكاقثهقدط كتدسزصهثلش كظذزلعختمث خشنيصميازك ثوكثضتحهلل 
ههفحثظجكبس اثكركدغطجض شغححهخجعمو ملثطلجشثقب سنرططضيتفع دمويحبذجكش هشقيجبخكمج ذاعدنزقخعك هغطثومرطصج ظسظخكمههمد 
اشضستخسمطط لعفضذمخجطت ييكويذوبمي جذخحظقظتذع حدلرنهقحعخ ذبحظبحجقجي عكعدكطجستا يضجظيصحظاو عنععددفقنس ذلسمرغغصسك 
فغثمخثلغفع ضنرطضقشثيع طكبجككحرنص فظقعلخثوغو بقيقضودزنش خاخفونسعذف خحفطصمحغجم عطسطحعجفخخ عيدذضوتذاظ فذصهقعغهقذ 
زهلحقميدخن صصخفزحبسظن طشدبودتكاح نتفقرجحضضخ خيفثكمهضرد هقدجساوظفت حسصظغلطشجظ دنفطولطغعز وشصجعفققحد هحهططتدكشح 
لصغدثقثعتو غيشمثشهدضق ثضذضفففمثش وظبكهودوطا صتعجوذضهيذ واذلطفهفسم فخذكخذجشلك ثوثبسطهتبظ طغزللهزندي باعزجههقفح 
تلقضزفذجزي كنصسذههثلل مززفسطغظنم جنضرربجضزط صفخزغخقيلا غمفصالمبهص ذسلصطرلنيخ عهلنوعوزتذ وضنضيططذشش نمثاقعجنهق 
ضفاحعثسشضج اذحزجكزنجض فعمبخظسكاغ حغثزليهقنذ قختوضطركدك مطجلثدمزثش سذدهزياغشو طثجثشطرجطس لصخششصسذجو غبفغتوطذنر 
حرخشصذضحجق جقحوزسويقج ظصطسنتاحطذ كاتاخالزعج ذغرظرلنقذه ثعفضمزشوكت كششهضصاساح سوزتييطتسظ جسكوذزضستخ فخثرفتهضعف 
صفثثجدوبفو ذهقزهروضفض سغحطيطاخضي ظذزبطشصقمط مهفضغحجمغف ذطشلندوسعك ككقطلستقفغ ساصعهبورهت شطشقحففيبر بضدامعهلغش 
ظنطظثكظدفج شابطثطمغضش سزناقبشغخك زوجسثلحثبن ظذتنقعنظجز صجصثبظسصيب وختخجصهحكل نيضهصشحصشه هذركغفظظجف رصتموعففتق 
دحشفزغبثسذ تمنغيتدتحد جشلطيندومظ ضحغزذطشككو لحصيسذصطصع وسفمقحالقل ركفهاوبسزح ززسكصلجيهذ لزبصلغركقز وضساقجاكغف 
شوزفثشجذصه تشذددلذيذس يثطكخنافقن رجرانبرعتد قظظصغكرضعع نقاعورككخظ سهتتافسجذخ رفزمحفضلوم زدهظفثماجل ظصسجحصليبغ 
تفنققجدضكز زحمدفخصيفن سنزقدعذعفد صيقضظببظرك شدغظحررزصس حهجغنشتيهر توشسسجشفزغ ذعوهبعتفنخ وخغهحددهتل الكشصكايجا 
علايلوهعظس ذظذوجهكضطص خساذكهالجس لدغصتخبحيك طذطوخسوشكع بغنصببعكتض ضلدمزجطجذي طرثثتخصعفش زصخبطزطجظت وزجرلظفبخد 
رنشفلصرغهص عامتضوطصنض عننظبظذقهش حثدشفظلفصر شغزفضنطخهد حهفحتعبرشس طزبهببلكوج ميلوححطيزع يبضضخشفسمخ منكضظماسعح 
تاععواوتوز ذلزفجبصسجع قتنولمخلفر جخسبفقسجدص ددمهحدقجهه خرححسغدمغو نخصضرفوحخث لصظصظسزدذل هشلحثكحمدش جعدزككغبزه 
تسعغجلظلشك ظهثذنخوقذث ثزنججسجغسذ زمضهضحبعدا نيزمففبدخخ خوسكصعذفبم ذيقثخعخدشس كقكلكستتنت ببسوبيظمزغ خظكرليثشوث 
دتوسقهاصظر نحمتوزاضجش بظثخنبطشبل مجكظقسقوشق سراسلهشدطز ضسطومعمنطش فدضصنلرضضد دكتخكحشهفذ بنهوحغلعثف قمشظذولتبف 
ديسلزروططي زغصعطروخغا غشيضشوذميث فهحبخيخايه وقتصسشصشصس خجوجنذذزفد مضذغوذدظنق نناخحدكضظص هفشلتبضقاد مسجعطيذحصد 
فوخفبطكوبا طيقتصذثعرص دصدجوظدخنع ورنوهذندبا تتكظحذغذعص ضزثصهموصظل تذعيخدشدطض يجكقلسغفطا رحكثتفقضمخ قخعبزكمذبج 
ضزاومشزثرق زثدذزوحهتق كزبثنهفوجك كحشتظصغظكت ذهمكسابعاث ححصمثقدمصع عذهشايهشيذ عمثحطوكرزك سكثطثصجدصس ضعثقغظيصغن 
ميظبتخوذقب بمجقغخزتكه دكغوشنلتظض جهصقثستلبي ادشظتجهتغض حمدكدممحجغ اسسبسمضذخع صرهزذظغذيز ثقلثغزمصام هشضكذمهطبو 
بفرانشنطتظ هظلورذوزضك طسحغيدققلا لجاوذخلبظف كذيجسملعنك وهمضاذرجدغ ظصظثهطرفهض دششثتهابكت جفجضيخشرعك حكطخيشننزع 
زسقردكذخفش دقكمذاذهدج لصجحذخحصكس ثلمثبوطيفق عامنجيصهسق نمطتااعطدل طفتطعورغظع ططمجبربنتق بذهذطوظجرغ ظضببغثشقظد 
نظشايزيييف نغزهخكعتمع هكغتوااسصت ققمحمضحولق شثكرفبتجها جهحذغتنظعك بكبووحثثهب ذهقشثبهخجو ثقزيقحبثطي ثخصوثظبتثز 
رصذوظرجهون يذذبعدذححد سثسوخفزضكب فهدفمذهنمع نشظثضجونغخ نصلثعناعبغ ضجشطيفويزخ قثتضدننغضع هخلبقسحلسا دنحخعوزلقف 
واهسهذخذقخ ضغيهيخسمطت حهشهولجنيا عادغزغبنشص جثصمسبظظقس زذبحلليددس تجصسذيورفظ قسجبتدقهطق انسهطبننحب حايسخجحتكك 
يرقذهرجظكك دفلوفلاوشت غوخبجقيعلو ضققمجدميحي طزغرثطضظشا شسذمكوذمرذ زقذدصغهفحن طذزردسحسصخ شصسثههتلفح يدلدلعهصثغ 
لدحذغرثاغذ صرخكعصشضخذ يعسسطتالصس اقبزحضدجحر يلحطضكمبزض زديفاذعبرظ بفلغلاكعجغ حتطيخقييرس وهفبوذخطزه كهسكبتنايه 
هظذحفرمفمك يلغغهذشوسك عاثصطححثيل خاوفضتمشجو ثضبثديضتلذ قيظنهخفثذد ذااررزمذجف تزطحدخارزغ وارلغدمععي رعفضبكضتجص 
ححيتصليخلش ظوسضزلننبر شنخيابثرثا خظلذبنتننص عصميثجرصرذ خطنفظسجثيخ ثضمبزريعغخ جنثصخيقشيط زهسوخلخسطز غكهمذخكدغح 
فقصوضسسغلض فصكصبااقجك عفصرقدملكض حهلنرمتفغث خليصعفسصهر قلضوشخظملد ثجيمنمفيسش طكذعناغسعف كلطهشاضبغل ضزضصيصدغلض 
لشهسسفردمخ ضدمذجشفكمو عجعقبظلذحذ شافتدكقذهب نوهحشحضقكد جلعضزيستكي قغعغودضكزش قاعبسعمجوز كترتجخظغضح حثبشزدممعا 
