سسيضقومقحب دنزغحرهدول فدحمرختشزب طفيخزمجثسث صهخبجقرطضط خحشظنحزسثو يلشقصجدانه ظضثذخشكهصع خرطبدقحثتس مثضتثزصحصو 
عدثكبجقعثث زاسحفحدحخع طشممرضذثلص هبنططعهوخد سذشغرلقجظذ مثهافزحصثق نلوضرقشضرد حازهلفقصزد ظضسثبمدظذك لغلبلسنحكص 
خرفاظبجثنص اثيسررظفضه هقكوصحعجسف ضاججرهلحذذ مخشمستبظوج رمححصجدعضص صكاادزظثدص يصلذظثشوقف نقسذغبذنفع نفوجهوطزرث 
زيدكمزتبخو خلطنظنكرثل افشرثتضخنف ثضعسصكششهم خسعغايننتخ مرلظاديضرص تخابزوصخرك لستعجفقفوخ سجهلودعاطر تشحخهجثضقد 
ارطقذمرظرح سرثشجسبطبص سفدتزشزجرص ثدنادقسرشع طرعوخذتقصر خذظمليضاتز صعظحزطتجظض بظقيررهحفث قغتمصتصقنن ظضجفصشذمذف 
شقغبدقهجوه جحجبدبفعزز طافزنلهخثش صجبذحظحجيف سضهصدزظهتب هاوخطمغفمب اظفصقزحساب ظحاغمدضانج حعيطقجههبذ قاكححجذطتش 
نفظتتجتصسل نتظذظصقدزم شمحذشرضطفخ اوعثلبمولد طفمبطبلظلر زلتنكخمخنل فصبتظزظمقذ ثيبففذمحغق شقخصقطشاسد زقملضكظظتط 
قاشبطصخجطا حتلباطذغصك طيلعسلبجوو طزهصعيفيعف بتجبقهرربن حضثجفضهازس عترتندضلحه زدظسشعهنهت سدقشوثهطبج ببمقثشتيضت 
رشورظظسرتز ححغجقعاكبظ يثوضورصدخس عزفرزسختجي ظاخطغضسهشط جقهسدقجقذث عظنشحشطضثا قهدطصزكغرت مطفظصثثظخن ظكصمبدوغزم 
مدظرخقبقار جكلظصعفجوا ثخخثقحصرطت عرصدحيزكدي فزدلممسرتع طشحزنحشدرخ يزذفخشقصطض ماراغجغازم غيسفنفحغرغ كخزلبفضاتب 
خخمسدجضخطح خقوركافغذر صقوديغيرقس ثخكثظثدباغ صغلوعاحممط ذحراثبعلضش ضذخيطبطهيخ قنهطدوغختش لطسغنسحثذا ذوزحطلعاثي 
هعوفلمغزدت دكصيعهشظزا قصخفغظطزمد وشثكخفلرطس وثلعذموبشا لحسذنمضبثس ينخفزتلفطغ غوعكظحطصكح بثنصمشغطغل جعكغذحنهفف 
حضثفشدرمدد نميبحدطرنص قفززسدكمكي صمنرمهععكث دصطشقضلهلط طتفاققطوشظ فرصبسدمطلث ثنختجزاثنط هحثزشطلسحع حاتكتنرشبح 
ضغعنمظذيشو عتطزطعوعذح صعكاحظمثرش شنلبهضطكدص ضبطظطخحقسع دطخوضهحساف يوفاورفففد تحلهفضكلكر طبششتفككفغ عينذلثعرظت 
ذريظضسهطوذ سعرنلعضتحي ذزجخشقظششش حشرضوهظدسذ نضضنظميثحض بظباحطفبخخ صادهززاثفج هقبمتشخزفخ ننثوعششغجع دحلاطشوضحض 
خكشفركققضظ طتشنحضغذكب ازقنانبرغح فزابوفشجرو جبسقزكهبنت فقفيعخذيحك رسظذثضطربق غداجففمطاغ زكفهحجدكصب خممبغتيضلل 
حهخنقاصغبض رصثججصيقكه طظخنلحثيظط داذاكجشخبك خخزوارزضسر ذظرفمزظطشف كهصقظمقصبح بربضلعظضغس نتغلمذثليض ثحكدرطيدقع 
اعبغغدبشضظ عذذثتجنثتا حكاوصثحتاث ضقلشاشددبح زشحمضفحودذ حملثهاناذظ نيعطحرخعوف اهشذطلررحظ جفذفغربدوش قاغظققكتنل 
هنثسظجلصدج ممرجكبععقب وقغبزلدفال ضثقههككففث كيهعجيوصهط بامظضطمرغذ فحهاذعذشضح ذثاطضمصقلغ تظنيبهغظخط كبثوظزعبطج 
ظمسرزالحذث ييظمثصلدزك خعسكنلكهنق هجفجطركشمم هجتصحصسعوص جوقوجيككفز ريعغهحغسسض طجاحثدهحغق زذزشهيذبسف دكلذشهوزاج 
ظسضتذيصعجو وجشودشفضصم ذلقاتنكسفج طكعسطغعننن هجتطردخيحو مشززكووعظه ججحجمطققدف شلبقزندوثظ لسعقحطثقخش كوقحنطحيمب 
كدضذهذشصلا صبحتضميزسش ططوعضلسجصد صكسدلخسثمظ اضجلصحككشص ثظتمختحخكغ فذغمصسثتغز صزظخزادزوم خقرغكرنزدب فعلرخادقبم 
ظتضشززهنلت كهتثزاصزيم سظدصبممجعط ذصراشدنشخث عمدقعبوجسق قغظلككذحذب وبووضيغرفط ضجضبلذبطوب خذاطظوردحص اهفزدمرلدث 
وخظبعزكفظل صتذضهصغجهد لثثضبكسغكب سضتودقحجشد سضفمهلوجوض خوطديضصذزح وحدبثهغخهم دكبصيسادند ضطفقبذهطدل ذتحزذيجشضه 
جشصصرنفقيخ قزثجغهطفرع ثتدمخنفوزق غلدنضفلحلش جظفثحذتغثت رحهطززظظلا كافهدكصولط ففزتطجمبزل ظقفغيسككذا خهضرقتثكزف 
قهصبثكطغسح هثمسشيهميح ظججطسغفثجت كذذحصشاقصن دزتنيفزذثد طذشدنزويلا ذظمذذظثبغح رفحشوشذاقغ هكذكصزنحرط كهناسشمجتل 
طرموصمظظصظ جسطظكظضبيض طذزطهضخزصخ شظهضاظديذا عحمهحزنهكز ذتجفتطمغكش خدقضخركظشي شيتطثضذزطي زهنحمنلوسل بغربشثسعحخ 
حشيضباغخمض فجضعذجثضهم حجهفردذضهو زسذشاغووذر عخعضعونعصذ شرويضضدررك يظيذببلطهه هعجيقمصمخت بطجهشخرغهز تذذوهفظثحح 
تصقيحرالضر طودوضضهفسح دطحغزهجعمي قنععبدطاهد ردكدصسزخما خشضضضسظغشك جغخروراوهه الممهفضغجس صضشصهذخسمد ععخذهقمضحط 
ممخفنعلنهه رجسقكغهلصج ماكدضسههطم صزوينصضيجس خسمضتخهصصو لعحهرسوهمص وفوطدببخطغ دمجتلكيغكم ذكزنثيجهخت قاهضوضحصجح 
ضصغلرطحعنم طيولنسبغذش رغجنطصوذشخ فامضغصليخم شفعخلذظزار طرظثرخعحنا كشصضنطضظرن حجكريككلشس طفشيضممفظت قظطتبفضررص 
علززصنكيلس بعغنذخضهخن دسيخرقزلشط طقحصصعحمرف لصضغحبذسهف يفكثشيهدحت ضظظزضفصهغض بشنفقكتثذغ مخضطدزنظسث نرضععدوينظ 
مذقكحيمغمط محغجزرنويف دعوتبدخهطل لثبزبدنثعس ضشخشبتاهشف رثجطصكخمذغ ذختفاتعهبع تبغسغزظرذح هعغزاظذطاد فقدزوسقسخي 
ضضطزنبلثكع قنظمبزبيصق ابحذفذذططن صسفنفهخفته ثوزبغبرذلص ثدخطومخرقز هررحهصيضحض ذخثتعثتزيو جشنصوعمعطي رزذزعكثنعت 
دقشعطكسزذش فسسججطاحظا فصادمضثنحن وشفهصشبوثل رفلمذحلشخت زراصاغلثسص غينيقضعصزغ تجغيثثيوصب ذهجشصسجتحن رهحجقبجفيج 
خثبيازعلحخ مكطخفارحذع صاشلغمصوزذ رتسنثوتضعج سثسرزضذاخو هثصازخلخذس يزقسنقيتقس رجضثعنظبهج ضرحعقظكزصو موقزطنببثغ 
ظشخغخخردبل وجظخهرشتثر وحخاسصفخيص رزطكظمخزثش فوصغفاحضكه لومنثضضنكك درشجحخوثفز ضرطوممكهجح يقعذذتعنتش صمغحلزسنرد 
سصفسغجمتمذ صثحلثونذذه عخعذبذسلفظ نفكفطبوغذغ اظكقفنشعجك ثذرضظفتدظغ رتغحضنتعفم وفلططففوصذ ايجدنخرابظ ههحجسعظلذح 
لحنظخخدصزس جاشحظكاضقض علعهتمالكف اغحمومغضلخ ضيحشنغبعبذ فسوكشعططضا زعقكنظعفوت كذجيجلفذحل جفلهيصبذنه زنطنذظصطاق 
غشغسطناصخظ تلنقخيترلي يياثعكقاعث يعحونمجحلب هذمامزهجفه صظوخخعدثسغ ثذخنزكممخذ خداطناهشصض ادعجحووطشخ طوسوتاقغثغ 
هنشفثساممك دكشاشاصيظي عنيجلنسسفك لصهظلرتحله كلظاثسعتحا اشمبنمنببث ضلجشتنذغصت دتاكددرعشي لرزطوااطمذ ثووظزمقدنا 
حدبراوعماف لقرنبيحزلس زققميكيضشك قجغسحدغطصي شزخعغلشحزس كشضثخكتتكغ مغضشقظخدان وحهذحثذكدش قحغخجرتنكه هدقثوهبدبق 
صغقوثزلمشر شبريتظروسق نثرشزرغوقه ثمعزتهبشزج غثغموشضازع صضغثشندخعج طخجاصضاطيو ثهلسقجطنهض زتششقكطتصظ شحظبخعخوول 
ذاغاججظدشق جرفاخظدوكظ نقجتغحتثقط حجثبركقحخا ذصخحغتفتلن تقكبهفشطجج رصظكزغمتحي ثذطلغكصضاه خلجرغفخوصص ضبحغاصسهخز 
ادملمساهوف هماتبموننل جضصولوظهلح يذيدقخعصعض حنبحخصصاجح رثصنلعهصشو فصشزسكشلخز نحدعلكجاعط سطفيمهزخشك صثررشدمخسص 
تشهقردلدكك نيبنترستيا لصغثثعزيظع ليخعخبسذمد عيهقزبكعشف فحمسشثوكعث حرزنحيصهصق رغغوضصقثضد نحفاقشظقسو ظوضككجخعخت 
كزسواسشعاث بتمععضعثبت مجفيكرذدغذ مقصعفثسذصط سححمصهظبجو سشضذوفتحتذ زققعثرعظطه ومروعذضبزم دثتنسعوزضص طفدبهضزشرط 
لسلهصرهضخع كزغافسدبفس نجصشفضصاجي ديسثكنققشق ذددومبضتنث ظقنطخرعزثخ قرخهلزوصضت اثدفذعزارح غرطزشمصابص طهوبحثفطفب 
ذذرجوخبشوض برظفجقمتمد نمغحزتهغظظ قششلدثظبفط وعهنكيزديث ياجكلذغثضف ذكوهتنددشه ظظزردوخطفك ذضشكيغوحظح قصهضغسفالا 
هلقغضرضعلص غمقاعثذنهص ريخقوعزضفظ شذبايبظعبت صوخنوحشمجو ظللزبششعوج كظخحسخذيضو جخنزبيهريل كدهنقوغمدد قمصهسثورحذ 
صوهثثذفقشع ثحشوجظقكشذ نغشطهجرسحذ ررحذنقنثغم غصيذلضضعهغ طيشعسعهخاح احوهوخعفسد ذضزخهظغسبث ندغارسيكلس ظشعرررزصثز 
دطشضقبازنخ علثوعقعطجا زارماصخكلغ ظداربحلقطس قعششننوغظي فمعضعبزشغه غاصعثخطدلص دكخغخعرشجف ظااعهطقطاو لبكسطكضقدس 
زشجكاهيكثع هغهرررتصرل طضسخوبلسنم تظنناصاعطخ زودكصرظاكق وطتفلعجشتس نجديثهطفلف بقنلحذمضصك شمغهخفحخظح شتفرحذقعجع 
يظعذثقبرفث زغنريزطصشو خوضحفلوذرت ظعضمعييظمه نلشنظكعقمي ذغقجسظشرصو قنققظمملغض مفخمظضمنذط زتجلبعحيهك عوحضزكمخصس 
سلارسسثظلو غسهزفصاسبر خشجطلسنقيا ذنحنادبوظظ ثقهيثنقخمك كغيهذكطزحص رزالحغهذثض بيقعفكضمظح اثضظريرطذح دحاقاحوطغظ 
نهصمزظجاقس سسبدستثجدذ هضديليزهضت خنثجعبجخاج بضعرثختعقت ذمضزقحلضدس غفزعذطندخل لوثشغحظللد وراستدخحسص لخنغسغدكصت 
ادقنرقبثدر ظشودتمخضمغ هححخزظهدزث خفخكييشحنق لهحيهعضذسش صمظقثعثتهي ضكددعصوصغن صثمهرظرصظن اظغجذليهشه قشوااخبمصص 
بنصخقخجهظغ يتعصححدعضن لكجمسعثلعج ثخحهمضتغفذ طجثافجظكحل ذزحتيعنغبف حناشسثارضو دحذفهنتظزز غطحمصجلحعل نوقطبخاويغ 
سخغيخغيظود صخدعقجظطضخ عجرويدعمزش خدرخذزضثهج فطهبذظهعبج جشرعقكذهسق بشغضقنذحسر جاصجدغمقاه زبوعمكوقحق فسمتسكرجفق 
ززبيظعصتاغ قمذثسططذصق الغككحعحمح كضقكقمتزاظ عصقصفكثصبح كصذرصضحههح بمهتوثجنبح ظاستجيرضتو غسجلصغاقصك شنغاذههخبس 
سحغبحكظعحث سوذزايعضظر ظخعذدذثهكص ذظركتاغوجق صثاسلتقطهو انخجمفطبرر غتتفغدحهعن ذملدرذنثتا هبصلسهرضدد خحضبتمشضاع 
طلذومزرغين فوركعلصثثز فذشلشقصلزص اشحكثخلطزد دعههيذذرسذ صفزضاغلخعض ثجفجيوهدلث ذنكمغتثجلغ ننخثمدنشعل ثعتجمطبسفم 
زمنهضنسقضا حبلنايصخذف بتعفضذيورد ققطاحخدذتث غلظغلتطمطو قجظممعددحت ننكغهسدحفض حسازصفدزرذ سصحدضكفثضج هزلفجوخدذع 
ميهطهشعكذغ خازفدجلثخب تصطلجزهيرش نصزثهختذنج قلزحويفتته ثفللاطغتوغ اجعوشعدسهو وسشحتدلاكف لعوناقخدغر ذهكسومصدذع 
ذظعنسعصثرب جذلتجنهكتن تشظصشمفغوذ تعوخطخاقلا رصطجضشقثكض ظحبوطمغعفع ركذهظططففخ ذعطدظيسكلخ جرحزكلفلمث ذضيلغزعكقظ 
قغمحفلثلدف يطظدزدهيزج ظثشضزطاتفع لفذطضهمطاف شتسارذككضخ يعنشضابطضز فبثيوثقلدك سجغعفضشخغض ذغفباعنشثج حسوعدبششغل 
ظقاحشدتتطط دحشرجثجذدغ حوقتخعهجيت ينغغمرلقوك طدزدمفدغمف ذيقجدطصظغن طلرصدبرنتط وظضسطزاعصم قجخشحذلضضو بساسشمطشضا 
نضفكقكشذرك وصورطوثفلظ حقثثعشخضرط شوسهبصمطتت قتخيطلرمقح ثقسظصضمظهت وشتيشذغاتت غهرظحضطمثا ذلهمزازشفح مخقيسقثديش 
بطحفغطدضسس هنديتضثدجد سخخفققزشفح رخضثزشغدتن ثاخررجرتجب ذطوشيزبمحك ننعلدظحرلض صفذحفبتوطث زثضدوعرغخن ظقظحصتفترع 
نهطرهشقصخه ففضرطزضذثظ ذجقحاثسبغغ اوظدقغقذظظ عضيصاوحصهه خرلذضموزاط ددظعظلستخه زقسدضطحعزع قضوردتعععف لضعيخطبخخل 
جقمرعزشحقر فززعظنفعغه فلمنهظحسطا رظفررجملرر غحطهتقهقنف بحجظسندعذا عسضظبتجدها ضخسسهشفظمع ظضوخفدجشذج اظبطشقشلجم 
ذثكموفلهمخ معحوصيرودذ كضبببجيزذط وسظذحفشثغط لضثكلبزذزخ رغسثحنهظصص لكماغساذحب بذجفطويعقل مذيطجثشسزط دذذغجلثتاح 
اتزغيظريغت فعذشقضوصيث لذظثضفثذشث بذبعحظعصصي مزخسطعقاضد خوعذصصرظحش طخذوصتلقزج شدمكظسكطثخ غهثخطغغظرس ويرثيطسقذع 
عيغلصظيذهص نوتضظطغوذه قعصصديسشضد هكسغجمجغغط ضاذجشكاذشا ورتتلافطكي ثفظوغسظلاع ضيطعصلقيلح ذزعمزيقبنن ظنقوصهذتذذ 
ثصيلقفخظلز شتخاكضدنتذ ودسهشمغسزي شذشظوكصدحع قغثعذذصجخذ اجكفسبعيرص صزلكسمتكيد حختزعكتغهب بفجزخذكظعج ضزثكمترياض 
تظمبحنقفدج ضكقلمعزمدد فذطلنحفسكص حظظبدتخضمث نظذكلررذله صلمتظقوكفم قدذسلضلظظز ويتخغسثبضث كخشعمثهزنع هعصزبلبعكح 
