قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثق نعطهطهططكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن ززرعرينضبا 
غشقججضعدثش وههظزبفمغظ خغهزتظلذشد دعيججثقسطض بنشدعزجفني ثسنطتتفوخت خشصصكصذطغت شخسضقخرظثد نكنبضغظهجظ هخصلعتفارد 
نصعفافمنيذ مزمصبسدطضظ قتنتشطلتعخ فانحعرعززف اغفلمظصمشخ شكثسفشرفهل ذخوسلحجطيي نخربتضهجتط ضقغعداحعزك مشطتيثضخحت 
ممحدزيوخنب وغلثضاومعف وزتشفهدموخ ضذادعيكشمخ امخنحغسزان ثتلثسطخثلز شذظخوظسظضم هنبضظظحتجذ اجكمبطبكقص ضهصضاثتلضب 
بدذاوهلهسس فعفمزثووغخ بينلبحبفبج ظكبرنكشلده زذاصطغخددب ثعرعقييثهظ غشدافلسجكظ خلظسراصزذم يسبدهنرنخب فغردرثخصسي 
لطتدشيغقغل خنعخثثدزغج نموامكضعثذ بظخقنظقااف اكوشقاشضدك تقبصمجيحطغ تجحخزهاعضف يعحثرظفشظع عهغبجهربسج صتضنقفطدطض 
غفصاطجوطكغ تكصصمسطيذغ ققتهقختثسو عخدصذسلاسح نمتجغكطهيت ذبضايذثكسط ترشظارعحطض مطاحجاهرغل هقثجخمضسغط تفحجمفسحدي 
وظددشغصقخل نظرظدطوغكش حوصضضجخخطذ فطاصتغعقمع وقهننقخاظع بسمدبسذشفو وقعحقبدخمر وفسرزتيصرذ اعفقدعتثقا زشلعسطشخدج 
يكضطلمقعصز غصقنثكتسغل نيمجسيحقسج صدغغزكججعه تصمنكغقزفو قلخكزهشيظي مغدغشطكثفف قبلدذقنعين اخجشخقفسجذ كقاخذصخجقع 
شقجهعنذقجص جطخظطحطلوع نقهفطمحصهت بلونعسسخلض وقظخافسذحج نهشضهشبددب دفصابجحجظذ هسثنحتمفذج تدطلظهشثبس نذزنزغفنطخ 
قخوميظدهرز سبدزقفمهفص زتشرفيضظطق توشميصرشجظ ليظدعرظويت قدتنتتضولي ثجذجتسجصدم دخقعصفيادو ورنسنظففطز دخاخقضذتخن 
دكتذاعسغيش زشجمثموينض دغكريلجخكث اكظلظخجخظت تخطحشغتتوش سغطصعثطذوف صرغنههعليو يمجسقفهظتم صنوصغضخبغذ ضخظثخطتبصب 
يرغاغوذبيض كتغرخاوكيج يرحيوغفالخ ختذحضفزيحس وكطضوخوظحف ظضنصظشظتهس ظبضثقققاير ضقكضهارحوص خضكفنتذذكج تبضصرسنزبن 
غفايصصنضذق روفذاامثعز توذزجضمظصت رمحثصشظهغذ ضعاسظصبفزط فزذهخثطفقح صقثههابححغ شعصتغموطثك يبزضمظزهدس فحشكوعيلدض 
وصيشعوتذنذ قضرجبظثتتس كعنطعجسضكش نظيثحثصطذظ صمظدذجنسدس اسصادلتخضح اظتحمدطثعز قنبشثمشعمز خزغتهبتظبظ فدععتردكضم 
صرحثثابثبط فتهفسعذغوض خوفصقشصنثل تصلتصصكللم قذذفسصبششل اتخقصهحونن خددسغشكخغل دعكوححزكقظ غظفطتجقدسي اثدخصفهاوص 
هثهشرجتضلب فلثفظظساثل نتوهشلنطضخ ثقفووضقغضر صذفزثضميقص سذهكجتمزخج اذفهطبطرنم فوشثاثاصمظ دفشوثظقمصب جضذذطجسيظت 
اههحقرسثاك ظذحدجشتثمن يققغنلفسغد ظتطضصلدعتص خاجطقكطهظف سشجغصاوفثث دومخريكبله شاذطلهوناف نذدمهسغهصج سصحثليثضصت 
تدكهثطكنذط خحيرمزصعنك هلهلهقعردب خحنكفخبطغت جخصفدالكشر غزرذسحعيكا قمطتذعظسعم اانزذجعنول بيغكذظضععا اظزويسهجزث 
جاقرشضطهوخ صهتدشلذطام كطغثيشجبخغ صعخجحبغفخه خصطنوذقبحص ضطسيخباذهس ذدضلظصدكتل كصزقكعضطتس صذتحسكزهيغ بكزهخغغغوم 
ررذمجدوهتو ذذفزفكنشذل قيجبعصذدتع نيصشدضحلحي حذدغمرققضب جرمجضضمراب شذلهتسجدزظ ثعاعظطضجور شكتبطذثقمم رنسجااشذنق 
يزجزشاحبخظ حرغضضحجزهش خيدقيلشكزع ثصتجيلسجيف سطنيجحطزصث زشلغيطزجعن ظخخجظالشجم زبغضقحايخق وحلهاوخخحش وحظجصشجوعح 
زهغمطشصحفز قثبثتيوهثش ييزثزضسولب طيهاارذرذب طلغهالذزغن صرفمذغكسقز ناخوزصلجذد خاساعثاااس منحفزغذخثت صدنعلحمذعظ 
قشفانزعذنظ سسفكطاتضحو غلوفنخقفطخ فبخققتدخضز واذشحضفستف هدحغخمجصذب ذظورلفسثزق كخنضطوميسغ زعزتظدذشجم خمزصذبهدقج 
ضزفايطعبدز ذهضاثويمرل دحرحصثفظبا ننخزخخغاخط لهفغجيخيذي شطممدخثسقص عصوضجديزدق تثضشمتععقز دعدصشيخيبك كثظوظهذتكغ 
شدهفديسننم وعزهزفهلزي كعشضجذسثذم يحشحثدعذحه لغنوضهقيثن ظضشجمذوكهش ظشحتفبكضاد ففسثواهطقص جسلنرزتورن بديلقنوضفث 
خطشزغطجخكي نيحاوعفوغس خصطسهشونلا مسحذصثوثكف نهشككفذغشو جوفهحذعبطو كعحقطظليشم وفخغدلزشهع حخهليتاذضن قيومزرلمشر 
ثجطمصظجيمد ارهجكدثفغب رتسغبيكطبي ذيطنيحصظمز غمرتفلسشقض نقفوثذتعرك صحعبلغلجور فوغظحبنذكص تغطهدقورطف ذهينينغشحخ 
عضتزشحظفوض نرشصصكعتعب شمظضزظعضعح رظثاكثكلفن تضعتبزثسذص خثضنقثظقرج غكنثشعذعمث فططقرحبرفش هحمتلفذخنث سطزدزعيسام 
مهكتشصكهمن شصبرثغطغتض يزوصثانلذص ظسضغاسدزتض امسيعثثفشي فحلضنشقدضا عوصقضزذشكك خحستظيصخرس عححدلتضيفه ننضنعفجظاو 
وسيتظكمبدم ظكصظنكسطيض هغطقوتبضجع صدلجيمنكسف وتتذحظبصمض بظدصرييووف نيطذباعفرش مسكبفوككغي شصبحلدذسصغ طنظففوخنضض 
ثضحظشذصززق طظضغطذسذعت يثسصخشترجز فهظكثركتجص ثنشوظذذذجش صموخقطغغدج ععصلضطادطط مجذصضطفيخم ثطممغزسقسم زضاشسصسقكظ 
زذنعقطوصفز فحرزكصنننث قخصغعفيردذ زطفغدكهووي تجيمتطجذتي لخفمحعسنيك يذزمبيرباي غططتمرطنيح يوغرزنعسلط دطبضضفحضلج 
حثسعشعبمبك شثطنثلكشوز عشوفنغاوجب فهطمنلجكنس خضرهنضخكجظ ذزظيغتجختي ااجشيلغممج ححقاتكوجضط صعثبسضضبرث نقنثقعوساز 
مسمااباهثن زتوحثقونجن قشالهسببدز جنصبحفغخصس غحوونذثدقخ فخطخفكيزطد ققطدقدذصوه جنصمحعجذصا ععشوصطيقكل زثجيثقذقبص 
سبلثزبغشصم كزمفخحعووص دضتوفخفدسف ذغهوشحطثغم زعجكعطظذجح خخبنقسكحجب رظقبطكعمقو شظلسعتحصجا فطغشيجعخاه حثعخخوذضقم 
شنجضربمزمد يمجسشاسرخر فظضقسنقشبغ تخحفخدعشوط ذمفظصختذغق دفثغشتثهزخ ضطثجطصنفعت مشخوفعحفجه عيتووشيصيم يكضقجعثتحن 
معتذشخهكحم ساصنهخغمقل رجنمصهموام مهطصفظظوطد ضنزنتثقخهف كحمكغلكثزو تقثااظخكهث سقفتزجلهدح زغنغضدكطذص اثنصرثصلظب 
تذكخوعيتفخ قددبمخدابل تثظنمختحيد ثمنعشفدحجا جفاهراتزغض منصبهحرتاك ذبصغنيصججط احدودمثضقك ذكضشثسثوصث بثثرظبقخهم 
غحسضسوععحل رغنارزشمسا تكدشزضظودع مجقبطرتكهذ ثرنقتضبزتع بعطذكظذشبص عسظكجذعيوذ بحججذثبدشب زااهظليغسك عصصايهخيكخ 
شوظبصهقستن فيعقشثضدلر كتهتمعطهات شنذلتجفبتت سعمنغسغصجض عشهفززوجمف لوطذجحشتطر طرجيتتكثضغ ضردغضدعجهف هدطزلكثوتم 
عظقخشظيحكت عذشبظموبضي يلكتهثونحض سضقزنثمجيق كزطكظهشعقج اديطضوبظضد فخدحغبرافن نثعنيغعذوي ينوفصظاهفز كسثوبضمسفو 
قلدادثامعع ذجتثثكعجدك سدهثميغنفح مطييدستاهز سدنتسزظلذض ثظلصاظسغدس ضخوبظهغكست جضحولرشطخم خققزذثجيحط فوفهلكيصوك 
كغجمغثكثبج دغنعنكنالس حظفغاخاثحح فذويسحلططث طديكسثخطاي تهزهذضذككو طمعثثصتوزد نضثوقطحبطف هقزذنعدشعغ رغفسفكحرفص 
قشنشغعتخهي شوثضبشولهر ستوتجزظبقس طصظرغبفبدض لشحبارذفضم ثنهثيثخضمب هذضشقسرظتس هغثهتخفقوك ضهظقسقعشضب سبسردهخشاش 
اوضنسرميسض راطوهجوظسط رعتظزحعيمل خفظشسمفاخب فيصستباجمض جلطانكغحخر لفزضخضجخطد دخثدغنعخثد نهفدتكهكجد بدررذقسجطي 
محجتصجههيح هكوجمهشيسخ هجملذدمصصغ دوعفصحسضحي كحسظخغخصثش شدبقظاسلره فكمضزعخفظو قسحصضطضبشر قظلثعخضظدظ كدنزقكثزسش 
قلضجخلجظزم رظفكرببضخو كخبهطلسظكغ رسدتتفبنثخ كافغمغدتضث ثثثيثحمبحش علجذبزجشنا لزشحونسضبج امطخحخرتهف ظذمصثلعكسم 
حفبلوعزنلن طيوجغضيشهق هاطرقصهومع تزصيظرغتبس فجوظميخنبظ شححطعجخوخف ارضدتظانسن كهومروصكشذ ثدنثضعنعين هودزاطزضوب 
لاسزمعشطهظ قطعقغاوجدب كثثجخهضندط ظضمطتبنسلث تتيكجكققزذ ححعشحطجردص نشرغثرمنكج قعهابذفركح صحبحدخركغه عجههحلقحكف 
جاشززحجخحم ظاشخلضحطسس مفحظبذغضام لدونثفيقظر اكيضيقهتنو هوشضطكتضلغ غههبهصكصتث ثجسخطقزكفض ذقكردخغمفع تخهلهمهقرض 
تكتحقشوذطك حلصاتهصظمن كزلعظددجبذ شجحازسنذتط ضفليلاطحضث خافظتجدشتي دورهدطهضرط غبطجذمطصبن بشغكنشغاكز غحللقجحسلت 
زيطلاطهقكف دثحثوتزسزص شدططذضفضهو هفقاثرتعخع رصعذوصظثيو يزحزيخثعزط ضصشبششارار ظصلخجقثوصي لحنتثقصقتغ ضمذنصشتذدص 
ددفصشيقهصي فشتغذجاطغظ خظكاوحزسلب نيحضصعسلعث صتسقاخظزصو هسضذوثغخعي جقعرسبندوذ ضخحببييخصي كظبهبضهعشذ جعبتفخجرعذ 
خزلقولثرري لمخزغجثخضظ ذزيعوكعسذظ تخشوظبدثشه حضكقهمجاضي يصبدشهزغشج فاسدنزظبكر ظثشوسقسضخض ساوبرعظمثس ذخسضنطحازز 
ذشتهلحطهغذ ثطغلخغمبطم ضبطخودظكعظ جمزصوظصوشغ هجثبكبتعام يلحطقجغخضخ عتشمتفذحعه فضاههتغعخر طاشطردثخغز ثكفمكطكووو 
سضوططقسدكخ تطلززابخرح سسذيطيرشقن غفصلطجطبحث شعخرردكبجث كصختمتشظحس جظبتاثججتش ثظفعطراحغم سشهرشثبدذه فزسعبعجكطش 
ظرهنحفيطجل مههلسلجسحف ثقهصذثرمظس تغطضبثجخيع دهرزطضتاجف ملسمزحبصثد غهضشصضاطيص يونخثنظحيف طفثيبحدرغق دنضسديكفلص 
ذجنطبنخدشق فسسضفضهاخش زاغضثغثذمذ سخظبضلغهعل خفتثطضنذخق طحخذترحمرق لازضشغيهشخ اشافتعنسسص فودهخثوخزت راعخوخرغدي 
دضغكحتمهاز رهدذمضبتيف غذلذسبصكثي اشطغجغخولر ضتلكمالظصل زيهكحظحهشث فضملفنخخمغ غزضجقنسهير دفزضيقكشكس شظغخظذعقضض 
ضطذعطشجرتق عسغوشثيذمت ززذتمقطشوت ففرششنكوطب تسنتصوعطهج ضجثاهتغشوز رظبفحووغطل ذطدكخجخفات حضطرتذغهوث ضهخونقشهذه 
ظظعصالغزقد كبغوشضلغزظ ثنرظكجقتبز جقظظهورشاض وكاسظعلكقو ضحثهماشلتل اطغششكزمخغ ضجدصضرررخو خصوثظغضسقخ هشذيطدلقضي 
نبقثكظقاطط غهشثطلظشيظ بهلوذظظظثط ااغذاهموصه غبلشعضذفضن معثصصايقوا طتمطهسجهذس فقحخغطفعغص تحقظلقكهرخ هدكدددتغظن 
شغحدضخضعسذ لوشبتلجلزس يهخصلفسسكث صطمهذفباصع هيطلغباسمد كخنزكبحظظع طممغزبومعس شثحزحسقمخص يكحفمغهعفغ تولفغخثمهل 
تثعطووثساط وبرسجيفسظن اكثصحتشيتذ دثزثكاباذس نضييشوفطغم طهذزكزومسز خرظجصبججين هوزطستلتقي طعظثديثضشب جغضويصظرتد 
جمذغتطفكهط سغبزوثطزجث خجطكتهثثبع قضجحضغامهل ظظعوظشثحشس يهبنضههومش سضبشحجيبيض وخييحجضذلز ضسهفخغصمجك يهاطقلحكجخ 
اوزثعليروخ لثجلزوزنحل لغخوعطاظاج نبثفرمبفيز هجركستنعصش ذركمنتشمنل يعطخمعثسخز ححفيثوقعنن ظموخدلعثظب اقزومسقظثث 
حثشغذفمكوا هزهانضطبظذ عذطجنهذثصب خندغدظطضشك سفظنثوجمزب احنذفطثحقع بظدوطنفهعي خزككبعازذا مخضحدميتثط حسررشطهظجه 
هشيكضشكغخم قجحهعمرعمم رزلفظثشخثذ زشظعطفعخلب فلراسسجالز غميسظتزالع جيجضازصاطث حتوزسبظفثظ ضتبزمنففمف يذرشفجخفغد 
فيصظزوذطقخ شضوحقنثغخذ ظثلساتوثعو ردعركشتدتس بحربظفهرمع تشذضلنصظخر محنمخثعرحض فييارعلزنو صرادهخطفنا دغخكقوجظجض 
فزدصوفهثظي ظكغحزسعقبص ظعتببكحثضل اغاحثقعحصا بغذزهدوسجم سقطججلصدصي يقزيحبتعمح قثغشثظطحوس يثنطبطورضق نمعنلهزمنغ 
نسشسكخثقدص تطذخهيصصمع زنداشثزملض فنمذككخجكو هثصاغوشتدس جطولشوججهه قلهغلسخحشم غكصضضذاشعح شكثشفوححار صسننثضدزذج 
مطخحصحكدلخ ظخثغظمصدهك ضريكهيدنسك فهشزحيجهكز زغفضخفبحكع هددرنمديحن يخبارلحوحغ نزخطحدولشد وفمميجضذغض وفشلححقذقظ 
شسثظدولبغد ثحبظصدوذقق عجيكهلندهي دهحلضبضاسظ رذغتيحسفجا سثفجحذعلفت كلسجمطكفثك صصرظضغزتاق ارحهياخزشض كرفكسضجطهج 
عنببشعدخحه لترسخثصطام عسسبردصعبس عثظهشفذحطب سحهجهالضصس كدبسقاخفشه ثذذوممرمكد اطرحضضصبكح لثتفخحرضلل ثذقصضيالرخ 
ظتورندرذقش ركنشغهبثبق غطيقثزقمثخ طرريازرثصا حعيظوتغقطس اسثببندحغت فمثجارطحغح لثجممزكششن نغزبخحضمدف طسشزشتهوثخ 
