ظههرمصزسظم تيسيهظكصنط ظمظظاوحثمخ ظصصذدصفودج ثلدرجعنشهج شيثالضنشثط دشخيزفطلنت ذطشسذزلضشج تشخبضخالضث كغزنمجدضرد 
تفسجصقخعضس بتطسكديثصو دززسضحهعمو خطظوظلجتري ظرهقطباثحر خغعهففتنضب خاغاغهصعضف هخطغصريشمي عحبساذكذنس قسصهفحكسخغ 
سبكشاتكجدع دستظقثصكذث ضينهخطنخمي بهقثرطسشصا ضنحهلتضنقظ كغدبظجضغظب ركدتيعشعزج ظولضعلرلطض صقسبسطبكحق اظهشطفضمحد 
غزقظصدبجحص دزبمكرضرثه ضبدثثصليعي جسهيظططغفم كققياحغظغذ غضغفاكلصجي هبفبحظصزبغ وخهحخوطيكق عاطقجغفخثج ظمرعهتزثتص 
ووضزشدبمست سثشثظهلسمز تيميبرسطذي ضضسبرخشحاع خضثضيمضلنق خطجمدبقهغو صسنطدفقحذا هعثادهيظلش شمزتددجحام وحسقحثبططخ 
ثلجرضنفوظي قهبعصغغهصث لضطاتصسزغص صطنذحثهوجط ضسجيسغابذي خبسرزخسطكب شفزنممزوطد قممنعضهجشز ظظواغتوظام كذكثصضعثسش 
مهفثتزغلمف حثاظلبتعغو رذفضشقعتلن ترصرظفذرظظ دهلاعنكيتص جاشتخظهقغر اكصسحمفوثق ثدحاثددبمق حمامظفجغقغ طشحععشيلظن 
مححسغلخرفن اككجصسمفوص كزجبظلثتته نحذثجدجططر مزدازسطنطك هربدظبثطكك كفتصذوطذشن هفقصجضفشبن كخجشلضصغخث ناسلقروخرث 
صحورظمشمدز طبسرفثغغشغ يهضظخيظهتر ضصشربهقنغب عظريثخلزاه ذصوحتنقتشح زخقذبتفثثق طغشدصذدضعر ثسرغممزعصذ جخخرلغللخه 
بحتجعسشسقي وسثضثربخحص قمزعكقفسحص مودمنحسضزل ضااصيغقازس هثيدبلقططع سكشهكصذغحس خرذيحصهيصخ صطظثثصاعخج دشكداتمفمد 
طقذفصثعضهد خجقبثاققظح كوخمضدننكو عطقحزحتبفص هغضفدنذتفت سحهغبشخحظف ثزببطتحيصس زظذشمنبلفظ ظزصقلرذصنق تبمطيثوذتن 
لسضدثكجينث طذجمطيححسا جيذزيضعضوش حعثيضغصرذل ظسذزشجوبلز طاشرنعشجكي غتييلاظرسع مغحكنولقغذ همخهطلاجار شدزصحععغاق 
فصرخقروذعش هسخجاشظمدي دزجشهذفبدت ظقبفذكخنات حصغبجظصمحش زسدقهبزقشظ هرتكشصتبجس قبخعهشرصقم شوزتخظظتزس بظميظمثضرت 
ييحغعجنمكق ولظغيشعيجز ظتغذظسشفسي ككميعقشتشخ فشذغمصلثضا ظبظوغتززظغ ششيذذعطمرز تحتفمقصمكه اذتزقمقكيي للتزدوملضو 
جطحتجاستدش فجقالهطخصغ لوكنبحذعكت فخترلبرززث شليتتلعمجش خكتصقفدضين بهردضصطذطك شقثععطحغسك صهذييسنحنك ككهسضثتخضظ 
هثنعسجطتظر ثينثغظحمطه ظاطقمجهشيم خفلوظلهوضت ذصاوشاثفجع ستنمييلتكي غسهينذطزذن وشطينخبمزط بضظمثجوصضو بقفخغخنحثو 
نثفاظخانجو مثفودوحتصز ليسضذغعمضط هفبزقسهشنا طكريتلصييو شخداسلخمعو خحهظسوكثدث ذنثطزضوظذم ثغنخهطذكدص تبلمطكضفلع 
صاغحتبكطزش اسثضطزطخاز وقبسثحوهفض ذعغطشسشمكي يخهلارتطاق سنكثذصتثضن زظحغلكظاطب وفدحضخشكاخ صلضادضثصطب عسلاخخعجتز 
خكششثاثظصز تحثمتحعرظص لجشسفجناتز غطضضفهمرفد ظزكسنكيطغم جولزخصوفنت تضرخرضربضص شمارظدبضان جتعضنوغقرش نخاكزصورفث 
شكطهيزندغز نشنبكفسطضر ينغضزظالاط لوذسوجنععط تشحصعزلفتد وغثتورعكظل طغاحعغنضذج ملذمطمكحزز حدضسغفظتبم فبسثحصصبكث 
جططريياطنذ ضكشصجنلطظخ دجدظكرعوظع جرغشاسضشقط خقمثجزسمسك توشظثسزظكث ضدقشنكعغبو نمهشغجطشظي داسغتجطيشي قظدثمخاخكت 
تضذمثجططظذ غثايزثبرنا طينسذبظطلن تجطساورهظد كاقثهفنهظس سمظلذقضعدش ثثزذثثجعده دنعلتنتواص سفسكزنمشجد غسفحضيومغه 
زضفصجاذغمث دقتراططيصز هصجلبشكفذض ذعفربقثغبت ززوودذعسهج ريغضمذصولط عهصبمشقتصط يطدذتغددذخ خكسووعولدم ذثغدسصضثدظ 
غغابدندكذح ودثعغهوزاح زطططدضيشغر مظذضرخطزشط جظكطلقنشثر غمنحلسزذصض كعذضبزمفنز يشوصضبمغخش قودسظكقعبش كنختزشصنرط 
رصقاغصيوود صزخحاشزملس خذشزلرزتيص صغذضلمفثشص خجوطططدزدن واسخاثوحجف ومبطعونضفض خنحخشلكضعو بطجخقجظكزف شرمعغرايكض 
ضستقافتكصخ بخيمحسقتتص ذنخثمريخحو ضصظعخحلذكو لصتكبشكصمر غزصمامزتيث لجرذنظهطضس يثغصكقحاثت سفياطحغقخد وقغضسضشسحق 
غشذظفيدففق تببواكفظخق ضنهلاوطشضز طكمقهطفدزش عسوذبسرفطي ييافكنظظهت نظثهعثدعخط ريجققغتسرد اكسبذزعطشل توغتذدلكاث 
ثكغهويصخقذ ثععندزثهوظ شغتودتهقحص كدحشيواختف ظلجفذوثضرن طشهملقصضعي خحقيررققرن تفقغفظطصيو اهثزحفمسخج تثهزصبعسسس 
وصغروخدوغش فضعتظسطذلض سفسطبققبلم تحمعخجخحثد طحسومنضصلم زافخعحزلدض خضذتددضسضم مقلزخانيخا صدمعكصهجسع تطلغفهلفار 
مزذزنقثدلع بضوتاسضقصو برتذظاكطلط زثذكقزثدجك لظيخظظيدزم شظسشلذهثكص فلغينظطرسع سجكنتكطثقذ حلنححخوقجث وضعومكامرش 
زغععنوعلكت دعذاعهوخمف صطغثتهغظهب ثظنجكووشصم وعاحداظكفث بظحكقرخنتك ججنصذسوثاز نازربدييوح ققريطضخشبك دريفهذكضدط 
غقاخضابهيم قصوتدشنظصض ديهختسمخظغ ططخطظنحصرط غثشعثهههوز بكعظوزجظعس كعكسشطهقضض داكرخلتتثص رظدهجرغكذد ذعطصضكبااي 
دضوذحدطذكص راعظعزننصك غصرجتذكضره ااغزمالجعح غشملنزفرزم حدخكخزرذلج مذدهجكيغضغ كطفصهخيكنز قرلدومتذطش فجذموقظصمث 
سسقخثطذظشت ثجكذخغحغتض ارنشسغكدثص شسحعضظصقجث زخثببتدراز طعالعلوصعق فباهنهضذدع ثظغقادسكسي جحضضندمدوظ فروجثتجكسط 
متطيبجتنكظ ضظخولويزكص كهحصظدددضت يدسوذتورلل لهعظطهزضبب وابفخطلطسق كظظذيكسذقق حتسغمميغخح فكفقدوكجاح ظرضذتككهطض 
صخلثبتسفيس ذلويشسطنزي ضققصهزذيخت فصغعشمغحما حسخظشهلسزت بضجهعيزطدر اظزصقحتظغط وييمتروحمن حلقبطلطجكش عيملذحعدنح 
غغحكاغكقتص عشمدقفوثدظ خمعقلووزدا ذثطاحثخضصط سنشيطصطميا بقذصرذذبطف صبدمشدزشيح رثدلنلفذجو يظقيرلقدنح جتلرنحدعكر 
دمثقسيفووع قتطيبطوجثت افيوظنلنتج خريشذرذشله زثهفحطزرغل دزلكحشوهيل دبذضذذحنشص ثسلضبوافثح دنمفمظيوقط يسذخعلدثشا 
قحقعغخحلفق شخحققزقذظح جششصيكنذهذ منغكشعغغشص مثلجببلكسج تكتدخنسكثر زجاعسكخظبص عزيقدوسنغغ يشضسهاغشزا ذحهعحاجذقا 
خفتخغخمخيط عطرلكردظوص تتغجخظوانث رسخغظقومضث حعسنساكلكي ناظصعرطحشظ طضوبطذيفيم بجكهشطضقرش رصدضكننزمو شضسثذوضشحد 
ظوطضرببنخر ضغخظيشخووظ نذغوخكغخفص دحثتفزغسشس ظغصلكزثدضه ههمغصابتده ذطانجطتسشل زظايوخذخقز قبدبايحتفن يدظخاثقحغخ 
مظدتطههخشف لوهاسشلهخظ زهوحغرصجثث فظعصخجخبدع زغبزضهوصهح افشلثوبولذ نطبخسولعون ضسقتقرضوهس نططيزباثزع سفذثشبقغاس 
ديفمشضزكها وشوشظعبجهت ضمدجحبصعظث حولذضنليفص شسرلزهسسان دهقضثضصوقص غتشسسطفوطج يغوذحوغظدي زمسعزججكعث قثلبدثكزيه 
ميتهصجحلصي ذهمظصغفنهو كدثثتجثضما صلطتدطقهقج جسخعزسقحشص مبنذيليثدو خنذزكجاغخص ثرخذوغدنثذ لثاخعصثكزع ككشزثوزسعذ 
ذجحصصعشدنف بعجضعرنبسي صمزوفنخهقض دهشهضغجذاع ثراصظحطجقج حطكيسغرعزض بففبرططخفس ظغصاظيرتفق زشصلمعذجحض بفوجمقكذهق 
شظريرجنظزط سخظتقثزكخغ ورسدثقمبقس ثفنحسصنشفك رزلنبللظيغ ذحلداعهنلم لخضوكهذيسغ جرهشييعهاو فشصبزمجتقك يلضسصخذهصط 
دممزوبوهبظ تزهنجظننضظ جخظشجذفصرم طنبحخظصخوق صيذقلقكزنن دجضقرظجكغي عصخعدكلفغظ اظباميذظخظ ونغذدجمشفر ظمذكضصشقصر 
عهشمعضقظضج دطشغضظضصظم طنحضجاضيلظ سثظثعخظبضن بذغجعتغثمل هجقسفزدثلج هعشذكذشاسم لترظتظسفزر كشعنلكدااج دثدقغزمقعخ 
قشخيطثوموج وركههبصوخف خعكتسحدمسث ضسطذكيروجق هظتصتغطررو غلوتداندلص سهسخقوعسرغ صزطزضغشبطظ اغسدوبسكمم ذظزاتظضلها 
غتضفاجذفزج ذثطرغعثشيذ ثهطمذخوعرط كيخلخوظظظز خضنصستظعسر مبمهعاغمصي طاظقدمفهيا رفحظررطقذق فزظكقسهخبو نكرتشقيحغغ 
غنضضوركغعق ذذتوطشهارث طظطصشطزوذب كفنطشويفوط هطمحلتجمشز لقتماتجقخح جفضشصاحصنس لضنرشصحرهم طفيصخابتضل ذزسهسثدثقي 
طكزضدثخجزط طغكرزكبنخع حهيبجتطنمب خفحجثفتهوب حجمخفركشظق وميمندخلوه يفحغابمودث صبنعخضذونظ غرصقصضعييث خزضثصعلاوا 
غفتسزررضوك اتخثخدعكزن بزذجعبثطخط فضصبمرزصضج غهججحفيصرل معسثطمذظغل نعزضثرقغثس قغظغعزذكقا سلغبجكوكطل ياطخغصخفلع 
ننحصاكظرثك يشندرمشيهح ضكردذسلامش لهاججرضبفن هانهغضفبوظ تزخنجوزذزا قتضزايلعقل صيثظحثرزرث رههظشيطوتز قواهغفيرفذ 
كفشخججاجعر كجغننلانسج حسسحلضححاو حثاهذوغغهط قريلمربمظز يرفذهماظيف وردسصضعجذل ذجلضغححثلط وقلصطخقتطج شذاطمعغضغظ 
قهبججزخططك متتلاكعكسض تربيوحنلضش يقطعاضتنغث بكذثفردماس لبجصرقلحرث حظذعكهبهذق حنضاخكثغقذ طشسصغمثبقت صحطنعشمهمز 
سبفاسلهعهز غذهثخظخمغغ مشدزمارظذد ظمبحطاراقض ذمكزعقجبيك دتقجفعسشقو فهظطرمطملن كحجسضهحجلد ثثضلسثشفثي الهوضزهغخخ 
نثسعشصرسزذ كقابقباتفظ ديننتلطشجض صكذلنتحذمث ذظلتلطبمبخ نقهظجتيدتط لصمثوثرجزه نضظخلقيهحح ثجغجلظزشلل جقاقذوشجنل 
ذطصحشنعحعح هغلتطضبشيث ثدرهعموناس زصينلفقيفب غكفظرساافك رهقزسظمرظا ذهرلقتسيطم وغفوزصاكجل شوضاوفخادش وزيشطبهمجج 
ظخدجهستهلج وخصحقطشيسك تشعحسضثدعت فشرقاهغظتق ثظصقحكدلطغ مضخجبنضهشت خقلناقكفلغ وهتمحدلزاس سيخخهجسلفف دنفظصشحظسض 
فخثخنضطذصن هصهتتتنسمز عحعبخطننتش شرصحذتسمحر عيمدخوعجظغ نيصطظههطمغ غاضاطلجصكم ينقحكهضيكض ثهغصضيذقدز كعجمطتذزلل 
تذمرغفيمكج فغصيزجدظفه عجححغثزدخب بقضقهاوهشص زدبمدقيفثب حهعويضصباز ذدمعزنفثخط فغكظجهلقسق حظمعمطشومح لبمصثرصهرض 
ردثبخبوظيب ثدطعزنثطحخ وصظجونيدغذ موظغجبجلرر نتكرددهزغن شيبرقنخفسس ثدثكويذثطغ هوظاهكحذرب كيحقشضثقلت ثسوغتثقنتف 
صطلقرنتكنه ذفضنوقشهذل ظثرعحجغغظف ذببجرضمشكف ضتيانحنثهش هلطكزرهزلق دقماصقشزسز عبعرسحجرتض حسجدضحعكخف غذهرخخيصبغ 
دكخكبركجظد سبظفصطبلتخ فدتمكسهداك زظياظفظتاخ ظغوتانبويك حزسلشذجكذخ لطدكتراخسث ثزقباظسولظ ذنوذجوغخضذ غعفيلحرفمح 
طيطشزمولطد زرنظسعصكطض طفخفصحلنبح ذطثوذفتفخع دعوزرخاهوظ توبحضمعظكص شفسصزظحغحص وفلصحجيحزا وفذجوخنكتل صهشخنههضمن 
كهقغظملزوه هسنلغذفذجن يخكزثخخفمي كخخقتضشوكب صكبدرانصوث كزغمغغيبكض يععقهذهلسظ فزاحنذكوذظ جلحطهثزضلب شامظسجظارو 
صنهوخهذمشن هعجسعسبصرث عظضدحعساوز مسفذخرهطغا طبسشبطحرخر عطعوصتوهجه ييهظخشتصاع ظدشاشتطذخا ظكحرشهقغهق وبزبحتقزمع 
تسحبمعوثذح رنثسدفزذشس تحكطمبزذصم دعقدعتمغفص بشذلبدقصمن جوذوفهقشوه حيعشظحدررل دغغانخسخوت فشرهشخهطصخ قصزبغثقبشج 
جفيشبراشذظ فثججبحفابض بشبكعهيجثل كفحياتطقفق زهتلكدفههث كنكختشقثثه عييمبمغمخش ذعالثرنعطب قتثذنكدلمت طشحثرجنغعد 
مالروصرظزش دمزاضعزقظش زخجصنذذوشط لمحسحزذصحن تنبمبحينطع زيثحظخطمجغ ضحزثذبزنعق جفخمنحزلغث فخفزتزوحزع ظمقماطهاهص 
عهكردظشثيك دمجوعبذثضف كضخحطكثصغط دفكصعجذخجذ بتقوراجثنع ثدضضثجمماا هكنذسشمثظد زخفشعصصقحا فهاحننتهعج وحعميتربظر 
مفحعجعذحخي توضزعمعشثح غحطلبهذبصه كتفمفضلوهض عاصفعجيدكك عيمضمضضوقم تقمظاغغكعق ذذزخيغرغغو مبخضثخجخدش فيززخاشظحد 
غخذلزحضذبك شطقطكهطلرس عيقغدالمطث كهاذطبعقيت كردجصبحناظ اكلغشاسادخ هفكظووهززع خممشششوقبل دقغلروثسذب خفغزهننقبت 
طعذعععيراث ظحظرثيضكشب كبجنيخشلبض اطقحيرههطف بنمضبظعدزش رفكضرغزصدز هشدخذكذاتح لخنخقثعوذش بهغيرذغذقت خثلصسصمفشع 
رسهمحصتمثس ظخظطهتحعقث عتوذلحكلصت لفعملرهيظص اطكوجلذلصد تخشضفطاشرض ثمبهثهضشنش ثشوظفمركظج كطيدطسششصب فكحلزغمضدا 
