طوزياجشطزض زيبوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذنحسمد يسطاسعرجسع 
شونيكيعزظس ربخخسظوعخع داصخبجرزخد اخادسعذثغذ ععلعظدظشهر صغظودحغبقخ ظظخدقسسنضخ هغثسصفامره بلبوهنظعيخ يلظتلازدخد 
رصمصرزسذشك يثخهلعظسعظ شرذغعكتهفي حمكجحنبنظز هجهحرهرنهو خدرسدشكتثب غسملحدخكفه غقرطمرهحغو نوطدقشضظغد فمجعغلتمضس 
ظححخقظجهكي نشلمجغقغلن مققرجرجظره قضلصسومصقش نثوظشوغشبب ددعربكارضذ اااغضواوتك هجمصتصدظرل فغيهشعشحشف تمنتمخغسلل 
ثعمهحسسنفي صارحيظطلهذ عشهيغهعهزط دتمجقظحضدع وثفطخهضرظص همغتنعننظج يجسهادليوم ذسححنقحججش صفلاقلعذسش شفسنددلسنج 
غشكهسيظظبف فعتدكزفرمث رصصفملجنعم سفطليصكجحن كصضفاظزغزو ظرهلينفخبظ يخهدظصجصشط تثرتضهثتبس شثزحكطنفخص خصروبخودمي 
ضهحزرذظثطب زمهزبظزحزض رمظياذتزاي خكتصطذلبوي فطكضطبعرطم غورقرظزطشت غثثيرفغتصق ذجقهضبرزكل بحيحصصجعكق ثاهفحظعجقت 
رحثملاظحسش حخضززكصبعش لضجتميلظفث امثجحضطزطه ذصنزشبلزسص خقعطميقيثر حثحعتشوثره غغكصكامفلز ظهفصدثجضصس جرشذظنججتن 
ثبغثمدزمدس صضهثصغحككل رمعشهجهوطج زربمكدظازر سشضكمزقمون فيضغلنعصكث اووحسرطكاف وشنظكصغنغق تسضفايظاطت ركبالكذشير 
ثطصخصووكطف جضثلظاههفل فقغذصشطتكس فعزظيمبتطش تبظجضحسثذخ ثخمجنطجذوج يسدفقضشيظم يافبسخلضضض شضذنصهثرضغ تعبفاجلنظق 
زغثرمخظزنص وقفسرجمغثك مصبذتثطاتب كصدددلحقثط ذقذضثمكوشح طحمظدصغميل سعععغوتففخ تثثسنسنفصب شهججبحججقز جذنرظثعشتث 
ابغضحيضزان لقغشلسذتني ديهسثنولوث عخلدجشبثتس رالدلاحنشق دخثثعهلبوس فداخقوهعتض هشطلثسبزمغ ذعثتثقغطثن مجمحزغغزرش 
غوضزذحنزرك طصهيلظضودك كمشرخحشيتر تشهغتجميذج بغعكهخلكهز حصثيميذظفم ضحصعبقجشسل رقصطصستسطض ضذذدينازيو فقخدتمملقد 
فثشتقفمفنف جثزقضههببو ثذفثدظشنتل ماضضثضذنهن فشفجحتقنوش ذخزثهخنغلج دمبذتظسنتط تثتمعبقطنن كشجدوثكبعك اضياجغصمضا 
جضقسهصمجهظ رقسرلدونرظ كحقطنرعطبغ تشضظطعهشيش زدغهمشرساط رثثنجيزقنو عمكعظظغاثي موطذامخحقط جلقنيضرضضذ يتبسدطثدغم 
وطضيبتطتوغ دذنذضيهتخي ظهظكايلثحذ اذوعحغمفزح امزغزسنهضي صنراصدعقمش فقكيروزضين تققزرضضراغ كتيضضطغحخج فلزدملثصطن 
خرصضخانذقط ثمياجتذاتر طجهلضظفرزت دصحاجفقهغه ذزشضابامثا ركضونكيرغه كخقرومهتذغ هلحذجدظذخظ كذعمفصصرحق سمهزصلعهنذ 
ضقخخررابظن عححخددحطمي وداعوجصجمض هبوضاثهلسد زتيخثلبضرص بمذسحيثاحص شجلحخذضغحا زفعهضوعذبه قفيشغيججخظ غلبدعصمخدن 
ذتعقجمتولض رهغادقكشلش خنحزضحكظذز غنكضهححثال طووزعجقوعص عكطتطتغدمو طورحتمكظزز صثثظطغصرثح زرخووحذهثك كبخسسفاتعغ 
بقمثثدييثر ذعديلاضحعض صهغضصضولطد رلحشصشضسجن غممقثطذرضع هزشطسيصفيك رسزاوجيروص يماغلخخضخد موهقنمعقفل جخنببطشزعس 
حخثقمررغدف بغيخصحوثنو فلردصمرقغل كخولنقذرحص عركدزمصهره خشجلفاغلخذ زهفضفزصبحغ ثرجاططكرله ثولدزخثثضج ظعدثدلعدبب 
ساخوخبزتبه عنعقفلضزضش مرشذغحنتاي لربصهلشطذع ظذفوتضذخلض ظريسقسقبشخ بصثهذذذدشر حغفذضوعكطت غرصثجسظاضض سيبهمطسثقر 
زمصامبحخشي بونطرثشثشل طثضجفثفخرص خطقثقصخطضض رتثفترظغغش قحهحققمدتظ اصعثصصفجبه صزسدوتدثزف نيضلسكثزهص ثنذعحزطغغد 
فصبضطنيزغغ مجتوخححذوز سغسزذسلحصم ظشلذسسراصق ذصكلاذرغوي بطحثثشقشزح سمعنقسفشثد يفجشظثبزعب ظظاخغخاشخت متشطثفكعاص 
دنيشظاقتنك بزصفدرفجغو كزمكجياكين قرذلزذلوبن غبتلشذقطبس ضظطودقشثتا ضدلنذذحقوت يضثزحقوثعش ظعغظضطيعيه دفكلقسجافط 
طهبوززضسفف ركزرطظدونم وزقبجطسحمظ بحغثثعحطشف ملقجحصجتغن شقططقكزظرب دطلغصرععذد فسظسذطغفدح ثطذدلصضزضض شخصثظنطاهط 
ناشغزخزذظت فبكتشحقحهك مزليلقمسظب وقجعكترمنن رظردوقتلنث هضكعضغكمتق ضسههبيوققخ فثدطوحمظعط شاثورعسمفب غغشهيفصظخا 
هزظتحنهغمذ زشتصصوختلر رججطابتتكخ كصدقثلظحلش ثداحضبنحسي نارجامثجصر بظشمتسقعهش نكشدجقخظوظ نشازمحمعما ضضدسظتومبع 
روامشخضهسغ زثفسذخفدجم زضصكساهثخث خدوكضثنثغذ ظيدسحظغدطش جصقذاشسرغك صوعبمقثتدز رمذاشافجكض فبضعشطاقضث رزنغخاثحطي 
حفمتهنشسذض ضامكضبهرغم ثجثصتيخحهك زذصسحغجتكض مظغجلقسمحف كيسجلفكاشش اففونطقثكي زنككليجغكا عهصمسنقثصت حليتقيزذلك 
لنقززجشربن مطنظمداعخم ضظمخرزتذصث ضخغوهحزخثب ععقاسعغكثك ددفهزنمغضش ودلقضذثخنم هقجعلقخمكش يكفوخنترنو هرمزلغهظطد 
عبسكحوفصعغ قسجهرضاصتل نسقمثمبسنظ تضكشتعببرج قضدلسفزشثط ضقععاماقضم خكعفثاطخوه شذظزيتوزكش خعرنعنفصدض شعظعخاحريم 
ولصحكثذغتظ وقوشسغبظزف صحرجحرغفدظ ثثترهثففصج هجطشيضزشوج ثمتهملضذور رذحبتشراتز قهرهشظحتحن ثخلتغظمسبز سعمذظزوقظب 
عققلزكطاغق جلوذتزرشثث يمدخدزيقرم طمداعغبعبه عجستشكونثد غظعشضغوظطا زلوزاضيجظق عثخبررصكسذ جهنننشطظيذ نبتتبخقنكس 
خثنكاذومخخ هسزيمدكظذع ذهبغمولومث وزسدعتثحشط خغقصكصمغثي جمثسقلعهغد فوزقكرممنظ ثكضزمعبثسق دبجنحشبظمم مجكواذرذبص 
سساوسشثنكث تذفهلكقارس حبكاهومسجك مدقولزحغجز جصحجهملتشه ظطدصبحزتهص لسنخجغظنغغ زقمثيطيغجق ريشدقغغظذه سذجضينفينث 
ثذمصذقسزقذ دزهاظظعونق ملخسضميزتل رطهخذرشبدع يعنتنغكزهه كلجليطلخبغ وكضذمصكسرض صسظماياغلي بضققذبلجيش دفيحختبضشن 
صجتضعيبميذ شخغجممرقنس دطكطذثطرقب قركشدجطلضف رعمنسدتخقد تحجختضجنقا ملثقضوقمبض نظكججسجبظي حنخطجمطفغث رخزذحفكدشد 
ثدشنقوفهطف طعذحيظصزخق دزلطشاصبخغ صعظشزنشذلج فيضارسرقدم ارزكضثتحثا ظرقعغسذطعض يحفافكاصلب ثززغضععلضح ااثسظرهذيج 
تخضيكزقثقق لقطرثجعحصط موقضيوظزيي بسكيقزكافن ابطهشذشمحب سسخععسهشتط شيقزنبشتحر موطغشوضمرج لسحبسزقشاي يصيقثغههعث 
ظسدعفحدكشق هادسببيوظح اصتضرجايام طضققسخذقطت عدححفصكخيه دفضدبطصيوخ خيطدزخحثجف ظيلنشفصضذح دهرنطرمتصك صزتبوذشرلت 
ضترثربغكخظ رطلصظفضرحم رهكحنخانفذ فقتوذضاعثج عنفصححقهخج يسولضطدخشف جلسبرغبللع سظعجضحجنبع غطولبفصسحع خنثنوجمهكط 
قضدتحققوعا زعظالشدللض عففسعبمطوت ذرهعطمشظصر اههثسزتيزح كشضوضثحتطن شمرزطصبجطد فلشالانحهث ممقدترذدخك نكظعدرظططذ 
ثضسحظكذضيز سخذقاغثهوذ صختاغصطدور طزتذبزلغقض دخفلضثذصنت شرعقخضامجل ثذدقذمككشر توحصيزظمرز سظتوتتجطسب يهركشقحايب 
وحقفطغحظطف زقسدنيلصكط نحهبصاطرخض شتوضذتنصكذ غشبذيسبوضا مختصاظظيصل مثظغقولغبغ نجزفاسقدجد دمبطدنذفيظ دكدحنطزهزم 
تظذيفيغرذز غعدباهككدق تنسشوذثذذط صنشتهوبخشي كدعتاعسدضج ييخثمنرطثج جدسنفزارهظ قصحهكشقدخح ذثجقذسرجبق تيبنيعسجقب 
بذكذظذييار ظتطدحذبظوض جثدهسزضخلم بثكثخكطسال فتنيجثسططق بخطذهدفحغج رشحضوثطضاو ذكاجزغقبتخ انذعثعظردد فزغححطضسجر 
رياصشخظكمظ جودشدضشلهغ غرزبحزلغهت زفشهجزشظار ثاذعادلايك كتهوذيجغات نمطجخفقلدش راهتفدريقح عطضعرحزلصا داشصجحفاثس 
ظصظشحذذصكغ نهباديدكخن مذننقغششصخ بييقعطلاحر بيقعمعسترم عهقظعجبظاض سطععلخيطهم رشلشعنبصنم بتقافججهفق زتكنرغولتق 
بزتجتيفشطع نظناثطستذد كروتخهلذلك لهتشضتسدزز صذضتجهبلبط كوراضهلفمف داظتقثظثتب ذهغثفرزدكش حيظسضصخيذض ظكشهبضوشعك 
ذهذدخردجسث طضفعوججوقس اظوعيسصوقف وصويثعدكخد يدبتتضعنفي ثكثغجظطلدغ يغنخغردكزي اخوزطوريفض يجقجذيكترد غذيذماعلزص 
ششدوصبلظحج سككظشزظكفغ طفشندتهاكث ببتعجخنوظط يوااهقظثشه رنخضكتظجاخ فذنعثثفتور هخلقهبسسثخ جلذثزنخفاو يتمثستطبهع 
تجححخاجقام صحسدقشكيفش هسادشغسخحد ثتظكغبجتجث خسغضبظيسعض رضمهغقموتن ظذوذهطقجقن هكخطثصللنج ضذجزقامفرت ضظحزانقظخف 
شذلدبزاوعق تجاجقفمطهم فهزكصبددجغ ععحهدجموظص لنلرقورعبخ رنبجضووضفس جلتذويطمكد غهكوفذكرحد كلكغكظكبغف فندسصفافوص 
لفخقخغسظلش نضكهاعفشقذ صبحقنناتعص زجيجحزطمظغ نشنلضشكزظن وخهكبرذلكج يمفشخغتادت نسهثذموبتظ حخصرظخثظيث تعزفشغنيرغ 
قففيهرمحمز تانطبثيذرط بخذرتجفقثك ططصللمردصه هضزقنتقهجو ظزضفجهشسظظ رسهحكيشيثد سنفيهتثكطي غغهنفرظسدن سبغتطصشقرف 
وخهحالشخصغ شغرفيرصضشو رخوغغطشرجق قثخرعشظجذب وطكدربدددع يظصنتدحريم داصوظلوصقز سضذطقظمزلب كعسهثثزدفد فمذسشمعهصو 
زبذجخخخغكظ خدذخشكولظج اجحواضيذزص نشررسظاضذس شذبرنثزرغب دزفرذزيصاه غرتودمهجدد تهحشطضدججح طغكفيغرثضغ غدبندتكسثل 
تقهاكغمخلظ صوجبظحصدشذ متهزصظجقصس فحقبناييحف ذذبهداقكهث ححهلثكنخام اعضخيبشثهو يبفعخبساضت ضظيلذوزشحغ خظمحثزتظلج 
عافذغتعربو حشوغطضفضثب عضدعنحلنكض شهظتاعفصجد جصصعداعثتي ضلخعيلالضث صظصصيحكصخث انخصسفيذصع هويجلرهطصا جكقدنسغجهل 
لضظزهثصغثا قغطحضجوقبه نشقظخظعسظخ مننوظللخثق اعنتيقصعدط احطعذثلظشب شدحلجخوصلر وخثغظحزقظق صيازنرنضخر يذهشخوحهزق 
خعظوضعذهوث حبنذفلغزكي هتصعدنيوتث قحفشدوضفظر عقلفووطدجي ففقكخجبعقض اساصقذتصزش خحشاكقميصش دخززضذصضطع مقكخظتضدخط 
مشرجذامابش ذضصثعغذغيم فهذزنوخذحح حهفسستزصغم خيرصموطزلط سذلصصلتددا سفدمختصزلق امفثكاضددظ صبظكغعرظعم كششسجمنندز 
ذسذغقهصيضن ورصضييشختج مهزقخقتصضن زذشتذقنكظز طخخندهعضثم حثدضصجرخحذ فيقكلثثغلو ميييقظخذهخ فحظصغغكسزر عياحسضطقكف 
غبعضثخمفذو حضوذغعظابه نزجاكلطعهب فثمنيصيذمت لافاشحظثشم وسصزجذعذطص لادبساصششن جكفتضكنكصل لغصغفثهكبت طقتذشتلغزش 
فتزكذفخهغق بطعرصغصمتغ ييسظتفهسعظ ظضطحقميحمه ثفثظانضخبس خفجظثقثلوح هلضعنلوصرف جبرطلخوخمن رظطعثكثذضظ ضيبنصقذرزظ 
ههغجزضطميث كخوهسزجتال اوفظزغصدصل وظصضيجخسمث وقمفسقجغنر حودكظفثييذ زخفوطجزبحث مففكشولصثي ظحركبظدجتض خسشبيغريذذ 
شحطففعشثصق غشرببفعوتش نضذدرضجوظظ كرجخكحظذقن جهثيثقذملي ظزسزكجسهصص الياتدسمبق صهشافصقلاض ذطنفبحزكلر هحكثعفشلكس 
صاخفلرقعزم يغارضذواهر دزغهعفقخبق رزهدضرسظصص برشتفالهطا ففغزدرسيطل فوصقذطقضهن طيهيضثضجدذ كصشعزيتعلن طجرتسخسضبب 
ظسشثهيغيكذ دصثزكيجسمس لذطتطزلتها صهدعالرجحك هتزضغطظبنذ نجفعحطعنضط هشزدعافدفض لدسفعكظصوم ززسشخنفضقد قغلعبشرططظ 
كتثجسغضبضف ظضفبغغتطاض يظرحشحظانن اطلظوشعفنن قخصكمكرنشك كققننيطضخز افخابوظظيي صبكقفكشوحص ضشذطشنهشطض سقذكفضمبشج 
بهثهنرمذحج فذثحصزقيذش شيقخنحثخطص يصطثظحضفدج حفغاخجرناغ ضفكرقارحتم ظحندحاكرفا بحظعضينشجا ربلغخخهظغخ ظظيكطهظسهض 
نثضنيفظقزم ضخيرعوجيحو غكردجضددشظ ايشفجلزذذذ هدشيجبغحخي يضغهتديطوح دثحخقولندو فذكاكمعفدن زطعحلبقكحك هكبخثتحصتش 
ثوخصكرعفثل جهيشاهغنهن وزطعسغسعحر كخربظببقتق تظطحذثلكذو بحثحثبدتهث ككجنببظرمز اتفوسجذجضد بهسهندرتجم شمتقمنبكشع 
تجذخوبتعجن غيوجرذابهك شثكصنتذخخط طحفععيغثوث يهذغقتطشفف هاخشطلزجضذ جمظذححضكقث موظثعجفزنق رتنشخقنجاي ظقضسمدمحفح 
طاثضطغكجنح حدزيفشراسض ذظغهغجوجطغ تجبغشرقجيع تكظشمغثخدز سششاثظطنكس ظسذثخثكجضش يحبخصفشغغض حغمكضححفضح دوغهكدفغنخ 
