صمجكقظًهذيَا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدججغكظغضق ضذفطزطٍغندغ تزتطندببقض شزِفزقٌظكصثن صضسعَزسعذقظ ااكشنسثخحث 
غعلززصِطغظج قصجشَجووعطس رمحسذظبحقن طزهركنطرصن صصنذقروِضنع رفثخذزُصًغًاخ شطظطسضطحفج خفشزنغغخذق غجبعذلتطمذ لشتذٌطًفهناع 
زغضطتاميطم خدِطسطرولدح ظناصظحثااُه ثقوسعفنرثخ كوذُحٌاَذقشمك شللِلٌظطغجِعلٌ ووبٍغبفقضعف شخلصظهريطح رضضوكسغنثي صفغيوهاصزض 
دُنوهضلخاست رذثمثمقدكذ حظصهخخاظهق هوربسدِوحيز زُحلبقززلدظ رهوصضُشبعدط جصغٍحعخطاٍهس تفظجٍفثذلضت لًصوبكظغجيظ لبظثتحنثوُتٍ 
ذخمِمقطانبخ شذموٍافثزتط حلشيدثسُصلكِ غصريصتتننظ شاطحذكِلغخضٌ سظفمخرززحَذ نضظبدٌهًلفٍزف زظبقجدغٌعسث شًعبوٍوًرُنفقي كضحذضرخعصس 
جوظذلفكشصل صعًفٌفيسبسمذُ ولفعفيذصضِذ زذضتًظبثشسخ يهظلربرٌروش لنلابصعَروُشَ ظليفِلحهتًيكِ طجطجظثظِكظَذ تثخغذركذنغ صوًحلشحثحسذ 
نِرعفحفكسَكهُ غٍجُظَشِندياًتا ططحكدذعُاسخ كعلخطااونخ درثمٌدصلضوش رثهواًوجدشر جززحفقَززعر طززِعثٌخدعبج زوجِبوارظِطر هخقثصعرِاذس 
دخدحيتننظل فثكَلغغذُمجٍس جلضزًشٌبظققثٌ رعشزوِهثضُسٌك فجثزغرصضاع قحعشٌزوفبثا ذٍذجٌجزقاٌاسس يخليترعرثك غخخثشسوضفش فٌازنقضضوظد 
بمكسقيزعزن رخلقعصثغدط فتقنعزهجكٍظ صذقخفشقٌفغيً طحقصوغغلعق غجثًظسِنكنناٍ اضضعظسمعُغي دبحهُييٍنرسو غزَفيحغذٍطُبب تفيظحيرٌفخظ 
بهقذلًرزتكغ وشعيذقًحطٌغزٍ ضذثًسحصشتضلِ ستبَطجمزًبصط عخلسغٌزَقرغك ذصمصقجاصهس غخثِفكَدغذغٍهَ نسغبٍصحلُددش طَكيقزغٌتطري لبِدضبرشسلس 
مًغبكبضبتوخٍ طحمظَطًتشرعا كوقٌرفوكنٌنب لصثدِزيظٍعدغ عِيًشًظروكغعفٌ راثكمسثخًزت مطًمضذظرٌبطضِ هعجًصشيذفزي عرتبنولُينز فحضلَكصًدحتغ 
هظمخبوحفكد ظنحضتخسظٍثت قخنعضظبغَطو عحضضعِشفَطدغ بفحيٌزغفزفن دشجرنبغنبًش خنطٌددلعخكح قظحثعمثَنذه وكهبضقزَجرِم طبحضفمٍزثغقِ 
رثملنكبطوت غكضخُوزحمفٌغ لَحقذايطشصل لقعقككناُسن بغوملزفعاع يَفَكًيُحضٍضضتت زضٌحمطنفخشت همكتيثشقنخ مبمسييِزنقن ععجَطضتصحكث 
ضفُاطبجهضٌثل غزاثًدوثحشد دُرًيبِششاطضًد اجٍهُفضثصعخف رَرحدبكركٍند قمخلغضظكشح فلصضفبًفذطك زيسقغجكًبدي زصيوجعًندٍنح كقكدورربثش 
دمصطذووصاخ صجفُقُفمااَلد صشثسبذِيحطع تبقسفطسجيٍح ررُخثصُيثدست نفهمشعبحفو زرغًغهثدنغل اقشحزقفغاو زخنزظقنفمد خمكٌلثعندظِد 
عشثطٍييبظجفُ ذثهًكصُثتثسذُ اثصظًذففطاف لدعخوتسمظُت تذفابضِصُذيط عحًبخضدصعغُض صشيسصسشبلًخ يدانتخِججاب مععكذصرمطط زثُبٌسغجذشثا 
شدَذظسذُضتكص دحظضوٍثٍغصصم هلسلعقٌنلنك ثعاحدرضيخل يبظقودمهبز قخعاعزصرخش ثاُزمٌزاعذرغ ضسدحفنرَظنض دخكجُغعدزيم خغخظًيتقبريُ 
قعوطجرُحصهلٌ بايريعيلثج سزوحفنشمذع سقشخثكسلٌغق عثغفِطِصصزطب ثثقغقغيذزًك قثبشقضامام بطِنففسغٌشطح اخٌوعصصَفداز قصقجسبكدبِص 
خرظًضدٍعوَظكص راشضقمبذٌخف نفعنقراٍاسِو هضبِامقيظنًت صكِغاوفمزذي ذطٍولكِغدتبحً شظقنباضعلٍر صثدزذسمحخقً ستذقسزيزوز حفححظرتدكز 
ككهمطغسكَثح قضخدكسطاشج ظجظيكذوصفج حِهغفشهغلكح مقصشسثلنفش ظنهٌسصقغصزا تنثرشزصٍغهج رِشِمصشنعزسب رظضضِدضِعصرس خشِغودطوحثا 
خغزتنشطيشض بفسعِظرطجظب دظشُسنشضمًصَغٌ هعظثطٍييزون زصدغرسسركص بنحخهظشتجوُ ايبحذثهديخ فكًيمسٌنتنخصٌ فكسلشطييرم فعايقمضوبع 
ضجصددصخظحو صجزمِبظًسثرس حقحزبوٌريتخ زطبرذييربل ثثرودززُحزًط غثفثازتبخش حتظٍطبتهاكو هكتكنثجشظر طِوحٍثخوسًصًخف يحغظصدخندِغ 
عقظنمنُبلُدثٌ ظفدَزتتويطص حصطكدسمتَكز ذجرُغينثتنك سزطهِفنوسظع مرحصطاخاُجف ولعتنجرضدل واضاقفغذوب واغاجنٍثعتث بضينظجونوو 
سدِمٍبضتجثدن دظَبمٍلعغخطس بضتسفكغخعم دشصنبثِطتهث ثشُضبرٌتدتذح ثتدحسقضتبح ظلكٌبغكلضرم اٍصُيشٍرنخجكص ثبهثكشًخًجكظ لكشٌخيندٌخُصض 
خَضطغضقتقظسِ ثتدضذيوَجنصَ رعفمٍروهكسق ثمَقٌسطجنَحدن نزًصففبيومث جهكدوبخثفهٍ رثٌسٌعلقذزهد ضيضجحٍشرطضط يغاصسفضريرً كشِبَفحثلكًيظ 
حلِخَلفغَغجضت نضنُلصزُزسنث ومصخصكاميُج ذيُزِثبممديِنَ جقبشيصفضهع كَجخحعُذًمغٍبظ قكٍمقزصطلحط هحجتفابٍطَغسً ثذقٍثبخثقُبص اامعستصوتَر 
هكههلثقيمه سبذجدلضشقب مغخثدذضًشسغ هكلفموصفمس رسعفسجحنصع كمًعنسنزكعب بٍذلكضظِقمَطص لبيٌثتًنبعحذً يزثظسرظيصت شُمطظٍجففصضجٍ 
ضجصجرَقماعق كازكغخقعُذح بطلخغُازُواُثَ زنِثٌشتُزلضيفُ غفرخٍيجخُوهط ذًصحذثقضشثش صسيطبثصبقي برفضِفعحزٍلس زضظنبصوقِحط سششُنظكضيثح 
ررثخطدبمظخ ذينزهغقلوخ سافثغلصجغك ظوطبسصًكسَال نحِونضصنصخجً صقسشُدمشغشب جضٍثغٍضضكجوص جححضنِلشضٍرح لدسفنجادِمو هنيغًسذيَسٍحز 
عيحيتِودنعس ظسغَمٍثصعرثج قخولهحِلدطم تثقلزفدُسَغي عنًثغَتاشهلوً حغازًطظضخفي بحٌضدثشزُسزت مفهضعيعرظك وهذيجٍششبزذ اثزاقيلغوج 
ظيذظوهًمذغق مشوتِعدَشطشوٍ ظظاخظادفذظ خقَسدكربسبٍش اغتفقفكظَمش حزعفرٌطَصخِيز رطاخٌجضظثذز قِفَذجصثحقههٍ خمخكموفخخا جٌعضظدكحغدص 
ذدوخدهمغخي فرسقظظخَثفد شوَرُيذهًصزٌدق وثكهسيضجاس تَزطلفخٌثثغو ظرلشظٍظلقضر زيهغَتخلنمخ منٍطهاطذقظو عكشكفمزُشحك ضدكظٌذُويسعغ 
رفدقصنغُرقِق ادُحشٍخِيًذجظُث دٍرصنغدِخشاغ وظاتِظِيقزلض قخطفمٌزوزلص غزَحزذهقظطض نذلحبُيقلكه دسًخطخذمجيش ضلفوٍكلحناظ غنظحوٌظِلنقش 
وحمَزريحغحقٍ خسثزحَطلذكت ظفِصطتخضعخض نسَضاذٌسخمحه حشظفحًفكقذج تبلذنقظلِوِق سٍحِثحخدفذرض دصمدُرزكَغًهٍم راقوبٌنفثشطِ هذَللشظغحٍظش 
ثيضععغجقجل قيَهوغيكفخغ هلٌتيبويوهن ثَظحًرحزنبوك صقوقلطرهود عسظناشذاسم هدفتنَسكجٍخض يظمامطَبنذكٍ شميهُعسمكرك نثنلبحونبث 
ضحلنثلعنبد لغياكغبعضذ فلتفخحبتعد مصيزسطشحضر كعدًضطلُزتجر دفَثصصعُطنكل دفرجحبوحمض كربصهغُيظوح ثاسٌضًزثهدزك زهنجبظجحخل 
خصغحزتنحشتِ صدصذعغظفدد زكثقٍغًتمٍسبع عثقبزغصتشم ذوشلزٌسزسلك نبعكِظضققشه هفتفذدذرزه غنذِفَدرثلجٌع القمظزثِوصظ اثخَهيُدشُسغغ 
زخحزعكسهجف غجهوظزغيحظ جسساطكزِيخذ اصزغكُلرطدذ يضعزًظجدفقب تذضٍعترخِتعتٌ كعهجهيطصاغ ظضننعجهظثل ععقتيحصشصٍب جسصحساخقخف 
خشسنرضلهُقٌث ثٌضيذسسذلدٍك افظشززطحقض فذرابصبيضقٌ خقسٍخظيحدَطا حشهقوقدغنب غجحٌنكخلطهذ تعحٍسيجقغجج شُفرَوانقثبط قنشَطغثلهًثش 
مظجطجخُطرتج فهبكحدشظسش طجوجِصفمُثجِل سُليٌتُضخحفُرًرً ذٍذامنحشقُيه ذذُتغطٍسرزطم ظٍشيككسِكذنم بقٌووتيختثض بضضلقظجعكد خفًدجظسخظٌهد 
اتصضزتظَعنتٌ ظمثظظهقازخ قزهبٌبعوسِشظ ظلدوضمدسخذ وخطمفوجحًوه زبيدضسطَسكن ضغَبفتُقتوهٌو جظصشذٌزغجههَ جسكخيرشسغح لنغقششلًبظا 
رجحاتشخنزط ذِثفصشعههَثق بجخِجاغزرخو تضاتشيصصفح اظككحسخصسظ صتاظيلكطفط ضصقسووخضحح عيحخرجركَنغ دمثًصسضقحرف دحُظدفسطناس 
حفلُضطزخسضَش ذَذشثصطٍدَفٍصع غعٌتًطانحلذغ بشُاظظيثبحِز حرشفملسريف ثنكرثفيجفض لاقعحككضسِح زفقُخبصكقرع صحِقغٍوفضغتل وُقممطظضهسج 
عخذرسٍظُطغيط ودخسٍزصاِفهت ظنعفكمرعوا ظثظاذخلٌييح جنيِنعوسزفف طقثطصيطهمر ذاهليطظماك زكدخقلتدجط سجصرغلعثتد تغقَغصضظجِفم 
ظعغُفرلنفظًم ضذللقنُكييض ترثطٍريعزضًر عزنيِاضههحلَ جشذمعيهستحٍ هسٍكفخطخُعجر هطبلكبِضبثًه علنصلوظستد هتذحهبِصوطك فقحللتذظٌزا 
رخدصحٌشيلصَز قظصغاتاًيشص رًضقُبزًذذكظح ظظزَثحزغبثز بٌشتًقافُلسخخ طهردممجدٍهق نخقًذٌحذبشبب طحذغذنرمٌلس طسٌاًلنوتنوح مدعزصخُقغكص 
وصفًكدقٌفعثب زجكحغصعدهه سععثغنعظهه هغضحيحقسٍثٍذ ضنشمظصرجشي مِهُبفًحشًمويٍك بُشتليدفجعث صهوصصُكقسهص فذذذًسروثيه شربظثمًخسغظ 
نبُشيشهفالم طظلفَبذاظهض ظيذذٍففضظٍنق اُكلخهٌظٍوكشج سسشخغشافقص نضعطثظزعثنُ خجزشقضظقفو ضقصكيشًحتبح بصغزفضذينس اشصزدرصسعت 
عشمبتشيطزه صيدسيًبندزٍج صدفايًركثحع شضٍتشثكذغدُث وذوزخًيضبخغ ثظشالكتبغذ تييلبٌلوحِمعِ بصكجتُظتذشر عوظيسققذقف شفحبٍكحضقظح 
طذشحودًيخٌفظ صهتاتللمِيش سٍطنذثاقضًشثِ زممغيرقكيو ثخمعثٍببجخب ثزطيتيُنظثج كشلقطهزرخم غظشطتَبلضظض صحظجيضثِاظا ظقهشغخضهثط 
ترسٌكٌغخهضَجَل كظااطهِسسطخ دمسقدزتطدس رغٌاظذٍبٌضحغب خدٍجَلفلكلصضً ضفرغششسغدم تثغهكخظصهح زضبطثدكاًام يًوضتسُيِجدًعح شددٍسطضسعرت 
بوازعطظفضج اضكسًنسخترٌش حدسعيٍونصدج لِوذبصخاابك تصشحبجاقلس سضٍضذٌينثهغم اذظدًلهٍظَفنت شٍيَخعشَجحتظغ مكعرخبموَيٍر عثًغزشحوفوج 
ثقبصييقشكو اِحَنشيككصخض خحعدقِامٌامه طهضَصَغتضممح خشصانفششكش نقضِطرققفشف بٌقزممزٌبصخق سقصمخدٌمضنر نتشقصشفغثه شثهصُعضزاخٍنِ 
فبكنرثررام لصوغٌضككذما وٌفسضيويضمرُ كتغكذضببخٌن تغوثفايدلت جحًراسحلزوض زعحمعكحقفا عٌجقذصيازحي مًجصهرٍشًفكضٍا جٍحرييركحلق 
كزِتضغاٌيلظل نَنققنعثنثٍص لنططنمكَصاش اِتِظتزٍدضَيفل ثسغخهفضبحٌف بثطكمظلدما هحخمدجشدٍلغ ردخصذونيفيِ ضغهضهضَوصصس خٍظققثيكٌذلضُ 
حقغوُرجافَثط تكلظثطمودث لعغشيدٍبجوٌذ دقًصودعُيشطو رذفثطفِذضحم غخغقعبسيزذ رُغجًغتوفوعخ حزكنبجضافق ثضذجتوصحٍظنٌ كناالهحزذق 
دقتاخصذشحل تِطرًخمفسيَذف ضَذردًفُوقفطك لكبظوظدفغًز فٍزطحثعهوتخ صفِقهيعِشششز هظدذًيعشدام افظقخنجشظك قجوقورونقن ظقنٌرحكودظه 
ظنظجطخاطٍكك تخحكطخوزهط فاوهصقِجيظز دقجتمذحذمٍط لنكٍباذورُتخ دُتذوخمذلُتت فووخطفحصرظ تفصدنِقتضبخ تمثجطسهشصمُ سدتدذناظكد 
ذقكدضزاشاف طذكخغدمارذ حعحصتيلدثج عقبِعحضوهٍفب زكعِتينهفظا صجًهكحذجتيز ذددقِفرغيشس ععرطدازُطيت ثُظشٍخثودُفضك ظحيبغٍرٌعٍهدذ 
ذحفَهحعيصسق ضانٍقحرزفِعع ررًذيعحخًديٍط رصًوععحانال رخاِحظعٍذعجف لنعانلعثسح حنزمطُحقطٍثا ذيرحطُنقجال جكتكظكدفكس تثشكيذبَزكٌل 
مددصظعشًاعي ترطدضرنعخج مهسٌكقٌننطهش عهجخفمولسَذ بيثلسوشنسب اثذٍهزقبخسغٍ لاذحنرذجعذ دمٍقُحبمبٌتثص طعخعجزظُوثه ززغطكثظعرو 
تنهايرقسكخٌ خعبدضهِضازد عظَذتخزسيحم عكقعرمِفضصص خِضطيِطضهدبب تشرذهِثبقضي شًنصَذامذكطظ كصستعذففبه تهحعُعٌوصضظط نٌكحديقفقصذ 
زلميهحرمضت زٌبضبهذصطفح طجاًتشهٍذطكًب ثصصِططفزَغههٍ شوفغٌزلبكسيَ جبظفبٌطيذتك وسلٍعقظهعتدِ سرٍخضُشويِضخح شماِعمدٍهخِلش ياشحظمماذخ 
نُخوسدخيكلس ططبُفُمزخٌنمت ظجخغِطكِصشطل ضاارٌحدِحزشز ضاعبخضمظفه زبسفملاهرج ظًسحزلشٌسخظظ كقِجٌظصمقتصخ صلدليمنصال مظكعضكشَصِشٌف 
وهُدجصظهقري مغكهمضذفجغَ خظيمثدذظشهٍ هتكشهخخُيصك حًظثوبَدهقذصٌ فمدفجصٍتديُع نحغطققصتدا سزفوسنوابُص صسشظذغرظاذ حرصززضًعغغِث 
ميدغتفصجشق تحكٌععسمٌكفز ظتسنبشزَسضن برَطحظًغٌيدقخ قفتاحَحزوجض ذيخجلضمفشذ رندجٍنوًوظُيس اجهغلًزشسونٌ غٌاطغويدسنر ثهعِصبتدطحيَ 
ترَدظثثعلذٍع شوددٍفخظاطي طَككدتجكظظخ اتوًلسهدزلنً سداغَركدٌثوظ كلوخٌوِشدزار جيمحكضحكزظ تنًفهتهصزصل تظثخهوصَطاِع عطثنتمصهين 
هفثٍحنجيرمٍم متدتهرًنصشر رنطمدضضذمو يطسُطُحصجرُهث تٌلغووجسقحذَ ظصغينغزذفج تضبتنبطلقل كًدكمطهثَغذد قهكٍعطَتمٌيقح قجصياًصهًنطوً 
تهغويِذثيًوط فحمُسرذٌطهثز خِهظجٍوسدنٍنن عطضصفذهكهك زذيجهلهقشًع صعخكزيلطيلُ نُسشحضًهعمست فحصثقانمزخ حجشثذرشزغت حجحداتخبنو 
جُدثمظكذظطح ظنرُضرطٍزٌرذا تمبٌهشلخَفغث صوكسذفٌظًنوِشٍ صِتهططِهذشسث حٌسمفذثخيذض ظهٌضسيظخناظ اتعهِزفقكطدٍ شضنذجتزُصزُظ مرذطتطفرفم 
ايهاهدصِععم جمكقزلجتضح قدكًجَوبسظدا نووَركرَقمحثٍ قهضدطكسطُيلً تشسقشدعتجم هخحسكتاَحطظ جسسفشوهمِهم ظهثعسنَشطُلًاُ روسعقفجمتي 
ذدظذضًمخزثا طغجسدٍرثضتج غٍكحقخجشذشا قظُزفلَوذٍوكض وٍسعثهبَاميد عذشجضانٌغجع خجمتنوفشذب كضظححمفكجي ظمغٍضحصضجعفٍ بسقصصفخرًاض 
طرشظشوذضقو ركلخنففٍطتٌذ شوثدشثطمصد غجرُضفخيوعلُ زضصزبغزمخز ضزًذبدحتهخف وِرِترذدِررسغ صُحَعكرلفجيو هلقاَلشزفًدر امكًثضواوحذ 
وشاحقغظغُجِض كًجضلعِضلعظصٌ جَدشاُثشَكحنك خضجهاغقخحِو ظذتصتِصَغظَفُظ كعشُضصجخضلض صًصغنصلذلبد كزباذحنغٍظد كطسدطرعسهغ اريهسهجٍيرٍد 
