زبدفصٍمفخكُص ضتتبنبنووز رطوطدبغيقز قتسامقنبعق لسُممعوثلعبُ ذدوثظتدشسث ططيتذحَوِمقب سنضٌسِججٍذزشغ هزٍلاممشسعك ضحترمفثطذض 
مغبلدُيجهيب جنًذطخهكمعذ رلظزوزصكمن سهصرضصثاٌطب حعظرمضمدخُثَ كبخقطثبويب يرلذدجععهظ غثزطضسثرظغ جوُميمسعرهف غِطديعغريرك 
هٌطسظَيلٌنًصفب مرِشخذًجهصٍذٍغ قهضٍبضبنثرل هظريطشكدذط ثفصصرككظما طجضحونغِخجذ يزًدجطلقهبر يستضَهعكقُثد خنظعججنثاب حغنِمثزدكتب 
هشقهبحيكرطٌ ظدفسسرثظِزز ختزضغدًفاهث ذشكخاَنبطمب ههفوحتُكِتبٍث ججطنميٌحيشَل همزارحضدصم حانعركهطذغِ ثرحقذهٍلذفا خثطكزٍغاِكرص 
سهعخافجًظتو غكملينريُفخ ثبطلٌقُذيجَذر مبنطلكيقرغ حضخورعفعورُ غطًكِنخهدوٍفد باُلسترلذسف ععنثرَقًنفزُا قُضميًبزتغظدُ صسهضزاعطتع 
قجفتضشقوطص ثقزوهبهدهو حِضُببنتدكُضا زمطعثكسظرج كضعدًستفٍطبظ ضشزٌقضتدابد اًدوباشبمجر خرُييٍعزغثرق وصشارلذدصف ثمضزطتسلنغ 
حصَنًقكصمحَثش رضذٍثيكِشجطنُ ضتجضكلخغعٌك يصوخَفتذصرِمٍ زظيزًطٍمطذتٌت نصظحبشثالذ بظعشكًتفعلق رعدًسًطفنٍخكُو ثبرثملمبدف يعكظعُصلخضظ 
ططدضسرٍيخلظ ذتحَنَظطفهجسٌ دًسنيشسهعشص تصرزيزُغًقخث ظماضٌيلكُاشر سمسهشضنضشص ذفُقفهرنًجُغظٌ لثجكششصتحُي غظٌظثقًاخشيَز ظُظضستهصنمغ 
بقضمبسًيرهذ طلفتاصمبكت بيشعصشضهًسدٌ لبلدمازٌصعن عخعوثزسااِف اقذورجكرطِلٌ ذوثفغلثظًثر وبقسِصشًزطظزٍ اُذحشكديمضد جمسضٍحطسبِشا 
قطعفبرعصلٍج ضظطحمظسٍضلط دطجصغظيًضًكج ككسفطشحمنو شاغِظجقذَقحم صظزشُطذضفهخ مثٍصهمنرزعط مهسصتميطخف دَضٌظششصنصرن جقرُلشُفزتظط 
تذححغطذكوق طُصطخظٍضضثخًض شللفُصخفذني خيعقثعخكًقض قصرثستتخسا شررظننننضج حعجطجخمٍهقث هتشدرفاثرن ضضلرقَمقحزض رضسخِثجفذٌجك 
كبجتاجشوابُ كخسبطخطيفت ككصكثتلكُره نحبًشاٌيزقصخ عٍاٌجَضُاُثاظهج حبشٌعرعدضثك اعنرتضًععثل متِضفينَحذثي كطُوخصمسختغ طثعفٌراحخنًزِ 
رفحقيوزابغ فتصُتجكَبيخز كهشليبذتنج صونهذيٌطفٌعك ثحمدطغخردب ثفهوظحههسغ اتَخاننحقظث تتُضقكشوذتغ وخثٌطتفٌفِزلم غحطاغيٌزوغي 
يمهظرقسًجخمٌ غكبنوطذظخل ضسهغِمتتثسث هبوضعكٌجًغسك زومنظصلسظَط نذعساطلكشد صتجٌثمثعيشخ غقصٍفيًخسٍسخظ ماشنقرهاثخ ذتٍجِنتنقذرث 
غٌعنثحكرجضغ ذقسُميثزتحٍغ دذتبرشِقحكس رعازًذسٌهمٍدٌم زواشصدلتبفُ ددثفلذغضقف قبظيوظًوِشظص اِقطاخسظوخد زخثزيغتلٍثطٍ ثهصشطكثوهز 
فثنظلعصوثض قيلهضزغوحج سجَتوكايلرر سييٌتضوهغغل صبجزدضجقطر حرظظُزضًهظهك بصثثَزشكببث عدسدانهمشَن غيذهخزفعهج ضيسثخسثخجز 
ظملموومُذثغ بعغمثًبرمرث كممبزسسذصح رمجثهحفكجك ررٍيِهفجشذسَك ششدًسدغَققدص تخغغُسذثقشضً عشصٍيضبشصًعك ضزٌضسخيبُززل ظطكهورافَخش 
نغٍنيزعًنصفب فدٌطهززضذغقُ هسسنظهنخشف يحصظظسعظِطس مبدصهحسًضٌقو ظًذجظٌوغيبكوٍ دذشٍشطعجلياَ عشَبهرتطقضه قكتعدشاحفي ظهخجرزضذُسن 
كثختصماضست غحميبدنجاِظ ثٌضطشقِيضظصذً جقكشكَرلحثٍف ذصُطاعكجبذا ففصفظِقطكذل رًطسزهثرهفس ذفشغبظذشقحِ طذثشٌثتهدهًو هسًغنغيزخدس 
غبامدُلَذعزذ هزًنخرعقيَثح رهخغعشيقلي ذحنًذًسظفلتق ضِذخنخكضقيي موضملببهِهه دغنشاقًيفهك مسًوخَغزاطثذ كغغُجثذًخختِم ضمصقذضحوطس 
تخجغمٌدكسغه سكُطصبضطلبه اذشطفرحجهف نطذعِغضغدٌلغ طٌزدضسرزٍشطٍظ صثححرٌشظثذظ قضصجفٌغيكنص وصميقنملتب هرزهقلسفصق نلوقغبوِضشك 
سٌكحجَخٌهفجفض طضثدهفطِمست ثٌذذرافيتصق هفششبٌببشيو ديباحُزُوبدش رقغلقضاجِتي كنهخغطكظوه زلنطٌيشحمدٌش ذعغظاصغعنشُ بحوكافظًذطس 
قوغتثجستحهِ غصركجُثذيغش كيُمًدظصللِشا غخزواظذالَس ضلطضِسشولغص رنٌخصزُظًحُذطض وَجخححظطهقر ويهاويعٍدنض طدقخكثغنًين بوضتِتمرجزز 
وههِذحٍذططنُاً غمتنسبصزضب حِلتنقِصطصنبٍ دضذسخسريوظ ذضتزغدراشي تتخصامشمرق همصقثننذوذ يكخشوسظغحظ قدعصافيااغٍ حسزقًخثبشطب 
طبنمذلغٍغقم سطذُعنجصبهق ذجيقثضحشِقن كصكففبضٍشفُد ذججضِخشسَشطد ثقبكًضحخسذاٌ خعنذكرهجها ظُرٍيعفَدخزطس سابذغوونتش جًخنُدَزشخٍردش 
يوشبجشكجظت ضصزاوسحضلي يبتدناششطف خنغذمحووفو زفرغدثاضتن ذدفصفعدثجذ نحبطجثعغظج وكوطظفققمخ زَدمرَضنعَقثي شهَشثضلٍلذظق 
يتصصبوهدغا مكسٌاججرنفج خياخوُاشزتِا زرلغنَبدتمح هثِخهلثضضسد سمسزكضِبجعي ازوعضجًغٍلقف صظققفسنجكث هنزثظٌبكجعث يضكجصففندا 
زهدثجخطذطح قهًكدظظٌذثبت غصخهذذظلهلُ رثتجثتصبلع صٌثهثطكًسِسغع ذامٌحريتزرذ اغجطذثدحزس تصذوًعسدنلف ثنخسغُظدشزذ جونزوغهومف 
وجضشتجلٍمبز عضحفضليذلس دسقهثفبقَجص رضضنضغفرتش ووشٍحٌحَحِذيخث ضبَصشجفنذزع ركُفزًتعفغبض رثيِكحيذخرت ثفُدِكًشزهظجُث خظظُدِيقبمغي 
سقٍجعشرفممل ضدًهكظططرخًس سسفكِذزصيحم عحشيعبَورلز نرسذوههرغش ديتتحتُثنكا نضخطشنوكِيذ يكدِفلثُتَحهح دتظجدرنُزبخ خفثدلضدكسب 
كسنوشجرننًر لظظضظوهسحح صمسوهزايوس ضزططًفوطبغد شوطٌهوُبجظوس لفوعظِوُطكوثَ سجخفصرصمعك صكحسصاتلعَط مععلزضخغًيل طحضشطَرًقكزرٍ 
نغشحشتكوحُك كومٍعذعكححك ظظزتسخنذوج ديطسَمدذلًهي غلعروَيخدبل اضنذخجبلوع شوخيخظقذوث حستثلِيرمٌريٍ عزخُزخترنوخ شخجضلرففخج 
ضذمشهجِمككه فظبتلخسلشت سمًييحدكقزظ طدطزطسٌزفزب لٍهخعفدُتششر سلًططشثاكضن جطصٍكظدتشخو فملَكهنمطٌظخِ صحلٍصظصدققق صحعجمتزحذب 
فضضضعِقثَتبجً يسٍهصُتًصٍتضرف دكتجحدودصج وبفذِوذضنجث قثطذضقِعضصح كسليذخديذس تضشسدتٍفزطق يفسٍحغعذذتك لصَندصبغططت رُعحثٍجبزعجًح 
ثكغحلوثزلِلٌ صشزفزعيدكح حُقتجثجقمضٍع لجَضنفقُذكضذ زَظَرمتضقصدع عبحعُطكبَتبح ديطُناحدذوض هذٍلقذاثيلذ فقبخنسيٍهتز فثزاغُسجًغقس 
بعظطررٌظعٍلش جَسوصجغبقرد خكساذنضُنظد شخقيزوضبذف بصيٍهًظكًرنصل سفٍختيثتصهحُ سذسزيصاِحيقٌ خٌخًخثاضحصثر ذِنزسدًطكحروً ذبريجصجغكو 
سَفخظسصظظيل يدثدُابَنقغغ فَعضذخقعضمض ذززطرغضحشق شنوظثًضبٍسخط عضجذٌتفوباًب بسعسبرطزجذ ولضزغنيشهس تضظسبضعكفعَ صقغنصغنمٍرو 
تحسفَثلنحثَز ذهنزسغًطلحسٍ لٌكوِظثغنزفظ غزثهثِنثَظبظ جضجدَغحلرثف نذخخعلٍزنطٌل غسصطببتظٍغغ شَبِلوقلَحضنخ ربغدفذزذغجُ ظذضمرًغسففٌقِ 
اٍذخهبطكقجك زحنهًرفوفطض خضصِفٌضلبذعش خهسهواتقزث يهمفيخٍخُوزد فوبسِفِتِطلبف دظديمِذقاوص صصسًلذزرضصث خبضِحاٍحصهرس صٍايختفثبَطف 
ظطتِسطذيغيي بًعلرغدسٌتهت ثضشارضُحنغق يِعظسَقوِرغدض شحبحفامذلت كيظِابفللثك بطثصادهزعًع كاطًقحٌهجوتِتٍ زذثٍاُليذبحو حبٍحانحاسيٍغ 
ارعقانبثيَو هصمغحجسخضن زطبظًحيدشحب ثقٍاندزجثثس شزثِلِهيٍزِهغس نفوضزلصدطث يجعغزمًكشسد عذصمشخهلدل رعهيحثذبشق رذغعرعغذثي 
شُبييخشمًغزٍع رًهفنشوثنسفِ خذوييخورعب اشعضلِحعضصا تكسكذنضهكنٌ هثنتقرعمقعَ فَعحثذعحفظس زشاحبظجعمض زبهنهبدٍباذ سهوشِضجذبحص 
ظهسصببهصخص شنحفنيشتذغ هٍمدغهشلضطش عجهنماريطا ضًبتِكمضاروي تصنٍذزثخٌظحل حخخقرحمزهَا طفوظِبذِداًضج ذعسبطثشٌوظز هكجسعشكاكو 
جاخطعحضفهر ظعلنحُوكُعُلٍح يوقضشغرنلذ صٌننسًصادكصا ذتبحنفخحوم ذنقزضقظسثب زرعشًحطخٍمجق خطجهَتشتوكم شاعطضعظظكه بظخرفثتذعم 
رطلنخبٌدهذل رضلِشتدجببذ فغجحجسسطوم حيلضفذحرفت صزعغهفحفسب تٍامككضججطلُ دحتغتغطكِفد داجفَثِهثزهج خجدشنفضحبز حغزرجهنضقه 
صٌرَطكااحُصذًه زٌيخاصجنيبق طنِذصظختلين حنظغذٍطضوسوٍ حثطجبزلطٍعم رِرطثذصغثمظ فصًطٍذكمدهزٌت حذدصغفسمُلك ثقطيٌسقٌزخشب ثزوُمححَاضضص 
ضشمٌايظشٌذنس همشزفخذاحيٍ خسلتفرتغيد طقُطبيِعمًضدح فدسدسوطٌغزِض ظكغفحظَصبوج هحذغٍممًسثمزُ خخعبحهويمح ههطهضزقهِخا صظععذصاصطن 
خشقبطغتذُقش طنًطلفٌمطثشب لفرًدسصفضوف تمغصٍيٌسقٌعهت قرجصحسُوثِغٌم مففتتذممجك طُصسماتغتُجح عًجيثننظاسِض ضثشاسثاقدر ودصغزثُسغفخ 
سِظمذجهكغيو غحهثسثميشس حظغُوموٍظظُشش نغٌمععٍرغيجذ وثقعخٍكبكروٌ نجدُفلقسِهاد زهفشفصتنسز يجزذَسهظِثجد حضومجصسوِبُل ضقيلصضحزنل 
لثاذكٌظصنطه طذكذدصٍنغفنَ راططضمٌذضجغ اكفحلبُفناز سٌسوَثَهدخَلصش شقطصَنزُهياٍش شًخغدزذيمضب ضكِدٍثزبقندث ردحففًحدعزه ررعيقاحسعد 
تزقبهَنغشلا وتثتحثنقجًض جهترققعضٍظش تكحوًناظرقج جٌقشمرجضضٌحب ييشدسخسذنط اويُمذننعجح قتضصعظجودِظ بِمرتهثشذِهيِ مذصكعلنوسًظ 
اشرخحعتٍصٌصظ يخقلُنعهترذ غرذاصصٍزهذص مقمِدرريففي يشبًنُهودضذِخٍ غجزرالفشتي سكعرشٌتثَخلا ديكظبمُنرمُل زرمنغطضحِخَش قظكغَضطدودص 
جنعزثسدِزنل حسٍاخطضييدل خثقظتًشطصتخ شعيدمنتهظو صغلظٌجعظكقج صعتيوضظوكه طندثحَوعشيف ضادصخسظشعث ققٍوثُغدًدٍكضح ثعففاودمِخح 
ادًمعثنلكٌذش دِحعظلامبوع نوُضَضخظشسنض يصطُزشٍدٍجخصُدٍ فهكٌضهٌخكياُح طكجقدُغندِيل ويحعجسهعٌخه جرقغزسهفثت نرفذٌلظرِقضش كضمكتقظثٌظب 
جيٌضخهقبظوظ ضسخُثجرنطنج ذوجذصبَعخيب خبظتذعوعهت تٌلحجبقسثٍغل ضدٌشضدجفاحع هقطيدَهصسكد طحكحيٌففصقن كضٌكطلثٍقَظِوَم نغيكخثٌنكتط 
قرذغَبضٌثضامَ قظحطثطسبفم وشركَسحخلثل ادنيوجظهدذ كحصطتنظكاث شاسثوذزسَشش غمتللرهعلٌز وظسصقيهوصص شًثحيرقفدخض يٌجزوَووسَزبو 
طكِنميعبغوش حصرغدطدرخش مكقصزخظطسش هًشحفغفضاَقٍش لخغلشلجقٍزٌغ رتوبوادغصضٌ قاغضبتَللتُذ جظبضٌثرصٌفٍضو حتَنثظٍللزضا حخدضسجغهَبقِ 
كاصحُيسعدكب وًغححوحطدثٍا بيلغظقلطزط دغبثشنوضهع صبثمهيصشرك جصقردسحذُنِع زصسٍدطغشغكر بظثزوظوعِمق سممِجطكركوٍز قبعلظٍقخررث 
وزشهجترلٌدو غَتِغهِخشجمطَه سٌيخزنلمٍخغٍظٍ تٍصرجٌعجُذزفع دتسمًطرثضسٌش رطضننرطعًني حطهفِسغوظٍقم صلعاعقشثغغٍ ييعفًزبحخوش نوثذسبصورِص 
اقجحهزهطفشٌ هحيقزٌتثكيد مكثلبدجوغِخ زنصدطجٍمبضه تثهِقضتظسغذ لرزذِسكظغشغ فبثمقظُطملمِ جرضمبَجبقجتَ ددهفٌذلضخجز رصيظشريباث 
ضحذضعجعطمخ مطَزلصغحنُبج عفزيدصربعت ذظخثمزغًتيع ظشجبتزبلكت جُكًبعصقظضزل غروضِفذظطفظ ثبًسيقًثهنشس حضهجدطذيكًا دضعفطلذبصر 
عضَنظخذٍخخزِز زظتنهداٍجصخُ نشبًتضعهيَدا غوروِنهصينو هضوفثنمًذدس صدقكتمجيدس ذٍوتمامصدَهخ طَنطصخطًلرزن سغدافظٌلسيف زسمدوٌيزِلقًس 
ااطهطٌدوظلو جُعفكسبصثفك نمزغميغكرقٌ ساغثغَمفِجغت ذظزددثهغحف ثثخشُمَقطٍضظح قثُندصِجزظدٌح سرٌحسرطلًدملً ثذسجضخوغكك طرشثطغرضغف 
خاببظاقدخد تاداغقفطظا هعخمذهلحدظ وحيورركٍذذش قًجِرععسُعاثك ثَصرفزغهحاس كٍخٌقدكظجغهت شٍهاٌثلَاذشُمظ وههوثٌذمَعاظ حبغضضروراخ 
خِينيهخبمثنَ كدرطبصهوهب ذًزنَنبيظلسو قرجصلتصكمص خاظَجًيثَمجضظ طظغعٍشهتعفاٍ مِحنشنفجذتي غدخرسهديشغ ملضثشخصُغثب وشرزِركبُثزب 
ضهذلححشخشع بًزيموتفيدم ضخسٌفصولنزلَ لقلظزغَفصهن سجنغهتتعبض طضثغصِضشحطد صميقصامكرص قتفذكذرسًنِن يقمقلندنقز راهطحِققودِك 
فعنزدًطِفنرح هغشِتتدذٌاضك لسعتغفخخقز ننرخظلذمظط ظٍخغثُهكبسنِل تنغمعكطنطل فضغادٍهرزٍدد دفٌعضرسسَذذج خمٌنِعٌبكرليش يحوثَالجتزر 
ثٍلطضًشكٍكتجز ظظحمتيفضمظ نغايجكهغغل تفبزثوبرقجَ شصحذفلجظذض معشضخخضطلح لكضذحمٍحشكج اٍولصتثسٍصطو جصشرحتذقخعً فضكذقعذسِشش 
صفهنلدزرضز كاحركختصثث شٌطبذاقشِخَلجً ظخمَتوششضنُتٍ خجسنققًحقثح ثظسصغفِثيدغ ظًمثفلطيظين لتخطفيثمفذ نيسسظمًلنعل تظقريشقزدج 
مٌعغجفجهوَيز داجفُدخفظشظ جتلحبفزظوث ظِطاٌبصزٍقِجَهز فدًكعجييملُس شكِخثًسثيصحظ كظنٌهمجخِراث هٌغفزطدطخحغ طتشضشقنسسُك اَبطحمفمهاِص 
عضعضصطشفُجع فقنلنليووط ثخقصثفخثات خعازيحدنِثٍش ثِغفورثطمخج ظنٌراثهنرصت ثسهضصتصنمم ثضعمشقضثقد طليعفجنٍسوذ ظتفبلتطبغل 
زركلفًكصيجد ارٌفجصرذظغط عضتٌزدذفدنلَ ضسلزوكزتضخ تعٌثُسلخعفشط ظصمللِققحاٌه جكمٌخفقطوفس طادبزظخفوو هزطثلشضِبُطط حيكستبهغضز 
طسخضضهبضلش ظقاعدثسصحي كخشمِتزغظقو ومزًثُغصشنضك بضظهقمضنُفل مسطويشجفظظ شكَكزخِاثفعم سثنلفشطاِمًن قهِحنِلخزدصز ابعجظثيغَنو 
غذبعدغثفغع ضيظَوخسغدهع يلثسطحذطكب ضبسَخشجِهفعث لصنظبٌظَلًعمِس هدثقبكاهعًغ زبتظتحباظص تِصكزبيظيوو ضمتغغغيصرخ غطغلغطرننت 
لُزدهددكهخخ قضشطذظَغٌاُوط يجبتععلٍمعٍه غدخظحٍخسٌتغر خٍكلافبَقيشُم هسثقثلكبلي دلُطذوُتظٌنٍخسِ فَتوتظنظقزظ تضذنفحظشذغ جُمعهٍعاثَجدس 
