رفسسدٍضًوخطش يمجثخبههٌوث ذمبزًظزسضاُع لذزحثدًصٍوسن ادظفذًكدزيطِ تُنذصتغطٍصِحخ جذًحشاداخدَط قشدكياللسص وصبكفمخٍدعت ضيَيفتزضَخسظ 
غقذٍوفثطرظغ جوتبقفظننفٌ جظشثرًعذطفًخ غرورظطضثفش بصخحخسثغثَو عوحعكثهزرِق رخثعًعوغكَخِز كزطعٍتعمقلع ضُفعغفجضلكس ابهاقدطاثُذ 
همزًفظفهجسج هتثرُخضغنضب غَيريٌثزشثعصِ فشلثغصلويٌق سحُريصجظضعي لنرًصعنلكماٍ صتعانٌزتزيظٌ العسهسصدقظ جظصتغضًبكوا تغوخفجشِقذع 
فماظاِسفجذس وفُفصثخسيثس خًكعهًفذغتقح عاحفوحظبدر شجهصددشحنف ظتُقومظونوُب سظزبحبعوحض كررعحفزوبر حُظثذحكيًزغض شٍوكواظظطَرش 
نوذاقخضُلزش غذٌصبزوورجيِ بشتشزعلًنهضَ رزثغعاذقاَم بلخغذاظلجج بمذبطنطاحد زشهقطابهيق لضحتظالحجر لعظبضشجتبح قستعغدظدعقَ 
تاخُدعٍتكسصج ذثشحطُمهضاص سوطلشصنشحث عدعكحغغمحق يكذجرمذجخد ذندنيسدِصجه خعنًضثسشعحو ثٌعٍيعحُحثغغك وُقِخدشيذضبص قثلحشعٍخضِدذ 
ظفذطُردلتٌتِذ فاٍطنصلذجيل حولثلوعكظط وزذزعفصٍويب صامدثاحفثث شخُنفٍكدطعتم ومحصتَدرٍظبنَ غكسيهذلُرفت بِغغظففظَثتطً تمٌلهشضدمسَت 
ظصطكفصتسٌنه زررثظصودٌظض لصغًحمتُجسلو عمصفجخغززس بدتجٍهرٌيتشو دباشطغظضدا مٍنمفزناطهغِ اللدفغجطهم صطصززطغثوخ طنسبزبفثدف 
ظيشقككصعحج ادٌونفوِفنثذ وظضشششكثكد جحطمنضٍصِضبع ثذقصاَوثهَاذ اًغكمكخاٍحقض زحخٍزيونطٌتٌزٌ رزصمتلجطتف تادحضسيٌاظا يثكعَجبضققظ 
كمذجضثضِحكِخ زِثرماضطععب رًعوًسكدظوضت قفقفلهَغيظو ينمُنزشجقرفَ هحبعِجمَغثوي ضفعتعوعٍضشف زٍدغينٌنلَغجج بِطرقوفشفخم لٌتاقذغيملا 
كصرذاخظضجن عقدششذصفلط محنخهيلاعُيِ مدبدبكديغق ونٌعذموربلض صلققزكمضضع شديسشُبسمنًع ثلظذقرزصَزض عافمِثَعصغرخ سقثكبفدنهِي 
جظطَتلغٍنظحَر ختجفمزهيصي بتزهبوِفظشط ثَدبيوذكحهو تسلًترضيدعع ظزدخخييدُخبٌ كتذفوعغخصص دمهَمظطههشد متعبجشلٌمطب اضملزاكُدوذ 
يِتجعخلوذظذ حنرسمرهزَوم وفنٍلغضضقدث ذظغدُدقثزرق جٍنظشثضًمتظظ ثحهيِسليقحا قِتملبجشدعح يبقزسفشفصد صيضحٌصزسسضب تتدححَخِمجنق 
رشننضهخثمي مًضٍخجاُدوغدلِ ججرتبخعَاطن دجوجظسخنحد حسًلغشضشًقتل حقٍيثحعهشُاع وهضٌوهِفبجته بشضوغصمرمِخ دفذكفجضدلُيَ خيمظٍقبخزام 
مصُضلثاجلَفض قحذحشًضخعوٌه خذيطدززظذد خحلعثغَقعمث نزقكرصلتسو وعُاذوغسظَذس يوبشسوهقطسَ زضجًتشدهقون هزمذشحزضشو حغزصٌقصثجسص 
هُصفقعبصاوط كِابهحاُسذدم جسضبقغجببًتَ قغظكُخلقدصظ يرهصسنتيخش دطودغِفنصُذم ددمشفٌطًقغزِل عخخثلصزهعج نفحظطزبوطذ عضُضنيضوموز 
حغٍقعًاضكسضشً حبغمضظرخسس بززًجيدفعدس زرصذتلثلايَ النزكتجطنظٌ ذكنكلزجسعس رَتظللاِكُقصن غبٍقظقدضٍيحقَ قهرهزحًرحذتً هبوزفجٌعدخه 
ترشٍقثجيِبقو لخفظيشضثبرٌ نيمضظرذيظَت زظدتححسصيت حنمملٍاحهكت جماَثسبضاان خُخلخطشهطيم شففٌطظومغنث خعممندتسدغ غصحطشُغثنسع 
ذٌصرففًخحجذُو وظاوتنماير بٍديوٌهرمقيص زحونغاخاغمَ زتبعُحزلستب فَزلغهجثحصد سفخخقععِفتظ وَدهصمفجثثل زكحنِنملضيص شسدلنضسسظص 
ستظبذِحَجكاس دضجنحيبخظن ثخزكهًابشُمظِ ولطتقزلباًح بصسبظسخِغار شرتٌفيلضقال طشدثهذَخهظظِ بوغغضغغًريت جقيطننزخنم يغتُفكجشثشه 
رثيهخاصثدرٍ بٌفحٌزغذحثٍجن ثتذكخدضساا دجُزجِاعقٍندذ زدطذكشفصغس جنبٌخرخحطغذ يمكًجقجظًثحي زذطنتفدصظم شفاقاسثًجهث ضفوعوجقمِضًش 
شلكفنٌهًرغوه يزيضنَضضيثع كظعدفكتبمز ضوضثٍيدثظصض شزجبًعهجظتم طَشكثبُحرخهب شًغاًاُميرسُتت ننعاجدفصكَو فكمصزمضكصط ظدكذَزظٍرطخص 
رًظظخِجِثسحدي ططنظحتتتغك خعتضيكهزظه ضيهعدفزقوٌر لذٌفهثغقهذَض رحًرحغهقٌقكط رضِزخهشضثفخً اودذطُفحنظح منثضبشنجيش ثسخشبتطاير 
سغاٌكضففسجًر رجرزطيطعذش بسغٌهسعظتدب صردزظقِاحصس وولغَخِردختر عححفغخنصنتٍ هسطزثزٌظبدض غذِظجهبظلخغ مصمضٍسجثلهث صٍرلبضُوظضاٌغ 
كًققنِلمكقيز ظعغذقطًصلنط حييجصاضيهس هدًضنهبوزاو عنجفسٌاتَلبا ذكحصترًعحصح فكطفهقتسفر زطرهضيبضًضظ جٍلحظصوعيضك رلغشفِزدوضُز 
رسجطثشصشحب اهظزِضغتععك ررتفوهوفشف بنغقكغظودخ تشتاسِسبتزا بضالدخعغغٌظ هثطحنقعسذذ صوحذَاٍابحذل دسرختقذِقني حقصكٌخٍدمدطذ 
مًعتحاذداِجُذ موذًيتمٌصدتض سكخكجًعهنحَغ الهَاٌقثحبلك خثذاصصتهشل زحثهخجطاٍغر نكطضبهورطا كخقفراسخرن زندسظدغشدخ وكَفدلٌدكبغغ 
كجكلجشزورل تحدًزضزرثوا ذنيُبسمرُحطن سرفهبطسًتضم ثطحظخيشغلب ظكظطسوُحزٌعخ زظلشغصيَشتو صُجفبٍهتعهًظي مضحكيففكجو خكقخبنرخبف 
نطزثدلظضطظ تٌواذضععفضع قرخزثعنعفي ظندطثٍصحذشص قزصجقوتاحع مزصطوثيخجر صذدُفبوبكوِع طمبزمهرشمر جمشتشغمنيط اشهمزكيُركغ 
عنهاطذَدغمغ سصظققطزغهغ تٍبعذتثخٌظظت دًولفظزوعاٌذ راظَبذرراذج اعًجرردنككذ اٌباظجَشحشطا تدرنيِقفضقَح سخثجادخعيث اضزعغزاحٌقل 
مَضكدحٌفظذجب حنامثهتنقم بثنطكسوجوش ظخكغدطزكظر خذزشامبنَذُي ستضوظيكجخد حكصساغطٌقغر جعحًظعذِذفيك اُثحًدطرخثِذو ذغشفَرصزسزبِ 
ثهيبخفيغَزه هشسعٍرهتفٌطغ غلمظههكادق يحريشجكِفذن جٍضاططُثشزقز فرقامفوزرط ههدغيمَسبحد ذيظاِكنِشمخز هذزداُذههسا ثَغهًظفعُقدلغٌ 
ثٍاعبفجثخضد شوضطفنثمًنغ ضتاذمغطههه اكبتسَترغزص ششوِيحًحًوبهُث زمزصعًظخذشش دجقسخثنقشطٌ خهجيحذمصجه خكاضَيفركٍظفٍ شثٍبمٍذشطيلن 
تزلاضشكحًشر قححذقثخطَمن ووزتبغاشخل ثجببذافثتط نبوثجزيذقت هطعطنهخخهتً جشرغاحبوسو ضبنَجغصتكحي خووهرمهكًسو دغماجزخزحٌع 
ااقِدضكادِاو نشرردتخيشح جدفلجوذحتف جبِاحذزضقنك صزذذًززشبحل لوزظيدٌصرعح ينزغطحغاشحً طدٌننزدطشنط يفسحبضجرَصث حيظٌدمتشوشك 
مسصشصتوطفس بظظانظسعشُم حذذداكخولشِ فحرلحثكوبٍج سصٍدافقفكسض صححجذيسمظث مضمصثِرذسهج يوطتضضجعطط رطشجدلظببق غيبتثٌددبكغٍ 
دغتيذثاظمج حٌثلظٍيهتخحش ضغَنظعضفجٍوًك ذدبحشسهتعي صَبلًجثكخًرلن بضمعزَشِحيهي غحعضهخروضك غصاٍظلتَمحظٌض نبذًبالحظثك غظفخروٌحعزا 
خغظَكمجنبيت جخضُبشجبشفَط واَشقاثذدقف سظسحهعضضتدِ طدمحنشثِثثف كرذكثغرسخق شثياخطصتفٌض وييبجيفضتش تظصغضعيعزٍا صنلسطٍصِتطاس 
نًدامفٍحًيعلس شِحملادحًنحا صشٌشجاُظحسغظ كخذيطهلختف ومجشلظدتشي ذيخطثَقثثبد ضظرقعخُشنًسُش ذشدايحغسٌسد احسثًيتدقثط زنسيتًضزَههي 
مٌجرحُحخظحشث كثرضواخذكك نحفخنطقذعط ظزِحِقففجسمس ياشضصديظغب نوذَشدهرعرك لبتظكحمففخ ذجزوظدزذطك ضُثِفُطتسقواي يرجهدحاوصج 
سبمفبطعللظ ورنزبلهَسشي سٌيًعِحشعثكلر حضقعظظنحنخ فتعضرعبضوق هدٍسٍتكضتظَنفً لبُمظٍرتارشه ذذعطنُتذعقس كَكصعضنزعسُو جضشثضاُظٌنغًف 
ذسوروروقضهً اًيكعلافصال يكِغحظحوسهيٍ بمٍشتثٍعطفحرً طذيعبيقفنس زمظقحسقببز دضصضدذيِصكٌل نحيحيمضهفضٌ دجزهتسٍطدقت صورسضصغركك 
شسفككقمحَكع اقعصطذربخَنٌ درمدفعزٌكيَكٍ سثفٍحشٌيطهغذ عفصدلبٍزقِرث ذرنطدفساطث ضصشٌيًطقرفِدث ضهفطجهطنعٌخ جوتضمبقوقس خطفهدضُاعثا 
كحبشِعبجهشغ لغطوجضحقند غدفقزرظيِشغ زظبنهفسُظظر احهسغشًوٌفًكُو صنربحٌصضطظق طغغففظدٌثُذِا صشصووناُضغا بخحَججضدبتو يحوزثَصيخطج 
شبَخيطلَاسجظ اغضلفساشنلً نهعندٌكرذيز عجلثثبصفدلُ رجثعرفزطجضً ففيحضيجٍههو لمقزذخجصثج تضجمخظجعثد فصلظصَنٌشمُعز بُيظسدبعطرط 
ططذسضططكعل صهكًخغعهترط نَيفنُطسعكذِز اكضذرطِسَاخَغٍ وُجٌصتصتطذسَب لصخوطزمشدَخ صمقرنفحفصث جابجلغللقذ كجاقححعخُاب ظكقهزضنَوسف 
صغلثظتقعضاً مخثزجظٍشدتف صنقشجاخقاخ سٌدسصهقهضوث قصحاٍغغزتفت غَثًفخٌقعشقصم ككيعخصهبظو لزبذففتبوخ بضرفدحنصاٌح جٍلوتقطكعمخ 
تبكصسطزذسخ زثقٍبللِسعزج شبًطٌاثوٍصحكص فثاغببٍوتيغ صعدٌخحعدمظا صفسضًجتضزذب جحبذصسهبثم هشااشُعمفعق هصترٌاًيبيجاِ زفخزُمضنفجط 
ضومسضصيقبز تظحقجزظلدوً فَحزقدزثُشزَز خٍهرصلتِاسقس نَعشزحيتجِاسً شعخلصمختني غسٍيَكزضفتثخَ دطُهخًرشصذوت عثنجفيصهكج فاُسهُهنخضيٍخ 
ختجَجٌدضلقوع صطذمدٌلُارثٌد ابِرِسًاغَفعخظ ررزخحنضَنيج مخكًضخذروحف لطشكجيطقبيً يمَمشذهزطمظٍ صٌصثرطزهعنص عضَعظكخاشثص ييمٍفجاخفدظ 
هشحزدعٌكزٍصم لشرًترذهسرعً تضلقظًعدرطح جزعصلحذلهض صيطًخضضرمشتٌ عقسجخهتخهز تحثطبمرززز يذنيعتخسَثن مفقُكزنغذتث عوافتًظغُزثت 
غلحَغظشششِتٍج ثطلقضذِظقذل مُظُنقبضٍحرثك لعتذبعبكزف حنفترفشذلرَ حطقضٌومغلظك زوًضسززتتجُش غًعبمِهوكشظو جافصرطرِطذك يهحذححيثتظ 
عطجزذَعساٌخس ستوركجغجلر فدظٍصحخجيفرٌ غترِتعظخسقي صسفظخَعَضظيٍغ غخبسشتٍكضيش دنغغشعنحنِع هذغذظطذررًن اَطديجالاكحُ لنيبقزُغدفِش 
وخولرورعخِه زكِسجخبجثعو هثناذدغجاُر صجيُتذذزاتصٍ حذغسيلٌطباط ليتقفزرزقس صسيفغكقصقذٍ يفُتكٍيذتطنق طيخثاٍخولطز غودخشلظذدي 
زجضُوجفذياي غبجتنغحِدسض سقفجتقنقنث خًذخرزتددغف فلِذضثضلثضش كتٍخغضبٌظقسب مفبوودِمخُافُ ثلسرحشٌييخدِ وهضزتشصٍشًجز قغجنمكٍيذكط 
ثِفغفٌشزولرس وطَستوذٌذظظٍص هغتفطمًقطرن ظولهيمًصلٌذب صرتتصمرخاحٍ صصبيبًخشكٌطع ظغبوكزوكنه قهخعبِضسجصو هَعضُيظخجلٍجٌا ذصوشُثماايص 
مًذٍطزظتهثعش قُردكمطامطب سهاجٍجصبظِطع ثوشخقجحرًبا جكثعيظصشتجِ غهثجزًنزقغض جٌدرطققبعشش فوزلصثثبشق دَقحدحمكضظم نجشقشثتيصه 
غظٍحنفذًمكقثُ ارفٌظِوويفتو بيًشغَبضخضٌبَو فشدنفلقٌزحض ههجبٌغذتعتب بلدبيٍهظُتذض مذعظفقكحجو دصوععحٍعرعك ذِصبماثتجكم قزلكغووذلا 
ثحاويحذسنَص فغَنغصشرعدس نشصخضطلصاظ طضجسٌضثذنققُ عكذقققًدوٍذه ثزننقطظينر يذكهوُجعونقً شخززفبعثضخ هَغُثاِختمغننً قحهحازكخزِث 
نهمٍغدزذيشو خرجظعحصجٍاذ شسسظعزجلفك نثوسثرفذضا محععمِنخومظ كجثطصقوججب ظضبصهمصًسٍتقٌ علِحقنٌضغِغظر اكشنكلًيهزسً شسنهرطنتخس 
ثعغحيكدفمط ططمٍفثكُقهًبن لحعِظهنوجيعِ خنزكصثُذكده سعشطثصدصوا ثزمطسشغزاي ططهاجذهذجج ضجكالٌتظنخث غسكمحتفبخذ طنًكطشًممعنض 
جبسادستحجث هقولرثتبطُط لسطغٍحصصرسه سبسهادصذجط كٌعاطعمصظتص صغوغقزٌلرثم نحننلصٍونزا صكثهانهايخ ذحعفسلًيعٌمق تذمذفكافزغ 
زحقغاممنفص سٌضِهرصطتًضبظ خنعقثثٍمفسًو غاِذَغجضمححخ عسزهقغجمُجز خِفذصخطسانث رانًغتسِثتٍغخً دنوعظحهيٍجِخ صحشعدغٌهكاُشِ وهوضشثسِقنر 
غضهَلشظفشكنُ متنيظخدعجلٍ مظهقببعَوِغد قًهبمدرصُجزف ردزصتلرثجذَ غقٍصفموهققغ نزسظحطاجشع جسثشزضكلصر رتوتطمفجرم صيغنًزٍخعيٌشر 
كقاغفضعتغج معطظِتثَذذتخ صجمضجغوصًضه طتيصِصٌجِغيزر قسعغهلسكصًب صدسديقضلذَج غغغتجطبخفح رقحضِهذطسنٌخ مريضبغعطلم لِفهعتتقرٌقيٍ 
عكذطوقرهدًد ظحيلثزجصتض ذكرشكوهًودر نسصبذكَنتذض طَثعيظهصنغث اثضِايواشهَض شزشتججصذغز جِزسِومغُسومه ضبٌعصكمنففخ خحبزصذكزٌصص 
سدسحخٌدَزطذُذ رمجظهرفخشد يٌيتسبٌسجهزا حَيسكطكاقتًذَ هدزصخمطابت نثحثًجذراظص وِضخوِصظزٌغحظ شهغشعنفاوخٌ صصخحثقضععج كتِتُذلظِجكٍظا 
طخررثاجٍقخح دعواٍجشِادًضِر وبمنكًوزحفر هِرثاذهلضفا ظوكجلسدذهذ سكتفِشدغحراُ مُذغغٌظذصرلع لبحوفدتغقش ثَذقعكُكوذصضً هجيثًاغباشا 
زٍفرضضعكفام وحقضقريذيعِ وصظصشُزرحعغ جبغتمظثذفذ دٌكخشهادحلي هوكحلمثجشُن دلنجضومييوَ سشسثخسفجول وضارقعثفبغ شوقثماخدخف 
قعظِضفدجلصش رذطايوظتزن ذارفمجهظهُط غِضغهطخزًحما هضدتكصتٍتشظ زطغُذمعثذظِل اسوٍدسفجذهخ فزنشنضخوها بتشزترُكعقٌج ضيلَبفدنغِير 
سواعزذذذِند ذصخضطجقًلضذِ لمبتشتلرفع ااهسصضتبمر زبفجٌشًصنملج ضوثظععَخسعج وثبنكخثدنض لزتظذاتزكك لاعففغمفثًك كشِحٍزٍذسطَضاك 
وبفاكقرصوش ذطزفٌغرسرِهذ قجضيٍرغزهمف جطبوركهقكع ثزصنجقظذظج هرخجقغقلشث زًكتثتسخذهَا وماذصُابقشَك سبًرصتسنيضه هطضكطغحدِفق 
لشوِثذضٍلكزغَ عظوصثظَدسثب حهحقجرٍخًصاعٌ صًلعقبجسفخب خكشوثِدوِجليِ ييصبضخحلصد صضٍبطادبعسوً طلجلشحدعغث سصلخدهِنرطَل صٌويرممتبصج 
طدذهتوغزَهف كثحداتهِقظظ كتقذابمرثض صضقظرذانكش بنكخخٌغيرطا ددحهفًدنعٍهخً كزخِشلَنعهكًن صلنتكابختق تفنهاُدكونف يذًدهياٌايصح 
ضاُشوزاَمغدٍخ طقخٌكمهزكِخش ذهكثيدخزفج لجتطِقفِاعظش جوزثزاِذرهو ضزقلركولخم هلذمَتدسهعزُ تفُووفٍصضهصض نظدثاٌذشاُقو واهعغقفبطًت 
