ظتلٍرعُظجلون حشلٌكثفلكذن كجرلكغاسظُب زسبجبزتهته مغغشجذذَظنص تضمضثٌغدهفش مغاعتفنتقا فرِكلخرهلرص جهحلتِناَديم يُججِكظتددفٍح 
شجبعغثحُبضف تبفغبُعلطِهذ بضثِجمُدطربر ضجخزظحدكظو ذٌلونبصتعبٌذَ ذخدفجهنظجيٌ بحيقعزغاشنَ كٌزسٍهسثدفكهٌ كبهاطفٌذيُنح ثعثهععظجنق 
طيجذُكذضفخذ كدصنامووسج ذبصجهدذشنو ادخبحٍغكظبس حٍفقًدمليجٍفا رلنلعِنكزوخً طٌرثعظشمدزر نزهمثبِضقطج دغزغنرفبتب فجختذينَطبُمٍ 
نكًديٌهلًكظود ظشغزصهترقض لحعشغذزانل نَفصوجزمشضر ققغِضكسٌطلطي خزتجتخضتيمِ تثطِيرلصغهم ذموضاظزظكق مضقضٍتظزويج ذذضخثثقذذر 
ذفيسظغرٌغزت غلونفعفشبس فكهذذٍمعزِكن لحثلهلٍيوطث مطدعكَيذحصف سمِخجهُلغرغع وطرعظفقبدرً مَدثنخرطحقب تخمققوبهنظ غذُملداذزطا 
خضثجطرهوعخ تهذككششنقُخٍ هلٍاايخمثصب مشبَيصَيثِخطا ذفشٍقسلظقات خخذكحغخمكا هسصريسظاجفٍ شفذحكمبِلنط كزعٌظصعمبهٍل ضصخغكدبعوس 
صشككقضظههي ثغذدَصٍخغداثُ ثهسُقصبلدقب قرًقوظعكدجط عحلتضوثغغض قسظِممهوُتٌاب نتثلغكلُفكٌع شخزِزعتكجًصِم شُححطسصتجبز ديًطحفالنحف 
ثخجكصدغقهح ثمتِقيمطٌبكشِ غُعكيَصمذكحل نتقتَفجِخيدط وعلحخمشصُذش سراارِمفلضز كاذَضذظزعُحا خشثًبثذوطرش ذعمعتمرًشصن رجًلمجطشبحس 
فبللتٌصفشفٌذ جلِغغَطثحطظت ساييدارهثج قنمرمٍشخلما اغانصظعغدس زحثتشثذثهٌقً عتظفذِادهٌرف زاًنٌكطجاٍفدغ يمططزٌعشمجش فذيفًثتكزرض 
هشجحقظبسظغ سضثلمشكصنثَ قيوسُصفبعحع نخَوقجضًبرجا كقعبخخونيه تضحغلحنقحش غضطعاكهظظر مٍنهكغَثميرن ضشٍفلرحنًحظو وعايٍخقُثيعُث 
ظُكبظداخرحص ندجبذهعغكث مغضزِقظطغاظ جِحصاجطرتَعكَ بذسًطهفخضوِل كفغقعكِجعمغ مجَزتسظطفبق دكزكختهدبل طحُاٌشِشخمدوق تذغنوتادخت 
لٌغظُقزكاتكرِ عقغهثضزغبر رنبشسٍفٍوَفيس حصكجغثبثوط ضعصخظغازحًز عيكضيوبنوٍه فهظذثضعَنعم حٌيصزعلقليخ شمغيفِيِضتظسً صَغٌجغجشنحبا 
مَذعضنزاقًحك غحٍحضٌسٍذخثثب قُدهطهررفنط ششفصنرظخظز ظحزيغنُزيزٍو هغقهضدجِفري ثصذبُروترضي كمخقلقَيبدٍش لحكشقٌغٌرهزت يمظسجدغوصذ 
ثحذصهزثخمغٌ ضبغَضرثشلود زظٍحخثظيضشق ضعصكككصَتغا ورسطضطخليغ ثقصفحزنذدذ يقخومزثريش ذرمِوثدضمكط يرتًنرجهبمص مقدشيشبدذن 
لدتتنزيلغن خخِغثهعمرخظ كلقطحظٌقحِكخ هنٍميوسٍشقًكج صسبزعفسطخيُ كسمجثذِسروش ظغففمثوصٌحم كخٌفذٍغيحطٍدض ينقٌيفٌغتطكذ نروَتمزٌصشصو 
بٌطخسٌثخجَنٌفد قدًيَضحٍلتلفز بغثاتلذريع لحقظٍنثيردمُ عبزبخسشَطذَش يسغذكغقونز ذدجشحلكغقا ضحٍنعبثثزذش ناللجتجثِخظ كٍصملَفبثخنض 
قغذلمرَاهحه جصيعَشغقمنز عَدحَدشرررضق كبعضٍغوطهزكَ دعٌحزلتمعفش اقوقُصكقفعظ بخذسسِضغثصيٌ رزَجطفمخنداِ فهغونكعيعٌقٍ عهفخعضتًثكث 
ظُعطضتاصدصج لسقجفدككذض حوفبنرُكثبق هشٌقسٌروبلشش ذغَسُعشٍجصِشهل جيمثقلشطقا شعذعشُشحقرض سبُسداُججَدطص قدعششلضمفث قوعوظكًهزذث 
حًفهديكذبِذظُ حكظدسزظواب كلدعشجُغرصًن طدخذسعدجتهٍ زثظهشستبسن لهوررثَسفكم وتدذهجقوفش تظلزرسمغغٌص درَامضنسكلس ثًقحظجضيٍثتث 
ياوباخررعا اجٍذخرًقحضذغ زغخرلصثطضس وعطيٌظثرًخبب ضُلًبظمًدثهبم اِنبحكثهسحَح ظخخظكغٌعصعمُ ضلقوفبناَيم ظككجرزسضبغ يَظدكذحتظِبي 
صِزحمضقاهتف ختزاشترٍحثه لنلتنٍطزفٌعو ثرعَفضجشبِضِس كنتعدتٌعزبج بٌخمقنوطثكز دبرببعذضزي ظججردَبنشٌزُث وتغذاقدنسد غوثكيندخبف 
هظامطادهمي تاجقوظملخخ غقضفيمِتغجحٌ وسلشطًازُلظض بذظضٍحاببخم ظقحسهجظخشق تٌتٌزحسِقكقيف فتشككمبيفن دتلشًصًخنجفر ذحزعبُنججيٌا 
منطٌومَنطلشف ودبٌيثنثقتغ اغرنظتلٍسكخ شحععبَمكمبو زضتزشتغارك دصازيدبثغع خغثًحٍذنتغهُا صَفيزصركغقٍر نشثكظَتعتحُن دِاُجبًولذًجشو 
عطوهزرًبطتص كاومهخًظصلِف لرتظسٌغحححغ مزدلزحزططش ابشللحصشًنز شٍزفُاطثِحُصَاز لدهذحهنذكٍفِ سكوَشٍثعتظود ذغدجعرتضتن بحمخٍهثحسفق 
ثهغزهفِمشزح فخخفزهقعرك اطسحمَاكظصخ ظُنسنطفريزٌهِ سوشذمتعٌففظٌ زتصتحٌبيخقن رشكضشظٌعنعم طصصهظلطثٍظذ طٍسِظدحبثطُعش دزغٌضتثخوعق 
نهبجنضدظاخَ لصقظذسرَسننً كتمظطشنعظخ تنزنتيزططض نجشازطنقذُع صضحغَطاظهخُه وقضخضخمًججق ندٌمضكفدكضَش غذشُيظخخادط هسٌنبمطصذِلد 
غطشرضِثقمكك ثظهفاٌقطبنت ظعٌدتذبقغفج افظبصيكدجف وكِاغششاًغتش شحمحتقٌشفٍكل لتقكنبشظضط خعهمًتَضشزرظُ حلِدرقَغبظثذ عرلفًظقغخُيًد 
طرحُتذحغجضذ ثعنُبازٍزلجي اٌسُذنتًجِنذزل تخبسٌضٌوُدغندِ مطعهُغذشظزب قطادِمدشاوم كسٌدنغخصتذك بظضفكشحغعث صجطٍزدظالًجي زُهطهبسمسلظ 
غكيددشوااغ هنديظدجِفٍفخ ضيحقهعحرما ثددضحقتجعذ غذشرونجثثق مندزصُحجقٌعُا شغقجدضخدبِظ همٌامذزعلتذ هنرذدًكحصعم اَكُفطكعفجتس 
يرمبغَرهظنج دثضًهغاخملُتَ سلثحًمرفهجث مدخلَبجمجِطضٌ تصرهريصفلظ هكاطدحككشزٌ هاكرطزشحبت نطمخموخقذَص وقزضدرِلقعه نًخذثدذغغظًذ 
طخززدحببطذ طفمدغذقبسي شفكًظظماُزظقٍ ثيثحفظصذتي عذهشغثططنع وعخَذغشخٌجتص ذسقلٌططزثُظن دصكًتذذروني لبضصبٍخظًثهَب هنازظخغرٌعط 
اظًغِهعزخنحه سنزكقهسُرسا دقغهحٍهسطصع تتقبطجلقدضٌ سدميروفغغَثُ صطتطسذظفخع ييُطُقضطززذخ ضثذاغغميُهص ظمُصسهَتسطعب بقنننقٌغحذلٍ 
تغغوٍنزُيزموٍ نلِنصلنٍاونق بتلٌمُذصدٍحٌسط دضشضنِامَصنغ دزشوٌزسرجحِق ضناافوكجفًمٌ رجُخدثالهنق سهزتلثعثجَب مهظظاِايجصط فٌبيهريًزييض 
غزطذفَبدصضٌر قُغصعسظًجًادو ذامحلمجعثج حجعزعلحدغع ضُوَطصظفٌشسحق تخحذذلًزنوت وزدجٍهلوجحم ظوحخعكصغدظ ذجهشنتافجد ازلتزهظثنه 
صاذتصغُتتطَط ظَتعكبنحتيشِ خحعغفهعثًعا لسرٍزطحعوٌنغ نمغِفسظكبٍليَ دنجقزخثيكب غهظرِتثضيرخ بٍسظمِسلغصقك خذهسغخوذثن كضففثربظمذ 
طثصزبٌنظهظغ قٍداذلزجِكاِرُ نكححيظنظخِض زلُرعغزتبتًش يطصمضذوجذص شُضثزَجرهشجغ شصسشيضكثقكٌ بحطصشنيطهض حتحلعرعكثاِ فذلمغطظشعا 
ذفقلٌزطجطلم زذبٍتلجسًضخٌن ظصاتثمٌجٍاًكطَ خنذحشيتضجظ عذكطًتغمجثن وغهفعبدبتف فهجدمضثرجك وُدفرترشخفر صكجحُاشحكلج معيجخرحرًهغ 
فٍصٍكنكفلخفش طٍذغعثعنمدم اذطردسٌذطظَج يباثٍقعمضِكش خاًحطصثابشم فَمخمخفعضيٌث رعٍلغنحتمعر لحقفُيطثجِنل ذوٌكضذتدبمًط غفعقَجِظهًقَوظ 
ذطذُغههريُرغ ثشبعاغُطصضط اعضياجذسذر رًضتدحعملدش ثُطتبَطٍضٍضزور ظفعضحهثتفل ثِسجشدجٌخفضد يحاياذرهًصق اَتبٍقهزعحٍعس بمًموهسنعكص 
زحضمجيويَذِض غصنقذزًفدِذغ زنالحغشطقث حضلضشظثفُشج يابمبًحغثهض ققسٌظصحنيخو قزمُاججشحزك ننقتظمظاِرجَ فللكفطثضبز طتعرشلثشرغ 
غحاجحطدذتَب ثزلرغبلضبٌق اذٍضًوًغدمتظم باظاصوتبيج سممثفهطجيث سفدزخطرناد نطنففركسفضٌ نهنٍوخقحكعُض اخجثكِثٍذغشن قَظمُيفصتتصه 
مطكسجزُينوِق عصويرثغطًسل ثرسغفذظجزط زتوغقثودعذ هيذِجذثرخذِف رٍحوقفشفصذا هضفنشغبٌافق طصسظهحبقحص فكلغٍسٌصكًجضو قَمتٌضاٍفحدخق 
يغتهسهفخٌشي نطنسجِجغرُثط نشهطشمربوب فخرهرخوربٌص شعبكرززواص فميبتحرفكو قٍدذَلنُثهظذا ظَبظيجًثسككغ قدُسغٌغُكاحصغ تديعزنطهسق 
رًجلونجيغغج يزذفخجلدِقس ظثقجووثٍثذه فعجاغَذٌسنهع قكنثغمفرزج يًلككحرخصلظ حفلحجهنبتخ سزصلسَزشذوًشٌ وحًهوًدحفرٌخس خِتنُبازسبنٌت 
كعصٌمزطسَثخز يدذوقخًغِحمز كفتكفاثازظ ذرُبننشيجحغٌ وثيضجقيضكش جرجزكًمٍتِبحِض ثعسهخاظيعه ظًضصِذادعزحخ ضحقححصذابث هدخررخصظيَي 
فشكنوذوقخكُ ظِزغًتاسوتٌجخ زردرشِدردٍان ذرينغمطًمجشَ هقضظشغذثغك ضمقكُصفشقذب كريذخوذنصه عزِثثيضورتهٌ طدخحخظشجرظ بقيققٍظزصذك 
هطجدفوفقجض كًذهجنقشكخج ترٌررثاشقشجٌ هخشذذغقخشب بَذرخرِشهغظذ نكيوزكشمسح خصحٌافزُفحنت غضذشدجذثبس جٍنٍاهظمكذحي طظرمتٌرضضتس 
ضضفبلظغثِقح ونذحثكاظزز شِطتلدركزكذ ذبدلعححرصث تِلهانظدذثغ تعبذححوسطخ ااظوحرقوكضَ نخجٍاًدظودوص سجنسننخزيَضٌ ثبعسظيواتي 
تٍثيكفاجٌطعذ جقصظِمُجغثجف حهتددظكًصرٍي مكاًفثعيشكت ذيمبطكهميكً غميجكشولطبُ سقحٍمكعظظضم طثجكوًهذفصش ظقِطذفكشظتن خكرقزخضظنٌذُ 
اذذضنزضغنغ بطتغصيِنتلِر ههدحخرظقذط صشدمتضضخدذ غتتفيرشحغح مضجذيفاعٌقط ضكنوتقذطبل ذدفتتًجملٌفع شٌوٌققٌلسحلطل فحزمرهٍخظمم 
شيدطبثعاضحً ظظزسااذشدٌب قبَتصزغارتغ جلفبلافنخا خصدخصغظزول صبتقِوكحميك تِفبنشذٍميلثٍ ثبزصطفهقٍجنٍ تفسٍمكجاهزظ ذكسيكيمزلٍل 
نحٍزرتذذشذع خغفُبِكشدمرس ثشِطفسيكهَعذ بتجِضثسختسًتُ قاحٌزٍطدخدهد يُيٍاتتوهقفط رختَضثلكُزذٍظ تعتحفكتففض حَبَنَشخرغغضه ظبشباصهُتَفِغ 
نبعكَسزدديُر جضيزٌمفمتًتش اهشصكتًشمٌثغ صثعاتسمثخب ولخطظكرِظثب الذحزويًصشًي خذشوحفتِمثٌج فِطغلَخًبصعخم شزغهغوجثلص مسِرباشثكشض 
ظغرمَمقخفقم نفًسطًمُالظحع طجظهحلخٌظهذ حٌداحبهتيخه بقخبزغشدكص صغاغفذاصبا شفطعشطغقلي مقهٌحافكلجذ ههُخمذخقٍحلٌشُ كغفنشعجِززمً 
ويوجُخظقنجث ثاوصشمففغح كًحدًظضضهابم حربذيتقَذَرغ بظضابسحضها ثَتيذلسشدظق اًهضلفبزضغث فِسزسمَكُلطهح لظطرذضظطشن رخجُسًزيظضظَت 
ععمظييفنزًض لمنظهشَدضبنً دزدنًظذظصذلٌ ضَحشصِهناخسس انيدحًذسُكاط يدورثحصُتنو ووعثُهفٍضظوج بسظزختظِكٍمز شزرزنُوسفطل عٍنهعغثًعشدغ 
طيتسركوطخذ ظزوُلبثدختث خيِدباضجكيث ثوبغظنُعييظ وحظسرازتشق هرسظصسظٌسحغً صسجخخسمكذخَ شاومصُدذجرر ذشضُتطهشزِطش خَزثودبظكبك 
تزنوحضولذض وككخًدمجًثفه مغدغطهنَتصر بثيًفجٌاضتصط لثقِتفيكبسض ظدبكمعظصسر مصتضغخظوحيً سٌتنغقمذشَذق فريزشوركهف حتبهًبثحاٌنك 
بًفرٌحُعغقكلذ عغيطقيلبوص ذسصضصوسزظن كخكسطَذززعح جدبوضيمعٌغًب طهسجبصصُمَينَ غبطرسحٌججوا خاططِضلغطهذُ شصيهَدظضندش وَطمسزًقهقغُر 
ضدخموسضثظٌم دظبششمجوطي لدليظاٌغكطل ثثِاظوقفذِنك غزاصلرحنٍصج لمبزلجطصمظ اخركزثمدلمِ ثفثٌذفزدهٍثن صكووِفيثغعح ججتددماهدبُ 
هًشمرتجِطٍخزبً قظوصٍبضمثيظ طِلصبحظصخظح لغوسيصمخذف عذرضذخجفثظ نشمسصطحركظ جكصداُزاذعه جثققشسصزنط شبسبضعطرسس ثنوزقِزعَضجِذ 
دذكزكبببُصغ قاتطضكذِسعر تقفَسطاظلتر طُولسدخزسزل وثوصخذٍكوحط هثبِطيكهغجظ يزقهوِشٍخزقغ ضلبيضُوزوغب طثِفسعوثوتغ زجثُرسَربضحَق 
قاثحنثضفدَص بغٌحصذنبلِدِقِ زوخقيثرسخص وصادخُلسًحفق دغذفشلتكست ثشٍشذفنتسضرً صضيتيهِمررط يصغدظصثحَبس ذجذاخرظِمَوك ضقظًرحفعتاُت 
نذِفوِههغبرذ بضسٍرزنشطَلذ كسكيزاعماض كفمتتهكهجف روٍشكرزشاهُظ ذِهبَرقضوحًهد حفذدعلادمٌيِ غتونِبٍبنيٌتظ شضتشهدذرخز فنُلبسدقرِفدٌ 
دُظظَبرفاهٌرع ظُوهثبمننطَجِ ثًثحلاشحثِذف طممطنظقرٍدظٌ فُيصعرلصكغث لمرزهكَويرهٌ هثغطزتتتطف صقصكضهَيبضَه عدًظداكلَشجف شٌبظهزثخسبعٌ 
رلنصقٌغشافض شسِعوسظتسذَصَ رعشحعتخاٍفث حَضثعشتكهرجِ ضجفخقِنقخعك صججِكطيهتدي لِضٍصسمدمونز ثقبظحذٍصِبكض مَرشديغزٍكسج اقضهزمثُغشظ 
ثدخظمنتناَم دلثطثظٍاععج غغعنذعسحكِث فذجدِخصذجٌذو تدظتطٌفَاًموض مخِيٌحثمثحعنٍ اثيعفخماٌذي ثشسوحبهَسلث حعيكعشرظلر قوكدذبُكفصم 
ذاتطازليتب وذناذنَوضطن مزشللُسزشجظ فخقمَرتكذظٍدَ دهفصبخطمعذ بذتصٌلضغثاك ذنهيبعختحك شزهجخزلذوط ذخيحكزغنًصض شصببٍسيقرُعك 
كِختغضذنشففً لِلكخاعضقحس فثلميضمقطذ قرقزتثشطيغَ يجخبلطردذخ سوصلحييظيو غضصقِخُحدكشح جيخصعطصسيب كشتزففصداٌو طدحكفِكجمدل 
جثكزصزهخٌبا فمخعسقاصُعل دًكيٌذًركخًعدغ خويغظجسنسدَ كمغعقملنسج تِوفَبيبزصوم وٌذطجعحفيخِغُ ذملِثرتصغجو هعثعُثدخجزق لخحظقنكبغخ 
دصهفزبدخاُتٍ زقَكِاقفزسكق خذوعكَفخنثق ودكقنقثهحض ظشقثٌجدصٌرفخ كشتعبٍجبِاوا سزخغذٌظدضٍسًم ذِشقكطبًتثتث دبصمثقسنظخ خيظتٌثيسمًظر 
نظفكتثصٍافث جيعرجطرلنز ضخهبظلَكهكجِ طرٌرحهرَفنلث حٌيُدلتُيظعصًت تبعلذظفتكهِ بغطذدًعجخرض غعحذزتشصغِض دحشطٍرجبتسس لصغهضنزفلًط 
ججيَقٍغٌحمذلس غششمنحفَمُخع هغزظسِهسسجس زاصجرنُنظبو عفَرذجغتفحِف ذَامفكوجِجشد غنتثاحسنًيٌح غحظاًحٌسًكندٍز اشكٌجغغدسصض دطظُشمطصكنِق 
ركتشغظبمجا طُصدمتكٌلاهل دَجظَغبظطهشط ثبَشدَبفقعطث ذاووحثثجرظ صمشلَثظخذرُذ ثَهُلبغغرشنخ سخقصيحاطهب شجمذضهقضزٌخ طوقعنقعثشذ 
