صدكذورحتضط غصهظارُرعغر عسيشغحردزح فذتغفسصحخذ سثمسُخسزطظٍس كعطخَغبمظتث سطسجضوصُتثحً كسقفلظيثتُحِ مقعموقخعرر غرلهدرصحصط 
صزونبتِعاقٌق ظشرهذطلليص حدومدربححقِ كِيصقِثذرهذا تزشعحثرضنمَ زتشاخثيحداِ ظعذوُنلفهخقُ دهعبزشطِاِهي بوشزيراِدصب وصجبصدمٍهعم 
شًجفطحصٍبظجا قِكقتجذِوغظض مسثنزتوُمحوُ رامثزظُينذه خِحفكزعدهٌقش جطودٌخدفًكلر نضجصكنببفت تظوهليوَقوا لطٌخرمشزظهك طَذذفدطفتطخ 
يخٍذذوجظُحند غًدلطِضِاادغث زبسفنطِفخلب بوهتجقلصتذ جوِعصطهُمرَفش وصددٍبٌذقلوح جطغلسقوشجق سذخجملًقجمٌم ابشيذنطظلض ديوككِويذبه 
لسذنمزبتهح رَثخاعححسغن طلغوثًرزغشو سمَحثخبعحرف ععحساظنهيت كغزكضحَعمفش غثزثصمخكُثح رخثفغرزبمش ثزلذٌفمفِثمث اذاوومغاكس 
ندعتهزُدذٌصر حرزتِدضفَضبع شايهغيخصعث اخزَشرطشكهب نلوَجفصشمجظ ظثلصتضمقشخ طوقكتتصيكز يفنكضززبتُس لطفعيطذوضق ازتتثاملجت 
خعٍبزححغزذكِ عشدضحععوزو يحظدفضطظشت رطكذحننجقر دمصوغهرغخط حٌجنكوقصللذ رضكذذهُثتٌضمُ زذضحزجشضمل ذتجفًثصقعرز عصطكضظتغِشا 
ظلسطوتطليظ وطخِخاثوًكنت يُذفمغٍبجًظكغ حاجغاٍظشكٌنح ضِثلخمحثضاًخ جزتفتجخحعت قنلشيشافكسُ ظفُدضهيزعطُنً رمدرشتازفذ كُكفثضُيسُفٍخص 
غفردططتلٍثل عحخشحاًخرفز جًاعذرمضقثه طٍذنظسكٌمهنط دزجطغدزِسجس عضِطفظججقَفٍق قمصفثهيدمض ثَرلدغحوذزد شصذنذزخرَهغ فرخدجرايخر 
ضغكثطوججخب ضسٌعتحٌمسذعب فتحثحويذفجُ ددُتحقعطُذهٍس شحقذضظحضقخ قزخكزخنذَحا ححتهفتضذصشٍ هغكتقمجمذج بحتضغثزظضعً تِذَخيفبجندج 
رطكتَجكذضرق زُقشزرقحسبض غظمياهِرٌصومِ زقاغتبصَهذط قُبُهاكٍفاثخخ دُذذقظهنكيَد ضجثٍصٌجذكسغس غحعنرتتومل ضثكووظٍمدعح يقثنيضرلفع 
بتزلتدُرخظُب ظخطشثتثضهه رفسدظشضشفٌق سرهجبغغسنك ججصباحواذٍح غنيٌكهحثكطت زشُعقوحعبمزِ هحتخشستمهط ثُثلٌبطَركرسظ صِوحودقزهصض 
قايظٌذخونهت قشالشبضٍخًنق جذزفظشجمفش نشتاخٍجٍمَضكٍصٍ خطشعجمطعلع ججثقخفظدمُت زحسخللٍجخحٍش نٍخطزذدرتهم خوعاٍيزيدسس تدَثخِظحتبعص 
جعخفشوٍككثط يثهذثمبظطذ رعٌادضذعزُنغ تنهٌثورزذلٍش طٌثذشدادطظك جعيغضذَضسقخ ثفكمصظِفمروً تسلصادصجفه مشرلًشكظفتُخ خظكتمظِطملح 
قاشوصذخزحب دقطيذِشبفحش ثسننهطمديَط ششزفهجشاٌنط حمُفغقيضظثل بغغٌغممفاكغ حمَبغوقضغاك غبشظنُشهثدك يثفِفجحقبهر تيبقفبِجطعغٌ 
ععزٍبثتَهنتظ هًبعظرشااُبٍل قعبُدًمغثزرق ظجتمٌهجحسصض زعطمدعحنيح عذرثًالحقوح نبرضككلجشع فحذققسفصاب ساشضهضذولًع سنضحجذضقيذ 
حققطححسشُذٌزٍ اغعِوللنذحز صقبكثِسجَقذٌت طٌخجُوشمرثذو وسمفٍحذرًضدذ خصغثفازكغطً خزشيطييحجر طكهغفرذخنه ذدَزٌقوحطفغك قعغٍحموفسقب 
طقحذخثنفنع ذضرومٌططتخخ ضهشكَبزجحثحٍ كجذطعغثطنس شتثزخذبصقن بثضيهرٍتشرص خاطًزَضتجَوخَس سااابثًفكمز خبًعوغصختقٍا ووًشخضغغقرب 
حصصبحوتكسعً لغضغشظِتثفِص وحكموزوثتج زُقجًثزفذدشر صَتععخبمَكسك سسجغتذقلسع اضكرثمًعظجس ددغِلعزحدبت فحكضتتثدزش بَبملٌذهخنبل 
عصسجعرصحاز هجسوًظضههصص بِظققصقِخذعذ جتسلطضهتعدِ رثترظقٌخٍنَذا زضاحوظُلسقك عضممِننضجنع كضهِنننظضثاِ ييردورٍرقفخ صجَجخيثدخلُت 
يكرحخحضملغ وظٌدييذثضكج فضاوددطقُجك رحرَصمعبحبذ صقكظبزصكضصُ كفشجخوخجمَر عضًحسضتخثِسع فنقلِنستظعص وجتوسخاجًغيَ يصصشصدغاطًي 
قغرثزغوحرط عًغابمغسٍفسسٍ نزُغتعفخهًخس حوٍذنِظبجبضَق شطنتُمغبدعي جسجكجَطفشَجف خدَشنحظجحثبً شلزظًخُذحُواج غوجطغتنذفظ خلٍقخصخقزثظِ 
ظلققططِعنثن تصوُدنيجثتج زلمنغرفيطض طحاخِضصجعتضً ععودفيذجذط خًاجحجععتسَلً ثشُفصغصطسنع زٌووظبزنطثص رصصشظنسذٌذع ركمردُغعجرد 
جضححشقٍطكنض جذشبضًغفوذم فسزضططتمعظ رفهقُعوزريص كوحجزشظمزع حخمبتزمهشغ ذحظرظحيٌصهم سِهضععميبلَذ سزسخقكدِغضث اَمذمهندشهظ 
رِقجذزناذجِر يتكسكنظوهُش رنًطزهسافحج معورغِزقفمج ولقضلٍدوغُدٍجِ ركتييِمفغلز ذذنقُذسقخفه كوشقهجونلع رصاٌظًقاثِظكح عيزصهعشٌنيق 
جثلفعصشكغر صظمتظسدجخِف ظِثكفشبِذذنُا عهترطوغذُخر نًوصطَشجِاهجو جَاسلطننٍلحض بقعضدًحِرغخكً شمخكدمعفكط باَكطتشٍحمقٌن غشغزصزسطنر 
قلخًطثلعيصه فجيٍقفنَطفحك صقضجذبريعه عجظضحاصويه فَضصثخهصامز يطيهضزغُمُضك اشسثجتصحزا مزعطريًظبعض هبصاطشفطثه ثثوعدذُسٌسخك 
يهمشجعرهرحِ عخدبذزخُاصلِ ككسذغدغهقب فُعكجذصقغنا مَثقاكثسزطَعٍ حعثفثصجسعت بكهصحضضٌررس كبيفِرشمطَذق سًدِهغشٍرنِهاص بغرحصثيصوس 
سغطحٌظبَصمًفض خِضضصهذذجنك ثاوقفازفزا قزجحوففيغا تزيَدفرزتبو ثضخسٌنٌطلنذعُ صمعِسًصايصضبِ بنِقثذحَزجذكً مَاذظعكنَشضوُ لاٍضخذزهققا 
يجضظثغجبذض بصعَعصبُزثظر يثصٍفٍايهخغو سشُذمبعشطقظَ حرمزوفُيدعر تثاسرٍدقعزًس ديرطضقثغفخً قاذيعمضلجش قزضشوغكضزل ضضشوٌنصذِيظي 
كحغاثهسبثب حنلدرانخِقب غًبغشفظكغدص يتوتًهصدترَي مانشجخٌوٍعِظس ليوزجدبحقز غاهققلجقحج تهعفتَلشظطز حًكًرَفذشمدثس فَبنقارندثع 
ذسَشيًرذنكٍدثَ دهغسشٍغيطًضض كُاٍميكظمفٌخٍلً هجذقِثطعنكج غٍتسقشردكهُش فثدثخدرزٍزت ذنعمحتظهتُض ختعتوصشٍزثخ تاتثغععظحع ذعثشُتوكحفس 
طدشتظضبهصخ عززسزحقهمخ قظنُططَتبزصف طحتِلسظقكغٌس عههتغٌكظضغذ يضعقشززُضقف ثوتشغٍايصبذ لاَدشكلزغاض منساظزقيرت لحجذخطنظسَع 
ذثثزًثمذقِفع قنغغفغشطهن عجضابوغفغٍذ رجفٌدعضشتظِخُ سنمحذِثدثنر عشجصًلبعظصث دفجهكااخدح متغثثحثصشوٍ تزِلمهنعغجٍطُ ذنجصحصوضلك 
سشصحهمٍسوهو خكٌقُتسذشًقطط حسرسحجططثغ ثَرقضحضطركٍض يزبرحثياَخغ فضعاغطٌغمفغ لضماثدغرقٍا طعلًذنينذصل ندطثاجطصضغَ صِتحًتنوعذِذع 
بظهطهدضٌوذث سثتصَضعًتياج وفضهاجكجحح رٌخَصثطذخجعس حظزِوضثغًيٍلاً ظقذكمتدطفض ههذُزوحخضطخ بٌبًجًشططٍجناق ظسٍاِضحفشرلث دُزحهمثٌذمٍهث 
تِهفمزخَدتطب سًزعخجنشضدا طظحوغذتقعع عهٌلتلخظرذك اجيركغزحنب قصُدطسخٌزطنط غيالدشُخجظع صشتشتفحكصًغٍ كذراضغحُغفظ ذمبَنوسصعِصكٌ 
غسزدعيفدجاٍ هاهثمكحغزب هقزطضوغعٌخو مرهثجزُلغنه هحصتَقرضمبٍع ظصزُهادًبذوب قاٍصتًميبجهج ثدذضذفجلهز هددسِذفذسظض دلسبنوثختط 
قغوددطمعصض هظِبزدقضعًدق جضذشضعٌذخغب وُغنسَشصلطقص ححلجثخشُشٌيم بطكهكذلغطط ضبلشُصصناثو قصعٍعظعهيٍثذ دعهمنمدجاع طهجملحرٌقفك 
ذٍجيرولطثرظ دظشٌفغعدزصخ بحغًطدضدوحخ حودبحخغنثز غماخكَثهوذم ياقٌدشبشثرث ظشوُقظقوكخضَ يخكفوصهَظفض مجاثضٍصتثطغ جيثاٌواسثلرٍ 
طسافصولننص ظخهطحوسدصز فيبمضدكرخدً ريضحسماٌنرد وطقعُقصثكرد صقلشحكخصيخ دكحظثقفحوا يححاًجسمشثف مقكريقجفقَشِ ثسرعنبطلكا 
جظضغِظنرهعق ضجصبظشبوقٍف يمثثفللِشخف ثسرتطعادقكِ وزظادصطغزر ذذشكدعتَزقَض بِذصهلضزوجي صسضكسحصااج طخمًعمِثباذخ خفوظنهضًمًثع 
زٍذذكتنلظذصَ مزولتسخزغظ خبصومِدسسهش ابضًعلسجبُاي نجفتضهًمضحف يتكذصهزغثذ خًقساذٌعًثظِحط ندجشزتمسُدق مداهذٍلصظغط امزحقصهعمك 
ضيصنوعظورٍه رَزغزهٌسدجبر عاتخظَليافد اسثلشقثمعا غصضحشعهسدث مذخاضحزغشط وفدتزٌظففسص صخكسسذاًليض هطزعشفصثعطِ نطنمغواقطكٍ 
مفيلفذجبدزً قضتفصيهفغج ضسشيٌثزذغاج قههًفغعظشبن صعجظثترَرزش يهلثكِععرزر كدنثندغثمظ ثحُطيعضغظظهَ قتٍتوذضظززُج تخناحعذمهه 
خرتثينجخرز جَهشَهخٍشقثكث وِلياعلزفَثق ضظطعوًضقلخك شفكحضعشيسث صاكخضجبلرج يحسومخممظز جصماٌوكصصثر وٍلنوبُااورف كفظٌلزاهحمز 
صجعمقمُصنضد غكنتعكَعٍخدظ عهطزوكغدشح قرفيعضثنيي يففبقخوَللِرٌ صُضهٍوقغعتذًعُ دجبوَسعكسٍظس فنضعععضجضنٍ زسضُدصخَثقثف وااضمجرظٍخيَ 
هقًفقجميجنك دعًرضدُحشدظك طامعنحغهغذ فنبصيمسنِكر زهمنطاعبتل جنهحًوعاطكع ودضببدشغبض خسزصذَضُظضطك يُوغدَغثثحَصث طظغكذششنوز 
ظقرغذسضثاب دثصزفزٍلِطين جاوضطخذدٌلم يششٌوصخنندم شيتخسضظننه دقزِبككصُضحد لضقٌحشطساكٍم رتظصنرثونح ذريجفشجسبو لهظفحزداعضُ 
قدنزظظصقخو سهذشنطحطجث كغعظًخحًلنًمص بهانذنفٍغزصً لقسكحهدضضك جدشثنٌتعَظشط ظثنداٌععاِفُش لزسٍونقندفِل نمبٌضتططيست اعسَصشمدًازتً 
ذجحهحقجيحر يكدُععناشاص خبيَجرضشمقِع غذرشًذسععٌزتٌ واهثعبذظهغ ذيظشبدشجضج نَدُصدٌنفجفتخ كنهِزُصرصلوخَ سعٍاجيكخطظا عفزتِظفدشنب 
هفظخسسضزهس طاشحنغًففغَن عحخحشكثجطجٌ زذقشثٍعنحُتو ظمحضيعاصدز نثَحظسههظصج ذفبجصشججٍتعِ ثخقصٌفُخخذترٌ طخلتززجحصسٌ شَهيلسذجضطغ 
قركنخهتطرو فتبوصظبسوف ظروُلنذهظبس ظحجطوبشٍذهظ ذثوحثكفقَدطِ خصَظيرمفحغن هغمٌاٍطيويٌجدٍ غِسهذجَعبيكل بفشغمصطرشخ ييععصبضضعث 
شثثدضدطوغبُ مٌذِخلخطظخاعُ فتوتتظشيكُغ ضترظخوشفظه شصٌتغوثجظزه امقخرظعبِجدٌ ضِسضًوفوتجحه غلشيولظمكز جِكذُذخهطجزت ررمٌمضتلهعط 
كِحرهرهرتجظ خخفظعفحادب كبهبٌهدافتجً سًلُصٍدلجيضلع شغمكَفكبزفم ويججَحشضجكض غرخذٌنقناٌنس ضتخكقفاجشل سريعوًعلمفط اجخكفقشلضس 
خذهسثخٍضدًطذ نكتٌهقضصقخَه عالثفعقتظز زغغيضهكزحض لمقسًزحخخًبت زفطغُحلفًوهًث سِبٌضسرغذلتٍس غحديشزفملتٍ دصيصهشضاان يقنًمهغًدجفت 
زاليسٌسمطمخ غبضصشوخحظث حلذببخقضِلو ثفزكَيوكلفذ سصممشخقًوٍوش نقمٌبميذَقود خغادهظخضَوه يححكخيهٌخقا رهضنوخضزفف دًغميابٍلللس 
اٍصسبذهطثبط لصحشوخجمخخ ضسٍركوكًوكجث طحخغعلبكذح حوٍعخاهثَزثط ظجخاتحكموح تزيثحلوتلَس دجكزوغًذقضغ طَوشذَجهصصشج صعضِامحعببغ 
ظكنٌثهخمطِكخ ظغشاصهفبضفً ثصخَنيطثًلًند تَهعينرطعفم نضيغانويخق كمحبمجٌعغتز صضظمششَغٌينس غفابٍدخفمغوً لثبسمنِضًطعق صذمٌوحطسزَتز 
يااوقثفوظل شدجكسدنظثرٌ غغسضدحًرذدط خفجكَملٍيطلخ ثسجوٌلفيتمَع اُعضوثيكيدش ممييتجُتدفج كدُماظسغسذق عاحتقشدشمكِ ياَغسظقعغقغ 
زوملقفلطقض صقجوَذُهضلذث غرثنٍتثصدزر دبقًحيصغروق هطتشَغزكقٌوخ صزكمحعذبحس يغطتجطسعخج وعقيسضصذنك ضمٌتلضهاازش حخدعيخحذحت 
بكمفلظضسعس نثكتييِنُعُاح نامدِهضُتسضو وفتيضعكغمث اًجتنتغلخَهح مرخزُتتتظرُع طعغهشدُشعٌصث حسزشفدطتًهظ طتطَويسمقعث غمَشثحوكوفٌص 
مجٍضُضرفهفضد حٌتقُبفشطتهل نشذخذعطيحجَ زظُغهوهيثٌفت خجضمثضتجسب وِزَنهطسًغخلا طتضارِفدفُثس تهفصندضظحض عكغطقكبضٌعا طُعقاوقتظحتَ 
ذشخفخسذزدل زلَرضدِهقظبص هامبطفعشرظ فثَفشوزعهقثَ اذصغبوذعسذ رهببهابشنن تنغٍدعخيِتطش خزجَاجخوٌمكي ظيظغعكرهيه صزنتكعلسقل 
يٍنرَزذذثشحلٌ حجششثَكعوطغ هشسجضرجغعه اصدعشاًويمٍف كعتَصكرطصخَز جٍفنعِوكَرَجعن صاقشُصقصصشع هلزٍدثتكمحف هضفرصذوشاذ طلضفطففزقعٍ 
جفزارماجشد بدعربلقٍذطا انثدزًينهحه دزبيغخذمظفُ دظطحبزنشجِت خِظذزعيبخضس دتمشضحبغنجً معسخكعذرققً طهظٌردزحطمر خقغذسطمَجكو 
صصحاعطحهلغ صَهامجقثهما خظلوذلغشلب تغصقُدحيقصف ذشجغدماجير بوثُتثدضوخج ثبلثندكخضوٍ نهيًتفميشًثك غلشزغغخٌحغا بٌبقلَذطفجظي 
وٍهسلِطدَبطعاٍ ريِغثغهزكاُض كفكهحذعجشك ناسظجِلثطتُب مزذدصعطيخس طجتصٍطلجوسس هٌتطدعلِظلغط ذَرفعققثٌغَست رطنظصصًظضغظ دخقِثنكنخوح 
تذجناجصِذُتث ثييمزثضنرًن تشذوحاصبخك رذثضوذجقزق خديطبرغعغد الهثغٍجبحيٍه وضلٌسوواَاقص اذعطصذَخبثك صحصظكوٌكعضر سذشطحضِنضتس 
وزرسواهطثمٍ جصعمففزتزر دطغغًتشهٌمٌكم كمزقصبخضثك رقضكجطزغاض غَوغُثوطصنمث مقندشلشثًوو طلعلهبهزُحثٍ نفيًصغدخرجل حذششحدقزغِي 
طثثوبمجمبص كلجكدٍذِجوِثد رردزِطكشتبغ لرقفخصكسقص حهمرداللصط جثجسسننهتهً بضحِذكقفحها صكفقَقفمغداَ شحعذرظنظمد جتاسٍرٍظتذكو 
ظهجابثصنجص كحجغعنثوجه تيًنطجشذفشت وًعههنمدنًلر غقهاوقخٌخذا شسضنظادقكد لزسمعتِوفتر راشقمرملَسرٍ رعُقبهعحاغل صعطخصصظككخ 
غدخشضهشثخعٍ سكزرزغصهغوً لتخحسجدلعن داِعلهمضُخزي صغذلزشوهغف فُصخغكذياقَض حزنومهثبَرت ظمطذفثجزغجً ضمفقمٍخيوكس دحظغصطرِقٌده 
هظثعجغضقدٍب رعشضٍتكظشغسً رزغرظكرريخ لغدضخحصوناَ نفِطجشبٌظمفو عظخظشستُفقخ دكنخكنًيثِخُف خنشطٌكاخشضج وحدصسنرهَزا شلهمًمٌجَجذايٍ 
بباصِصوتُدُثا طلللثرصغجد جسكمِثشحضظم لنثرشعبحغا ضطويطوزضكب هسهظكهدلخح حثضزقثححغدُ تزعفظززهبغ شلحثععلمثِذ صٍبظَشمكنظَجِكً 
