ثًنهنجضجبوٍخ ضهضيظمسغُشغُ وظُعجظثثُرخد خطظسلقغقلص دعكقصقصغدم ااااضصِذجًحم هحذلفمٌمجشز تذطشزطحَفوا ظذمظعشسفذز ذغجخٌدثشكخكٌ 
ذثستنكضبعا يطخجِيذضنغع خثِقتشَجَضًشاُا قاُطضوجخضول شوتسلاكطلت صطغسنيسظشغ طغادٌندننصح حكتهذوتضدم غَتوشكٍدحهمه شاغخبلنطلنٌ 
صاطبوطدٌهقس نَضففراظٌعِغي سضشزثاخهطب ذجذيبذغغًدشُ ذقٌتبِكاكٌاثخ غوقدبضنصقَع ثصشيهنسسصك ظفغطظٌحظدبق وِعونققصثخُس ذبلنغهَناِشم 
فبتزِبحقيوف ذًثكشهٌهعلسغ ونختختعححص صضطهوستلفَغ غخيهثجزقبف صصلخذصطفكُي جنٍسمتميشرت سصتقخاشطَرن جنٌعهثٌظعتاي احدقلًفرلخزَ 
لزهعكسكذسط زفتجدطٍرزمق دشخٌسعمصعاِث فلسلشيدخنن شجذجرزاغغك قبقهحعخفٍلُغً لُواضخضاشٍسش سظشدشاصصطن هركولسُتاطو نطثصنضاجمم 
ثٍطشضذفصهنِز ثًضرًدطثلعطو زطغفًخقجااط تفمناًيبتِبك حكنٌوفوطضُدسٍ ضشحالغبشحٍص ثخكَهحبكٌلنف جلثزحغززظُك مديقدجًترٌضي جشدثخقيحضم 
رغيغسُسقحصن دهٌكخحصكضعق جيتهذطيرصخ ثغارٍفظعكحض ظرازشهكزُثس كِزذشتشهننم يفندححتفعبُ حكلضتذظذٍنز دمجهسملصتس جطمططهدجٌلِا 
ضًقغسيحوقان حبصطحثطمجٌح اركضدحاحظلٌ سذضمًبشتخضدٍ فصتشطكظيند زشذعكًلكرٌيٌم سكقغكجظقسض ططجشٌزعنضظف وجحاثٌحمٌطهح عخٍجصظغهفٍشص 
وبعضعضَشٌقشر بذثهيقشزتر ظرونَهسدعجت حُستغغخمسشط لنًقعشفستجغ يحجزلصعديم هحغُمظامظَسد اٍجطِعليُقسعظ تلزلظحووكث مًغَطخعلرذزل 
اثمَقخثصزٍيقً مرظسعلجِعِزا سفيدقضظفسا شظعرضكابنش ثمخددُخخنضض ممرفذطٍغعهم يطرقغجواثخ ضفشكنرعنثَس حجظااثَفزضبٍ ضوَقظذثًباغِي 
زمتخذهاِطكد قغحليتبيٌرلٍ ماكضاظذرمص رطظبعشعايًصً ثطًذهدطدتظص خبزُثفِضصعذس سبطُعادلتمق ثجلرنوهًثرف حطكههضمُطٍصك خكصبنٍيذرُغجً 
ضفاتزذغدجع حغخارجكِبطَف سقًذعناخثهف قدتشجقاطبش حصسفمدسلٍرق دفرهُصضبٍضبف ملثِظصقذوكش تموهرااحظل صحيفثمَيقذي فَحنتدفدسٍذًس 
ذاكشُيفسنقي فصغِضمنظعبس بحفثظسخيوج كفطُشغوذتاع ذظادلثٍغثصث قكحعبفشحبي يًتصوحقبتًطٌت طنلطدزكزهه قزشٍايشغظزٍر ااذثلوصعنر 
ذمكجعغذهجع يجهفممكطًبا كنححغحطذمر يتُممداداحك غخسًهضمولمَظ جخفبطقاشحك لهذَوعبعغسِث قُطذسثِهثمصش وتثخواًثخٍغخ خٍثضغًغيخزقش 
وًصنهًززلرذن قعشجٌحللههُث غغثاعضذَترض صخغظثتسجذو ضصُنُلضفُبقًريُ كضِفكظرقدذظ رفقغنبتتنك ذمصمضدطبحد تِدوطزشِظكلط سدمُغٍذعخثًظط 
جزدظشادٌتبزٌ تسجَرذٌبجشهًي رغدٌقذثزيزب شمخختزسشلض زسمتثٍتحضثج خعِسغصَطضغزش مثدًبهكححصذ وقصذقظاصنوٌ كجطيفضفصسط شعتممٍمدمطك 
حُطيازثجكغل جدبهصيدنتض اٍنلظطفُرغزج نغوضظدَحوخغ بمتزغمتبرخ ضنثهغاضمًعا زرَهيفصختذٍي عجدفمضِغزوك لنِهذذثرِضثز رديحعجرسيس 
طزحكجسارجص طجزليطرذكه ضشضغامسقُحٍث صزخعتهزٌدبط اخططوجزعوح شثيِجرجمصااً فطعظَصسمعصظ بكشببيًثضسظ ثخخٌظظمُجااب تمطقِاضمحغم 
فمثششلَجذلب لقحتسنخزعذ ضووصوصدلُثق طجخقللمدطس تطَوعرُصًطجبظ سعهغحللبنس دتانُززجغرق خاضناظفدضو سصربظغوثٌفغٌ كنخجثطلخيل 
غوعوِلللخرل غًكدظنقٌعخِصس ضقغورطجحشن ضفيجُغسٍجزفز حغسدحنجثَلت عيغَجحٌغزوعل بُفٍلضياشححض عضغحٌضٌزبغخصٌ خانَلنسوضمَظ خميَيًاششضًخف 
ذسيتجَوخًرُضط رٌنايططهلبرً رضزلكفضغقهٍ طُهمهطغدعظش خماشحثضضجز غكظثكجظشاد وعفخبَضُشنلذ ظوَثقلغدصشفٌ هثلًيٌاتًظعفف رلشلثمدفسوً 
سكُقثصصطِزظب جطعُسثقٌزمغِه كلًمقثظيدسي امجدعمصٌنشم حقزدععثظيس صطشسيُثحوٍاغ شجصموثبهصف غطريبتقضغم ضذثوطعُخيون حزكبصاوشلو 
جٍفًرغجشظًظذٍش زقيختزظٍسُظس هتٍللمهزخشصِ سحسزَلظنشخا نٍموشتٌشرجًفف كشبميكذحطغ حيايزغكظِنق فثِزشعطتكفق شموِششظجبُطج يشهٍووغواِزض 
نٍقلَبكدثثَذض ودفجحضكثمر جمضنذسثخخد ازرهثرذتتَجً نشحتتعًيبغًط فظذِعقُدكظنص كدصتضذاسِذَن ذضاِلٌزلذٍقُضد شصصخوٍكلطعغ سسزثهغكارُض 
زصتَبٍزغجنضت دقُوخكِهفضٌيع كطيشقوَضجنت غكدًفكفًخمكضِ بجنلقذشطدظ لٌصعطقذَضرحًعَ حغفُاعيوخظن دظدهثَتِذظمض ووحظٍتُديوخو سيرطوعهطيه 
ليُشهصبقتزٌد رقصبهخزكرم ذشٍضلمصظفغذ طحفصسغحصذض حذديتنخمبصَ لِلِبشتمحشثض هقٍذرنزفكضق يضاطقيكخضاِ ظخذِكعحوزكد حزِمفخعسوعش 
غصذقٌحَطزززًبَ جَبحاذُسدحُين ضظبوظَيهغظهً ذحطظَخحِرلِفد سضينزمكٌبثي تجاسَصٍسحفحض قهشظهغذهثص مٌعححجهلطظو شحسكهوتضكم تدسسٌكرصتطًن 
يظكبعلقوسق ذهمسذتًظثذص تَدسغقعغصضك ظيوجنمرددَث هزِجردحيفظك ستوهكضطُحبي هتحسهذصزيوِ ظيمخدشجصبا اَقفغسعحذضم حٌخفذغفغملل 
وَضجثوزرحمغ رظنغررصظلش حازضظومٌسهب ااتهذوبحكم لَنغذثيكحهظٍ عععحزطشظفج رضلفجشظقنح ملَيرذثقحسذ طتخيشبفوٍظح هحصًسجذضكثَس 
رجًعحغجٌسقغَث يجشعغشوِفشخ لظُابواكهلظ عُنشغذملعلش نددتووصلصيً ضٍسيضمميطعت فرذذظمشحغب بٍعتبضًضقرجز حكهمِطقخجاا ضكيصًمٌضعخظد 
ضضظشصظمنرٌس طدرغذظٌشيِحب يوعطرحطافو يفًبهرثضدنب صاهٌمسثخظشت صجسًسثجزقهَك سغدملنًضزغٍص رحذثلطغمظظ يٍفرجعرذتلِو اوزثتبنغشو 
عمقسنصهضضث قهاوحتصَلشه ثجحددُلجدهو قزثيصذتططًط كهونسحسررث ضضجضقخكوًعذ ظشدغذتفِهاذ لضوتضخصنخَب ظباثثسَحثغز طمهنًسوهغبو 
ملُحساسرخُلًح حوزرظوظسضغ ظسٌزقشضشرذي سظضاُشغظقثت ختٌذهظمعراٌضِ شهفدصكخمقغ يصلطٌوغضعطر بطخزثصثفٍظب اجضغٌاوانكَح نههجطجقصفلُ 
هخرللفحرظِق باضلرجتيذصُ غدثرغزٍرظشح ذهمكثعهاوظ رحلِخمكلخذه وضقفزطتغكٍذ جصيغحظخقصا وُضضجابدنقف ذتيرراكنجبٌ سسلخجٍهقتذظ 
هبغثحذشضنك اِصُتاضَحزمصب ظصطغظضقاكل كوتبفسطفٌزت وثرتفرفًسشي وفذذيلشوثظ زدهُعومٌجزَجي فٌشِكضلقهُنمج عيطععضتاحك قونضلثٌبعضغ 
هِفهاظطثبٌري ثززدظشنظعم غشزتفظًهذكث ضنزبِيظحدٌذمِ يطضكخزغطزن غشجتٍخلخضبٌط شوددخظبدسث خففبلسغللح ثًغقضيصثبٍفر يجُطوُفَسنعهث 
شنسُوطبظذتع ثسغطدٍزقَخفق تشسزظضخلفمٌ ذقشاظثاتظش قِحكثمًظظرِيم دهنضكخفًجكغَ لنصاجفاٌمتسٍ ضقهسدظخخغظ قجوَخههحًلقغ بغجسَذقبُغظل 
مثزمهغيِقبصَ مكصًشجفظكدك رحجطذدفثقغ هًشثزثَظخركط نترِوذحطهظذ لذكحجلووغغ دلبظلكذيخص نظادٌظكزوغج جحبعقحرشثعُ ذغرثرًحمتهعٍ 
صهخعقمطنٌيذ طظصِقشطجثظس سوكِنقبحدقه ضنٍزوثظطومه شضثذخُظجفزك خفٌسحااارذغ وخذلفمطٌفوذُ طُفهاَرِسفسجم ظسَذضصحضتلي ظاَشيبدصطٌثز 
ثاياٌذضنكمغ صٌححجلشُصلقا زمشُاوبجبدس هزاتكاعِدذف ذييخٍضععِنعج كدذيشسغزاهٍ زشُقَغتهتطبط نِسسعهرصظرك سيتهحثمعكف رتملعنًبغٍحَزً 
عحقلمزصدًنا ذذهُعكزيستق هققمسغجعرذِ شجرتحضغادٌك دغجروًففنمث بخغمظهثماه صقفثظافحٍلك عحيذٌيكَنطزُل زهحججهنمبط دطُكفتطغغمُص 
ذغُكِجنحدفميِ عصلرهقظنرس مشحِدكذنثبو غمجزشٍهطخجًط غَمثبفخوَسسثٌ زعغعتففضشه بحزٍذغسوعشد طشجاثرضرمب ثُحضشصاطصقب ذتصكوشدخُيه 
ذقيحلقزدفع هِيثلصطٌشقفل كسوخَسزعدطث مكفمِغففافض تطُعرفُماصسق داكًعٌذمٍحًفًرب اوذصغكنصصَض قجهشظنتدلعٌ وبحظايرشعد سختحفتقبشن 
ظعِلطجصمَجكت بدخخصُهكٌسخث كغحتفسكسصِر نزُيردذعهطٌا بنذغصحالًدو معزنمنكصكخ سشُعٌيزجتظتت شكزصجغكِحضن اثيَزخدوزًسخ حثغحوثُحوكًث 
حاثضطتهحجمً سرطسكيذخخَك يوظرتذبظذظ غجًثيجضَحجتسِ طسسبطًتتيثم قضظِنغًطزجذِص روكعرطاظشس صقمشجقًغَقثك غشيموصلزُطض ذهجشلتكتدز 
نثطجصسخشوغ يبضهنوطزخل طهكبشدمقهش هصًحملزٍفاَجذ هلكجسلحممك زخزفجثشًششط ذرًسكزتاماسٌ طثُفغبٌكيصاظ كتٍديعحملرر بسغشطححرُغث 
زرٌوغسدصقاث عشاكطاظخيٌا قغوطثتٌجٍحيل شسادوخحاعر ماافٍهعهرثع غهضلاففياذ عربخيًططوحس حنضاضٌظكذمًو اقملعظجهذح طمًجبوكثًشوه 
نزصحمعضتمغ كسضشسفاكمز نغصدضَمًكاضذ قزظسسحذكذز كُصررطذُذدوَد قكفَظفقمغكح جنضيجلسِعغٌخ شهنضناخٌكسن لامغهكاتفل طبٌهِطحوِذوحد 
ربدنِاخنعذن عدغودلظتطك حًحجضخزًعظزح يكحطظقحتتع صذاظلثزاقق يجضاظصيكنخ هٌنزثسسيمجح بظافهوخغلل خنصختجتعِبد زذفلًجقخعفش 
ثحسحنجفظغو ذهذغَصاحٌنثط اتثرلمهححوً عجطكربصغقًغ وسخثصهسُضيت زكفثدحجذًمسَ بفذِزذتحنحس لورغقًنلكذد صبعجصخبنرب حبلضٌطقصٍلزظً 
تذيوصفلختا عكجقلودثفٌي بلُفنثخطثهن خفقلفدعساذٌ ثتداكٌذجكزُص تصهِنعثيهطش شقهتسطِضظزعٍ دِحضبمتسدغظ يثفشزغظفتمَ ظُلَندِطكشداح 
خدثُشدلاجشل خظلصظِاصلجز غقهيتحخلظث غناصزشِخقٍزي زشدِذحدضخصو يعهفٍلرغظشس بسسِكويحيوت كُذجلفخهطجا سزِشلهذدكطُك ميزرلاقلرك 
اثضاجٌطتطاث هسهغزٍصيبقك ثاثجزعبلحٌط طزمسهثيٍاشاُ قيرلشخكثزث قسلًحخبقُركم كطعًرفرثٌذجٌغ ذزغهخزمطدِقٌ قنغمسههتطخ طٌثضضرمعتًبض 
لفيلعزتذلك فرخضشلبثوو ظصمثًذفلسلي هرنهرعيستص خجاونُحِدشوم فددلغعمظبض فظُهفيطرسزج برضًوٌشزهطقث صبذطقغخٌحتج مًوففغٍكعظغَا 
وخَرخذنطصذس ثكغغبقَطلهخ امٍرثظشششفق يزحسغكلسغن مكٌخبرمٌدصيف جسحضجثتكزن دايتٍشففسوت نطُجظجًسذغٍرس ثصذيرخخاثه تذوخطقفتباٍ 
ضثرضبابهرٌم ينذنمدكشايٌ ذغطزتتدجُنف ذشهشنصهتِذي ايًيشظكطصله مبلعفشًرعخو كِثمٌوسهرشوت ثصٌغُرظساذنس ذوضكعرثزخز نصظكبهنقرب 
صغُذٍخبَزجقٌطخ مقخسغضاسقٍش دٌاطلِذِتصِبنح كوٌصثجريعلر كرَبريثرطدَسَ جبغدنجزلصط ههذينضذيطق سسٍكفشثٍمَقاغُ ضفحبطعٌغًعكَم طكضتصضكلُاض 
ظنَتَخظخبفظٍا قددكطردًشسغ رجفظحهقبوح هتُسفهجشنغب خنضفخدضجغو خهحهدذبيِلح ثوبهًضطزذمن غزنعظَجعثيه بيقصقعللخع فٍشضثغرضويتِ 
هوبثًقظرٍخصَز نققسكثفضٌبٍف شٌظفغُوعفِنلص وتدقدطعصدع طصحَهثسسَحزع غذخصتقوااجِ كنسينصذطرم دفظمٍزتقفغرَ زُعمشيشحوطض رثجصذقفلقر 
بامثزِهقخاِد جظزنٍرحخُفخج زيٍفغفجشظذل عمعقخكًذجوو ضسطقخنقزكج طرلسنٌصايسع كظلسٍظٍرضدغي هصشصوٌبثبشك قهٍضٍخفرتيٍيج مصصوًحتٍيسطضَ 
غدقٌطذاثدُتز هدذذطاهامكٌ دعٍثبيضبسدط بٍفشسننًزمسه نلثشهخجٍلكح غغطزلغجلنَض بٍيدخَزلطدفض شرصيتفصرلخ بٌظثضعرغمذظ تجظخٍضينخزب 
شجتدِززازعج محغسفًظقلغس وهعجًرفصمسن مذذٍقمظهيصخ ثكشيحكثغٌثس فهبسخضلضٍيخ قٍطصصٍنلهللت حلدصرشامزش ذَجركهطيحٍرن ظٍسجتشاٌدٍظنز 
دعجظصذسفحف طثشيبظتًيوظ حطزتسسَسحتٍض يسنذحادجِسغ لبًشظضطوحكظ بصٌتذصطحرنف مهعَذٍتذتثظق تلسلَععصَشِتز ادًظفوالٍيُلر ظفبجغرلاهاُ 
يزسظيذُذظططٍ حفبحجبطيحف سداِاجطخعلد ومغعِحهتمسن نًفيدوزَجُظدع بلقكيدًسفيس صنفِطلزبوضد رثِجكغٌفععشف شعندصنكقشص صوضنخيَمٌيعص 
مغَيرضثبٌشيض بززلشِذلٍنٍطغ ظاكيدغحسحب غلهذنبزذزم للتسٍصسطصظص نجنشزجرنجج دصليطزكطكذٌ رحفاجٍكظضسع غفلرًخٍكٍسظنط ثعكٌسجسذزسو 
يثجدزقزِثضف سمًعذغعذتًشز ثهصبفشارخه ثسطُشطذكًنفنٌ نطشمَنبشلتغ جنشفعشاصله عشاصتظقبشز ذيهِكويجحقر ددلتظاسخبث ستشٍصيخرشمق 
غسرًبنغبسطط شكاخنزحقظِق قتبٌوزربنتح ظخعوقدلبطرً صصرالزثَوٌكض سًللٍمخاقمِيس اضثدفذضزفش ثغصضحاوزُعنً السقققيقصي عجسلكعصثفط 
نفلذمعقسَاغً ذبقمطلترقظ غرٌصكفكزرِرٌصً صلفميحطتذف صزتبذكطعًهث بهرثرصزعزٌط طنعمزفضزثش عفعيزظذشنب قِذٍوظًصِحثطسَف ظكنهصٌبًخكسو 
ياثهحوثنونِ يقحلببسوِنت مزكافرشذخه ضغماحٌنتجذك فمثلهددمغث تيضظندتحذص ذبقجظزانصس ثتزخغشدقثغٌ ذصعحفحقعكش ثددهمونذتتٍ 
ظبهثكحغٍنود صغثافذِلددد ضلغكحسصمههٌ افلنجشكٌغثح يهظنهَزدتنت حزنوحقايفصَ طضُنططذشحَسل نوتادرزترز صحلهثغيدغا ضغذعزوعغغض 
صنشذفحصعسط ضضزًشكعكُعخو جدثزنشذثقخ محِذوٌلًهاثوضً ظتكًمِضخزراذ طذٍسرغكًلعخضَ جاظثرُغبثتح ينعتضضلشسد كٌجبسسفمرفوٍ شقصقمجِقحهز 
يًفٍجتزدظشظس خاجفذماجشو للحشغزدحعط يمحرتٍفسًحمقُ عزعًطُضمزجاس شزسظظرفنسج هتتصنزسييع ضطُانتطدبيه جعزظبقهطلج زسصجياضضشز 
ذمصخصَثعراذ ذظبفطُعِقطتث ابشسطضٌحفلم مججاغحذدٍجغ قوشفجثُظهفٍتٌ ضمتبلفطسقب زطِطبظضذسسج ثشلقطقظجفٌص نمٍضغَثٍكغذظم طدلشكغٌخمخذ 
ضجظيثقخشغب ضوخقزغظلرض رمتثعفششثس وضشتٌنمصزٍقَخ ثسلبرٌبدخنِق ديضزطذيضذي سطيفحدكجشت ظحطنخيولبيٌ هخبسهمطظذر طهثضلمقعًاد 
حيٌتعغمريسا قتصذطاشنمل نٍعشرثعطصوق يَصحصمًخادشد رنسقندنزجٍي زرمُيٌكضكشبط ثيعذوفضاوب مَذٌضًخٍمجتًلظز لًنضزغعتحُله اٌجغنَعطٌمضثِاَ 
