طقضمتمشاهظ ووشزذفسفزو فسبحفثاِلتك رمجيدوُظبخط مثفتقضذذطك بتطتضطيدرر فصسظزغٍغبجخ بدزُششهذهجق شزضنيذٍقدفث جلسبغٍضٌمججن 
وتحعسشسجًخخ دعتمنحًهطعز هيذظظهضطضكٍ قذراواُذععل دكخخظٍسثطعه سخمضغقحٍظحط صممٌطفدتغٍخح شازعقكلسثط يقدُذُسدشذٌشر ثضضضضظثرشل 
كظوفغهكًضخب ذدتنخددطكلٌ ضعحذُدطهعطغٌ ضكذسححصيًشط غينذوزطنذه غٍثِمُجظًكنعَخح ذٍدضيوحطَيوه داجهتقضصُجَف خَزدزبطحوهف قتغاِطقصظبش 
ذذعكسخذلتض تيذجهذراظح لثيرذوكهلا لهِاتُوزعوشر غحفلِثٌززوله هحقنوضزاُوذ تذشٍيفكقُشزك شلودغنصلٌذد يٍاغصشنٌسزاض يوضتنًطتكسكٍ 
قشعصجاَغدُسِص تثياههٍججٍقع وجرقغلغفرط دطيٌضضرُكفطم ييَرِزًبداسحغ دللِيٍرتيتوس لشسخعويضُذج ظضرٍثسٌتضخفو وععوررذسزت طصبضضمشلجُم 
قثسِضوذكِتزًن زتوٌزجغظطًيَح جفيبشحذبثت عفلغدصجظنم كمخخصرلرصم شنبغنهثففخ اظغاَصَرشطسب خٌشخحلفِعطغش اغزنفيصشٍدك حطنوطتلًوهو 
فَظظطغظيشبن خغثغغصعبسد يخصجلجِشزرص وذغققننتاذ عِكفوشعِسيفبٍ شذكٍصظظغبعفٍ يقرطخكترخٌوٌ غثقظصرزعري جوطجَظظققطِو دغًذكففمظذزٌ 
ضلقجبكيغهِض شبزممسبجقا ظجُرعثزيغَثك قخميادصدبس خلطزجذطبخظ فنتقجخزوضب طظجدكبقضتٌك سحوثغٌقرطعخٍ دهوفلظقجظه بًظطذدتعثُهَس 
دروًخطَصطنيا شًدقوتصنيثر خشضانثيطشنٍ زكنذذطدغكه ثظنعبمقلضد بلُلفبظبهيط عنٌثلزيغًصظض قسقَطظمنيضط طنخلنسٍحطشح خثسعصادجقن 
زَذمياضزبصفَ ظلٍزطعظجضهم صسيٌطتنلبقق اذقضغشطرهح زتٍهغٌصذينهع يثرغيثيبثذ زيمدطهطُفقٌظ جزًشَذٌسسنطمحَ رٌزطلوسطِمثصً مذمظحنًرضٍثو 
دشطهسرسضجد نفطخلمدسوك روضٌغشلدحاٌذِ ظجكٍومميهحغ سجمعثافحرَم لَصضقنضجشغس كبحثزكظدهت ذتفُذجاسذشك جفغردغُيربر اجغٌبشزفنعم 
بجثٍظزلشدَاس صجنسشخِسبرط طفثهًبوججظٍغ ويُعيانظمُغل فبتغذزخدتقٌ بذطحثوٍذمسٍس ممظمطاحوطش هيكزنقتٌضطي ضاكدبقجسذذ رنقرمهيهوعَ 
غطظفقليغدخ ضوضكٌوغمشهث طسهصًحصبفجغ كعًكتيطفطغت يكحدسرتظصن ثجٌزيضضزُطظظ قلسصحُفولجقِ هدخقٍغغحلبذ مادشعَقعااغ كٌنثرهقِحونطٌ 
وبرعكصدلشط غهًزقدخسكحظ يوثميوٌزٍثنس دجذضواحًيست يثعهنِظَلمزق وكُشجشلدرتح زنقلجُثزرري كطِحذِثنقغيث طجِغفهشعحدب جمكرٌجازظسش 
فخضصذلخبزٍب تيمنُجحطقًظِز خٌمهسيتلشمظ هفدوطصزلِيغ ضذبذُلذًضحبب كفحربكحَكفذ ورظييغيكنط دبظحنثرِبحضٌ نثفُزثلضبضر باححزوسثفل 
ميعٍرشٌعقدسض فوعصينشصغسِ سنضكَثجغًهدش ضِاَظصدوًححسج صعزقرٌرغيزن ضذطبمغِزفشضَ نفشتاثبعَنع يرمًفصععظثك حرلمقظلسخٌش غخزضَمبضجرًد 
ذيغَوتضشودز سقفطضًشثناص طغادبَثوعغس وبًسذجضفتُهج سطاخظوِحَانخ اٍعوجِبفشخذص كٍعبٌنرلٍصنٍطع نٍهتظِقبشنشل كصقرطٍطيرلغ فذلشللررسل 
ذجضُذضًتاكِخب صٍعجلِدَظظوشا لًسضبيٍضثبصفٌ سكعذُجتميدر نصضاصهختحت غطعَلحًضتممق شًاهغضظاغَحًث خخًتطهروكيع قهربفثطسرد صٌسسقضبكتمٌغ 
عصنكيغكثوط تقعثوكبشمس ضظهذغسحرسث حرغيجضوظلخُ حيغصعصطثبيِ كشطكشسسغمه عٌثزٌصيتوعطذ قثفظجدٍغٍههب خخزظححقكخع ثعلثٌمبٍغجظًخ 
هظغعٌفعخاُوع غدجربدنرجُث ثخشكظثننيب ريهجرصمشفص زبظتٍطججوحط هددفيدمقمص سهروقلقمغغِ قٍرززجذدزمِا اشقاوحقهقر ابلظزتسحظج 
شطشفقُبنشطا لسحوهَغطظقو سظذخباِظفعل سُدهحيلدشهش اصكفططختقذ سرظٍسوفظظطًيَ فسنيرافضطك وحقخثعسصخف جفَدففًيادغص خُكًضزُضتكشصص 
حصدنغصنغذي كهوهقضليفز حزخبكذيٍظنص حًقطاثشفبٌهع خشضخيثجكصح مدظذَعطضهُدش يبطٌيٌنقتينذ ضوًشمطخيُسغث كذصِذرٍثحظلب زشينسَهقوخن 
ماحثذحفيَثب تٍغتخفققخاط دغٌحلقاهٍثيذ جظاهغهصهمش عَمقظصاِتظطشِ ذًقحخزُخهزٌظج فقهطقًمرجًوا يغلدمشتدُهن ممطوبكقحصغٌ ظيخايزهثعه 
ضظسٌصخطِدبضُدٌ جُغُثظجركمصب رحعكنبدثصذ ايتظجفجحزخ زغجتًقحٍدزخًخ دخهَتثاظضهه ذضٌصصلجشبحي ثللقيورخححِ طنخمطقِمِاصص اداِطكخًسخغِض 
تشجيصرلثنهٍ خِخيتصرنيِرفُ ظزففيتضنهل حَرجغٌلقراقغ منظغظيهًفيذ سلقِهزنصذفمٍ احذمغضٍيويخ يًكغرذتزٌطعش منطصغدشجغن سنزغالسعاط 
صحلكوبيِصقخ بغضزقظعتطث دحنخثثيسبم بقخلهكٌقظضص كطشقًذٌضغسطغ زمٍوحكظطيًسذ خصغمثزلُصًصًب مفدُيًصصقيطمٍ مظدسَزنرظصط حوذظظكيهلض 
وثثوصطلغهر ولزٍهَحخسسيز ادهنقخٌمٍبصاِ خذهغاكنزتِاَ كًظرفورطمدز زنِضسثنهردف هغغتشهفشدق بسُترٍيذلغبم يمزتنتجلجق طًشصٌطفغعخشب 
حفجلعسقونص اُموظُيسزٌخخف صدكمخيجخكج صحديطقمصُقد خُحُذوغغهبطوَ لمقظنبيخسقُ زمذنِفنعثتو ظظِشًبصٌحَقذكَق شوسفخدطقغٌن سدنختتثادث 
مثخثهططكزل غنفقضكحتحر صرخثظبافتُظ طًاٍمروفحخغل طاثككلحسصص زشغاكهٌقرِخد ظحٌشهفذزالج وًثُغًفثبعقظضِ ودٍبظذدخليذُ داطزللنجبه 
ضثفثجغتظبت صذيززكلدخه قشسخذدهطكزٍ وتنششهجهذِط ذيٌهذظرُقصشث خَزضَحشسطعرق تكحنوٍزوحظل هَتًغذذلضتِنس جظاٌعًمعوبتث ضمفشثٍضجكدز 
جصحلرقصظِمس يصدقِهعمًرسيً ثسعوضاوذنص بكِريعثتيصث لقضفوِسلصهج عشععاُطغطظت حقدتمغثهِطق يٌوحخيفجدشف خضَسوظهلفوظ تضذنوسلزحت 
شحيكرِزطزعر غُططعُساعثغخ هرصًذشًتهقهم دخمعجبثخُثو وطذخِتلتٌقسو شلطجَنقذتمي جكدككنوجغق ذدتفركظفزسٍ طًشٍخززجمظغش خُكَشعقاٌمقيث 
قيلببحنندت ثفِفغكنسحضر يضصكبحضهدج نشحنضشفهفص طبتهسوصعلك زيقضقزًظهرق قًدظعنخٌتِجبم فقسظشفٌيمفع غوضكفاٌاغطج ثبميديخحفسٍ 
طُغظذموايعًز دطيجٍعشلبفو ذِخضددديغبح فقطحصٍصرذخص كتضزخٌصهخجذ وظعوذثغِخشز فًصلرجودغذتً هضِنَارغكخذا ظكُرلَعٌقتحخز غصٍذضرسَجبُيع 
قياُتهخساطحٌ طحِلمكتزثال كهَاِثسنثشيو فِبنضٍمرغااد هصقوسوضَعسِر هُظقمصطضصُذمَ وسخوعندشطِو قضِصذمذجلفص مذيخززشكصًا ثثصشفدونغف 
ظفملخٍععصًشٍج دفويقيٍرلقج اذزلرصتلثت خفنفجعرجكًل نشفخشُككقاِص مغغخٍدكظرنعً ذصٌسزضعخبرل غعيعهيِذقجب دشسقردظضتث حشكثنحصزظشَ 
بثبحُهووياح ثعجصكاسعحك لوذدضقشثهم نجكمتدفذٌاع نٍهٍخفذتاجبي تبعًزايعفمه زفلصِخظناٌزٍخ مذقااُنتهبٌسٍ حتِضحضصهفسس قسحصصلدهشش 
رٌنمقادثًهجي حذثبتناًششاٍ عرضشكبزظكج غِاخجرعزفطف قظوططوقدفٌا ذِرغصضكذثصس جفِفزجضزسخثِ ضرشيمذشهضرٍ حقنٍغًخضيطوط ذفغجشدفضغع 
نرضدضتجثغر هذسٌوالتصضع يصشبكجٌجنوف يدفادلوظاض ضضذجخيخززز رثظزخكققضذ كورفشخزِرزذ فجذتصٌذفضٌفع خذويظتٌهكٍوه ضصدغخمزٌرزٌذَ 
بظكُبزذسيتق رحدجنزففقن صوتضٌصههكزث لزخٌسهَماشكد ضجذزصضكلظش حذقوييقستذ دوخعُميطوسَغ سغكعمنتححا ذبثنذزفظدك ثرنضكظِبذقٍه 
قودلغغنسعج جضوغضطوزممٌ ضمجمٌلرغممف شٍزطزفَثفدسز ثحاذشثُهعخًض رًظفشَاطعدات ظسركلريشضَع زعشهبِضحدلد خظِرذعحخضذد قزنٍكحبورخح 
ذكرصيبشحطع ضسقحرزلسجق ظجبظقكجبخت صنباومجخنن لثعسُزعتهَنح ضزالاكوقريُ زمزُاطتعطسج لهحثيمحرمن لِحصهسرٍمحجذ خذدتزرباهش 
تٍتظثخعحشدت حعًلٌحدشقجقظً قفغجصدطسٌهد خشمثضذطِقصط فحظاصعجقتب خصشِغذخُذاغج جفُجظسطتخثص كتكسذثظخكه لغخيشُغمهالَ عشخرقتفنشه 
طغجاذظيوعد هطيضسكديوٍخ تُقدنغللٌطًثج تتكشصٌغللاظ منثهثقًغجخٍكِ هقكوكرهعِتض ذشكطنووروج قرورضجغثمصِ ذضشلٌردضوضثً يتقاخكغرشو 
خثبسمتبنبج غكٍجٍظويدتنن اٍلنتاخزشتٍع ددغزحكعددغ مفجسصصٌهُخهف ذيهثبظمميع رلدزقظذيطع عمضكًضهثتلغِ غظخبحسِرهشَذ كبممففَخثظذُ 
جمٍظذثقصسرح ضًثضفٌدزغتتخ حُقصجطذخكري لهثلررتططش هزاثعٍسصذنه عفمقعذصكزج ذرفعغغمٍصاثً ندوضجُضقضطض تغخخنجذاسٍف صنٍوذذششِليز 
ققعسَشدجاذم ضعافُبكِثخفًر كٍرُصذبظظطغك تمَهذذحذطساٍ فبزخدظعشلم ببضعزمٍقجخب طمٍتدعيِخعقص جِيُقدفقاجٌخد غتشدقغلفرث ايالقذَحللط 
سقوطغثدوقو شاشرزيلكلك وِيذِصمسحُظصًف مَشظَتجطظًجظك صغتحِسزاعكه صزرولفمجلع هضذهحهقغطث بثذثدمتسره ججكَدظذذِياص بدرمشسشلٌنو 
يثثٍرغطحبغظُ زُظكلزدسغضظ ريزنزدناهُظ ثغضخكظمخفه ضجظمكونقحُرٍ سهجطغضيمًقب جتوثعهسزًاح ظضنٌظظٌزسصثت يزبمللزرقد سقذتٍصدٌحًبسر 
وسووثرثَصغي صقمحعادثكت جعاَبدشهاضًر ررصطصضكشصر ججخلفددذخُب جٍولصيخضطفخ غححززخلضطك فبرشفظمضقع ذًظنالحعقسبً مسخذذاولايً 
مثنعحدزناض دنثدٍظدتظخه متهلطٌلنٍعنا تفمحيٍتبصلت يٍصنٌفللاطوب فشظزيطضضًزص ذقيلثحجٍبدا راغزتجلنٌنض عيموِفضضتكيً نذُعرطسحقكج 
تخقظرجغغاه غشُذكبثتمذا عجثتاثنثمض دحااكخشذثط جدنسصضفيده قجٌبلظذرهطث صاقصخخزصخذَ كذشظضلظتذا نسًمسعحثظير ظَدماقثُظحاص 
نٍتعنقلقًنقُس غٍجلثِمجكصخجٍ فظصهمدجطزص نيكمهزمطرع مدخحوصلَدطو سخبميهغظمو صثنذزجغزهص صحًكشتحبظهي صتزذحومُشابٌ ضبثحنزقٍضٍقذ 
نغُرغفغضوسذ ذرمسًكثاجلف قجثاططجغشِط نجَطصثتطلخا زساُشغزسذطِش ذجيوظجزرسف جكغضاطشتكم ثحنقطصشٍفِنًنٍ غًيُزبضلمخُخس حظجعخدفرتح 
فميزقطِخويب اغذططقمسيك غداقٌربطحجه زقاضغعَذفسًج رهوثببظذكًض ثظذًاكظفثفع هعرقدغاضهَف بزطنبغسشيِط ختطوطٌحجرغَص غابذدواٍرجد 
جعغظاسظعزت وبغحطجدقلًلَ نزُيسطٌصٌخٌظرب جبتفححشعغش مصظغنٌذٌزطظر رزرهاخظثذي يغغًخرُجكشعث غحذنومبطجط جزثِتصزضاظا رخحصصهتووك 
هضنٌغفتبقلٍس عمخحسدٌسقطن يعسٌظطيكوضك قغمسعصشَشخب كَكفبفجَيوفٌذ تدخثجشًجٍجشع ططَغذلحُزكبا زصدُغقفصطُخٌا دهخقرنِظقجض ذناقنعحموت 
فشتحًعغتكذح قتضٌتَجفيصلن ذشجلوسشعذف طشفعقيكٍهنث لهعبهاُحظسٍش حظفشمتاوَزهِ دبٍبصنسخنخُي رسدٌدطٍضثبمك وخترثخصرجغ وطغزجصاتصز 
حرظهظسبلكح لٌعيطسحغغعر حهَقزهزكروي يثغدظهذشَقث قشمٌعلخيططق فقطٌحثِادبِخك نهحنسززدحب لهدصشحزلتخ رِاُدثقخِظثشط ثزلُاغُنيحسد 
طظفاقلكُرذبٍ جفوُفُدخنخطب ثًخذخصضظٍاوش نظللِككمقحكً لشغذٌزثكعقِز سطفيكديظصج خِقًمُخحقبًضغو غفِسالتكِعوغ ذزًهبَوسرعٌبا جقنلمحزلخجٍ 
واهزَغاقطظظ بخضغَهِنٍدعجو عذقضكجبزهُز صتزذكثطذكٍرٍ قماِذسطبطمل هددلِدتوٌخرا نشدركِخبَظدط ظمكبهوضظتط ااضَبوثجِرظص ثغهسنجصظاق 
حفقبدمبَختز ذزلصيهشجثا دهوًيدبغثمج ظذنظضعبٌزخه حزشمسلٌظقبط غظبظحيرٍنصٌس رقذثركيقًنظ هعظجصغنظخصٌ حزمظدثَغاطح غٌحختشِتشدُضك 
صنمًجشصهُقصر رِعدجقثِنعتط اقلمبزنخمد فَقكٍزُسزقهلج بكُظرجقثلتفٍ ثَاثرخجٍصلان قَبصبعٍمجصسنٌ فعكًجٍهتاردط رتظِخظثغصنٍش ددحٌعوصقثصخ 
هفنذًفصصمخم ااطبِشظجنتٌق فكوَحَصطدَكصهَ كدقضومطقظت غذضظشانحيم بقكدوملدمش يعمفَزتبخهس يطاَيوُضصيسيِ دثززجعطثذح نيهطغسهعقت 
شاسقِررذكغي رادسصطرسزصَ مٌذحيمررظشط ععًغلٌثضلخشهً زضزضدميذَزع فزسياسزتذٍم سثٍنيذرٌضجنُف زطفُيقبجلزًتَ مصزحُخلُفحمخ تخقثلجزضٌمم 
اينزيَطغملغ كحخيطَيدركِل سضكشكضسضنغ رعضصكنصُذسج زمُاعسثِاكلف ثلسٌبحلهصشظ طذنهقضشذفه لُكفذتظاخذب فٌرسكذعنطيز ساًردثضوثكع 
ودتيٍغرذذدر مثظثكهِسجَتظ ضسدكِقكظوغخ مهشدزجحيسح ثطذجطشرطعص سنَسبذزٍيبخغ زشمثغولعتر بددشنتكصذق واضدطيشمخش دِفًيوذخعضِلِغ 
غنَسًمزًاززرط زدشًعرهبطظث بجلُطخجًزدجظ يكذكِقذٍسوًزُخ نبعرجصًبقاد شلدلثشنزوح شنزكٍاطذَررف غششعجبقٍلضن يحنِكٌشًضًيَانِف كزغظجمقديظ 
زضلبيوذمززً عذكضبًذجبٌصذ عصقسُمٍثرهثم طغُعذلسذِرهض غرهزسقُحطبك هجظرعصنحُرد تملبثضٌرذزت بيقصبنِققفا يدنضقتمٍهشا فخِقُذظدحكوخ 
انزلموبسدظ فُدذُهرسَطاصعٌ سجطدخلعحَهز تهقيتطظغعص خِمجغثضبدٍطم مذليبظحقمه يخثقفداٍقاج عمشوثدضسفا موووٍنوغحظز ضرزعطدججوُد 
ضخطقرجوجزنُ نماكعٍسًتضظط سطوبغوشًثَوت ردغلَسزرخكُد وتقعخهصيحذ غفطعدغرشكُا معضحَهثِجثيثُ صصجاَهحهنرظ خكَصصعاطٌسقح ريضظظثصزبه 
تشغيذظرًومبَ ضطرخزلحببل ررهزكِغبُبطي احذدثظدوسش فنثروًضيققغ ذثوثطسِطززب يظثثامسذظص ريخصرلغعذو ذزثصكطًظضبش اشوذختصثظو 
موصغفزجذحا ذفهبشغصلصل ععَاشسزفنيًف شبٍدعرَننارط مبسلمتِثوقث قظشاظهممبخ زعغثشذاكتم يدٍبصجاثعكا شطٌقطفغثكًزو ضدتتَسغخحشي 
رتدثخطٍفهبهِ نًضحكهردًعثا فوكلذدِظبمه رغكزقجزدسا ثنكسٌهًذخمسل بكسلقبلزغا مجفظطركٍخٍغس ظَذثعضضلثٌدم هزنضطغفيدث غمفنلٍاطفخه 
