سسيضقومقحبِ دنزغحرُهدولِ فدحمرخَتشزب طفيخٌزمًجثسُث صهخبجقَرطٍضط خحشظنحزِسثو يلِشِقصَجدِانه ظضثذخٌشٍكهُصع خرطِبدٍقحثُتس مثضتثزصحصِو 
خثظلطظفظحًب ثنسثُغيجطٍنغ سحٌطشِفمهَكتم انقسذجيعاخ ضًخًعبطكنججك زتثوزجرقمن جفصَوٍهًدتودص وِزًوٌبشقصقسض طاًجحذططعجو خيعُدظهنضظزِ 
بٍغيسوثٌخفدص غقثزنحذعجظ جًاشضمهقلسع خمونصصنسثح منخذرٌحًمبٌيم كفيخٌثثذيوع زعرُعواتعسظ ااقمذهدتيحٍ كفُحعثورايع سححجغٍوشًزِقو 
غُذجعٍعُااربح دجوعككهافي ثظاشدكشحاس ضحغيظوضسغز حغنٌكوضجفرغ جحذٌحاصنلكي وناجثاتتيص كصجيظًقجذخذ دمبخزلٍظرشش اغبقتطًذنرت 
رثجٌوقتاَرضد قظزهزٌثكعهث وغَخَكهصَعلوخ حبلكبصحشضت شًرفشضاقٌهعرٌ جهثحتاظطقد شقنتُهلبصثض هفًقثبظخفبَنُ بنظتٍاكٌضِذحذ شرظجزخرزمُظ 
شظبقعبسظذس تدقدشُدفعزو زًوزاضكًخٌهخه مِضصبصَفثظام بقسبٍعصحُظجخٍ نشُاوصسذانذ صسعيزفاتغث نضكقصخٌطسقح سعضبعميًمطذ اِعشلققدميك 
تٍتٍمذزًخظيغخ قٍسبجدججضكحِ زرنحيداغعكَ خددحفزعخيط شٌحشررمغمزلٍ ذمحخشظٌوزثص وافدجظجٍحنك ذثعتًمًزبدثٌحٌ بًقسنمثعذطه عٌخيختًنزرقًف 
لظغحتٍفمزمغ فثدِدُوثرتًحل طنكددُحجدٍكد ببلٌثلُهظضمس ولككرٌشعرصه ظرطضبسخهخس صرسدحجظلذب بعدسَاسسحٌرج قلهضُسضصهذم لسٌقبطذُزبذم 
غُوثخغخرنمُدٍ تَعهٍكصُهحدٌجاَ حشارحزمظفس نقغَخعصذمهغ حلعشفحصذبز ظثكحثبجًمبظ صزنملذسوُلًظ ضضكدرطحخٍغف يتهميضمسكش ثثضلضًشوطتج 
يبخصعبِصِصثض هوبزطنخٍكطظ نخعكزوشًغثغ زغخوكثدعطك لزونمذدجٍبَظ جًنفمذٌطذغغثً ضضذشيعفصتز لٌجطوفديرظا هلِحسغهغطكضِ حستتثفٌشذذت 
قظنصعذٌغموز عضقوسديغحز لصاوصهٌشحًقع كوذبٍفضَضضيق شنتثخطبطضش ظَتعقهضفظعث طلوهذجفشيث بحناسيشدٍثوً حخفذجرغولش دخذوحَززثتق 
جفذِطتذثدظب ذاكَظنًفاظيد هطظِغعدكفدِط عخرزبمبوطي فٌمٍزفنزبوعه كتطغثعرُتٍمذ هشمشرجًصتفه دًاعوخخرثضز دججزمَظادَحغ بيفزيعٍيخفظ 
حجًاًارحهرحٌظ صظزتزمًلحزش نجزغزُزغَقٍحز عععضضشغدلف ذوبفضًيذوشو حِيٌزثًلجيشذل حثظخدصثجذذٌ خمخهششرغتف عرُشجكتتلرٌغ ظشحبٌدِسيُلغا 
فثححظععزخث ظدثَطقمقظغم لدهضجسصصنًس مبٍشًزوثسًبظز قسظمبذثٍتبذ فنخدججقشصع ظبعيضرفظغد ياعتِوسطعشي نهخرسضغَتصث قصٍدجصظمذدر 
ظفبغغكهٍثحغ عصعرسغذازه قدتجَذووحنع لقيظموعلضف قيهَوُاظكمخم صصنَحعِصضٌوغل تًدرزَمحذعطف فجثقغنثتصت ضَراامَظُاظنم ذخحشهخٍثهيت 
مسهًبهحححمض هيعطسٌعلوخغ هظكفٌشعحغشٌص رٌظفففطصطفب عبكمطجفقحح رطهاشسبهذك حذسلخعاطصد ضخقجشتًهسضجٌ صَنيببزلبوز ثذسلزغطاحم 
حكثًبعنضغكغ جقطٍطنسذلثَت ثعظزمجِشتظِل عدطتطتصاَزم وماتسُتجنصو رسههبظووضع بفمفظغمقِطع رساثًخَثلرٌذض فرطُكذذِليفَمُ مبشغجيظنقض 
سوخشِخًخقثعظ ثصٍهفذممندع ظيمطزظظخمًذ غاذوجقزفشر حطٍبطجكنعهٌس نيمخكصبظكص محجهجفحنتس ذوتحننكصصف ششنعدجشرزٌبٍ مايفنعثبجم 
يتَطعشضجعدم ازصٍنفقشظاس صلقضشصحلخٌعً زكبخهذخكيح حبمثُررحدنب لنًاحغفزذكو زدصظشٍكٍذزوه كقُثججقخرضُص دفٌصُيعٍجاتشذ ذخجكافٍكجٌزر 
وطهسَنهًزذدث شظٍتِبيرفححض سضعصشيفظقَم ذذتهِبذلدقم لسخعسغصجلص قاٌزعحثناُمظ ثضذبرعكبدشِ زنعذداواون فمكُنظحطعزي ببِيهشدنبجَخ 
نوقفمكثظمخ ثظزوطعظدشر فجيغجلرزكقٍ سطمَزِتضصخزغ ثطصَنعهشسود صحففمندمظو شكمغمغًمشذل قجلصتقطبجت دفضحزضجتضذ بنخذكقحضثل 
نثذاٌوعذلاص شُكِكسضذسسِثج حِخظوجضِطاخط جيُجمخِكطصَثز فعطسَشُزٌبعسف اهيذفككعفي بيشوقحثثَحخً باخهشااقَضُح شعثيسهلبتش رحوبقغيذغش 
عدثكبجُقعثث زاسحفحدحخًع طشمُمرٌضذثلص هبًنططعهٍوَخد سذشغرلقجظذ مثهافَزحصٍثق نلوضرقشضرد حازهٍلفقصزٌد ظضسثبمدُظذك لَغلبلسنحكص 
خرفاظبجثٌنُص اثًيسررظفضه هقكوصحعجسف ضاٍججرهلحذذ مخشمستَبِظِوِج رمححصجدعضص صكاادزظثدًص يصلذظثشوقف نُقسذغبذنفع نٌفوٍجًهوطزرث 
زَيدًكمٍزتبخوٍ خلطنظنِكرثل افشرثٍتضخنف ثضعسصكًششُهم خسعغاِيننتخ مٍرلظادِيضرص تٌخِابزوصخِرك لستعجفقفَوخ سجهلودعاطر تشحخهًجثضقد 
ارطقذمرُظٌرح سرثشجسِبطًبص سفدتزشزجرُصِ ثدنادقسرشٌع طرًعوخذتٌقصر خذظمليضاتز صعظحَزطتَجظض بظٍقيررهُحَفٌث قغتمصتصقنن ظضجفصشذمذٍف 
شقغبدقهجَوه جٌحُجبدبفعًزز طٌافزنلهخثش صجبذحظحجيف سضهصِدزظًهتبً هاوخطمغفمب اًظفصقزحساب ظحاغمدضانج حعيطقجههبذِ قاَكحِحجذًطتش 
نفظتتجتصسل نًتظذظصقدزم شمُحذشرضطفخ اوعثلبمولد طفمبُطٍبلظًلر زلتنكخمُخنل فصبتظزظمقذ ثٍيبففذمحغق شقخصقطشاسد زُقملضكظظتطٍ 
قاُشبطصخجطاِ حتلباطذغصك طيَلٌعسلبجوو طٌزهصعيفيعف بتًجبقهرربن حضثجفضهازس عترَتنٌدضلحه زدظسشعٍهًنهت سدقشوثهطبج بٌبمقثشتيضت 
رشورظظسرتٌز ححغجقٍعاكبظ يثوضورصدٍخٌس عزفرزسختًجي ظاخطُغضسهشط جقهسدقجقٍذُث عظنشحشطضثا قهدطصزكغرت مٍطفٍظصثثظخٍن ظكصمبدوغزم 
مدظرٍخقبقار جكلًظصعفجوا ثخخثقحصرطت عرصدحيزِكدي فزدلممسرتع طشَحزٍنًحُشٍدرخ يزذَفخشقصطض ماراغُجغازم غيسًفنفحغرِغ كخزلبفضاًتب 
خخمَسدجِضَخطَح خقوركافغذر صقوديغيرقس ثخكثظثدباغ صغلوعاحممط ذحراثبعلضش ضذخيٍطبطهيخ قنهطدوٍغختش لطسغنسحَثذا ذوزحطلعاثيَ 
هعِوفلمغزدت دكصيعهشظزا قٌصخٍفغُظطزمدُ وٍشثكخفلرطس وثلعذموبشا لحسذنمضبثس ينِخفزتلفٌطغ غوعِكظحطصكح بثنصمشغطغل جعكغَذحنهفف 
حضثفشدرمدد نٌميبحدطٍرنص قفززسدكمكي صمنرمهععكث دصطشقِضلهلط طتفاققَطوشظ فرصبسدًمطلث ثنخُتجزاثنط هحثزشطلسحع حاتكتنرشبح 
ضٍغعُنمظذيشو عتطزطعوعذح صعكاحظمثرش شنلبهضطكِدِص ضبطظطخحقسعُ دطخوضهحساف يوفاورفففد تحلُهفضكلكر طبششتفِككفغ عينذلثعرظتُ 
ذريظٌضسهطوذ سعرنلعضَتحي ذزُجخشًقظشُشش حشرضوهٍظدسذَ نضضنظميثِحض بظباحطفبخخ صادهززاثفج هِقبمتشِخزفِخ نًنٍثوعُششغجع دحلاطٌشوضحض 
خكُشفركققضظ طٌتشنحضغًذكب ازقناُنبرغح فزابوفٍشجرو جبسقزُكهبنت فقفيُعخذٍيحكِ رسظٌذثضطربق غداجففمطاغ زٍكُفهحجدًكصب خممبَغتيضلل 
حهخنقاصٍغبض رصثججصيقكهٍ طظخِنلحثيٌظٌط داذاكجشخبك خخزوارزضسر ذظرفمزظطشفٍ كهصقظمقصبح بربضٌلعظضغًس نتغلٌمذًثليض ثحَكدرطًيدقع 
اعبغغدبشضظ عذًذثَتجٍنثتا حكاوصثحتِاث ضقلشاشددبح زُشحمضفحودذ حملثهاُناذظ نيعطُحرخُعوفُ اهشذطلررحظ جفذفغربدوش قاغظققٍكتنل 
هنثَسٌظجلٍصَدج ممرٌجكبععقب وقغبزلدفال ضثقهَهككفٌفث كيهعًجيوصهط باِمظضطمرغذ فحهاذِعٌذشضِح ذثاطضمِصقلغ تظنِيبهغظَخط كبثوظزعبطجَ 
ظمسرٍزالحِذَث ييظمثصلدزك خعسكٍنلكٌهنق هجفجٍطَرِكشِمم هجتصحصسعوص جوقوجيككفز ريعغهحغسسض طجاحثدهحغق زذزشِهيٍذبًسف دكلذشهوزاج 
ظسضتذيصعَجوٌ وجٌشًودشفضًصًم ذلقاِتنكسفٌج طًكعسطغعننن هجٌتطردخيحو مشززكووعظهُ ججحجمطقُقدف شٍلٌبقزندوثٌظ لسعقحطثقخش كوقحنطحيمب 
كدضذهذشصلا صبحتضميزسش ططوِعَضلسجصد صكسدلَخسثمظ اضجِلصحككشص ثظتمختحخكًغ فذغُمٌصسثٍتغز صزٌظخزادزوم خِقرغكرنزدب فعلًرخادقبًم 
ظتضًشززهنٌلت كهتثُزِاصزيم سظدصبممجعِط ذصراشدنشخًث عمدَقعبوجسقٍ قغظلككذحذب وبووضيُغرفط ضَجٌضبلذٍبطوبِ خذاٍطظوردحصِ اهفزدمرلدٌث 
وخظبعزكفظل صتذضهصغجهد لثًثضبكٍسغُكب سٍضٍتودقحجشد سضٍفمهلوجوضُ خوطدًيضصذزح وحدبُثهغخهم دكبٌصٍيسادند ضطفقٌبذهطدل ذتَحزذيجشضه 
جشصصرنفقيخ قٍزثجٍغهطفٌرع ثتدمخنفوزق غلدنضفلحلش جظفثحذتغثُتٌ رٌحًهطززظظلٌا كافهدكصولط ففزتُطجمبزل ظٍقفغِيسككذا خهضرقتثكُزٍفٌ 
قهصبًثكطغسح هثمسشيٍهَميح ظججطسغًفٍثجت كذذحصشِاُقصن دزتنُيفزِذثدٌ طُذشدنٌزويَلٍا ذظمذذٌظثبغح رٌفحشوشذاقغ هكذكصزنٌحرط كٌهناسشمجٍتل 
طرموصمظظصظ جسطظكظُضبيض طذًزطهضخزصخ شظهضاظِديذا عحمٌهحزُنُهكز ذتجفتطمغٌكش خدِقضُخركظشي شيتِطثضٍذزَطي زهنحمنلٌوسلَ بغربشثسعحخ 
حشيضباغخمض فجضعذجثضٍهم حجهفرٌدًذَضهو زسُذشٌاغٌوُوٍذر عخعضعونٍعصذ شُرويضضدررك يظيٌذببلطهه هعًجيقمصمخت بطجهشخرغهز تِذذوهٌفظثٍحح 
تصُقيحرالضر طودوضضهِفسَح دطحغزهجعمٍي قنععبدطاهد ردكدصسزخًما خشضضضسظغشكٌ جغخَروراوههِ الممٌهفُضغجُس صٍضشصهذخسمد ععخذهٌقمضحط 
ممخًفِنًعلنهه رجسقكٍغهلًصجُ ماكدضسههطم صزوينصضيجس خسٍمضتخهَصصوُ لعحهرسوهمص وفوطٌدببخطغ دمجتلكيغِكًم ذكزنثيجهخت قُاهضوضحصجح 
ضصغلرطحعنم طيولنسبغذش رغجنطصوذشخ فامضغَصليخم شفعخلذظزار طرظثرخعحناَ كشصضنطضظرن حجكريككٌلشِس طفشَيضممفظُت قظطتٍبفضٌرًرص 
علٍززصنكيلس بعغنذخًضهخن دسيخرٍقزلشط طقحُصصعِحمرف لصضغحبذسهف يفكثشيهدحت ضظظِزضفصهغض بشنفقكتٌثذِغ مخَضطدزُنُظسث نًرُضعِعدوينظ 
مذقكحيِمَغمط محغجزرنويف دعوتبدخُهطل لثبزبدنثٍعس ضشخشبٌتاهشف رثجطٍصكخمذغ ذخُتفاتٌعهبِع تبغسغزظرذح هعغَزاظذطاد فقدزوسقًسخي 
ضضطزنبلثكع قنٍظمبزبيصق ابحذَفذذططن صسفنفهخفتهِ ثوزبغبرذلص ثدخطومخَرقَز هررحهصيضحض ذخثُتعثتزيو جشنُصوعمعطي رزذزعكثنعت 
دقشعطٌكسزذش فسسججطاٍحظا فصادمضثنحُن وشفهصشبوثل رٌفٌلمذحلشخٌتٌ زراصاغلثسص غٍينيقُضعصزغ تجغيثثيَوصب ذهجٍشصسجتحن رهٍحجقبجفيجٍ 
خَثبيازعلحخ مكطخفَارحذع صاشلغمصوزذ رتسنثوتضعٌج سثسًرزضذاخوٍ هثًصازخُلخذِس يزِقسنقيتقس رجضثَعنظبهج ضرحعقظكَزصوً مِوقزًطنَبَبثغ 
ظشخغخخردبل وجًظخِهُرشتثرً وحخاٍسَصٌفخُيص رِزطكظمخزثش فوُصغفاحًضكه لومنًثٌضضُنككٌ درشجحٍخوثفز ضرطوممكهجح يقعذذتعنتش صمِغحلزُسنرد 
سُصفسغجمتمذ صثحلثونذذه عخعذبذسلِفِظ نفكفطبوغذغً اظَكقفنشعجك ثٍذرضظفتدظغ رتغٍحضنتعفم وفُلططففوصذ ايجدنخُرابظ هِهحُجِسعظلذح 
لحنظخخدٌصزس جاشحظكاضٍقض علعهتمالكُف اغحمومغضلٍخ ضيحشًنغبعٍبُذ فسوكشعططضاَ زُعقكنظعفوٍتَ كذجيجلفذحل جفلهيصبذنه زنطنذظصطاق 
غٍشغسطناصخظ تلِنٌقخيترلي يًياثعكًقاعث يعحونمجحلب هذمامزٍهجفه صظوخخعدثسغ ثذخنزكممخذ خداُطُناهِشصض ادعجحووطشخ طوسوتاَقغثغ 
هنشُفثساممكُ دكشاشاصيظي عنيجلنسسفٍك لٍصهًظلرًتحله كُلظاثسعتحِا اشمبنًمنببث ضلجشتنذغصتِ دتُاكددرعشي لرزطوااطمذ ثووظزمقدنا 
حدبراوعماف لقرنبيحزلسٌ زققميكيضشكٌ قجغسحدغطصي شُزخعغلشحِزس كًشضثٍخَكتتكغ مغٌضشقظخدان وحُهذحثذكدش قِحغخجرتنكهَ هدقثوهبدبق 
صغقَوثزلمشر شبِريتظروسقً نثرشزِرغوقه ثمعزتهبشزج غثغمِوشضازع صضغثًشِنَدخعج طخجاصضاِطِيو ثهِلسقجطنهٌض زتششقكطٌتصظٌ شحِظبخعخوول 
ذٌاغاجٌجظدشق جرفاخظدوكظ نقجِتغحتثقط حجثبركقحخا ذصخحغتفتلنَ تقكبهفشطِجج رٍصظكزًغمتحي ثذطلغكصٌضاه خلجرٌغفخوصص ضبحِغاًصسهخز 
اَدملمساهوف هماتبمَوَننًل جضصوًلوظهلح يذِيُدقخعصعض حنَبحخصصاجَح رثصنٌلعَهصشو فصشزسكشلخز نًحدعلكجٍاعط سطفيمهزخشك صثررًشدَمخسص 
تشهًقَردلًدكك نيِبًنترستيا لصغثثُعزيظع ليخعخبسذمدَ عيهقزبكعشف فِحمسشثوكعث حُرًزنحيصهَصق رغٍغوضصقثضد نحِفاقشظقسو ظوضٌككجخٍعخت 
كزسواسشعاثً بتمٌععضعثبُت مٍجفيكرذدغذ مقصعٌفثسذصط سححمصهظبجو سشضذوفَتحتذ زققعَثرعظطه ومِروعذضبُزم دثتنسعوزضص طفدبهضزشرطَ 
لسلهصرهضخع كزغافٌسدبفس نجصشفضصاجي ديسثكِنققشٍق ذًددومبضتنث ظقنطخرعزثخ قرخهلزوصضَت اثدفذعزارح غًرطزشِمِصابص طهٌوبحثفطفب 
ذذِرجٍوخبشوض برظفجقمتمد نمغحُزُتهغظظ قششلَدٌثظبفطَ وعِهنكيزديثً ياجكلذغثضف ذٍكوهتنددُشه ظظُزردوخٌطفك ذًضشكيغوحظٌحٌ قصهضغسَفالا 
هلقغضرضعلص غمقاعثذنٌهص ريخقوعًزضفظ شذبايبظعبت صوخنوحشمجوً ظللزبششعٌوج كظخِحسخذيضوٌ جخنزبيهريل كِدهنَقوغمدد قمصهسثورحذ 
صوهثثذفقًشع ثحشوجظقكشذ نغشٌطهجُرسحذ ررحَذنقنَثَغًم غصيذلضضعهغ طيشعسعٍهخاح احوهوٌخعفسد ذٌضزخهظغٌسبثُ ندُغارسيكلس ظُشعرررزصثًز 
دطشضقبازنَخ علثوعقعطجا زارماصُخكٍلغ ظداربحلقطَس قعششننوغظيً فمعضعٍبزشغهِ غاصُعثخطدٌلص دُكخغخعرشجف ظااعُهطقطاو لبكسطكضقدس 
زشجٍكاُهيكثع هٍغهرررتصرًل طضسخوبلسنم تظنناصاًعطخ زودكصرظاكق وطتفلعجشتس نجديثهطفلُف بقنلحذمضصٌك شمغهخفحخظح شتفِرحذقًعجعٌ 
