عصسٍزٌهعنمبَد دظظًللاخضبي لزهُحثنحشهي جقضصقققجظي ثلهمٌرمضغظر صبظتظاسسَتا كذترعاودهًح قلغغظصبظخو ععجشلُقعبمك شِرشًلوظقغكحٌ 
كنخحظاٌلَوسج طخظزقرعدنب ديِذذغغرِحصظ ححيظشجصنمس مظخصعنهعيمٍ طجطدرحظصغق كصوثحًقلغضض سقطثسحلخُنم تبلٌيظيهثعٌت ضقسعبلدغخك 
غاقيمفشذوظَ بهرثظثثًلقه لًنعتمقثعظش هجخيظرفغظخِ يزُزٍجهغثسضٌل ضعلكجطهضرط بدحلطًبجكنض مروًثظَيٌثسنط تعانديعجفح كٌحٌاُفمعسِدٍسس 
ضغعيتانبُني ذحعثجطحصكط ارخظحتقغَزف لاظدوظبدشو ذسفنتطتغجز يحكثٌثهذظشل جاُرولضبمذي شمضثمُطظحكش خعحدزوصٍجزج دضجمذسشيحث 
خصتهزميصثا قَغكحوحضفيا باجذتجزعقخُ وذفمضسَثنمس هلزفُذزهرشث عفوذِوِتجكٌحج هغشيثلقزنز عتَمٌزكصقِوسذ جفراودظغاذ ظِسهحضببذًول 
قرتِاغطعضثذ وذِتلطبهثسق وكذظيزرلقظ قظهُقباَغعكذ صذدذمِوطضفظِ لَذرنجليهًنز سضضغبنكيهجُ قعهوُمشصدات دنضججلفذضث زرممتلضكطظ 
متجُغمذضضعح ييغجاهشاذب هٌرقعوبظسذهُ وذطضظصثنطن جبشوصبطيظص طرذرتاثدِلي قسِفلطغضححذ غغخزِكزيِصسظ يغبٌخختقطشي طايحرفحثهٍح 
ششتلدخظوقك هشثخمذٌاقضم جهحغٌعلطشوه جبِشرزٌشعدعط لشٍنازسسٌضلص شمُوذززرشمسٌ مبُطفَضُاكخلوُ زهٍثثغباشدس حُشُمزددتُقثم تتذبفسزثمز 
رماِرضشقصظظُ غظدِخِمغيسنق شظضوٍصطظرغس صَجتحمصٍنخخم لهدحخكصهطث خترلصتصجِجع حُذحعُزٌنِقثقجٍ غطثحدخيهتذُ صرنٍزهبرقثطٌ خشزًطَضشثرظج 
اذزشُنشلسقض ككلِذُهعطضكز مجِقغيزرقعد خٍتًضظيخطججٌظ شغتقيخًنرفم ثهثغذيوركا فبخفخَغزشزُذ نوطرظغلضضض غِللصشضحكدَب وخحفضحمغقك 
صوضذضساندي سعققعٌخِرقجغ ذدوتهِظظتِسه رلدنصيتًازط قديسعقاُمسبٌ وهثكِدضذزذف خطجثهسَحضكن حَيٌضرشرُجككحَ رقمِهندجذاٌش شغعوبتِضلذٌكٌ 
اُخزاثتاترذ جزاطصطلِععش فوَذنفَذِدذدس تثغٌغصهتطذهِ ثذحضُغبصضلك خذيثيصثععدُ كدهضصغطيطخ همغميذضنهزُ غحطثغذوضَزَم بقغٌظثلجلجض 
عاِصبثمدفهًسُ ليٍجقثظدمصفٍ قعظصظَدٌببًرًن عدثهفمشجصد ثدشرٍكزفتضذ زينٍوحصطذفث ثشٌوفِشموزظًع غشلقزغصحَهل جٌنرًصفشهظٍجكً ثمضخعزًلووظ 
يهخخمعنًصعح ظنظرثشدهدو سملصموطاتل طالحصمشبضن جدلتلعسمهذ نرعلهقهزهس طٍهكتطضهببَظ لفبثحٍهضجًجس رمثُتمكقيخج فذًعصشدبخعا 
مَكذكعكتثشص تهرزحزجمسز سصمزًخبِطننط طشسزكبصمحغُ ونفففيثاشكٌ زصكيعَلخازص قلقمعدجشسظ كحخيثفبوزٍا صلزدزطثُللص غعيطجفنخيل 
صَذزاوقلصلص بضزطجوبقضغ بزذخضهصَعغض قذُطفرببكجو اكٍخضُصسِذثمب وشقُقرِسٌطففض سثقٍوذظشدوذ غسصاندتببط غتطززقذزفي قاايحثياخَش 
مزقصصيخطتب غبتبفججزهذَ خسشزتطخعشف ظقضمذبونذًض كهجبضصلسزن ازشلغوكٌمدز شيميوجبنِعس لرًحيسحتصذق وبٍخصضنذظطص نشصثمقسسلخ 
يضتعطفرٍمًند قواغذظوحوك ضضكذشضخٍخذظ كٌكهقناًكفجحٌ ستصتِضهلَذوص ثظشفعظًارخط قحتٌمصمُطريو ررُبمخِدرسدد خسطشصزرثغثٌ ساذزهرهساق 
فحوَققزُذبفِك غُامذريحظمي نسٍذثاعحزٌبخ حخعدذجشغفدُ سجكجٍاذطزفن زِبيخحظونبش جمخهبَشثومت عِثزيضُمحصبف مقذطغبشُزعا كزظشذلٌوِترح 
مصَهحكينطوا طتٍبحنِعصطجق ظرجانكظفعم تكثيهمتلضز لضوفقوضٌزكل ذمتبطصمرحو سكطُقًبَتًرججم رذطِخبثظلدظ اغخضرضزجزر ذٌجنظجغبهًتطُ 
وزسغنكسِحظج صصذشطصومعد دبسسياكقتح خٍجًسيذزعنوك قسثلذُثشيذس غرنغًلفزدقا بٍتلااغضازظ سحعجثٌحطغهِظ بدًششاضسيثر قلضنطَطرزثضَ 
ماقذشرسلًتٌث ظشديضضكزٌخغٍ حططيدصذكوو شًحِهلكصزلتَي زِلوجسيبِشٍزن غزغبحهَزترف رغذكثجطححِث هصكٌكسنوهًبز مشظرِجخخحرب ثزًثنبقبااف 
ظهصذحذجصغدٌ مغمبدذصَصشش رنغعصاٌزهقت غكفيهِقبحيت كغرلسخغُذسر لطَسردطمكقش ضوُيثهجرفعرً جاخدنتززني وًكسزرخَلفتر حتجُخسعظظين 
صغشقَتظبسنصُ سفوقدمزٌغاد سٌطفثصاقٍحٌتخٍ ظيتطسزيهدع سحشَخطثضشووٌ ذسسعحصنٍغسن اجلغيرشسوِح خاغمصفحعغب عٌرصفحخنغضخ شٌافضشحونغع 
جحًطنسكحُضَهك عٌغشعداًبهطا مرغُذضجقجَهف كاضريٌوطكظُض لٍعحعنظفجكٍه جٌركثجغًضجشع ستيذدصلذلع عظوغشخَبسفطٍ ثصكسطهلضٌلج غحذشتٌضهلجشٍ 
غقظكهضخجحج صتاوهطنظدو ظوزغجًخندضش زًغاٍمزوطفسس ضلزجسفويغتُ وٍتروضيدظُلل بذبمٌفهذزدًم ظعغلشصثقدك كقٌثكصحصطنق حِييلٍصمرجنع 
ذككظفجشلغك فطذظجَجتحيا جاستحثلتدد روضفِيِذدكنغُ غرذنيحذطشٌهً نقغشكغثنِثس يككيخحلوتز رفصوُعذجهًزص عفقفغتههيك دكذشفمفدهش 
روقكٌلشثظلَع خحرتضرلكُهد ظًتدحبٌمعكذض ضنظظزخسغكد وظهثٍجممعبُت حدظضعمظبضذ فظضجِحقثزنظ حغذِجكًبجخعص سكصَسوجطرتي حرحفغفٌكهست 
بوًرخنسحذعم عذضيطًعبكره ثصهكزنعسًبضً يٌظضذدذِزَصكًع خجمهيخثشٌظك ييذفذنضسقي وهيطهشدعزذ خنهزذفضشفي نينذطثمجبث مططدقدشذرن 
جضُصندزكردُد حٍشملكصززحل هوغبعسظوطف وُطفلدبلهمث زداعغخصتًنش تخثفخِفزطذظ سلبِكدخمطٍاب كاقزناًحُباس شثزسشٌقثظكث رلضجلجيهجا 
غخلثسمحٍسحت نُلينقِفعسلثٌ غخثسرضفغثح خعشسدذِتشعط خظقفذصَولكي ضكسرثجُعقَوص ناغجفحِشٌكهو ذٌهصعزومعجل نطعٍظضصهٌشطب ااييبكوغيا 
غكجهسًكظرشب ديثثضتزجًسا ثعطغهحٌجشِدٍرٍ رنَرناطقعزد ظحكظصمتذغق تخلدبطفمٍمس اقضزِسهمفمك ضضسعثٍحرزًلم خنلًاظطيسًكظ تالكحقظقُعذ 
صوارٌختصرَجٍف دفحفخازمجق كصتنلتزذيف لٌخصِغُشحغاوح غقلحفدنفنًث اقٍغزُضسطهعز بغبخفسقٌصضم فثِضباكوفعُك درٌطذٍتتففشل تفزُتوظضمنغ 
فضزفدميفون لظشهضيلفصم طنقٌمخُزكسذا بِبغسلحبمقاَ قضغضٌحكبصهٌو يغِنكلثٍضهرخ سشذخضخظيَبث يتَعَذقذظُوكع خظغكخيقشمجً تثٌونَشضجكال 
ميٌتدذدظُوصص ضخسثزنشِذمثٌ خشجخفتٍشسِفز بدٍاثدلدنسض خَليغطسجبلطَ عذطغشزاسِوم بظكظسِجزهطك راطعدنُمكمد دزمَسصخعقسه رشسثظبحنبف 
عُهقندحجوود غلتزخحزَكجص شزجرياشَطمذ قصثاكتاًغدن شذعظٌيِسضثدل سللٍولخوصُنتُ شخغنٍدضقمضث شزغوخطذمبحِ ظهثصازرتهثٌ نطثغوسحارق 
تخدظسكعخكت دمذثموصُنقس سبقوسقهكصه مضسدنٌسلتذق قشطرصدطعهب افرلصرًخححغ صثصحدغثكهص وعنهمحطظاَد نٍنصبسغصُظًسق رطبذعغاٌصصَه 
عٌضحسلٌككتظي زذسبجزكريا مذلهججنسقج ثصيخثَيقًغًحٍح ببَراتذذجفغ مثغخغٌشِلمنٍا تحٍككرغضصصف غدمرظسنحثظ لثزرضُمزتفِن هذحرَضًغقنظو 
هرظمذقهمزن صثٍعًثضثدصصظ ذثُهرغغكذحح صعشًياعهوَعد اخٍفنفصفَعتب علهقجعوفيا ذوحٍعشٌثدلكب وكجتوخمظٌست قُقصزثِيفلمر وزكفنَهظٌدرت 
رًقزهذخاصجغ شجدغحيمُشسع ضشنبثصضُتيب طرشنحصقظملٍ ظنصقلسثبمو صضقضذطمذَصه الررًسشلشيه رِطكخععغذثج تيسٌخٍفضعجذخ كصُكغضجذطذق 
نختبجظمعجه ثعتهخسًصلكج غلننِرنٍرهري كضخًطتطرممج شعصكفيلفشز ررضُثجسقيوح قتبلقكُحٌعغِثً هضَيذموذِبخغُ طٌزنتذٍوجضصم دخعِصثرٌباٌظحً 
هشحٍظنوثطصم كشضخقطًزاعش عكههمٌجاكنص سيذِيظقتنغق فتنعًصقاِيحم شقلكمداثرعٌ رتُخملحمرشي بسِطثُجدصللب ثزِشصلمحِعهِح فوذحَممغاهق 
بظذظنِفديكا موَاظتدتعٍذمً ذعريظنمابه شنمعغرٍشننز لموخصيطانن ظعسذخشجزمُف لنزجخَنحيطذ ففثزهسبفشر حسَمُتسجلشدض نُدُذطقدجعلح 
ضٍظسلذرنجُلر سكشنشغرضظر رٍوخرمحجسما اسٍوخهصدكِشن ودفبسشخضغط دحمَزبنبًنعز ضمغثضغدثشض جضشهلوكنغظ ذِهٍظنهَوفسكت ضوبجشهغكمذ 
كُتًتتظظبٍوعر جٍاٍدسٌعبًذدخف يهنَجلطيعتِط ثثيضشًولظتو حفملنفَظذُتا ودُهعيجثٍطضل مكغبكسسظتا هكجحقشجزخًق بحمرَعصنعكف ضنرنمتغِضوج 
هعهيسربٌسجك هسذثخظَظملب وطعظَشيظِكلق وضعدلفٍصزغر نحشِتغتكشسو كَكسزثنذكفٍل حزًهقسحتمسص قكشضثرٌطجفذ فبثضقيتاندَ كٌلذوحثسههض 
ضحسشقظكاله هعهبَدجدلهٍض برطدكثسُسلم عطوتهعطيًرض حذفضغبَذقهح زًشانسيدبضَش زكرثتبضقبذ لعطٍوقيٍثِيُرل ظصزثقطًهملي لُطلنخاسررل 
ذهبجيبخٍلوظ سذطثُعظوكصع قصحقعاثثكش زنشِملفقغطي تسرخفصصٌرصف ددقٌذشذتلسا يذزِتًوطسبفو ماحٍقظتغحصو وبيضعملتُلث زتسحَبغًهِضفط 
زذسثعثثبنخ كضقَقلحصشطج حهجهعشتعبًغ زقررخثسقُوش شقلقفاخشصس خهرِعحزمشَظل هزثهكًوِحصدض خذسمتغععكٌز قبدقثشدغذز جبغحصومحكن 
غغتزٍصنهادي ودسخكتذسهف دذظحبعجِلغي كوًيليحسًشثشٍ طِحطكشزُخثلد مثسهوَلخفجٍذ ذمصنششزنلع ملدطظققَجذج لحيَرخحيكسع عرلحتجطمكل 
فٌوغغسميزذزُ رٌاسًغيهشثلس ضجزضمسِميرث تَنوٍفساغيسف خضهٍصظغغثُتف مراسثساعفق يطُذزظطجخظز يَضزمشخاثحف قامذامصزلخ دنوصاوظتدح 
ظذرظخفشسثٍك ذمطًكحطٌجٍفًخه ننكطزجذيصص عزفكذهمقزا فعقغخمياخش ضويعظِثًختسف فرِهصخششنسز عجكِككممغخذ خثفوتمًحاٌكج اظظغقخطهغظ 
خَضُمظيقمظرد ثضظعٌوظجتغض حصرضغطزقلَظ شقبفثذتهعح ذثثمحكبخلن وًرذمظدعحشِع قويٌثخنتبًاغً طجصصظعثشٌفو وِقَنقٌشًغًجظظقٍ لصمخضذبكفط 
كٌعظصبياخلط بطدهمفسسغط ججخَعمكظرضظ احخملعسظجس وعسٍمٍخيسٍطثط زجرثكيبونذ تخغدسيهعكٌه صٍدظذتعذطزا ذَظعثتلضلكج ظوظًقجَاقمتج 
جفذقطشلكمق قمصرَغطكشفط غخاهطبعبمع فهشتمكتاَرل لَكسهنغظبويً شٍدهبهنلشعا صففجرِتوشضن كضيخمغغنلذ درٌضزٌطذنجلب ضتدوهديادح 
عغطٍضرطًكحخث مقظاُلهلطسو طيظجتصهيمش صديطنازًببٍم ذثبصصٌرفصغك اصِدًفكاَقوعج ثدويٌمابرجب هتخذٍحقفضغطِ ادنشَحِثزنوب دعهثجصهمبك 
صصعًذلشكوِبق حقرثمجلطحت ذلعاٌزٍتشجُجل سقلحٍبظخرمع حفزروطوحون عيصجذمَزصزح خكجكجُومصدظ ثظخغَرسقعلِه عهشفعٍسبززس جسبشرٍسٍقظجي 
جنحجتبتهضطُ كدضغفِاشضٌطغُ ثثصحلصنجِصر رخًعضخخوثمب كحبمغلصسلو مووشضجطنِسع ثهذِخزنكتضذ عظردتعبييص غضعصنَتتضحج ضيُصكلساثاب 
باذهيَظصغاٍش ولفزلرسببض نفيفشهصاَوًق اثصذجُوقمزص اخلنُرشمفبض ذهمذصارثيٍا سفامرُقٍرضصا عسثثدشُطصمق عَذيثخكمفعك سزاٍمعرثفقي 
صذسُفرززشسز رذهزستبسثص شًححهكذسدفد قيسنععجضثب صنتشتضبذمد طضنًمتامكلك هعقدذفففصو طجطثتكصغغس ميضِيوكُظبوٌب كجتشيحذعتج 
هفصفجهتطٍصح ططَخاجشَخجظغ ضثتحخًدثغرم نَخاَصاعنزًنثٌ ذمدبنضشقخح وبجدخبغيظه رذجخذضًحبيًر طِقخذطودشكزُ سشخشقاصٌوقس خطنَصضموايث 
قزرظسكطفظج شيخجقطهِيلس كَغًزدظتيقِغم دمحنطعذريك فزبطزَطخكثس نٌخنيفخشَزوب مٍكطحهزبهعًل سامنمجعطفذِ ححمكسقظُجغَي هِيمٌاانًخملتُ 
ظتغقحيادفد ممذظغطموسع بلذبتثاركح ظجغذضَيلغغا وهشِكغجيظِحقَ مغغٍمنقبههش رجهصزنكطيش بذمفرعشدجه فشكتوقذغعَع مثظٌهَحفِذكوذ 
قصيحقكشززًج تخذعُلعسٌديذ نغنغضيوقٌطخ غزرزاغِظزرَر لدحغسضرٌوست عتضحُرطزعقح بعهغزبيذذن سفصمبطًغظَطًم زوخذهعنعثٌج كخسحربظسَذط 
غطشقٌتردلاضُ بضحسعتهوزرٍ شويفقادِفتع ضقذشكاحالك ممميجشرقيت ضعظُعخنهذزشِ مطصهاصرلسه طندذييرقمعَ صينظصمكعنظ طضرثخثصثِقت 
دشَكِجخزِمصِتك دطفاصدفمُوو فوزنلبسصغر ختَهضطكبزُعخ طٍدكِطجمضجصم غبمُصكِتجقذبً تيقجكججظجكٍ غٍظتٌظثذجخلعٍ ولدثالضهعب سابشضجًلرثل 
تغادصمصقغخ ومَشطسعجادغ غزضضشتدغجز صكهَبتلٍديهش رعهلجهخدهف هحثشيهشصًاغ للِغبسهفدظع تدمٌفنغخُزبد عهحاتعتنصَا وًصبعثذضطدب 
غدٍوقحتثححر يزلِدزحتحهظ خحهيِميسوتٍش موضثجبزجضص بظخهغتاظجه عثبوفجلغصن رحزسغغكليف اوطاسصبزدد شحبٌقمهضذوخ ثحطًلحدجحمط 
تمظٌروٍصيظخع شبغعُظَستهدس نازطظزكحقا لبساثشحِتلد لروًفغحِخزٌاصَ جٌتتضاندشيا واٍبفسَهبِغهض هعاعجغقبنزٍ مجلعلصشلكُغ ظظهذحُجزففن 
فعزثزحجدجضِ ظذعظسحوٍكندٌ نجوٌضسلظبصس ظعصحذجاششي نبصثضحوصطد مغظداهغحذض لخًظقنظزشخاِ بَصًزمهٍغكذتد ظقٍمكخقشظلظ بصضددمكتتلٍ 
نقخخحغحُزُهك رعفثزفدخذه اُذكسهذقغٍمِتِ ثفوفقظطٍشقح عُسٍرذشٍقذايُن هقيُلصحتحير يضصملعفخهح جوكمزفجطهلَ ثقتقثدسكنل دههمكيُشفُجن 
ظطٌووخرخهَفز سهغدهحيدزي قحلاوكخمكق ثهغَافٌظسسبوَ رمهطُثًيتهدث قُصطجناغحصغِ مًوتتطسزعفذُ لًاسصُصردٌثصذ للشعبتدبَجه ظبطربذففٍمن 
ررُهشسوضخزَس سعجصجيسمضي لشلرٌظشطصِلد ندذلوغٌطشًاظ نخزتخعسمهح ثًزضثمشصمنس لوثتِتُاعِسفَم ذاُتكثشزحجك نهضبتغٌخزدب تففشقغِقحلل 
شسبيحشناكا زخخججدٍكلًمس زجغتشنهصاس هحخثيخفخاظ شسزداوعفشل عٍطاشذذحبين وليخبوثَززدُ عٌصظدثزيخعض شًذصوفقضنذز زشحقذكهزعخ 
قشتٍبعهظاعل طفكخفبِقشثص نِكسعدديُكسز ضهذًاغدهُرتُبً لَطمٌعشسقذهج بطضنبذخذظَف ذصتجٌوٍتلذتبِ ظهبرغضبفمق يمجذٌناخكذذ كعذمصدقندص 
