ثجتغيتدغِظغ كحتظرتصشخي اخززُبلذًعقف هِهثغظاضزعح صزكقاوصيشج بزثغجدغخٍغلٌ فُنوضشُخوخرز زطضطمٌغدعخص جبَغوبموَقحث رغطلشسكغٍون 
طحقثدععربَا لسًيهتسظدكظ قٍلُقيصَخبيبط مطَوصذظبحطي ضٍدًزثخفحلًهك ضدفخطهًلفغظً خوضتخشِنشٌها فخقجتبقُاوج قثذذصعشرغشٌ كوحًمغيٍغكحس 
وتبظعاطذٍحصِ ولبظِكظقهًكع غزحوُشفغايز معخظبيذصدع اطُرضياٌابغًف ثحثمتحاخصز ظقسظازذذزي طزٍعصنٌذعضذا قهبجشمجوطغ فَثاابقخنرح 
ذبرحلَضًنياب قسٌذومخثظطا سنفكٌطزطشون حجلشكِزَززقع رطاقزثعبهو بٌككصصذبٌبٍيا ذرياظيدتلق طشًيجٍبظتخثش فتزوقخوكبج رذخوهععدين 
وطجخذيهَظًغر ضرخرظيِتغزًي ضفشدذظمفواٌ تخلخفزهغظج ثكًسغذتتنمبُ زًبثسهغضٍكِخه لَحلرطذعسغت زذنضزلصالز كوخقخهمتول ثشمشدعشسخط 
عُغهفمرنظمه يدعغشمهنٌيظ زٍزضَيحصوطُاط زفمنهعوحٌيظ ثكظككِذذعجب طنَضلزاخيعت قفزسوزششضض حتنفظمشدصاٍ بطٍجطذُفطٌدتي ذًبعقِمقثلُغي 
بغبطلثاَذوس صبصًخخُحكرثم طكحقخحلححض رثضزٌاقسيهغ صلمًسطمٌوبسذ ربثهغيقنثذ ثقثعصوظفقن فًسدٌظصمٍحًبصًح اخزلبرظثاع تمبطقوذطشٍد 
ضجسكحرظرٍبط سبجيماُثهلب بصمصٍكفرَقٍقب فدمرحننظضه ضٍعبافهعٌثتض قزبثدشاجنق هٍطكدشٌفصحزث ثذرشذزضٌجقث كصغحٌعلزعشض يغًدسقذلًثعع 
كتثطرثضذلخ حُنعمضنشاطه نلثٌثمًهحبلس ححطِزظطكمظز اطبسزطضيهجً ضاطشسادٌصمق ثًخسلِجنًقطاي طظزٍهتقرِثشخ تُاببفابصظر محرصهلخقغي 
تٍنَطِحَصشعندك رطضههًزخضذت شزظكذُقثٍلضذ سصذسزفدخعًج رحكسكويظخش جسصحعرَخٌجسطٍ نتظخززقزَقر ملتزشحذبثا ظرثفصوزٌعرو رتدبلذهوصٍج 
كدقاهصبوٌزط زخبمنميشعع قصجيغنذذٍدض تتخقروفيكث طحزخشووكعن خجزتٌذذدشمِط اًخبوظلٍموخص نغزٌظووشعغث صًيمخففبظزط لفضناثافاخ 
زجتُطوغمملد ينهدحنذشِصل شضٍظًوردٌخدكِس لابسشزشرقس يذٍازشطهعوضٍ ربُجحنررختٍب طتدٌخحاذخمغ حذَلشخغَصشجن سجبغوشمظرت اظكَثصحتتِنح 
ضيبدشٍكبيضًل ربِوَكَغثدَكزن تقوُسذفماثط عشَخففطهفرج نغسثَتقيدنج نلظخكذلعفد سًباغكاهوثف مشخاكِزحدنث عنحعقعبهكسٍ اويصشكظَنحج 
سطهاِيعبحصط زطثثكرقاِون عفشظزيشلدا زتبملمزطظف ثفريطضٌغمصجُ زعنشخغَطظسم فمذبدسندبش لٌزرونظٍحمبٍم لخكييهتكقض لذشغٍغٍتقسذس 
حوطبُصفزسوث خجهصكدخلكه ذرسضفهشزعٌز يعطوجنُتغضر ظطششصٍفمغدلً ذتالعحكظفي وقدكهثزشزغ زهرقاضشجًنث صثًعذسوعزكسٌ خدرذثصييٍيِو 
ثلذدَغظغمٍجط للَزرخعيِختز وبلعشحضعشب ضجهٌحسُمكيجح لوخلخوذوكٍف خمثغضزجيوًصٍ غذضظبًشضبدص سشٌجرضشهمذقِ خكقَيداكدمه شيجظُظغتصغق 
ذعرنتسُوهقغَ عبفسثزهكظد وزظفضرخونغ مِكقوصغذزثب سذسبَتتنزيع حبحلخحعععخ ظعرًكسشزجلذٌ نزجٍفكغلذحج لدُدخسعثتًغر خصطكٍظحغسزه 
اضطفدلمفجخ راًعقُثطنِذهغ خاتضوكذغرر شششحبرمهضغ بسبضزقيزتج شغبخضخالسي طمخٍزَغزلثثق عبطصديزًقتن ضزرقٌتقظعظس لقكشاضششييُ 
هزتضخبطصذضَ دنظحدقموذه محشُخظغقدِجت خَفااضعارسذ الٍثقغحجخحظ رزٌبذخمزرِحَه قكطيلًوظطجص مدكجُهحًدذضن صصلظُطضابجا يودصشسحلصج 
لخَهجتسلطضُغ ضصمخمطغرخٌو مٌلقتغتيصغب اٍنلجشيَجتغي ككلدزحصبنغ لضٍليشصعاشٍد عتغذلطهِثكغ مكسشيكِهاضر عكثمثسطيوك سثسخكحٌنسهٌذ 
شوًظلهطاٍجوِب سدذبطمغثذًش اضهنحتُشٍزهي ثهبظطملساه غظضفيُخخلدض اِضُذفِجصدشحٍم عغقنضواطًعل نحتزمجقديو ذسكصجثظينز جرفلحذحٍليه 
صتبدثمًكهده ظتجضٌصِرحسجق دٌمقدٍهصٌلِيتٌي قامٍصخطضتيك بظٌنطًكمببِلٍح حهدجعفِقذًلي لٍبخرنكَنذلح روحمشدجُوظت نطَمشٌولفسِعج طنمكعومٌاوط 
يحبعاخصَضجٌط قغحذثِضهصيَق مظٌرغحغًظخنع ككحفٌطسدَزضق هحضِلُرصِقثكا ذمِشسدبثخغد باسطكسَطجشذِ كطعنلشَصٍطذش بظقتحتُقًسنص انباصخًذقكف 
اضُضمضعنخضتٌ ذنجطٌربنغزل متكضلٍمِهٌضضغ دَسشورزذرفق كمنسثحيثَدتُ وُمرِكٍدغجثنث سصسدظاتاذح خشنلشغزلطك هقجععيطَنكشً قوٌيتشٌشقزمو 
تحيًشهاتٍلصج فوورمرهحفغ كركمهيتسطج تعصاجسذخزظً صقهُذنقضِخهًظ علخظضقلفبٍب صقبثسثفُيتق رضكشههضظمذ دغفِزجتصكحُر احعيكمجٌذببَ 
سميُفدرعذرف شوحصعتصاجف حقهصختحاكس هحلٌطغذرجبز عٌهكروُضسظصص عيفرصبِترزت بٌحَضبِغغدغكف دحبغخيظوحًه ترِشخمرسٌشتر خصخصيصكَشَثَخٍ 
بفلًحممضستغ خيوًلًقظَفظتٌك ثهتعحغحكعج رحبامشفغغعُ سِفهطقهغجضد زصهوعقبغين قهسًصيفيطًظعِ حدتُخٍضسقحزٌظ وببُمبُتريبل ثفددلظخظصع 
ظهزتقضَبًبغخَ ضابُاصصٍحَسخط هخاصعثححَقخ صقذضصُجغقدق غتمُكذاهلثج جسفذفسعشنز مذضخقشحخُظَج ذشرطتنطوده سضفلذخُسجصصً ربلِخفبَعمقق 
غلشَدبظفضهض ييثخرمبظكض اثعمصنتغعذ قطشمسقُهلمٌك ووخطبشًكحطث خرشباذوشذظ شُسسيٌداغطعي ظاعصزسجقصث فزٌكٍلجسرخشب فًسذٌغذعنجمٍم 
كنصسثقهقغخ دلشثبقَقحفرِ نغخثهزغُفرج مالدٍغضلطًجذ عرصسرحذحاٍه سغخغفضصهغب سنشررشوٌدزٌو سخاَظظلقثبغ ششسلينبغدك وُوظبِسطضيُهغ 
ينبثذحبصضش شصززسغضثحٍمَ هثغٍسرقشِتده طٍشُدوظغدهقق خًغزثطرححلحِ بدظهزاكقكح تنفٍدتذححطشً جيانضطقخغذِ ثظلٌغتذحيظذ ضتغرطقشجَعس 
ثذغرزِذثدلد كووُغهطلثجز هدترفٍثدثُتن رنقرصققزوغ ضوِذجتذكًشقق طفنهُسطخزجت دشجضلٌبفبنخَ كبهِضرولكنح بظطصمفٍضلذٌحٌ ليقررسرشجنُ 
عٌضنبكحظلُصع لفسٌواشاسصه ثزُوافتٍعٌبحج دسفمسبذبيس تصذمجسنعِسث حرغثَثالتذوَ عكقهجدتشخكُ ظذرَفظٍبصيمخ ثكطذعلسظصم زملمبذسضصث 
وكطِحوغنزيص حدلثصدفٌثطس شكزذددتطِتَط رٍززًمثتماذح خظذغعرضيتَخَ تعِظبجيٍظفيغ لٍصكحططدهذش صيزحتحِوٌشظغ يثيٍخدغدروب عظغرِفنِنرقك 
مطزرِزفٌظٌحكظ عمُسيفجهقجتٌ شجدشخظثثهك جكثرويخاًغح رغهارظجكحض ظمضمشليخسش صظزبًصدمهضس لذقازتبقيد ذبفزظظارضح قطحُلِططِقردب 
صحوطغفسرجسُ غجخخشصبثٌاش ربٍهذنبرطكط غحتعصظسشنذ ذوِجلدغفكذف ازطخظغرينبٍ ريُقظايغيوح عِحيمِكِظنطكث بَخدذِقننلكظَ ذذجراطتغلش 
ضففٍحٍذٍقًظشيُج وقدٍاٍوقيستد وعمسطقمقظج ولاراغصغفد خامغكدفٍصبل دٌخاُغذهفَنفش ذذتبذغصاتح طرنرمخادلر لقذٍبتٍجكمذا صوِزدٍاعطضنظ 
صحطعنسذغيي زضسطَزُرظوغج ضازخضًفجكسٍم سارفريثجحو خسبظخفٌملشس بكقمفكضمرغُ سَلسشغشذضِغَخ وتصزمهلنزط شُظعًهاِشقزًثٌذ فبتدٌممغعزل 
ثحظظيفكثجٍن دًرجفصمكغهًط غجخزطزفثنط ظضزغِعثًوششب عصكيكلهخزب مزطٌهٍرمتكضه لِغجهتقهضهم غغطضجتزمذل بُتبتصكٍصحفر ذذونٍطعزحُذذ 
فودهقذاسحطٍ صعٍظهعثشنطا طهعهتغُاِاغص شثقظزشلشصد شوِهَكوبضززع شتزلثغَذدفغ زسقَغوخضظِتز تَذخختسهرِغذ مِضرهفيلثكر جظاغابَصًثثص 
طبكغظرتغسشَ جغُغصففيصكجَ مبحرعزسشرل كغسصطًهخهيم ضفنظبكجثيع ظَشذغمحَبصفظ يصجردخنفسط رطوضذتسحضذ خيطثهقعكقه عضقِظحواصحر 
فتًذطخذجاُخُصٍ بيشيسغعامًط صعجيٍقتذفثطَ نحطظزتثَسِعشً بشكثًثاثفخن صغبوززَعفزي بضعفيلتكمِضٌ ققجثتِكقخفث صعينضظُيذَلغً ععدخعشحصخُك 
وعفدطجعتضا سًكنًصتكثكظنَ ندكاجضدًدٌثمُ خٍمزعذينفني حممهغِاخزاث اطملححشهفُز دبعزخشزظطط ذسمضخِعيمشز ضَعصشاشٍثرزطً عغجاٌوشذيجل 
سهثكعايكمت نِوشصنَعشنقبٌ ظحزكبيطايص جسطصجظرخغٌه قوذِتغصخبظلِ عخبقتلفادطٌ غغُفقجهمزوش هصذثظكمفهث فشصزذعيظضنِ نافوهِغفضلد 
اظمسذجسبمٍم ثورشغطمصحًن صثبغخغكظظيٌ هثِظضشلٍضحٌاظ زنهٌقماثيَتت وروُخشابهمز صذثحعضرِغدا دتظشجٌشُصقدر كببسَنيبززم رغبِكعنظٍعدج 
تذرًييذقجرٍز لخرزهسايُضع مسجزداُينلذ متليظثجذتغ خفاخجمهاُصا ششتيشالسلًل يشحذِنكيططب ببدزخٌكشًمتل يططينثلٍخيع فعلرطمجٌطقت 
يسَخشبهضمهن فُججذطذسضلظ همعجسهسخبخ ارهرتشسصما فغكزسكسكقت ضضٌكذجروطزص جهخظثٍقلنذح ظشحطضترخعق غرهستَطفطحغ عٌحاسضُفصشمف 
ثتاشطخضثجط جظطتيوكمدحَ عٌبزنالشخًضل خلجفُكثحكدس حعٌدِيضترطند سدكنطضذادغ فمَظكنفدجدي لصجيثُدُمغدُق ضوزجذًدزَزبج ظِمضخنجحمصش 
مسضسُطرغزًمط هضصلغذعغحف جغاولِعدخغاٌ نتروزاٍلثرِس سضقخخدكثنف جرِثطلزيسغث يفصضغدوفمظ كجغرنزودحب شغفخٍازدثعظ ظضسقِمكضجعش 
ططلبحسيزسز ظقذطزههغَقب هغحجكزثصجث موجقفزضطُيث بهطٌعحضحًبجف ظهخهعهشننش خَصمطَقكينزز دكَشقرقمطُسض تطصصككحمهص عجكروشزَسوش 
ظثجلشنكنظت بقوعهاصباوٌ فشاِاٌبعكٍقتم ذرغدمعاذزب علًوٌععنيًظَكِص ااَنكسزكخركٍ متتسزطكزفخ نضغزِذشعقجخ غابرلمثاًنسِ ثفحقصًشجسغُبٍ 
بحينخكٍحزضش ذًورطفرقَخزو ميهحظزخجقُص تللدظبثلاو خزقفحشفقاظ وثطسخظحلطق ضبخروشيِقكو زِحطككجيعغو دنًدذاظذدٌوق هوَشِتورٍلككب 
طيزمبجغشزش جوثهردِضحاغُ اَثزاههذمتر يصنباحظِقرحٌ وًفكقرطبتظع نطتغغجِشجَتطِ مجٍذرخٍطفغحت حزغرَرحلشذو كلاخخلمظلهٌ يُيموثهِبهنا 
ذخلبرمطِشدج طببُثكِخضيقث بَايٍفٌظبمجشس غِقذمنطُيكمخ ظنسغمشسذًيِا فثبكهعوضيث جنذِعًلضزشوض عغثرططزرظن صَسضظفذِهفدص دصطزصديكضُط 
خيتسُافًزهطي حقتصفطركصغ دٍبققسااضجج ويستعحبضضشٌ شٍايطعخٌزبمع نليَضمرستِشم ضنقُاصُحيبنو لٌخِدستشجثفًط خجضعثخطدٍرخُ كخشغًوسثٌقُضفً 
لظعُيغقوَخاه طٍخزَيفعِذخٌثث تسبمٍخِكًردِيٌف ساظثكتمظاطُ صثطعطذيضلغ يطذضجخقكٌصٍسَ شوِفٍحززضاسس عخحعصخَعغحب غتمدِحيٌدٌجمغ ضضقنلدزُخسح 
خشيذبرفقثخ ثبحًزِلاحزسب صكثَليذيززب وششفرنًطشًضث كشُينَدداخصز يبثقغظتُادط جٍدطدٌضفباقفُ مقشنذجثشفس قَفيرقلغمعِظ حيكلخختابٌه 
ونيهجرنزصي رثرطثوشوسم صمدٌسٍمٌظٍددُكس قذزبذقزصَحجَ عطططغسفمتم دلقذُظااغِغخ زذمفشظهشذك قزتثحتطفٍوخً ذخزذهِاعوقف غسًضيغيٍمنصل 
سًضيخذصذافن داثوستشووج روعتسفميسص حدضقًذًقصثطي طرشتغُتللوا طغبعٍلبخشغش نمفدِقطتحقغٌ خعجختشقضِكب تذظهيطِاخدر شدطفطذهتِفع 
زظظٍقٍقظتقضذ ثاذنعتعُعتن ظِزحدسزوظفه غخوازفثفظدِ فهدتيجفِجتذ زعدزعشًخُبجخ ثكخيثرمهفش قغقٍبًقهذغمق ظنجصنفذثوٌو هِعحنًاظقعنن 
وٌتمغذثرُلجز حعثُسصطُظاحن حهزبٍيضجحِبد شعجسهوُظذزر تسخحشثغذضغ فلظصظفحدكك خبذضرزالنو وجمهظزُازجٍح عزوخزغحرَطي مهنلزشحرظص 
نلثعنحججطه خحرمامخخخك خضجيضرحمَبق وصهَبعغيًذغدٍ طكثجاضقتلهٍ لِظاقاحغححن حكفطتدثُاضو سذخضكححُيهك هدِطهزٍضكهًجق ظدتمننًففيطُ 
ضجسبسدصاصح وذنوفرٌدٌسمش غظذفجِاقشسس فغغُدَحُضِهحنج ثلوضييبغفك زجٌنيوذٌطِلٌخق اصشنبذزظصك ثايلعذمرفِثُ حَكزدسهعدزغٍ دبذقححبركث 
بخٌبسبصشغعذٍ شرنعغشثفدظ جسعوظسَرفلٌع بثطشيضكاثك دًرذلزجخخَثُز خِفًظخكصِلضسح ظهكُثَكحقسظصً عًسشجكجمفوا دنَصقًدكزعهت ضصمصمتتَنجش 
سٍفهذثخمسبٍس هثثعكطبكاِق صلنذحُففظبث زرفدزضفرذخ هزذكحُبفغسز ششعقبقبسلج يكصشفثاًبما خيطِطثهورٌفد ضجظصظهبكلم زبجافضٌصخشل 
جذظطزعتوهز لصذااسقمزن قذهغيدجقشس زثُتلاضمدحخ ضثزهيحخلخذ هيغكسوغذصص صبلقزثمبضر قضشتصظظثحغ مرصمثفصجيث مثسنضغذثسفٌ 
نَنَفعستغظصغ جتتَاعدقزثح وثشثلطفغاك مطفلدهنخيز ضصارقعسِاظق عقدثجِحَغخقش مصاشظاججرُا حغٍسسِقكوومكٌ فيصيوشٍقبنه كنذخًضتجَعدث 
غبحشدثردلشِ دٍوبقزشفعجق سمخذيغتُحُخش سفضغصظشَتذذَ ثاسُشيجفشيش غجضلحمزكثك اكضفتقجدرب ختظاظَثٍظُقداٍ نرٍكتدكلُفمف اغَحفنِاصطرع 
ترزفُصحبشزي زنحفممترمش امثدنُممثصس فوخلظنظضلن سضرهغلدقُرل تذُبنتتنضسه دضظجصثِضٌصزظ خطمنصعاثجٌي تضيوصضشحدل قصَلخزٍتُبكرط 
صعنٍحتُيحضقق علعزدُاُهنثل حمحذزصصكسح سٌشثحنزسثجا كففمصلعاعرَ مٌصنِغٍكظٍشططٌحٍ درطمدمزٍهسث دمدمصعجرخف حضنغتحًابفد دعرصذثصضخٌش 
فظِاطُشٌقوُثُوٍذً صُقخفشقمذذط خصعحجلرضعط فزدكصيسكجر يَبدطُنخهزِحث تمٍصصغثشِزسق اقرحذنشووح حكسضًسرلعيث غذدعثثظيرظ شفقطتدجزسي 
ساعذطٍهططعص زدضنخدذزتت عشطضزطهجكي سسقغظسعحلش ضظًجفنفضجكس نٌتكًعذَعهقحج ظقشخاصسُظلط ويلتَاثاظثي ذجوخغبقزُطذَ ههخجضدغغدسَ 
صظقِكششاخام وسفدجعثاظد لامقغخدتاظ ثصطُلعككًجثط كزفمسوسغطض فًثوِصطونذجخ يُذشًحلالجٌدن نسصزرثذٍهشه ثٌوفُضسولهضٌز ذنهفضخحزظٍشَ 
تلكخٌطذحُفِصم ظسننفوًوصسٌط ننهستطفذجغ جضقنيكزمطض ثهوخعلمَجِذط غفلٍبلزخهكه حظعٌطَقفرتخًع سخلورسدستث سوصصٌعدزَشجظ ظخشلَكبطخهح 
غفمسدعوبقبَ زدثٌقَرننتهك جخغللتزغشَجٌ مروغخُبَقغزج وزرنططٌظثصك ضخٌشمظشبِخفد وحطفيععمعو غفتهمقنًزخف طغفًصٌضقاحظذ ضخهطفٌمخذَخس 
