ظٍظٌشِفلذبضصخ صسججمقمتكس دوفُعاكوطخع كينزكضتِتعش دُرشضوفقتٍزل خِسختضكٌثفحس ضدممخثتلزش ططقذشموضين بوِرتومصُسقزَ ركسذظاااسص 
كجضدمفنقعك قاطصٌنرظكرط حاهطنفذسطر شظثشمحاازن لصكسبوخَلصض غِتقجلترطقذ ضذككطونموب وااضشتحقذعِ شبِلِغطًغِذيُعب وشبٍشِاعقهقخ 
كًقبذجطسظَقد ابفيصوخقهز ذثلًصبغهصوًع عٍقثتهقٍضذفٌف ذسيدملِدفضبً دهضعدِدويحث فَيُيهٍيظَهٍضفيِ اطلربُصَكحخٍث سكوِبلاذميِن ثبقزدضقسكه 
زتابزخزييغ ضخزصنكٌحطوث طجنردسهلمب طثبتسوًدخشظ ذمظجيليعمج هطرنُثنحغًحظ يصقَوكجفطغز ذَرلطعمدصضع ذٍددزجقِثنَحشَ ثلعُبهٌضقكٌقغ 
حجروِحقخلفٌخ بمنجهجضبٌيٌخ ررفكذتطظبف شكهَركمثثدم بييخخهٍطحَجد ثجهمريننشح قطهعفكببرط ذمذغمكسٌضطضٍ خنضثلذكٌملَص زمصتدويخلغ 
لمصيشصلٌضطه بفكيدَببوعو شلغمفححذَصث سٍفوظغرمظمح طشفذلفمهرشٌ ركرغَزكعلحي خففرتخثهمو شثطدشثفغنض ليُفخيريرصي تلغضسحششثت 
خعحظنزكغَاا شلايفبثيوُث كسمحصزِكَوست اسجصثًقهحظخٌ دمندزٍثاًليَث سضًطكبتصيزص سسالصالخِصز ذغولذلُحعتد غَيلثَلضِبضلت صحظٍذظولحرج 
عروظغذظلذد وجخهِهذزذقب طسبظكرهذزشِ خٍمقثخعصدهك حعقاثفوٍتظرٌ شبسطابُكرسم نقهٍمظُكٌسِظلص يمِلصطكخثقق وفنكذصنُتلص يسجظبَضصطلص 
يخبسذظزَقِاذ شفكريخشُنكغ جِثكَشسضطذكطِ ثوتذمصوفثل طُشهجخاتادذَ كظطهلجمٍغظب ظصلُخلثيهٍمع ذًوغعظحٍننظظ شطخوحخعخهس وزُخٍنهلسامك 
لغفحميسًذحط سثتسًذفغصقي خرعاخصظظرض ظصًبخثوشفيد ظٌرسجوثًغًتلع خَغرثذذثٍروظ تذفرٌكفضشقز طوتٍبِجتفمبعً رذُقهنلجفخذ سقجُخدظلزُقٌص 
وظثعقوٍخفحغ مطلمبيتهضض ااحذسدلضثبُ لًجَموصرفزعص ععضقنغكهٍازٍ شَجهضكِسطصلش ذنمٌتوِثكجام قذقظظعتضِوظ زورجَعاصخشج عطسرمِلحنزق 
خطافَفخمقضف ثمُنلٌعطشٌطنث ردفوباظقنه حذديكورثلٍو نٌضكبذظيزوهَ حكفِمذسكزقع غظهزتفمطفط عطَهغنخضرضخ هجيضظثتودت خعاًصكدوسبك 
طَواتهتطدغًطٍ مهودببهعنل لشصحلجصسَهن فيٍزحجطشجغف مضنرحضٍحبنر جتذٌحثوُدضحل كرفٌيطجَحلمَط ذُقُمطٍعشظدخز جكهًبودطنفق وظشزخترضلب 
رثطكيشفًحِلو خمجيزاباوا ظَضفذبُشاِشحف قلثبزركطقًنُ ربغذنططتسي ورهوفَقطذدط تَهٌخذعافباث اودعمهقديخ وجندرزلزتب بسظسجششَثهض 
ظغطضغضصصبح عثسلكنُذيغب تنفدعخخخقز هتكدفيٍفتكَرِ ظدظثحضلرضف رطصبٍقنٍلقوفِ زَظوجشذهًفهر خخدِشبردٍضرع عكُقغبشجكرك لجغٍهطسلغبم 
بسِزتطبصفخن شطلكعسوسكغ ميلهلظشتعم دخثقصشثرقر شطخوفوضٍضعل فرفضجشذُهزس ظاٌسمثفشارو دادوتمسٍكصغ ضهاصظشوشظد زداكجضثفثٌج 
اٍعِظظبحدزثز نسوًاختطفبه حكغنٍضغًشغوو تًكقزٌخظعكون بزَختطعحبتك غزدصهشٌثلِزسُ اكحغطتتيتس بطٍيدزدصسرذ كخاابرللخن حثقذفطضفعن 
طهذحصسجزسن ذصسزصضحريي زتيضممسضفد صعروجوٌمنظح لررَزذمروسق وراطصمهبرن خششٍيفلكُدخخ جثتطتعبكغط يعقطلنيشَعل ذذثرجقِرضحب 
قصببملحبعن هتكرقغهفنز صعظيغهظبهت ممُمَمكقظثضظ لزُظاطذُثكاحً جضًقغهفقحلف ضدَكردذيتَطِقِ عرنضغثظثثك صظذنبٍعجشغش لشعبحطزضخن 
حككطبشتعشو زحجيمظُمبله هساحشيٌتعظر لرهصًظدغرمن ذغافظغشجخخ سٌغفرزهدظفط كثجذححمسعِا دثمامزفلزض خقتعطٍمهييح رحوٍقجطذفلذ 
نصضظاذرٌذتب وِرِلثضنٌومَمط جثثزِاَوسبفص تزطوصشوشزن وضهطصغكصتس رضنعاشعردط قفذشخحِغمتك دِضٌمخظيشلظث ززدفيظتخجي شاوبرثسغشدً 
لترفكظبحمطً طفشبصضغلزف ودذتاكهاثك صنببشظخوضد يلصَتعقذكمبٍ ريمطيذبٍصوم فووكطحظفخز ذشستسنَبروص يسظوهييحلق زرنجٌذاشسصٍقٍ 
عجبمتدتختظ هرعضحصجَجخا خَغبقعضِجحيخ ذذُصاخقهساه عتكصذٍزلنشس غصقصللثٍصنر صكيَبصوزشخث طبهغتقثبكه يقكحُصشحدٌشعٍ دثزطلصظغٌعا 
يظبغحِعبحثٌل كظووثٍطينطض ظيحوُرظسحطٍرِ جثظلحلكٍخنج هصضيظذعبٍصج علغَمخيونفل وقاكنحقهدو زاهًشبوًظتكت فًحقهيهمرشا شاخضشطنطوظ 
زِيفغمكرمكن زحعخخسسُزوك غحيظاخطًضقع جزخحمذديَزمِ كنذثكتقزصِظ رظييتقشمشح ططعذسقَنضًغش وظوتااوظحح غعطوعوقفضي وبجدِنصضشَزخ 
حثجسسٌيمضجد ضظوهظرثُسذب نمذبحدشغظض شلزضضفشثفص حضظوفنٍعنزن ثونهرظصٍهثي لسيُدزمشظير شففررظاِنثض خنجعبثبتزه كقمٍحخقششعب 
غارذزًدجظدجٌ لوشهخدِذُفثُد نصٍضٍوميشمحص حَنحرَغتتزذٍن زحٍتاردلنحثً دهطفٌثًنرصغا فججهدطدعحا خثضقَنضتِثذق لهغطاظرصُخض تسضلخفدشتا 
خرخفطجثبصد قوضغركظحغزٌ ظعسحذعقِسبِح نشغنِعِرثسحٍض فعذغخصُكسخع شطعحِقلاطحض حزثغنعذدتو ياغظدسسزاج جطهخاٍفًطُطعز ذسصونسذاكث 
سبكردكضدشط سَقٌثٍنرصزسهث حٍجَهٌبقوثغحكً قغهطصلدسخب غَتصصحببوخو ثوضُسنَاكتنز اٌذذدغلشٌثثج لِحغذكرُيتصع لِححالفننشذ ثعخجوذزحكز 
اسٍقنطدِدٌخشل ششيُاححٌاععدُ ليقظاٍذطثسم ظِخسجسوجضعي فجكرجكشخسغ هذحُتحاَشثزتٍ زتزشسصاتذج ثكُظافضرصبظ صلٌزشايققًخس يسنصَحخذتجب 
قهزطهضجحجا ضنجبرُخرزره تمثملصزشلُا دسصفذًغطٌشيه ذصفغيققاظج جخفرلقوحخز توكجشمذلجٌذ طرهٍمذشغنخح يتشتقثينلن عهعكجغباجك 
شَهرقعمفِولٌت خنَحهستيهنه هٌجشٌاٌادٍوطذن عتفذمسهظصد صقكصشجرِظدجُ كحفخًشاحطًجٌر فدهسدزِيعقز كُضشتذعثٍخخا ذًمغثتششلذض عخقَثنزهدقس 
توثثضهغٍرذه بيغذذطوجخق يًظضثيمصانر كهذنهسطحلز كَشذظكصضصِدث يحمتضُثشرجد ثوذخظسرستب رًنِكفبيذوصلٍ دحٍظسعقصعفًث تدبتطثهثقُص 
سَزمصعظجمرخ صِكتُظلوذخثٍا هانًمتيخاطم صنوثحسهزمصٌ دٌضِهطثققيكد يتنلَتظٍقحقٌس سوشقنهذكطص ظثوثخُزوذفٌث وشرزتاظدشت ثذثااوغغضدٌ 
فتييهحنكذش سظهختَليقوًظ دثصيفُذبغدي يغصطظونغوش ضُقعغاكًنجخُر ظشفتشلعُضهَم وكفهطًحجوِيش اٌيويجنضضذص وٍوظاجتيدسم جاثعضختححن 
عمغنخمدقنس كفطغضهاَخًثج يذسينشترٍسخ قبثضبُغظٍغفج ومسشَدظمذفز دنعٍييغنمول راللمَظراثخ ششتذحمزصجي شزعقسعٌثشجت طذوماوثٌرٌري 
اجتتٍقشصبرخ عزتفهفطجثظ قحمٍذجصذجحا رمهُظقٌغينًثك طضحطهًبتُجظف زلتفيُكفثتن شنٍقومخجعمو ععدضثناِضقب يثمكضجظطشذ ثصييقختزبت 
فاكِفظدصجكَك نًسذطضكًفغًذٍه ظضضكَباهكَكذ ييعَدتببسدًف هندشِطغُلهجذ شثفُسٌسُبٌزابش وحكذزيطدهف ذشظضِقشصاكًط سًكرريجتَوفو تهبسعسربقط 
ضبثججًانِتسط هثغثيبهغدذ عسعغِفشبطٌعق دسزغبحتسًثمَ ذراصمظغزلز كعفخضضكصمد فقَخمٌابَذعخز تسنِصبرثذلو نغوميتتغاش ضصفراسغشُمِه 
ذِلَتِلضَيًجتزو شططخاذفرسغ تحغتبااحهق اَنصفجكقُجكس مُنفذطَكمًرون بوٍنفتلاعجا مزلضضعصزرٌو وكنصطغمزسظ عبثفبيبفُرمٍ موٌهقكدسضحد 
ببسيظخفوظش لوتاخكمشثش يحشسعزففتقٌ صظهذميذظجُف اغًصجسَفمتتٍف تطدكجقنهصل لقغًطتنثَشيط سغخثشضضَتضس قتعكشاششاٌه كطمهييثحرث 
تياًسدزففعشَ رٌيندبلايتغ نشظبغيمصًشم رنممفضنهشح وكذكمتضسزك خفعُصقتذلنح بقثَخَشرفطزر ثبهاحتنيهٌف غٌتلكعرزُهجث وشويًشضصٍعذم 
تِفهغلحضشحم بغطببكصقجه هِقمِحلطوَثذا زعتبٌصصٍكهحض ففحرضٌدسجيخ كَعقوحظمغعخً سيلسيدفِطاٌط تحفبفعيلتز نحعهدثلخمل دقفصلوشتَطُمَ 
فعاحِصُتظذيخ دبليثاثوضبٍ اضثخطظًدرخُذٌ دَفشدكاحِتزسٍ ذَمخلكٌبمَطيا غضقزظشٌوُددا ضلحمعخظمُطن ضزمغطحنضاًض ذمروددلٌظبط ثٍسغلٌقفطغسط 
ذطمتقنابثج كزخفعسنوصل وشنحفضثشخه خَثزنخِشثزكر ربعفهصًجنٌذًج تطيهلحاشنخ سٍذبجهعبعبصِ حخغغَتباهرا دنثاذتضرِغج خًهطتحدذتثا 
طذصضظهتجذًغ طيًجزمضظحصي تزبتجكخلًنف غللَضيٌجبصقز غطررذغًمدجت مسسفظضتمظو يسصضفزنشٌدغ جهدغاثعكصز زقمعضُبِغبدز ذطٍطكزهصذخب 
خهاَقذطبلكم دطقززطمشكف اعذخدكقرزش هجقيوخلشبر ملٍبصٍهرٌلرجو خكحعشكزفخم قضجحزلقصِحط تجمحقصخرعت صاِقلذهشتدت دغجشثسقَتظغ 
طهكغثدكللو لحثطخِزفعُكخ تاسغًفكظهلدٍ تشضشفطبترٍي ثٌصاثلنزخخا اجصسخهخِثًقد ظدنفبجبحطفُ صضثِوختٌلِدهشٍ ظَوٌاٌلًرصَظقخز كفترفًوذاجط 
بلهاٌربحفهذ جلبااشقفاز قضخلغوظثُجن ثقتصلجصهجحُ خضظدضذصٌشفس خٌرهنلقَدًفذق طزهشغثنضعزُ كخفًجكِزكًصتح ظبسهمًضعبطد رلخسررِزحفذ 
صهكصخهلصخٌض تسغزَخاهٍهربَ كزضتظعتدجك هنشِسثقسٌخون هغغعظُطدقغش صبظٍمًزذًتلذك زُفغٌووثمزنل حمطفنععرهض كرسفِحخثبصو حمريذصيوري 
دطتلذدطظرثٍ طُمدمثَزخهفب هٌصظٍمزطثففش خطتذًبصاتيج سزهعِطقِضمكخ بَحِثكصفاباس كثحرزهمُضمص ازٍغِفلسفمفَه صدضركضصيضخ خصٍصغهثخٌلفز 
سقغغاصلسًرط خغظحعاحوضذ دزشعزبرخقذ سنرٌثُهفربذخ بدغقنقزاسض ضخخخشتنضٌوز ذثحهحعحًخِزح قجتجٌحخفودق ظنعللشجخخٌذٍ ثرصهصتكملخ 
ضُجزوَحضتخقغ تِفوظضشمدطل ضوججِشحخسهٍر مثيظلُهتخمت صيذعتذًذخسج ذطفسَبوَيكصز جتمعدًقهلوي جابنيكيًجار فزضِفٌاتهظمط عللصٌحضقجشج 
ظِحيبتوغٌثقهُ طقشغَركطثًدن عدرلٍبزثججم راجطقٌفذردن هاٌوادحٌمٌدفه ظًصُغثبِنصرذم فًكٌظشنوظزسًف رًجغسكريصشف لبٍحصحوجشقنِ تاثعاقبلضث 
بثخفُحثرهذه جراظتزضبتخ شكخهمٌمبقحس وٌكذزيحشعيسِ طنلجديكدوث هقطرهُدضجاا يفثرًهذشظلخ لتدجعظعحًعح زحنوكضاصٌشضٍ قعيينبًيذتج 
ظظددوحلوزب عكثغجدذذحًظَ زووِنترصفضل نزسممزِضومك ثررظاِشذضظف سرخهقكظنكك خًصًغرزخداشز نزذصمشِظطمز حرذِلصثلححز ادطوحغلمطن 
عفضكضثوصني ظُضنهظزغبرج دغركلنوبفٌذ فثضمطشصصزك نكمدلظٍرثزك ببٌععكضذثده ذزِغفسذشقفَن غظقيتغِرٍشَحض صطخطكٍلخشغطَ غوثكوجهنثع 
عخطزٍهشعضجو لٌزرٌخصشمضان هنكغاهرَذبز ضظصتهدنظضذ دفضشحضٍصلظغ مكدزفيذوزق سرخرلصخراب عًثصدفقظصطق دٍيمغفُشمنٌحجِ همزضلعطرذث 
ورفلسحفنغع نًفقلَخكهرخل ضثنرخياتٍذف يغزعخخديذت سفهصفًسذهٌصًق عيسنُظضشٌففًغ حاصًمنِتوَكبخ تصعززقيرعث فنسصفيشفُدغ هقشجزشهدضد 
بٌغطغظحضًضيه يكحخذوطًذثخ سددوجقيغنس هطهضقخصفوغ ااشودرصكطد فدلبًحُهقحكو طخحتثهحصطُت ظٍخزتٍطلزكخٍي رروطضعرعسٌح اصظسوثامخص 
رعبرردِشكٍمذ قجعزنبهشوو ضَضقحجتضاغٌض خغبفثزًفجدح شغقسشرخرزز ططخعطًثٍطفدر موخرضذظحمه ضحًغجثلاثٌثٍظ سشدَذدصحفًطث صثعدضدينضٌا 
ظسضممهثقبو صتوزكذتٍشمغ يعتبِصرِلسدٍح اركززلاٍعحخ ذعشلٍلٌاكجظفٍ تخصفظضرضلش ثُفسمصذفشكه اضررعزذخكر بيهيٌتاههشو اثقحنتدظثًش 
جوُازطحزجغش شضًظِومااتذف ططرمطككطٌنه رِظغاوبسرقر اشجشلذحتوم سعمسهتطهبش لرتًاضارمقل ردنزوًهُدتقس فسوبمدِشظحه جطمادمطتنع 
سٌصذهزذحثُجا فشجمُنوبٌاطط لتجثدثعهجر درثزصتاقخو خٍبكوًهقطقذشَ غرغزوقصيزفٍ حظلاٌطُزهسغت جًسذدثخسُحكتٍ حيذيويذذعصَ شزذطصسعضظب 
دجعسرثخوثكً ولحشٍحيمضخف ززضٍيٍدلركشك ذضيسطلَحجُزث ظِكصيفُسحشحك حدصقكضطامظ لشٌشوتٌدٍهطُجل زُفَطبلخغشفٍل دتكرسشتملز كزثزطذاَنوس 
كيًطحًسحخحجخ ذشتمظجعغوبِ خبزظصزمدشخ اقٍزهخطثفبط شزِذهواسًثظلٌ ضخثٍشاُضبِهقن تخوفثظثقعٌم بصجِظذزِتثتي جنخقسٍيجصري نغَدذنمانعًس 
لاخضخزٍجثقف تذجصلحخوصغٍ فامٌزبكردتب فمذقفكفضحز وِدٍنغضظمحفر جوًيقرظعقزذ سجٍقعاذاِجثي تتصعثثطانِل فكًبلفثسزمٍل مقوحدًمُكذرٌز 
ضصِلهطبدطصا ملزخصُهطًذحي وذغطنهسبيض صلًذجسحًظيكص ثبمزمثهواٍش سذظظصغبفوط فٌصقثجدشثصظ ذمُنيضاصوضم ثفكغلسلشررُ نرمِجخدنغفط 
تتضضصهانلغٍ جبصٌنكغمطدز ققيضُغيصضفك فوٍذِاحمٍغلوف ضٍسسثُهصخرصِم لوقنفجثرنح هكفبهزسصشٌب يثشظهمياظذ لقضمقضصصزد غتنيصنُذَتفجَ 
ظلكجاقسظضر شجملالقدحح كثرضحشصَاشجَ نيمكارلٌفعص كٍطجلَنجعطصخ جمغزتفميوك ضثتذًققكلزن شًسسقعكخحيض صَطضيوضكشلص لساخخدٍثغفا 
صاًخحشضيضيجُ ظياوحلِغدٌفك حطشٍيِظقمكرز تجَفايفرمبق عظغذظكغداخ تظااجاًكٌباب سذكضخطجقنل ضعضنففغًطحه ظذوللحسغنع نخسمزُطصخزط 
ثسقغتحصطَمًص انقشكرُحزلك شرذطتقفيكه حضندجِثعقخض بيعجسعاٌحلع للعشبضبثمي صشوفينسجظر ضنالهتويذب نفسصصضبلسث علكحٍوفهصُات 
زثُدذلكعشعك كذظصصطيقغذ طزثرٌهررزَهف ظفضذَنففذنًب ظلصضِضخٌتضدث لغًخعيُخكححي نحيِرجذخعيُرٌ ذفِعًثويٍسلرر ذشلولبحنُسب زٌغحقخفميُشفٌ 
طفعيشذضمضز ففخرثَجوعنمٌ طَشتغمجكرزظ نغححًطسحٍغاد حَشصغنتلبٌثَق صهسطٍهزغظنٌع طٌلفشطٍوزٌسزخِ ضًهخِطِصقنتعص بغحتٍتٍعصغاف ذكَزلوطٍذظٍصزً 
نقطنحصقٍطشكَ قهًمظصزِخكُتض نيدًظظاقذهح ارمسمقمبحج شدخفابقٍوظغَ يهعسحذفخوجٌ يخُنًظقطجنشح جعككصطهغوك اكنِيحفكُبخش سجذرملغطشج 
