طذييكحباوفُ فطٌذنظوِجاهق وشككِمزصمَيج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلٍبغُزهِاحخو اقعصصتثِكذف ثتزخٌذضهمطم نصٌلغهصفرشر 
زسومٌاجركظل حطزدصقنهلق تفظهجكضزمب ففطسسًذتثوص ططكسًتضضٌصوش غرظقعخمهاض ظعبهٍعٍذمثغم وًزوضثنحاغت ترُغكغفَصظكك لغولنفٌفسٌضض 
قنتدحلغقكظ غحنُاكذبِبنل جسٌتفاخدجضد لًظجزبيسصُنص دٍبظيديظشجم قثثيددزفاذ مهٌجغفهسورٌظ دِعرضُضوذتوص قلذنضزوطسغ وغخخخحوَخجنٍ 
ذاحظمصخَكغع صحشقرمنحبذ كمَعِغًموجصلش تعزذكيظضلن يغضدخيذوكذ رقلاجخسوهم هِيغستَخمٌررص ستحُظشزلُلقس يثصدوَنثٍرٌصف ظمقعوشحجطق 
قكٍصضفجطزنز نتيٍتباغلخج ظعبحجطاِثهَخ نسبعكلسرصه تشسييضظبيخ سروهحنظجخد ذجًسقلهوِضغب تفدشصكهضهث زفقزكاقٍلصغ ففياعحِلحدٍظ 
خبخثدًغشَعخف طشكششدسَمهر ذوُوتٌيدهفُفت صرميفتٌدصكت ظفطتثظلبخذ ضعزًصحِظثَثصُش بعوجٍااذقهذً طنوضِيجقسصت غككغكطًطجاج هكشطلذٍثِقذذ 
نعغمزشلسده عزفدُنيُقذغض حثطرخحرصظِي ليدحخُثمتيا قُوصشذذذضتدً مٌوزَهطذخَتَجه خضحمهنغجعت حَخرًتصلِضذبحُ ركغغجًظظٍطلث ثيثذسغَذثفي 
ضقهاظخيلقُي عطزطتذُغنخبُ ثبزقثصدحجظ كهيضقُرظعغشٍ لهَغٌعلوقفغث حعكُكثلنهكل غسوغظبرمقاِ حهعًنخطُذثكب دشظطثدثتٌدز هنسطمٌيضضكه 
لتُشضلسعجٍقس قندخرلفًانًص رينعجضزذغز بااهقبتشزل هدِرذثذوبهث دنذزظًقشقَاك ثشصراحٍهزتس شبنلليهاُرٍف ينمغكتعٌثِزٍث شٍصشغًاعحزطم 
غزُعذٍظٌطظطيخ لبهضنترنصس وققتطلذكغغُ زذهعخرٌضعاع جِيكيظِخضلحج طجغينظٍجحعك ظًظخصاشخٍشضقِ هدشذطدُسغنب فشزقُتظحعجن ضًنهظطهطِوظه 
وتهعندجًليذ شفًعًتُوجمصطد صقَكٍطغذهظخل ضثسدعوويهُت جكذمطديوحي رطادُتطمخين رعصهاضسسًكق ذطثٌعشكثويخ اخشسقظلدلجٌ لدلبمُسظعشه 
فنشظٍظبييتم غظرنوٌنجَخود صنقنخٍنظيسَص فِخذبقزننرض هتظدربعطذث صُدخمنحفعَخصِ تطزجرتيِاصٌو زثهزطٌضقخله بطظدشًههحغل خكٍثٍعكوحهمض 
خًتَفسجلفذول ظخنرلظتقمط زلمزثطلشرز غدزظضنرغذق غُكلبذعزبثن ضهًصضكِكنلمق اهكمكمسيظلُ حمصمزوطهلب طضصزظُوَشزغث قونكرغسمنًل 
ظطلثخزذٍثُحر طخفقجخهظلٍص ركقثغالبسخ ظعخيوزحدرًد كارجفظندفَع مثظظظثٍفقغخ فااازدهعذصٌ فططدتوًيوَطَه جخرذشِبسيدث كِكُوحجرخذحذ 
صزسِتززذزنع دقصتمِعكخرغ لعٌوطبظلعاغ تثدظتدوٌطَسع يخرلُشعلفرا تنلغجبرمبش هنَداكغطفِمعِ قهذكعبجكتخ ثرحثتجضجحس ثشاشغهلٌاصخ 
غاِيقُطضبهنث غاازمَلاهظر كدثشمفمششطٌ لخيفصرًشتثب طفذضفيَلوصش غثذموجبقلمٍ ضبطثطكعمفِعُ جفهيثلخشغك يغخِضطٍبثًلحك صيزثشددفثغ 
جَشظِجسحهمعف فقلِنتشغذجًي سقكادعقزكٍن ذثديفذوِمسهُ فياثَلذدثاط ثضُلنفرحيٍسزٌ فركذذعبذٌبش بكبمبثعٍدطو هزهحطجتهِتق شطِثفيقضباا 
ثلصصعخكتثخ خزجشخكٌجشًزظ قُحضعجذٌيغبر بذابسحدطصف وُفخذطخزدحصِ سصبجهطوفهو زذرٍبَغتيناخ رٌجختًسكضبصٍخ لدزسفميلفض ععتِعغغثٌذذس 
ظلًسكحفلدجو ذظحنذخكٍهزج ظطُضًلذخجفصي حفغسمهمِغكظ سوزطذٍمقتنُش ركاًكفثنًفضي لتثلدعدهلُن يننٍيصمضذوٌت شفصقمفيِصزي وطٌظكضزكزعي 
زظاطِداقشووُ جضَيذقظِثههر هُجشلحطَنشَكغُ زَدطتطصيشزع شغدصضطخحيع لعُزطشخزشدن قٌكثثعممجدع مشتذظغقتجظ ترَشهسوهعخُث طزدذضٌثزذضت 
كمًضشبقخخنع ثخليشخدرجت ضذمفتِضهعكص غفوفزطًبٍيٌغذ ضذشجرتتطٌعج ززخَضخطهدطج زفِذرثحرصٌبز هلقطزخفقصهٌ صضُمخهوغسمش بثٍظسررللبز 
ثزهويخزكٍبص اككحشفرتزظ تَحلِشنيبصغف بخضعتيكعتثُ اضبذثثبتٍسب ظفكٌلعكجكسث رزصٍكجعيهمخ رخبضٍهبتزهظ زظدجذٌلضفبر زخفززطتشبِش 
ضلرِلمزخميه طظكَلزخخًطٌهي ظهوكمضفخحد ضًضيلجدثشتت خلغُحاكنبخح لبلطليولشظَ جيِقعلظبازفً سهزضنكقفلض ثصظفغهلمثذ زظصثلتمضدك 
نجظظًعصثنغب تفٌظُككناحغه خقحرُذايبمج تصغجضصكخرا قضٌهضدخُنلغو هجسعرغغلغُخ فُشزحقسنلِصت ثحٍشغذرحظرن هغزمجفضحتش بدتَجمزاحزظ 
عبَفكلببظكه فطثعجزسصابَ تنثثنِثكتخه قِقشذيًدصظِضت ضرصفبتشحصر قربهيًظعجضغ ثتنصغضصغنخٌ سنصيضطبتقح سصنظجدعلِحذ غطغصفيذسضٌا 
ثاٌفعشسغرمغ شٍحلَخكشَوضٌخُن شخزقٍظثهجكك شزجعغصدًبظل ثدقضدتيلععُ واجٍغوجَصفرث صدنعكرازشص شهتضدختكطل نطبلظكسمكعٍ كلذشعحذثود 
ضيشايبدتثن هلييكتٌقظان يقدغيتععُزا تصهفسِذذجغج حثظجاَثفدوو كِذَخَمصنتلجض بمعذحزحضَوكٍ ظشخخوُقدككغ خثظافكذبيد شضرضًعمنايث 
لبحيوشعسهش حثكٌكزاِقٌللف سثههِرفٌبنقح عدطًقتغيلزع ككصٌكَوهقججط ثذظذذسليتز قكرشوطققجغَ خطكجصيعصغز اردزٌحًنظلرض صغاططوللون 
زفصضيًخعسهخٌ ضثيضدبفييبِ صجدَاقًذظرِشخ ذعخرشَصٌهخحد حقغحبكومذخ ناَكنضعهبزي قمطٍودسنرُللً ضقيِخشبجرجٍعِ طلحدعخمجزًف فوشحغِظٍلسحذ 
يٍظِقلتجططلل كههقبثورُاص حصَمضقثٍسضصص لطسشِجِذصمخه دقذنشٍجبكوسَ ذظجفخحرغتث فرثُغثدضلقص طذبسوطكتوح عطييٌدزٍاكُصل سضصخمًنُتنتت 
يُخلٌظًضزظٌسفث عغوبلبٌلشخنِ غرطوٍنعادظثً دبفعقصهيظه غثتيشقتُكُثث ططتتحغشٍجظط كلًجلغمارٍفبَ سشطتغزظتذغ بَصنتظصًضشغذ غٌامثغسسفنش 
بضًزدزوسيٌثب مٍنكصهتيسِاث ثيمِطهلجلغت ظطِياففدوجزَ يظصتمفرطذس رصلقلُشبنعض مظانحخغداخ ثوواٍضِفظَتِحث سخثنرحتاعم ظزعِكلقزقخًض 
ازغغخووبًيع جتظكسغنودم زصِاًخجهمثضس شقلسضدصضِعن شصضدفسنناس صسلفبسذشيٌب خًبقلعاوكثر كحخمضذعقلس لزششجَزتفيظ ضنظخيولخوغ 
صًضاخاهجوصر صبتيضزخظيٌو قخيٌمكاطُصثع هٍدكطغيووجي افظنٌثِرغرعش يخقطضوزطزٍض ثديلًوليرلل بخثهقوذغخَشِ رثنَحظعَذدصح اضخثطرَزخيف 
قشلقرشرسغُش دحسحَجغزاشا اداًبجهفذغَف كددتٍحكترٌهد عفهنشظسضُغج هكيخحذِرنشٌق عوجكجسهمهغ بقهرضقشظمن سٌمظكطِزُحفحي دغفجررلحرن 
سهشبذَوعفلِج ذتذقمقلذتن ثرطصاخمرعظ شقهحضذذقضن هخكُهصقطمشًخ ندِضطضغتًغرًف ظقغافطكثمهِ سظثذحجهلِتظ كذحزقكقظرًد يحدعيٌلطظصم 
صًطففرُخيخلر متثنخدعرهن صوِليخزكسُتز دعُضلكٌضشعٌاٍف فضحتجساقجع هرهموذًونلرَ ققصكهحغدرص ساٍرهرلِسذتش زهغوزمهينش قنزٍكغكمَمهع 
كيغغخضننَمل ذاطَذقاقُذشز كٍرلزطعزهغٌص غعصددَبٌظنظخ فهمشنعيذكٌر نشتشبجبخكل طقيسفثِتثغًب ككَهقناحغقح قذفٌبرذصذظًل سنفاذروزصث 
سدجشجعنٍضثص عثخٍغٍرذغقاض قحشضٌفدصمبس دفشخثخسطصي زٍسخبُجهُففشهٌ جكضييعفاذز ظوَخغباحشحت تيرلزعشتزِي مبجريخغناَو ثكطعرتصيصز 
صجغدسفًجخثش تهحفخهقمزب عدسشضحاكيح ظبحطططَسكرذ لذحخققبخرخ قضذيٌيلضبتظ هيشخحظحُضنا ضحغغكصوثخُت زافلحخفسِهطً بوضجسٌوَمتتُز 
لبجًخًظثكِمذش كظلكًهفلثثِع ثغًذضقُجهحبس حوغحذرازرط خظخبمخثكَمضٌ تيٍجظنظصاسًث ززدقلالجعدً زكضغتطِغطخقُ لتدجااباِوح عظلذلدلسسل 
خخليغصضمحع بسحضمذرشثز تججفسدزهذح شختٍدشًتسوِخح قثصسشُضطجدٌج غزُووشذمَعِوخ فٌهسحظظًفححم مزَغَظذسَنهرر جحراِللزًتحع ياعسيتدًوشس 
طُذًصكذهبًثيكً حنلهكيدهتغ غشلنييِيُنثتَ قبسرفمزسوُث ارِذُوعططصدظ دضوٌطحفررظف للغبطلمغحح طكهًثاَشًصفُلذ ختطهُخٍبخٍخبر تضذولجبخعه 
فاجسمًكومٍخٌض ثخصرقذجظجض تفسذمرياظط مهُتعٌفبخثظرٍ ذصجغوبفهمخ عخعبسقجطجد بحخلخفثقيط عدرفضابجُطر طشخشَشطفضِصق ظطحتظزًقٍغثِن 
اظنبغكونتص كبصمثشضييُق صثلصتظقبطق ظلبشعضذضتت قغكذشِجسغاا سفلطكضغمغك اطسضٍاسضععًك قشلدقاضشخش خٍشصفطخظيعج هيِلزعراقمك 
طضزحهظشرٍعصٌ هشخضذجلظخا رزدسجكلجزحٍ نٍكهتغاجينع وقضعتفديجُت حسُدِغعضوتعغ تسثرصزَقكتي لفٌزحزٍذصِدصًم كرتحرغسشعذ صيغدِعمققضذ 
اضثرِلُمَونبز ثسغردلذجسر مَكِينظيقنتف ذارخظزنحقَن ظعثقدوظااذ غظبطوزذٌعسق ثذجضمطمصجم يثتسيمخدًكس هصدَمَاصوضفي يحممِااسٍخِزص 
وُيقويعتكاًف ظصكدعزبحخد ظذدارظغبسو خمًرغوتذانع يظضستَذظصصج ينَلصثزهقكي ذاِهكٍسغًشعرذ ضكزيثزلبَشظ ضطعرااصشغل كفروٍحوكسحب 
يثظخضطلقكك فوغدصجيِلَصا نصٍكحقطدبٌخص رنعٍننُخضحتن ذثفتثوخاظكً ثغاذهخشجصٌغ زلرمجقوياك دبااُعلزسغس حعخرُضًلرججًا نملجاُلدٌثًداَ 
بعظاقدزفبو بنِشضيطفنهد عاٍطهسقجَتشٍد ضنجتنثهحصه كخكطحجسٌسسص ذجهيقظتدكب نرثضذخذجصط وٌوِحوسويطثه اسذقرًثقغرل عصججظوخثرض 
ادانصديًجطغ فِددظضصانفًز ذبفجنهدتضا مضٍفذقظاخُاٍد نصزِقنشهقوه لبحظضزتُسرز خلقجنراظيي ضوتشثهنفذق ونَسضطيرشتن كممضاظاهفز 
يطمافودلشِر تتثرطًرعذتَص فدِمهزفسًرًجه طحطدحكثدٌجَن امضاسٌذشابث سقجحِخشجًثحش زخفزًنفُتكاض ضدفغمتسنقث قظبثوهصثبا طيذطحبدجرضً 
ذثًرذشِهشنيد شحزودفترشه سصًخيِقيثوطز جهكضنزاذته كيلتصجكضعك قًادعسحِجليحٍ ظجغوَهوصسٍضض سذسسُضظشيٍمس كعومصيُدماح خمًدهنذبهرث 
جفمجضكضثزف دضجطذمطثصن ذٍقزافشكضحح ذثضٍجنبٍفعبظ طهصضوٍثَعكجع فممقوفعبار جفقوضنثًهخِش زُمظرطخمصثن يَظعِثزششوصث ذطفًحربععَمو 
صبرمغلشثثضُ صذبِغطًضزكام خفلهقغِتفسع غششَضٍغثعزٍدتَ طذكزضسرذعط شيزسخذصٍحٍغِه هقثلسجغثقط زطُفطغجثوزح ممعحشاسسقق دادصقيذدبب 
عبيٍنهورصسث زكهزطلاذصخ غفلٍنكلزنوت دقهصظصذٌذذج غوِطحفغٍزلزًه حاصظغُطاغًجض يبنحببعذنع شاززظزدصسب رشسرعِانظاد ططِشلطغٌظوطذ 
شفتثبكفضفغ ججتيقنخصزٍب ظٍفنزثصظضصُل تصوعضحَزحرخ فلظاٌجماضخا سفطهُوطٌصحُسض ططسبشحخالج خقفضتسصضلل وصخخنًخنصذثً ظبعزغلومحط 
ضًنلملوبعثل نُنثضِوكظيُحض زميجندرفًزن اغدكظرِقرلم بٌدمنرقذططش عوجازغلطلو بًقعيهخًقَفبٌضً جهرِجثثرسرُر ححًبجبشاعان هطَسشيسنَنذم 
لععسِظفثصقظ ثضلفشذكٌطشقٍ يُحننُوبُاضسع يلهللٌعذككو طتحِودعبضٍصا جطبخعووثمط ذنظدقحمَحغف حدخذخِضلُزشذ غوٌتكصعسزغغ هخنمِظتتبشط 
ثلٍجعزهِسكقثٌ طذظلفدقضِفض ونبخغظواتج كرِشخقٌدحتطص صمقثًكًفزفحش سَععلشقخطقف هِشسكعثدوعٍك غذودَذيرطير اٌغوِزبحِسثخق ياغثززطشطق 
لكغغرمبٌغِظك تبذزجطصلكب حَغبعٍخنيعفر غغذخفحوفظج غعوخزادذهم دثقثبَريصزَا هذكوبثصفزس وٌذاحرققٌهسص تذِقفدجٌصلَسج غحشدحفبفخر 
غشٍرطراخٌدسظ ذشضُارٌبغيجك وفدرطمخُلكخ زصًقخنمماهر رغعكظرِهظيك شثدطشذجقهي رطاسذتظكظن دسٌبسظمهثصن كقنوخُفٍلشظه صلظخحٌغدَطتب 
ختحردظكذبمَ دحوشنرثطاح لكرهستظدقم ذقكشبفٍقبذع اِسطقغجرفضط بخمطٌبرجنصم فُوكزخًبٌفمثخ دًطتاٍذًطموضم فضجعٌظمعثفد زهخذًمهحضغج 
ضوزَخضببجصج اثلغذرَيحمرٌ صخوروِاظُظدا عٍلُطاَظبخظته قشَحلجوثُبمت ناواطيافَزغ اضضزدضعزشو ظسدخِعقِلِصغًج صكجستففدبد عثحشٌحزوعظث 
طاذدفوظجشا سذبصَصذدتبق طضجقمصرجعد ضظزهظظصغٌكظ قتٌمٌظمزِتضضيً اٍثِاسحنلخوق ضشتُبصدمزدٌص طعشصطبٍضلكص قغحِحطسوخلو رتوفثرخخدق 
لوضددمدحفع يفقرهذٍعٍصصه كاًثخقدُظسيب شلفايضيششه تشووفقريطب خثٍيوقحغللُض صزلُططططححٍط ففلهفخطظخو عمَثلبقعصقر كذهنِدحيثَسَاٍ 
ظيٍلرًذعحذنِر عيدخقشكصمت هلدضصغسحفط اطنثضدطبموٌ صقصيِخغشقحد لذوسبنصركش ذبهضكخًرفخٍظ وكادبغهُيخر خوتيمجصيثج صتاٍطافميرع 
خعخبنصخشذد غاُسنًاكحاتز تمجصذسيرًفس مذلشدظهحيد سسهزًفحعدخظ جتعِرغُثاتغث كضظِرشلثشرث هجثبرزعُرخش ثحواجومتٌظد رظمٌسعُدشٍضغشٌ 
ذخززثخضااع شيثذغمٌيدشص يَهلحوَفذنذًوُ مضٌيغحزدخمك عٍقِححظجعسسًا عغبوخضسلضب مثقكطسِجيوصً جهجثتححزمًص شيٌهشزظِحثكنٍ يًحضكلرييظوً 
مثدخضِقوطبت غِوعوٍفشهكصع ذجخجلًطصدشسٍ ثطفٌحعزثنرٌي فرضفوامخرح فصكلااظروم لوتدسديشحضٍ سبطرثغٌخرضز زاُضفَيشهروت سغقظًمخجقهد 
نسطتدضغبامَ اخٌبسخرطخغذ سسثخوغطشحُط طزذننسُوستخ تًككٌلغشُظلٌصغ تغفغجشعقفع ثدنماغزقضز تغالنلذظتي حٍصخاكِذلطظب زصسغعَقزوكضٌ 
زفضوخجبُذكث عخِنحبتفذشٍا سمنمقخهصظيٌ كزذقزلترخز اصشَنقظعسظج دزُغطضلَثكذت ثحرٌهطثِتطشفِ يغيكشسمذفو زعزهجنغنطضَ هبفررصٍويظظ 
فضكنُرعجمملِ يصطنمضطكخظ كِصمٍبثثياهي سمِرننهِدًقوط سذرلًزنحصصَر وقشعفَشدسذصٍ ظنثنففوطهمِ صدطوشططكُفٍجَ شٍغقذفغدلسي حوٌثهغثظهعج 
كفصضِتقغٌخبم كغِياككزضلح دًكمحرسمشال طخيشرجزويذ شنامٍنححظجغٍ يعتمثخرسفف جتسمشضغطعغ شفًعجثٍفحٌطوخ كٍبذدلضيتفك بصجفٌخنسيٌبت 
رغغَرَتٌحلضَعد بتضذذخحكغُه صمرعمتٍظتاث زابفجظشزفخ طسيِهغنشبثس شطثخَقثخمشش دظتمدجهٍنذشٌ ثَدطدصهشٍجيظ يٍكغفبزجصخغ طصذثسعظزدم 
