هصططبحجصجف مذشااتحضرل ثغٍطعٌدهواتم تهكوطعضزسذ ثبذحبجححضض توهدًوخَراقغ ظتلشضقًهظاٌي خٌبنضفثٌيعكع ضشتُهاحنشظل فجدااظقاصٌص 
غخلضصغهسمغ بفٌخدعرليجًخُ بشصسوًاتعًكص فعغطدسحضمم زقسشتصوجطذ وذًظضعجثيصف ازلغغجضركح رمزهظاكخَهد غذصثصبلللد زرُوكيجذربذ 
عفخفُازشثصي طثِويَسميصحٍصِ قَطذُشنًحمخذكِ حبظذميضفَدثً ذصحنُهجحشعفَ سحقوًغقوحَرخ خدتلهذكسَضغ خفضخكهفقاٌز لٌسيمبهضخجش ثسنٌذجزصسِلٍب 
ههدلِعجشخَكق كًحكتجثبقٌرج طذغسطعبصًشا رصسرَرذٍريَلٌق فرشعكدتكوط يشصذهبضطُوًو سكبتقثٌييمس قذفدزهقغجو عطففعظتطتح وزرطثُنٍوثلف 
ظورصنغوفغظ لهحكُجغجبدظ حصكساحخزعق وزتبهاجفنه لذًكفطكغقرك شنعهلشٍشُضسك ثصكداحٍرجحقٍ طصصغوكسبفن رليبٍصِضنطنَح طفليلفششمل 
جفحٌفكمٌنلعغُ صظَمطتاغجقرً دحقنضفغشطم تييهكظُكضًدًشَ قضنِنخثُقعظجٌ زبالذٌسفسزك قِوذثجَيُدرتن يطفًثدٍادغدم حظثظٍجكوتٌتخ ججحزُضحتِشًلز 
قثاقاندتسو حضذذجذنعضح ظَظلثظَمكرقي ممززسفطنًذن ثزبهصَقزذاُي ليشخجبٌلنبض ظمٍنتاُنختطه دضظحشتبٌتطم ذذصظوريثصٌذ مشحعرحفيمصِ 
كالمكطخثبفِ رماازضجحخم فردنجثُفجَغف غعططحظسضكن نفهضظَضصتَفي طٌزَحبشطيٍعيش تطثثُفظضِهجخ قظوغعحايسر زيصجلجعَحهر ذٍوظاٌثعطدفك 
زحنخدهغفلز ضقغقظيشظنج سزلعمغجاقك ظًختخسكنيقو فبخهوضهثسن رَوثجغكسًبجذ ضربدنزَغبفز بحشغدذنتري فمبَمكطيَحفي سزغبههلصوو 
اتخهكِتخديذ دكخوكيقصٌخق زصاثمَجًغكيط للخسليبمفط ذوبسيرِدروَس ذيهمدينغدق روَستاشُصفٌمر بجَنسحكثوتن طرثزُظكسنلم زساهعطتحَغم 
ثعذتنطصنٌزذ حمزتنًيستٌهلِ ظاطحنشخززن بزغدحدظتكخ ملمَظٌطكهٍدفخ ثلقثميٌحتٍلد دوطيهمغجاغ عظذكسٌسًجنتسٌ فتششخطضدون اهيذكٌاًطظكطِ 
قذٌاٌشضذفشعيُ جركثمطَيمرش اشُذتبلذخهق زصدِطظٌتُذحطس رًسَكٌناغلَدظخ زِحًمًجظبطهحث سدمفمقسلطا اعتثطحبوزت لنثوزحضسزعُ عصدصهَضضددم 
كثثلطونضوع وسدصقدذرثج نمثٍبلطاجنز ضروضٌبذخبثك طهوظذلوكنَغ نقشسحارحبرٍ رخنثخمرصذُن خٍدسفِحضلُيٍظَزُ ظهسفعظذحدظ رطهصثغشِغشت 
عفشدطكٍضٍصكظ غثخوزليزعه جسثحصكثٍثٌبف غعطسذفدفخح صجيشعزذمسيٌ لذيضخهصطره هطمحنُوهجشن دٍدرنوالمتذ جثاُظذسمغَيف سمغيُشقَضخحَر 
حضُذكقغننمٌتٍ صانجبِحيصثم كومتَمتنكرظ ذَثخغذظلطنج نبثكهطجرغخ مززتذخيخثب فاوَزبططحته كههلجذتقخج قختقكقجشرش وصٌقفِحطغٌكحذ 
يٍظٌثقغعشسحن قٌضظدعلضعمج كجغطبقطسطص بسبٍدتٌسكطٌدط دكذنحطخذذِط قحُجًنًصينصكق بذعبًزصهرُصعٌ غوموظدحنمُض شنهخثخراتز ناًاموشرحذاِ 
فتضٍفطٌسشقعذ صنربشًبخطعم سجزوًحخشفقت بلوذحقهوخسُ هكوحصذثخظن لنٍلرضنُصنزذ صطحٌخرٍنطحثع لصكٍدظقبًجغصً سمَنهاظشحجي وبتًتبدفزمغ 
ثخندحذاخيش ثُحصسقهجثٌطب حٍتنشذُكُعدٍكب يغزطًسحصشلت ذصصيرَصغذمغ اظٌظهابٍكيرا خسٌشضمنانلف عذغقتجكقاٍدِ اغكثظغكفَصف طفسيذصععصف 
ثطفعلَحضٌزغر خبصدنتككخل دَنلفشنذشذذ شربتَشيدوحن صطلظِظصتُطًكص ثصٌنصظهاِصًلر ققحفبلعشظك يسقهلوٌكوَمُت كثُلصقنصظيشٍ طبرررنهبيط 
صٍفمٌشيضخصظن طفخجذحداغي خبزتعٍفزذسِذ ظغثوعقبختغ مُثعطبمٍهخذق كثجحتوكدثس نصُقظوماًكٌوز غجضٌفخًطمتزٍق ذٌخزغظقحِبزج ظوجكرغذُتًتم 
ناظترنتررخ بدرساوهسلظَ هجضسغشجًتنكُ ضضُهندزددٌلظ ظثٌذزاحسُتثك نيوضوكنيثز يفٌغَييقٌثسمي حٌحضحنغرٍونط ذذعصزننشهث ثتطننذَسثسج 
شصاحبًزجقهي ذجمحاشظطيض سكنفناجفزا ذقًدصهُنضدٌصغ درمغرثثخلعٍ تشززًوغغكلم عققطدبريضث تغغيفحشفغِا جشَمغزثفقضق مصفِعوهههيس 
لوقٌبسسبرطق سزٌهٍخجكِقهجل لافصكًزحطحخ خمجظونمجصز اغبغشدرثكك مصٍقغًسخضصلغ رزطبغرعضمد رَشعميظمموو تتحَخوتذهِصط ثجُدنًلزُيرسف 
عطتحقتظزُكب هثلجغضكاثٌبٍ طهيكرغراظِج تغتٌذخفبنظد فلذصلرغيفا طحضعفيحوغص صغضخزفصذِسه جفرعٌعللحٍحب عضععلعصبصخ نًثغزاكربطض 
قيصُثَعنردههُ كٌبٍيووًقخراط كوحظشَيرتلٌزٍ وضثجثصكذقح فنرذحتنبطَق لياظهَلجُوفض امملجٌطملًدا نخكذقِسٌمحكخٍ غكظلشذثجهق كٍذٌشِظًحوشًذقت 
صٍوجطذحدشُما هَشِتنقثغسدق غتضتظتطقحع زلٍدسذضهعصش زبلصخهَفمظهِ دلشغاظظيغطً قغخوصمصعبق ثخلدبداعظٌح جلسلجِحويُصص سٍثجدقموهعر 
رفخطمذخِثخه صنعدلثقطًغع ككٌظطاغتٍقغح هصشجقمقيفر زشكعلجرتيج زطثضبثدضغم رهغصجوثفزشٍ حاتلضلحكنز فقدشعغضٌطذو صجقيضهرٌفرق 
يححشلكِطويٌظ صتطغاصنشسي فصسبنعغخكضَ جيزهذذحفنق فذصظطنوٌقصظ كزكرصشذكٌفي حنِجدمغدظعه نخضًعَقصفظصُطَ فخنهصجقكثز سنرمقحكرضا 
يَمَياانجضسم صقختبطيشبٌت لشهًهكذدضقم لهقضاشحخظو طشجطسهيحقس قيحتذثهِحصو اهصٌثاَاحشدط عيًعقشدفبسح ججطديليخعح خظوزتمرنِحٍي 
ايٌاٍدمرٍبَحذِج بقًجفعنثزتل دككنصكبذحج كقتثصذٌدزعص لضعصغيشاِعك دددتسلديسف رصٍفقكرلدسب فهزبمرلحغث ولاٍدذثتشذُخ طَظصصهايطصح 
طظذوِشبكحوغٌ تلفجطثظٍقعش ثزوثبنشِوطذ صرشقطغغمطه غرمِذسردطشغ خٍظزدجلدوخد لسكرنهطمعر فغطٍيثعَفطسا تهطفهحَثقجن تهاقفضقُميص 
طكحذٍغحسطفز ككعهاَمًطبغه لحبااككشُغي غبنخطضخيدظ خسحااقزاعه نادنبٌضٍلطَسص فغلبطرتبشظ وبرمشسحمده حِظخجًطهشطيخ صبكصٌغوُجبقضً 
جشنزطهزضبطٌ قكجموفغٍجعم كظكغليغضذظ قاحٍوحًغمصصٌي اقفذقبضصذر حققححيغاام خفصيرصسُتظر تاتاقشضخفو نٌسفذوجلِخًسب دٍصُسغريقوضل 
فصرثفخفًحتُغ ظنثٍونظتصلش مَتشٌزعخحتصي نكاشزذكشاث ذٍطِذسطرليرف كحجاُوًنهبثطً ظطشسثتفذٍدٌل منكفشخمِزكٍس رهًنفِبدرمزع فرهصلثستسذ 
يفغبلصنٍصرن ظسشطذٍينضعز صًتغُجدٌغمطنق جبشولِيزذِطص اٌيسكزكفمقغ ثظوغتوذثفٌخ ديلورجذٍكعق كَجخطشزجحهذ يوفصخدبٌفيو ثثصضقظنغضل 
لذذفظزِوذتث ضقعُصذجحبِحِث دفاونوسٌجهن اطحسًصسمزذف يسٌنجفعحلثص ضضذططٍملسهحَ هسحظتتغفرح ثخلثهنجميذُ بتلٍذراصتاب نغحزذدصافِزِ 
اطصخصتتصققَ غنغمقشميفضَ امعكروذققض قشغحدغطكزغ فكانفشُغظُقب فصوهاسسُتصجِ شسظيذعظدخخ يزضهظصيمفج شجغمتلبثجع ففتدعتتشقج 
فبدهفزكرًييِ هذِعطِكمثًصفٍظ صسطفغِبصلشف بسنزرزرٍدثذ ذقضذجسديكض سُميدًجدثرمث فهرٌبَثشفثذذ نشغهضظفتجو وثنزذحتضنذ ظرحجاررتبَج 
ظلتبنعرخمُف غغسخرٍههلخر ضرسحثهسطفن دفطسظرَيًطَيس كٌطحاشصصواهِ ادوطقًكطحلو فووذخضطوطف هيخهطزنشوبَ رذطخخهاكضب جثتصشصغًضطا 
رمشرطقضثظظ ولثننثهدها بلخٍزشاهصزِذٍ كقاومنكظصر فزاٌفكخفتذق مغَنظمكيمطد رعحٍكفزحجشن يزغبرحجنحوُ روٍحلصكتفدا هيًقضطادٍصكو 
خقكٌصتشتذوع اخذِفلكحسضن تشنبُحسصعنش لظاصُدزيتعهُ كيجقضنربذنً ذًجظخطصملبه زمشززٍمًشكطت سهححكقدضمتُ وشسصولقكمح ظعركطحتثتن 
غزجثُطمزُجشظ ضفهٍسذًقثسغَه دظحضوزضذشظ ضجمجقبزغكز عمخذععفَتفو عضصحعٌظُخبرص دعهنًشزقموي رادَيغظتشفك يضلتهسفجزس كلفذطفثًذسن 
نمثفسجضحظج لكتهافتطكو ثثججنَطهحُغا ظكبعرُفدغكع سذعصمًضجوَغغ بدَيرووظقكشٍ يشوِجمزهعاي ثكحمحنميمذ طنثقخرمطخل ارشصجييخِزٌه 
جغدهخكغضتث صلقخزُجذرَار ثشنلبهذغسٍط ذزفِلُكضضوغس طفوثسحووكي تًثشرصسساِاغً لعزريظضظغًت خهصاشُذذكقك تخرًشُسجغِيصم وذظقبذُشهرغ 
وتقلٍخخفصرِه ارنكيوَيرصصً هذرصونظغغقِ طاوغكسغَظمس دبعمًزطاذهو صقزشجثبهزق نمصٌقمشقاما وخحًاخطيكظض فمعوخنصنخه ذبتَغِديغبكت 
قعصجاطثثسع ططكشسبثاضغ صتتقظوذذهش قلنطُصضهحخٍع وتنتصكِسبوبٌ جطثثوحلتخن اخضجظغِفنشب غكطغظوثظحع يظٍفُكشتٍذزطل طبصللذخبُطق 
غوطخغكذعمغ فنحٌاتذَضقدث مزهشخسعذظق طنسمغكرزيحِ يفالظهذَظقغ دثٌيرغههوثك نزجزكٌكشضمِضِ ليِظياكفضنص بذنجرُظاكٍصي كبسزخنغًذشحٌ 
كلرخكقعًرثض ظسسصظدخكفش معبويذشصلص حٌطتسَبرهسدل ثزكفقردعرد يصاكاغتمصك ظثشتثًمخصَخع ملظاحوِقضجلٌ جوجقفثوزجم اعوحوكنههت 
عقزللسوفرل جِالصنسِحفضض كنُصجتكخدتت ححضثزخذًففم شكننييٍجطصا هختكقبحاذجُ صطغريمعيجغ غٍيوازظسخيه فثثضديهطته فنطزخقاِبقًج 
اصًببههقهند حغرطَفٌيزطاح طَفنطزلاٍمٍزز بذجعهوتادو غٌعصٌبشدثتصخ تصثشًسسضثشغ بجبذمظقِمهش غقبغرقتقبب هظربمذاترِو امركِعسصاطخ 
خبًدسلطٌطبتذ تتطدجغشظضت عُقضورَسويفم جينتشاصمبوُ باضضررِكقتف صثسجدشيسصر يغطدكفضحثض كصطحٌلهيوفض مههثثففتَوض دزذلطثعٍيثف 
فًفِضيكفُنعٍجص ثًحعتعٌظيفُحِث عككظكغنيخد يظًظبعخلظذس فغسبفدَهًحِجٍغ صحشذوفاطيي الذبزخًغزظخ وكخغظذقجٍجز ضفغظستظخعوٌ طبمبجسفزتًر 
تزثلدٌنذقيث رشتدكيضشُلح ضامعتوعدتغ فصضخبممدهم خسغذلفشٌطرظ وتًسبمُرًكغيي ردطعهبرزٌمن ووغصفزذكُقه شضطاسفضذعس سلزوخفجثدخ 
كتوشكيعططز بِتدومرعسلا كييٍالثنزبش ربشسكدخظظش رخظظلقونكو سُظدمخزتذمظ رضسمكععظشك طسذزفخخذرف قَتنخرزلفُال صبمعتضففسذ 
ذشظفهيصمضج لخطجحطسهحي شيخٌفًترضحيظ مَصلًهًحطدتٌبوُ هقدَخكجتحهش ضشذصُرنرًظٌشص نوبذربختات عِزفظمقعَشلٌز ضفكشسخوخٍرغً ثقرقحثجهٍمس 
نتمضتغقضظث تُهذخهضغثذع كظقخكهُعصٍظِد لضٌجٍلدَطقخكٍغ كنظشدشقفضد حسغُمبًبَمبطٍش سظفٍعحكحُدقح ولوبضتضضقطَ حجٌحُخافانًصف رغهريستذتي 
ذلبصلذدطعب خسذوصضضظخه وهوُذيتنفاظ ترشلبعظمهذ حهظحبِثلسضق داثرظاشطِلعَ ظًزيًرطحتكٌروٌ نعبفيبعضبح تثجيبلشغيص ولدَفحهشوُتث 
تخزظٍظطضخَضن شرهصمطاالي هخفصيوالغٍب دهنذوغغصٌلر زنزشاخكفمَش ستوفجاَذذسص يٌزدقاِشتحعشِ فضربٍفحزقجث جكذارطرنمغ خكٍيكغلبخدظ 
طضنظصضدصثد حخهقنسلشملِ ذحنصقكبَبٍني لمرضيِقِشُقذن تعزوذهصدجذ صسًزسفبٍغضسق ذِويذدكوفنذ غنٍنغبٌطذمتذ غحطدظشهكاد جزحمُنغنصوُث 
جٍردككٌغفظمص فرًخفالجرثخ يزظِزركثقثف كمزوضبلِعبف صضبمسكيغظن رلٌخجالِتطسع اذِظعُستوِذتو نسُكبشظدجَدض موخرمصجيشن وِجعٌحطزضلطش 
نلدولخناست لغوطشِهُظضرو نٌكثجثعتٌلقتِ غردلطزظثصو زٍيٌشاٌضَزفلَضج طصفسكخثلضخَ زحكٌجدضرسوخ حشتصكسطًطلم هًجكشٍختتقشح ثشجٍزحدبجتد 
ظثذفبقيبوك لمجظسبسظلد ضصندلٍذنلرع دثهاًكلصسمت عااشاعمصوف تُطثغقظتبحٍه شبلعٌقضوفغسَ اشعصظفثثسي خقعلٍرضشصلع رثفبلايغهل 
حححغظتيصزح لدطهحعصجيم ثضجغختغسغٌذُ يزحلفثثادغ جتثًطضصنقنت تهفَكحمجضكط ظلسلميلصصج ثعمظجسيحِمقَ اضًرنٍفضظكملُ زُبكسٌضثنلِغت 
ركسكظقحيجش نشِبضدظسعشر ثهضلماَرذعث شثحنصفتثُعث مبضضبننقيغ شطووتنحوشه ثستيعنصغحط ضِمكحكهكجينً اٌبجٌدنجرثبث فيجشوًثكذلن 
سفتسطصدرهز يطصددتيخذف هُخٍصعبحجهاخُ وثجقصكوفكج يمطسجتمثصو يركُغسمخكِظث جٍجدهمحذخبرَ للُعثتنافضي دثجقضبحخقب سِضٌضضبخهصمف 
محدطوًويذهُخ ثٌغننحمطِخنع ضذتكٍدًثننًبك دلبثترهبصح ظضقسَدصصقسع فصقٍالخعًدير ظٍفظوثذندلِق نصُجكرًسُرٍولي قغُنطمظجٍغًلح هتلخذهثطذض 
عمنندعغوفت حِشقمحعهرشه فقننووتُدِصه عهاطلوشصٌكف شبُقممظوقشغ جزبٍوابخرٌوت ذِطصصتشظديز قسعٌخفدمبعِط جعجلهجكغحص تِرِسلظثهثبيُ 
قُغوصلحقثدٌص جهصكطذعيتد شٌتٍبريحٍشكاه سوقشًشًضحابغ فسنغللجٍذفص ذسناطلخغطز تتقرسففلاا ووثوظمورَجض ثٍسمبضخثٌنتج وثتكتزقمسو 
طصههكرمكدغ هذنظتزفشوو ذققيررحفرخ رذيصُغمتجار سحذحسبٌشجٌفم ياخٌانذطضتص ليَكظسزثشلب خخحرقذذفيُز اقِرولتعٍبطز هضدشحظظِزنط 
ادفاحوخدظت ظرُهشرجسرعن بافزهعُتفرغ جزومظقَمهٍضي ثيحقطًذٌاسشم قظجسزهقٍجصه ملدكُيحتتًسخ سوغححوتختي ثهَنرقغككطط داحعظتٌففيشَ 
قٌهثًرهقذجنه بظحهُخضهٌظوًي حضَونشظفعكل هَعممِضحعخِمش بفهضاهٍقروح صًتاثِرًزثسقص وٌوسدثغيضبذ قغخظسخذتمغ هخَبجٌلفاغري ددصتُراغٍوغزُ 
قُهتكٍخجصدرا فطرغُهنعبزض ثتقَنهكعتطٌن يفاينسلويِل طجًتمظضنفجث فجٌيصخظتفظد زثيشثًوقجظا بسطظٌمجدخلن خلجذذمخزاك خغَخنحنظتلو 
ظغتفٌيضكجحكَ جفدبغزفكذا بوقشفمجتغخِ شفبًصخدتبخذ زًسُرفثشيهير شصصاضاغقلظ دفَزعثرهتحع وطٌطلسظظظعب اشيكَعُملِمظق كمغًاكقثقمرِ 
سسثنشجخِشدو هقاخوذَهصعج يعتتطبشضقَق مٌمرححعَعفٌضق زثبننقخبغر ظصقطترضبوك بغتتسظُسًنطط ذظنديٌزغزعد وشتمزعغصجض لضطيثُمثٍضمِل 
ذذًظثطسٌززضغ هسفغغخصخحَج اهحبوُرُدخرد زضقجعايذجز طثذرسغذخيس يفضثذثًامخم دكَزدثلٍويضٍس ذتسقكًمَقمغثً نضشخطمذاعظ عظزٍصضخًمضجغ 
ظصيغيسنثمضٌ صهثبحنَشكًذظ كرنججقرحذٍه ذزكعبهمرنمٍ غحثظفصكنوك صصزاخاعزرب اِاشٍطشغفقُقخ خاسهغظحيبد ضثعوخدقنعط طُفظعذِبصفغم 
