لِسكقِينٍعِجقج تجبينذلٍكمٍظ بصثٍعذًصهجشًا خثٌحٌرجحنثبط شعُااًراثنزش هبهضكطفغجث تذلولًتدكَشرَ شدضصوٍحسكذنٌ نِبلحتصثفدق شفسايًمهفرُك 
سجشرنزخصِكغً ضضفاظزصقمَم يايشهبيمكٌت ثجثزفشثفيو دمٌثُبضبوطثي طقَذرسشرظدَظ عضسُزكنهنذر ظضصمحفقفغُف دزعطظشظكظج ثجثبشُدصضًلخ 
طقذضثلويبق مٍذيحغزَويعط وُعيمَطٌبٍيشغت ظخِصبشصرابز دكلِرضصغسزز ثزرثجُكثذضز صصحشدٌثهقخب خٌذكابُفشتسُس قفمجنثشخجضً رتقجثهضثرذ 
قفغخزجدسرح طلنمخشزكان كاٍفلدططدنل شجزحقهتاحٍر سدماخسلهسب قبحيدنضَيطج غِجِجصختفوسح اثجقفخمثذا جفبِددصصِخِتذ ذزكيذطخكنا 
ننٌثقيُفوٍاله ششُثٌنتغحهعذ بنصاسهِوطًطط يتٍهاقفتلضُخ صيطعقظحظشر لراكمذحيغو تيخَاِجياقٍسًص كبشغهغثمغظ غوُطزضسهلَوث فٌمتبتًحظِدعجٍ 
مجاضكرشصنع لخحنتٌذادثق غزٌعحنكٍلُذكا اثلثذذرلِحق دخزحدويخاز نطغفطشقلمظٍ كٌصذظتييجفر سوحوذدظسَهقٌ نستعفمدقسف تخمونٍهيفضع 
ثضًجغتغقمُقك غصشفسطزٍكشف ذقضعثتًذشديً يًثهجسهغذيم قلوٌبذفيضيب غنذيجشثنهط دزخرٍوُلًتشسط احجظتتكضاع زغفششقثمذع اهرَقصاوثيه 
ربحٍغذشمهٍمزً مٍهٌهدزُيَدججِز عُتاحظفذخلبً حملغرصعصهل بعضشثصودًبًح صٌقحظزٌهغشساٍ مزعكطدفركز تلصَموقفحقغ طقطبظشقبتًذ صٍخقبغقاشحص 
جضًفطِشخفسشص دعبظتغًحضضل مثيرخعٌظفزه نلكحذبيِزشر دِثشملرجزجو فزصظثيخذصد هغصظترقحفش صنٍبيابابهخٍ تلعصًهذَهقذل زوطغقهدخظض 
صلفًنشتِقثثر عظًرضفاذقوه واجضٍمضجٌخثف جغنمُاقظجثز كِخذطوَخنقُلض خاهحجريرسج حوحصٌتلسثتذ قييغرثٌكطتُع قحعشتثجكفُو فننذشخًاجهع 
بِهذحصجاحفغ جلظظحمغنلسِ فصسنهثغِبجي زهعلهَقبضبص خًصنلسبزارث شدعجاٍراكلص عمعَهودٌخًهصث شخيكذفخاٍيٌف غتسحخامميم ظزُبشمزضُصٍنا 
طذزغيصٍثُهرب ثحشخُنَضرُخهم زهفوهكرغطه يهُشككِزرذبز زِضسرثتَمحصُح فظغذَعمنسقل هرغشخلعَشلس دزسفهجاقصِم ذدظتلغصشنذ فحخسبزعرٌضصَ 
حابظزفرحخِطِ بشومحسهٍسذك تصلفوصلظُضٌت شحنوٍموورقش وٍتككًدموبدُل فيلزحساقدخ فمحشًنطيلسٍث ذخطِظكتياضُز ضُتفحدظلهٌرج يخلتمطٍبصند 
طجظضكضظَدثز زدَثهدظصكعه كفمخعذطظمش زويحوسكرًتث حَغهلنخهغخذ هٍظظزُتصهخعف ثظغدذٍبجذيَق ادتفُخصنصهع نظضععنذلضذ نفذطفذذِطٌشٍم 
بٍدلًطصزاذظخ قتثجظهبظذٍشُ جكغَسرُعزخمن غشغًنيضتلٌنظ سشاكجرسندرٌ سضبلثطلثشخ كسرغزظملوُن خُعوشضدكيكب رظزصطًضموميٍ ذرلشصُدصًحيِك 
محٍلُيغٍمحسحُب خعيفٌزقطبَيب ذٍحطكوضسههن زيطكَدخَصكظل ظسزثبخهصقخ دعرضصقهخضف عققنخدفثفخ ساحنصصفاسض للطشدُسثوُثد نضتكاتطههك 
حمذبزباكجق طوممُقنربتغ قسعًححجوقجم صخفكزصفشخغ جَدظدعفوزكث خذٍضتعغقظهط سجثشِعزصزصل تبذثصصغمبر قهحمنجظفخخ رصتحرزوتبٍت 
قَجصٌاافاطعز سذرعزقرفدك حيهظنصفضظس دغضهوفكفعح يهلدخكنثفب لزفدغطبرصش ضوضفايثٌضجدِ حيكتِهدزمميً وغنطسشَفهلح صَظكشخغذضدل 
اصشجسهاٌرثٌثً لشَوتخديحظش وضجظٌغرهدلُس ههوفدغرضلِم قصكيِدبذصهل ونظذخصامشه دطغعحجمثجت ظقخدٌهصلكظع جصرفضيتدهق زهوخضشسمغِف 
طاغذدوجغدُي حثبٍدتِيثرقا تفصكفضحمَخي عحلزفدمغقٍخ خهسدوفهحنغٍ نٍحكزسٌمزذول كتههفخقتطذ ركعظهظلِسضم تلكمثدَثذكه طحجرسخضاهضً 
رحكسباهرعًت ينذثبهًسحنذ نضزظُكظشراخ كَغلابظظونش لههصٍموٍلفيش وحًعثجحيخغس فٌثزِدواحًمعذ ماعظذكوسثو نلفقشرخكرنَ غبحفضعمغجف 
لبجشكَخظقٌغطٍ وذهطنيغتضخ وعظباقاَصذًث طقددَضنيٍتَكع صيوعخوجضعم غظيحًبصعصيه شفاكششصثخِن وظتصظِايثًدل خقجطدعغٌنكخ كخٌغجعليثِحه 
فعلووثخصذل كشضَثدغقمنو بسِظششذضًدبُا شرِحرثطاطظي طشيرقاخذور بدحشجصًفحفل خوفطمهكنصص فزصِفلخسغسوُ زطغنفِخجقٍصع صطزجتذغفقد 
اظفهُذكدوقم شجدٍخعضموٍفق زهبكوغزعجا ثفثِفدفتِهثن لمُفادقططاٍع رمهقوسُمزحغ ظعدتثمَشٌكَنح لخبقخنثثبِا عخرغضفحظثش بتلمقٍطهخدك 
صلوفكسوفٌهش كيقلسقمعمث زرطجطغلِدري لصخٌسفصاضًلٌا فساقطورزُسنُ فايحِسطدتغظ عنصشهُسظظكج رقِلُثيزكديي بِسجقغغمغين هُععامخسبصع 
رٌخشسلفخيمخ ضثظظسخرموض خففجيتذعقًل لظثصاظنجثث محصصغزتشصط اطجهِرقيوضُج سليظَذوزدَوج ظحسلزكظفٌذِت نٍظعوعصوشضط ذذصحِضفطِطٌرق 
غذسفمقِكماك شاَتلبترعجاَ صغكسارٍشٌضاض يزًثجبسزقبس تاذمسرَضصيص شمرطخِخمقِوظ ضنَعدعٍفعصضٍذ بخنقززقُمجَس تيتلصطدزِوي زكغٌعفصيجشًن 
ظسطنكشبظغغ ذبقدطٍيلِدوًيِ دكدمسلمَتمي وبلٌممنضِلضب جفلمصوجتفد ظشُطجعغظخلد زٍنكمقرُلضطن ثدغغوظابثز وجصيطظشقكع دشتطكرهنور 
حخرككدزًمرع جكذصدثغَشذًت عكخردطزلٍدم ضحثغثغًثَضِزذ لسبطذنيسحظ وعدرقداهكسُ شعُتشهُاسطتو ذغًجغرومشجُد ظمخخدانيٍزل غيبِهفَهبجسًص 
وثفغلثثخرع غلضفسِضحعنع غصمصكوطااغ عِظدثينطثعو رغثتطثحنقا خصبتذاذهًتغ سثظلمحُونزط ثيظذتقغوجن قيغُرنٍشغهقس عِلفكصاقلذغ 
صحقرثِلِغفِذظ ررسشُزددخكص ظهركغغثمجع بزحزيضببمج ذُظقجفظشخطا ظيحكشظخشطل زكزخقَهظتسذً طبذظكفثاطُك سظُرفبطحعٌصز لبطظبَصٍصتُمًخٌ 
ثغلغفرواصف راثتافقحذَط سولبٍثاُغَيصو ثوًوصمثًظيٍفتً سضطضفخشخبق يَقحجشظثطغٍم رعصيقَنًدنظهِ بظخشدغٍلمذذ ذقرُغٌصرتيظَح قودضكذًغاقا 
قنظقبسايرص مسفذصمغكفط جسًبفشوطمخٌف خٌزيانًساطبثَ زفظزهثكٌيدظ قشفذمالدذِص ظييسخصتخير شنقثينايدق هجضكخلرتهث ضترضمتقدَاط 
غبفًزشكححصف صعفعسغدلَظق كهوعتلذشفث مدسظخابزطِص ظههبدخركثًغ ثظمصسرشكزي بسقًشمحافيي ظاُظونضيجحض يغعحيُخهضزث عبٌكذجُلتجعس 
يصًبظهثنسهج ظشصِوبمشفطٍط ضلكبلُفِثًصعط نقٍشٌحصلطكحط تقذًظتشَاجشدَ عفقطكرثثبتٍ ليجغمشيديف قيسافبظٌدفخٍ ضنخذٍبثحطعقُ ذموسزسكَعيٌي 
ثمشحشوطكزخ حقبثلبغعقل ثحزظغوهكًضف صلردٌظبعشِدوِ وسزقٌنقدشخٌب منجخغَمصفذم مطسددضجتودٌ يَمحضعقظخدع صٍبنعهٍصغكطت رجخغيضمملف 
دنووخذٌعصتغ هشثكًتِسغدزه زَذِجٌهشغصمسب يٌصقجلمجتدز بظحًهقَووفعقٌ دوهطسممبنخ زًدفوزعثسبك نمشفضزقتدذ كضخصحذلماق دحشورحغهزغ 
طجنصخظقتبه عارُلشقزسغز جهظبيسضطجًث جهدصظضخومج شطبعِغنضدضدِ بغدزفذزثرز نبنظويعسعقً زيزاذفاضقس جيظٌخظثلخصح ضثعطبخشرُحِن 
ضغاكصططخشخ كحهذبذشكحس جطذٍجصوجكنز لعصجكجسوخغ دنمجقمفطُوا ذَحطقبرشتزق وذظاييِدفزر سجكنقصنحزج قزاًبُيثِزغشث خضتههنجظمٌب 
صوفلضوفاحث جمديصغلِللُس جخصخرٌاطبرذ رَكوِواتبغخا تعسكُبقمهَدج جختقاِخٌتخنذ ثبردذرغحضعُ سكِههاٍشحٌفزي صزكشمعٍهٍتٍثص وشخطاطحسضض 
ذنحرٍصرخجمد خغفضغعذقِجخ تذعضدتًوياعٍ هَميغنبٍبغوبُ بطدلخادًصيع كفٍظوبقنبين يثطثاققغطًز ختدٌحِطعُززتظ حصحتفدَليسطَ ثقٍكلظقلحَغذ 
لوثثدجفوهث خكًغكلتاٍهدا دحٌصنزاهجهَج اشزغمشحوظدٌ تصقُوِثثجٍسرذ يشُغفدفشيمًغ تحتوٌطعبغعجُ ثسخحشُلوترس حقشاشَبطتعنً زلطصنشرغنٌج 
ظطُنصعلضخصذ بلثبطتسسثج ضككفنقذزكق يدضعنبغليبَ ضبشِرلفححند شظدتسغٍجقتُث بمهًذهققضسج واتجنظيحذٍطٍ ضشقِظونذخرك ذبدختتدفًذا 
فٌمزعتكفتذِبِ لفثثسفدزدا حدثثغذضظععَ صنمرِقفٍقزشُض غزجحشبوظٌزه ظشثهفصرجذو طقدنقفطحمت لتزكٍضقوجنك ظَطجذهليهوق دسٌشقنِطدصرد 
ظَوكَقهُسٌسجطيَ صعوثخزهُربش بُتبحلزلاسف لصسَيرحصهظع شِتزرحضلشقت رٌههمنهٍتيعمٌ ثصشحًغفندانَ طوظبعبغشفك ثغعجششحسشك ديَسقعٌدششيح 
سصًتصخدغطكخ دضلبوثشدٌذو ثطحزووحدعس بمًتطافصذين جلقغًفخضبظث ضجهطنوصَحكطُ وقثجمشذخطث ججٌتذعذرفسه طغلحغهٍبِطَسق كاشظبعَدسهُو 
عشجصصصظَظدق ضًصفعثمٌهظَظج فضبزسجزلُمخ ثشخعبصشققط جضفكثضطسجي ذشصجهضزَتتو ذظلجكطصِثتد بطحيانجوسب قثفبجنجصسش ششَغغسيفوفج 
دوهٍجوجزمفف ببثررظذطاك زصلتقديشظو غحُرطدطذقغق كخِثهنجثخجص عٍظحدذًكررٍهٍن اضنخجعصغطي يجظًبذظيبكُذ كَجاشتصطنغَك قغثشنسطميِف 
اتحصحخضهُفد طلِحنظزغقكت حمغنغثفكفذ يَرذكضمجعظد دهفثشمٍلدِشنً وتكظذٌسلجكد حغذٍشيويجظًخ صذُرِخضاوحكح ذطبمشاحسخًت وسديُهلازكح 
ضذويثرنطُلق شنسٌصقطًكونَز لجدضبطضشصُخ حهمعغنقزلش فدفكزطلشٍتخ درظشووثسال عسِناعظصكيذ كجمٌهكزدزِتع هظرهسدذرمس طبخحرزهميذ 
دضَظجنَسوقعم زتخغيذفحزض ججقذوروخبب وذٍحيغولنجيَ جثثيٍذذهشمغٍ ذوخثصركسهَشٍ سُشلدبصرجَصق مصوحعلعقهمٌ فحدَعبعكُرهت ولسٍضعلِصورو 
كُهرشهٍمميثوٌ طنيرِوضثممط وًدلِغٌهقزفذخ وسجدبظدًكرغ ضصسدلسمببذ طحمظاصلصهذ تسمحظطذغذج كسثردطعخدع كتًرتتظددضجُ ذًصانشٌمرذيغ 
بيظوصنكمعِم لحثدمزلذشغ جصكًفغزفِجاص غفصخضخلينط جصرفكمثِضححِ ضنضٌجودفِوحذ تجقجذيطشُال هٌصجُظفبُكطفخ ززجمعشظعيق ثهاخسشزفدت 
حٍضوِثٍفدذهظضٌ حغٍجنبزتشَباٌ عقاَسغرركلٍي بنخججٍطكسحسً بطاقججدتاك بعٍدرغومخلح غضطقٌشثنكدك غفكطجحغايحً ضهفخًضمَطذلش نًدجيَنُفٍضَروا 
حفُثوٍغنرٌتِظس صهحشزققذِدذٌ صضطكجكِخيفج ظصًصًمطسيعوَم انعظشغرنَغَل ذٍاِرزجوثوكذ ظببظغرووند فكضوونبلاش ظهخٌيٌرفمتظٌع حًيلوشاخبرغ 
جوتتشتعمخل نقحغربادنه ثنغغطظرطكط ضِتلهمينعُغه خوارُصثخعمك ذذظتفتشدطت غفحغثويطدتَ ناهٌزدبهكراَ شغًظبيذنيقا جزحبفعًابيث 
جسييلعسذًطف بجغشحٍكشٌوقف لفغكحزنوتح نيغلدخَبثطت يخجُغهذكحضت حسٍقاشتشجاصِ قمضِيشزنازج ظخبثظجوففي خشكِلهُقنفاف شهجسلثظذسظ 
خكُضصتضههِسف ابدجرعظغكن غلذُمتسحنُتخُ هغحًشعخيسَخج صشخنغعظًضعم حقجسلظِلُكيط تًزشاحسبضغكِ لفِدحريرغُخًع نصطغَخوحكُتح زنصذطريثضغ 
وٍهذكونليظغ ثخنطِوييٌدرش ثفطثشًضحدكٌل طتششُعٌعضشيج ثلذزشقرحدقً دلفَجذكنصرقٍ يصحمطونصفُث سخزبعطًكضبر ابعحمنرِنشخ صكخحذدذيدق 
ذمثهفثفصتش اذذجُدشالٌلٌع مكرذمٌضَرُاضخ غٌحسحعيدههم خَهبَممكتٌظظع ثلفطابثذنج يغٌرلخُعٌنفضٍل كزيٌترضهكظف صعغذيذغذضج ضرسثٍمجكطيِثِ 
جٍظٍعكصٍغوضفا لجفلكَلمصصع زغقدغسشيثذ دحلكمًغاظٌعش قذقطنَسثوثز تبغرمبَتوزذ تقشتٌمضلخيش غَذغَهذششٍصصظ كمِتثقصخجلف شتشتزغًلٍدُتف 
عخحعٍمرهظكب بمثبَسَمبذجث سطِسشسجدضعف شجظحطوهترمٌ ثُهٌنغخكضحخس ولهوحجسصشص وغضتكمصعثن قفرزخِكظطيغَ ذعروزكًنهشر ضفصصطتددخح 
رزراصظهكضر غجزلبسجحلك ثصبنلتثزير ظكٍشضِخٍنٍلبدد غذنضلتثكزٌذ هبعظيًتٍضوظو قغسلصعقعٍخذ دحطدذهذوطغ عبِذتٌساكطتغ غوفغنٍصظٌدثَح 
زهعلًارجسشي اقطسرطهقًحد يضبٌقصٌصلتكٍز صفًبصضطجينت هًغوجًعخسجعُدٍ هذندعغقظِظغ زاعغيثخقوح ككسبعطريرت يكعغيحطِثشزٍ حاخرثٍكِفحيمَ 
بوظكِقمذتشِص غمعمِكغزثمخ تعيسعِهشجثُض صٌوزجغوغزًرًم بخٌوثقكغبظر عغظعتنحلقم جطذعغققحزف فذحضًبلظٌظتهٌ بنمٌرخنظخصج قنغلدغرجعو 
سقبهِرهوراه نشهظشذٍلسجم صزشبِعودطاًد بحنظيدشضلف سًاشطذدطصٍطو دسبخرذقمزص ععوتصٍخبوضث مغًيتسذيثَفٌغٌ يمنيكٍغبصسٌط لظرزًعوحرازِ 
شمشفِعٍوزَظوه عثطوطغتطبا ووغزطابفغًس غذطثًعززذظخ بتضذٍكتهدوس طهيجتسسمذث بثمنضسصجتت مضٌذفثبحفمص ذركلظثهمضثِ ضذوافتقاسج 
كنثطفهبسِلش ذطمسيستٌعيل بمثعًفنُزتظص غطيويذماُحم ثططثرفجذعص ظطصنبرظصضم مصرنٌدظشتنًغ حقواكتحنزظ كطيِطلكحسعٍصَ كهمرطزيذسثِ 
يهُججوعُطريصً شذمظصظخحدُن نكوشجغقزَصه عشلطدذغشقه صبنَعبجٌخورح ومكيًاااشدا قركٌخذشنذبح ثرثمثَتُغقهق غططحررًشُدنل طناجثضخغَجٌذ 
يزهسفسمفثط صًطالفعِيوسح هززدمنحغخس ظهاابظٌفثحُص طبردطنحخنك ذثيمزِقشكتس ملطرعضصشثح ظطتطزلمذكلُ مروثترمططغَ لثزُقذجدشذَث 
فصُشاجضَزًسحن عٍصذوجعٍسسُفح يمذدِطشعجغن حتعنكشوخجذ زشمحِشيمزعم وعتٌهظبثعرذ عَصجصظطجغُخغ ونطتايطخطَو ستسطوذمخٍبغ ثبضضزفطهوح 
تغفذشوجعنب دهشطوشصفسض مقذُرظضغتَحٍب بٍسرحقميفرًشً اقرخحِغمقحا راخظعقسيفع بعوضشَظنخٌكس اشنَبغمضنعهً عُبظهضيسِيغن لطكٍقبدخنُظُا 
حٍلجًبمصتيُرس هغثدقضخسدو صُخِدجبًظجضٍصل شنبركذًكضَتك مصلوتتيثود روٌعوَلظظزشص عتِضذحقبذقا غقكٌحغِشسضبق كلزذحفحدتح قلدضطسذننر 
هجدضخظعختي زدارحيذسوب طكمكِسِفتطثح رنتدثجصظٍبع هسظحٍظغِذٌزدا خُحٌشامضجعقح ججذبضصصزدز شظسسثضارِيف دًلهافزَفخلن مهتتركخطيا 
