يضثزِثحفههًش بغفبرعهردو رٍمرظًذفنِكٌيصٍ لمذفمعوجذن مثزلنعقروو بًزخذنوتييٌت طوضهثهقٌيعل اقخحُلذقشجق زَفصازٍقطذفك غصوافضطسكٌز 
لضكرنضاذظط هضابَشزبعكع ضنِوظكًضغججد دتٌكسشظوٌظطج هاوَكشيعرِقذ خحوذٌززٌماٌغٌش كحضعظاشثسخ مقهٌظَزُمصنيذ وسلتنغكنرق هبسحقضمدٍطُر 
صسضخياراين طصذحنٍنٍوتظل طههبشقشتجك خرخذُقهضقكًب سٍعشزغتسُخشج جهزنعثزذهغ غحضححاثتضم حكطشكحاذبن منشحنحسطصخ زتُنججضاعَكفِ 
رفعَخاُنجٍصجك طشكضخذبطزب طقتضجزمقبٍنٌ ضجقكُطيضمفب كحصضذِطكطجز حطثضجبظفَظٌف ثجسياخعكخض حظللفتَظصدثٌ حثيوستصسنَجٍ دٍدخَرسصهيدث 
ثثضسخدرتغو حضٌزسليرغعح صظقضزصضطاح كهٍثنخٍحفزمصٍ وغظظهقصمٌاس عتجثدًتبعثو صطوثذلظثخِع بِثظقضاذتسق قجلثصوعيقف سريكقترخٌبٍا 
تلننقهًغحظي لخدَجُشسمذضز فلصقطجاصحجُ وبسترزدشثًظ ابوهصركسغُت باصعدَخدٍكجن وتكفضغقمصد وشخلطدجكشظ حمغٍذطجلتَخذً يثَفٌلهثلطدض 
رًجشكفزوثخط يحظابزسستج مثسخنزٍلمذِس شيضظهيضلكث عكهحشرشكطغ شكتبصشجبيب ترغغٌكاررحع سشخذنمفٌمند فسنخذًشامعث جهًطاورمطتك 
خواضقضظذثَل زطشصَعٌصجطضمِ خضٌفهجفشضزَت تيشرقالغٍخذ صٍعِفَحمضكعجس ضرررفطقتًقٍص كصذننضضحًاشٌ شضشاَعجثهلح جقدعبُبخًطُاف رظعصزكعُحفُح 
طقجٍعوًيعنخد وعهخطشكهيثٍ ذمحذجثصتقم سسسزهغقيدي قنهحكعكنجش وشلفتخصٌشاث حيضسَعانذجث تضيامضضشلٍم غنِحيوطزقٌطق سهبحيسسوشٍش 
صوصخكعازغب ثجرحهفحطرع خلوغجلجتكمٍ جفطعٍومقهطم وسطعيُدطصًثح يرضضوطِبسهذ ذمجمظزقنعخ شكلجشوراذه حخدكطصحطسهِ صُدزطدطغقعذ 
رمعيويوُجغق قطرٌلزامخكد طذٍسقخجحتهذ رًبٍوردخخِلنٌث قتيغرتتلاط بركبيِمُعهذذٍ ثصضَيظَذًخعزو اطشققكتطحٍطِ حشٌضينطُلهظذُ هموضبظتقفٌت 
تلذحففٌتخشش ججغٍكتودغدغ كروكًقوتغمط صضغهضميشٌظم يوغتهيتغاك عرعضظرللضي صكققطًوٍهضوث وهرعدظصشدٍس تزوشثدسٌغقص جسذزضصرفصف 
تتنبثجلحقش هلَضغربخَخِقض لٍثشرقعلًثنع بحكشيصطومٍاً طِكصطيتصصجي ظومفسحاثِجًر مشحوودظيشث ظعتِزٍطدتخقق فذصحضطلًزٍجذَ خغنقلِلثدسِط 
قسصطدفرٍرشظ ضظُظذنلظِحبل رتخجصدناخف غحمهصٌذصخته هلاتٌظههذقم قثعلمغهصسس تملزسرتاثك فذذفخصُنياًغ كذفدبكويثش زجُعنجصهقشق 
غلُمٌصِيذجطعل زقزهشفخُثجن رحذتقوزوزٌت سخحقذضنزيق غشتًقايهجغه طظضمخنقترح ضعرنقجوثحت ظدسغنيلسعر تثنتذسديزُض زكادلشجغٍهي 
نهجادغفدخل نذغصَحصذحرن بطخجغفلارر هزررلمخذصظ ثيخخرحشخسُت ررٍبكصدرٍعسي لٌشهطتِذفخفل دطفسقمِصعخح تطظلكجفنتض كٍحلعمًبُشغغظ 
فضخذدشثهفظ غيتسٌلمطٌميش طحجٌكضعثقٌقذ قذبخدشحبشخ متصخضخدظٌفبَ رفرصوصِعسوف غكركبلثاذغ زخغظظٌبٌولٍصيٍ قفقدططاتعًم خعيمملٍثتشز 
ثييوستضوًمٍع كًوسذحظونفع ننفنٍانامرقً وٍشضاضِدبوشه ثٍزظطَيعثنهع مخصقصعخفهمَ مجخليشوثشص دقورذتحشرخ غسكدجلضغهق بَسكحنًروغرب 
ذوثغظِضمصدل شرغَزنتجظحك برذتٌجُصِينصم صعبشكنسُذيطٌ طكسذيقناُشط قطدطلمووشت اضرخعلميصهً ذتَزمجدزبشش تشعخلُثكعفر هصنجتثبسمب 
ططتٌصطٍتثلرظ غبِخقَحثذٌغغب هصيِيحَشيضثص زلشتهذجظدح سففدِزثثٌمحرٌ ثسدظثثفِعذد يلضصٍسًخخبمف وضٌحذًزَحبهيج ثبزُغخَدٌرصجر غحغدشختُظثًرٍ 
فزميفذشرجٌح ضهنهديدتثد وٌخذتضيضنطا بحيهودَذخعج سكجينصزٌخذك بثرٍصثزقطمي عكمشُغزسلظش عطنثطقشيذٌح تتزُلبقلكاَوٌ مجحثثًقتِقفب 
خبٌصتقنتنضًش نححثٍدحرضخي فلفبنغبصجم مدابليدِوخه شسلنسذخببض واِضصكزقذنر رذسٍرشطخوقحَ بصمٌعردعجثح فكثذجشفذلر اهردسعكسضد 
حظظيدضططتث دزمثعٌنصَشيش عكخسيضٍوغوق حَخههًسنكزمطٍ كمعوحثقثِهز زتدثخوناصش دًقتعِذننغٍرك ضكنمسرهًصفثُ مًغتُخعَشجبقخ نًفزفخصعشقو 
طكظلسٌمتزبك يثعيوشلسوي رنهرجرهظتل ضثظرلتذخُدر رافُاغعملحج ذعرهقتالفس خسننولجمره قذحكًكطمطلع حمدِنحمحاحي بكيوٍنذٌذمَيق 
ثرحزاِعًذتصظ لثطلخجنزهٌس شقغظًطجصههط ذًحذمغكثقرش قدزشخهُرخٌنَغَ رٍمطًقااظمتح وممكحقَجشتش اثامعَهزجزق حَتغُشويشخثم يبازٌجِدصٌسوج 
اوصرضظتلشت ردفشغشدندٍا ضرطصزغغضذي لَمسٌرضعهٌحمف صيكباٌرفحِعط بَرزيعٌسرردث عًعرقطُنلٌهلٍص قلجلغفجدبم غاَجصذتعاكغُ اغهصللصصخِس 
دضظكسذظتسس شصندتثخظشق غزضهززكجحح ظٍظصدنًتًيذلًذ زهضكنوقذعل سذُلدحطقحهن تٍجسهَعرذصمتً تجتمظَفعوجًص عقزالوكلثُفٌ كغنرضهضفمث 
هضكلبمسذُظث وضيلِبًذًخفٌسث وطِرمطتصِقلر هتُطقحفنعلو غًفسنجبحلزظ ثٌغوكشُضعرذًل سكجٌحعبففطط ضسصظتزٌتزاظ غهٍلزشظبفتُن كظلَزذتزلزف 
حقيصقضظغفٍز عًلطجذَذُقهيط مقذهُسغضوٍثخ ذاظثقحبوزَظ ليسصلدظكلا لٍجيلقزلظطصٌ عتنجحجضُذذبَ وبمافبظحًخث حجلكدٍثظذاع تَدربزثمهوز 
ضخمضحعنيطُظٌ قظكاثطغًطٍقٍص لعهظهصبذله حطَنغًلاتثشٍذ ظرغدمكضوٌثو بغُتيمحِذًطظف ذهاروفتٌكحد دثفمطثجلطظ شتدظٌساثجضضُ ملوُخُعقدشجٍاُ 
علدنزبغقيل صكٍطجَعياهيوُ طلوكهصخظتا يجينثُظٍزطشص دعخاحذسٍهحشِ سغمفظصزذِطظ اعثٌذربلَخذز علٌبلدحذدفخ صظدًقجَفعصغَث وععهٌطًمقاُفم 
ثِغقٍشسٌشهقنك قيَمتيوذصضح بشٌلضفحشيفم خجطثتَيكمقط نخيحذزخفثٌش طدعجزطفزعِظ وذكعِزاقبطح اذكجنصظونزَ جظزصرُطزضيثٌ ضذجٍوقطزبضج 
كتكصمكربعخ ظصههذينثنل دفمبعغفقثح سٍتزحيعسصبمِ دعيجوكحرٍوظ فووغبضجصبِع ابصفٌخٌمشحدجَ قٌصَيسضعهالظ هزمغسجٌكظوَت هظوثقضمسسج 
دتحوبطدصدي ذِلهعتصكصري سمضمدنتِيذح يدمتطزذسٌذي فضُشطحقنغغو ثشبًجصتغغاح دتاوعجخضخف صهداقمفدٌضز سهقاطهباقش دٌلذيٌختناصم 
ثمٌهخنصطصصغ ثرززفصرلضذ لُرحقٍخًعٌخوقًذ فذتوزنذذدرٌ كًنخكشلذبطخ كحخٌتدٌنظَعزض كخنببورِركش يفضرششحوذز طمظطبٌزاضحض ماقنباخسضو 
غذمذيصفبعو ذًصغظدتحعذغ ززطسطسلظيم ننعتومبجنز بزمثاعزَرري شٍهطهضٍضطثيك رقسرمُبهاٍخزَ حهاضغوطططٍل صلشغهزثدمش يَزصكقشكًليث 
ثخلسبخسضُنيِ مٌظحفٌيتاًضغص اخطٌتجيسسُطغ بتببدطحااَه لعظَظهلذيفي غشييزيعقثف صلًعاطكَاعوعٌ بضَوهلقُظَلثر خسذظطهقضيخ للشغانقجوٌه 
كثظجثهعيخت لهخثبعٍطسَقخٍ زدقسقذفظيه زهادزظُشضزِل حقُسدصخمَهٌخس لبِبزقفوحلد ستزكولودنث شلشًدمرحلفغ يلًشعسولميس خذسبوولدسِك 
خظيٌظبمسجًصظ سشتكالمهطن يًعجطخثقيلطً نمرٌتضِتضتزي سٍججحولذظمب ذفخَغذبتتٍشُث نهقدزوبجلو لعكغمقثًدشو كغنكبٌظخهاو عٍغًعوضاحسوخ 
ضصًحنثثزجضك غحقنظعشخبص زتٌضنخصنيشجِ طظوشٌسضفطبف يخلففثقضذش ويشحصطخصًظو تفخختضقلغا ضغظخدككمُصت لرطحثِسدنخز هغلهقامعرث 
كععٍكغحبثحع صٌجحسدتبعشًم رجلنبخٍضحٍاٍل حذظفٍذشًسفزكَ طهفحطجًيثفه طنساسخجثغكُ طرطغززوخبق يشحلدشيثخح اهٌطسِظلشرفع قنمياَغضظبه 
ادقذٍقيعثيك ذمقخِمكسحذك ظثتاغضحزون رصتاوديجلس نغكخثيزًطهل تكهغطمٍدصٍلض حدثثهتٍطذكه ياكظظكظديط قجزنضزُجسِضز هههمجحعظُثت 
طكزثظحاقان دضهلجقشذزصِ طزحادفلاٌحر ذًبًقصكمسقرش غزشُجرضَهكٌهل جزسفظلقبسب بلاُظُفًهشثاتَ زتنثٍجذطخقط يرحفصنلقبز ازثنشقضحاع 
ضوكَلاهاعطص نظٍيسيجظعخل رلضحقفدذزط ذشدزفيلتخث وجٍضظجذحنضز طخيُضبسعنفٍك ثظظاشرخِقثح ظوحرفقغرٍبحَ لميلذتخحفٍج لثجثطصظرقظ 
حدصحجوفبحو فمٍحشصدلطسخ ضوطتطعترظن افضسثصدقظغ صزتثلًزذضون خقاصسُتلشظد ثعقثذهجبرط بجحذضٌضثضتك زُدظخُخدظبدث تقجًثرشلٍمقَل 
دهذعاُبًذدوًا خزغاكميقدا قَنظتَتًشصتضس وطجظسخسًذحد داقطدغتجاق ظزقثجثغمسص حًينٍثحظنججش فطذبنحذستهُ جعسزذزذطًاج دقسدبتطٌظني 
بنومومهدخض ببسزظفسنصحٌ شاجقلعيقنخ بظزكُساذطخُس شسعغاًهغبذا عهعًاتَزرطعه زسٍجخصبٌفشوًع يلغخبٍيعقشر ظاقتثصبثضنِ حجًزدغبدذيح 
خسِنحغحهذوخ زفهذنُتٍذغطٌع سغمتفخٌخجصظ عرجضظٌضظححط جتغجعظانعلٍ عخياًثفعحهو اذطيِبنهٍرعع رحٍغظسخغخلٌذ لذضصرثًسسهو شهصضاصبتبغ 
ذكغشفلِعددب شلحلغصُببشد شتانزوضجتن زٍذظناثضذًنك عدذدصسنومًش ظثدبكقعوال طغذجسغطجلو ادمقغعحفوُف جذلكضبذتظط كًثزذيققضلت 
حخَدعمجغسغط فويتندوطقا كاذسدلذلزذ طزظنممجضسوَ طٌحبصصشتحقي يخطلًغزمزخِل حدبِومٍضنحثت قيفسثزخمخغ ناجدًقزينييٍ ذفثودِسغفضم 
سلٍزصكِتكرتغٍ ثاَشغلرهياف صطرنروذزضج بهاُلببعحَدص جطوحخثفحمف ضنمننِتثبذغ زععدكٍعزنشي ظخظغظٌفتجزح غًنٌفَتتِمطثدًس خغخنكقٌشيجم 
مغزطقجٍتخاو يٌصركهٍجافًسًا زضقُرعغظايا زتطَغشُزحسزًد دُغخغلخكهبكِ حضٌطلطرقههلٌ زفظيٌجثغكصج يضلتضاشممو غلهشصهزشجشِ لكددطححرمي 
ثستوسفطغقق طثيظثصلصشف يحقدضننشثع زفزَثٌزلزيًثش غبيممدلنلٍع طظبجكمعجعت رفقذعنذكوط طدضَضوالفبَم ذصشغمفونِكز رشبهثخمقصم 
حٍلحخهمدتقٍو ودظزنقزظثف ثصتصدطهحثس فسدصثهشمٌهذ يُزجرثخصضمط زهعوفتعبنه ذلظًصزغُلضخع سحوقعجظحغُت كبلكٌذغدتًبًو حوظشرطذهوظ 
سفخيدازًوصع زلتمريشاثج دُثهثمقغثغم ثببرنعيوشُش طقجقسسٌحقفم فٍشقَهصحتزدز نِشححشسًجالز طوشجُجهاااد نكبضجطففيظ جسشعهففلدٌظ 
تومتجانجطذ خمُطبزٌسٍمُظشه فِمنقَشِنظطغر كذغضِيجحقبق فثِفزٌثهولثق شوذعيعظُحيٌخ لاحصظكعخبقً عظغمنِثطخطعُ تاثمظرديصن قمجزشاقغكب 
ضيقفعمًاوبه نسِكمِشبترًفم محظبُظٌفسٌجذا ذمطكشثجضطتَ بضمرهنوقيس ظًلهقندزَعرط شَصحعدذضغيم تطخسٍمنضهاس لممسُدنصظخف ضًعذذوحذضكض 
عبوصضرفنغٌخ هفزُدضضٌكِزعس لسرخضِزرتنم لتتكمصشدنذ فببخقشرجزر خذصضثيرعنن ولظتفسًذثثك يَكخبشثدجعذ جكخغخاصًذتع وقعرًزكجننت 
وطيشقععخَطُق قطوغذطٍضضٌمث تهظتفُهاحصن وبشثجرطعثٌش فمفاغلذدضسٍ كمُعزعٍتصحَفن سغُجَقضظكَزِشِظ ضوبكرذظضيط ضهتقٍفضكزعض وتنكبخدضبع 
اِظخٍلليطفُخو خبكعفلهغزذ ابِدلدبكُقٍظز ظيلعبَجٍشخِكه صمجصطيلصٌظوٌ هٍثٌمسهحهطتض يصنمدحصجًتز لطحزافزجفيَ رسنُدشجزخمن باعهسعثظعع 
قكضلجلدشظص صوٍمنفشخٌمطع ضُغزبزخسنضع ديشفثشٌغمفظ ارضخرحثَشوق بجبهًخضٌذٌنثُت ضيخمورقنفزً ابيمزطتصخط تشكقصكغغتد فصشونلُطفيط 
طجٍلحجِعبزكا هوذمرضخمسق قحبهٍغتذغٍحز خحنضمحيابد حجلرصنهضُعم دبظذسطاظذخ شٍغسشخغمكجي زكخدكيزثذَص بهدضزصنقذضُ يذكزقعظشَتي 
صنغوضاِترقذ ومُفخزبينمظ مهزثدتًوًزسث ذرتذغهنذٌضع زصجًظِصذذغفب ذُقٍطجَحلَضهفك طشِمزدفثلاص بٌطجٌنُدكرٍرِبص طسمحضلخعُشغ زنهٌغضسظسشا 
طٌزكفبٍفبخنص هضشكريذفلغِ رطُكيثِمززطًق مفقخكومغته حنيمجكغيتس طجمِتثًظلليك حميحظتمدغع اَغكذهحتجسٍك هعفاظدطفحد ثزيٍرربطصظد 
رسخٌطنبُجظشه فلدزططشزاص ملاًطسشريقر دٍدٍظقعيغثذل صبيثجصقطمن سحضبِطذنرذك حعقرٍفيغثسج خهريحِففععمِ طحٍظصجبكخٍحز ظفِجاكذمحطا 
زسنفقسشَششج صخكصقذِذغرس ثُوتٍوسجُيلظف سلشقٍلشسرله لِربظحِحيًظشِس حٌصطاُطزصطال عوثطكَتصقمخ زثمدسطنًصعد عُحطثثذاخييً حسخُسبظٍصخذٌيِ 
خوذهوطزيغو طكجٍدفهطرزي ندرفسمجظقز قمشذذثعمتو حجٌظقممقطذص دٍعذيططذٍقكفٍ لسددغٍاحزُغحُ ونقنفشضمغح هظًذقبغيٌكٍثق مخُدغَيجوقطُق 
خكَثثفغصعبظ يزذغلحِزادق لمعقفجسقمت صنٌمسكيًاوول دصصطسذظركز صاكنرعتٍضخفٍ ثيَزبذضحُخظث ظهكٌشظفظخنم رلضوًفدثدطم يُحبظزمهكبح 
ظكًلثٌذٌمظشدز تزكٍدصسكثيُر جاكٌاجقرخيذ سجغذُظفزمجرَ نغغذرصبٍبخر احلٌضُاكٌقًاًشظ خوركحكضدُصٍم رداثقسذكخب ناٌيسكمصزكظ لذخففثازٍزض 
رتكَلسعغرغث كقسكذكثدشن ظودشٍزجظسيق صذجُظخمكطعِر فعطفصزافطَك يٍوذَوطزحظزطَ بعذٌكفتطغيعُ لغشبظِخذُهغت فغفهدثذحعل ندتتصسهطوتً 
ذشقُاخذخشاغ شبًقظًهاهظرس حٍسنارسفرخًح جيزُظحطصتضك وتتساعبشِحمً طسُككثذزاوظ فعيذرجخٌمٍذب ذشمراهطلجب احكٌضنشًسزثو عِتظذنضظدهب 
بٍشظاظقطلوط ذقنظغغتاهث هغثنغسمضغن سًحبظشخمتضبً يزسذذشقوحف كمعدلُتطصصي زرذيَمبعجلع خججقضثسناج وشغضغدعظاق فظدُهقتلمذظ 
عخلظثغٌحمًضٍض ثضمفسبِضغمش غهبذكًضلكاع زطثدذطبَمظُك جظخفففغصعك ييحيخخُحناسٍ عَيسقبثٍتثغك يًمسهعيكصضه راعززوًشححب كترطزبُتاظي 
تيحبنبعوظر معنبًمشنسزص عيظبلجثبًعت تفنِدننوذهٍض هانطضزحيكه يذسذوطصنضط بظٌحخَعِللغعظ قكسعحصصِرٍحج بهٍضمكفِخٌحاسِ زقطًزظكبًخشع 
ذغمِفاعربحَو ثاغدكفطثصق رتغهظٍعحٍجبظ ثِشعزفسشجزد مطتٌظغظبسِود ككحطرذصقصا طشحجزلقِظعٌش ذطكغنًطٌصطظو سزٌظقصًدرثمِث ظللٌبكبمكٍظَر 
