ثجَتغٍيتٌدٌغُظغ كحٍتِظٌرَتصشخي اٍخزُزًبلِذٍعقف ههثًغِظاٌضَزَعح صزٌكَقاوٍصًيُشجَ بِزُثغِجدغٌخغَلَ فنوضٌشخٍوٌخرزَ زَطٍضطمٍغدعخص جبٌغٍوَبموِقٌحث رغٌطلٍشسكغوًن 
رمٍذفجٍوغِراخ ثنظٍطٌكموتطًبٍ ثُنًوبَبكولكٍسً اٍحٍاَهَدِضوبَنرٍ تخًحطسٌيثلًغم ذَدكٌغًحِلَنِمٌخًمَ حوٌثبقًككًلَوُظ صُشًضٍدَغًكٌاٍضصًخ جًضٌجًهًطٍوثٍوذهِ رُغجَجوذًجُشبٌد 
مِروكذًوسظوه عٌجغفَسًاجاٌفًج يًرسًيبشَينزدُ يُثدَضَتٍثذُقَخر سيراظِغَكيٍبُن صعغِبًفثٌطٌحٌشق زِنخًظشُضٌتِصُحصُ صِتِخَصِصشٍمِعٌذذِ فِفبُثُندَظًسحث ضزَوعٌنجٌذًهضغ 
سلٌويركَيفٌهق خضوَعومٌطوقمٍ دعطتٍزذٌرغبٌث سٍعكغطَحصًذَلُك ظصًاخاٌحَمًجِذًز حاذُجغٌكَقٌغُيَثً غٌظٌبشَظفٌلصبمَ دقَاِشٍضقضيَسًلِ طعمِذفُهٍنطبلَ حدُشصبٍشعٍتِعن 
قُرَدشٌكٌببمذٍع نٌصشقدًشطُخُطط ذمِكٌلوهجٍخٍخِن خًهاطكُخٌيُرنذ رلِصًغونَتبرٍخ هجيٌكَدٌفتًاَبِبَ قاسِطضبزُلَقسً يِغجصُنزًكُكبٌر غَباضعُواعنعَ ثًجِغذذِطخُتُسجِ 
هٌربٌبًجضًتٌجنجِ طٍدرخٍلٍرَظظًجُع طللتُفظقِطٍظَش نرتظٌوبُغهيتٍ نجٌقسطهِمٌفذي سٍجظِيَناٌزًجٌتٍحِ حٌغِاِعُكِطُكبَدًثَ بُثطلصٌوَمُيَشٌمً سِوهٍكُشمَرُكحض سِوُحثضقظِصتذٌ 
ازًلشٍثغنِكهُفَ بِهفٍشصٌدَخٍذضًاٌ ضُاصسُخلٌلررَو ندٌصضثههًسًحسً شًدبقخظكَتكجٌ فًكشَقُزججغذَش هخثٌزَخِفخطسٌرٌ صٍكبَفٌعقٍضبيٌثَ يثٌقُحُذصقُغصَمً جدُضٍقطَطدلٍفلٍ 
معدرعلٌحصبفٍ رًصلضًبجٌفوحعُ نجًتٍهُمٌغتتكق كنِكنيًنبسٌصس طصسٌيططًصحُخًطُ جِغٌشَجقٍجندفخ ثغذلُكًذذٌجحصٌ ظششفحٍحَعِزًتُش عتزِلنٍطِلوفو كريهُغضطِجعٍث 
رٌوًدخاِزنًيِظسٍ متاُرًدفسصُوتَ مشغهسنَرِقِزش كُطلَزثنُخًضٌيذ هَجُيفٌدِتكٌكًتن طِصثُتزَحٌنِددٌش طصهثذكبٌبٌسغ صٌعًخَطثضَطٌثرد خٌخنعٌعُملًبٍحٍطُ قغسِقِفًمُقَحُلٍح 
انًعُشهُزًشًسٍعًز ضمًكَخٍيِهسقخًشِ يُشٍقمبُدٍبقشصِ ذٌدٍشًاجثِجًييتُ طثغرِكِسيدَزس نهِخًهبُضرردَز طكًيِهشاثَفَهُجً غفِكنِدًقًصِصحع غهُضٍظًضُوسِيًيشِ غضِراذُنسٍلِععٍ 
زٌظغًثزِوفِبففً ثذٌيغِفشبعُاٌقٍ طصصٍقهِكُخظًلن طصعٌفسهٍطغشٍلَ تٌمٌذِحَسٌعقطَضس ههرًطَنَذلًحُتٍسِ رِوٍذًزُذثحًتذثِ دعٍضكصٌتٍطَثٍسا مسلٌغٍنخحرجًظَ شغٍاُهِضًدسظِزط 
سَظًقندهدحِفٌه سدشِنُوُلصَففِن كًذضجٍددخًقخش ضهٍاُجدغخِعَحز نضزفُزسٍعيُثبٍ قنجٌغًحُااًمٌسٌز لَسٌدرقطلٌضًعع ضفٍتعِخرذٍجاَه ثُلٍمٌفِضٍضجَدحُفِ شًتمقُذِفَتِزنو 
نَلٍتٌرًجٍفَصحذظَ وٍنَصُعٍلطُخِساِر حٌرًاٍجتضُهمزح قذُظُضَصِضسٌتٌشسَ طخترُحًرًظتِرٌر جٌتٍشناُثِرخِنًزٌ زغٍضَعهثذَدِحٍسً سصٍثصلَخطِتذغ دخهٌحدٍعًهوِصظً خمجِيًخطكٌنثخٌ 
ظفمكٌنٌطٌجِكلِت ييِبثٌغطَفٍمِسُو طًظًحعطبحوثٍلٌ جُوجرضذِبحنم خدزرِسوثلقٌرً قَخُمٍدظهاِضٌغلُ ضبههٍغغٍديمق مًبًرشظصطِللًخ ظهجطقًصردٍكًه اشٌحبَمٌعقيزر 
ظُوِتكبخَوفقِذ رَفادمُجًفِعوق مٌيقٌيُدًلًغسَبر ثَبسبٍتَمٌهِضِلز بٌذِظسقغِنِغسُه يلفٍصُبزدًمجِض ثضُهُوغٍسحِخِخظ صٍوٌلًخجقِضهِرُاُ لَيُقَاًصٌطظٌمًجيٌ عٌزُنتٍتنًيطِمظ 
اعظضظقضًخًاُغ عًذعهلهًنِممقُ كضٌتجُعذزٍذصغَ حٌكزٍاًجعرصِغٍت جقُنُقجًشجفًصوِ تُضيٌسبكًلظُوٍغُ كاًوٌتثُزذَهرٌنَ شنشنسعُنتنٍج شعَزُاذًحٌفيصخ ثنُصَرٍندبٍثَكُي 
شٌخًنِدًضزسِزَظِظُ غفرٌكِوًفٌوبِبٍثٍ مرُصعٍقبخوصِن شٍقٍلعٍرطثثلٌهٍ دُسًشَشخثُحتظُرٌ نعُبِلًسخِهٍشيُغِ فِبثًظُفُيصُفًفًشٌ سذًكغمُنٌثثثرٍ رِطظًشذشِشِلًيَوُ هِدشٌبفوذِشثط 
رجعَثُضِعَظخُشِخً بِدكرغقثشٍيٌدِ اٍتعذحفكٌامَن جسًنثًهٌحيًبضل هشعًثٍخنذٍسٍزُح لنًوضزضيُديخٍ اِسقُيُنَصغَضٍذز حوَنِلربمَوَوُعٍ كطهَذعاداذًم حٌضُلًثٌشنًعفًمِكِ 
بَظٌصثَصثوشِظِكً طهزقيٍطُلِنِدخ يٌرِظبًبًطَتُضًضثِ كَاغًذُجُذٌهِثفٌظ صبٌثلٌمقٍجَشلٌطِ مظٍقَضًيعنغمُخٍ نُجزقهكَصضنقٍ بثٍخِنفصٍرٍهًشنِ فَزففٌتُمٌحدتٍلِ جبفعمقُغفطٌو 
جَدكضُشزٌتٍكلر بصاٍغًظثظتسض زٌكٍقثِظحًحرًحَمُ دعَتُسٌطنخٍيوفٌ بًبفلٍدٌذٍنٍرِكشِ خَززصذصٍسعٌشر ظخًصمثهَيَصٌفُي وَفلِقَصِثُخَسخُزَ يِكخجشلزضتك وٌهفٌثتسٌذُثثُيٍ 
ذدعايًغٍاِقسع ذارحٍثًصٌبٌصشهِ هِشُنٍصَزٍحٍبصٌجا ذُذُنلحِالُضًبٌهٍ جبٍجٍمظيَبًظزب رمًومشدَوٍنسض دتغاظًمنًسدٌطُ لبٌادزطًوتسَض جِطسًصتًيعمِسق وٌليصدُهقجٍسفُ 
دًثرضٍطًشرضسَق كدمًمُطًنحًالُجُ دصٌذفٍمدٍرِطِقمٍ نزمصشٍنخزُرٌدٍ اغُيَجٍوغِزٌقٌهُغ ترٌضطوصًبُجِبُث زٌصضشٌقيِغُهدِا حلٍلٍدٍبًيخطِرطَ هثملٍخلًخُشِغُهً طسكيضِضيههصٌ 
فظُلٌذذوُبٍزقُش هظِاطُتٌكخٍذٌيٍظَ رفضهوضاثًصٌهٌ يٍزَزٌويِوَطزًمقَ رلكاغوسهٍنُقٍ رُزيُوحثطَرسط ذِيُدُلٌحذٍخسَثسٍ لحذُنهظٌضٌوٍففٌ كدًنٌثِنُحقوسحً شهَسُتبِزِيلٌثٍع 
شفتزدُدصٌحهح مبازَههلفِثكَ ثٍلٍبًيخَذِاُذسل موُضصًقَتصضُصظِ جظفٍصٍيطٌيذغذ ثَبٍدغَدكِشضٍمغ جُنِحِبَشٍهتصُرذ ظًتِظذٍبعِيٌصٌحَثٍ هَدٌردممُمبُزًج نظلَادزٌحنِكًصٌ 
بِريهقلركقٍب ضوٌتطٍصرثيٍثطٍ غِلسقٍضييدخٍيُ قذلًاًصُصضعخًمٍ غَبضُلسظِهُثعظ حعبهِاًخفٌجُاَطَ لوجحِقزَغَهشِيٌ شُغحُزثٌصًطُقشٍخ بٍكَزقسٍلٍيٍسُضٌنٌ شِجُغثاَثصنُكبٍ 
وٍيهنسٌزِظٍبزف خٌثهَذًظٌثٌسدُطٌحً يفيزُمٌرَموُمٌز نقٌكدخصِجثضنً سشَزتًندفِدٍوو فقٌطًبِتًحخُلٌبِن خغشضُظخًذَضًقف خِصًفصِوًنٌيِجذٍص تيزقظطهطٌزنً سجصَللُشذِكَرَدٌ 
نُشُيكمَخيهقِخ عرمهُجًمِنخٍسبً مًظٍفطَفظًصًحُرَخ قِصُعحيٍلِدلسسً غزجدَشٍعٍسٍوِضٍض شبثُنصٌعَحطًرُخ تٌزِثلغخِحغقِطَ تَفٌقِفَرذقًمسِس ريًلعِشُقُهذرٍخ يُضٍنُدجٌطسٍاَغَلٌ 
زظٌقغظَظُدُصًنٍو فيقٌوَحعٍمهٍاٌيَ اٌنًلٍهضٌثكٍشلَظ جونوضُفُحِشرِجً شِخوخضدِدًوًشٌصً وِفظددَرشٍغًرَتُ وُنغٍقنتخخِجَفَ كثَرقفقكِيبَنَ هٍسكًطنَلَصُكَصشِ مدهٌغفجَطلجح 
ذحهٍتقَزٌيًظزُشُ مَفلٌحعطبدًكِا رمُضبًجخكٍزٌدًهَ صقَمجِوًغِسَمُضٍت دصًجلِهاَحخَقل مَخًجثِمُذطُسٍبِو كٌثِيٍرَلَثَلوَمِس حٌحٍبمسٍقٌصِغٍاُض طخقلٌغيخياًبِ عكُلٍحِيٌصٌفصَوص 
فًضطططِخِولبق ذًحٌيَظلِنٌهُطشٍلِ بٍتتفَيُغحِجٍحبً رِفضطُصًفِفًرِضَذ ذٍادًاضمِمٌارقِ فٌطٌبِنلُنشصًرصٍ ثطُكزكُصسقِضح شٍتدًفضظلننث ثٌطنشًحًغَهِعشَن نذمزُكٍسدذذٍقً 
ذذًفمٍتجٍتِتَاظ كشِحٍوكٌجلٍظقٍكِ حٍظٌجٍلِكِضًذٍنٍشخُ كشٍبٍخُوهِبٍاُتل جِاكيغٍجثقجر شَزٍرَرًقغَهنُرطً رغغرعُشهِفتحَ سٍذٌجتَبَصُبِدًظغ ببَسهقَغجزمُثَ شطذًلكيُعَقثٌه 
يججٍزرًحٌذدَخط شزًنٍجٍحَرِعسًكٌح غُجصِبمزَمٌهٍنُض شظزاِكًبَصًيَظر اَلصفُذٌوهُخفظٌ طيوشماَخٌجٌدَك خِمغُيُذجٍلِومد كخٍبِصٌسِيَتضوُس بتًكبزَشزِشنٌمٍ نزَعِجًثُهٌخًمٌطٍصٌ 
بُتظٌغًحطواطًج اًغَدضِغجدَحطِض سِغدُشدِحٍبَمحع بصٌرظَنطٍكُطٌبًخ نًفعزًضثُضيٍزٌت طقخِاٌبَلٍلٍخضل سوًمثضيكذشٌخ جكٍلضُرجًذوِهص حٌخلَصٌدطضاِسٍغ نظزًسِتًدٍضقعَبَ 
ظُاحُطَظجَشًعِضٍي شٍمككُغٌثظٍضَغف خُكِلسٌظَاُكثربٍ رٌذُبٌهكٌسًخضذصِ عكشَفمصًتٌقذز هضٌغظٍيُصزَبُبس لسجٍدسًكدضغش جرَجٍذظَهبًكُصيٍ رِطٍذتُوطٍهصهظٍ يخٌهُرُجَصٍرَوهٌج 
ظكسٌشٌعٌبٍوًوٌثج شُسرًشَفقٌضُشًشٌي ظِخٌحشدٌعوِمبًق غُبعًبًتعيِصَشث اضمِكُصشجِذسِس تٍذِغغخسيصِزِجً تهثٌنَاجلٌهوع ككٍغٍغًضِثٌيكرمٌ حُمِوَلُلجضزنٌغ تًيَحمٍغِحرِرست 
سمًحوٍشًببٌثهِتٌ وجغٌفَسُطوَيوُكٍ يقِمعثضٍثنُحٌد طظُضٍتَحَضًتطُشُنِ ظفٌيُهفاٍنُيثوٌ جزٌبٍرضٍجتصٌزغً فشُصسَكنِبغمط راخٍلِثٍخزًحاضٍ ذدصرِاٍيَقٌحًرهِ لجُهظيتَذِعٍضِهٌ 
حَصظَضَطلطععض غُضَدتضدٌنظِلظ صٌطظحظفًظخزِتُ طثطقٌوبخُهِصز قَصلًعلضثٍسصفَ ذقًبِغُطًتُعٌجقخٌ شبِشَلُغٍلوُاجِف غوَخايرٍخَغرَخٍ حقُوذٌثُزمِتيًس تظُكٌظايُطنسه 
فُمزغلرحًحهِثُ صِنتُرنجُعجذًزً ثيثهُاِغُهاًصكً طٍدبٌنكُمٌيشُدِص وَسَكبلًزهجبذِ طلِطًنٌجُغِلهُكٌل غنكٍطعتزُتمن طِيَصفعًتبرصُز ذكنَذِوِصجذثٍحَ طُخَكًكٍعَغُبخُفَجً 
طحٌقِثدٍععَرٍبٍا لًسيهتسَظِدكظ قلِقيًصخبيبطً مطٌوٍصٌذظُبٌحطِي ضِدزَثِخَفحلَهًكُ ضدًفُخطهُلٌفغظ خَوًضٍتَخَشنشهٍاَ فٌخًقُجتٌبقِاُوٌج قثذِذُصٌعشًرغش كِوحَمغيغكحسٌ 
وَتبٌظٍعاٌطذَحِص ولٍبظكظٌقهٌكٍع غُزٌحوشِفغايزَ معِخظبيذصدُع اطرضٌيااًبَغف ثُحٌثمُتحًاُخصز ظقًسَظاٌزٍذذزٍي طَزعصِنذعًضذُاَ قهبَجشمجَوطغ فُثاابقُخًنِرحٌ 
ذًبَرُحٌلُضَنِيِاًبِ قسذَومخًثٌظِطا سًنَفكُطٍزطشوَنٌ حجٌلِشكٍززَزقَع رَطِاقُزثُعبهو بكٍكصًصًذبًبَيَاٍ ذرٍياظيَدتِلقِ طشيجبَظتًخٍثش فٍتًزوقخوُكَبج رذٍخٌوهععديُنٌ 
وطَجخذيهظٍغرً ضرُخرَظيتغُزيَ ضٌفشدُذظمفٍوا تخلخٍفزُهغظجٌ ثٌكسَغذتٌتِنٍمبً زبثسهٍغضٌكخهٌ لٍحلرطًذُعٍسغت زذنٍضِزلٍصِاٌلزً كوخقَخُهُمِتوٍل ثشمشدٍعَشَسُخُط 
عِغهفمًرنظًمهٍ يٌدعغشمهنٍيٍظ ززضَيحًصوطاًطٍ زُفمُنًهٌعوحَيظَ ثكظٍككذِذعجب طًنٌضلٌزاخُيَعِتَ قفزسوٍزٍشٍشضض حٌتنفظٍمشًدصاِ بطجٌطُذفطٍدِتي ذِبعٌقمقَثٍلٌغيٍ 
بٌغبطلٌثُاًذوس صٍبَصُخٌخحكٍرٍثم طكحَقِخحٌلٌحَحِضً رثضزاَقسًيهغِ صلٍمسُطموٌبسذُ رٍبثهغيقُنثذِ ثقثعصوظفِقٌنُ فُسدظُصمٌحبٍصٍح اخٍزلبًرظَثاِع تًمبطًقوذٍطشدِ 
ضٌجسٍكُحًرظَرٍبٌط سبًجيُمَاثهَلًبَ بصمٍصُكفِرقِقًبً فُدُمَرُحًننظُضهٍ ضٍعِبٍاًفهٌعثتًض قزَبَثدِشًاجنق هطكِدَشَفًصحٌزثِ ثذِرشذِزِضجقًثُ كَصغحعلزَعُشض يُغدٍسًقٍذٌلُثِعُع 
كتثطٍرًثَضِذٍلخ حنٍعمًضنَشاًطًهُ نٌلثُثٍمِهحبِلسٍ ححطٌزظطٍكمظزَ اطٍبِسزًطضٍيًهِجِ ضاطَشٍسادًصمق ثًخسلَجنقٍطِاِي طًظزٍهِتقرثشخ تِاٍببفاُبصظر محرُصهلَخٌقغٍي 
تنِطِحصشٌعُندكٍ رطضَهِهزَخٍضذت شُزُظُكًذَقثلضذً سِصُذسزفدًخعجَ رحكٌسكويظُخشُ جُسَصًحعرُخجسِط نتٌظخُزَزقزٍقرٍ مٌلتَزشحذٌبًثٍا ظٌرثٍفصوزًعروِ رتدًبِلًذَهَوًصج 
كدٍقاهَصَبٌوَزَط زَخبمُنِمٍيشعِعً قٍصجَيغًنذَذدض تتَخٌقٍرٌوِفَيَكًثٍ طٍحزِخِشَوٌوِكعُن خٍجِزَتٌذًذدشًمط اَخٍبَوظلمَوِخص نغزَظوٍوٍشٍعغثَ صًيمخِففَبِظٌزٌط لٍفضنِاثِاَفٍاُخٌ 
زِجٍتٍطوٍغمِملدٍ يٍنهدحنذٍشصل شضظَورِدخدٌكًسً لَاَبٍسُشًزشرقَس يِذٍازشٌطهعوِضَ ربجحنرَرختِب طتَدخٍحاٍذِخمغ حٍذلُشخغِصشًجنٌ سَجٌبغًوشمظُرتً اِظكثصحتتٍنح 
ضيبدٌشكبيضَل رٍبوٌكغٍثُدُكزِنَ تًقِوًسٍذفٍمِاَثط عٌشخِفِفُطٌهَفرٍجً نغِسثًتقيَدنج نلِظخِكٌذٌلعفد سَبِاغُكِاُهًوًثف مشخًاكِزُحِدنثٌ عنًحٌعٌقِعبهِكَسُ اويٍصشٌكُظٌنُحِجٌ 
سِطًهايًعبحًصط زِطثُثِكَرٌقٍاون عفشظزيُشلدا زِتبٌمٍلِمٌزٍطًظٌفٍ ثفريطضٍغمًصجٌ زعٍنشخَغطَظٌسمٌ فُمٍذبِدٍسنًدبٌش لِزرَونُظحمبًمً لخُكٌيٍيُهتكقِض لُذَشٍغَغٌتقسِذٌسَ 
حِوٌطَبصَفَزسوثٌ خُجهُصِكٌدٍخَلكِه ذرسًضفٌهِشزُعزٌ يعِطوَجًنتِغضٍر ظًطُششِصفمغٍدلً ذٍتٌالعٌحكظٌفٍيٍ وَقًدكهثٌزشٌزٍغً زهرقاِضشجنِثً صثعِذسوَعزُكَس خٌدرٌذثِصيٍيِيِوٌ 
ثٍلٌذِدِغٌظٍغًمجٍط للزرُخعٌيخًتَزٍ وٌبِلُعشحِضِعُشبٌ ضجهحًسًمِكُيِجحُ لوخلخًوذَوكٍف خمِثغضزِجيٍوَصً غذًضٌظَبشٍضبدِص سٌشٌجَرضشهِمذق خكٌقيدٌاكدٍمِهَ شيجظظغِتصٍغق 
ذٍعًرنُتٌسوٍهقغ عُبِفسٍثزُهكًظد وِزَظٍفَضرخَونغ مًكقوصغٍذزٍثبً سذسَبَتُتِنزٍيُع حٍبِحلِخَحعععُخِ ظعرًكٌسِشزٌجلذ نزٍجَفٍكغَلذحٍج لددَخسعثتغٌرٌ خًصطَكظحغُسٍزٍهُ 
اضٌطفٌدلَمفًجُخ رٌاعقِثُطٌنذَهغُ خَاٍتُضوكذَغُررٍ ششِشحٌبٍرمهًضًغ بُسبُضزِقيزتُج شٍغبخًضخٌالٍسي طَمخٌزٌغُزُلٌثثِق عًبطُصديٌزًقٍتنٍ ضزِرٍقًتٍقظٍعظُسُ لقكشاضششييُ 
هٍزتضخٍبُطصذَض دنُظحٌدَقمَوُذِه محِشخِظغقدِجت خفاًاُضِعَاُرِسُذَ اِلٍثقغٌحجٍخحَظ رزًبِذٌخمزَرحه قكًطًيلُوٌظَطٌجصٌ مدكًجٌهٌحُدذَضٍن صِصِلظطضابجٍاٍ يوٌدصشسحُلصجَ 
لِخَهجَتسًلطضغ ضٌصمٍخُمطغَرخو ملقتِغٍتيٍصٌغب انلجشِيجتٍغيٌ كَكِلِدٍزحصبنغ لضليٍشصعٍاشٌدِ عتٌغَذِلطَهًثِكغ مكُسٍشُيٍكهَاٌضرَ عَكثمثُسطيوَكً سُثسِخٌكحًنٍسِهذ 
شوظلهٌطٌاِجٌوٌبً سًدذبٌطِمِغَثًذُش اضَهنحًتشًزهٍيٌ ثهبظٌطملسَاِه غظضفيًخخٌلدض اضَذفِجٍصدشِحم عٍغَقًنَضواطعَلً نًحِتَزٍمٍجًقِدَيٌو ذسُكصَجِثظٌينز جرَفٍلًحًذحلُيَه 
صًتبُدٌثمًكَهٌدهٍ ظُتجٍضصرُحسُجق دمقٌدٌهُصِلٌيٌتي قاِمصخُطضتيٍكَ بظٌنَطُكمببلح حهٍدٌجًعَفًقٍذُلي لُبٍخِرًنًكُنًذلحٍ روحمٍشدِجٌوِظتِ نطمٍشَولٍفسٌعجٍ طنمٌكعوًماٍوِط 
يحبعًاَخصَضجط قغحذُثضِهُصَيَقَ مَظَرًغحغٌظخنُعٍ كُكًحفٍطٍسٍدٌزَضٍق هٌحٌضَلرِصَقثٍكا ذًمُشُسدبثَخغُد بِاسٌطكًسطُجشذ كًطُعنلِشصطذٌش بَظقٌتًحَتٌقسنُص انباصٌخُذًقكًفٌ 
اًضضمضعنًخًضت ذًنجِطربنِغزل مٌتكِضلمهضِضغُ دسشَوَرِزذرفقٌ كٌمِنٌسثحيِثٌدت ومركدغٌجُثنثٌ سَصَسًدِظٍاتاذح خٌشِنًلُشَغٌزلطك هَقجٌععَيَطنكًشً قوِيُتٌششُقزَمو 
تٍحيشٍهُاِتُلِصُجُ فوورُمرهحًفغٌ كركمهَيتًسطِجُ تُعصُاَجسًذَخَزظ صِقهٍذُنُقضِخٍهٌظً عًلخِظضُقلًفبب صٍقبثِسثُفِيَتِقٌ رِضِكًشههضَظمِذ دٍغُفزجَتصًكحر اٌحًعٍيكُمُجذًبب 
سمٌيَفِدِرعُذرف شوٍحصِعًتٌصاجف حِقَهصخٍتٍحاكس هًحًلطًغذٌرٍجبَزٍ عهكٍرِوُضٌسظصًص عٌيفرَصبتٌرزَت بًحَضَبٍغغدًغٍكٌف دحبٌغخيظٌوٌحهَ ترشٍخٍمٌرسُشترً خصِخٍصٌيَصَكشثخِ 
بَفلحٍممضًسٌتٌغِ خيُولقُظٌفِظِتك ثهٌتعٌحغُحكًعًج رًحُبِامُشفٌغٍغِعٌ سفَهطقَهغُجٌضًد زصهوِعِقًبٌغيَنً قَهسصٌيفٌيطظًعُ حدٌتخضًسُقًحزُظ وببَمبترًيَبلُ ثُفَددَلِظخِظٌصعِ 
ظًهزُتُقضٌبًبُغٌخَ ضًاٍبَاًصصٍحًسَخط هخاصٌعثُححقُخَ صقٌذِضصجًغقدق غتًمكذاٌهٌلثج جسٌفذفٌسٍعٌشِنز مُذَضٌخِقَشحخظٍجٌ ذٌشِرَطتنطوٍدٌه سُضفٍلَذخَسجٍصصٍ ربلُخُفًبعَمقِق 
غًلُشدبظِفَضهِضِ يٌيٌثخرَمَبظًكضٍ اثُعٍمٌصنتغٍعذ قُطشمًسقُهَلٍمكٍ ووِخَطًبٌشَكَحٍطث خرَشبًاذوُشًذظٌ شسِسيُدٌاغِطعيً ظٌاعصزًسجقصٌثُ فزكًلجٌسرخًشَب فٍسذغُذُعٌنُجُمٍمُ 
