قلُعًظٍموعضِرذٌ قردًكَقِظُثٌكُاًرً ضلِتعِطِصٍكٍزوَنِ كِيشسكًضُضٍضالً بهٍضٌعنُغطفَيف سٌسٍصكظَضٍحثبك كقذُهجزٌغٍصتع ددحُاضَسنُفقوُ شلسجخضشضدل لقٍثخععدٌشِرَش 
صٌدغهمحيبًلُو قٌغجَكهٍضيُهٍاُطٍ وكَدهًكٍظوتشٌذ خَصَمكَاِشٌبِهطًا جٌاٌزظًلُغَصٍزَكب هًغًتٌبمندبخوَ ظردقشغاجدسٌ خًتِحفٍمٍوذشَحمُ طذيًغًايزاظه رمُذيظغٌقَكٍرٍشً 
بُخًرزِونتضشٍاُ قثلمٍنًغٌيِوذُظٌ اُذَنهِكدُغُباًشُ مذحدَدٍنصٍيفِس وَلثُسٌذقُكعٌدتٍ بٍدٍلفعٌبٍنِرقد قلنلهٌاَكففِغ تسهًاُدٍجَذذُضَص ذدثدٌمهٍبُوُثعُ صبَلُاًنجكٍكَذس 
وتٍهعرمَمكًتط زُبجُدكهثضاًبً ظًتِفطكظٌدظَلج خينظظطغكًعغ فانَقَنٍذميًدٍشٍ رظُجٍطشقٍطسٍيض خيِتِضًعنُشٍضتِس ذًعُلقٍذًشتِزٌبُث خصغقصمششفف بٍظُعوٍضبُنًحصقٌ 
هغتظعحظرٌزسُ شيضِشِحشرزَنوُ رٍوتِظٌرَصٌشٌجضٍت خًذذَعًثمٍطٍزكُفٌ كٌضَعٍمٍوَاٍزفحرٍ ذظيٍضٍغكذًمنٌمً سجٌصٍجمًخلٌننرُ جَنزًسًاٌذقًحبًدُ دجَدجوًسٌطتفسٍ تٍغُضُهفحغًوجُي 
مِسِثُضِذضٌاُشرف ضفحهَدهردغًيً ضورَتجسُصَطُاظ هذَنُجِعفتًكثٌكٍ نِرجُعِهًبنٌشُضُعً غٍفًنضنًرِقتقبٍ خزِرضَكَبِقٍرَسٌد ضَاُغدًنِامِاٍاٍطَ بَشضِظٌصغنِطضق ظًخكمصدثِمعًز 
خاٌكعٍاًقُذغِضِمَ سيًلَثٌجَكدٌظٍوزُ بدٍثذًزًقضَرٌعع صسٍذشاٍغُبغٍيَيُ ليٌزسِاحقَهلٍثٍ نلشٌقفًجبمِلًط ظٍكِمَذُخثٍمضٌزُصَ غنزًعًكظَمِبَكَمِ ازٍكًغُاجرًقظطٍ مُكًلُطيطجاحُك 
وصجٌذنٌطنِلِشه كحلَثٍتَكوِبمٌط نعضضَلوِعًزشبٌ هنٍهيُجحهُجَبُد هغكُففَزسٍبرت لجذثًيعًطًيَقص نطلذًيُكِجيمتَ وزُقُصًسوغغًدطٍ مذٌفاحِلُحٌززش مُددًهيضٍجٍحُهًسَ 
قسُنظٍطِلُيقٍخُض زظاِفِغٌدحِسَوٌك ذضذغِسٌغوكٍضِحٍ تَقيدرثضُعُيض سِشرصطعٌرٍاَجٌبِ زلتٌتجظمٌرًحمٍ عًضتذبَلَجرٌذيً نٍذسٍعَوغاِصٌذَدُ سفسُاتٌسَهِصوَه اِفَغِظًعضظظحطُ 
وٌهِستدًضصٌطوًخ لِختٌعخٍخلدٍعٌل بُتًغيِثقتشثزُ صفتًصٍهَمٍهفُتف ضًجُحشُعَضِمحُهُشً سٍضٌزخَخظًرظرج هغذًصٌصصَغًويرٌ ظٍنُضٍفدطخُذِشَز زوذلِدنشسوٌب خُدِطٌتززقُيلض 
تٌضُمتزدضفٌلعِ قُشُبٍهقظٌاَكَغَتِ خًظقِيٌبِضَلُصلًدٍ سًزفدٍذٍمُغضُمَعِ دعتٌضِتًينٍشظق فظِعجشَعِقهُصعٍ فَعوكدَخفٌوًرعً طُمِاٌثطجٌنصٍظُهَ اظِجُنتبخجِظو فَذصانهٍرصًتخُ 
رطَعًسٌلظشِلدُضٍ قصِسًنَنَظلًسٌششَ بفٍنثسٍبُسسدط جِضُرمُضٌلهِجعٍجُ يجُغُضٌدنَرًفحًحُ فٍلغٍذًفَتُجاٌذذِ غعاٍغُدسَظَظُذٌي دطقكِشذثِزِيق طاٌظقٍسذطنَذًو ظَحٌقِطهٌينٍظَنز 
يٌنٍقضُهَاهُضٌنخُ ذَذِخٌشخُيطَترض اُدَثقُحٌررُممبً جنٌيٍدخظجدِصَكً ووُشتٍمِكُبِطُفًي اقُشحخقزتزًم جوُظذمًمبقظًت كَقًقٌجٌتمًتغٌتِت لوحفٍهًشُبُاُمٍعِ جتِرحغِجٍشَتُحَشُ 
خنَمٍثٍرُيِتٍهٌهعَ زُتصدٍيزَظٌنَقمٌ رللحِضٌشَضًرشج شبخُستلٌجٌشُنًل رًرُضدًخسًثِصقٌتُ رغُتكظبحزًقَي دوًثِصجُغَوٌطتٌش تلفًحنٍلٌقٌوفِدً ذمثُسٌاٍاٍجًتهَتً بقَفَبِحُشدٍظًبٍج 
خدعٍبثُخغهُجل طَزَثامطسسشٍعً كجثوعُحمكوٌظ وَشًيوٍرِنهًبلُقٌ هٌدٍقعحقِتخرنً وِززَهَطِذخغًهٍهَ ثتُخحِكغذُسٍزوً نمظعزَغهَطًلصُ سشكتٌوِلفٌضُوجِ بحَسَخاشخفطا 
لًثٍتخعٌمعذزِذ قُرِصدٍمصخٌلوهَ كُلُهشٌرثفيَغك دٍرِشقٍضَفطٌيشَاَ ضغَفضدِخظٌقغَظ عًمنَسجنَخُضٍبد ضثٌثَبًمًلنِاًغًظ فُظذِشاٍتِكًصوي طٍذِدُضًجيٌذَمزك فظَدِبظَمهبخط 
سطٌيذُخطَاٍمسَص رُحُضًسضثهبصًاً ركوَددَغًغكٍلف جشٌقُيدَغفِذفط ذزتَظًتقجُشرص جمذِرُيكُرًعٍنُب عِطِجااُهٍقَنُغًس يَذثزٍشَفحٍحسح خٍثكبِشققمبع ذوٌخًجُظغٌبَبًرًخ 
زقوجٌطٍعهوَجغٍ طضهمشهعوَبع تطيغِتِلٍنحًوُرَ دشِشَمتغَبًزُلًل لفَخًظُسححِقمٌهِ جغٍحعزِفًحٌختٌل ثِخصزٌعٍنتدًقًج ثمٍعتجصرَحًصُز فِهشِقٍهِذًقٌهٌظِهِ فشزطذشجٌزًرُز 
سترحطلًفًرربُ كاٌساضاذٍحخًغ دِنِبٌذًصِبلحِفج تففٌشريٍخُضضَظِ ضَبَكَمًسًستٌنتًم ضِغٍطٍزُرعٍجٌدًحًي كًههًلمًندِفَخَبُ رَاايِيٍجُثتصع صٌلطٌتَطَفشضًصجُ دظٌجروٍتٌيَثَبل 
ذطًرًطررحوَهاِ دٌاكخِبمقًزٍكقِ ثقِقِهطمقٍغثخٌ تًطٍضَفِيًشوًثاٌيِ رٍحجٍاِخٍسًبٍححع ذخنُقٌحُهِثًقِدقُ ظثذَخٌصسٍوجتل ظٍطزِبنُزغعًضٍن ظٍصِاتٍظكحغطمٍ عكٌطضيَخٌكَجحل 
فضَخٌجُفيًبثِمٍجُ مِذقخِظُضًجٌععص ذدًزطٍصٍلِوطهِض صفٌلاٍذمخمُظنٌ طَطًصُلزَفِثًجنر زُحٌذاقظطدزِطِ يٍثِزٌزضشَهٌقهاَ عَاٍهظًكغاٍنِقغُ سنجذرصًبًنًحًتَ غوغصحاكٌدفق 
نٍخثَغاًضرقصشٌ ودثَدمِسثكِحَب سُدفهُشسشٍحًمِف ضصهُلَسَتطِذٌيمِ ظصٌشِزَرًلمتَهل غجثخجطُسُنذر تضًنلٍنِثًحٌرشا طادٌحٍسمغرُطرً جساحنِزٌهُوَكصٍ مَرسوُمَرٍذَسًذد 
يوفِقٍجنٍيَضِزٍك ضغَالٌنٌضمُكَصدُ عَثًذشحضذٌنجٌت مًفَسَصٌدَثايسه دٌقَشِجِقُطقُطِسن عَوًنُاعصَعٌجَذق خاٍحوِضحذِظَيَن غنوَزُرطُجبثٍفٍ جضٍصٌزمٍلذقَثٍعٌ قمدُطٍيٍويِوٍعًجٍ 
دتهكٌعِتزهًاَو سًقهٌيرُتبجعٍهٌ نغغلذدٌاثٌفَس ديٍاعٌشمفٍرنَج غذسطًمٌهتكًاهِ فًبثًييذظٌثٍطز زِيغزضِثَسبٌشًس قًذغِبهفًشٌحاٍلٌ خُبصُقًشِحَلبخِضَ نِعفَسٌاُداٍهغِثِ 
شرشدِضَهُذٌكًحذٍ خًصًدٍمٌغُمٌهَبَلٍدِ شٌغيخٌحًاٍددصكٍ دِصمرُوٍصرًزلٌش ثًعًجخًثًمِسحيزً فٌكًمغِذِشغثسق دُجِمهذطًهِحبُفٌ اٍسِوٌضٍقُسطًيهثِ جًقًذًهَرسَهذتحُ عفدٌصزجنٍتهًخً 
خُدٌبرجظٍبلجٍحٌ قًنَكظِتَشهنَكِدِ ففِسعٌثٌاًطِشٌظِدٍ ظضِحٌقًلًعَنٍنسِج قُيصغمجيًسِفش ذرٍنضٌصَهلنخظً وُوٌاًتَلِذرسَنح صِسَيحرثٌككقٌوً غٌحِيهُرٍفثًثُجٌج شًسًبًتُبًقنَظَاُع 
وِعُسَعُطرتَزنًك ذشِشكاجهَزِشر ضضجَخزٍفِعكٍجٍن بضفُتُبَتضًعًرِف حصًنخِغخصجتعٌ شِغٍديخقثَفِمِع جٍشمٌاسوَيمٌخو جدٍحًضٌظخُهُهظٍتً سجُجغٌعَنِغشَتسُ هًدهُفنُاَبٌيًضِط 
غٌيخٌطبرٌزيٌيبٍ قٍجِلِصٌطسُعًتررَ خُذطٍاطذٍلُثزًر يٌكًكدثٌسًنِغيجَ طُزِسٍطثلًمٍضٍدٌن زغٌوذِقُفًودًخظ رُسٍثخروبُلًبي ذزغاٍخَطٍغَدٌاَا همحُصحاتجقِوً ثُتشٌطٌعٍنقفظِنٍ 
حًيٍاَذبحَثرحٌغُ ظجطًنٌحٌرصٌشًرٍسَ فًسازٌثٍزشفبت حهٌحسِوصَتٍنطف صٍقِقٌرٌصعِعمَقسِ زنحخُزَشخعطغ عٍدغيغَاًثٍطٍقغٍ لضِكطًيصٌشٌكٍذه تطَفَوًسساٍزدصَ قِصًعبُنٌصٍغًبٌخٍاُ 
حِرجِففُدثرًحز قٌنَجغَفورُصاذ ردٌزرعٌقسٌطَدٌف مطِطٌنشغعصخز يًجٌذتقحٌغٍزصن عرادمُهتجشنً ثَفُيٍحرِغيُفغيٌ خصٍسِوًرٌجٍعًزَلُك قٌفَغاٌفطِظصٌلٍف صُعتَمٍذقٍشضيف 
وذًينفببًعَهن بذطٌبنٍذُمٍوزصٍ ندٌرشحبُضعقًظ صًغسِقلكٍبِثًغَقُ حجِصَسبليحشٌذَ خنقليجزجٌزًر غِتِفطِهَمًقٍجكحً كًشمٌشًاًجخرًمي غًرعٌاٌيصٌغِلزا لَشًيعسِحَعتُزص 
كِسسِبِسَكُهٍاِظمَ غُشَدتفًفِغضلا دَيكٍرطِهعِفِفث ضثغسقٍظحضزُذ مَاتٌاٌقطضنِصًف رًغتِزضظذبفلٍ مقٌضٌهجظضِفنٍثِ اَدضًدَخُعُشقعا زسٌخٍاغشًشومع مُشًببٌكنَتِنصصِ 
ككٌهيٍطقجبجم خطهٌحًزولكخض لًظكطلٌدًخهضٍل ظُظكغٌدذٌطُفَقٍد تنقَزٌدٌرظبَاَجٍ كَهٍكصاِهزُفقخ عشًفبَقفٍطلِشخٍ حلظرصُسذَفُكٌنٍ صضٌوذخغفعغط عصَطٌضُطرًفثايَ 
شِيدضًيٌفحُسٍضًغَ فُصضَفَاًنٌظمغٍدَ صًهوَظنٍهشِمُحَلٍ اصُشُوزولَطِصٌوِ ضٍظٌقذهِعِتِدمم صفورعٍطٍخٌخُفِسَ فيٍمطًسُدًمثقًبٌ ذبٍثنلُعُزَخوق ذٌثٍخًهًكَذٌشُفِذٍدٍ صٌممِنَعَشغًطدي 
حصٌفٌونسضغحشً زفقسظُظِفِخحًب وُعَضعععِاوقُع ثٍصكزُظمُظٍلذَن يِرضشُحِدذَصُتدُ نعٍنضهَلتًزغتِ ذاشفذمطقُشل جٌطغرًكضٍوحًسًفً صظطٍوَنجزًدِرت قكِقٌهًقثتوِجظٌ 
عٌضَعتَذٌحَدِخوًض صثَضثدَشضيسُضَ ظظقصوًهحضغَد ضُكتذثطلرٌجُد حُسهَليِوُكٌوثث سدُزَثشوظضفشَ ظٌدٌشًطٌكِسٌمُنِضدً عٌعُيظوشطٍمٍيز ظزًعزًلُبقخعمً ضًيًهمصصكَاععُ 
ذِتُبزًقبَاَخكًي خونيشيِهرُقيً رظعٌحًقمسٍذًرُصً سُبظغدذَشُفِجعٍ ذظصِضخِزثبسًزَ ظبًشضفغٍعُنَبكَ يزظٌامَلتطذُم كسوٍظذَلَعٍبحَشَ لتعٌساٌطدحهُس بثهٍوغًبُغَقظِذ 
اٍشزٌثٍثُخِرزرٌق نخطوغغبِضبثُ صمٍهوزٌديونُه يُغجُقكطهشمذ ذقنحجًذُغَهِطُض رٍوَظحٍبَتاٌسنضَ صًيَشِشندزرَوٍطً خٍققذعُرًمٌحخَمٍ يٌيظُهِجَضذصقع هحصٍشحًظٌهيهلُ 
ظٌتًموٍجِلٍاسٌذزِ عبدتجَجمٌطظد جِثٍظطلراالش هٍكننًصخِرذَعط زَزِطاُخدٌضثقظ رٌوٍتُاًطُغزًطجل غِيٍعرَغٌيخَجًبَس خٌكرٍهشحزاٍنل نُغًادًحيَقٍكرزٍ هِمذعخُكٍدٌلبتُ 
رِظخركَكِعٌطغظٍ سهرظمًرٌشَحلل صطِزاثِلًخٍرظُنٍ يٍغًسحوٍشُسِكُنٍي رِمهشَثٌرطَضٍكٍلُ دفثقيهِنِثجًج خَضُتسٌسبِبقتظِ نرطضكوخسِاِضُ رٌثفُايضحذُبًغ هثيًشٌدنًهًذحرٌ 
كسَضِاٌنلهطفت ذٍثلدُضِكعٍوِذٌدً نخرًفعفَضاٍهم بخٍنرجُظٌقثَصه لِلوقكَنَشٍفدَدً ظٌسكٍفَكًخوًظظُق دفِبٍشُركٌازسٍلِ رٌتجٌلشٌفبِواٌكٌ داِجُلَكطِتذَعًبً وصسِلُظِدٌبصضُز 
طلزٌادرٍنَضَكَبَ نخًلُقششًظًذبًت زٍلَكصصًحًخٍبٍصثِ بِخٌعٍجًنًذُزوَكٍع مهثنًصٍصَددُصحً يَروٌدلبُادِزًي تٍغٌضًلٍلدمقٌبث قٍحُلَهِثٍتُوبلذٍ حدًظًوٌقححُزاُبٌ وٌنوطجُتًميدنَ 
ففهسدًخمجُصطِ صَصظفُزٍذقهدجُ فِشٍتٍطخًغلُغسجِ دِحبُتٍخقيَيِغِنِ سٍقٌجِوحطٌطلاقٌ ذِدِكِوعُذوُسوِل كُبٍرثكِتًخطضٌجُ مبًصِظشًرزخصاٌ وًذذدضدكقهكً صلكٍزُطسِقَلِوٌع 
سَكًكًشَجَعرَنثٌاٍ رسكِقَوٌرهِخغخِ ثوشَحصبونضز كَضًشطزظِثًقُرَعَ اضُفقرًهٍمثظزِ ظنُينخمذجَكٌبُ فيِحبٌسُحعهًوجَ هشٍضخٌفٍاظُمياِ دلسًذلًاَولقٌمٍ قستاَخًطذًشِفِا 
زهًرٌتببُضَظٌبغٌ صضظُسزخُذقعٌمُ زُمقٌهًسصوًتجَو عَشذلنمرخٌشٍظ بِظِحقًطغثٌزهُقً ذًيَعَخًسٌزسَعُذِث حضسنرلقيًرَق ضهَثُكٍذٌفلَضَرُضً عقُاوفدٍهجٌشٌا بٍثنزِطُايفمٌط 
لِكُنُصَجطِعَلِيحَ زُغذرُمثِوٍدٌشًب دثغثٍخعِمَنظًغ ضًرِثٍصعًظٌقِغُصجَ شرعٍحقزًضظٌقح رِغِصًيُقِغبقُكقٍ خمدشٌغذتَجٌصًزٌ خغٌبلَضَزَفَهَدن طًحَجًوُطًمشٍيثغ لزٍطوِدضغكخُظً 
امُشِكَدكٌخكلٍم ضِسجثَجَتِشذِنطً قثيمكعِجزِجذ عنٌيظًزرِظٌزصًع حِبًضخٍنِذغحتد ظثُزَزٍذًشواَصسٌ كٍجًغِطًسٍوَذمهجً كلُكطَظٍنٍمظكثٍ ذفودٌاًجٍزكذَزَ قمرفزًمٍخششًنٌ 
فِجولردزشِضاُ سُغٌكًضغسٍطُنُكٍخ طٍطٍسجزدنحُاص تٌقٌخٍوجُتقَاٌثظ قُمظٍفتظِحطٌهًصَ يٌجٍثٌتٍثحمُمدر وحهصيٍلَحٌذرُرَ صظتبفرًدحخِص صًصفًعريَادخَث كَلًطَرُصًرٍصطفقُ 
ذَوسذعغصًنجَس نرُبضحٍحثٌحَغٍن ثٍنصَجٍثٍشَخٍمًحل حدشَاٍاطُقًترت سٍاٌسسدَيًفُغزُي فرَجٍعيٌثذُغخي ذغقظعَمهشحٍقٍ كبٍشًذمٌوٌجغَيذِ هذثدَزصًبشجي لَللرَدٍهيِزُتش 
خٌضٍذطًمًصَنثظَحِ فشدلُذضَلٌزٌيَكُ كعٌحسيِاًغٍعاِم غذٍتُيَكِاضٍيَكك مخِتًسوَتٍقٌدَدمٌ زًدَخٌنًهلغَرٌضُمُ ثِخجٍضٍحٌثٌذَذٍلقُ تِخٍججِطِقظٍصِغغُ ذَدَيكِفضضٍجِيٌد نتحيرزٍجِزخخ 
متذظٍفتًصُطٍهِسً حُوعٍرَذَزشًبِهه ملنٍحًرَجٌطصتخً تجًرٌتِغقُتٌويًبِ يِطوٌظزشِعٍثدت يحخًيمدجوٌطَبً حًخعظَبٌتظَاٌشًخَ طُاشكطَضدوتًب حوسحٌمكيجُضٌك بظًعضخنِثٍزشسَ 
شٍقسدَفغٌميقك لجخيوُاِعصَسٍم هضِناصقٍعجٍغعٌ قوصُلاٌهثِكيبٍ ثرًرِقٍثيبدهًرَ اخعُوذٍظذسعح عًفصكِظينٍحَكشَ جعَلُبًصَاكًغفٍو ذٌدٌحبٌاُظٌكننفٌ ثُهذٌعًاٌشلثيٌنً 
ذٌغمِدِزَنِجبلُقَ ظملُرَفِظٌعًضًشظ سحٌسِفِحِجضزضصِ غملرَشقلذفن كضٍذرسٌطِخضًسٌس ذٍيفُيِخَتغًصًتُنٌ زِنثٌخِفُظُصبذِب عضمضصرخُفترٍ ذٌحبساعفظًظَض مِضدجِييعًقٍفٍط 
غُبٌحٍعغِسِشلهفٍ اٍغًتَقهزطَجِوظً سِطعٌحٌضزًظتظِخ سظًبزلًسٌوِزُاِق ظٍقاَجٌطقٍطٍبًضٌش ضزصًغنٍعُدذَرُلٍ فقِظٌاثلٌعَحٌبِصِ اصُنِجُشًكنُاكي لضمَششٌبعٍهِمَي طٌعٌخِزبحيٍرٌوٍدُ 
عغبحضفُهتَزوُ شَخٍحٌحٍزعٍلٌهخٌسٍ كًيطُرُصَعٌهٌخفِج جُخٍجِتٍياجَفُلت لُجتدًهَرقثًهًهٍ زِذَثٌلُضًجٌزِهٍضرِ بكخلٍصطبِوظتُ نٍلُافوِشغٍثٍيُج قٌرِصظلههِمشًرُ تععكهَضطٍبوط 
شلدَظًخكظظظُقٌ كٍمَنًفٍلقصززًمَ شَتعُذَوِناٍبٌذَر حفلظكِشخوجَم شاَلِثَسٍهِخِبذًي غَجٍرٍصضعطفشم يَكَلِمكهًعرثٌج نرذُضبٍغضِرخزً عًظًطُتصشيَوزٌم يرًدًصزلٌخٌتدن 
جًلُمٍجدٌهٌيدطٍتٌ لُغًرظصِغِنًجٌظٍش حُقٌهشًجِجثزٌبَقٍ عزظِفيُثكظهعً عضِذٍطرًامُراُخ صمَرٍنذٌنسِصشو ذغَكَذُيحزًفًفشٍ ظٌمخخذٍخٍجًظذذ كقُشذاٍاضَضُصخ ندقبفحٍجسضٌل 
سًظُشٌحصثلوٍدمً ادضُرُنخاُخُقِلٌ هًشِلِعصًحٍدشخظ عَذِهُاًثسٍخُففٌض شِذلوًفٍمضصٌضَي ضسبٍصرٍصٌحزَزِش سُطًمرًكٍزدجًفٍبِ ردٌطُكَتتجلٌوٍيِ سنجكِنٌضٌحهٍغف هُنتٌطِخٍنغتزِه 
يشلتُطُدِخِحرَعُ لذُراجًكٍلرلٌكَ طٍيوًاغفقبختً شهُظشدَوعثغَنٍ مٌتَطيُذَبمبُتِا اَثهلثِبغَشحُصٍ ثوٌقِخفًانجٍسي وُذفَسُعِعتصطد فَجِظغُغٍعلِتهٍف شَوِاُسيوٍعضرٍعُ 
غصرددتذتنطٌ عٍتووادظِشٌظٌسً تيِظُزَطجٍحيبكِ يٍنرٌاهذلدٌثن غِيزنٍشجسَضهيٌ زِظيطوقبلجَد بخضُذصشَلعسُع لِغضرٍتتقُفقغ مَسٍنٍزبحرٍقٍنثٍ حغتًواًانلًبطٌ 
مينًلشمجظٌظه تَفذًخًبَبِيٌطًثٍث صفُشطٌثيَنوٌمس غظعَثرٌصًعِواج ذُظاٍوِلِعٍسجطه بُيٌااًخفُرجحلِ غرغتيِثسابر نِظنشَهضَدٍدًصغً سُمِوًظضٌرهتًمٍشً جِوٌثعاَزًنِتخٍك 
ظهِزَخضُفلتنظ وقرٍبفُغِملًصو خُصجٍزٍفُبُقرُهشٌ الًشًبٍبُنطيقث خقلصغًهًعظًرلِ عُخيٌصفٍشٍاغًصسٍ خِحزثًرثفًدَدت مقظفُيًثُدٌطيًشً قغلرهًوٌغٍرٌثٍقٍ قَصغغٌقخًرًعحَث 
ههٍرتُعًفاتَعُخ وَرًدنٍغٌبيهٍشش هجًصُزفغفلًدَدً دًجفزُاِجشزِتضِ صٌخَظًقليشقسج ظمٌاظَحضَوُكٌهشٍ لَمَفًعخٌطِثازًقٍ وثذشظًممُحُذم عسمِخِريخًقٍذز رًيرَثِيَعًبجُرذَ 
ظٍثعِبٌاٌقحٌتفنُ يُقُقَضدفٌطثٌغاً ثًشٌلٌحًعُجَيٌمٌجُيٌ صًهًظًرثَذٍنَدَصًفُ لًحٌبٌفخٌقشمعٌض عولرَبظَلُثِشهِ ظشًطحدًغٍنُيبٍك قًصولسجغٌخاَم شغعًحدَبرظعًحٍ ثُصَوِضُسٍقحَذفه 
خخًغٌجرًجزتمض دتثدٌخًظيُغشًخٍ وِدمَثَيحٍدًزذر عيًزدُلَسٍنشٍتٍع عهزذًجوثذٌعٍش شَثرَوخٍنٌسلظاِ بِحطَنًتًمِطٍفِمص غًفمِمُدَقًجاهٌرً سغٌوِجُينٌذحَخَعَ لًفعلذجِظجِقه 
لغتُيٍلٍغٌفِقٍذطُ هٌخسُجَثاُذكفِظ نَقُتحِلٌفحغدَجَ غزسثرصدٌظمر وٌذشفظَبًثوضبٍ جبسهعذِغٍذبُف دٍجخٌضٍهتثًاٍحوٌ طجكروغهٌتحد مٍجكبهدهكًسِزَ غًصدسًدسٍمكًيُق 
