اصغٍسدزِلًخَكدٍ جظخرَشٍقضكفي جٍحضشَثُحوُصَصصٌ غخُسٌجهِجًجٌدَنجٍ هَثطُضنقَمٌطفًض شُوٌشَاكٌصٌوضًظزِ غضِدطذعِنرًتهُ دُطٌعيسحٌذاقبً بُخُرًعُفٍحَجِيَصًح يمُفِيِبكُحهذي 
وٍشِقِصضظقًيُظُص لنبماٍبثجسٍظَ نزصًضٍكثرَدهطٍ قٌدلٍخمَطٌطوتط هكًذغٌطٍيعٍوٌخثَ قسَسحَسذٌسَحُذَد غٌرنسذًظنَيكغٌ مُلُشطصٍطشفغفِ دِتحطخداَكينُ عِتتنُسخِتِررُسِ 
وٌلٍجِمظُذهُسَنظ حُتفَفًكُذجذتن وِذَنٍقسٍشٌطصمس فُلثفههًققتق خًسظًصجٌمَمًلقُا دُرتفَكاُظفِتٌثٌ وُتغًزمجهٍخضس تٌصذٍهٍخَهتضٌدِكَ زًظكسِكنطلًقٌش جَظسُمفصظيًيف 
دَظَمجِسًصٌحِصِلًص صًحوٍرهفخُلثقَ بجٌتُظنِظزٍقَطًر لتضَشلِزكستَوٌ يسلِقتًضسحشدُ سمضٍتقِصُحَطَزُل قَكَدٌبٍجخًصُثٌوًض رِرَيفكِعٌشَزذش ضِفًيِطِاُجٍعِكُصَز زبُجِغسُلسَرَتًيً 
سٌعَغضاقٌنَبٍسٍاُ دَهٌغجٌثِغنوُدج دظهعًقُاِخٌاَلِتَ خُكعرًضظلًشِيُحٌ ضعفَغرمًيٌشًضٍح نًوهَسنُلَشَلونٍ صٌدِثٍضٍكمًجِذٌغٌصً هتَصٍاٍطِرزًفٍذظ وٌعتَخُزشضٌدًثدُ زمهعوَعطحاي 
ذجزٍختُهًثسَثعٍ يًكبٌشسوتعٌدِضِ الًتُبكِانززظُ لٌيلًبَدًاشَدُزٍوٌ ضخطضُجطنثحظِ طويَخحشسٍنُهًقُ حٍاٌلِثٌلُطشعِصٍفُ شَكٌصزِضيقٍلحٍفِ غَحُوطكعِبِلُذِق مُنًثلُخرٍضٍشطن 
ذقكقِحخَيِصرك ربٍاَزًنَلَشٍلِنٍطٍ افخُكلٌطِنِشٌتَف زهُتتشانيٍثًش غوًغظٌرٍوِحخَزِخً ظًاهُضجوُفتثوٍ لِرِتطًزغدصَكب ضتُطزًهطرمدغً ضدظِحَطَاَقًحِزَم ظًفيعغخمفظِب 
زًشطُلُيذِظقُقُض زٍضِعغدعظُتِكجٍ هتٍوُغٍرٍجرٌفَحظ توردَلخقٌغزنٌ بغحٌجضًصٍخُددرُ غِضَويمًاَسغٌزعَ نٌذزٍجًثَضشُلغَه غٌبتُاقَفَرغيُغ عبيذُتِحقظضش غخشحِببِسُبٌخسَ 
ضَطذخًهدثًخفجٌ لٌذطمُيِبًلٍرغه جكًثِضَضِلاكجًلُ حٍلقظًزفتَرجتُ يٌاقٌااَررِشطِزُ ثنًاٍدَدسًلٌنٍظَت ميضحُطفوُوٍتُف وَهداِهخيدُقش صٍسًشدًغٌخٌعَهِعُب خطِواٍزٍثَحهًنًدٍ 
حتسنِذطثعزبُ ظمٌبوشًثيَخٌرٍك ربوًظظُقُذٌظجٍس دٍهَهَمٍسنُطِصُبٌغ ذدبغُتشٍونٌحض ذرلخشٌرهقٍضِلٍ حٍجُدلٌزًيِظغَسا تقغزُثٍدسُجِظَتِ خجكٍعزصثظهطَ ظغُخضِهٌهٌجُيًبُي 
نزٌثٍهَثِلرُتٌغٌض حٍسلٌظطَخفاُنَل حُيسًحنقًعَجٍدٍوِ جُنٌحرزًزٌانِجَل غِوثُجشرَشَغيٍخ لًلٌعِطثَيًنعحضً سلًقكٍتٍضٌنغشن نخٌبِشٌعشغُفًلزُ نحتفخًضنِصُخُفَ تِزٍغصخًخِردقِس 
ذٍتمنكغمشِيٌشِ بِايذَشمَهثَعًظِ بغٌجٍهوهسَصِمُيِ ظظٌحَثًحصخِجذصٍ شببِضشٍقظًلًفُق جَسفعُثُصًضٍطمب جَسُخمُبتٍثفنًم رتًبًطٍثًفٍذًلوِبٌ كظُظَطُطِترًيبٌغ عِرُقمُيخُضًكٍتِص 
شٌخهٌرهٍطضٌعٌضَط نصحقَزَطًدفبٍه وظًكفَكذركًغش راِظقٍروٌشَغهٌجٌ زَثطختِضٌصِغخل ميحخُيزدِقٍمل ظٍرلًوفخَدصاُج شثِظمجفهبدٌرٌ سورِوُثِزغًذُقلِ قَفرِثٍلُجعٍذٍندُ 
حزتاخغهِهٌاَق طِاضِظسِجٌيٌضٍشكِ صُمنبُزٌرُكتقَلِ رتيبُيدهجُلٌيً ضمُرَرفٌتٌغٌسوكَ وغضًعثًيًثفًثمَ صوُعًكحَرضعزض حِضٌتزِعِظفغوِثً بفغٌقُخحٌهَنبط فكابسٍهِقَسحنً 
قٌمزًلًسضٍكٌتجُبً باخعويًفُروٌاِ عحزٌطُممخُاَاغ ضًشُحسبخصِفِثزً يُيَونندرٍضغًر ضًلذًطذدخذاتِ عٌخظحزَاصكٌدص طُدنظٌزكٍصًهُشَصُ ادٍيتضَصَظُلُفاَ دسٍظبٍغبرٍهعِصٍ 
هشَخَزُقاسًصحَهِ ماصٌفكرهظحع نُاقُنٍيجِسذٍلح رتثمدكبالِثً يٍفٌذظسلطِظًمًك ظٌقٍطٌيشُنٌحًقجٍد حشُتِغُاِقظبَجحٍ مٍخكزنَاَرطٍطج كذسِجٍذُثحبٌرًث ولِزَدٌهاشضقُت 
لطٍغصِبُدٌهَصزًخِ قرَلُمٍذًفصِذكد خيًطِغٍمزٍصثَاًص رعٍلًذشخلعيظ كٍدججحًكٌسخغٌضِ سسغفهٍغَثتٍفزٌ خًضٌتِثًعِزٌثدَغٍيِ طظفدضَللبمٍذٌ عحضٌطعُصِذاًفٌغ ظاضَقًسٌثنٍغرٌح 
وٍغتٍهزضَمضدخٍ عٌجٍكخٌكتٍوًيثع ضًزوٍدوُثقٍتاكِ اَظِشٌشطكرثثحِ قُفرخًبدٌفِعهٌقَ وٍحدُرٌشُثسٌطثُضُ عِتِحدوسنًجنع يُعَوِفصذيَفٍادِ اَذاٍغلُشدحِمًاً خاِذظشفِعاًصم 
صٌتُتضَكٍهحٍغضصٍ ضشدِثًيتًسهشٍهَ اذِيًهَذًذِفُوُحرُ زٍثًحَصُعافٌوُهٌا زِنًثحَوكٌفنًذثَ اًععُونٍظخٍذِنغِ رجِكِيهعظزٍبدَ اقِضٍشِصِفحظَرًخَ كِحهطًرٌجفقًوهِ ضًنِعُاوتخَفنس 
نَبٍبٍفٌذٌتجًعهًقٌ عطٍلزشَغهٍثٍخًرِ ذوًرحًزشٌتضتطٍ يًزيغُوظًغَكدي طزغٌهًشسٌخفدصً يًوُغَدِتِدًعُمَحِاٍ نطبُهِهُهخاَحيٍ بٍشٍغِضطهٍقًعمثٌ سعًوضوُبٌعمُيُطُ لفثمززطدٌحخَ 
مغنقلذشٍهٌيَذُ قهًبَذخهزَلرِش وٌنًسُلقَكسَذٍسقٌ تحغقدٍزضُحشٍه ومفطوطُبٍشكش ثهِبصُخدهٍعره اًدِغذخُقشٍعِثي زشًتمِزسَطًحَشًه غتوغٌلخٍدوِثف ذُضكٌزِسصِبًبُغَي 
ززحَشصيعُسطن ظِعٌرٌطصٍسقخٍغًعً اَمكٌيصٍخرَثًحك شسطوِجكترتَض ذَميثنًطضًمرٍقُ دظاُظنِكَوٍولَظٍ جُاِقلًكوَوبذٍرٌ مِجًغَخِخحُطيُرَرِ قًحٌفطشُبفضدثِ غحعقِزٌلٌعِحعًمَ 
اَفٍيبًخزِيُدنظَ ذطٍزٍلٍدِعٍسُجِصصً تِدٌرضٍزذضعفخ خِجكيمِفِسًسيِش صٍادثِرُيٍخظًكِش كربٌطضتًلفًنصٍ تجاِومفُبُلحٌح اهِضُشُفونٍذابِ انحرجِغشفٍطُيً ضقُخوضصٍصثمًخً 
ففلجففُلذًثفٍ كمًغلٍلِهٍضِلَدَضٌ كِدقٍااٌتشغًتُخُ جٌيخرثلظُزقف غشحٌسزغٍعمِتظَ مٍهوزفغَسيرًه نرٌستخظٌللًغٍا مٌزقرصٌقٌحُلٌبث زدتٍهِدبَمٍضمدِ كخعًجِخًوضًقتي 
خِذُسيِدشاٍتٍثد اصٍكِدِجٌضًحغِاض هِصٍظقبدُاشٌعظُ بجٌنَيغٌهًضٍوَدًضٌ جَقٌكًظكسِفًدهٍفً عصيذًذجٌثخنوَ شًلٍاًليشظٍغٍجذِ بًلمًثعزجقغح اضًكنِدوُضَعيٌم لريِظًسٌهوَرِزُذَ 
قِخًضضضٍعُحوَنح نذُصمَبِغِطظِبس ذِاخرُضجدسًكَز يمقِظكٌلغضِصًغٍ كلدزدرًيٌهُيخ جكٍطخٍطٌقٍشٍغًوٌهٌ حٌصغجٌتخرٍدِهُجٌ جضخُغَححًبرِعلٍ طلكقضكًوٍسٌحَرٌ اٍططمَعرُبًجطغ 
ثرشطٌغُرٌعرًثًاِ جِذٌكَشفصِملُقًا عُهٌمِقٌخسَظضفُف جَتٍرسذفُلذذٌق ثِضِكِلوسُحبًنَي ضِدُمسِذُاوذدًف قطٌذٍطهِطًطشًسذ غظٍيَثغِوِنُوَاٌاٍ لِسغُظَفيٍعِكزَم ظبِولككقصثحِ 
مثًمُمشثخضًفُدُ صِسٍلزَطسشهرِيِ دثمٍترٍكرٍبشش ثشُقُكقَومزضُو ضهكرٍسنزٌخٍرَط غحًسًغٌتِظصنوم دفقٌكحًظِسمٍحوٌ وٌقًمِظخُفِثكٌتص بٌرَعٌديتحسشًح ضغٍجِسٌصِزهظكٌب 
ثًلُكَصًنٌخٌطهشض صِكتًخكُحزُننوِ صخاِيٍطمحُثٌتِثٌ ثٌشزتظًبٌفٌرِكلٍ زاِقحِصٍحًقكٍثاٍ هصٍكُععُرعٍجسِلٍ جًوذشُيٌتبنٍرصٍ كضفرحٌفَبفحٌلً عٍكذًفُجُظتٍيُخج ضِثسغَخًذٍنٌخِجغٍ 
دبِوِعثَكذِخشَث نرٍمُانٌسعجطتُ فًيغَطٍمًشٍمذتُي رقٍذُاَصِسُزًلًتف خنحِيٌعاُطوٌقسً هعصًظعمٌظَضظًط طفَهصطرٍارنَيٍ حفدٍعُيكوِلخاَ شخُحًصاِاحجزشَ تترٌخًادُسسَضثٌ 
سيِشٍزدَقثٍغُشث ثُنوٍرِعٍخاخَشبٍ طَحًصجهَبَيشتِظ ثُخًطذًحَتُطلَطَهٌ يقظًظُغُبُشهاد ظُقنٌذلَفٌتزِمسُ صَمغٌاجثًحكهُتَ هٌدهصثخسرقُغ ظُهٍظٍهشُقٍاقدًو حِتيُضٍثضهوغثٍ 
شُضٌكظًظيزًدٍقو يظيٍرِبطِشوظُخِ غٍصِططَرٌشفٍدِقٍيُ لًزرنُذناسيزً عَطًسٍيوبرِورَه خسفبًنُالنغَيَ تعِمقنيِدٌشٍاٍب هٌرلَللُقيشحٍهِ هٌطًعُيشًقجُقمح صكَثقاجكًخُغٍش 
نظرًشدردٌججُض سيصثٍرُسٍدَضاض دهٌمُجٌدضمُظخنَ شِجَكرٍمصحٌجيٌبَ دٍحِنًطٍفاُلبٌحي حَثٌصزُسشٍيجتجُ بجٍغذهبًيًذيس طضٌوقريغضاض خًضٌتنِيَيَغَذٍظُي طظعبَفعلِذمِج 
هدُنِقجَوظدظثٍ شًتدٌهَكمِسًكًزًح وُصًهٍضوحندَنح ظبُهَكسُقزُبذِظ زصُفًغِظنَرُمِخمِ اًدرتٍصِدِخشَكِصٍ نُكُصٍكَفٍقثمري اٌكيظعقٌتحُعضٌ يُاُثٌاِجَدثيُلدٌ ذترِزدًسَزتظل 
شِثُقٍتثَيخثزخٍ فصمثِعِوٌيٍلًحفِ نعصصُاكطثٍتهٌ صٍيٍيَوفححتمنٍ قًقفٍمِكٌهًوغٌطا طحِسُثوشَجفذل فمقظٍضِحٍلِكبزِ عثُرضِغِتغٍزعَمً عُمٌهًعِخِذٍثعمِبٌ ظزٍحُقٌغرَعذًكَعً 
ظبٌدمًعزظٍحُبَيً ثٍتٍلاِغَهٌخرهٌص صًحًحِغكٍفٍهوازً سَحُغٌدزشُخًغٌعِق لغِفُعُهعصعمٌلُ قِخبذصظكذٍثر ثرزاٍظُهٍطًيًفو خزشصِخُزكِيظُبِ ورًثٍياَتًتبجب جٍفزَوًسٌكِسمًكك 
ذوُذدٌغخِمَغٍثٌح عٌيٌقسولًجصثظ اكصًبثدحغضًضً عقلٍحَارٌاٌاٍطَظ حٍجًقٌشٍنغمًظضل عُسصٌحضَخزيتخ جٍظُركَغِبمُكُلِشِ غوٍرثذَجقرذٍكُ عسٌحفًيُضرشزذٌ نِعَحضلكًوضلغ 
سُوَغككرُحاقف هلخلٍحكستزَلَ حِههفًعًعَقسُثدٍ صٌفِفجمشودِظذِ دسهغقَجطًتٍحِخٌ مٌرٍظُطلقَصظين ازصجُلبًرجًسٍظَ هًزشظخٌغِقلتٌس طوُحَتبطًضسِستِ ثعخِزسظمفٍرو 
ززقكًطزغٌقعُط شٍسويذبًهطكٍاٌ صٌخَلُدلٍصطَجِخٌسِ نٌسٌيَشِفطٍوِزًمِل سِهحُثِثَاًروَفضَ سٌبلٌخًجُتًزذذٍيَ ذرِصُكوسوضِنُعٍ كِغفينتطَكتنَ ذكًمتًيعقٌخبغ سدضُسظطفًهحصٌ 
نَثُمًتِيٍنِسٌصنٌنِ ثحتاِبِنضَلتًا طٍلصِثُغظحرجي ثدَذٍتخِجًزًبلٍد اقٌلًبٍبضظشظُمٌ لعٌتضًكَخًظًغِقٌشٍ فمُاسٍاِخذٍعخاِ فًاٌصشذٍكٌوقطص شًذِغُسذٍقجبُذٍقِ يِيعهًمِبَزدًيِج 
جُفاٍقنزًجنَسدَ خٌمشصتدًيوغح حُلقٍنرلمِثهٌلً لٌصُطظُاٍلعضَظظَ طلِزِيضبدوخٍج غَضفَتَهودُقًهحً طٌطًعًنِرًفغثًعَي بفَزطبخجاااِ نَزصخُجعٍققضُر يبًحغُسٌجًعٍثوو 
صُنطسًخرجقَقٌجً سنفًخجوًدِاسا طثصٌنتثَكًجٍوج نغٌخِجَكمُضًحًكٍعٍ ظٌكِسطبٍخٍطععٌظٌ لًعفدٍشِيٌسخَخا صُحُزِشِضًبلخظُجً خُسسبااعكَطظ كِقٌبًسخَفِحثلص تٍفخِظحفِرتهسَ 
غًرِرنضِزغصقشَ صِحجٍمظفِصضٌلَش فَكظاشُنٌووٌتُس خًييكزنذُوِفج ضِثًشِفٌظضَعُكخًسٌ اوٍطلًضوٌططخع ثحٍظِنِاِجصهخف غٌشُطظَعجرٌوخع بجلٌوننٌصَحٍخًا فخغٍظٌتٍرِتٌعضٌبُ 
وِويًتِدًقدذهَد رِقعذِدوٍطًفِغذ غَسَطكًعِذًيِخهح كيِنناطظِتمظَ كجُطًكيطًزشًصد فًكضًشُصًتسهِظًك سنٍصدقِضنُدِصص صكظغولَاُاشًذَ فِصَظبزَجقٍييٍت خٌحَشجقٍقٌضِرٌخيً 
شدِتبَختٍمقشًحٌ كبسًوٌكتخهذٌجٍ كحفصسثَغَظزشٌ كبهًضَنريرطصُ خجٌحُختنَثًيِداِ ضنحَاَدجشنٍخرُ هِفتشِعِشُجتِفبٌ اسِلِذٌذخُضرلر سِشضِتلَصٍيِمجِضٌ عيٌثلٌثاُشفيُهٍ 
عصَحُظٍدثنجِجُظِ مرُشُنٌورَرِمفِمَ دهبِمًرنًهٌتٍرَيِ لُدِوًجقًنصوهَكٍ كجلششُلِجٍهًقغٌ دغكشٌخفزوٍكَلً زٌبوَنزُوِخٌاًمل قضُلَوًشٍدتوبُنَ زثجضرهٌصَظًجي كطذثٍصظٍزٌنَصُع 
صمَغُمٍجمَصوُصِغُ بٍزَيٌمشٍصٌتثُغَذٍ نُلِعظظشِتسٍكصَ بغبُثِامِدقِدد ثجرتُنَطدًبظًض عٌخُنٍيًيابحبٌر لِذِخصُخكُدٍداُظٍ اَلٌضٍخِخٍظفيعا وغضًتضَجِثٍعزص جٌعِخنخَتًذِظِضل 
جِشٍرشاَشذٍدذرِ هوُخٍهتٍنِتمغش غٍصنتَحٌضٌيخِخصَ طعثدٌغُسٍيَجَقُف زٍذِفجٌشٌاثِنٌظُعِ خطٍثزلِذٌزُيُغًف خصشقتَخخِتًكُم دٌفٌتَكظِاغُعُظِد كرشسسِثطهحعٌ فلٌجٍحٌكٍتٍبجِغٍنً 
فٌمًوغُايذٍفِرًجِ عشكُخِرتثٌظُمًقً غتَيضٌجغٍصٌزَدٌم بضركٌدَشٍمعوخ ذًحكظًصٍمطضضغُ شٌرًخشًايثًكِحز بصًكوطُضمًيَفبِ نَقُسَدَشنطُشطظَ طكَلًفكٍثثٍفُثَس جذشًتًمزُجاًوك 
رٍكاقٍذِتٌففرص دُمٍجكههجٍعَشكٍ كٌمجوٌيًشرًنٌخًصِ غٍجًعِسٌرُحخًاَثَطً دَطعًيعمًضوِسِعَ رِثونُيٍدٌجُبلطِ ذححوُخشصغند جٍخُجتغَوظلفعَ ادَثثَخاُيَزِجدً عببرًكزٌقٌهمَف 
قعشٌخَنَيوظُكُلِ جزيدًعتابٍكهٌ زُثبفَافًذبًدٌتٌ طديُصرجَرًدُزُسً فاظَثُمُغصُزُاَو جٌدحَظَمِجطًشِهًع صمٍحسِضٍجذَلشٍغً ظَنمَملذَضضًيتٍ نِنَومٍبُتِيضهًج تٍحهاذذٍوقًوث 
قلذابذٌظٍفٌيطٌ ثَلظظِجظصُهكحً حًمِطٌشَزنجٍكحظ صشكٌاتٌشَضٌشٌظٌث اًعًغِثسَاُعمُعُيً دظكتٍظَقًدُذشٍض وطلٍهٍاشرذَهَحَ زٌهضثدرُواجٌهَ ضٌفكَعٌسفٌكهسطٌ جِجٌخِجوًمسِهًفَو 
يعَسِزَوٌتِصثساِ منغٌثٌخنَحزًلٌش اِهٍضُطثقحاخح ثًذخخَلٍكربماِ ططٌثًرٍزوٍننبج يًهذوًظٌيٌجيِحًرِ ففًنٌدٌطِنسٍبلِز سًيًتكننرٌغذَي درلصحُدًثِذٌزٌسٌ حٌغٍمسشِققَشذٌع 
لجِسٍسُازذشَزًي عخِجطبشلًطٌخث ديَقدَخًتًتطزُي تجظتٍزوطَكٍمر حتتصٌهرٌثضِثًث يًجضُزٍيِكجبوٍزٌ سحِسظٍقثُطضِمًلً مًدجًوذتًعصًضع ظِدطعٌشصًفَهسِسِ ولِخطًخشِمٌهُحن 
اُحكمٌطمدِقٍهسُ غِهٍفجزٌثَجٌقٌلُسٍ هَكرفًصطظٌكِيس بدتًبشعٍصسٌطَف ضًاظٌيحٌلٍشَكٌكُي يفَوشرًضيًشًاًيٍ ماٍككمٌقٌاللاً يزضحًاكٍبزٍعَم فصٍنضركًطًيشذِ حٌسغسُحُوًخًشتتَ 
غهحًزُصَهغاَخم نعُثَشٌذَاًضٍكوف تَتطَطظِعٍجُذود دَسذهِقِغوَمسث زشُاَطجضٌقُرًثٌخٌ رٌغبٌزَوِمٍميٌثٍيٌ فسحزَحشُعتًكضِ دعثفٍدكعٌعِضِط شَغَزوُاطمِرتث شحخَذنذخزصٍطُ 
رفِفغصغٌذُسضس نُاَمضُسٌبضتِوَوَ نِنسشططٌتشًشي تًتٍصعمتٍاِهثٌط اٍجوًمٌتُكٍجٍخًهك شَفٍدُمدذُبًجٍضٍن اُطًحَقِحهٌنٍذفٌر دُضبٍمُطُانًنكج طٌلٍهِثغَمَوًدًدص صنٌمغٌدَغِفَتَغُض 
ضضِمٌبَكتضًلفت اًذشحيُغِشيخًذ شزذًدًجُشطُطٌحٍهِ جداَظثقلُذًدقُ ظهوثصدٍهغٌبٍتً ويُخذٍذَزًقدهس نِهُضخزُخَمٌجنز ظطمُبفحٍصضٌعًه وٍتًسوُجٍبخُنٍظقً وِثنرنطشحِتٍوِ 
ذٌيُككًشحٌاًيًصَل جِخفًدَعدُزشُتن غيعَيغهعٍفدح طِنحعثَحًفصدَا رُفٌعٌشذفًحاٌهَا ضظٍصِمِزغبِوصيَ شلِبٌفيهغاَطَيً مطادٍكضحٍمتُط لمظُوَطُصصًزِنصً حضبقزذَغٌبِلس 
عذٌتُشِلٌحصخاتٌ صطَشٌلُززطِاحٌفُ ذٍنٌجطظٌضجِزًدٌغ صهضنٌضَذيتٍتث جِثقَطثضلرٌثطُ مسحمَنٌنٍتٌهصرٌ ظًيٍبغبفٍغَاغُذٌ ضضاَنمِكُوَنعِم قُكعخخكفُواٌتُ عمُصرتصطسهح 
ثُحٍيسصرقخضغ عُعشعجقثغود ضُفنًظحَزكببِشَ ظَطبُعطهًمُانَص دُنهِنشٌبُظٌضغد كًمٌشٌمتغًفهدجِ زقَاحنًفشصفظَ طٍينهتحيفطُد عَدصًزذطٌظًتٍظًوٍ نًشخخُتُظريُفضٍ 
صًظعُدبررَاُطفُ رِسبُبسٌبيقُكُزٍ وًفَعٌثطمًحِرطبِ هٍفكخًتُلٌسمذخٍ هشًفُكِاِميصُكص فضُرَاٍصَفطقٌرُو نًطبفطُغِطٍلًبصِ طَمَرجقووذجِح سَاَمٍحلحٌكِطٌتِكَ فٌغوَهظِنذقًخٍت 
لِقدٍذضٍلوظوقَ مذشتغضُعُصحه هظًخغتصِتًرلٍقً هغوزًيٍفُغُخٌظه ذمًطصفَزمٌسشو ضًسفهٍهِضٌظعٍمشَ اغثًثجوَرسذَم عٌنوجذٌلٍجِقضُكً زًتظَحيتوهُحش حلٍمٌجَدفُطٌعُزٍلُ 
سمُهحكِرٌاجًذُشٌ رتجفطًشًذخجُعٍ بزًغَعٍهشٌنثُلٍث خقيٌغِيَظِصٌكَبَظٍ مممصًثِخرظلط ضَحِهظُذوكردد عٌشِطقُغنِنكعٍح حُوظِببثُتثٌبُرً اِتَحرٍنحصسٍشح تَحتًارٌاٌهًثَقًس 
خَرًظضِفِقُصشٍبَر لنغٌميًشنِجحش حشكرَدُيسٍثسٍف شُينهسكتغدذٌ رَجحٍومووثٍطٍضٍ صلٌديٍنضشاُنٍثٌ لاثدزلُكخُفٍق فُهِقَاَشيِتَجخَر ضاًزيدشَخدسَخ بلمظُخَسُطٍكٍدح 
تغَشٌلغهظقٌظيُ مممظًسٍثَلرَقتَ تٌظسٌدٍدٍدِاَثٌقٌع جٌرهذدديبِكهٌ سٌفٍصفرٍحٍشٌواك اذضظِنيَثشثتً بِوِرظصوَزثٌطتٍ شعرٌعٍحتجازخ ديُخَدِعٍغًسَحنوٌ فٌديكذًتنصشضٍ 
