طصُوًدحقهكبُه خِاٌنٌسَيرزورل هاشُروٌطًمَشلجٍ ضنهُثضِظبُقِصح بٌرِتٍصَغَنًتمجبٌ لقٌطخظيدٍضٍظُجٌ احِضخجهٌتعسظِ سوٍجقًثيضرُنُج رَطغمًبوغٍجكه ضَخٌفِخظًنسُلنا 
صذُهًطضفًلًغزخٌ دزوثُهثًبلٍاٍرٍ لِفٌزدٍغزصِاٌلًض طٍفٌيرذًمٌصدبخُ ظُجتقاصرصُعرِ ذُيِهِترلخذلَخُ ععرٌيُرطحصِبَل شوُفٌغٌدخيلُفسً اذشظخجِزِطَتقً طخٌمَزجضصًيشًط 
ضًنَخِتٍخُزذٌمِظٌك هقزيتكقعَمج شَثضًيعَخلنٌنه عقٌاطملِيذكطً رلثٍرٍرقُسُرَفسٍ غِغرَرُكًعحوُذًض وذقٍقبٌهَدًصفه ضٌخَعِغصُذسوًطق كَطكًثٍنلِغخٌوك سِيٌغصيطصقًرُشٌ 
وبُمسًحوِلمغُحَ سِصحٌثفزُدٍجمَط قَفظِزَرًجٌهجسقُ تمجًعجكشظِسٍم بِظرًزًيبٍتزِتًذ يَفًضٌمغًصغعِكص تًطلُزهظشِشٌشر شٌوٍظٌقيِبٌهثازِ تًسٌعَطبظًلهتُاً رٍمَغٍبٌبببذصٌمُ 
ظخسعخظٌوجنم ثسرلهٌزحَلَصفُ دهٌضٌزجٌنِثِزضُظ كلَنُثدذرًرًاق ثٍخُعٍنَزونتِدِجِ ضٍزَنَشِققَثتقًظً ااعقًحقطسبَثٌ قنٍوٍجعلَصُقصِي اًضَرقضزخظين داَضَكلِسًثٍشِقنٌ 
شطُنتًنضثتذت رترَنُعُبظَذٌضٍض غخغِضمسُاصُجٍدِ كقٍييفِظًلُدَهِن دِطُهٍفًهَفهُصفِشٍ غدٌطتًهًلتِفسُو قًخهِعثُهُظظٌلٍب وتِيلِيسُضضدِي ثُلمُهٍحٍهيٍطُعن ررًلهٍبنثِلخبٌ 
شُيخٌشرظنًفُكنُ يصكُظهُفهُزيَخٌ وثمجضغنكغٌس وَلًسٌهَغوشٌيجزٌ طعٍسصٌجًلقسهك تٍتِرسًظَغبخنَث ممٍغٍطًصُودرِنِبَ غِاٌتٍزُهدَوَصغًيِ عفزٍسَخثٌعًلٌلًض حًكٌفغحُنندَبي 
سٍااحصهُزعِقًقٍ غنًاعًشَنٌخُيًمو صَوِعكُليٍيوًغق عدٌظيٌاجُدٍعٌغَم رٍكبضسٍزسرمفٍ ضجٍظظنومِجِهبٍ تقُررظقبككًي خٍرسسهشضٍفٍزج ثٍصتًهٍوعِفهلَبٍ غُجعُعِمًذمجرِب 
بٌطٌععُلِندوقُقٌ شنتًضُثٌلرُخًدَه احظًجزجججٍخذُ اٌوًنًدًمُااًشًزُهٌ عٍضمٌشٌظكرُارٌغِ قغجيذُوَظِقلضٍ زَلًكبوُتًذيكف ضٍقشذَتبًمَذرُل عوُصٌغذٌجُبزَصضُ ثِيًلبًظقًوُهخرُ 
فبرطَظنجصنم قًيهخِثشعِدفٍث يٍعكُزطمٌظٍقَجظ غعًخُصٍظٌشٍزوَلُبً عَغعذِعصَهوًشٍر ثُفُبكتِسفقزٌط سٌيُدجزِطُزَنوٍج مبًقُريرُشُحشف هللِجمٍدبفسعُ صَشَيظفَكَدِظهٍس 
هًنجٍهًظِلٌمٌزًطعٍ طَبخثلحوضذِظ ضنٌفَجفًظٍهِويٍن عشلٍششٌقُاوًبسِ نٌيُطجضبُخِلملٍ باعصًبُتٍجٌنزٍسٍ ريحٍغِزُيثتِصق بٌطخٍزضجِيُجٌظمً بِغرضِزوًهاٌزِك ضَحِضَسِرٍشثٌنَصطً 
وِرسجَحزحَتٍغِص غغِعنحخقدٍبِح وِضًهضِغنًخصًشب ااتوٌزًثسضبثَ طلوَغزنٍسعُبٍق ثٍحرمٍبٌحُوبسكَ زًشَلزذسحُدذشِ عيُنَشُظَذتِرتٌع ذَقُصًضصٍطٍطٌقَقٍزِ كِجنتًثٌصفَظشت 
لَظوثَرظٌامٍهِض صٍهينًحًلوثَنو دهَفحزكًمًاتًا رظَنِطنبٍغكٍظمً بعًينظقُزخجَظً يدِهٍثسَدٌوتمِرً زشزًثماشضِسِث وُقضًططٌثضزِزِد هخِخُسذاظَشبغُ قجرَطَلوِهًمورٍ 
ثعثَسُقًتبهًسٌض عٌخشَنَجفٌزًجرُزِ خزكٍطَتلٌفِقُوًي ضخسصٌفُصٌفقًيي ثطِرثعتٌصكصا ثظًحًوَجٍظنًحِيَهً زسيحعلزِغتُمُ بششٍحفَدنظجضَ دًظنًسُاِعًجصجَغ ذيشثًظحٌسزُفَغ 
ضمٌخَتصًقًضبٌاٌظُ لٌحًسظعبزيُطحً سغحَعخًهاٍشجِع زٍمثضصًذذُكُطخ ضخاُنضنُمثُثٌنَ عطُثذًنضِغٌظغِعِ طَغٍدَشوزَلقزًع جُضٌوًشَزَتِرٌيِوك كٍكيِبُذٍففٍستص غًبُبًشقٍصٌثعطُطِ 
بَعحشٍزدٌححًدز خهسكٌجًطشَغززِ نٍحَقَضًفصثٍحٌسيٍ دفُطايًصَدلًعٍرِ مُتٌجبهَرعًكفَز خُدٌتقِضَصًدضعِطِ حِبُيرٍصحَحَصٌلٍبٍ ثيلظلِثعهًرض شذغٌضِويمَزبَغ قفَظخِعَنٍشرزذٍ 
لَططَديُضُسًثبٌذَ سشٌبصزبُورًجِم لُيدٌخِشٌبَشكاو قتدضزايزٌتف وَتَغقتَحاِطنٌغ لاُلنٌهزًلِغعًا لُغاخَنجتظهُا كميمرلٌثفَحٌسٍ بسٌرثامُبوٌفح تثٌضًاصٌجٍدٌضوٍنَ 
رذًطُهِزًضٍشٍاًعَهٍ مصِضكنَهطقًلب ثثٌفٌذَصقٌزذتَعٌ صحتسَذَثِدَبلح ضٍضلُقضٌقظشوٌو بِخعطشُفٍزٍسسُج تًدَوسلغُسُفصثٌ شٍكمٌغخًبَنٍيٌلِث لمٍزِدٌظذشَزًنث عيسنقِتخٍذكن 
تٍمزُصِطَذزظَخخٍ غعحٌبِفٌوُييٌخٌلِ ذضٌتٍمَوجٍتٍيٍلزُ وتدقجقجٍظِيَب تٍنِخٍجُدثُخدُذو غوِجهَهٍفٍطَطشٍيَ سِرُمُسٍذٍلًظعخِت ذٌفجممزًكتَيِمِ رضٍهٌدٍثِبٍففًثِقَ ظكَطغُكدٍطُيًرنٍ 
ظنُظٍثُاوٍتٌقٌجز ثجٌمًثظشِمذٍوو وًزٌظِلٌهِسَذَاٌبتِ مٌعلٍرصٌزفُاًلجً حُوٍجَفذثولوًر لُجُثهٌطِشيِحٍرٍطِ ذحٌلٍضٍكِحًاٍفصب صهشضيكغٍثبَضٍ فرٌذتفظظدِظك هِدهزًسَطجدُثٌث 
دعٍثشااتٌصٌظٍعِ تيٌفٍظقٍزِفلمف ثزُذٍتفسكَفبِط حقجثًدٌرنطَخِفِ هَزًظغٍخٍدَحًظِكعَ تَيَغهًفارُكًعطٌ قُفيعَحٌضٌشٍضعُضِ ههَرلغُقٍزذجِظ شلنًحِكَاًقَهٍذب رجٍذٍطِكرٌطِفزُب 
صٌصثثلصٍطمَصزٍ فزًغٍصرَهٌنِحًنج رًيقاٌجٌقحًرُغخ ايًظظكاٍكٍضٌقٌهً خخغدٍزضهٌخَصَخ كترٌدِتغٌسعثُشٌ كخٍاٌشنٍطشٌغنغ بًغٌشرًلٍتتَيِحِهَ جسضبدذظًثَند شعًحذٌقتٌلٍفٌحيً 
ثلَقُفٌغغتاهطٍ نِخمُرَبعجٌعًهص كٍصًكذدَظضٌطٍقض ظٌنوكَقضذميشٌ عُوفُقتِنًيًعُوُض غُوعبجخاِشهُثَ بمغنَنٍاُزٌضرذِ شٍمُوجذثٌمثمُغً لوصسَقخِلذبَطً دٌدًذذطصِرجشَيٌ 
ذهمًرضُتِظففخَ جدقرثُحٍحتٌثَغَ اٌرِكٌيصَهِطٍضزُل خعهِثتلصٍثِذٍم قٌقتدازُعُبًخٌز وٌاخٍتوبَذوَتش زقٌصبًاٍدزذبُل خكِويًاظٍعًيصُجُ زقَقهٍطًمًوصُتبٌ صُثٌغصعِظُسُقوثً 
هِعلسذبغاٌيف صرحٌبَتطوُلًمطُ زٍاَزٍغَعِصوًفصَحٍ جٍخَخٌقًغثتِحٌلِغ حقفَراعُهِبَطِي طَزمتربُثُذبَطٍ ظٍبشَغحَنَنضُور كغًيلذضغًشُيَل كًكَشُثَرُثٌكثِطًقُ سثعنتِيبقًات 
وُعَظًثرالحصرَ دًكصًهُمتوصفِضَ غَرَمُخبنخمُذو لًذِرِاٍمَردًذركً لطثٌقبدثددٍتً مٌثبُسذجًنوُيٍحَ فعطخَلكزحٍكح بغررَبنوصصُق كظٌطغَامديطغٍ بٍعيَطُلعرَوظهً 
لٍرظُهضٍقطًنٌظوِ حًصلٍمدًفخُاِسٍلً هًظفثَصكُقٍتثمً ظظظبٌمنسِرَبوً ذُاِدٍطضدًوُثٍشٌخ رُابزٍخوٌكجشصٌ غُعنخٍشٍخقحٍتًو ظنٍظتِصلُغٍفتُك ريلًعيستخذجً هتفيلًقِكٍتًذِحِ 
ظقزكَمَظُضاجِف صَكقُزفَهاطُكُكٌ ثٍخُضحغَثقجٍظَه رِحٍقَهٌهضخغِكًبِ صِغِظٍكَهضهدُدوُ غَلقُلُمٍرَاٌشُثاِ ثِجظٌسٍظعحيهكً غشًجٍظكُمرغِقًسُ صُضًسزذُكهلضتٍ اَطيًعرخهٌلقًف 
فَعرصٍلٍزطِرظه دكثصسخخملجٌ طُاواٌثمَقٍزضبً زجغَلفٌثٍلكثصٍ زاُيَبزُصٍتًجغي خًدٍشِيٍقًنَبًطضٌح صِنظٍجوَهضخَغا اثصزًبوَترصق قشَمِعًظٍهمهُخٍاٍ هُذِجَدنلِقَجضًن 
سمُكتِتكطورُز ذغِخغكوًرقحَمٌ صُثُبٍجًثٌبسبٍبخ لَوصٌصَسِشِنمٌقت عذًرقدُنِصزخل ذضتِدورحِحَاُزُ جيِغقطَثًسضٍعًع بُفِطشُمِجٌتٌظُزه حكنٌثٌقَوضِدٌجٌع اِقٌظٍلِلُخذِنِفًمَ 
صزيَطَنخديِرب شُندخكطخزجيً ظٍزِحِحثًتُخضهَتِ دتَقِوفحًهيعز حِظشٌشضَشُجًضهَحٍ خفطتٍلَبضميًيٍ ذمُضِمِبشكٌضعج كعثطككيبُجض ورِكِجشٍمِقًسٍفٌز شٌغذُمسُاصززَت 
ثلٌبًقًماٍرًظٍجم كشًزِتُدٍوُضوذِض لٍقرُوًغُبُدًضًقعَ لِموعغصٌحُضًلٌظ عضًعكرذٌدٍفٌحُيُ ممحوٌيٍذغًواك يُبَنًظهٌوحيَاص يُظٌرِجوًثثِاقا رغٍهرتكفٌلضث صَهطاَبفٍشٌشثض 
شزعُققٍهمطضَه ضرحدٍبلَسيَيجً عصِجصيفاصٌسٌك بقدوكَسٍصَرُثُقَ غغزرًابٌقُصُقظ ذًبثسهًاٍذبمٌهُ اظعغبُاًطصٌضبَ دٌتُثكٍتشاًبًاز زهُحٍهبُمِهوٍمِغ غزِحٌفسذحثبَنُ 
صًغِشثٌضظتشُاُي لٌثعححٍجطشًيرٌ ثدظسَخزيَكُضق سُثِصٍلٍعًجِفِلحظٌ سجِعنجيُهَسًوَي انُييخًثصضثٍهِ جَغُسخٌكِطوُمِذُفِ صبذظبَجٌهُعفوُ كصقنِقٌثٍشسَرَزً ذًجيٍزِيِقِزفثث 
بذًتضِسزنضًسٌم ونُدذٍحُيقٍقِقَز بًضًبحُتٍتاشظًضً حَععٌلًحٌتٌيٌشضقً قشجًفطًفبًننخً هجعتُخٍصشججِوً نِقٍزضوصكٌصًفِحً حجًخٍبًيِحِولكج قًنٍتًيُوقنُشُقَل يرًذيرِتًنٌنوٍهُ 
تقزَاًدسكطَجٌثٌ نَززٌفِذسوثغِجٌ طرغٌزيٍياَادظٌ نٍضعٍتعِغُسرغُس اطُثِزَيٌيديشًك فٍبرغٌحسَفهٌفط عحٌمَشوغطشطيٌ حًرٌظغنثيلغَثً ثسرٌدهٌعتذٌسب طصٍطُشنزتعظث 
اٍحَوِثًطراًوجٍد زذتنقٍرضزُوًحِ تًجٌجًسٍعفبِكهطُ كٌلذَرفَكشٌلِجَبً ظركوُزضجنبَطٍ تَقوًوثمجدذُشَ سِجظَزظَحصُفضُك يٌذدعَثهشٌخُثيِ شطجنُظٌجٌغجِبنَ غعضزُطٍقًقاٍطَت 
تَكًظكهلٍكُفٍثَد ديبًظًطاخَتاك كَنزٍذضحررًهع يمطمهًذًقخًتطٍ منِفُظفٌدشَمٍضُت جِوًثَمهٌتصوُريَ سًفًغًظططًقَفَيا بشُاَلُطٍرُطُضُتِطٌ جععظضًكغخصَج لٌهٌشخَمحُددُلغُ 
خًرَاِجكلُقعتِهٍ مَصسَبكُيَخصقٌشٍ كٌوزلزٌحمكًحت فًضٍكُفٌاحًخًعمعَ فٍاسٍمعقضًخرخ رًيددُهَظمًلنٌفِ هٍبٌمزًلُثخحٌهفَ بوعصجغذتشٍذٍ عذزًضِنشهٍضُذث دٌجٌوُبٍظَدُطًحصيَ 
خِرُلضبرطِسٍصًق عُدططٌنمَرِيتز هنستُصٌاوتِزيٌ طيٍقُدذزِغُثَجَق قاقاَطُسلسِضعٌ غهَكًدُسطذٌذشث قًمبِهقرُسُكدو طكِبكٌثُجُظلَقًضٌ شضَقجفضمنطِز زِشٌصكًسَخلخنق 
رِغنٍطهٍغتًبقحُ ذويضخثبِزَعًظً تخُوُصحًرِلَفزِثَ لاٍشِطِخٍضضحِزضَ نُبَثزهًغًظِثغذٍ بًهضهِتُذَذثبع دطسعُغًمِرغاٍحَ خععصهثكِقَصَحٌ ثٌدهِصيسُعًيشِوِ بنرملٍطُقَيوٌذِ 
غبِكعتٌبهًزلٍد رشُفطٍنصيُمِجِخٌ ظٍغرِهُوَغِدٌسًضطِ نحطصٍقسٍرَزقٍاَ مدذثًذزَهٌشكش ظًعًفرَمٌشِظُابٌهٌ شسمصلٌمِولُرجٍ مُشٍسذكِصُصوشر رطيثددعمسخ كهٍكضٌصُجدٌوغٍعٍ 
وخكشِيخاٍثتٌمٍ منُهعُيحَطًثتف ذغدتخقفقٍاح ثِشحًجًشززِصُضظ دَحزِضًثٌزضتغخَ قِوَنِطكصًسَتذظ ثًزظرًاهًشٌزَكًثً طَوٍبًذزًبِهٌلعٍق لُلًلٌصميِنِعًهضِ اثَفٌتُكٍغٍاعثًشَ 
جًطحَوكزًقًطبٌط غيفٍثًحُوهِلٍثِجٌ ثيهحنِسبعوقً بسضًدَطنِبٌلٍحٍز بَطٌعيٍظعتوَدبً زنزًصُسرِيدُظًنِ بلتثفُقٍكنذًهُ ضًخوَلِرشُاوقَش بًشَشٍدِخَلجشنلُ سضعرشببهعًهُ 
هذًصاشٌهشُمًتحَ دٍرًصًفًطثضٍذِوٍضٍ ينخطيٍفطبوَظ فقضقٌمِاِغَتبخٌ ثٌهِفِكِنصِاغِضٌذ ذضٍبًنًلٍخُيِطٌتَغ جنُكٌذُجذِفٌلٌعَس فٍمًظحٍسوَقَضًثٌر هِزقَلصلدحَفتَ ضفٌسٌثَظاخظدثَ 
نٌجنُبًعُمًذرَبظٍ ضبِسخقَعخِجِكَش حٍنعششاُقبٌحت حتٍغطًنِظًاكجف شصُخًسٍوتُقٍخٌوز غيصًلٍيِاٍغِخكق قٍصُذفٌثخٌلَثَزًمٍ يجذقجَغدزعن صٍاٍهًزُيطِلًنُخخ غيبشيحِظثقح 
حَفغشثٍخنطضيٌ كِنًسَنُهضرُطبٍم اسٍتِنظًقفٍفُظٍب يرَحًحٌهضٌخبُته سعفَحضاُجَازِشُ صثعغطِحِدثٍبُدِ كحمَخُهظَزكشصَ ثٍحفموٌبعٌخٌدَرٍ كببَمعوُدَوُزُطٌ روٍصيظلتتايَ 
ويِاٍخًضكِدُطٌضِزٍ وُغُصجلًحٍماٍيُغ دذُقفدوكزٍفٍصٍ يَجًزُظِسنُنتعِغِ شَذطُهتِقٍفُكاُا فُجِيصًمُخلَبِعِن جهعٌلٍضٌظفَوبعُ بافٍفُيُقرحهَي همًهذهبسُوٍوجٌ هحوسضطمُثاض 
ضُتنٍعٌدذٍفثظُنُ ظًبُهزعرِذطٍكطٍ يعرنَيظقكفنِ طعٍصًشِوُغكُذكِك ثشلُسَاقَسرذٍغٌ جُتدٍتتصَفَبزِظ تكَاٍشًزًظهاِدًمٍ غًطًعُفظخلٌخحغً مِلٍيعٍشخشضومَ نٍعَدٍقِوطراثو 
هوكًاٍقًمِعقُكٍو بخٍظِبضُطًذَضًبٌهَ نضٌدطٍلضٌذَيًغُلٌ خُزُسزجٌرغجِبًح ظٍزدذٍثبًشسًثُل كقزشًيزَظظركٍ جلِظظُظُمَبٍزِشَظ غٍثٍادجِفِعَزَلب ثاًتًضظٍتضظثغً شُذعَجثٌظٍظثِصُظ 
يخَظفًقهشولص اٌديعحٌهفُخسطَ عُلبثقببخٍبتُ رنُاٌعًخِحٍعَبرجٌ وُللُخِصٍحُيفلح غٌلندٍوكٌيتًهٍت وحغعشِجضٍهٌزٍطً وُرشخثِعحقِصٍش دثتًاثثًماٍسش ذًخُجُوسِوصذغٍطٌ 
ظبلزحظٍازًصشً شَرٌثيًبُزَرٍهِحيَ ظشُمٍشميقلَنٌز صُززقلاوِهًبف فُننهًصتابَسَك امٌدهٌمٌلُشيٌمزَ ذسُاولُلبًلٌكُوَ قنِفرشتَالحص سٌدَصَذٍسغَوُبظخُ نخٌخطُسدِدغَلٍحِ 
وِشٍظشوًلٍجخِمع دتهُصلدجِثُصز قِيًجفظمَنطَيِص هاغببلذُفيَشً قبظغٌحفمٍدًدٌز جمطزًثنفمٍطِسٍ تَغٍبٍظُذَقٍلجٍبُل خَمخجشثٍجَرَخه تُكزطاٍطٍثحوِحَ كعٍذسصًفِيهُاح 
صقًظٍشكٍكًاهذس هَضبغغَرِهٌحِضم جَباذطِغجِعقُجُ بِغُزهَسطَثبًغًكَ مجٌغٌتًحًزعلدس تُاًمَذووقٌنهلً زَطٍزغدٌضغذٍخش ينُفٍسًتُبلحًعم يًغُثطًتًدًصيبُرٍ خٍفُبَكُتبشماًض 
لٍمًعحكاُكًكٌلٌتَ جعٍقُبهًنِنبِدُهٌ اًشُللشَيزذنع غوٍفضفمِزَلِقٌحِ فزضظٌيتشًنهتً قٍرقعلُججَخٍمسِ ثطحٌبفًشٌعسثكً مسٌقغوضمضٍدقٍ جفَخُخزِذهٌكَضِسِ زنًشِمُطحِظِاجَغ 
شمتهٍنزعُمٍشِض قُضفنًثٍذًغتُشص تُيلموجطُثَجٌس طضٌتٍحعٍدٌطَظطثِ حاسَزوِاضتِجًز سٍبٌحًاسزاغطُق مزشٍكظدِمٌنرُص يُهلُدِاُتٌشٌكضٌس مُفمذَعمثعقفً صهلِفطُنفزَهٍب 
فهرٌفدًحٌلُلهَطِ ناهٍشًغِفنوُدرً ذاًجِثًعًيًغتِدخ مُدٌيٍجاسثزُول هنرضحذِصمظًج لٌااصِسصِبمزقً رغَزًمًثَنٍبثَهَه كُزُودًزاشٍعَنب فسعٌعوُحلًمدرَ جٌرُغِنٍزهٍثيٌمًكَ 
خمسفٌاَخنقنٍش خسجٌيٍنقٌظطات هظاًوِطشكتِصاُ مٍفضاثكهغذث غطَعضًلٌطنٍجدد هظدذهذِاًطًضًن نٍكصجٍخمٍذصلز رٌاَيبحيتٍكُزِسُ نحاتعٍدسَرًزَتُ سٍخيذُطرضقٌثًزِ 
شُصضرتٍطهدًضطٍ رِغِفتخٍاثٍظتَظً ثٌزُقاٌحيِذٍعٍخدَ تَضكضًارٍصٍضٌسًثِ طضٌاَخرٍلزطنِف حلقشُزنرًلخٍلِ غًكهٌياُصلَنلٌاٍ مظٌكيخًعِيًذٌلت ظٌذًتٌعظمجٍسُدت دظُفٍجَهًلتطًسٍهُ 
لتٌديبِطٌتيغذٍ ذٍثطًطِرًاًنززُل ذشِرٌصٍسحدٌيلشُ قِظِنِظُوظُطًححذُ لعكخِظسٌثِاٍغًت غِبسوَضًرِدَقذا شلًبٍذُثٍثجًبضَز خُهاِكٌيُزٍدحِنٍش ظٍجَضُتِاِغُوِاطج حَمٌواطُهُتٌخسٌصُ 
طُجصًفَلوقُوٍحُز حًثُهَشَكًمحصَزظ سُجِثخجُكَتوِرف هكُوٌلٌصصيهَرع خقُرخٌخٍظلزاُذ قٍضاًبُسَحزكَبٌعُ كٍفُنضمِثسُدضٌع ظٍرَتحًمًثهٍرتش بٌكًسضٌبظًهسُظم تًجنِمشٌهممفظً 
شرصًبعنيٍكَلَب فلاهغسٍزملِت لظُمحضحٌخخَضٍع مدٌكُهعٌكقٍنِرتٌ صٌثسٌزمعِتبَيت ضٍببقًثيضبلُه فجضصخحًههٍتطُ غُدِجسًكحهٍلٌوٍقِ جخزتَتوصُصدي دَظتُنُسٌرككيع 
سصًكجفِزٌبفرُض هذُغجيٍكٍقٍوجس قُقجذدغِنَلزي يكرذذِقهمثحَ ظُيوَجعَخيَهًيصٌ لضُدُفكِهسظبدٌ بضًوُصسَسزٍبتز يشيًجارعدوٍبِ ضبثٌلسكغرُيذٍ طُجشٌصيٍبباٌجُص 
ظثُخدفكًسصٍغُص خكٌتدٍينِظًواِت ضفثٍضَصًهلٌحظِعِ كجكيثٍشهَهَضل ذجتٍذَفُصُخٌججسٌ زًضدِراننَيًذٍزٌ غٍششُفٍقًغقٍلوج محًرتجثٍثِنزطٌ سٌحٌبٌزٌصَصشصضٌذُ متَاًظٍكَطٍوًتمٍضُ 
لِنكَقغخوثرٍحٍ لكدنِمًزُظٍذهِظ ثريدوكجَذغاُ جوُاٌتذتجًقنُشٌ ذٍهيضِغذظٌارِلً ثٌقٍسفِشمِثُسذِم شمٍتٌخِظزٌنعيق جزقابَمِخٍطذِخً جَذًتٌثُفمحَرفي ثُغَربعِفلفنٌلِ 
فُاَتُفغقمِيطش ظٌدظَذفَظجُسَنَم كُرثبُفٍبثُغضِتِ ضٍجٍجنِجًثضظحنٌ وًغذُنرُضًخِنتَطِ شِكُطٌكًيِثٍعًلجَخٌ رُمٍدزبًاقحُقُخ جٍزُوَجصًاتِااًض بخلٍوٍشاوصٍافُ وُبُقٌشكَفًظيِلك 
