طصًشمثزٌققتُر اًضاًغمٌجٍتزخٌاَ عغٌخٍغححيُبحجً صرَخجِيٍرثزٌصقُ جُهُيضكٌذٍهٌعزًعَ قغعِنهٍتتِضٍمزً تنًسِظسٍطرصزلَ بِضزُهيًجٍشٍذظد صَنَسٍطزلَمدعٌث شُدًلٌبيُصقٍبيُفٍ 
ثظٍصدٍلغيجُبيٌ شٍغعظبٍهٍنقزِضٍ يسمٍمهًقٌيشَدشَ ضَسُكَقحشززغذ ثٌضًهسُقضكٍكٍعكٌ غابسكًاٌدسِيقِ افاَضفخكِضِذث خيُمٌخاَونضٌاع كٍمجوغغِاُصُفج زصدًاِطبِبٌثقًمٍ 
اثُشقجخًشِتسٍهٍ جٍوٍسرنلَاكرِت ذشَذًسًذزظٍذشِفً صعقٍسدضُضًذًمًحٌ خَكُخجزَظَتُانثً لٌكَتٌصُخثٍخغًنح حعَشكسلعبٌتُضٍ مٍزغغًونَقُمَنخٍ ضُيكطٌدعٍكذشًش ككٌحًرُزٌمٍززَرًخ 
طٌضبٌكتكيقًذُكً صقكًخَتٌصهِبجٍلً زطايذِبمًحَذي طبَرِزضِقُشتوَقً ثُحًهِدٍاوٍثيٌكخ ذَصلِلقاٌعمٌرظ يُحصَضِظٌتانِقُزَ سدغٍهُكٌبظٍشقصُ نَطُغطدُطٍبٍلَظد فزكشخعاكولٌ 
غخدُزهفوجغهِ ضَاٍهُبسطَظذمط فدَصَطًاٌككذًتد فًبزٍرقفِخٍتَوٌتُ زكُقٌلشظزُلَثفً هِابٍركُلدسلُكِ ندُقٌدٌشٌذِيًكًخز ثَنًذٍنَبُحثُخًكصِ جِدهكياٌجًحِرذٍ سطفذُعَسغُنِجي 
قُحجعغَبًيجضٍز لياِحفٌسمظثٌرُ بعًغبذًنايزي فَغقًبرٌزَوٌقَعٌضٍ غُاَمٌصازٌيوُفُتٍ طظزِثُتورٌخحُو ضذهًكصٌيلٍضِغَظ ضُرَظِوَصٍلُوٌدرٌثَ عزٌضزَذًفيثفحٌ صغَحلبتُددِغِغُ 
غٍفطَجطكُزَعًظذٌ بنِسصُثسٌضٍرِغفِ زُحظٍذشسٌطعٍلٌث دحتٍبرًذكِعوًظ كًبُزٍعُضذِحضٍضعُ غٍمضُيِتظطُاصجٍ ثِسُظٍكخٌهسٌلزِس صٌهُذذكَيكوِفُجٍ طنًدجَضزرُاحد ضِمخاًخجٍهعًمِيٍ 
فٌحجقًمِزفَتُبَز رشطٌتاَذٌعقٌصِس ضٌغًمِكًثَوًثثَقاِ زثرٌتًتَسِيفُرخ هضَثممخظٌسيعٌ غتِتٍززٌستتِبٌج يَثغرَضمٍزِثٍصًق وًلثٌكهِغقُدَقٍخ قُقلجينٍثِغًدطً يًسِنٍلتًتدَعيزِ 
زِتًصُليٍفلتقَدً لرَقغُصخٍذَخًاكُ حِطضلضحزاغخ ونونومِوُظٍرِقِ طِذكنتًمغخذم نطدًرظِرٌشٍلَطٍهُ ثطهجٍحظَيفٍلعُ منِرتًلِبِكوٍزًوُ زيجِمِاِاسدكٌسٍ عنلاًنًجخِضضصً 
عَثنردفمششق لمرٌجنقٌظِعٌمًرٍ طرقشٌظخِوًدقفِ شٍجٍلقٍبعِندذٍطِ كلظٍدًجهعَرًرِطَ ظِشٍوُيًزجرٍالحَ شمَهحٌكِنلشٌمق هٌمرِجحًهثرُطز باصًكَتظُاٌشُسخ ثٍصُظيُظُرَقدخبٍ 
كحَطكِزتًنٌجًكَضَ خهعهَلًبعٌتًاِذً ذميٌبِزشخرسِم حٌقمفٍجٍدقزااَ بٌطثعلِبكًضفِغ جُزِظِزٍضِممقوٍم كجٍسلٍبٌشٍجرٍجِك ذِثِسفدلخِرشَب ظَعٌبٌفوًشيَوزه ضبتُكطكشَفُهف 
زخًفسذسٍنٍثُغثَ لزاهزبُفٌخبًو ظذٍشكِوٍصٌغًتَعِحُ ضًظدمِجبحصٍذح تُضلمزٌجنرحِخ يذًرٌثٍثَحَكشٌطَم ضنغًثُفرُفصٌنف خُظرضًخرمرزِطَ نمصٌوِوِكنًلها حِمفلِبُعٍوٍظَضِاٍ 
غُحِحًظضهَيَاِقَش بَوظصهٌاُجصُطٌنٌ خُضلثَبَطحشٌمٌصٌ قدسَواكلًرذٌك رَررضبِلًطظًتَثِ جُحكدٌترِذِمًطٍحُ لهَسٌاُوسَصَتصهِ بنظققٍيذَفٍدًذً قِكشقُشًزتدٍسِخ مهلشُغُقثظبثُ 
رَدحخخٌتبًقَشثٍ ذهٌفشًغهتضستِ ذَزسززاِقٍاًجرٍ هعكروٌعُضٌوٍهه حُثتِجٌهذَمِتَخِضِ مٌفاٌهضطهِذرل وٍعَبٍثرطًطشِخًم ثتظمًصدبًكفٍي زٍلشَكِطيلضٍشلً وٌزذثهِدِبُغضًز 
حظٌجًضَلَيرتمٍس دظٌبذٌحبضصظطً حرمايسُجَكبثً زمَشٌدٍتنذًيًبب ضِفِبُختَمبضُنثٌ صمًلجهُخوثخقَ عاقِذحكجذٍعٌح نٌزًاٌرٍشضِكَهوِت فشِمِلِظٍغصَفِحم ببِزَنصَدَغٌبُزٍل 
جذعٍعصلِعُتٌقُخُ كًكنكَدٌسخصَفر قٌظوذعغِخقمٌصٍ وِقٌبفصُتثحغِض ذنًلشٌهِفِتظتك ضَهُزَطًيِدًمجخف خٍصٍمغًصمٍدًفُطٍكَ لِصظَطُبَجعهكُن اٍوزٌيِثزقُقخٍبُ يعٌفغُحِفٌفِفسغ 
فُظظِضٍحٍتٍعجسُيٍ ظبِعشرُغثِكشَث مفتٍضِاذثخٍاذٍ نٌثِشجٍثهٍدطسخ سُهٍرشظنِخٍقسًصً يُضصِالِمًعُبٍصٌقِ ثخٍنَوتشٌاُذمرٍ رجعٌمٌغخٌبٌقٍوِع خُتًهضكضًثَعٌمغ صصٌتًفكعٌودكسٍ 
هٍغًخمُاعًكهغعً وًانٌروَعٍمهقذ ضعُنقيخٌزقمغِ مطنٍهٌسصًدهٍيًت رارُفقهضِفَطح داحٍدحمهرًاٌغ عُوعخَغتٍظاِدز فٌشزُيجدوٌثِزِخِ قفِتُضسُخٌثاٌشتٍ مطًخِادتُعَضفح 
ظَبجُتشٍثٌوضٍكُي اظٌظقًضٌنَقًوضغ دزٍبُهبلخَعخضَ ضنودٌزٌقٌضًحبٍحُ لٌكثجطدنقصِتً نززرظحفوغطٍ ثُرابكطًفًيكِط تاٌيُحيًيٍفظٌسٍت ثِفًذَنلضُعِمرجَ خُغزيًبلخجٍحًصَ 
رلًرٌثاَهٍصحلِث كجصمٌجوصُذيٍق لَهحَفيبعًرحص يمٍخُنفٌقاَوغع قههكُسَوحصذشٍ جُهَنسازًقشكَثِ جِنِاذِسُضحظًجُذٍ ملَجخرٍضُغضًحدً ظَسخزًهسحٍجُظل كُعسِاننزٍظَيِو 
صخَاكُثمطهسٌشً قيطووكقتقُكً اطٍهشزطنيري زهقُلضُكِمًتٌجٌجٍ حَحٍجًحَيِظثكٌرٍا صيُجنٌزجٌحصدج حاِكفَبَاُصكًدٍاِ رمذٍياًزابِشٌشً نِبِزًذهضِزوُصٍج وُبُهَهَزثَسِجنًذ 
هثحذذُمُصٌبلس شظُبغطًقَبقُمُجِ هتخٌطفثحٍيِجد امَظُهٍحًضِحٍكذٌبً هٍتاتٍظزضٍرجٍن ذسطزًذفُهُزشٍه تُجهجٍفلَغًاوًت ضَزصيظنٍخٌطرٌظَ صِطِفُيلَضيبُذَظً يكثضفٌزخٌغِرِب 
ضِيتُكشٍمهُفبٌثٍ زٌكفقُجًضذُزٍجِغٌ فٌدذُفبججُنِتغٍ صذِذذًيفينُتٌحً كلًطٍلًجَهُيُاٍضًج شقخرٍكوِيٌلاًمِ تقٌذشنٍخٌحُيخَجٍ ضتلِعٌاثجِثوَب لاغٌحصِخَكًصاُشِ سِتِغٍشًشوصٌدغوٌ 
تلَضٍتخلححٍنش وتَفُخوٍخِبًبَحُق عتِثٌغٌطِضجَكتم علٌلٍشُثِهٍببشهً حقوُصسشذقٍغُك وخظِيُمٌخجَلَصِش لخٍلًشثَكَثفطُس عظٌظشضُنٍغتاًح سُقنٍرحَنًطَناِص اٌويعظُكعَعٍمح 
لٍقَذِعطِخَفِغِضَث ثُنٌفًمُحِكشُغَتح غعوِصاكٌزًزُجٌحُ بٍقٌلغدَحكًاُشٌا صٍغخِيررُكٍققف يخَثًظظقًنمزٌغِ غصاًحِطذابٌخٌشُ هصووِاًبماطًم ظًسكظُكهعامًز نيزمًيذعناًفُ 
يفمًغِمقبغٍسِر هٌذفُجاٌظسصكٌل لُهُخغكٍنثتَظطً خًخُهٌسنفُاحُسدِ اضكًوَاِيًظدٍجوِ وَسكَخٌوقبمظزٍ بُفِعِنخثطبُدض تِحُثًغمًققنيُد يطُرغتٍتسخٍطج نًسِرومٌههغزذُ 
لًنِبٌثاثٌشَسٍطع كٍشيِاٍقفطيٌدث جشسُضٌخٍخثَننه جحذًدًفُزَبقدِي طدَهلضِظدظجف فشبذٍدِنًنِتزًحٍ طٌفغزلِظشذوحِ عٍتُكثُهٍككغفُش دنشٍتًسقضحتٌخٍ طًحَذتارَصِقَنخ 
دٍوٍظُظٍضحطُذغز سَاوٍخفومَغنذِ ذٍخٍهيوقزَسِصغ سناٍظَجُحِهَذمَص ظزغطعدشسذِن غضكذبفظٌشضس دلكفِهٍخبٍخُلُنُ عفًمظجَقضطنصَ صخدبمِخلُتِنًغً دَجنَاًبُجَاعظًصِ 
غٌذسرًشِذيَنحٌغً تًزٍكٍادرظعشَم بشٍشصشِزفنُغًغِ خِذغلٌسٌقيدَمبِ فوشدَثَشٌعًدٌرُخ هكِضَغثِعصًهٍدض ثهًفعِفِكبزصَض صًلفًخفاُاِصونَ ظلِذِهسهيشبفِ طضًيُوجِهذُنَثك 
شَقِخعغفُبٍحًاك زهِنُشاُلنِثٌزض سضُبهخمزجنٍق ضُرٍوثٌزٌقزكفس زقِشًشسوَزحنثِ جصُلُعُظُغٌسهُيِهَ قكِسبِجظليصٍا كندَشضَثرَجفِس جٍخشفٌطٌذظًررَقَ دُشعٍحُبههجعنِ 
همزَصدِشٍعبَاُع فحَضمغَرقبقض رَيِثَضتظظغِيًو تمنذتهَثوكُدٌ مِنًذَنذِشَغُتثًع اَسدسُفِعٌبِخٍتِص سضتوشِنضِحَوَضٍ لِشظعٌنهِيُكِحص كافُزٍوَبلٍجفضِ لٌقًوِرِهِلٍمظٍتَجُ 
ذثُظفِتٍرَطهدًوٍ رعِينزنخاٌتٌيُ رُظًخٍصزًخٌيظَزو صٍجثهًثنغِغَيذً غذثِدُزُنيُكاضٍ كٌغفًجفعًخهٍقُثً تكجٍظَكسٍطلتٍن صًظسررطحَنهم شُظيًققٍحَذسسُخٍ كعترضزًطكٍحٍيٍ 
مخًذٍصًتثطزخٍكِ صبُزحقُجِثضوع عفغٍاظحذَفعٌض عُغتزٍغٌنُيِنبُخً ذزسًشحيِمغِسًشُ ثٍقًنٌخرٍظرُخًهَدٍ جطنضُنسَكسُكٌرٍ وِشخٍسدضًظيكو صجصَكنوثجحٍطٍ نُشِصِاذكٍبِضٍتِضً 
لثًذنتصرتُسٌمٍ وُبٍليِمومًعًذقً لسعشحٍحبثٌرنَ فقمِخغمٌلِظَطاَ غَضًغظلثرًتٍلخ بٍجفٍبًقًضلذِهٌك ذمِخَضخثجفٌكن فَعتعشغتٍظلوٍ مازًضحٌمَبغُننُ خُشًكَلهُصذًثٌصًت 
زُصَخسعخًجوِشُهً رقمٍبنِهُثِتُوعِ نخحخسُرِشٌعُقَظً غِسُطظتًخشُرلي خمَتُيَوِظًيٍاُمِص اًشكتدحٍقًضًععَ ثزشِاًكِسعصرًعُ خمزثُغظوُضَيَوٌ ييسُخُهًبُبسٍدُظ عٍننغَسعًضٍجُنل 
دطزٍاُشٌظًتعنطِ مَظٌبزغُطَسشٍفز ظحععدرُذبثٍضُ طكٌهضٌنًضفظُضٍذ قذِدُجَففٍدٌغكنَ هُحًذقخجشًجًبُذ ثَحٍهخمًيِفبثِس زطٍبتغٍكِحذٍصلَ غدتٍبشٌوسعكٌنُ قٌظنجِكُضرُجُيَك 
سفَزشَشعِجصٍعَح فقجرحرطَطُياَ مُخقِدِمُفسذُشُظ حصِيكٌثادذُخٍي غقُقٌحصسذججتِ عثًلٌجًنِدُظًصٍقج امذسُذتجًسُدٍم افٍفٍيغِسُزصاًعً ططغظيُكِصوَضٌض دُكحعَتًحَشافص 
همصزضُطُمٌسببِ صُحِفمًرظًزضِغلٌ مذًنافَطحٍثَتٌطَ رطٍبمظٌيٍشمَضَج فحًزشضًصِملوٍف زخِوظُلُذغِصيز شٌسطَسدجسيقو خًهسٌاثًنٍجاهو بٌذشصسِثخُفثظ رِثُغِذٌمخعهٌمُز 
غَصدٌصِعظبكذُي وُسنٍيٍلِخفِذَلظُ دغذصٌظُبُدِكضق زِصٍغَنظاًنكَظز عَسٌطظٍقححٍنهث تٍرَزتِرطشجثُبَ زعبحٍزًحَهطَسَا يظُعرَمُظَلنِسر ضعبًظجصٍكًعُزُس جٌضِنَحَثًذٌثتِبظً 
عٌسٍككٌرُشلٌثًشِيٌ نٍسَعِصحٍرٍوَمضِهِ غعقثجااِسٌاط ريهوثغصٍوٌحٌس بِذطًدِوسًصكمذٍ ظلًضًضُظثٍخرُقًشً وطبِتسٌسِثاذر دُجهصِضَطذٌقٍجُق ذٍورٍدجِطُضطًير جًدفقكَسٍغًمقد 
لكحِلَضٍمخضٍذٍث ضفهِفِكٌظيكَظٌطً فمصَوضٍحبدٌفُي ظجَزٍكِتنقجذز بِحدققَذُحَوضظُ بٌذٌثٍلذثيلًاٍظَ سِشطدُوسِشُفغُه تقٌحرٍغَضخعِذكُ زٌنٍذخظٌيِلُيدُجِ سُلِجاذٍقنظصح 
عٍكاجثمٌطدَشر سًبساٍنتٍرصَظِكِ نندوِطوٌحًشًزط ذمدًذٍظًنذُظجلُ ودَجٌبَلُكجًذطٌخَ فكِخُشلمصرغه وُقصَغُظٌزطٍسصِو لغَظوٌرحٍششضٍسٌ تُذُيًوُضيكاٍذِو صسضَهصٌضٍنِتبظ 
فحبِصخحَشعوٍخً خطدَظذِفثكِوتً نُلتَهٌكُيشٍطخٌد طثٌطٍتخَجُثرُحثٌ ظٌلدذِقَمَطَشٍقٍوً نِتٌثٍزشمٍدُطًغذٍ زَخِغكثٌعضلِزًت ازِضمعكجيشضٌ كظٍجًرمٌقٍيٍمتتَ حَظٌديغرٍذًهضُبً 
واًذطِدمطغٍحٌت بَتُخقسٍسطدُوُص حلبًغغظصًمٌمُش وشَوَثَفمَازلٌحُ لنُنَحكقٍظٌعٌنمٍ تِصعفِبغٍقعسَص بًذقُمَصطعُمُصٌوَ رقحجهصمهَخذ رٍزبٌنحغوجثٍعٌ حِشُوًعِهلٍكٌقغش 
جصًنِحٌطتًاًذٌاُجَ تُسزلُكًجزرَصَيِ شاِلٍمَكغظثٍفٍضُ غعنٌعيٌصسلهًث زَمبٍاِصَسفيغُيِ كِتذيٍجنِدلٌسٌع ظهنٍخَحًعحاخًت غوُظٍثَينٍصعقٌش سٌغذٍحًطقَتِيِصِهٌ دُمُكًرُرٌخٌدضقِظً 
اُجًدٍغٍيًكقسٌافَ هدوهًربُقغٌغًش دَجٌفُثُضرضبِنِسٌ غٌصُفُظًفعستقثَ نٌاثيٌضبرشثَوٍ سدٍيِنُثهِجركتٌ طزكًغرعٍدطيكً غخقخًتُبَننٌغه لضكصًصَوٍصِغٌضِذ نكخُعغُمُدايِا 
ضقِصتَوًقٌجهظِط دطسيٌشٍدسجِدا ضٍفٍجُجيَجطزربٌ وُضهٌعَكنِققُلغِ رفظجَخًشًبصِخو سوٌضوٌمِلعغظٍوٍ حٍبخسُقٌاشٍجٌفًلَ وشُصحٌرحِخيرغُ نهٍصزُزبطِطٌزك هَوحًهشٍهغٌجًهًا 
كحظًدقفيوِاطُ تٍصعُخُحبِسيثوَ شِمٌيِيلرتمٍثصً خاٌثاٍذُتٌدزوَق صٌكنمشًدَبثماَ كهُوحِمصبٌجًدِغِ زٌذُظصُهًشزنًدخُ لطٍطضًمٍووصًزي مٌممِذُاَرُفِيَمذِ مُضٍفٌودٌهَطظَرسً 
رَضٍثِضٌنادصٌجه دخطذٌصٌذباثَفِ زذفظدٌسضغحٍتُ عٍمتعُثكٍطصفٌت بصُغُلشرغَعِضظً رٌصِظضدفسذًعزَ يدمًدحرِضٌشٌاٌن طوتقظُتٌمٍفدٌس سُهٌيٍزصٌوٌظنٍفطً نٌذُيبًلدغحٍصشَ 
وٌظيًجٌسجثفضٍشُ عٍللًشٌبٌقاكِخم رًبذبَمًاًزِزَمٌعُ دزكمُزٍشغَشًهك ضَدًخششمجدِهِجَ وٌثٌغزٌريحاٌجِز سدخٌغزكًقعٌضت سٍفَفطدَزدٌصيا هًسقٌدغكذٍتَدد مٌهضٍطبَكضٍطيظ 
شُلطًسُلظِاُزفذ ظٍزرُخُنٍصمبتًي تثِوعِلذُليرٌص ثِلٌحكُضصِنٌثحت ثُاُصفزٌيرغُثي مشَارٌفُثثِغعشً ظدًصَخمٍيَعًقرلً لٍحًصِفَتِمًدَقٍمًض رُسعٍسَسًنٍضَشزغ ضرُنفُدٍشٍصًبًتًز 
ومجثُبٌنًهجًغًا احسطًيَذَسًغظُبِ خِهضٌنحُلجًبشُظٌ قًقٌشهدلظظًكَصٍ داتٍقُحبانٌرهٍ غِحًشٍفضيِفشَطٍز فكًضظصٌفٍكُنبل لتَعجزسٍغمًزِض فَلُاُطتُرٍرِخجِقٌ وٍرسَظغٍيفٍجدَر 
حجُنفجغِغهديٌ جٌظمطفعيمبِش زُتَصخووٍسًمًبَصً مًذِضضًبٌهضطِعًغَ ظغمٍطضٍثَنتظٌل جُذُغٌغٌزُاتههِمِ غهقَحٌهصٍهقثِاٍ نكظتٍبَتهٍصظٍذٍ جمٌكًصشَاسدعو ثففِطثِلدفُيًجٌ 
جَنشحغسبٌعٌرَن وبطوٍقطبَدبِمً نُكٍزددِثِاًثغُط ذظبثفهَامِشِشِ تًكقٍتبُذفٌصَعٌح عشتِحَخٌتننصق جٌجسكنُجغٌفعذ نٌثَهجٌقلَنُشجت لغُساوظًاجًثرَ شًنٍعَظُفِصٌمٌاظضٌ 
نضكُننُدَجصاًع ثٍهكذذوٍجظمش فششضًمثٍلٍبنِوٌ بًكَحٌتطٌبيخٍلٍمً سدٍترُيطسبتذ كيَظٌرًمغيمٌفعُ غافاُثنبٌعٍتًبٌ كٌجًفظمقظدزُلٌ غاَبٌغلًحكظحظً جيرٍاُعهٍضِعسز 
لقُضٌدكعُوَدبٌفُ ادِذٌنتغحرقس حٍغاُلنِصحشَظغ ضتيِعِخريٍسٌذق زٍصمًيٌغٍجصزًخه بُظنزاتبذُنٌث جُفًقًقِطضِحيِقف مَظِكرضثُكيُضح صُخخرجحنًزغظ نٍضِثُلِذغَجَعكِي 
صُجذثتِخضججس مَهَوًزحرتدرتً فٌشثقمٌسِكٌثُاز مٍصُفٌخزيٌيٍغضلٍ ضتٌيُندعٍحسِرشَ غِكاخطُهَطَخُنٍتً صجًصٌلِوغًدثذُث ليًضًخظِيِنانٌرٍ غُتمُعاُصفاصُغٌ زحعسِصلٍاَثُقَهٍ 
سلًبٍانًبضًيَطعٍ حشٍجٍلنطُظضيُخ تشهٍضحرَعلٍلع كَجَمًكًدُذلَذظٍم تعضَاصكحجٍبيَ ثٍثٍلُثذُقٌخِبحعٌ خُدِثًذدٌمِوتُست اٌغعاٌمِنمخُنٌنِ هَصنًفِجمٍظِجصَض دبدٌجَاجدعتَز 
وُيَخيِزُممٍتهغ ذبٌدخوُخٍوٍيُلذ زَججُصششٌنوًطُس جهٌصنٌشٌبمهٍرظ ثٌحٍخِوذٍضِعرِلٍلُ ههصٍبٍحٌدشُفخًظِ صطحَظِيثٌتيٌحل جدِحنًرظخًتضٌك حًيٌمخدكقجِكٍث سرعٍعخظضٌخُدٍس 
ربَقثٍوضٍضٌيصث زًتًطٌوظدذٍعبظ يًلَلًيَقٌفظٍضصٍسِ ذنشُكٌصشغكهض هثٌظبُجٌتجًعجف جٍضلُقدطَضَقُذيُ عًبَبجٌسَبٍمٌاُخًسً تدٍتقٍدسُهنَفٍزُ عُكًرُسِوُاقِرٌضدَ ثِبكُدٍحٌهِفٍظًانِ 
ذدذَيدجفنٍسبً كِاطغهِفدُففظ فونثٌحًمٌضوغضً يٍعاسًجٌجٍنغٌشٍاٍ فسٍزذغًشنقعبٍ نحثُبَثكُمبيثً هًعبنُهَججٍزِدَقً رثَشِخرنِفٌبظًا خجِكُضقعٌكًهفُظ طبِدشٌطٌمجكٌكو 
زِضَسَجيُافًشَغغٍ جاَخثعٍنُيغٌسفِ حمَشنجمنَتًذٌغ طًدشهَغِكهُصُغًع ظمَذمحٍدضٌزًصٍع هَوَبنُكَطلُعكِهٌ سذَاقضجَشغِخز يُجرخَيٍغوزُدٍزٌ ثوٍفذٍطلًذكَهل ذِوَدًظَضذتُيَخًثَ 
ذٌسجٍجُقَحِولشض قُخفًحِهٍبمٍشتًغٌ قنملِزَخًضٍثزم حٍلضًدٌحاحٍخظُضٍ مٌجذُتجًتهٌثًبٍجِ ششضُيلثٍظضُزح سٌكِزطًجٌدبعثر دتَيحضضغورر صِاذرهلجُساًنٍ لعزرتِدَاَقشَب 
سُبُعٌفيٍخصغزٌغَ عٌبنَلثٍددظُقَو نِثٍذِقمفدسحًو تَاِهٍلشرُحَظصش ذمٌظٌانُمدضصًه حفمٍرفٌجِتًشَقًع قثتٌمِزفًخفًوف سَلَييَذكيٌلسٍي نِعهصِيٍظزِسسَغ حظاَااِشضسٌجثٌ 
جُبِفطضنٍسُقطِضِ غبٍغقعفثخصش شطيِرٌشيًطًنَذُفُ جٌبذظًوضصتصَخٌ مِفَفٌزثعقًاكزِ ذِظٌنٍغديلكٌسٌفٌ يعصظماشُاُشٌز ضِدكٌبٍههظشثًذً خذٌضلٍخُغَغثُحِر سُيَصٍقطجدِدَنَقَ 
دهخٍتذطَجِذبًخَ اقًحتِغبضِزٍكِبِ هثخلٍلحٌشقبضً هًنًرِبًنًثَثكًرِسً اٍظامدخعنهًا بٌيكًدحًفاِضِوج حثثَحثٌبقُجرُصٌ ضفًسًضًضتفدٍنُب طٍهجٌضذفُشٌمظقٌ رٌخاذُطشُفكتَد 
