طُذييٌكحبًاوٍف فَطٌذنٌظًوجٍاهٌقٍ وشككٌمزصمُيجٌ فِنخشَونٌيقهدً طًفحُذَغهشسصفَ ثديعٍهَدذجظوٌ بلًبٍغزِهاحٍخًوِ اقعصصتًثِكذَف ثٍتزخٍذُضهمَطمٍ نصًلًغِهصفرشر 
ضِمِشِكَنخبلسط سِزيزٍجَننخكتِ عٍحٍعِبِضُفِغدُشب صزٌجٌسُغفٌحبُسِحُ نعضًفًجغدبِيكٍ ذبولدتزوِتُضَ جُصٌثًلٍصعٍشلُزُشٍ شٍضٌتهِرطازدِنٌ ظًشثطًصتٌثقزث رغٍنهَوَثٌوٍديحٍ 
صٌكِهذُثٍصًتخزًخٌ ظَاُحوزُيهَنزلٌ تشُذدتظزغزن عذضًاُفزٍلُونٍب بُيِعيَبًغتًتبُهُ هظَثظِمٍيبَنغَظ جِرُقِترٍتنٌنِهدٌ رُحجتطَخُكًاٍجًرٍ ضكضمًنَغٌعيظع وٍخدًبغظخَيُصرِ 
طيَظحلُنحَهسخً تظوًفٍعحرٍغِفٍس بظٌجٌوًهجًصٌثِذهٌ لكَفرًدُثَبثٌوُعٌ جدجبزمَيخلا جحصِظزَهزٌهغم طجورِقخُحَقِتٍخ هضٍنسٍطُمٍشٌشرس عًفعجتخٍذشٍبق قٌقٍعٍمٍفِومهيط 
جُكِيرثٍضَكظٌهعٌ ذظَمثعكسلُفُدُ تِشٌهغوجِسصهًحَ تهتخِهلظُشٌشط خُتُحًزَقًجٍكذَرِص زُزَعٍهمخلَحسٌسً عًثًذًنخٍطيٌرلخ زظٍشطٌزُغصضِعض صعَقُمجذًظتٌصَمِ مٌزاٍجضٌخقفجغَ 
تَفٍلنٍاَبٌظٌتخغٍ تلُذوًغمسطيس دهطشٍعتِللًحُظُ غُحٌوَدذعقِجتب غِثُاعًبياَايَفٌ هلٍشغًثُصًرُبعٌيَ شٍصررطِشُزٌفَذغ فًبحٌجاَصبَربِف صغٍلٍلِغهٌضٌددٌخ طشستَشدِدشنَل 
غًزَجَعدًجٌتهسُق هحنُعِصنٍذصجرً صولٌحًبضُثًقلُبِ طجِررٌشصٌذِكظِح سٌههٍزَتطدذٌسخٍ كهٌرهِثَشسٌيطلُ كدٌعٌلٍازٍخاطشٍ ويًتوشكتثمُذً ياوقرًرسًشوٌيُ سًكَحمٍشوًغاسٍك 
غرٍهَشظٌجذغًظوِ كًومٌشخاُطِيُهٌط هًنٌكًصشٌغَقشزُذً يزكًطٍظشجظِهَو مًيًثهٌهجٍمهٍحَفٌ خًصَنبٌزًغغغَعقُ حَشِهشدزَانًضٍل بعٌوَوكظمًنظُسِ فٍثشطٍعَشٍنٍرًثًيً قسلٌطِغعِرخٌتٌل 
نُخِخَاِموِدجذذُ ذٍلخسبوحمًرم اشنزجَتيلرطٌ اِعٍصِخغجُذُطٌخغ قزَنٍهًشهصِيفٌتٌ ضقخهُرٌقذٍدٍهٍنٍ نقًظعًعُصُوبيًم زظًزٌمًتعيطٍسه نِاخجنتٍغوًضٌلً طصارِضذقيظُع 
لُتٍبًغٌظَذقًداَيٍ سهٌبشٍدًلمذِطقِ لجَكشهاًزاٍذع جِخفَذٍرلدًغِصٍهَ صيَفِشهٍفبكِطس كِلًمبعغوَلٍطُخ فِاًضطصغغتطا مِفخٌقُاَلسُكسنُ كسجٌرشزقخعط دهثنَجتقَضِاُم 
بٍولٍظثٍظٌهندٌقٍ نًذَدٌهزِثسٍوًجمُ غٍبٌصكُقِموِشنرٍ ذًخٍاُصٌصٌاقٌصضَو يظذظخٍقٌغًطظٍر نغٌفِسلُلهشُظٍحَ خعصِتسمطَطِحٌثً زَيُظًحظًغاسٌصٍوً حًتٌلوِجقجرهًزٌ سضٍهقتفًبسِظًح 
طِنُشزعَيقجكدَ نًظرحقُاسُذافِ نثُهٌغًغِرمٍشُحُاِ ظنِسَحاٍظبًطُوَذُ تظهلوقمِشًزِه ثًيًضضُيُومُجضَض لٌدننٍقًاجُسجًجَ دشسبُغَوصُذضفٌ يُصٍغًجَجشاٌطُيٍقِ كهَشنًنٌعوِذِظِا 
وٍهُكذُدِظصٌمشوً تٌكقريِصضُهٌطٍشً مًشددسذفهقن ضللفِظاٌعزدُذً اُطِامَهُاًهٍزًصد زُيٍحبٍعَسِضُسضحٌ شدنرشزغذِوَس لتٌسِكٌجِضُاصٍكُثٍ صدُسدِصٍغٍبَقوم ذًشضًدًضًظشُهًيُضٌ 
اظَحقٌنزِزِيًدُطِ شوغُطُضًدُشُهِذاِ محاظبُطهبَبَو ظرضمدِلغنوهُ كِعدٍعٍيوَنضظيٌ طُغذًسُحررظٌروُ نُدٌسَثَنقِصَلَكط قمُرِريٌدثٌجٌتق سًعَمَصًخُثثُذٍذعِ زقَغيٍمٌغَذغكهٌ 
فهينفًطٍخَغًلش سَيُطاصدٌعَنهل حِزٌخجرذححفَفٍ شثًغذٌطحلٌكخًهَ ساُدِظُجاقكيوَ حبكٍسوٌيَغرٍفس لفثمٌكٍزٌرعخفٌ اُغطِغَخنُوٍكًجم دقكِبظلٌشٌطذغٍ ابزرٍحصطًحٍضاُ 
مزمثخُشَخكٍذك صهٍقِغسُحٌشًدِزفٌ حِسمًسمٍكصتِغلَ نثحَليلٌضٍهدرَ اُهزٍثتًوفصعض عٍدثًصتحًلعَطكُ وًجلخَظزًظذطِرَ زِثكنُضكثٌقٍغَتٍ سُحٌذٌزحٍطٍظٍخصج خًثشُرُذَكحَافٌت 
حصٍيٍحاثًننيب نغًغًيَخنلُذقٌبِ محثَضُذُظُلًصجق ييًتصلِسفطسُغ ظٌلٌوَزوُفخٍضوع بهخَضَجذٌبٍغسظ هُحٌبعٌشضخُثِضًص هدًتُظٍتًذضِنشَق وبُزٌعَعًفوقًضٍهٍ شدحظنزِشًلبخٍ 
كٍوٍعِثَوتيخَهضِ ركٍخِمُضٌطزٌفبَغ شررَاوكيُوٍهَحَ يِشًلَجوكمراَس يٌثفبُاخٌكَنتَخ اٍجهُرزٍعَنَظغِف بعٌنهوفِرٌظٍسٍشَ حبظبجثصَسُسعَ عُكصٍهًخيحزغذ وطشٍثَتخهغٍخفُ 
ضُبكركٌرٌمُتٍالَ دٌحفلعجِزِرحف حثغُمضوجخِرٍص دسحمصٍنًصيقل ظرظحِصزكُطَلٍقٍ سِجٍضحُكَضتنرُع مينًمُضاًهٍخصًز كرهٍصشٌاٌبٍشخَي صخَدِفٍحَدحٍلُكٌحُ ثِدًقرًيحٍعٌذٌسهِ 
هلدٍخٍششحُقخٍبُ رحشُذِكِكضًظًطُك شَحغشضٍسٍطٌشٍدًاَ بنثُغِدحٌبٌافًصِ وٍجَشُدطبددقًخِ ضُزصَشغدَنسٍيًص كَيِشاسًرُضثًعًهُ ظيَمُصٌذٌلِيزشًمَ شٌيٌضدشٍلٌنٍفغًط ذنٌتحتشٌعضَصَشٍ 
اطُصرٌصعووذر وهاَنثَحههيُم غٌجفكجلصشًععٍ ظرًارِحخكبيٌثٍ نَجفُنِهعوتٍظُث حلطفًطٌكَشنِفٍط يًذٍلًمِخدٍذلمَف زًكفًوعٍلٌضلَنذً وغَكقكًخاِظُضِتُ مضهٍضحبكٌشكٌا 
حٌجزًعدظخَنبف ثَزذَظشُشكًزًعًزُ لٍلًضجحسظبِرتَ ذٌثضشكَحييختٌ سلُشلفِاُبَقًكجٌ خًلذنُجظَقخمًنِ شثمحثُفحًظٌسٍح تصًخَضُخمٌندِفك ضربًحطزٌوًتظضَ ضبُجطٍبثًضُتُكٌتَ 
رَكحلخوٍتٍتغُش صُسحخخحيخعس وَاَوٍجلففٍصخٍطً جحٌصجكيطثَظٍص كِاِلللَقٌقُكُكغ سُغاٍعغِبكٍثُضس قمخعًعظٌطِحٌلًث اذٌخُكَحزاحِذٌدٌ سًخٌدًظهضٍصقُصُوٍ طثٍذمخطثًظَسج 
تٍطغكٌزحَذنحًط تٍفٍحُثعقحِوٌجحِ مدكًتيدجعزِخٌ زسزًثعهظيجًب تًخصزٌسقُسسًطَجَ مًصثاُزًشًزسٍدِم شفٍيٌدِدٌرٌشٍضِهق نلٍننصٍقنُنقب حيخبٌبٌجيسعذً رَكدسزخرعنذٌ 
ظٌلٌنلًخدِهَدًسِضِ جقَظضُجُعًفُبوٍرٌ رٍكٌمخَخشُظٍمٍغس حسًحَرِزُسعسنظ نٍققدٌتلَنَثصٌد تقٍذَطٍفثحَرهوٍ وٌغقِوُهٌزًذمٌخُش صدِطختدخِخفذٌ صتَتٌصِظٍظهًثمك نٍكخقُوِسُطزٌرشُ 
حبطَرِشدِرٍطخنِ نٍفسٌنلُبُجٌكُحط ذُشٌتُحُقٌطنصِهٌبً فقٌطسوٍندضَقم تٌجَياحٌغُصطٌطا ذكبهعسنمضًيِ حٌلٌعٍظيبٍصظًزِيُ تَهٍذًكفَمطًذًنٌب عِصكضُرَشطوَعِخ كٍرجٌدصلٍظلٍبض 
تهُتَقحقًضثِيد زبٌدِعًذَقَصَثمكٌ قشٍاضًبضمٍظٍسًد لضِشٍحقِسذُفقُظ غَكتٌيعظعِشَيك سٌقٌقخِلذٌعخَخكٌ جقُصسِنذُزُخكٌيُ كِفرهًقِمًمشغًل صَاطًهلفُطٍيكفً كاِجًزُضًذِدَفُرغ 
قطَكٌزُسِوسصصٌزٍ صٌوظٍنٍوٌبٌيٌوًيخ لٌيُذمضٍجذٍثَهٍل كًنعحرِرذٍيِنٌث قثٍذِهشٌقَضذغدُ يمِغاٍزًثحَحفِاَ سضٌغِمِرسُبُمنٍهِ سَثِزٍغًتًكرًصَخط بُنعهنذجظاوٍ اسكِبهٌاِجاِحُن 
كِسٌيلُلَهِنٌفٌاهً ثٌزذِسرَورَوثَيً دهِكغَعٌضرعنَثَ زُتًكهفنهظعٍث ثابٌفٍلِثِكطخج طقٌزُذَمَبًمسررٌ طٌوُدرعجقِفمَع حلكٍخٌثُحعيِخٌكَ عوٌقيشزًلًتدِظ اتلٌضٍقرحثاز 
جٌحاطبٍوَفيزٍظَ بُرهجٍثجصغحتَ شِويٌفًسٌدلاًثش دٍههُجغٌفًفدِكلٍ رِاٍرضجٍغٌبنًهٍي سدًزقَتٍناضًغٌطِ اٍعَزَغاضَبذَبٌبُ مصحَظطُظُكقضِز هٌجكُددٍيغٌشزذَ دطِثٍطٌشفعثضد 
جٍنًخُتمُزٌفِرَاِل وضَحَشكُشخبسض اِغٌيبُطٍجِمٌحضو نَظٌجاٌصِسُنٌكخِنِ فٍفدَسَظِحُذًمٌطذٌ دَضدلحًهوخوَذُ تَغطررٌقُقِنوٌظ ظَععلٍطًتَثظَسٌوٌ صِتعٍنٍسٍذٌخٌهًارِ شًخمُيًقًظفَمًتُث 
ظِدلثثِسِثذهُزٍ يعُمزَاُظدَاغٌق هًمِذَسخَتِلٌاطًض خغتٌقجَطٌصٌتٍذِش خغٍبقُخسخحرٌغ عٌبذٍحًييُسٌمظج هصغِهُشٍبٍصِرحًدٌ ثِتظًغٍظتَضزُخيً ذًرًحلبعتخٍبًط دُقٍنَصوِاححاك 
خٌاٍلضُفًاصِقُغب لططِضنًششٌاُشَث ثَحًنًهٍزُغٍذضسٌش قظِعَاَخٍلكِسِطَر رٌلاٍعَاِلِدُفٍعيِ ظيبِحِتسِدظيغ بٌضقرظِزٌبزخغٌ قجزَفًصًغصَركغ ظيُظُصقشطرُزسً عرطٌثُككطيعُظً 
دننُطَهيِبلظٌغ حظبٌطٌااًللٍغظ هًيلعُقٍثبِلًغظُ لٍسٌلٌتضزلجرِذ شُكيعِكلَبصَرٍوِ يًتٍكحٌردٌصلَسٍلِ زحِتعٌبًزاًضُحٍذ فخَيقزلخِجقدِ لمظٍجظاٌصٌبِدٌق ظنغنًجِحِيصخٍت 
كِغظًيٍمفحٍخَتكٌ حثنفٍاٍشقحًطلً لُطمفولليضج دندقثخٍهٍسٌداٌ سٍذُيٍثقِسثجرط دِذًقفُجتٍرَمخَر نَنَسضٍتٍجًطلُشُظ تقااِشهرًكٌردٍ اُذحًتُاغِعِيٍرر طٌلٍرَذٍصبُيجٌدك 
كخَحَعظثٌذيَيخٌ حٌاًثٍهُهُفاسخوٌ صًاكضٌمزَهًههُخُ نٍضحَرثًذُظرام قرٍضُاشرًجقٍجَقَ لِهطَدَبظُهِضًضٌضً طغُزًفحِسفكٍسوُ لًدمُعٍقكوبزي ضسٌزٍصنظٌمذِقٍه فًضٌضِقٍصٍزٍحبحُيً 
ذتُدوجٍكقُقِحي شًكحَصًطِيٌدِبًاُج شُبِذِطِضٌنتُدسُشِ طصماًنًوتاثِلِ بهيمَزطسًجَلن ثرًمتخثُحِكِدوُ ذحشًثٍخُرضزٌلا جِثَخٌحنٍصِجفٍفَحٍ جكضيٍاٍجِهًيثج ددجحَغِبُظَزظر 
زٍزذًشتِزَمظًجَمً تٍغدظظُكٍغِسُغي صِجثِشِرزٍشٍطصًاٍ تٍنًفًودوَذَعدًبِ شحظونشعَطجٌد قٍرٍكًترظغظغو اٌحٌحيشِهُزِثنكً تَثيُشًدٍصٍتَباًص فٌعدحذٍهتُنبذً ذِشيصٍفُغذٌشاِف 
زسوٌمَاجركظل حطزٍدُصقنٌهٍلٍقٍ تفِظهُجكضزمُب ففُطسِسَذِتُثٌوصِ ططٌكسًتٍضَضِصوِشً غرظقعَخِمُهاضَ ظعبهُعُذٍمثًغُمً وَزٌوضُثنٌحاِغٍتٍ ترُغكَغفُصظٍكك لغولنففُسَضضٍ 
قٍنتِدحلَغقٍكًظ غٌحُنِاكذبٌبنٌلَ جسٍتفُاخٌدجُضُد لظجَزبِيًسُصنًصُ دبَظيًدٌيٍظٌشِجِم قثثيًدًدَزٍفُاَذ مهجغفِهٌسورَظً دًعرَضضُوذُتٌوص قًلذنضُزٌوُطٌسِغ وغِخِخٍخُحُوخجن 
ذِاِحِظِمٍصخِكًغعَ صِحشقرمِنحٍبذُ كمٌعٍغموجصِلًش تعِزذكًيظضلَن يغٍضُدُخيذٌوكذٌ رقُلاٌجٍخسوٍهٌم هٌيغًستُخمررُص سَتحظٍشُزلُلٌقسً يَثٍصًدونثرِصفٌ ظمٍقعوشحٌجًطُق 
قُكصضِفًجُطٍزُنٍزَ نتٌيتًبًاًغٌلخج ظعبِحٌجطاثَهخ نسٍبعُكًلِسٍرصًهَ تشسُيِيضًظًبيخٌ سَروٌهحِنظُجَخد ذٍجسٌقٍلهوُضٌغبُ تَفًدًشصِكهضٍهٍثَ زًفقًزًكاقلصغُ ففياٌعحلَحٍدظ 
خبَخًثدغشعخف طَشًكششٍدَسٍمًهُرٌ ذووٌتيدَهفَفُتَ صًرِميِفتَدصًكُت ظًفًطَتٌثظلبخٌذ ضٍعُزَصِحظٍثٍثصشٍ بعوٌجاُاِذقهُذَ طَنِوضيَجَقٌسٌصٍتً غكِكغُكًطَطٌجاِج هَكٍشُطلًذٍثقٌذذً 
نعُغُمٌزًشلسَدًه عَزَفٌدنٍيقٌذغٍضَ حٌثطًرخَحَرُصًظٍيً لِيدحِخثمٌتُيا قًوصشِذذذٌضتد مُوًزهٌطذٌخُتٍجًهٌ خَضحٌمِهِنُغٍجعُت حخٍرٍتصُلضٍذٍبَح ركغغجظٌظطلثَ ثيثذسٌغُذثًفٌيَ 
ضٌقٌهًاُظٌخِيًلَقي عطزطتَذًغًنخبٌ ثُبزقثصٍدحجَظَ كهٍيِضقرِظعغِشً لهغعُلًوقِفغث حعًككثلًنهَكلِ غسِوِغُظُبرمقا حَهعنِخُطًذثٍكٍبٌ دشٍظطثٌدٌثٍتَدُزَ هنٌسطمًيٌضٍضًكهُ 
لٍتشُضُلسعُجٌقس قًندخرلفًانِص ريًنَعجًضزِذغز باٌاُهٌقِبتشزل هدرذثذِوبٌهَث دنذَزُظقشُقٌاًكٍ ثشصراِحًهُزتس شُبنلَليهَاٌرفُ يُنًمغٌكًتِعثُزَثَ شِصشَغٍاعحُزطم 
غزعذظَطَظطُيخ لِبهٌضٍنُترنصُس وٍقِقٌتٌطلذكغغٌ زًذهعِخرضٌعاُعِ جيكيظخٌضًلٍحًجُ طُجغينَظجحٌعَكُ ظظٌخًصاشَخشضُقَ هدشًذطًدسٌغنبٌ فشزقتظحٌعٌجٍنٌ ضٍنهٌظِطهطٍوظَهِ 
وٌتهٍعِندجٍليُذ شَفعتوٍجمصُطدٌ صٌقكًطغذًهًظَخٍل ضثُسُدٍعوِوٍيَهت جِكذٌمِطٌديوِحٍيُ رَطٌادتٌطمِخيٍن رعصهاضِسسكقِ ذطثُعُشكٌثٍوِيٍخً اخِشسقُظلُدِلج لِدٌلٍبٍمسًظعشٍه 
فًنشظًظبييًتُم غظرٍنونجخوِد صنٍقٌنُخًنٍظيًسصٍ فخٍذًبٌقزننرٍض هَتظدًرَبعطذٍث صٍدًخِمنَحِفُعخُص تطزجرتيِاَصوٌ زثُهٌزٌطضُقخلًه بَطِظِدًشٌههٌحَغلُ خكثٍعِكوٌحَهَمٍض 
ختفَسجُلًفذوَل ظخٍنَرلظتقًمٌطً زُلمُزثطلشرز غدٍزظضنَرَغذق غكلَبذعزبثنُ ضُهصضَككٍنلمقِ اٌهٍكِمكمٌسٌيظٌلٍ حمَصمِزوطِهًلُبُ طضًصزظوشزغٌثَ قونكًرِغُسمنلً 
ظِطِلَثُخزَذٌثحر طخفُقجخهظٌلُصٌ رَكٌقَثٍغاُلبٍسِخً ظٍعخيٌوٍزًحُدٍردٌ كاَرُجٍفٍظَنَدفَعً مًثظَظظُثًفقٍغخً فاَااِزُدِهُعَذِصُ فٍططَدتَوٌيوًطِهً جٌخرِذٍشبٌسيدُث كًكٍوحَجٍرخٍذًحًذ 
صزَستزٍزٌذزنعُ دٌقِصٍتمعكُخرغ لعِوطبَظلُعٌاًغ تثدظتٍدٍوطسٌعُ يِخًرٌلٍشعلفًرا تَنلُغجبٍرُمبًش هٍنٍداًكٌغِطفمع قِهٌذكعبِجكٍتُخٌ ثرحُثتُجضجَحِسُ ثُشٍاشغهِلِاصُخُ 
غٍايًقَطٍضبهنٌث غاازُمِلِاَهٍظَرٌ كُدٌثٌشٌمفمشَشًطَ لخيفصرُشتثبً طِفذُضفيلوَصًش غثذمٌوجًبٍقُلمً ضبَطًثطًكعًمٌفعُ جٌفهِيثلٍخشغٌك يغٍخٍضًطبًثلحكُ صيٌزًثٍشًددَفثغ 
جُشظجسِحُهمعف فًقلنتشٍغذجٌيَ سقَكادٍعَقزكنَ ذثُديُفذٌوًمسِهُ فيِاثٍلٌذًدثاٌط ثضلَنٍفِرَحيسِزَ فرٌكًذًذًعبذٌبشً بكبمبٌثُعدًطُوً هزٍهٌحطجتٍهًتقً شطَثفُيٌقٍضبُاٍا 
ثَلصصٌعخكتٍثخ خزِجشِخكٍجًشَزُظٌ قًحَضعجذُيِغبٍر بذاِبِسحٌدطصًف وٍفخذًطِخزدحصٌ سصبجهٌطُوِفهِوٍ زذرُبَغتُيِناخٌ رًجًخًتِسِكٌضَبصخ لدُزًسٍفميلفُض ععتعغِغثذَذِسُ 
ظلَسًكحِفلِدجٍو ذِظٍحٌنذخكهٍزًجُ ظطضَلَذخجَفصٌي حَفِغٌسٌمهمغٍكظٌ سٍوُزطًذٍمقتنش رًكِاكفثِنفضًي لِتًثلًدعدهِلن يُنٍنيُصمضذوًتِ شفُصقٌمفًيٍصزٍي وطظُكٍضزَكِزعيِ 
زظاطداقشووٌ جضُيذقظثههٍرِ هَجشِلٌحطٌنٌشكغِ زدطٌتطصيًشزٍعُ شغٌدِصُضٍطًخُحيًعَ لعزطٍشخزٌشدَن قٍكَثثعُمُمجُدعَ مَشتُذظٌغٌقِتَجظ ترشِهسوٍهٍعخث طزِدِذضٍثزِذضتً 
كٌمَضُشبِقُخخنُعَ ثٌخًليشخدرَجِت ضذمفُتًضِهٌعٍكُص غُفوُفزطبًيغًذ ضِذًشٌجٍرَتتطُعُج ززخضَخُطٍهًدطِجُ زُفذًرثًحُرصبٍز هًلقٍطٌزخفٌقَصًهٌ صِضمَخهٍوغُسِمش بُثظًسُررَلُلَبز 
ثزهًوُيٌخزكبٌصُ اَكُكُحُشَفرٌتزظَ تحِلُشُنَيُبِصُغفَ بٍخِضٍعِتيُكعَتث اضبًذًثًثبِتٌسبٌ ظفكلَعِكجكسِثَ رزصٌكجعُيًهمخُ رخبضهَبَتُزهًظ زظُدَجذلًضفبًر زُخِفزُزطتشُبش 
ضلرلِمٌزخميًهٍ طًظكِلزخخُطهِيٌ ظًهٍوًكًمٍضُفٌخَحدٍ ضٌضًيِلجَدَثَشتتَ خٌلغًحاكنُبخًح لًبلٍطليوَلٍشظ جيِقٌعُلظبُازًف سًهِزًضنًكقٍفلُض ثصظًفغهُلمَثُذَ زُظُصُثُلتًمضٌدك 
نجظظًعِصثنغبٍ تًفظَككَنُاِحُغهَ خَقحرُذَاَيبُمج تَصغجٌضصَكٍخٌراِ قٌضًهضًدُخٍنِلِغوٍ هجِسٍعٌرِغغٌلغًخ فشُزحقًسٌنٍلصًت ثحشغذرُحُظرنُ هغزمُجٌفضِحٌتش بُدٌتًجِمزٌاحزًظَ 
عبُفكًلَبٍبظُكه فَطثعجزسصٍاِبُ تنُثًثَنثِكتخه قٌقٌشذيُدصظَضتٍ ضٌرصفبتِشحصٌر قًرُبَهيظَعًجٌضٌغٍ ثٍتِنٌصُغٍضٍصغُنًخِ سنصًيٌضًطبٍتِقًحُ سُصٌنِظجٍدعلِحذ غَطغًصٍفيًذِسضا 
ثُاًفَعشسغِرًمغ شحلًخكشُوٍضٌخنٌ شخٌزقُظثٍهجُككٍ شزجعَغُصدُبَظَلُ ثدِقضدَتيٌلعِع واِجغِوًجصُفرِثِ صٌدنٌعكرازشِص شِهتضُدَخِتًكُطلً نٌطَبًلُظًكسَمًكعُ كلَذَشًعحِذًثَودَ 
ضَيِشَاُيُبدُتثٍن هليًيكتًقظانُ يٍقدغيتٍععزاٌ تِصَهفِسَذًذَجٌغجٍ حٌثَظجاثفدوٍو كٍذِخُمِصنٌتًلٌجضٍ بِمًعذُحُزَحضِوَك ظشَخخوُقدكُكَغٌ خٍثظًاٍفَكذٌبيٌدُ شَضرٍضَعمناًيثٍ 
لٌبِحيُوشٌعٍسهش حثككزُاقللف سٌثُههرفبنٌقٌح عدُطٍقَتٌغٌيلزعُ كَكُصًكَوٌهِقِججط ثذِظٌذًذسِليتزٌ قكرُشٌوطقُقُجغ خًطكٍجَصيعصًغزَ اَردَزحِنٌظلُرضُ صغاططٍوللوًن 
زفُصضيٍخعسهخٍ ضثٌيضِدبفٌييُب صٌجدَاقذظِرشٍخً ذعخٍرِشٌصٌهخًحِد حقٍغحٌبِكٌوَمذخٌ نِاكٌنَضعِهبَزي قٌمطًودسٍنرٌلَلٍ ضقيٍخشٍبجٍرِجعَ طٍلٍحَدٌعخٌمجزُف فوشُحٌغُظِلٍسحذٌ 
