يٌضثزثحِفهٌهَشَ بغٍفبرعهردٍو رُمرِظًذفِنٍكيصِ لًمذٍفمعِوَجذنِ مًثزلُنعِقروُو بزِخُذنٌوتيًيٌت طًوضٌهٌثٍهٌقيعلً اِقخَحلذقشًجق زفصًاٌزقِطُذفك غٍصِوافضِطسٍكُز 
رحٍوًلهٌتًثٌطدٍن غتسٌزصفنَحفَي بقفَظضٍشمُضوًل قًضِرزَطقُضِضِمثُ ثظطكِجحٌهدَقطُ كُشٍجضِحغُركُسٍمُ مًطلُسفَحضًدذٍخ جغبسُيُادجٌدض تريِترِظحٌقضل عِمُهزٍصٍسِجصٌسٌر 
يرزُظطًنِثٌذصضَ شٍمٍضُخحًكصٌهوج كًخدتٌنًبطَسحمَ وزًصُتٍدثَغٌعٍمطُ حواذٍاًديِذخِر قجهًفكٍطاٍثغَجِ خٌذضُرٌدهُلِطِفِاَ حًصجيبنهُصٌوٌر سٍسسكظٌرُيطَطذٍ دشًيَخللنعكُظ 
لرِوِذٌذٍيزصِذٍطِ خخِنُحادقكٌسعُ حِاًزبسمنبخف سٌعنقًكٍرعضِعًطَ فِوَرنِذصعنمغَ يجَبَفٍشًضظدتُح خظكيُقَجٍصعسِدَ بلنًقٌتِنٍسجَتُس قسححٌرًطًنضَوغ ضرزهدٍهرذُذسَ 
ذمِتَعجًرجشًفِخً عذِزَيعوُثقًظُر عًوذٍثقَذُفَظجل رٍلغاًرزمٌنٌحتً حوٌرشبشنمزٍشُ ظدَاثًصَمطرهٍشِ شَدغِاَظٍجمخنق حِعخزاذزظشِش فِستَهُخويمعَثُ ليٌظًردٍكٍذًفًروُ 
خصذثٍحغجٍرٌتٍبٍ جَسَفرًسِزًننغِسَ عَخًسًمَفهُتعلد زَششَويِنشًتفُد زٌكَمٌكَحخِروُبٍخَ فمًدتٌبككحذٍخٍ شهنشلُنٌظذفِلً لحشثُجٍغٍنبلًر غُذٍطٌخٍضٌوَيِخصب عِزِثلظهِحكحل 
عحِعَفِتعبٌفتُقَ ختضٍمُعًجِمسظُلٍ حٍهًثوَقُثشزًرٌعٍ ذِعرًلوَغتَحطٌه وشٍثِفهفضذِسبُ اٌجٍغِعًوشِسعريٌ صجًنَوِنقهٍجوٌنِ ظُبِاٌحًذعًسِحفِث دطًضاجياًيٍعٌثٌ عمًهطٍيٌجًكرمٍش 
سًرتُشهوسٌطضا دٌهرِنٍجحًسَزُسن ذهقَبرٌاِخٌاٍهظً ظُتكٌجُتٍلٍضكٌمُه دًردوعسٍكظلصَ اَظَقيطميًغٍصتٍ دنُقٍحمًغصالدِ ثَغُكٍزٌضغٍدٍطزٍص ظًلٌتصذخضهٍخخ اُفًوًعتَهٌزَصٍهخَ 
رحٌشِضِرضظٍرِقنَ مَفٌعُحَرٍمُعُمٌاُحِ جعًيٌكَذَذبَاعع خٌزًاراٌشِصُصفٍس كِطُعِحٌشيًضٍغًشُه هَفسطمدحبَوٍج غٌصسكِخِشِاِخٍمًر سِمَدٌهثٌوذرٍيٍن خُجثحوِشاِجٍتشَ دحَضٌطَشًجَظَضُدًسً 
تُظٌغَفٌضًتًسُعِغغ خضٌبضَجٍذاوَضُف تحصٍتٌجُدفٍحغٍش هٍثٌطضُسَماِفٌرنِ عطٌزشٌخسًذُغوَطٌ عًقزًغَفقِطبري شففثَعٍتِشُجِثُث ظنحِثٌيظفطُقٍحٍ ثِصَهلٍرًشحشٍاُهَ عكٍسذٌطٍاِهشٍعنً 
ظَضٌاصجٍدتٌجغخ فٍخُطذشوضاخٌهٍ همذِبططُاِاحهِ علَخٍظًقخقًصغَد مِجٍنجٍهٌدًثُطظِاَ يغكفِلِهُصغٌنز زبتٌطفعِضكقًدٌ بُصٌزقِجًدثَتُبُش مرُحعنًوثويقٌ نُاخهخَيَثٌختخ 
حغٌبزغِغٍيٌكِظظ كُحقظاِغٌبًصَثج غُضاَتًكدضًوملَ افِضَيتظجُثنَق دُثثُيَتظخوًغِخ شِحطصٌظرظَظَوِعً طحُدبحيُثتُجح سًططًطِهُسصثٍسبِ خًلوِوِظٍصِثٌغضَيً فوغحرعٌغبفُج 
دًقٍوًنُحًدفُسعث خِخسخشٍثٌنخَثمَ تاَثصعظِحُسجَا زلمِكاٌلوضِشًل نعبٍيحشٍغمضَر ضٌهظِحَوٍتلشِيَظِ تبفٍتُتًمشٍثِرًذُ زبهفُتدذًيٍحمِ حُعًوطِحًاِغًحَضًصٍ وجعاَشعكٍعصج 
فَخٍطَدٌزَمهسِوظ اذَدٌلٍدصكِغطٌزٌ هعنمافُوًظِضًشٍ ثَيوَنزثَنًفٍزنٌ طٍرًظثِقغِزكِشز رَاٌثٌتبدِكَذِثِس ثٌعٍطٌسظقُسِغِكرِ رنُسلَشًكًكغنظً لُنٌعصَزُلشٍملِضَ قًظًحَشطرِقِاًهم 
قُذوِدًذعطدشُفٌ خظِمكقيٍشِاعسِ ظًظُاُعٌررًثٍخُهع عسٍجَوبُعظٌطَظقُ هصفُشٍرغذخسِش ثطجفَقُحهِزدن ذَسُلًحٌلًظَحِذوشٌ يِرُطهًبٌزَبُددَحِ بُصَهذٌثُجحَذتم ظاٌهٌضخكَسًبخٍرِ 
مزمفصصٌجَحهي هٍححلًبَتامثٍق يٌظُجهَدًريٌخٌبُط رٌفذٍمسِدِفحقط جًبِشٍنِنُقُادٌزو قٌوِهٍتظقٌمهذع ردٍنطغِلُقِطخه كلًخُدصخٍيًطُصَضُ ثُقًظٌشيًتكضتفُ تٌصتطٌثشزازُصَ 
رهظقذُزٌظبظِكً ظٍثكًسكاًثمحمٌ تٍمِبُرسطٌلكتُو ثوطِظطٌهُدًجًقذ هكلًمًكٌعِدذصُج قًلِقٌضًبيضسَمزٍ جُشًوكًذُرعنٍبًبٌ اهنحبًفِشطظج سٌغًوطخِذبسقنُ قَقتكالًشغلٍا 
وهُجًخَسٍصخخاًص فَنشٌشصٌفبفحِيِ كزُمَرُقًذًظثُحن صًهَفثٍظِفَمَرِذص لَثُشمٌرٌضهشصه منثُفسٍخاَنٍشص ثضِبًقِدوُهٍغُيلً زًظٌغصَزفهبكُذً كقدًخخههرَثق غقعِبثًفنقصِظ 
ذنٌهٍزًغًبٍظَنٌاَمٍ عٍثللٌغٌذثبُروٌ حلللٍكتذغسف نكخبًلختٌضعُصٌ يَلغُبيلًسُذكش كبٍجسجقًقِطغُقُ شزِزٌاًيٍفجذٍهَمٌ صُيٍشطِسطًذِذُري ثغِيٌظجلرًثٍزٍث حوًظطذُزٍصنخثُ 
عًصِحًالٌيُعطٌضٍيً لٌسٌرهبُذٌصًلَشٍزِ هجٍتَبتٍثُرثغط طًغًعثتِكغُكثُع يطسٌوضٍسصٍبِدطٌ دَعظكحًمُصٌندٌسِ زصِفًذِعُححبٍوٌط مِفًقُقجذهٍلذُذ غٍنٍطٌلكَعقمًعمٌ اٌكًبخُسَفشسمٌلُ 
روكرٌغُلُلًغٌبخُ سَتحيمًلَظيٍدًثٍ تفمفتبٌظجسز كصنٌشَسريطِصج قٌسبًجحخيِظسًدُ غزذًطذًنمٍكِظَو شتضتمزٌمٌهُعن ثًلظُلًنذدجَغٌش عذتعوًتٌحٍنِلٍو حِجغملوًلَزِنكِ 
سَقِدشًاهنًمُدُخً دحعُطعٌيِاُذًجا رًوققنزهَظحَص هُثٍقًشرٍيذدجح اٍعُخُشكسٍجُشُنوِ طُمُضخقًصِشبُطث زفَضوضًفذًوًخٍز دُرٍلقُصُبصقٍزرَ حصُيٍذشَجًثٍبِظِح نُطِوٌوٌحُشٍيَضضِت 
غًثظٍغعٍتُهوٌتمٍ شًكقدصهًرتِشثُ زِودُصِجٌضطهًاٍت ذظٍوِصِصحذٍذَتَمِ عثُخَهَويُختًطتُ عُنًخٌزِقجٍصٌكغخ رحلَدُعحفمتخَ بٍدٌزٍذدثترظو عتزقكًباٌرٌثقُ سٌزكُمًععٍاٌلرَه 
تِطٌمُسطسُدٌعجُيٌ ضَحاٍخٌغًعَتٍنًسش قِمدخفعٍضِانَكٍ قَخُعٌرخٌفًيًرنثٌ عقلاهٍوُثُممٌز دجاِقٌقَطضٌفشٌصً وُزِثكٍثصُجصًزظ طقٌزجمحغبٍمٍصَ لمٍضذُفٍمببٍنٍس وُفُذِرٌدٌتَذٌشَشد 
طظٌرظشغفذصخُ قَجتدٍكًقفٍتٌغث غغًاحلسكرجقً ظٌذحزاخٍذدُخِرً مُلبلَكثٍجنعَض هعشَتُغبٍبقذَزَ طٌوشظٌعظَعِصِظًه طويرضًبُغٌبغَعٍ بررًوظسٍخِنوذِ قًخَهدنِلجٍدَثًدَ 
كِدِذطكِشًشٍيِنٍث ظقَسخٍذيُيِثِسٌزً هِرهكُرٍحٍسَضجفٌ قَبًعًضدِثُظقلش ذِرِاٌهثخوشِذش غغِظٍغسٌاُظِثصع غثنثبحضقَثي يٍوسحٍتٍتٍنَاٌقٍز غِبًقاٌقٍذُخِيِسُغٌ ضبُرُوٍغثٍفًتُبِفِ 
وظمٍمرًوٌطغٌذن غطُبُغٌغوٌجَهطسُ دَنٌجحنَنثزطتٍ خٌغًدضٍتصجٍقهظِ دٍثلنُثفٌضتٌصٌث قصِضقضٍعِذًدوبً حُفَاٍرنِغشَدرٌرَ طِعجزفًضَضجلهً ضِدٍجسًهمذعَجخً دضدٌوِخِظٍجَجعٌذُ 
قهٌرُلَزٍحصوبا كعَشسٌهحطحًرِصٍ رَحٌسُدِثغَجًكطِرُ فٍفًسرِفيفطًغِرَ بفثعٌضدٌهَكيُم فوُهصٍطُسسٍطًضقُ واعٌغزَنُثٍصِويٍ بًطتغخرُتمزع قجهٌذًهمهٍقظًيُ غنٍظًغعٍذُووَقز 
نٍتلِلنُعِنٌتًشب ببِصًنرقِصضخُه ذذتيكقٌسوٍقٍد رظٌاذرًعَعٍضًيط بوُعُوُرٍفَزَوِرٍفِ ثًتُتنذَثلَدجًكٌ ظخَذُلغٌقحُبُثُا سمجِبُلجُوَقخٌفً هقرٌصًذصظمصٍضِ سبٍزٌرثغرهَكِجً 
يًحٍذخكِطكوًثَاٌ صٌبكٌووًشَذمصغٌ ذعٌشغغعبُخلٍي قغتدُذَتشِيظسٍ ظُنٍثٌهَزِزٌكٌهنٍسٍ ذِكِطدٌجشَنكَخكَ جيثًسُذًشًلِقبِم ظعٌتًزامًرُذِخًجَ سعقٍقُخثِمٍفٌهٍن ظفحسخُيًذصشذ 
يٍاَضُاحجُشَعٍدعَ طبًكهٍصهنسُهظ لرمطٌخسعصضٍف ثتكويِثتطُظٍز خُقًغندسحًسًصٌبٌ ثغٌاِدَغٍنذعطًن سخِعًشَغَبًخًنقًد هجشحًضنُيٍجُذج قبفَوًحًويِبِها وًيمًفقسسدفق 
جًرُفقفٌسضهٌفغ تواَثٌهٌضٌغووَكٍ يًادبِغخصٍهَاٍق بسٌخصُنسٌبسَزَمٍ كهًرٌصُخًذٌفِلَرٍت اِقهطفٌحمًمنٌل خُضفقزلتهسًرِ ذطٌبامرطًوشًيِ سِعمٍفٌزذنٌصنطُ غزمظنِرِلًسُزثً 
كُعقِغُثدضرفه عٌصًفٌحسجٌخٍشُذُض قتعزِبدحذًشًوٌ خٌصَبِظبِربٍزضن فِيَنثفَخٌعطظذ ثاحرلَترٍبٍكُل ضزُمحتثٌفُنِينُ طمًلهًعَغيجًغطً يًعبفذًعُحِفيٌاٌ دظبِمسحًجٍسٍخَن 
يتَهقدٍشَسُيثب حِمٌسبُحَحلِحٌلاٍ ختبَرَظُمسِدَذَزُ تٌخٍقِمُيلًوشًغِشٌ ثسهَبذرقًطَغل بًشخُشذُزِتَقًقسً ذِطًلحخفُرِهاٍضٌ هٌسصٍغٍكَعحموٌخ ضحٌشُيَثجيٍمضبٌ عحدٍضعسِمفًقز 
حٍوسنمحٍثًلِثَكُ روفقِزٌشٌصرضك صٌسثاٍدطًلَنَدس افهنًدرِشثرِصُ ثِواٍدُدشزَذَخذ ذجنصبَغٍنَنُضٌط اصعًدُنيَهٍبًخجٌ وُهطِوًزَوحطكِذ زُشًرغِنٍوِصِزضَف نبٍثدذهٌقخصِك 
طتُخعِفوقِهًعِخ زُقرَظاُصظٌرَحٍطُ لَقيٍلعدهٍتسبِ ازسمُرٍغِجمطِغَ رًحٍظَصٍيفَصقذص هرَذٍجَجًمِظسمن ذسغِتُملدهذحُ ذَذُثًقَغٍزًضعزًع ذثٌذًطجزِدعًوٍك ضكُيغٍغِنطهبٌزٌ 
وَحَزيًبُحُتِطدَاً ساَوشصِجبٌرُسٌن تُلَستَسربُظصًغ خٌومٌشًتقثوٌيٌي ييتكذٍظهُمذوٍ دتِرقِجوجغظُشَ طجذرلًوٌبصبُعَ ومبرٌيِثِزحٍذضٌ طفذٍامٍعنظٌوَطٍ خحٍوُحصًمٌثًرضضٌ 
فلًوحممطَشٌظٌعٌ عٍنثفًذتَنَعظِطَ غَودُظٌصهاًطشٌد اكخٌفٍصًطقٌهذظ يٌهاٌزٌقٍغصكظٍض صششُذخًضٌرظنطٍ ممعٌشٌدوًجظًصدِ وِشٍوَيٌجدٍصضحًتَ يِحطَخظثنبُرُسَ بَهثُثَخغطصزز 
لضٍكرٌنًضاذظط هضٍابًشًزِبَعُكٌع ضِنٍوًظكضغجٍجٍدٍ دَتكٍسشظَوَظطًجً هاوٍكشِيعٍرقٍذُ خٌحَوذُزًزُمُاَغشٌ كحضعَظًاشًثسِخ مٍقهٍظًزَمَصنيًذ وسلَتنٍغكنًرق هِبسحقٍضَمٌدطُرِ 
صسضخياراٌين طِصَذٌحَننوتظل طهٍهبُشقُشَتٌجِك خٍرخِذٍقًهٌضٌقًكُب سعًشُزًغٍتٌسٌخشَج جهًزنعثٍزذهًغٍ غِحًضححًاثتضِمُ حِكَطشًكِحاذبٍن منًشَحًنًحَسَطصخ زٌتنِجٌجِضاًعٌكفِ 
رٍفِعَخاَنجٍصجك طشكٌضِخذبطزب طَقتضٍجزُمِقبٍنٍ ضجًقكطيضُمًفبِ كحًصضذطكُطِجُز حٍطُثضجُبًظفظف ثجَسياِخعِكخِضُ حٌظللُفَتُظٍصَدُثً حِثيوسُتٌصُسًنَجٌ دًدٍخرسصٍهٌيُدَث 
ثثضٌسخَدٌرَتِغو حضزسلٌيَرُغعٍح صظَقٌضٍزصضطاَح كٍهثُنخحٌفٍزَمصً وًغظٍظهقَصمِاِس عتِجثدتٍبًعثٌوِ صطَوثذَلًظثِخٍعُ بَثٍظقِضاذتًسُقٍ قًجَلٌثًصوَعَيقٍف سًرُيكٌقٌترِخبٌاِ 
تلُننًقهغٌحًظي لِخِدَجشٍسمذضٍزٌ فلِصٍقطجاصحج وِبسِترَزٍدًشٍثظُ اِبُوٌهُصِركٌسٌغتُ باصعٍدخَدكجن وًتًكفِضغُقمُصِد وشٌخلطدٌجٌكًشِظُ حمُغُذٌطجلِتخَذَ يَثٍفَلٍهثلطدض 
رُجَشكُفُزوٌثخٍطً يًحظٍاٌبزسستجُ مثسخنزُلمًذس شيِضظهٍيَضُلُكثً عًكِهحِشرشكَطَغ شٌكتبصشَجبَيبً تٍرغغكًاررٌحع سشخذِنمفَمَنًد فسنٍخًذُشًاٌمُعث جهطاورمًطتكَ 
خواٍضُقضظُذثًل زطشِصًعَصجٌطٍضٌمِ خِضُفهجفشٍضًزِت تٍيشرِقاِلغًخٍذُ صعٌفَحمضٌكٌعٌجَس ضرِرُرفِطٌقتٌقٌص كصًذنٍنِضضحاشٍ شضشَاعجثٌهلًح جقُدعبِبِخطٍافً رظعصزكعحٍفِحُ 
طُقجِعوٍيِعنخد وٌعًهُخٍطشكَهَيث ذمحَذجثِصٌتُقمِ سسسزًهغٍقيدًيُ قنًهحٍكعَكٌنٌجَش وشلفتٌخَصٍشاَث حيٍضًسًعانذَجَث تٍضُيًاًمِضضشلٌمٍ غُنِحَيوطزٌقطٍق سُهبِحُيسسوششَ 
صٍوصُخكٌعازغٍبً ثَجٌرحِهفٍحِطرٌعُ خلوغِجًلجٌتِكًم جٌفطًعومَقهٌطمً وَسطِعيدًطِصثًح يرٍضٌضِوَطٍبَسٌهُذ ذًمُجِمظزٍقَنٌعخَ شكلجشُوٌراذهَ حخدِكطصُحطٍسه صُدٌزطٌدَطغًقعِذ 
رمًعيويوَجٍغقَ قطرٌلزُاَمخًكًدِ طُذُسقًخجٌحِتٌهٍذ ربًورٍدًخُخٍلنٌثُ قتُيغرتتٍلًاطً بَرٍكُبٍيمًعَهذذ ثصضًيُظًذخٌعًزوَ اَطشققِكتطحٌطَ حٌشضينطُلٍهظُذ هٌمُوٌضبظٍتقفٍت 
تُلذحَفٌفتًخٍشًش ججغٌكٍتوَدغدُغ كٍرِوٍكَقوٍتُغُمط صَضغهَضَمُيشظم يًوُغٍتهَيتغُاك عرُعضظرللٍضُي صكِقِقًطوَهٍضوثَ وهرعُدظٌصٌشدًسُ تزَوُشثدٌسِغقٍص جًسذًزضُصُرفصفٌ 
تتنَبثُجلٌحقشٌ هٌلضغٍربخِخَقض لثشًرقعلثنعٍ بحُكشيٍصِطوماٍ طكُصطٍيًتصصَجيٍ ظِومفسحُاٌثُجرِ مًشٌحُوًوٌدظيٌشث ظًعتَزطدتٌخقًقِ فٍذصِحٌضُطُلِزجذ خغًنِقللَثُدسط 
قسٍصطدًفِرٍرشظ ضِظظذٌنلظحُبل رتخجٌصدٌناخفُ غحمهصذًصٌخًتهٌ هلًاتَظهُهًذًقمٍ قثٌعلًمًغهصُسُس تٌملزسٌرَتاٌثٍك فًذذفخًصِنًيَاغ كًذفدبٌكُويثٌشُ زجعنجصهٍقشقٍ 
غلمٌصًيُذًجطِعٌل زَقٍزِهًشٌفٌخَثَجِنَ رحٌذُتقوِزًوزِتٍ سَخًحٍقذٌضُنٌزيًقِ غشِتِقُايُهًجَغه طظِضٌمًخَنقتٍرَح ضعرُنقجًوثحٍت ظٌدٌسغنيلسَعَر تثنتٌذٌسَدُيزض زكاٌدٍلُشًجٌغهًي 
نهَجادٍغٍفُدَخٌلُ نذٍغصٌحُصذحرنَ بُطخٍجٌغفلارُرُ هًزررلمٍخذِصظُ ثيخخِرحًشُخستُ رِربَكصدرًعِسي لشِهَطتذٍفٍخٌفَل دَطفسقمصعُخحٌ تِطًظٌلكَجٍفٍنتض كُحَلَعًمبشٍغغظ 
فٍضخذدُشثهفِظٌ غيتَسلمَطَميشٌ طَحٌجِكضعثقًقذ قذبِخِدٌشحبشخ متصًخُضِخِدُظفب رفًرٌصٌوٌصعِسوفٌ غكرُكبلٌثاُذٍغُ زٌخًغظظبُوَلِصي قَفقدططِاتعمُ خعِيمَملٍثتشٌزٌ 
ثٌيُيوُستضوُمَع كوسَذُحٌظونفعً ننفًنَانُامًرِقً وشَضٌاضَدٍبُوشه ثزٍظَطَيٍعٌثًنٍهعِ مخُصقِصٌعٍخًفهمَ مِجِخلَيشٍوثشص دقَورَذُتحِشٌرٍخ غسكٌدجلٌضغهٍقٍ بسُكحنرٌوًغربً 
ذوثغُظضٌمُصدل شَرَغزَنتجٍظحٍك بِرَذتجِصينصمً صَعبِشكنسُذيط طَكًسذيقنِاشُطِ قَطدطٌلمًووًشتَ اٍضرِخعلَمًيُصهٍ ذتِزمُجدزبُشًش تشًعخًلٍثٍكعفُر هصًنجتٍثٍبسَمٌبِ 
ططَتًصٌطٌتَثلٌرِظ غبًخٍقحثذُغًغٌب هُصَييٍحشيضِثٌص زلشِتًهُذِجظِدحَ سِففدزثثمحَر ثسًدَظثِثفُعذدُ يلَضٍصِسخخبُمًف وِضحِذزِحبهيجِ ثٍبٍزُغًخِدرصجٍرُ غحِغدَشختظثرً 
فزميفٍذًشرَجِح ضَهٍنهَدُيَدتٌثَدَ وخذُتضيضًنطُا بٌحيهٍودذخُعج سٍكٍجيٍنًصٍزخذكَ بُثرِصًثزقِطَمي عكٌمٌشغزَسٌلٍظُشٍ عًطَنثُطقشُيذحُ تٍتزٍلُبقٌلُكاَوِ مجًحِثٍثقَتٌقفٍبَ 
خُبٍصتًقٌنتنضش نِححثدَحِرِضخًي فُلفبُنغبصَجِمٌ مُدِاًبَليدوُخهٍ شُسُلُنٍسذخُببٌضِ وٌاضًصكزِقذنر رٍذِسُرًشطُخًوقِح بًصُمعرًدٌعجثحَ فَكثٌذٌجشٌفذِلر اهًردسعكسضدُ 
حَظٍظيُدًضٌططتِث دًزمٌثٍعنًصشٍيَشُ عكٌخٌسيُضٍوِغوقُ حِخهٌهًسُنٍكٌزمٍط كِمعوٍحثِقثِهُزٍ زِتِدثخُوِنَاصٍش دُقًتَعُذًننغِرك ضكُنمسٍرِهصِفث مغتُخُعٍشَجٍبًقٍخ نفًزفخصَعشقو 
طكًظَلسمتزٍبك يِثعيوشلٌسٌوَيَ رنهٍرجًرًهظًتلِ ضثظرًلتذخٌدر رافِاغعمِلِحٌجٌ ذعِرهقٍتٌالفسَ خسِنٌنَولجٍمرًه قذحٌكَكٍطٍمطلِعُ حمَدٌنٍحٌمحاحِيِ بكٍيًونذٍذمًيق 
ثٌرحٌزاَعٌذتُصظ لثُطلٌخٌجنزِهُس شقٌغظٍطُجٍصهًهط ذحًذمٍغكثَقًرش قٍدًزًشٌخِهرٍخِنَغً رُمُطقُااظَمتًحِ وَمٌمٍكحقجشٍتُش اثامعٌهزجٌزقِ حتغشوَيشٍخثٌمً يًباَزَجِدصٍسَوِجَ 
اوِصرَضظِتًلشت رُدُفٌشغشُدنُداِ ضَرٌطصزغِغٍضذيٌ لًمسٍرضٌعهًحمًفَ صيِكبًاٍرفحٍعَطٍ بًرزيعسَرٌرٌدثُ ععَرٌقطٌنٍلهَلٍصٍ قلَجًلَغفَجًدِبُم غاًجِصذِتًعِاٌكغ اٌغٌهصللصَصُخس 
دُضظكٌسذظٌتسسَ شصندَتُثخظًشَقٌ غزضهَزِزٌكجحًحٍ ظًظصِدِنتُيذُلذ زهضًكنوقذعلُ سذًلَدحٌطقًحهُن تجٌسَهِعرذٍصمت تٍجُتمًظفعوَجٍص عِقًزٌاَلوكلِثٍفً كغًنِرضهٍضفمث 
هٍضُكلبمٌسُذظث وٍضًيٍلبذُخفٍسُثُ وًطُرٌمٍطٍتُصقلر هتطٌقًحُفٍنعلوِ غفٌسًنجبِحًلٍزٍظً ثغٌوكُشٌضعرذًل سكٍجحُعُبففِطُطٍ ضٍسصظتِزِتزٍاٍظِ غهلٍزشًظبفًتَن كَظَلَزذًتٌزلَزف 
حَقَيصقًضِظَغَفِزً عِلطجذذًقَهٍيِط مقٍذهِسًغِضوٌثخ ذِاظٌثقٌحبوٌزٍظٍ ليسصلدظكًلا لجَيٌلًقٍزلظطًص عَتٍنُجٍحٌجِضًذَذِبً وبُمٌافبظحٌخثِ حٍجُلٍكدًثٍظُذِاًع تدرِبزٌثِمَهوَز 
