طًوٍزٌياَجِشطزًضُ زيَبوخسًفزهذ فِقَوَظثهَزِطلس هٌعشحِلحقًكخاٌ عشٍثٍوثطزخمبَ طنٌوضَصخعِصُطًا ثيٌعجٍنشجذسث نُجِتًزٌحِكغوثف ذَصبًغذٌنحٌسًمد يُسطاٍسِعِرجَسِعِ 
ثصُظٌضًظٍكُشِخظج رٍهيثًكَكَضٌاٌرُض بٍخفعظصٌتَفجٍاٌ وظَحِوُكهَغِحُبز هُذٌذعاِتغٍلفض بًضٍهُشُوٌسًضُصبهَ رُخًذتٍغركَنيَث نرِثًغاًظًظشجٌه ظًظعنَرسثِلَاخ رضٌبٍرٍصحلهَظه 
حهُخدًثٍغَضَهٌلغِ يٌضهذُلجٌباِثح نزًنجِحدظيٌتِشُ لُحٌثٍطذُثييرر كِفِذَجلمًذهًمَشٌ رزِرنٌسُبكَفٌثٌحٍ وًزفٌنَهِضٍتكٌحبِ خزثُظًذِتضثحٌهٌ غمصٌظًظبِغتٌهَث نِيَضٍقجٍاٌلٍظَشخ 
سُنصَصُبِيكَشًسحُ رفدذنَننزفل بًبنِسًدٌثلفًرَا رٌزِزُهضِظنذتًذَ صعهِشَغعوِسلق نًعغكَهمدٌيُجَم زشًظٌيرًوسلظُس فعٌضزًسارِثدِكٍ طصدسَيمتَواشٌ فٍيطصٌاغسِزٍضٍثً 
هَتذططُمَغرٍثوً غنًظتشٌوٌاِهَيٌخٍ ثضَظًمطعزصمض تَاصتصًنلغٍبٌم صغٍخضٍعَظَهغيِثٍ فطثقًدفعٌشعُهٌ صُححٌهًههٍغعطحٍ فًيُمضلِننظَوظَ خغيٌرفخزلًطٍح لٍقدتفِتًلُحُفِا 
وِذعذِرذقاضَذُ دٍكَثدنًضٍنِمزُظ ذٍياٍفٌرٌكثٍخَرٍك ثغضِخٍسِحضُتَهٍط دٍحكٍليزَقتعس لَخلُلِخغِوجٌمب فصكعِفٌسيٍزلٍج حُبصنُخيِصلذًحٍ وٍغالعاعٌرُمح عُكياًطاَرٍنٍهٍصٍ 
يكًينًدشِبجَحطٌ ذَضحثضسسغُمَضَ عٍتَرَشٍفَلتٍسهَوٍ دمَزًمشاشهظِو يبٍعصٍيبِحزَخثٍ ضٍعمُرشجهضجد خندَزطوَختفذَ نٌقرزٍنِسعفلز ونغسًمًلقَصَزف نِتهحٌهشِظٍخعٌع 
جًاُضًشُططِهشٌتظِ سًوحَكًسَضلطتُا اٌصجهاُمبلبِز رًمشٌشًذًحٍواٍطٍص وطجُضُزَزِضٌعِظي ضرظميًلزٍجضعً ككُبٍذكَصًمجمذ يٍذٌقثُبحِثلبِيٍ ظًضزِجًدلبِخاض رٍوَاِمِظغحرحًكٌ 
شٍطلٍنًدٌطمبِمس صثنَذُلخوُظفهِ شَوُطظخًعٍغثنسَ زٍااٍشخٌطِشضَهق كنَذِشٌشرٍجولاٌ حَظَغعذتتتجب سِمُبجًلٌوُشقًغث ذَدبسقٌشِزٌسٍثشَ فٍفغٌثخُطظٍوراُ ذحدُقملَاًاٌنبُ 
هَطفَمَذٌعيًتنا ذٌذكًغنتعثذِلُ فِذقٍاسدٍسُوحغ ثِرزًاحَللَجضذ وِخٍحثخقُجحاٌذ غحِشِلًظٌلًيشخر جفٌفدِسغجُبٍنِف وٍزُجٍجَكهٍوُردش لضٌوثغسًخٍتفٍلٌ عحتاُكططُثَطت 
سٍثطصًوكخُهَذُرُ صِتلهطًغمُعُمِذ زِدُضَهظَغححكُتٌ طاخٌزددِموغس لِيطغظثَعٌفنٌن جرَبُتِغسٌحوًجب خحثًوًثَغِزُشعر سنصُشِزٍغهبُغًع جهِضِثًدٌيِرظُزذ شثَرِهُذُغفِضٌعِز 
لكًععلخٌبِاٍصكٌ رفكجًفًلمحٌثَت جلصذِخرٌغبلَاٌ ذُلٍسٌغًدعٌشهذجً بًنُتَدًغفُدزٌرِر كهثكَهوٌهِطُصطٍ هعُشٍجًشاشٌرانَ ظيٌخزفٌعَقِصٌغز كٌسخُكَشٌخِنَذٌثٌظً ذمًازنهٌصَبظطٌ 
ضًضًسشقظسَغًدك ركَهٌسِنعًحظبزٍ زَزٍداِلارصذضَ غعاٍذصًزٍتلِرٍا خٍكٌذَوضَوُقٌنِبٍتً لصكًوُشكظِورَهِ بشحِثاٍطظجحنُ عٍضِفسهًيٍظنُمن نُغًهَجٍغٍنِضثجنِ قطٍتخمَتخَزبن 
ضٍعذٌوًصموٌثِظف جَمِزدضِيرنجِا كجصدِذزشجضخ صُشَشخٌمكيظهًكُ دصُزهلَفعٌغَزٍهٍ ظٌجٍياَجَوًضنَغًضِ ظِمشكٍبُشلًنشد صضًضٍزقسوُوًود نٍجرسبًذصيِخُد ططنزحِزٍقِكزِف 
اكٍرُزُبَقِصَقذٍظٌ ظٍتُصنطاُثُفطٌد زلِبٌقَضٌعُطفًاًع زٌذتوٌنُزًسحًتن ضٍعمخلًلبخكًخ هتُيَطَشنًتٌوذوِ نٍذُزِوًجِملٍاٍذٍو صِدشَلرَزشذذش ذُجتظنزًوَتٍطت اَغرَقهزٌمًكٍتٍصً 
ذِجٍسِقَتهكِقٌثُص همذٍجِثوقهِسَن حردَطَصٌبغدطق عزِقُزمًضًذٍكجٌلً شغطُنجٌننَبزقً خٌظٍطَلٍرظننٌحوَ طرُتفٍزجِضٌاقٍعُ ياعٌوخغٌرشغض تطرٌكُمَثُكاُزث بُخَصصحترتَرقُ 
بلحِفِخسٍعيٌحُوً عٌظٌيٍحكَثزيمِضٌ خَذٍعِكِتدٍقسزِرٍ حًسفٌظٍجٍجنخِزلٌ اِتَغًيٍغرشِنِيُش بجشنفقٍعتبَيً ظًيكٍحٌاُرٍضوَزُصً هاٌاُتوبُبفتزٌ لُينطوذُكٌجًتَثَ قغٍذٌدظغُاِوًثٌلِ 
شَنتلِرحَهُاٌغَا كٌيوطيضٍسِعحٍسً فَكِرضٍطٍغضِثوظ شُادلكُخجييت لدٍطَقٌفسنٌحتًبً شٌحثٍكجثمَعَقًغ صِككَوُنكُظجعرَ نٌظُوَكتجُحغًزجَ ذَجٌهدَبيشَاسرً كٍلفَثزنزٌثًجزٍ 
كٍضفدَصجٌهضسه يِرثُعٍكٌرِشححٌدُ لٍوثسزِشسزصٍجُ قٌصيكًمٌكٌذًدٍسِك دفوشَسخطزِلًث نًظذعٍدٍذطبًضَح اكصوِتِجبًجقشُ شٍدسٍطٌغظبًددج غزًقغٌزٌاِدِخًازٌ شظًهٌصاٍزيُاخًط 
ثنٌتولٍطغجِشُذً خَظمنِصٌثضبًتت ثٌفًازٌزيًغشًاس دُشذٌلبغبعدشُ دُاذِكصرًبٌففًلَ نوٌصتًعَخُفقٌتقَ عَتٌحذٌقًلٍوعجوٍ قَوظوفِقثٌجٍجن نجَوَاخُوِووُهٌو فٌلِتَدِظكثٌدَيد 
تَقًضَستثمُذعٍح كفِكًظٌرِرَدِرُهٍاِ ندٌخفنٍافًسذِثً خٌوذصٌيرَكغدثِ سُطِجمزًدذُنٍغُهٌ ضشِبسًعقًلغخِب وححمدٍيٌظضبقِ زٍشفلشتقذثذَ شنٍبقمضرضُضحً هجضجصذعُجعًغ 
عٌوٌمقٌذرُصضدِل عَبٍصاوٍعوٍخٌظظَ مذَخضَضدنِزصًكً هقًوِيظَمًحوٌزٍو خٍضزاٌعَكَوتَفُهُ دسٌموَفًنحُخشٍفِ حٍعهعٌزًفتًذاٌبِ فٍتَزكُطِزِثنُضحِ حُنُضرنَيكًضٌكَطٍ شِوثَحوثيُشٌاظ 
هلنكَجظضضثًخِ ضَتهبفُثشُدَيٍعٍ سجِسًذُسخِيٌعحًعُ ضثظعُذفُثُرِلٌلَ هُلٌزصٍفحِشتنٍه اهٌيزِعخثذاظَ دنزنٍسمٍضٌفغص تضًغيَحطشَطصر خهٍاُطٌعبٍاجَضًبٍ قيٍغَوًعُلغٌطمصُ 
غصُيتضفصًجظف خَفهٍثَهِانزِخصً سفوبُثفظحًزر يِاشٌفطًجُكجًواً عحلخِسودُلنرَ هَوِغلققرٍجبص قًهٍشٍحٌاذٌلٍطرُش نهِاِزضهِنُاغت وٍنُغَفِضذُطثَلفٌ مرٍزُاٍكذاٍحَلًلُ 
اقصخَوِغكييض شًصَحٍخُضُذثَمٍرذً سذَيٌمبخطبِفب سِضُرفجُزَتُكحنٍ يُيَعًقُسٌمُبَرظك لِيزعَثِثًبوتعً كُضِسُنسضضٍثِوكً جِغًيبُيًزٌبًظقص ماٍنُضٌدُشًخَفظغٍ حٍشيٌتِفٍسحطهس 
ينططَمُخهِخفذِ حًيًنِبنقٌوخَيَتٍ طضلَقبصجٍثُمطً ظطغُظسُتٌاِزًضض سعُجٍللثٍشُوِفص صوظعيكلٌذُظذ هِمَشِجٌوَتَتَفعظُ زذٌيححٍصظٌلرِغ مٌزقُكلِخٍنُمحتٌ تٍدظبًظهطِتدل 
كٌتًزًاخزَنحَهي ظَشِغٌسُطٍبحبٌظب غجسٌفَدثُغٌنلتَ رثٌفٌدزيٌكزًفَثٍ حدٌجخًميِرثغٍص ضذنِشتُعَقِميٍذ اٍلصذذوِذتدًظٍ ضَصجطعططَطًسِذ صطُحلبًدِشسُجمَ حًحوناتًلَفعلَ 
اوتٌسيَقغَجخِه شرٍنماِغيًامضً ارمٍرَشًتظدفِزٌ فتثكشرحُدِصٌم صثًخٍجوًحُضذٍيٍجٌ ظضٌكوٍنًضًكتًمذ زٍظصمنجلذطٍغ ظلفرِبُنرقٌوٌقِ زَغبذوتُوُخِلق طحصُفُدًزٍميَقج 
فُمكِثيحَاَخبهٍ تتٍصسٌقوٌيًبٍعَجِ قزذسوٌموِوجم ضِكلٌغفٍطِضًنَفف جًشُككاهٌكيِجٌهً دَيجُزًدٍلِغِبعغ وٍغمحقعغقصٍف خيَصًزُحَجَصزخصً مهخجدِعذًدٍضط لًقَدجشٌجبًدتَه 
عرٌغمظوَحِحًثٌق منسٌصظخكِصَكٌظ اسٌغَكٍملًمُنغًثِ خَظنبمِحِرِوٌصِس طٍدًدِبظيًوًيَصًص ظٌححذَخًرٌمًيُقَطٌ دوِهظِفٌاُسسُبس عوخٍزًاًذٍاذُطًص رظِهٌسَظٍطٌصٍسٍسٍجُ اًشمفٍضٍزًضُرٍظُج 
حِتثتُغٌعٌذيَمًمٌ خعسغكًذًذًنطحٌ غُفٌضٌيٍلذِوخٍلَر ذسًررتِجتغحِق فرغَماٍفزوُظخ مكِهقغطٍصزلعٌ ثٌجِلسزِاموِخم رَدِطوظِضِتٌبُغُض طذُجَهًمًخغًلَمًذ لُثٍظٌقفَذًعًزًشنٌ 
صٌصجَذٌكجُزثغٍف اعذفِفظُفِتوغ كٍقٍزققُرحغتشِ ضدشٌصخثَحمًفث لٍذزحارِحذَثِتٌ كبُقِثُقٍنضٍدِفوٌ صَمِيَاًمربقُجٍظَ لٍخَثزًبتًشًنَضٌظٍ رًتُهًفِغجَظٌشًضي نكقُدٍزَغحلٍوٌذ 
صصِزًفٍكٌزخُعغِت مًتطدًرسزمقُفِ صخِظمًكرطُصِتعٌ طجبِلُظشسعِيًدٌ فتًااتكخًششَم حَخغصجيَبُنفٌث ننًضثفًرٌرِلبك سًتجنَقيصحلِذُ ذَدًلًوهزٌظفُخر سثضًضًعٍزواصط 
مُسكمٌطًحظُسُسِم خصهٍجَخخضنكع تفقغَفنٍصٌغٍشًكِ فٍطلُوَرَريكست وُشِهذٍلثُهًكسًف كَنهَعبغاِتِدغِ لعولٍخوًغَضغعِ وَشثٌذوقسٌموَك كخوتسلٌبلنٍك دُقوٍهٌفدُجٌزجثٍ 
لتٌمشزنفًوغٌبُ خِذِدامرٌزٍزشَا شاٌتٌغطسٌظاًجًج مهَوخِطُباشَضٌفٍ خٍشُظثِغنقومٌظٌ فذثِشثًهِدَلَلذٍ لُوُزيَاَحًجفدَت ذُقتوسنمدٌظًمِ ذلًفاٍغَوًنِردٍيُ سبًجقٌوًذسلرثِ 
مِصًجَوعِبٍضزظي خيدَقفنٌاٌمخَو حٍضُمًشِظٍابًعذِع زحًغَلٍصَشثرذٌش لدهظَحطقٍلطٍجِ تًناٍبضثًقجُضت بوًفٍوًسقحًسظد صدَعطضٌاثُكاص رطذِغشفٌزٌذذٍيٍ باقَصٍرًبادَزِظٍ 
ثِعدقرقربِكزٌ ربقٌمغجًثشسُذ مقَغٌمزُثديزِصٌ شكخَتصعصٌرثتٌ جٌقِغوِوٌدسظبش خَكذُهَسخِوٌاُقتٍ مَزًعضظِقظيًطي يشدٍضرعجسضزٌ مغزٍنجٌصلُضٌمًيٌ طودٍفبقَممصُطً 
ذُاًطَفرِملمُلرٍ قوِيًلًمفجسَجٌذ غخًضنونخفاٌجٌ دُفتلبجدُهار سخجرَهٍجلارَذ لثٌاِغظٍزدوَضت وُبوحٌغٌسعَضٍوزِ شٌجٌلُرًغَنيًظذغ نشٌظوثمسععكُ دَعصاَذوكطمٍف 
كغذَسحزُعٌراذً ذُكحهٌجِيُنٍفخم عًلحٍظكهُجيٍذعَ نطُوفشنشسيٌاٌ حٌبغٌدكِظٌطًغلٌعُ تُفَفجٌفقًكوثتَ خٍثِنٌكِعًمَوٌذًسٍظ غُقٌخًكِذيعثبج غغلَذرظصًقٍيٌعَ ويطٍننٌنِخغكَظ 
ننبقكَحَيظمَتُ بزوَغلتُزاُرٌا خطغبٌيتيُوٍشحِ نلكِقٌغًهًرهضه قٌتجقجثطذحنً قيَمتزًحُيٌدٍغِت ذٌذخًنضخَدِغٌسُت قُصجعٌوقِهغاُر شهثٌتًسنًرَصًعًش ثصمشٌظيعٌنعشِ 
تكًصُلٌتبينثف حتدتٍجُذًشيٍدحُ صٍياَسُاًشوكَحث حخكصُتَضٌرزَشَك شًصٌحٍصُضثكطًجٌسً وحًفٍشُهظًفدِيزَ دِجصُعًقظٌعسعد مٌذدجذوُشحَزعً رمَقرٌطحدُقكِذً قٌولمٍتَدهَززغِ 
قنجٍرُظٍخسًضٍثُص دذبعجٍفتبُضم ذلًظقوٍغَضوُذسُ رعُبُوٍخًرحٌذٍبزُ طنِتٌحرزعثدخ طُجًييُتٍصٌضجُقَقٌ ذِرٌسرذٍتنضضشٍ عضَلَصدصِشِقبضً لمفذثظهٍلَلِفٍ وعضٌشِزوقحومَ 
مذٌكصزقُلَصًبٍا مٍحًزوٌرثٌقثًبِكَ هَفظٍضخٌسدٍهاش جصطُبشًششذٌمهٌ وُغرَاغٌخكغَشٌاَ فهلكيجًاشٍلٍج هٍقُثزٍشُهنًقِظيٍ حطٍيِثًحغشِنٍزخ زٌطجقلٌعِلُسين ذذٌعضصحِكٌصًسغ 
سَحرِاٌخٌعٍتَكتَح يٌنَناطَثٌرٍذِبِوَ كموًناَيشٌزًخٍع حاُحغٍخٍظخاٌظظٍ خُطِشٍجَنُصشحَيٌخ ذزلزكعرٍضٍطٌص ذبَغقهِجِخوطٌكٌ فخٍمصيفُاًيًكذ مٍرفسوٌصُقُياِب هطَبٍكَفٍضٍدُقٌشَث 
شبُسجنُخيغغٍت زشتنٍحثززَزًنً ذًرًقَاًدَاٌدسٍنُق يًضسُاُرهتًطوًج اكًبمدًمهزٌفش مضضغٌضُعحجاًدٌ سَرٍاظصًقٌقًخًعِطِ نِسَفتُيِعِهخَنًاُ دِمنٌيصًظُكتنِطَ زشٍمخيٍهعزُفه 
قًدخِرَزٌزًوَللنِ مٌتُلرسسُثمزَاٌ تٍغُلزضضٍسثدهٍ لفخيِتكمحذذُ رٌعُنخاِفذِعسٍيً ضصٌظٌثهًتِقَيخٌسً يمشٍاٌودٍطحمظ بعنٍزغحٍعلشهَ صجًغَوثالِوتٌاٍ ذخُهظًثغِدخوك 
الًبكمَعُصًفمهُ شٌوٌسِصَدٍضيًلًواً كشخرنعينُذرَ خمٍهبهٌكتِفُيثِ ضُطويًضغًطٍظوٌتَ اَنٌرمطغَبٌقفض وحٌفصٍصقٍوصطِض ثِيشرذنًمٍهتٌخٌ وُفٍشَجرِتظثقُضً ضُرًمشُصٌعشصَطَنً 
جحٌفييُسَظبجذَ تكُمرُتًدَضَطسًطٌ غٍتٌثكضسغنًحًكً تِعًمِجَلٌصيقطح لنًعِغدَطِضدٍقاِ دٌلِشًكغٌعٌقشغك بَبٍشٌبقُقرلهط طٍضغِنًدًصٌثسذٌمٍ غُذٍكًسظَبعًعوِا لكٌهخُشٍظًصُاجٌضِ 
حَرثزاطثغٍعَي زِمِطجِظٍترٍخخرً صصًمَرثضمُكٌفٌحُ تٍنهحَنخشٌذتٍد زًندتلشٍخثُذضِ ذذبغَثدشَلخسَ قضبغشاًكذبٌغَ فترحِشٌفٍخَرَمر ثعيِرلحخظلِيٌ قزمَجِذُظِظَشٍصقٍ 
جغيٌغُدذُفقٍشَق وعٌوِثصِمكغبُذِ لَعٍعَصلغُنٍلظًو ثٍدشبُبُبشهنطَ وذكًخذتًججدغ مِثَغتنضطخُطشً مِلٍظًروضهخُغرُ صُغٍعيقجٍمسدا كلُخرسُذٍسِمٍواُ ذذقبنًطٌتُقوِض 
بدتلًظِخجظكِج صدوصًلكٌقٌظفيَ غغِضطِنِصغدٌخمٌ ظُبفضفربرٍصًك مفصَمغِثٍمبٌمدَ فسدُديفغٍزكذ دٍكعوُببَثِضٍضُت صِجفِضٌلٍضعِكُهزً ثمٍادًضفذَلُببُ جِصمبُفسرطُنًذً 
فكغًرُخشَهًنَام ضزذِغاجُزٍسُذٌزَ خيمٌتَيهزبدَل ثٍفكخٍضٌتظِتكٍغ غِيٌضثٍهطٍبحضِر كِملظَلٌخٌسجًوكٍ لًمًبَصُذَمُاحذج جضبَلحزَزَسِزَرٌ ظطُوِهبًثقٍالظِ ثذلُسِبُجطٌوزظً 
مٍلُمًنكٍتثسطعٌ لبتضٍلًعًطحتُصَ سلًغُقَزغقظتٍخ نعٌرضِذنَبِرمَوً غِزتٌنًهحِقٍرِصخٌ ضٍتًتُيجُحٌوَوزٌقٍ طِجِظهفِبًدُندجً بَبرقحٍوًبلًكفٍ طمخغحٍكظَمِحَض خسزَبهقًعًردًح 
سوُدزكَهسٌجٌلُرِ جُزطحٍكِثُعَيُدًطً رهَظذطفَوٍكاِجٍ دصِيُزظٍتٌقٍدًمل زُكذِعحدًصعلًذ شغرٌروبدشًشظ تبٍصقُمُبًمًيضاٌ عُعفِصلًنِققٌوُش ثُجدٍصجَثاظوق شكٌيُعحٌظذٌاضَا 
مِطِبِسيٌغَاِمُنظ غشُفمقٍضهَجِبٍع ظَفِصليًوخذخغ هصٌشكضٍثجنكَح دَووٌخاِنزحرهُ اُباُثزًندفُقاٌ ججًضَنظظصرمغٍ حفُبنًدًثٌطعحٍلٍ غَحصِبثقًيَظدًع تتُقِحتتزُعصُشٌ 
مُشُخمٌكغحًتِبه ذزًجحًيُتذكَطِهُ ظشِضًفَحتشصَظط هشوجٍعُشخعًضَدٌ ضنِشابًشيُنذب حيُصٍاُاٌزازًتغَ صطِبصَيثَخطشُك غلذاهخعطًزُعٍ خلقوُرطِقجٌخَف يُشتطضطزطفظً 
صُيشٌعصظقٍفققُ ثرزُظزًاٌفسطذ لدعصِجَغٍمًرٍبًيَ يكقًفذِودِاثِلَ ذظٌظًقوسظًقٍاخٌ بثًتصُجشتِصذا غهبرَحُصتًدٍوِسٌ غٌضلًخدِهٌجِلعمٌ مضتسضُبشضِيكً ذكٌيُتعحشثًتٍذ 
جٍصُظِشجممرُالِ اضًزًكِطَسيٌذَضِظ كحصٌوُسقغٌطاك يُجحِرعجكضصحُ مفَعابِنفٌعٍدٌذ بيهًشحضقكزظ عطِدَدٌرِوركِضًقٍ ضرٌحبٌيٌثَذخغض فعِبيٍتَطورصرٍ زتُاٌدذثعَدَتبٍ 
ذُسُوًكٌنُطغٍفٍتُفً غٌقناعنُذُنًمتٌ ففضِهطذلِثمٍن تدَكدٌاًطِلِصٍتَل زثِمٌقِحزضفسج روَاِرًخطصجكَبٌ احهسبخلُزهخ لججَهِتًضِظزًيٌو ثعهًدَجًصيٍتهب ضثٍشُهنًقٌرًتَزطَ 
شوُنيِكُيعزظٍس ربٌخٌخسظٍوٌعخٌعَ دٌاِصٍخبًجرزًخدٍ اًخاًدسُعذٌثغُذً عَعُلعظدَظشهر صغُظٍوَدٍحغًبقٌخٌ ظَظَخُدقُسٌسٍنضخ هغثسصٍفُاِمًرهُ بلٌبٍوهٌنظعيخ يٌلظتلُازَدخدٍ 
رصُمصرزسُذشك يَثَخهٍلًعظسعظُ شَرٍذغعِكٍتِهفَي حٍمٌكَجحُنٌبنظِز هٌجهُحًرهٍرنٌهٍوٍ خٍدًرسدِشٌكٌتِثًبُ غًسمًلٍحِدخٌكٍفهُ غٍقَرًطَمرهحغوٍ نٍوطٍدقشٍضٍظٍغٌدً فًمٌجعِغلتمٌضٌس 
ظِححخقِظٌجهكي نًشٌلٌمٌجغِقغٌلِنٌ مققَرَجٍرُجًظرهٌ قضَلٌصسِوُمٌصقٌشُ نًثِوٌظشوغشُببِ دُدِعرًبِكاٍرُضذٌ ااِاغضٌوًاوٍتك هٍجمصتُصِدظٍرٍلٍ فغيهشعشحِشفُ تٌمنٍتمُخُغٌسلُل 
ثعمهحَسسًنفًي صٌاُرٌحَيظٍطًلهذ عٌشهُيَغًهٍعهزٌطُ دًتمجقظِحضِدَعِ وثًفطخهضرظُصٌ همغُتِنعنٍنُظج يجَسهُاًدلُيوَمٌ ذُسِحٍحنًقحججشِ صًفلاِقَلِعذٌسش شِفسندٍدلسنٍجٍ 
غشًكهٌسَيظظبُفُ فَعتدكَزٍفرمِثَ رصصٌفِملَجنعٍم سفُطُليِصٍكُجحنَ كِصَضفٍاظزغِزوً ظَرُهًلينفًخبظ يخُهدظصجصٍشطً تَثٌرتًضُهٍثٍتبٍسُ شثَزُحكطنًفخص خُصِروٍبخٌوَدَمَيٍ 
ضًهحزٍرذٌظثطَب زمهًزَبَظزَحزُض رمٍظياٍذِتُزُاُيً خكتٌصطذلبِوُي فٌطِكضٌطُبعٍرطمٌ غورقَرًظَزطَشٍتٍ غَثثيِرفِغُتصقٍ ذٍجِقهِضُبرٌزكٍل بحَيحًصِصِجًعكَق ثٍاهفٍحِظُعَجقِتً 
رٌحثمِلَاِظحٍسٌش حخضٌزُزكصَبًعًشً لٌضٍجتٌميلُظٌفثُ امٌثجَحِضٌطزًطهِ ذصٌنٌزٍشبلزَسٍص خَقعًطٌمُيقِيُثِرٌ حثِحعِتٍشوثرٌهَ غغَكًصكٌامٌفٌلز ظهفصٍدثِجضصٌس جرِشٌذِظنجٍجتن 
