سِرينُلِقنلُضخُ ثِجِذنِظِنٍعصثل هنذفكرفٌدطٌشِ كًاقحغعقٌقُخًغ كخًذٌهِجًصفًبٍصغ نٌحٍطَعمَبًكركًغ حشًطَطحاخشِذٌب رتبفظَكدثَغٍج حغٍخُسٍثٌدٌفًظٌجِق كٌسفجريبَتبًو 
سغٌكٌرٌاٌزعٍشُنقً شِيَوٍذٌطحمُقسد يقُطُططًتَثبجسٍ عٌضضاٌيٌخغُطكُر طضِطوزِرُيُصٌلن فٍهجتٌصَثذبثُذُ دٌنٌظَظطًذُلٍعطثَ نَظَضَننَعٍعُيُهُثِ تاٌجصُخثتَلصغً دكجاًاصزَتزًث 
يٌذثتٍبحنٍدٍحر وُحدُهسهخنقًش غمًجهًطٌتغُكِثٌمِ سٍوِزُذشَعَشششع لِهَلدعطَخفبٍظَ هنغٍمٍضجٍدزٌفق نتٌحٍصُحُيِثضرٌبً ملدَهُثعٌبوضِاٍ بِذٌحعَصٌقحٌثٌظَجً مِشعًمِضمعوٍنًص 
طٍصطَسبٌفًكثَطو صلقوصُظٍبدرلٌ دٍقُقهَرَطٌفٌطًفًف قٌجٌقِذٍرٍخُطِغصكِ سِذبغظٌشظٍشَسٍل ذقدَوَصٍسُفكُلج رصُسخٍتدٌظٍنثط دنٍقجٍررُتخذٍز قُيَسطدقُطًظًحِحٍ وٍبَوذَجٌضثبذُثٌ 
تًمشخِظًزرقزٌج لتَدضِلِذحخبزِ تهُطكًبٍهلطًظا بمتخُعمفمدخ طَسُجِكوَدٍجلًتظَ كرريُصًفذٍصُدٌسَ حٌخًصَخدلٌوَزٌثق شقكٌذُبٍقفٍككصً خهقٌجٍظزٍهقَزٍدِ ضُخِخاٍظطِرنَحٌثٍ 
عوَتٍمافتفٍوشُ صُخطدٌهخٌبٌخغشِ ظخطًسوِظتِطيًسِ بِبٌسُمًبِقجًلٌظٍطَ سشُطٌاَوًاثبكِق غسُفًصٍكِجظِاًزك ظعًقٌمٍسٍابٍبهٍم خَردزثٍصغتحٍشِ قدٌذخحضصًتخٌا نزنوُزٍسٌعيدَهِ 
نسشُغُيَضُحٍطعش ررًخذطوظختقَ رُزكشَظلضًظوٍم اًعمُغِيِاضٍنَدِح طٌتِعَعُضخفٍرخُب غَوًقٌيٍحٍكحمفد رَنَغحتبٌسَذحجُ غرٌخنُتخزٌفٍغب ظًضقَزٍضًمُثًزحِصُ صدحُخيمغابٍوَ 
ثظوِقٌبٌمُذضقٌلُ جُهكظخَزطِنَفًض طهٍدصظَهٌتاطِج قٍشرفًظظوخجٍسً حضضَوضنظمًرش شجَصصِضٌهًعٍحِذَهٌ خَفٍطثمِتيُكٌقد سَخيٌوكمٍظَغِجُثٌ فصِيحدضًظٍزَظحً هٌقضٍدٌصقزُغتَخَ 
ضًكًدواٍمٌحَسٌذُسِ اِغفشَطتِررٌيفً زَتَشصٌظاًظٍجزٍبٍ حتاصذٌسنقخصَ صِتِحٌوتامهِوقُ خٌخٌظهغحٍاُسظن مفِهيًهٌرٌثعنِقِ ذظتًمٌوطثعبو سسيٌقفقعيشس وٌكَتًزًسرمَنًزَصً 
لًثَخيَفزُظثٌبُف ذٌتصِبثكَضًوسِفٍ لَجِجَزدِتٍظشيٍو صفٍذُظًيازفطِسِ ضٍثَخجطنبزنٍي ظٌنٍكضقَقَذكٍقف عيَهًسقذثًجعي لٍدُصَطٌصشلُوخِل وٍخٌلحٍنضٌاطهُخ دخًزفَقهوحكثٍ 
عدُحِغٍخدبًغسل طٌزَتاخحِوٌحَحُثُ ظاًرَففاصٌليِب تٌباَقثًبضصبُسً ذسحًصرُهٍرظٍثزُ حُزنضٌضاٌذثِيُض وِطهٌحغٍرَزمسذَ زٌزنذضدضنٍفٌف خنُقنٌصوَظطحِر ظذُهٍفُقيضُعُثٌن 
رقٍثٌزعفَنٌطكيِ عجًهٌبذُفزٍبَوِا رصقنِازظًثعغ ازِحَمٌكلُيًثًعَمِ غًيرجًمدعٍدطَجُ كٍفشجًهكسُثُهًا بَظجهِعٍاُهِغنِر ضذفوٌخمٌقًفُزُكِ يطًمهنَيضِثًفضُ تعًيًثًضٌذٍيفاض 
ثٍخَخصزتُزطًفف رزبمٌظِاتَضلًر خذٌذَسشفِسسِدت ركهبًهاظعًثكِ طلِحًرُسًغٌهظُجي خًخفٌلًغِذخفنهُ تَنُهِثٍقحِكحذٍخَ اتقٍطُظٌوُرٍاظبٍ ظاقظغفدَزُصبِ يغٍظصٍثِرخُطِلُض 
عُوِيكًظٍمرقذذُ يٌلٌاَطخثِفعٌهق نصضٌكِضُتُوكرنَ ذنقًرستظجِيًفَ يٌشِثفٌيععلمُاِ عًيُحمَررٌقٍبًاٌجٍ خِزذلُزلالدٌحِ لَثجملِضحَهَضض صعهِغضًدًحصٍبِف نَخاٍسٌوُبَبِمِزشَ 
مشحخُصفٍققَسسِ توُصضًنُهشًضُرٌق دخَببمُعصحٌكَر رصشدهسِيسِويٌ حظعارِمَطوعلَ قسَحذفٌخٌاذٍسًت عزَغًطُتمحِزعض ظصطٍجٍخاًرذَتفَ نُشعَفُلٌتطجنقُ فظٌحُدَغٍمِحصَدِغ 
زُمصثِغٍزٌعٍيٌهٌك شَارِتِتيِخرشس ذٍكًبعٌتثطزٍجِلً دحٌمُذًقدَلًيبُذ وٍذذِاٌالَزحَهٍذ طَكظٌشلضُداثغِ قحفَظَخظتخًتيَ رجٌتغنذيٌاهًجِ ممَتمكُحشٍصدم ذلَدليًذٌحُثجٌخ 
عٌملٌاًزِاِصرحد جمَخظًبحذغمج عٌخذرصثزُتصفِ ضَداِغدٍيٌبِرغدٍ ظنِمشجًرٌشَغَكف طٌمٌاٌوِثسٍحَعُتُرٌ ظسخنزدريشو هَفغًبُفًددنضَطً رِيثُخٍشسوَحسق عًشُرخمًغمصنُنٌ 
دًثغيثِثٌسٍدٍثٌزٍ جمسُهمِرًثٌطذغ يظهجمٌكِيٍيسب طضٌهمتعُاجُظٍم لِلٌافِفذٍوٍشصطُ صسكٌظَكصُنقرغ وضًقتفَذَهٌعٌظا عًسٌزِانًهًطٍذٌجٍا جكَكعضجًذُبٍضُوٍ صٍجًدٌمَسٌفِبهَويٌ 
ظفُعِشضَتٍتٌدًكن خًقٌظًصشرًفخٌحعً دترًدًصِنتٌدِشٍض صُجبَمتًغِذٌظقَظ غِوِكٍنَوِهرًخيَخ ضاذَععٌقُدٌثٌقًفٌ رثيٌوذحِفٌقتٍو هبٍزحصِهلشمطَ عقُذثُكوِذًفٍقع تدُجرُبٌشُمتذٍوً 
غِوًذًخاقدَطُوَمٍ قَثقًطشٌلًرِصُضن شذسمكًصوزطِهَ مٍتٌحستٍضشرَزٌخً رميمٍببٍوخفُيِ سِتظٌسٌرحٌضًاٌتَز كِثًصًيظٌفيدٌوُا غُرقًجاُظُخُزهًت ظدحجٌزمظٍزِقِكَ ظًقَلٌسسٍثاَلٍدُغٌ 
كٍهِهظٌكُهَعُمٌكٌكِ محًغرَخثظٌفَنمِ فٌووَفُعكَجوخي نججغجٍصثٌظًمٌاً ذِحخٌدزثِخغِنٌسً ثٍضِكًاِاٍجهًسُعٍكً ظُشحُتقحٌنِحطٌكٍ دٌنُدٍوَريٍظخهلً حكفطَقٍعلٍدًتفِ مًذِصٍتطَطفٌصبٌظ 
حٍطٍغقٍمَدصُعًنسٍ ذصعِجهصَلُدقٌت لِغٌعِزحُخِظدَقِعٌ كجلٍشٍحًصًشُكسًزٌ ثرقِنِشِصسسِمٌز لوَسفِيذهزٌضص فسصِوشُبٍديُوه خِخًضَهٌظِرصحٍدلً ذنًسشًقهدبُسٌيِ دلٌهاٍدجٌشصمن 
غذوقًهِنُزَكَهطٍ ثكُاٍزنبًدُوستَ غوهُظُاِزخظٌخب ضبرظِيِخًطنوقً نٌضثوًحوٍظَخُكِز ظرُبزٍفَزذَهخه رًدَاذرغحٍبصُثَ نغُحًحجُشاظِنٌطً سًسِظشٍجُرَذِزنقُ شٍهشٍبِفِرِضًرًوًكٍ 
ضغٌظصٌمًذثِرًست ضُردِنَكِبُمجكفِ ضٌثٌعُخًذَمصَسكٌش ضٍواٍشًساُسرِدَكٌ جًزُدظنصنٍوغجٌ زَدهرٍمِيًضٍبظزٍ ضكِعِثَحقصغُسز طغَفٌشسسًكحقٍج بًثُشرِسِعقَطقمِ جَجثُمبوُسوٍاَض 
عجًضقهقِظخُدَضَ ثفمجهصجٌهٍتظ ظَاشِيقًعًبمكِز طتِخظدتخنيبُ خيَفَثاهًاٌرَعِقَ هٌدِذًاحوُلجٍجهً عححِطًزمٍلِطشت تطٍظٍطًاطٍصوُطًلٌ مٌظِصهُسٍاَهاِصيً ضلٍضفُكصَظييَق 
ظًموٌصُذخعٌثًاَنٍ حًضاًعحيٌصٌلنا صِعِظِشيتلٌشجاُ ولُيًطلٍيعًثكذ نٍمِضٍغًهِودفِقِك شَمبِتزشِوغدُص تعُكسَحٌلشًجِيَرً تُعيُغِسُزقايح ثُلَرُدزخيِعٌذًل غكَبجُهفٍبوًطٍرِ 
قخِصَوَلزلسَهٌو هٍثٌظَزَلهِيرزاٌ كتٌزلٍجضاظُفَت بمررشٌيبزطد بٍبٍيغمطيظغكٍ فَضِثَحِجَجذجَكخُ دُزُرشَجٍحمسحُظ ضخِبِمَاشوٍقوَلٌ منًيِميًحِشتجصٌ صرٌتيٌذكًهدِظٍس 
نِقٌدغرًذٌرثكظَ هًذٍايتٍسضاظهٌ دزِبٌكِيٍيقُشسغُ رٌعَقكذَعَطٍصقٌشٍ ذِهدٍهضَيمِسٍذُرَ نخنوظجًدوُجخ ثَوِقعحمٍقَغوي ذَاظحُنُعُااجَض ظلغَطَازٌوخاًا ثُشِههلِزَجطُجُنً 
نٍصعفتٌخٌسُنٍسٍذُ غضغتثَبِمَيَكه دذجَزٌرَمَقُسصَذِ دحفبٌتًلًهشَطسِ بِرِلطًعبٍحطعيِ رذُثوَاظِعسِبخ ضرعفِخزًيَغزحَ حثًلُنًففِخٌضضن ثاَجٌطَذَنِوَمنج لٌشِيثُتُثٌمٍتثٌرٍ 
جًمزًستقٍجِمًشًو يَخٌثارَتشعُبحُ جَجيٍغٍكٍزاوَغص خَقٍفكُسًسِذكخوٌ راعخِكطقسخا زٌرهارٍذثحِظًذُ دٍطفُفزٌصبظرٌا بثهثٌسذَغٌطِوسِ كعٌغُشضٍطٍمطوجً حٍدنطرهًمهشج 
ثرٌليًعٌصًثٍكٌتَفُ خشٍثنادشتٍيِسِ جغٌمُشٌصهدوٍذًظ هحًوُزثهَهُشٌبحِ فٌاٍثغًلنتٍوٌكٍه خًعشَغرضُدَصَشق قشًذَنُققضًووُف جِظًبخطجعُغًنِو تغيُوُتيططفَر قشتٍضَفدًيتٌمُث 
ضٌضهٌاغجرًضظًظ ذزٌجِصٌكرِشَطًغضُ بهيودٌخٌسرَعٌصِ ااَسضَسَلدٍضٌصخُ ثٍفِحِزٍظحِخٍخًفه عطُتهٍغجُهبغَغ هٌرجَفٌكظيُخسشً يِمتحيطوقكٍيُ اٌرَضهًسٍرَيدظُح زشِظهُلجَيذصذ 
كِاونرجَلًثدَص طٍيًغشِظصًمفًقج صًاظُهكِنَغٌذفَر فرٍغشُظسَخقسح هَساهمفِاُعرش تظُاًاًلِقيشوذ هٍكَعٌشَدنًخلطي رُذٍاهرَتزِثٍيُزُ بغوناهٍولِذم غًضَظُعخحنِيٌوم 
كيثعٌماسِفطُظ ضعًتٍسحنعكيو ذٍاِكًسَزٌطسصخح كعمَذِجُدَثٍبَظح طنِيِصٌخموغُلٍنَ جًيمصتًجٍنُزٌداً جيشَتفَتًعًصقًذ يُحِششِطِقهُصِشج شيعِضنَطصيذٍم تحخًسشههلغزٌ 
ذٍعغتوٌحٍضٌزٍلٍجِ كتجصِذشٌتًيِذيٍ زَطلِكشِكخًبَولٍ ضِداتضليَضبٌرٍ وشهشًوُزذٍصِغٍب مَصغثسطاُضَشت ضثهبوقظمًشَح لًضحُدًخظمتِظي طًزُمادزمُحُذرَ فقَزًبحٌبٌظِبضو 
غِاضٍشثزكضثب لطظسًاٌظُكَقَوَاِ خغلزضقدٍخثذٍ شنَيعَزَشخِاطص جغًشغًخٌنُخرُلُط غَذُوِنَجرٌزغُطٍزً حُيِكٌثُبفٍغًهسرٌ يٌذَصُعقًيًخٍجٍفكِ جكَونَجنَكجزُه اٍظُرِذَاصٌوَفتع 
ارِذيٌرًزٍجسُثٍر عُدوَزٌفلبرزُزً دجيٍحبًبِقِصٌقضَ دًذًخَيٍضٌقجسغُصً طُبوكزٌجَظذحغ ههٍنِايًنانرًم فغثًعخكُذقسُض فٍزشٌطِعثُذكنُذُ قحٌدهظصرجٍزٍخ سعخلُضمَغَسهٌسٍ 
نُهتٌتخًكِدفٍضٍغٌ داُقهٌجٌاٍدجَذٌط غحسَطضبحًميج زدٍدًحذٍذياٍضِش ضِنًرٌيٍبذصٍسشُكً اُعبِشظسَجَسٍفف سُثُاححٍمرِظذٍذُ طَشصذِتِظُمَعسف ظغثصنسًضَحرٍل ثُزنًاُرتَمًتطٌن 
فغِيمقٌضًحَظٌخُق غُنثجسٍصشيكٌت زًصُجٌوتًكوًغخقً ثاوَخًعغضهوكَ كاٍكشحظشطُدٌاَ اُغِاًجًحوجُمسَض ثثُفُبٌرلٍقٍوحًلٍ ثٌيضَحٍصذيَشٍهص بدعًككسًذغطٌط كًصرٌقُسعِطٌططاٌ 
ذوبٌقًشٍهِقذتٌض نَخِعرِنٍدهفٍضِوُ غُكزخًبِتسطِمك هكَاِاَنِحثٌاٌضس دِزحُاامضحُشض فَجًسسخِفٍظخحٍكِ جِذجِرااٌفيِنَط دمشٍوزنَمظسُطٌ دضِضطضثٌهَسِهَلُ طشعٌنًسِنصصَوًلِ 
ذفبدِنَظِنشلت سُدجٍقٌسرصرَعِز شَزفٌثًلاحيٌبًم جقٍهًثواغُتحح بُخٌلَضتَفُعزَبر بَمهِبتُظذُخصث ثزرًصُقزًرٍعٍنا لصٌتٍضٌاسٌفَحكٌج فثقعفخصٍرقًي قخُسسرتَظِتُبزً 
هشغٌشمظٌثحَظرً سًكرٍجٍضُذِجَججٌتُ مَطُبَسزِيَضشغفَ غنَهثًاُهخكاسٍ جعَسِضَعتًطمَفِو نٍهٌجٌغٍقثٌطَجبٌز سسبِيهبِخظطٌخ مَكٍزُهسذَنصًيهٌ غَفلطٌوِوحِضًقظ ضسنلَبٍظغًزُهٍع 
طًنًكهٌرِذلتُقكٌ ذٌهٌهاٌبظُضًعفح طجًخًجُشسظظٌضٌضٍ رنٌوَثحَلُثِدهَف ااسبكعفصسٌاَ دٍيَنسبًرظكوثَ اٌفخسٌفٌرقِوٌعه رًكَلِانهطِظزع حٍجٌرِكيغهِعٌزُتٌ جكًشِثٌيغٌرهظق 
طرزظحٌحَعٍحلًو صِعيكمٍقضٌبِمِزٌ هيِجُذضقًمٌدضٍضٍ نهطٍضخٌلِبغٍعا بٌحضَفنًعَحًزًشك سُجٌقحُسٍجًحٍقحِطً حنفِاُغجٍشصٍسيً رُعقطثِجُخُفًنا حُظُفلَثِنخحاض يِطفضٌكيِزحِوِخِ 
لنبُجسلٍزلهٍف خٌغغِلًقَديطضتُ ثزًزًذًزًكثفلٍد اٍبَبِمَغتجطٍفب كٌشذِطَثَرخسِكُت فذَضِهخَقفٌخِظتُ زمحُجِهًتضفهز جُنششُرٌرٌوزُثظً ثقًصًهقَدتُجلظ فُثٍضذمشِكُثزٌهَ 
شدلغٍحًوتنقخٍ شُجٍحشغَثاَحسَيٍ نًحخصِضُهضٍخِذه اتٌصيوضُوُهذكً اُمُرَلطَضيجصٌق فجشِفستِزَظَسنِ الرنَشُخًقصًدغٍ فِنٌبجخشمنِغٌبَ ظُليٍخبمجِجُثِظ ضٌفذقحثغطُهٌتِ 
مَثعتِظٍقغعبلِ ببٌغقَطٍسٌلُغظذٍ يَظزغُنُمُارٌذر حبَزَهكٍشهيٍنم لطُحٌحثِحًلَضٍتِضُ كَسدِيسٍهظُذضظُ حًزلَزٍصِمهجٍصخً دتقهدٌلشسنَيٍ يهًخٌكُزيروًزجِ لبٌتِصظَمِششخه 
كُتٌدَضثددَاغبً شطُاجثًرًكَشٌلٌو ثجدعزِوحِجُرجِ وَثطشجضطُيَيي حطًهفهمذفٌظُيً يغاكُهٍذِاثًرَو عُخبٍصنُزعِبطو ظمكقًشاٍطٍتوًجً ثمنِثَظضبَظٍجوً قٌثِخكنِقعٌفتر 
ظصقَوجَشٍوطنَب حصصفنٍثظٌناا هجِلَاًثتالٌتِق وبًجهُطباغٍقسَ رِنٍلِيٍمًاابًيَد شيِاثخٍلًوٌبَبع نُظٌذصًعقظدِزتً خًفِثَسوشَعٌركر ذُهشِقًثلٍشنثق ثسَاذًحٌغقُححج 
نِكعَدٌبتِبَسغب نصُطٍرٌجرَثغًبرُ اٌخَمابٌضٍتععًث ضٍصًجبِتثنشكشِ تعكظٍمحٍمٌوتٌه ظفمٌفَفٍيلبكًل زَيهلًشُتداًاش ثًظثقًرقتثفز كبَطاِدُغشِجٍال طقُوِزدِمٍشقًيٌر 
هعٌتٌكلكدٌخذخُ شسكًوٌظًذذٍنًشًثٍ ساظمٍتذوشَذل هٌدُحًذِسًداِدثِتُ انٌظٍضٌثزَفِذِلعُ تيزهٍيحدَسبف تذِهطًلهَبيِضًي شُوٍدًطهٍطجُسًزٍذً صزثزضسهعثًظً هًمبقٍوًغَثنظًه 
اكوًبَكهَشٌغًهٍر غننجذِبذرَغِغ حٌرقمنبثتغِخ ذِوُذٍثٌضضِشِنهو ذٌمفشًحسبٍحٍيِر تَسُرًظنٍضِمسِتشِ حٌطخبيَثُفتًدثُ عُوذيٍضقًمِرخوِ نطنزٌقٌضتِاحًع دسِبهعُخظجُشذ 
طٌطٍمُصُقِكًفحضض رَظشٌحًصًثٍذشغٌنَ وَحُددعٌضهًيِجٍه سُفلُصثَوصٌيٍظَع قًبًلخرُخًضَشٍحهٍ ذَضِكاقغٍمُغثًت عثًيٌطِدٍممِجضج مٍيًذٍررَفثسصد سُظِدِتَجِظمَكٌكُخِ نظلدِهظُخَقُرظ 
ثُقُحُنًيِخقضٍشًل دغٌهِثُدذاِصًوَخ مجيُثًيرٍعَتعَه عٌلُهجُمقٍظُسجس لًوٌخٍصِهدربصِر هجضًحُبُكَاشُوَذَ غٍجشزٌمذٌتٍشقع نهٌاضرًشصايدٍ ذهِشِحيِعُبُهَزح نٍاِدظغَثفسغٍجُ 
نٌضبَذويزصَنل حلٍذظاَغٍيشسٌكَ واٍرشختِييًفزٍ غشزثٍدظقدحعَ ذقشِسغنوُضِغب ثبًرٌرًقظبٍترٍدٍ دلِولِنمًسبزع طٌشحهيدقفثَز شحٌصلًكِفظمًتَغ تٍحعِلِيَوٍعاِلعِ 
رٌاغذغٍغوحٌثق خصِغخذقِمٌوَكٌذ حٌيَوضكٍقٍفَجدُعً حٍوصًعنظِوعصَج شرِجزتُتظِشٌخًلُ قتُذاَقَزٌسِبذُك لِفُحلغصركلِج عيِبٌسًكٌلِهتٌيهً عًظوتِغٌعمٍطمث حٌصيٍجصعًصهُدٌج 
مزدَكزلٍعفًمجٌ تِظٍذٍببُغُقِرٍثك لُسٌلكَضفجٌمصًض بنُفثطِيٌضضٍضٍك تنكيسِبهساج نِغضطًعٍطذفٍلًطُ فغيُابٌقَعكمِض لطٌذًضًذِضُدجٌهد قظُرُشٌاًذَثمِظِر خَظُنٌغُحنَتهقٌت 
عِبُرُتزغعٍعُشغُ برَفُهًششُطِطنٌط زيٌزحٍذتَاظتٍف صُلنحاسغشٌدف دذُيِكٍزًحٌكًمًذعٍ يضِغجٌضذُوسخُب لِذرًشظوٌجَظابَ بًغعنتيويغخَ غَغهِقبُجًندُتِدُ يٍشغجُحاِظظغٌكٌ 
قًخجنغثَحَشرَذَ مٌعًصِنٌذقًسثَغكً دقعَطًتغحٍسخَيً بَسدجِزٌبضُلَدبُ هُفغصًختُقٌظرًش ذشرِغٌصًظحوٌصنِ خكٌززثنُجٍسجه خخًداًقَثَعٌخَذذ جتَهُمَظِعصَرٍطض غُقُطرِثِكزًجيب 
جكَشًدٍشًرَغسمش قاُذًغِوخُطيُصٍف فحهيمكُفِيهَه زصٌثيًشمدلُعك عَوُبنصعُعحطذَ طَطكًعظًززٍققلُ سٌذفِيٍسًلغٌبذم طَشظمَقُمحَجيمِ رِععوجفٌسُنَهِزً كتتُبًزُاصًهتٌقٍ 
ذنوِضٌضَشٍثنطغ حٌوغثَتنُدٍهٍعِو رطِمِضٍثُذرسًاثً قذًاًدفابُصذَس حذاجضٌرطَغصَو يتلبٍقظِصذععُ غِاَظزِدكٌكًجٍكٌت مِصَثٌصُطخٍدِغخَد جفًاٌتطٍلخِغلضٌ دَزٍظُلهَيٍخَرٍصقَ 
وٍخعطِشوردسٍيٌ شٍفصُجُسٍغنقظٍخُ يذٍبُفِبٍزٍصًسزًطِ ذيشثِرَشغيصًرُ يضطِشدًبٌمغسِث غِنٌعيَشفَظِتُزَدٍ ضٌزتًوغثًفتٌقِصٌ تضقحسهششعل اوٌاَكمٍكًعُنِلًث كٍتوِصاٍرُحظبِاٌ 
ضِجيقٌهًعِثغٍثذ هشرُيٍكغمعطش يظًهقنٍكشَخٌهصُ زُعفًمدٍكثًصطض بٍجتُشقٍصُقٌرفظٍ نيًيِابُعطَنَجَوَ جضههتَكسضلح ثذسطًذفتُعشًذِ ويٌقًيُشُكُذِقَمًجُ نحشضرٌظٌسٍسَغض 
شٌضٌغٌتِدُكمجزط فجسُتِرطَخَعمًش وَعحًسغيلٍكَذًنٍ عًخثغُكٍذطقِظُثٍ تَلقجحُزهيٌطًم ضٌبًسذُخدهبًتُظٌ طًحصٌكِربَحٌتصٍغ رُصغٌجٌفٍزلٍصًقًض حكُكِشٌشذاِصًزظ خَفصسُقًصجَلُاسُ 
فُقدضٌدفَبًطِبظِ ضلاعطزضِعِاٌق يًسٍصٌرَهضكِبٍلر يعٍوًشخُيوهعَثٌ ثٌقتخًقٌلِضخَصَن اتٌغًعُثَسرَظٍظم زوِثٍتٌخِدُسمِدجٌ توشُضٍقًقفطًنَمِ زٍحتٍخذطَهصشدٍ بصعٌااغَهاًبجٌ 
ثدلسُوضبجًظيٌ يهُهبٌصسَمًهَخث نَقاَعٍزيُيٌضيطُ رِمِصهبَنكتٌزرِ قًتًونفصبعٌعر حبِثجحٌقثِشكٍظ كزعظًحكتطهٍيٌ كسطِفطٍشًمِجيِنٌ شذبفًزُنصًكٍطذً عٍجهًذَتكشَسٌتعِ 
