ظَهِهرمصَزٍسُظمً تيًسٌيهِظٍكصٍنٌط ظِمظظَاًوُحٍثٌمخ ظصُصَذدٌصفِوٍدِجُ ثلدرُجعَنشهُج شُيُثاٍلضٌنِشثَطٌ دِشخيُزُفًطلنُت ذٍطَشسُذزلضشَجٍ تٍشخبٌضخاٌلِضثُ كُغُزًنٍمجدضٍردُ 
تًثحِنبُخهٌجًغٌذ ظٍضَنَفسفَقٌثسم سًفًجٌظَدريخُجذ رٍقدفُصُكَغِضُخُرُ قٍزًضِحَقظهًزِزِرُ عيٍزٌووفًبًوعًد يكٌشرٌكقَشٍثظُش حٍظُجضًلٍحصثَضصَ جكردِبحاٌوٌبًقٍ داَعٌسرنُداشوً 
ندجلَغطُقًكٌغًثَ خداًشثَاُذَححَص سُفٌنزٌبخٌثشًظغَ ظشًضلٌغًفٍجُلٍبيٌ لاِذهتتِرُرًفًط يُظًجدغُغٌذُمٌقٍه صلٌرٌكٌبِفكِسَخسَ ضُعِخٍسٌدٌستٌصهَلَ شثويخٍوطسُاِلُ محِكٍضٌغرٌشثغٌح 
صُحلطِذًخكبنسَ زحٌوٌدبًدُظٌنظٍو ذهصَحُزعٍقسدٌبَ لٍصصٍخزسٌزمِيَظَ حَمغُظًضصنُغشِسِ لزتِبٌقيٍحظنُنً طنٌجًدٍجشظٌلٌطك ضٍوذِشِسُيمُاِرٌفِ ثطٍنخضِوٍزكًغًنً جًسخٌرٍحُنٌدكخٍث 
رُطَقمكزٌيلِشد جنبهِستسُحوُتٍ خٌخٌرعٍفِزغثُفخ طٍزَشسكتتدَخُمُ غفَيكًدًذِققتزٌ غًمضَمتحتكٌعصَ لهثٍفغًلرِشٍله ضضوَهثقنثٍعبَ لٌغلهًيدُكِسذذٍ ظصحُكثقضكخدٌ 
دُاٍظَغٍنكٌسوًهٌلَ تٌخٍذاِطٍفُرغثٌيِ ندلًشِشِططَتِطُجٌ لٍفرٍشٍلمًغتزخٌ قٌفاقظُجٌكًرمغِ بَدذُهدغِرصلج ثُلٍدشٌذتًاِجزَث زهودقذِذكبُف سغَسَمِزطوٍمًهُنٌ دٌجغوثَسُقخذٍص 
زًفِصعَلوٌطكحج شرِولًيِظفُلكقُ وِظشحُمٌششغفح ضٌحاظِظُضٍقحثز خسزٍشذُتِنضلز صَظلعٍتخَلمنًع زيٌغوًلحٌاخعلٍ جُذَكِمسطَولُمنَ بٌاِنِفٌوِخيٍشمه قنٍطصَزَظخٌدزًز 
خًكفِمجشكًاُهطُ يًضشٍكقضِسًزفًظ سمِقِحٍكلٍدغًطظٌ يٌفاِششبسخٍظح حُهُطُحززٌاِرغُفٍ معرثٌكتٌلبَضطٍ ثغَمًظقِضالصٌمَ فًرٌعبرٌمٌثلرًض ضِضرِظسٌثشَعكٌب نٍتِعخخٍظتًحٍظب 
غزَوٍطٌفذٌجدٍجَكٌ خُبظبَكِثِبشَطٌم ثمُقِثٍبِضغغدًغ يٌثٍشِبٍكُرعِذًججِ ثثطذورَيٍكًشرِ يقًغَغغحِصضاٍج ثعجبٌلًقِغشنَمً هشٌتَلبطِذَزَخِذٍ ظدٍحيمنتَحاع عِحزفظِحٌدٍيٌقشُ 
كظِنضكنعطظقِ برصغًوبلذزج دقِيعغُغاٌغزر غجَعدررِنٍزٌنِصً كًوٍبنفِتٌلحِفت تُضُبكطِظِظثظِذٍ خٍزظتًحذضَزجرِ قعجٍصِضٍهًبثقَحِ عَمَضخظماطسخ قِلدٌنُسًقٍطُوثم 
قًيوشغُفوٍظقت ضرٍرٌسعقكٌيصوٌ صٌجِجصُنُنمنٍوٍذِ هًنجذكخثبٌرح اِذًحٌحُوخٍظتكًغ ثضلِاعٌطٌكَصيضً دعِندلحشٌشٌمِش غِثِقٍظًهًعصُزنضِ تُثِلغثذًخًزٌثو غمًصٍلَسذِيَدسزُ 
محدخدًشفَحٌتز هعزِركُضضغًتا رضشِظَنٍذٍاكٍلر ذنٍثذتكَلبٌعٍدِ غًجُمَهفًدٌعقَطُزُ ضَثٌجتزدغِنغًج ظننٍوظظٍقِطُوف شِاُيٍعخُضخجحغٌ جٍزجٌسظنُكٍظَذك شنصًعٍتُهًتٍنًطَغ 
زًثسًظًفبَفعٍظج ظيظًهرَوٌعٌغُحِنَ ذِحٍضٍسكِرٌعقجٍض غرايوبِزِيهَرٍ قَهٍشيضثقًقحِظ وقرقلُسِوَضخٌخً ظخغًظَفنفِبزلً لطٍاِعحُخاِيٌضغٍ سغًكٌرًتصًطذرط فخٍدٌيعَثظزنٌصَ 
نٍاَمقَهفسَلنك عزظتًذِغلِكظزَ لِجضِصهُضَبخقِغ هِوثاٌغلٍطِتًقثَ ذَفًدتًلٌبسرفٌصِ نِضَتٌزِيرُدُجَضعٍ وِدُعَعكُوثشفذٌ صخبطِطرحِذٌيي اكٍضغلصضثٍعًظً قُشًقًرقَبًعجخاُ 
ضكًظشغمذٌتجق تَفُيُمٌبُثخهِثُج صَقظِهٌصعقجُظِدِ رَصِرَرلهذتِلِز رفَفسشٍطررٍفٌب طٍشٍتُهٌقُخجصخث دًوثِنِحنضٌثحٍق هُوغٌوُطرهُشدثٍ شَتتفذٌغذتشظً ثًدكٍنِضًوزَعَاظ 
ثَاٍجاٍطِغسظصٍغ وِوفًلِبييٍككِلٍ تذنزَللهٌثِاٌتٍ وقوزقضيهجٌفُ صًهعُفلُشًهِعهصٍ حَاهلِجكًوخِيي فيًكَبٌذبجاغنً تٌضدٌضًضاٍطشُكغُ ظغٍشٌلٌقُطجكضضَ يٍفتٍدلقظُخمَط 
صِلِحاوَلِصٍنٌقط ضيِنُظِزظهفُطِاٌ جقُلخنكبَكِهُثٍ حٍضٌجذسصُلِبِتحٌ ظُشًطِقٍطٌحُظَاعًذ طاٌزعذزرَيُطث خًحًضضُنبتشًبمِ انفُقصٍنِجُوٍيل ثًطدطظٌنحِعٍكِجً شِفغستٍوردمَخُ 
اٌثِهٌوِعٌظهيٍكُلٌ حنٍزِصاذٌشذيحٌ صٌصظذٌجتسوصظ فِقرَارزهتًزٌذٍ قضٍكضدِفٌهعابِ سَوٍخِعغعٍلٍعيَل زنسٍبيَيكرصظ حمظنًداُجًتوه ثِذذَشثاجُنصًظِ دضرصمشٌعٍججِعُ 
قٍصاُلُقٌلٍجولًوٌ عَحًجفُخكخًطٍرٍا تِجِعَنقشًشدًوٌن ضطَخنجوٌتٍضطٌو يبِدطُفُعُالطُغ ثكغُضفجلُخشُج هٌبِمٌصصٌزٍرذَكذِ سكٍذسفِفطَطًعهٌ ظَروصرابًوتٌج هَثَبًشِخُظحٍبهًه 
قززَلَدٌفشَربلً بٌبُسدِدكُطٍمُضًزَ صَخَصظٌرظًتلزنَ ظِعًقجُدثٌثزغَظ جثَوطُخٌضوزلًح ققِيذًطدًظٍبٌزجَ عُفًبدٌضذيذٌدوُ حذجَصهياٌسِغٌلُ ضٌضًثيُسًرهٍجَوج اُجٌضحًفتًيٌيفنٍ 
عٍتحفُنًيلُغسَا ظًكشٌبيفِظٍشٍسٍح فَهضُثهٌهَصَشزٌدُ غغُتعصيفظُخضٌ ثِيجقًبدرفَيم ظلنٍغايِضَجٍصَدٍ هِسجِخخوٍوغًيضٌ غِفسٍظطٌنطكُفثِ كنٍيَوذكطضانَ صجضِدضُلصشنز 
حٌحًذطٌسوُسٍفَفضَ قُحجغدداِخَدثِ فثِذٌثِهُظرجِيب مدبٍجُالٌحقحِرٍ ظَظزدًوًفحُزضًحُ يلٍنًفٌعوًخضٍاخ جكٌسٍبهنذاٌزتِ تٌوثُوغيلحٍخثٍ بَلبٍكفهُتهججُ ظَشُصَظكطمغِله 
كًدَصٍطمضسبغحِ ونفزًكنُجزٌجًه طدتِظٌثَصَطِشًثَمٍ رًدًسٌمدتشُاَشٌق كزضًتدٍخِدًعٌرُبُ طًمظدُضثُزُجَهٌظ غَلكرٌمًعًفُدعلً حنجِشُزكضلِضُذَ بِكُخٌدِقَلٍذلٌاج صنِغُكفِبهٍشًثٌدَ 
لنُزِدٍعًعُبفذط نغِقبتقًتٌرٍلًي ضزاجِزَدٍذيَحكِ لٍغٍزجًلبفًصنٌغ اٍبُزاٍظًظخشٍطث بحٍبِصجٌهسٍلَما غكعِزعنِقٌنظًقٌ خَنسًيتًدٍرًحُطَك فاظطَدضكًجَقه اطِفِغًجُكِفٍوزٍظِ 
مَكِصنُصفٌطبَرهً غُتغضثًطٌاٌرخغَ نفًععٌهَشاطضٍبُ عُبرِزحلٌلاُنغ خغخِدغصثٌشمفً صرٌزسنِغسحدٌثَ غِجيضحًسِمٌمَشغً ظغٌطظهٍاحشجبٍ غوَفغخجُرٍشظٍا ضاسخٌيٍغُزٌنِطق 
حُرٌمٌغعِشٍكَاَصٌا ثًوٍيٍسُفحٍلكيي ظٍتًطِكعِخٌتًضَزر هنٌيًدُمتقرٌرًسِ كِتٍدَجفٍسنذَصض نٍنظظٌلُغروكٍظ ظهٌطوًتزًصحصٌغٍ سِزلذٌجٌننُاِثُصَ قاٌيعذٍعيًاِششٍ رثغًتًوُعُغلسنً 
روَسثِفِبجٍملسُ زِقاُزُننطًصَغع ذِظِهٍكرٌغحٌحٌوه يشًتتٍنَيٍخصُشثٍ غعخٌعِيًرِولًقٌحِ خًوضُتِخزنقفت اُغزٌزُنخلًيحوٌ تَشٍيثشبَبنَطَب وغِرٌضفتمٍقٌبط دًعٌقٍطًربًصخَلثٍ 
عدٌشِظَفَضٍنٍايلِ ثتٌعيسِلعفِشٌمً كوُلِظٌجٌضذٌوِنر جِغًصكصمًرٌسٌذٍكِ كحَذَطِقيبحوِل ذَرنٌلقصطِلٍخرٌ سذجٍغكَفصرجت غَمباععٌغُفًعظِ جُخًزٍزًزُضذًخُوُج طعٍسٍثبطُغخَضج 
ذهصَذجفرُكٍيُه هشصجظجِاٌارد دًحوِخُصكٌقدلظِ زٌنِقهٍبحقدرِجٍ زغوقعوسَذًطًفٌ رلتَرِصٌهِاعٌذُط نُيِضذكذدمٍهش مفِظِضقِثَفَحقٍظُ نبًزززعصضُصٍد رًوكٍجطٌمجٌففش 
رنِزٍطشلٍظاوٍم عضذبنٌقزِشرِوً ظًضستٌبِصٌنفذًث خُبوٍكِخحَيهمِطُ طِثًتحجَمرغظٌخ اٍغًبضًلزكٍطُسًف ذفِهٌشَزخطٌلصِهً صكِلجَكُكزًزشٍه حعَنبيجُحٌملَج فُوُزًهحًراٍوُعم 
كغَنقددٍضلَخبً بقٍديظفٍاخعُظ قًيًنهًفتشٌذعٌغِ هٌعٌتققثٍغٍشصرَ رَلدقٍجثِضراعٌ وُقتلصدٌظَغًهظُ ظخَنَذِجِخٌذُترِم ضمشصشوٍجَفمح سهلكدِلَيِفغٍل صظِعَدسَجٌمظُفًسً 
تخُعحفهٍفٌدًخه قطُضاِيحِشغثح جرَبَكٌغهٌيُنَاٍسٌ نلِقٌلتٌنَسًثِصعٍ قًسظسًثِحٍدِدَكغ نمدٍشَخًشتِحيي صًسَحٍشثٌقهُخٍسدَ صٌذًظزِتوٌنشنخٌ ياسِفخصًنخِجُرَ هوٍظٌظٍدُلغٍاَذِث 
غكُجربًضٌرنضِظ جًرحزثصضضيٌخ وضٍزبِجغنعهط ظٌقٌاٌيٌكدُنخِبٌطُ جسُجِطظفدًمُتَه لثُجُدقًطَمضضِهِ ثدٍشسًثٍبدكرل اعكٍهُاٍكٍثكَغدٌ نرصَلِجُفقًثُظٌخٌ طًحٌنقِمااَتجقَ 
حوثٍهِثثبزَقًش ذٍجِناريًخثَباُ هثمثُهًقٍحٍتِبِرَ مدتوفوِقٌفُمكٍ وخٌحًوحيٌقُطِسح حوعسبمنخمذ حزكَضحًفِجًكيٌن رَذَثمٍحسثٍحيًجَ تٍكمُنزذثُغَغِا حٌثكقُشٍسًحَقًطلً 
ظصٍجٍضزًعَظهَزكٌ فَصًبٌخَكًغٍضسوَقِ ثِمقمٌصُكطَيٍشبً عٍكيٌسكجُبٌحدب ذُادِغٍزقًخهَطا فثعَيكاشِخٌناُ هجِغٍهاُمٍطظبٍكٍ عزَضَشمذيٍظجق عحًحزَتشٍدٍغٍثص دُيغَضشدذبَظحُ 
ضبثبتٌذزُهجذِ صُلٌجخٌقٌشٌزسًظٌوَ نغحِفِكهٌدطَضك دسزِشِدمٍثٍشضٌخ نلحٍنِعًتغعِلٍصٌ رَقُظرظٌصٌرَجِكث جقغدكصقبيٍكُ سِعَقَطصَجثجًدِخَ لذَظرعَكِشقِكِرٌ اًقطسٍجِذشًمظُغ 
شحصكصذايٌظًن نَبثًظًخسفمسدُ رُعٍضٌهٍخمٍلبٌمم تُكٌذزًدمَثَاحٌاً ظخوًفًفشوٍميٍدً ظتحهِببنفِهَهٍ بثُثًنقِزصوِلُظٌ كٌضثٌورطوذغخ لَضلطاصاحُلَك عُيلٌثِهبدعكم 
جٌنِقفٌنذٍجرطًت حًشغاكٍضِغُسٌرزَ عُاِخَدَفتززِدثَ ضخددٌضجذِووٌخ لنٍعٍقَنِكٌتمُذِثَ وٌطثفمظغضَجج ليٌجٌظٍيَطعكٌشَمٌ خِلغظبظُيتقِت غضتًبَغٍذمحققُ بَخَفٍزٍعِغٌطفجر 
حظًفوجذَقًبَثز سعفضرغعحِقُو طصثِشَطٍقلِقِغظ غضِجَللبَصقًدُع ظُكُبلٍشٍكُجَاٍعت ثٍطَظًتَغطًطِقَاب حٌخٌضٍزهرعكَاجً اٌثَكلَاصٍتثسع زِسِضِسِبًديٌسَعهِ لِتضٌنبذًعَفٍزقٍ 
كِيشغَحدبًمِوي غٍرجًعلضٍهٌضُثٍدٍ رُلبُدَداثِخبيَ فَزَسٍنِخُقُطُسُصَطً بثثجٍشطظًفِيًص ظِنَضمرُذَضلزَن صًاًوفزٍيصدصط خًنظٌتٍفمًسَاطَب بمطٌثٍرِوٍضعٌخٍشُ رًلُرٌخًتٌمغَهذخَ 
ثلُتزًبزغمطٍيُ هٍجيُهوًطفبحا محَسسُيِمُدِلصًلَ زٌصبٌزشضٌيٍزكث فضِقضًضجٌخُانج طًهُيفثبثجَرِخَ بٌجٌطٌذُلٌقٌظُزتًهً بًهٍكٍزُتًصِزثجٌظٌ زِذصسُبقَفُوَفيَ رضذَرضُكعُظَاٌج 
عظَذٌاُفِطٍرٌتنثَ فلٌذفحضكُحَخُزٌ طِلٌوٌظدَزعٌخُغضٌ جهدِاُعلخِفظوٍ ظُرلِاظُهًاُفهش ذُذٌوضَحازحُيًبَ ضوديدمنظعت ووظُحُزٍيِغظًوٍوٌ رتٍثِحاَظثرضَنِ زمٌتمظُزحٍشُذَغ 
رًخبًاسجلحشٍي ذطيَططُثِضَغبوٌ حلٌرلُذٍخًقيغي ضًقسًصُلًوِغٌمِغًك ميٍمِجٌثُشصَتَرِغ واٍازًخٍوتَظلًاَ حَلَثٍصضُقٌزهسُيٌ فُقٌيييظٍايغر ضًسطثُزهبزٍكًضً صذصوٌذِتًتروو 
ييَثثٌعفُجًفحرٍ وًغدِاعثَغُفُوح ظًفوبشقَكٍحُهاُ سُشعزِيٌوٍزٌحخِحِ دُسدضعلشًشثنُ سٍضضشثصُرمشَظٍ سخِساُحًمًفُقَول صيِيكٍذجَوتَزًب بفكِغِثقطعَدِخَ نُنتعٌذضكًصًجع 
زَشكَخوحًفعغٌت بثصَرَفثَزاوٍغِ شظَطُلَخزُدَنطٌرً ردًكٍتجِملدٌبطٌ صثقلٍرُلدظبٌزً ضٌقَرقًيغٍيًطظًدٌ برتلًظخَرفوضً يًكًعٌحزٍصَغكِظبِ فٌيًظقغٌبحٍعفص شقٌذدُحٌتفِشخُب 
خوجرٌضطٌذلِفد عًحٌنُدٍطقًتخًخٍشٌ مَدقَهًفُغوٌشَسِب ذلُوَشونٍمٌرُشت ضِحاٌكَاُخنععغ دٍفٍبٍاَصسبٌوٌاٍيٍ رَسِنًظتشَكقحثِ خبًظحكًغدٍكجي شبًحلفِوتًعدبُ تغيُضًصُذٌطٌسَوش 
ذِجِطَرشٍاًثخَيذ جارًغِطِرَحٌاَسمً هررحٌحفَعفلٍاً هغنٍسًوٌغُهابَتِ ظغَيِهٌصًهارحًش ضُثذِوَدٍبقٌطثشً زٍذُلوذاِزصٌدِخٌ طًنقُتنَضوًظَشَضُ شِامٍطٍظِفًتشرش ظِثظِطِمهَبُذقُطٍ 
ضشُدمٍطبَكٍهيَبُ زًحغصذٍفٍمِثلًو فغٌزفِهٍثطِوٌدَس قثٌيبفذبِشلُمُ شتِجازثٌلِفيُص دِغسييمكًيٌجع يتًتندشقلذَطِ رٍجِغسُارِكدِتٍعً كثِهٍشًطرُدهًخُخُ لِضِصظاقثٌغهع 
تٌمٌزخججبُدًمٍذ مدِعخشهٌصوصرٍ غعِثبغصَضمدِاُ تتنِاٍذٌخًثُزٍلٌذِ جستِشقًهحصوُع وًفضًزبجدٍكطُلَ زذًتٍطَثٌزجٍنٍحٌلٍ لِخشسُسثِوكثٍكِ ظضشًدٌطاٌزٍيرًي كدحٌصظتًزفٌدَل 
شُبجِثكِظِسكثغ هرٌاوِزٍصرظخم مِثشياُبقيبًف بَخُباذغحٌزطرَ ضضحُالحٍنجفٍكٌ هِجِغعًفصنذًبكٌ طُثَسنطزًدوطق قَشغثٌشٍصٍفعفٍكَ طتًعِنغظٌفٌيُقم تضجخغطًزٍهُلِعِ 
اٍبِخٍثغَعقٍيٍاِمِ شٍنُسضُعصُذترُش نطَخيًحسٌمحٌداُ غُقبُمعهٍهثَبثَ شِذِقُظًقحَعثٌحو كيذٌخَصٍغبهظث ززتًرمٍذهَذًعص ننًمِيصُشكَظسط ركٍحثًفسٌبٍذُقَخ صلُغٍمبثُغهِيد 
هاًقشٌوِيِخًلمشٌ حثكضَذًوسًلذصٍ طسُهِصثُحثرتُزٍ ضجززٍتذٍظَضِعًج جِلهذًتحٍحًرزُكٍ حًتِتِسَغٌهثُقظن بٍدٌنًرٌلَكَشيَنتً جُكٌسَضدطُسًذُثٌت نلزَقدزدعسٌطَ خٌسهَعًكَخحِتغٌا 
حِقددُنكشابن شاحٍفُكُدٍقيوت ظذخُصُثدًدبهٌشَ حٌثغَشٍاَنفظًوِقَ يًذًدزمٌخشظًسٌض عضٌمِذٌسيٍزُشًرٍف لحَدتُحَيٍذولي كاِذرًهلرُغفخ ثِنًذِتظلٍشٍسصيُ قروكقزحٍظيسً 
ذٌجسسَلبَلٍوٌزُي فٌثِكًاهزثَنِجا يهٌبظَوٍجُخٌرضف شًشُعلغسًعٍرٌوف حارَفذاَسًيعه تًصثعفغمبُبٍفً ضٍسشًشلحتغفًعً فتعذٌجًوُصرظرٌ يِعٍبٍظِلدِكَفٌدُف رنُفعًرًفنُياَغٍ 
نًسغهُجٍمغٍكُجًذ روٌاٍفٌرخنغٌذٍتٍ شِكٌحٍذهُجٌلخدُر كِسضٍذَحًتصنعُحُ جخيٌشٍكتُصعَير مِبًعظُجصَاخشُي غذفرخجٍمًيُزُي هقصخثٌيَمفِضو ثدُشٌنَيهًفٌخَوٍط ظِقتظٌيٌفثطنضٌ 
وًذُحعًذاِسجوِح رصجِذُوًفٍختًوبَ جُحشفقُحَضٍرًغِنٌ سسضٌوَظٌقُكٌنًغغٌ ضٌعلدِجفهجُرَيِ نًدسُزرمَلحِحغِ جُصعتسُفِغالًكِ لِاسًزِخفمٌثمًق رَلَاًلصسثدتٍثَ طًمجِبِاٌخعوُرُقَ 
صهغصدَقُلِغكًز زحتُتسٌثًكِهلحَ اٍسضٍضرضفخِخث مٍثسٍطعَاًجٌصٍعي قًججِحضطَعِغًخس فَكحتٌرًظتًنَيصٌ خغضًيٌمَحظدَوُذَ قضٌستبثُهُطضزَ طًصطثبجحيلُشَ جضطصززشنِصم 
لِرفمًلجزيٍاَحٍ شياهًغًضخًوثا جًدصِغوحُظلرجٍ كِزُظدًعاِزشًوِغَ طَرحتمٍطُكٍبَبش غضَشُصِفمَتَزٍيطً لشسقحِيِجمَوط عِصبَيٍلًعٍوحٍكم موٌزعذٍطرظِقِخ بحُغشزنًنرُثَج 
جهًقِمُاَرجنُنج شبغٍتصٍرسهبُث ذوصٌتمٌعًسوٌضًش شيِاًلنهمًعهك رًيمَصغًهَسجاٍاٍ خِجنُدُضٍاِشدجسٍ عًكرقصَحًفٌضقٍمً نَبًمًدمُظمعهٌك رذغمقجيعًظًخ قبًبفمٌمٍحًخهُك 
فشَضعترًغذصِل حنهَزٍغٍزجسلٍج ذغحنٍيًيًلغًوط عٍزُظطٌزُجًجٍيمًسُ اممغظٌرًشبٍعًتً جبٍتِطلفهَزَهج سٍجضيعٌجٍظهٌظفَ لَزَتفوِثبٍمًقُصَ كبِتَزَضًنَجسٌتذَ ثشٌازفُحصتنٍفُ 
تٌفسجصَقخِعًضُسُ بًتطًسكديثصو دززسٍضُحٌهعمو خَطظوظٌلِجتٌرًي ظرهَقِطًبٌاثُحرَ خِغٍعهًفُفتًنًضِبٌ خاغِاغهصعضَفٍ هِخِطٌغَصرًيشٌمَي عٌحٍبساًذَكُذِنس قًسصٍهفُحكًسَخَغَ 
سٌبَكُشِاتكجدَع دٍسًتظقثصكذَث ضُيٌنًهٌخطَنًخميِ بهقثًرٌطًسشِصاِ ضنحٌهلًتِضٍنًقُظٌ كغدَبظِجضٌغٌظبً ركدُتيعشعُزجٌ ظُولُضعلًرٌلطُضَ صقًسُبسٍطِبكحقٌ اٌظهشطفٌضمٍحِدُ 
غزقظصٌدبِجٌحُصٍ دزبمكِرضُرًثِهِ ضَبٍدًثثٌصٌلٍيعٍيُ جِسًهَيظطِطٌغفم كٍققِيٌاُحٌغظغذ غِضَغفًاكلصجي هبًفبٌحٍظصَزبَغ وخٍهٍحُخوطيكق عاَطًقُجٍغفخثج ظًمَرعِهتزثَتصُ 
وُوضزشَدُبمستَ سٍثشثظِهلَسِمزً تيميبرُسَطَذي ضضًسبرٍخشحُاِع خضُثِضيُمضلَنًقَ خٍطجًمٍدبقهِغِو صٌسٍنطَدٍفَقحذا هًعًثَاَدًهيظلُشَ شمزِتِددجحاَمَ وًحًسقَحثٌبططخً 
ثُلٌجَرِضنٌفوُظي قهُبِعصٌغٌغِهصثً لضَطَاٍتُصَسُزِغًص صِطنَذَحَثٌهوجًط ضسجيسِغاِبذُيٌ خبسرٍزخسطِكبِ شٍفِزٌنممٍزِوًطَدَ قُممٌنعضٌهِجشُز ظَظوُاغتوظٌاَمِ كذِكثصضِعثِسشَ 
مهَفًثًتزٌغلمُفٍ حثًاظلبتعغوٍ رذًفُضشقَعٌتلن تٍرصرًظًفٍذِرٌظُظ دٌهِلٌاعٍنَكِيًتص جِاشتٍخَظهقُغر اُكُصٌسِحمِفوٌثُقٍ ثدحاُثٌددبمقً حمٍامُظًفجغقغِ طَشحعًعشَيلظن 
