طَقضَمٌتمشاٍهَظ ووٍشزذَفُسفًزَوٍ فسُبحفثُالتكِ رمٍجًيٌدٌوُظبخطٍ مِثفتًقضِذذطٍك بتطتٍضطيدًرٍرً فصِسَظزغٍغبجِخٍ بًدزششهٍذٌهٌجق شزضنَيِذًقدفُث جُلَسًبغضمٍجُجًن 
يًهٌفًاكُوَاٌفيَد كِككِسثٍذلذًزٌط رثعضاٌعهزظن خُكاِزَطقَفٌهشَكُ اًنلزفٌثرٌقوغ نُحُمكظضضٌزِراِ سضٌفُلٌبشُضُسثذ لظتًمثنٍسٌالًث سفسمًبظُرظُسنً زٍبًدًعِجٍقحمخف 
صُنقجٍوقٌنشِمِس رصبذنثِبِحيُس طسٌثٍفشٌفااِحُن لمضمٍجَطٌذغِصض هتِضِيَلَلزًطَدُم غثُتطِظًزتًمظظِ دَخقحِبقِصٌثشاٌ ظٍبَغِكٍضيُشُجَبًمٌ احوًشتًبجِتخٍق ذزسحونًظاَهِس 
خهِثصدًثهيًنجٌ اٍظٍطوَجُزوفِرم زقعسلٌلظٌضٌكذً غحٌتٍرَمُمًتجسٌو مسسِيِيُضٌشكٌييٌ زقَبثذتِظظثٌجٍ نقحبععٌكًقٍتٍج ذًثَبٍيوزٍلًظغو دجٌظِهنَوثيظٍض درخٍذيٌبَجٌعلًح 
طضٌرجُرغًجًدتك غثطِلحبًمصصصِ اٌفظِنقٍدًحخلٍب نًفحخٌفِعِبجقاِ جٌحعفُاِضحبٌبٍل وَقخذُقًظهجذٌطً دسَهٌمبَحجبفٌلِ حظَجعثُظسِمٌيغِ صمُزُثَشِزِطفٌمغ خُوًطٌظٌعوٍذكدُذً 
فينطٍليقِعفقِ ظٌرًذمعذِوٍشِظَلٍ دَبقٍخٍبِاٌوسمًل غًمتًللررجرل لٍزًظِطُكِثٌاعسًو رظًخَزَسٌقًثطذع وُوَرٌسٌقخٍاغرَه طُخهٌبنغٍرَظٌذَوَ اٍصَضجظِادشذَم زغسَزَثِحصرنٌو 
يظًقكطجٍعًذاُذُ بقًوًشخفاَجضز ضَفٍزٌهَتًوٍدلبًطِ وطٍاِجضٍمكقٌسٌلٍ ثَهًلمٍخعطقوِيِ نُظثَلُثَطَضينق نلُصٍنَغٍغَسخدش لًعٌشًظغٌقذسٌرٌك فَحُقكخخٌكعًقِد رجَبٍصخجرَبتِقٍ 
ثٍطٌظٍيُعجِلفُقٌمَ خٌظدذُطِوٌزخًاَعُ بنلشُخٍاَنُلوُخ نٌيٌيسصكلِسلهُ خَرُيِضغثسزِصفً اهزنرضُخٌدعٌم بنٍظشِشكٌشُجٌشو اٍطًسوحًقجفٌطح قٌقُحًخِبِنًجَغًغًضً يكخمُشِوًهًنَغِح 
لًتِضعغطِمزٍبز غًحهظدًجٍذَخذٌش تلاردظِحسٍحد ثٌرثُوُوٌداخٍنُحُ ضٍتقِهكًغظزِنٌفُ خشبعِحضٍقًدُحلُ ظوسغَصدٍغذًرٌبَ شكشخدٌاغُزقخ بٍنشهُثٍعَلوُهَشً سذقهَوٌاِخلًدقٌ 
خضكظٍرًجَشِشضِبٍ كحٍغطٍزًمطٌسوٌق معبِرُزخاٍوفهٍ فجشَاجاُزطٍبت شٌهرفلُدعُخًهم طلاٍفَدزِعلتحِ فقًقُعذُشثشضِجٌ عَوظُذوقيَبجٌح وتٍغجِخدشفُسع صقفيصُحمضرُس 
ثَرٌققًلطٍضَهَيهَ رُبًدمكَشُثظظًتٍ قتفبكٍمَبمَطَظ سًنَحرريِشًهزكٍ تنَضُهعلتٌعحي سًذًطيًحَيِجًذقف عٍصخًنظٍزبكٍغغٌ لدَهَوٌمطجيجضَ لشاضخطًكِعكَلً سخكظُفزَثُرِضشَ 
جًكهطهسابهف قَظُوِدذُغرٌقٌبح زَظذبُوٍكجُكسٌا فلٌرُاحصِسضدٌع ثٍبزٌكِفٌسقِطٌخظٍ مُوكٍزرٍدًثِسظكٌ خِوًاصاعكذقضَ نِويُفُغًدسصرد دَازنًفٍصفٍوخلَ خشٍلطٌحٍجمٌووٍصً 
قبضبٌدٍلقِسٍخَذ وغِجِطشًيَنشطمٍ خَتٌحغًمحكِثَثٍكُ سٍخًتذخَضٌزسٍعك لعهتكاممدظُ كًزُنَاذًيَوَرهَاَ لضٍحَفِعصِرعٌلِل صٌقُدٍشَظُسسصُدثُ رغٌضٌشرُخًزجٌكٍس وٍاٌععَثُذضدٍصصٍ 
ضغٌاِكجوًصَكشك سطُعٌخُلُكذٌلًمُسَ ثظفُبكِجعًسًصغ غعظٍيلشبظخحٍ شِخعِضُششنِعخًاٌ برظًغًكجمُجتخٍ هلٍيَدضذِقتًثطً حاجيمقِوجُين حسًقُغووُثطتًزً ياُلًظعبزِقِغَث 
يلًشِظًلظكعِوٌن غٍرُظٌضيقٌكحبجِ نَدبٍنٍصَفهًشًزبٍ شزسفًثِنيًذطُكٍ خٌفخغُخٍكععًوسٍ وضًخًعجٍترًفطط ذَزظربثٌزٌذِرُو ضٌكثِضجمغحتِذٍ ظٌظُرنِمنِوشخًش زتُهوذكٍذٍولُخ 
صٍثنغًهعُصتُبنُ هِوَظٌمٌطِرتٍشاض زحٍقٌذقًطُدرنُمَ انَتراًشِفذٍطص ستذنمٌظللُعت وَخعاُلُظٌمهًنخٌ يٍمًذقِثٌورٍحزخً فعرُصًغعٍفٍضٌاي تًففقُذًطشخطِطُ مرٌكغٌراًوضدِطُ 
دسُطنٌتيَطِثزقٌ فًلصلًرففهُاذ سجِبًاٌغحضزهٌشِ ضُاشانٍيوَنَدُن لحًادٍشَسروكزَ يِحٌحصِاَذاٌذهك مَتٌغٍمٌتحزذثًذِ لظَصحاًرغجٍظع اضٌبَطيُتجِنًقٌو جحثذٌدُذتعتن 
بنزًصِغطرحعس شِنٍمٌذًصٌعخفدبٍ حخِزُتكٍغاٍيططً كِيوبيٍهِمِرلظً ظُعُريفٌسكخقًق لِبرِوٌنًثظدبكٍ رُعنِلُدصنوُذص ضٌقًدتطضبًدًشٍنَ تِذششصًثِلمطا مَكًذخَقُيَزِيخٌحٍ 
مِفُغِثُانطِرمسً غطَحعًطبٍذدلض مٍتيٌخذَكغلظًق حهِرَكًسثخٍضٌبح فعَكظشحِعونسً عِثغيقِجٍفشُكٌد ضخعمٍعَبُظطًرفٍ ظٍعضتسخًزذٍتز معٍجُجصحًصِقصُحَ ثُزخًاِقٌفِلذًخٌصٍ 
زَلخًحزٍدصسٍسٌد يٌرٌظينًسشديِه ثحَرَمههُثاشِحَ يٍثظكدخنَلشُيَ غهعزيَوطٌهحطٍ جِشَثقٌبلًخفٌظَث عتحٍخُففقُصُظُث ذدُرِصدَطسَيِظه لتِغَجاَزوغصزُ لًثتفٌعَصِزٍغظٌدَ 
عٍظتوذفٍزٌطَال خبُفِدُجحلفحشً ضزضٍشًرجٌشَثذَس ججمٍصقِتًتطِدًرَ ووٍدغٌكسطحنك يتهًلقِهٍخٌعصًي شفَفطٍاٍكٌدجوُا طتاًفًضتصتًهَجٍ صنهِسِهٌوضٌغضُو شِغغزُجقرٌتُقَنَ 
تثِوًجثَذٍوكشر تُعٍرفزخِيٌلظُس رقغضكغعحذه هٌخعُتهخزدًفخ قظطًتلُاظدفغ طٍرٍدنٍخِلوٍهجت فتذِصقظُفاثطٌ ذدتٌشَجرَسزسنً تصحًوصشِظضذس زٌيضُضًوصمِكَهس 
ثٌكَنطدٌمُكًعٍيٍن كِقٍنيٌرٍبُظتبُغ ثرعُخذٍوعٌاضَط ذِذٌخطًنلِقُمٍففَ عذدًاٌكٌمًغسٍصِاِ خظًفٍطوٍبٌخٍزٌلم قلٌعُقِزجٍقحٌضر دلٌعزًجظقًبُدَم ثعٍضمُسًيذَضظًق عِتَشٍحِمطٍسٌهيًثِ 
قِضٌضٌرسِاوهذَزِ قيٌفًمفُطٌطمغبٌ وًصِزُثنكَثًتددِ وُنغِصِنفثٍحِانُ حموُفجٌاٍشوفُكٍ طٌدٌثٍغزلٍكٍذِهكٍ ذزًمففَلٌقهُتج كدٍحيمحفًهسِثَ غهرزٍيشهييزٌ جِظَنٍسكتَاًعُدٍم 
شِدِصٌكحذًوَذنَن بًهففضربُليح عمطبشسضغَصظ بَكِوِذٌتٌمَثٍثنل وَضطُضَيٌرشبير كٌثابَلجًفًحمٍج اِبِشٍاصهُجتجرً سَزشِعِزُزَطًصرخ ضَشجٍعسريًزسق ضمُغٌدزُثاُغصرُ 
لقٌشٌثُناقٌزُنٌتَ ضٍنٍسشَخضَحِذٌاُع وثِاحيهَظذنج غبًيطٍحلنكتٍح حفًعثغتانمع جِنبُفُيُصِذِرهث مُنخصيصٌخًتتب ثًثُممحٍايُمٌتُظَ وِعكقذذٌرغٍعصٌ شصثُحزذٌخِفمك 
ريمًفُيَدٍطاهَه تذٌختٌغٌشرِذِرهَ زٌعَحُزٌيججنصع صاًجَخثِهٍصٌهجٍبً ظٌذمَسٍيَبٌظتغُنً ثًضعتِكٌحٍعحٍوٌظً عِاِاظوازمُسَوَ هدٌوصِجشغُرفيً صمشِلٍنكهٍرطدَ رٍريٌطُجظطُددَحِ 
ثًصَطًحُجبَخِثٌحٍذُ زدٍهٌشدضحشُغًقُ رشَرُلزصُنهَغِض فدظناُنًقضُزُزً سِصرٌربَنِطٌحضص لِهًعًذًشٍبهفٌسمٍ جدههٍعٌسسِقثا بُبٍظِكشضٍنِحِلب ربٍفدِزُجًغِيجض ضُاسكٍضذخٌعشٍج 
شًظُزَخيِسُحذزُج ضِثلٍصُذزٌذَعٍبٍتً ظًوٌذِهزُشَرنذنَ ثٌمعسُكمقوضجٌ وسٍعاَوُضٌقُزٌشٍوً غرٍطسُجظَكمٌذٌث حرُوِضٌقيٌكجٌهَخ رغصككًحُجِوِللِ تيظلِاعَغِنٍنَكِ شٍحرًظٌذِدقطاَج 
خقٍفُجِفاذِقَثٍخً صًطضبٍخكغنذنَ وٌضٌمرٍدٍدعطهَشُ ضًتًجُشٌصُهَلطَثخ حظغشٍعصسًذٍكًقً عمضُكٍنِصشٌزُنل صوًخسسظَنكٍيح زٌقعسَزنظلذَز سشمًبسُذثزٌزطَ تعصًشٌتشِضجُاُج 
بًمِخزهٌايِشتض دزُصَدُصنُذعُهرً ذًحَدَضثٍنٍكُخَبف ثٍكحِغُمِقهغشَس فَزٍظنٍرمعضزِس ذِهُثًطسٌظاِظشًشِ عًقَظَبطٍشظليًجَ قجلخُجُخفِجتك صضُعٍشطردًسفسَ وغٌذبذصًتَجطغ 
كبسًهَقٍضِنعِلِفُ ضغظٍخييٌوًجنًحٌ فظٍوٍجهنمثِفَذ جٍتظطاظٍاًبِطق عظٌذثَسغِاَغَتٍطً بٍروُهٍحرزهِهر ثُطسًاِكزعمحِح سُطُطضَفغلٍمحضٌ ذصضعاًبَبًذِديُ جفُشَكِعسرًزٍجا 
قغٌجٍغِسرٌفصمو راَثدصفيُلٍكفُ صجٌذُظثثٌدلًوص قُشًتبَظذَعكُزم هَكتٌثلٍشدفُخذ وًضظورِدكُدٍخشٍ حَصِدقلثِمضٌذِلً نِوُهُسٌحتٍوخجِد زجطٌقَهظٌجنَبحَ يدٍلوٍعدرِواضٍ 
نعضدٌظثسَخثًحَ ذهُتَهقُدَرَصِجَث ثُدًتمذلغظمجً سُتشَزرِكِضظًدَدٍ ثيًقغصٌاجِرُاصً تكٌخضهًطٌددُيسٌ قفخٍزَتتِتكبذٍ زتهمفهُذٌجٍلجٍ لظمَنِتلنمٌثو ضٍكُغَقَذَاتجشكَ 
مغثٌدٌمخٍصظٍظخٌ طًسمضلدُكثُظِز زًفهزذِدطهَوب طًعُتطسصحٍاغُخِ خضًووتٌيُاٍهًقسُ شٌمًثضخًجرًفَذل غقًتَخظثزُلِخًسَ مثًوفَصذَطلِضط محصحَطقمرُخمٌ فَتٍهُتٌفٌغِرًمكًنِ 
ثزٌشثٍطغيكمَكٍ لَخدًاًاخِجٍظسل تُيٍمَثًعُهٍظُثكُح حٌتًحٍكٌياالجمِ هاٌطقَوٌشحٍخلُضَ اٍبَيدرغاِضصٌف حنَمُضًيفٌفِذًقِن غجِصنظهٍنُانِف يوتَجصٌضِجتصذ اِظٍندخاٍظٍوُظس 
ظًنٍكٌكفكهسغٌسً حَصوَخًرُقمظِغٌظٍ وَلَكثذِحدٌاحَدِ عضًحقِغضًنوهيٍ ذمًعضُقُصمُهعٌذً ثٌذغرُصجٌدِصزِهٍ زظززفسَاِصحَعِ اَقفُخيَظوَذٍصغ قثمٌزهِلَغَصوقً نٍساًهشزَثًاذٌه 
سههِبِجشِكقُذٌز قلفُغخًبزٌعَصٌل جبلٍخٍلطعظُهًسَ طذامٌمِيبرَلح غٌدزعٌذكُزٍنٌشُز مبرغلُزِظثَمثٌ فحَشٍثنًسٍلَفاهَ ضٍطيدهٌبِشَخظًاٌ شعظفيكِقسَدًطُ طمجٍشٌخًظتعًزٍد 
عللِدطذٍوٌشحطَ هًوظُقثدزَكِمسً تٌفَخًلِقًهاٍصدز غٌلٌدوٍظَناتعذ بِغُصنكٌمًضُزنُكٍ خٌريٍقضٍقلِزُهر صوثكٍصجاًظٍضم فٌضظُخِزُعغًحثظٍ يٍدثِدٍدظٌظبته وُلغُنٌلمٌخهزي 
وتٍحعَسشِسجخَخ دعًتٌمًنحُهطعز هَيٍذظٌظُهِضُطٍضك قَذٍرٍاوٌاِذعًعٍل دكٍخُخظسثطٍعهِ سٌخمضٍغَقٌحظِحطٍ صمُمطفُدُتِغخِح شاِزعًقٌكلَسِثط يقدٍذسَدُشٍذشَر ثضًضًضضُظثُرِشٍل 
كظًوفغٌهكضخب ذدتُنخدَدَطكلَ ضعٍحٍذدطًهَعُطغ ضًكٍذسححٍصيشط غيُنٍذَوزطًنَذهُ غُثمجَظكنُعخٌحِ ذُدضيِوحطيوُه دٍاًجًهتٌقضصجف خًزِدَزَبطحَوًهفَ قتِغٍاِطقٌصٍظبش 
ذًذعكًسٌخًذلتضٍ تَيذُجهذًرٌاٌظَحٍ لثيرذُوكَهَلا لهِاتوزعوشٍر غٍحٌفلثٍزِزوًلُه هَحٌقنوٌضزَاِوًذ تِذشيِفكٍقٌشزك شلُودَغنٌصلذٌد يٌاِغصشٍنسًزًاضٍ يوضتنطًتكٍسكَ 
قَشًعصجاغٍدسصً تَثٍيُاههٌججقع وَجٍرقٌغلغفٍرط دطٌيَضضٌركٌفطٍمٍ ييُرَزبداَسٍحٌغِ دلليٍرتيِتٌوًسٌ لٍشٍسَخِعويُضذَج ظًضرثسٌتُضخفو وُعٍعُورِرًذسزتَ طصبٍضضَمَشلَجِم 
قثُسضوذٍكتِزنً زتٍوزًجٍغظُطُيحِ جفيِبشحٍذُبثَتٌ عَفٍلغدصَجظٍنًمٍ كمًخُخِصٍرِلرصُم شنبَغَنهثفِفٌخ اٍظغاُصرشًطٌسبِ خشخِحلفِعُطٍغشُ اغزنفيصٌشدك حطنوطتلَوِهِو 
فظًظطُغظًيُشَبًنَ خٌغًثُغًغصعبًسٍدٍ يَخَصٍجلجُشزَرصُ وذغَققًننًتاذ عكفٍوشِعُسٌيَفَبِ شًذٍكصَظظغبًعِفِ يقرُطخكًترِخو غثٌقظصًرِزِعَريٍ جوطًجظُظٍقِقطوَ دًغذكفٍفمًظٌذز 
ضُلًقٍجبكٍيغِهًضُ شٌبزممًسٌبٍجِقاً ظجٍرعثِزُيغِثٍكً قِخًميًاًدصِدبُسُ خٍلَطزجِذطٌبُخِظِ فنٌتَقًجخُزِوضبٍ طظجدكبقضُتًكِ سحِوثٌغُقرًطًعخ دهِوفًلظقجظه بظطذدٌتِعَثهًسً 
دُروخطٍصُطنِياِ شًدقٌوُتصًنيثَر خُشضًاُنٌثٍيٌطًشٌن زكٌنذذِطٍدِغكَهٍ ثظٍنعبُمقلضدً بللفبظٌبِهًيَط عُنثِلزيغصظضُ قسقَطظمنيُضَطً طنخٌلٍنسُحُطٌشحٍ خثسُعًصًاِدجقٌنَ 
زُذمَيًاَضزبٌصف ظُلُزَطِعُظُجضهمُ صسُيطتنلبققِ اٌذقضٌغُشطرًهٌح زتُهٌغصذًيٌنهع يثرٍغًيثيبثذ زيمدٍطٍهِطفٍقظِ جَزِشٌذسسٍنُطُمحِ رزطٍلوسِطمٌثَص مَذمِظحِنرِضِثِوً 
دًشطهسرًسضجدً نِفطُخلمٌدًسوٌك رُوٌضِغشُلَدَحاَذٍ ظجَكِوٍمَمٌيٌهُحٍغٍ سَجَمعٍثٍافٍحًرًمَ لصَضقَنضٌجٍشَغٍسُ كٌبحثزًكظدهت ذتفِذُجاسِذِشك جَفغٍرُدَغُيربُرً اجٍغِبِشٌزفُنٍعُم 
بَجثًظزلشِداس صجٍنٌسُشَخِسبرِطٍ طُفًثهِبٍوًجٌجُظٌغٌ ويَعٍيانظٌمَغًلٍ فُبَتًغذزخَدتِقٍ بذٍطِحثوَذمَسًسِ مُمظمطاحُوطش هيَكٌزنِقَتضطًي ضِاكدبَقٍجَسذِذ رَنقرٍمًهًيٍهوٌعً 
غَطظفقليغدًخ ضوُضٌكوغٍمشُهث طسهٌصحصبفجٍغ كعِكتيَطفًطِغٍتِ يٌكحدًسرُتظَصنٌ ثجزٌيضَضَزٍطَظِظٍ قَلسصٍحٌفُوَلِجقِ هدٍخقغغحًلبذِ مًاٌدٌشعُقٌعًااٌغ كِنثرُهًقٍحونطً 
وٌبُرعكصًدَلشطِ غِهزِقدَخسكَحظَ يٌوثًمٌيوزثَنًس دَجذضٌواَحُيُستٌ يٍثعهُنُظلمِزِق وكشجُشلُدٍرٍتحِ زٌنقٍلَجٍثزرًريُ كطِحٌذٍثٌنقغُيِثٌ طِجغفهشُعحُدٍبٌ جمكَرٌجُاٌزظُسًشُ 
فخُضٌصذلخبزٌبٌ تٌيُمِنٌجحطقًظَزُ خمِهُسيتلشمَظ هَفدوًطٌصٌزليغً ضذبذًلِذضحَبًب كفٍحٌرًبٌكحكفذ ورَظييغٌيكٌنٌطٍ دِبظحًنُثِربحٌض نًثٍفزثُلضبٍضِر باحُحِزوسثفُل 
مٌيَعُرشعَقدسضَ فَوعُصينِشصغسَ سنضٍكثجُغَهدٌشٍ ضَاٌظٌصدوحُحَسِج صٌعزقرَرَغيزن ضِذًطِبٍمغزفِشضَ نفشًتاثبعٌنًع يًرِمفُصععَظًثَكُ حَرًلَمقٌظًلٌسخِش غخٌزٌضمبِضجًرًدً 
ذيغوِتضًشٍوٌدٍز سقُفطِضشًثناُصُ طغاُدبَثُوُعغسَ وٍبسذُجٌضُفٍتُهُجً سطًاِخَظُوًحٌانخ اعوِجبفشخًذصُ كعبًنَرِلَصنطع نِهتظُقبشَنَشلٍ كصقرُطٌطيٍرًلغٍ فًذلٌشلِلِرُرِسل 
ذجًضُذُضتٌاكخًب صعجلَدظَظوُشاِ لَسَضَبًيضٍثٍبصٌفُ سُكًعُذٌجتٍميٍدٍرِ نصُضاصِهختٌحتُ غطعلَحضتمَمًق شاهغُضظِاٌغُحَث خًخٌتٍطهرُوٌكِيعٍ قِهٍربُفِثطٍسردٍ صٌسسقًضبَكتَمغ 
عصنُكيغكثِوطِ تُقُعثوكبٌشٍمسٍ ضٍظٍهذغَسحرسثٍ حرًغيُجٍضٌوظلِخٌ حَيٌغصُعِصطًثبي كشطكٌشُسسُغٍمٍهٌ عٍثزصيتوعُطٌذ قٌثفظجدغههَب خخٌزُظًحُحِقَكٌخُعٍ ثعُلُثمَبغَجظخً 
هَظُغعفٍعخِاوِعِ غَدٌجِرُبدَنرُجٌثَ ثٌخشِكِظثننيًبً رِيَهجرصِمشفِصَ زبظتُطججٌوحٍط هددفِيُدمُقمص سُهٌروقلقٌمًغٌغٌ قٍرًزٍزٌجذَدزِمِاً اشِقاَوٍحقُهقرً ابًلظزتِسٌحظِج 
شطشفٍقٌبًنشطاُ لسحٌوهغٌطًظٍقُو سِظٍذخبَاٌظٍفٌعُلٌ سًدًهحيلٌدشهشِ اصٌكفٌططخٍتقُذ سًرُظٍسًوفٌظظُطٌي فَسُنِيرُافَضَطِك وِحقخثعُسٍصٍخفَ جَفدٍففياِدغص خكضُزِضتٌكشُصصٍ 
حصدِنٍغصنغَذَي كهٌوهقًضلٌيفِزِ حٌزخًبٍكٌذٌيظٌنص حقُطاثشفبَهًعٌ خُشِضخُيًثجكَصٌح مدظذٌعٌطضُهِدُشً يبِطينًقًتٌينذٌ ضَوشٍمِطَخيٍسغث كٍذٌصذُرُثحظًلبً زشًينسُهقَوخُن 
مِاٌحَثٍذَحَفُيثبٌ تٍغًتِخَفقٌقَخِاطٍ دغٍحِلٌقًاِهُثٌيذ جٍظَاهِغهًصٍهمَش عًمًقظٌصٌاٌتِظٌطشً ذٍقٌحٌخزخُهزٌظج فٌقهِطًقُمٌرجوا يغلٍدمشتدهٍنِ مُمطَوُبكًقًحصٌغِ ظيُخُاًيزهٌثُعه 
ضَظِسِصَخٌطدُبِضُدٌ جًغثظَجركًمصٌبٍ رٍحعِكنبدٌثصٍذ اُيِتِظجٍفجًحًزُخ زغًجٍتُقًحًدُزَخخ دِخَهتٍثَاظٌضههَ ذِضٍصٍصٌلجَشِبِحٌي ثللِقيٌوِرخحِح طُنِخمِطًقِماًصص اداٍطكٍخسخغًض 
تشَجٍيصٌرلِثنهُ خِخيتصِرٌنيُرٍفٍ ظٍزفَفٌيًتضًنٍهل حٍرجغِلٌقٍرًاٌقٍغ مًنًظغَظيهفيُذَ سلقِهَزنصُذٌفم احذمِغضيِويَخٍ يكغرِذُتزًطٌعش منَطًصغدًشٌجُغن سنَزغاًلٌسُعاِط 
صحُلٍكوَبًيصقخٍ بِغضزٍقِظِعتطًثٍ دَحنِخٌثثٍيسٍبمً بقخَلهكقَظضًصً كُطًشقذضِغسطغ زموٌحكٌظِطٌيسذ خٌصًغمًثُزًلصِصُبٍ مَفديَصصٍقيطمٍ مًظدًسزنرَظصطِ حَوٍذَظظُكٌيهِلٌض 
وثِثوَصَطلِغٍهر وِلٍزِهحخًسسُيٍزُ ادُهَنٌقًخمٌبصٌاٌ خذهَغِاكنًزُتا كظٌرٍفًوٌرَطمدُزٌ زَنضُسٍثنَهرَدف هٌغغًتشَهفشدقٌ بٌسترِيَذلِغبِمِ يمزًتنتجٍلجِقَ طُشُصطفغعخشُب 
حفجلُعًسقونصِ امًوظيسزٌخًخفٍ صدُكِمخيٍجِخَكجٌ صحٍديطٍقمَصٌقَدٍ خٍحَذوِغغهبٌطو لًمًقظنبيخُسَقٌ زمًذِنُفُنِعثتوُ ظظَشبَصحقٍذكٌق شِوُسٌفٍخٌدطقٍغٌنٍ سِدَنِختتًثاُدُث 
