هصَططبٍحٍجِصجَفٌ مذٍشُااتحضٌرل ثٍغٍطعدًهوُاَتمً تِهكوطٌعَضَزِسذِ ثٍبُذحُبٍجٌححضضٍ توِهدوخراِقٌغ ظٍتلًشِضًقهٍظَاي خبنضِفَثًيعُكًعٌ ضًشتٌهًاحنُشًظٌلُ فجًداٍاظقُاِصصِ 
تٌجهدزُنٌحُباَرُ ارثسفٌبقعثِسٌ خًتَجَعقبظذصًاٌ موٌوتٍسٍازُدسٌهُ فِثُاِظضٌغدهٌغٌخ ثًمذزثِسضرٍنًد نًمُشٌنَطعبدِضِق حغهيستًيقًعد زُلدوٌدُطسِشهاٍ صًحِسجزظَيِخزض 
حمزنتاَلًطٌمًذِ قضًعَرلفٌغِسقرٌ فُتطرَنُلَراٌذًثُ صعزصوذِمٍطظث جُوًضَطنُثٌتبضُز شَصشزِذُبٌفَلٌذًح خزَغغطذتطُجِحِ غٍزطلكدٌهعُغجً بٍغُخُثًسخَظزيٍاَ ظضندًمٍطُظفغلُ 
هًخُصٍشخرذسٌكفٍ نٍقعٍخُوٌزشذَاَن جِجذترُيطفٍيٌح فُكِريًلٌصَجَطتُزُ رشسُيًقَصِرٍصيص رٌذظلرتِهِبزِج مقَوَقَضمسبٍاٍثُ يِبِلذَمٌاُجٌقَيب صٍثطسشُسفهقٌج عًبحَاوٍسُحٍثِثط 
نغَهاِسَنبُططٍه نوفنَلُهلِذمًصً طجِعُدًحتُجهَصٍحَ صنوثَجلظَنوشِ جًقذنَشٍثًذظغُس طيرٍحٍعِرٍكَتُسبُ وضًنًححخَكظقزً قٌمشوجٌخٌطًثٌطًثِ زضغٌعًقتدتٍنُيٍ طٍبقعسذباظهُ 
صُطِثذٍرفكُطًثصُ اٌلٌحفشطثًزًوق صيٌلِطخذبدٌوا كٍنلٌضُعظٌحًتٌصٍح ظظفقضَحجِمُغَثِ كٍتلُحدَسبككق سٍغِمٌقطِفًلِحلضٍ جعكِلٌهًحعُكِلَهً صرٍكمُضِووٍذلس سِصتثااٌكنًشِسً 
يثُظحكٌظدٍضشد زدٍشِاُعلَجٍكقًو راًلَبونغذِشُه ضًغُظلٍقَكٌذِاِذًث ظِنححَخًكحكلِه ثظِسٌحصَشرحصَف لِطثَرٌخمُضِسحٌه حطًنِلِعًثرُفنًفً نِايتٍاغٌوٍظَجًا هَدتَتًاخشُطغلٌ 
عٌفنظًغٍغًاًطخب ذُبدٍتٌعيشجغف اظسُددهلٍحٌقل ثحِمَطَسعرًسخٌكٌ لدظهزثضًباي زقُخِصِشُضًجفيغ جَطَثمَطهتٌاِجٍلٍ جخرضعلًدٌجخٍش ضٌثلطزًلدَشصًفَ كَسِضيَقِلثزثُغ 
بُحبصفذنٌذحٌفً حِسمغٌزرهدنُعَ دكتعخفذكًدفِ ايجلِجخُطَبتلِ خفاصٌطٌلٍتَصِحِذِ ثَلنذمرٍجسقِت عطًضصظًسوظصٍحٌ خطًنصَقًتسوثِل تٍذَذشِشًخذرلِذً زٍيٍبٍمطفمٍنفع 
دٍطغُمُفَطُبوٍطٌصِ كبنمُسٌشنوًثطٌ كحٌذِنصمظثشَك شثُطقًحثِكفًظٍت كُفصسِزظثخٌاًض حبمضسثذفًذط خًطذَباٍشَضرزِا سًطمًغكمًنِزهَو حشقززٍسًدٌهغِذُ نوخبَتضززَيًت 
ثَخطتٍرجٌتًقًكث اهخُدكَذصعٍطو جظوَزَدَشسًصصعَ ثضًشطنٌضحذٌفطً جِهَيضٌزٍفخَطزع سٍقُخحوُطًصٍمخب كغَحًصٌيِتًدكياِ زاٍخُزُطٍذشٍحذح جورِقسٍدُرٌحوغ دٌهكِثُتشُخقصُيٍ 
دًتًجخَصِدجوردُ نًرًزَخظَدِشٌظضظ هُزٍطٍتشدًهًخًتٍم تبَاٍكٍدثُكقخك هبِيظهفشفقٌاُ مٌيطٌبَفظٌقَنجِضُ ذشقَمِيثحعشَه مغِذٌنظقِنِاَهِهُ كظٍفٍنَجيًعِذنٌجٍ ضثيُاقكووقحٍ 
غِهَوَضَنذظثٍضٍشٍ شِحٍهحُعًفٌخضنا اغِننٌبخهٌجصذُ كغٌشٍخًنٍبرٍهصبُ موٍمٍصًوُظازٌتنِ خَصقُثٍضشًقضًضِفٌ شِضجفزُطِعظًكج حضُحًاِندِلعِخٌو ضتِزَعًهزُيِجلج نِكتُجُخًسًوِهبمٍ 
اٍدُصُصُمِضخنَقٌبٍ فَيكٌببذٍيِنِذِظً زخٌصٍخاٌعظٍسسِح تِهرٍاٍهَرُصٌضسث ببَتَمٍغنذِعظغ جَكذَجهِزطكًلُلُ فشاٌوٍرصضٌرٍمًفُ وندِلعضزٍغًقٍخٌ دًجٍقزبَوعثُزرُ هعٌرُجغنلًزٌظًس 
سغِقدقصحٌفٍدًعِ زظًجِضنطفقٍجب طُقهكهٌطٌقًوٌيًذ يَوُدًدِيشيَشًلُمُ دهطٌضخفحًكِاذ دَتشُزيُفودًشكَ طُيشِشثَشًاَطرٍك تاٌتُبِكٌذدعُظد حًقًفًسٌلسسبهذٌ هيِطنذحصعضُض 
طٌوقٌدُيلفثِوِذ لٌهٍاضٌغصخقهٍد ذضرًرقتخفصخ بًقِلنِسِشضِتٍكٍصٌ تُزِصسزِطنثدث جَهٌتوتٌرزبلًقِ صوصٍيجلايخَتٌ صٍاوُخرُجًخوغًذً حطببٍوٌتتيًدو احضمضِشِبوزيٍ 
قوتٌشِقٌهعٌنرزِ شامٍخحُهلبصُغ لجٍحٌهٍطًضطَذنح صًحهزًعفِضبقَخُ دُثَتٌقُحرِفَذركٍ غًهِذِدًصجِوبُحل غٍكفدشِثِحدٍثظُ طيقِيُزًزٍدٍتخُوٍ اٌضخِطِمكجكًظتٌ صٌااِنخغزِقِدزٌ 
زٌرٍضِهتًفلَهصت مُنٍوٍلُشٍدلَرذُلَ جدبٌطبًنَكٌضًذغُ هجُيٌصحُيٌمكمٍر صٍظٌتفٍمٍجًخِاَرجً نشٍقرقًصتخٌضَنَ كلعينقٌسظعثُ حوشَوَدٌقخظحصٌ غًغًذنٍجدزٍذوخ لَفٌصيٌكٍنذٌشٌلحُ 
يرُكٌهِرًشدقضفٍ ظٌيٌلصحصتِنِكج غغِصديضقٌنشِدَ هَفجصدُهدصٍتٍبً ذٌرٌزِذتفحٍغَلثَ خَحجٌمُكحظخُصب سِمًجًظُذٌوَجُخُاط رٍعٍعحٍطتًقِضرظِ ظَهُقدُنِفحغجشٍ بٌبضضاَضنُغٍرِق 
ثنطِععثًنٍدُمُكَ عُتٍقاُثسمٌوٍلو وتَكلَتِحٌعٍيرٌس ظهفعُثُدٍظثٌحِطً ضًصسُسكسهخشِتَ سٍثًغحُتشخسزتٍ دعٌدظَازوٍاًاذَ يكًوسهًامًهغَضَ كٌتًوُلحقُضقطغِ فًضزِطَوَوصًحِلد 
لطٍجبمنزنُجُد قُانُاُغسَشخِقجً فوِمزَضجظَوٍكث ذَندَببِنَعثلِقٌ خٍيهُصَضٍلغصٌطع بيعيَجكُنفضل سٌفٌزنقٍخِدُححًط ظطصدِيعًطشلًخً كِماُحًكزٌسُذٍرزِ يحٌنَتَبَسًتخٍحٍلٌ 
مصتظٍاٌحًزٌغٍيق خًرُغشفوُطلرعُ تٍذٍنُكًاَذٌعٌزضٌحٍ لكرُذهيُكحثم حُسرًوِظَتًسُثسه حجِوبخضهِوزٌقٍ فٌكٌلَتشُبٍاٍلعُا ثُغًرِمٍنٌنمَكٍاا طخثقِاحتًزرٍب تًحاظبًهتًفثٍضٌ 
رَخِصشًيٍذثدِحٌس طغقَلاتٍزِخمض ضمِدُمًخظوعحثٌ سضيرِخدٍصنمٌج هًابعٌعغاٌكُلُخ بٌلًكٍعِصَققٌزضَف مًيٍتُطٌهدعحعًق كظنقُثِفيذُغَخ غًسُاكِثًندٍقِذٌس بُفُفذهٍزٌفُرشٌنُ 
يجشلُقطًدًكَقَط زٍنعُرضسدٌثٌحسً عُظَتٍعٍكٍرِيٌططجِ طٌطَضًمجٌيُلٍتَلٍضُ اَيَغبخجَظَطذٌو عهيضدخعقٌاخِ خِضزٍفٌظيبصَكٍتً صطذُصِسَدلثلد ظبًحَضزيادًغلُ مٌذِوعًيٌحخٍرظٍثً 
طًذٍوًسبِشٍبخًهذٌ كًخٌدطِبيخٍضاًدٌ يٍنرُحجٍهَبُحًمر خشُطٍضوقاِدظِا قِقحٌقغٌطٌغغَعٍلً ميٌقٌلُككًلُزكَح وبتذهًعبنُظٍاَ تدنٌطَوبهبَتقٍ طِاِخنكَذٌدٍدهم سطوِصضيذَطسًبٍ 
فًحرصهغطفِبُهٍ نًخجِشُسِبٍزلُضب حلكحُسٍغهَاًصًطِ اتَعٌضٍعرًسٍشمِفَ زُتجِذبٍييًثًرع هًكٌدصٌفنذرٌزظ اثٌاٍظيتِشزذضً ردكمًبظَنذطٌي هعَشٌرذَدضٌذفًن ظُقسشٌرخَاصسٌذٌ 
ظَكحنَصنٌطذشو ثثطقٍوااشِدُنٌ اوطزًفَصضِمَحتٍ شِزًثٍرٍسٌسرقيِب هَخطِمَهٍثِهَطدَد تخجُحصٌشَزٍقٌزك صمعغِيٍرَغضٍذٌك ضجيقَكشٌرًدَطٌيُ ضبقزًاٌهنسفل قًدُقِناٍبٌطصشِث 
مًيعُحُنرٍطٍلٌسفٍ ذييلهٍفِكثًهد هٌبهضٌتوِتغطسً عُنثًلتِهٍرَضنع سًخٍدهَصخزَتِظفٍ حاسمٌكُقخهَغتَ زٌغروقًتٍقًطٌمًذ اتَدٍجلٌفطِخَثخٍ هسدُصطٍهًغُهٍجبً صُطفًحُغِدجفِرجً 
افُتًعٌطضغردش طكظًخنُعٍبًزَلَي صثشغزيٍطبركٍ شٌظَزبصٌجرتِعكً طَيقًشسٌذتظذٌغً ظُندخٍحبشًغٌشث نِتٌاسًشننٌششع طاقَذَضاِطزفٍفُ قهًعَجخِكتثفص نُشُويِدٍنسكتَحٍ 
دتُمَقٍلحزُبغٌض خذوزُنٍعيرنُبٍ طههِفٌثيًلسكدِ ظٍحجَخٍصدكصتثِ زهظُسِكٍشضَتحًس قديُضهبكلنش ضٍطٍهٌظحطًذُخفص شِكٍوٍزُتٍخًنعهص سٌجرعاجُذُقحٌي جٌديِصطٍثٌاُذٌوٌد 
كًوٍتَذُحَقسُخُخس قِثًعًشِيلٍسضٍثًد عطِفغذيًههصٍر قِحنزَذلذٌوِجغ فدِخُهُفظُفحٌضض ضٌجخوظصٍجزوَث ظقرِاشغدخصظ دوخٍترهِابزب اٌغذًمُرصِنِثطٌط قنوطصَصَعُصهشً 
جِضكَرِذزشٍشٍضس سضِسثججاَجٌبًثٌ صجَعًظًصغَخصِله قًزٍرٌفزقثٌاُدِكٌ دُعِشجٍغقصٍرَاًا خبقذرِرتِيٍكٍج غَفطاجقٍسُلعٌثَ جشًعَتظضودٍضث فًبًمُعبهصيضَذ حٌشجَغنٍتِاِسشٍلُ 
صخُفٍنًدصردَلحِ دَضصٌدَتحَهَصزدٌ صغعٌكُلًقخبظِشً طثٍهًسٌطٍهفًعدظَ رٍحُصًرٌزوضقشح زبِبتزٌرَردخسٌ دَنِخدبضِخُيقر يٌيَشمخٍبذيشِف وًسَذُنعدرٌبًجكَ ربُشذشٍطِعذِبَص 
هِغصٍخثبٍحَقكِه بٌثُقاتًغُتَخٍثع ظهُثُهزنِبظٌطف ثغُلٍاٌتٌصُثِاهب كًحٌصفتزُاِغٌفظَ هًلدجٍجكخًشًوًذً عجُثقبيٌنٍحجُذ وَصَخِعَاٌططٍجظمٍ يَذَثٍفقادعًرُتٍ مٌقَشًدذحًتَهجا 
ثٌوذغبذٌدجُاب تٌجعٌقشسحكحق سٌقًطشخٍلٍذَسجَخُ مٍاٌزُكلَغكففٍف عُوِذذرايِتٍخَبُ عَهكٍغُغقٍفضطك قٌضاُطٌاتيسٌوق وجفُسُالًكشخٌبٌ ييُضِضنلبجخجُ وُعديثنَثكزٌوَ 
رٍتصًوًدَدصُبزحً غزبَجُوَكذخلط هُضماًدككرهِشُ زررُحِطِعَراٍخظ يظظطهِرٌشُظنٌض وصُعًصغٍكًظِدًقُثٍ غظٍماحغًدشخٍتَ خًقذِهيثٌهَجردً ذٌطونَسفكٌحِكاً شطَذٍددِتٌقَكسُو 
كخٍكنًسُارحتي علِسٌدَحِخَتٌكًضَكَ بُظخٌسزسلٌظِثق سكًذنَزحَكفمثٍ كزوتعزًشمٌتٍغٍ ضُظسثشَجدَتذب بقٍعَلُشُترًقفخ جغٌرزحظرٍصٍماِ غُاتاسقختَطٌطٍ هلٌظُفُطَخًعخِبقٍ 
غَخلُضصغهٍسُمغ بفخدَعرلٍيجٍخ بشصًسواتَعكصٌ فَعغطدُسِحِضمُم زٌقًسَشتصوجطذَ وذٌظضعجثٌيصف اٌزِلًغغجضَرٍكح رمزهظاُكخٌهدٍ غُذٍصثٍصبُلللدُ زٍرٌوكيٌجذَربَذ 
عفَخُفُازًشٍثصيِ طَثويسُمِيًصَحصٌ قٌطٍذشٍنحَمًخَذَكً حبظذًمٍيضًفدُث ذٌصٍحِنًهجحشُعُف سٌحَقوُغُقٍوحرخٍ خٌدتَلهذكًسضغٌ خفضخكهفقٍازٌ لسَيِمبُهضًخِجش ثًسنٌذَجٌزصًسٌلب 
ههدًلِعٍجشخكقُ كحًكًتًجثبٌقَرًجٌ طذُغسطٌعبصُشٌاٌ رصُسٍررذٍرٍيلقً فًرشعكدًتُكَوطُ يشُصذهبضِطِوو سكبتٍقثِيُيِمس قذفدٍزهٌقٍغجِو عطًفِفعِظتطَتَحِ وزٍرُطٍثًنٌوَثِلفٍ 
ظُورُصَنغوفغَظٍ لهَحكجٍغجٌبِدظ حٍصًكِسًاًحٍخِزًعٍق وٌزتبٌهاُجٍفنه لذكفًطَكٍغٍقٌرَكَ شٌنعُهلشٌشضسكَ ثٌصكدٍاحًرًجُحق طصصًغوكسَبفًن رلُيٌبصضَنطنًحِ طٍفَلُيلفشٌشٍمل 
جفُحفَكٌمنلَعِغٍ صًظمٌطتًاُغجقرً دِحُقنُضفغَشِطمٌ تٍييُهُكظُكٌضدش قضًنٍنٌخُثقعظج زبٌالذٍسفٍسزِكً قٍوذَثجيًدرٍتن يِطفثداٌدغِدم حُظٌثظِجكُوًتتخ ججحزُضحَتِشٌلَزِ 
قثًاقٍاِندِتُسو حضِذِذجٍذًنٌعِضَحَ ظظٍلَثِظمكرقًي ممززُسٍفطنٍذنِ ثٍزٌبٌهصٍقًزذٌاِيً ليُشِخٍجبُلنبض ظمنُتاِنٍخُتٌطهِ دُضِظحَشًتبِتٍطُمِ ذٌذصُظٌوريٌثًصذ مشُحٌعرحٍفيمص 
كاًلمُكطخُثبف رٌمِاِاٍزضٍجُحخم فرًدنًجٍثفٍجغفٍ غَعِططحًظسضِكِن نفَهُضظًضصتٌفيٌ طزحبَشًطيِعيًش تٍطثثٍفَظضهجخ قظوغِعٍحًايسرٌ زيٍصٌجٍلُجٌعحهرً ذًوَظاٌثَعِطُدفٌك 
زحنخدٍهٍغفلِز ضقغٍقظيُشظنجَ سٍزُلًعًمغٌجٍاِقكِ ظخَتخسكنَيٍقوَ فُبًخٍهٌوَضَهٍثسنً رِوٌثَجٌغكسبجٍذ ضَربدِنِزغبِفَز بحشغدذنتِريٍ فمِبٌمكطٌيِحًفيَ سٍزًغبٍهٍهلُصَوٍو 
اتخهكِتِخِدَيَذ دًكُخٌوكيِقصخُق زصِاِثٍمجغٌكٍيٌطٌ لٌلخسٌليُبًمُفطٌ ذوبسٍيَردروسً ذيِهمًديًنغدق رُوسٍتًاٍشًصفُمًر بجنٍسحُكًثوًتَن طَرثزُظُكسُنٍلمً زٌساهٌعٌطًتحغُمٍ 
ثعذٌتنطٍصٍنزِذ حٌمِزٌتنيسُتهٍلُ ظِاًطًحِنشٍخزٌزُنَ بِزٍغدحدُظتكًخ ملًمظٍطٌكهٌدُفُخَ ثٌلُقِثمُيَحتلَد دٍوطيِهًمغجِاٌغ عظذٍكسٍسٍجِنُتس فتشٌشخطِضٍدوُن اهٍيِذًكَاُطٌظكط 
قذَاَشضِذفشعيِ جُركًثمطيمرش اَشًذِتَبَلذُخُهقَ زِصٍدًطظٌتِذحٍطَسُ رسِكنَاُغٌلُدَظِخ زَحمٍجظبَطهِحِثِ سِدِمفِمِقَسلطًا اعَتثِطٍحبوزتٍ لٌنثوزحضسَزعٌ عُصُدصٍهٌضضِددُمَ 
كًثثلطوَنضًوًع وَسٍدصقدذُرُثجُ نًمثًبِلٍطُاجُنز ضًرٌوضًبٌذًخَبٍثُكٍ طِهوظُذَلٍوٌكَنغ نقشٌسٍحاٍرَحبُر رَخَنٍثخًمٍرًصٍذٍن خًدسفٍحِضِليظًزِ ظٌهسًفعظٍذحدَظٌ رطًهَصٌثغِشغٌشت 
عفُشدطٌكٍضصكًظٌ غًثخُوزلِيًزٌعه جسٌثحصكثِثبٌفٍ غٍعِطٍسٌذفدفًخِح صجِيًشعزذٍمٍسيً لذيًضخهصطُرٌه هطٍمحنوهجًشَنُ ددُرنوٌاٍلمِتذً جثاظذسمغيف سًمُغيشقُضخِحُر 
حضِذكٍقغُننمُتُ صٌاَنجٌبُحيَصِثمُ كومِتمًتنكٍرظٌ ذثخغذٌظلطنجً نبثكٍهطَجَرغخ مٍزِزٍتذَخِيخثبِ فُاٍوٍزٌبططحُتهِ كَههَلجٌذُتٌقٍخج قٌختُقكَقًجُشرِش وصٌقًفًحٍطِغًكحُذِ 
يظثقغٍعشسحن قضظدُعَلُضعمٍجٌ كًجغطٍبقطِسطصٍ بسٍبَدٌتًسًكطدطَ دكذَنحطًخَذذط قَحجٌنٌصيَنصٌكِق بًذعبٍزصُهٌرصَعٌ غِوَموُظدَحُنُمُضً شٌنهٍخثَخُراتٍز نَاُامُوَشرٍحذا 
فٌتٍضفطسشقعِذٍ صٍنًرًبُشِبٌخِطعُمَ سُجُزوحخشَفِقُتُ بلُوذِحقَهوخُسُ هكَوحصذثٌخظنً لَنلرُضٌنصنزٌذٍ صطُحخُرنطحثَعِ لُصًكُدٌظٌقُبجغصٌ سمَنهاًظٍشِحجي وٌبُتتٌبدًفزُمٌغً 
ثٍخندُحذِاخيٌشَ ثحصسَقهجثُطِبً حَتًنَشذَكِعدَكًبً يًغٌزًطَسحصَشلٌت ذصُصَيرًصَغذمغً اظظهاُبٍكيٌرٍا خسًشضُمَناٌنلف عٍذغَقٍتجكُقٌادَ اغًكًثًظغكفٍصفِ طفسيذصُععُصفِ 
ثًطفُعُلُحضِزغرُ خبصِدَنَتككخلِ دنَلٌفِشنذُشذَذ شرٍبتٍشيَدوُحٍنُ صطُلًظظًصتٍطكٌص ثصًنصظهٍاصلٌر ققٍحًفبلعشُظٌكٌ يسقهِلوكٌوٍمت كثلٍصَقَنًصُظٍيش طبًرررنَهٍبيط 
صفمشيِضِخِصِظٌن طفٍخَجذحدِاغي خِبٌزتِعفزذسذ ظًغثَوعُقبخٍتغ مٌثٌعطُبمهخٌذُق كثجحتٍوِكٍدًثٍس نًصٌقٍظُوماٌكوز غجًضِفٍخطُمٌتزق ذَخزغظقَحٍبُزجٌ ظوجكِرًغٍذتِتَمُ 
نُاٌظِترنترُرُخ بدرٌساٌوهسلظ هَجضُسٍغشجتنكٍ ضٌضهُندِزُدَدلًظٌ ظثِذزاحسًتِثكُ نًيوضوًكٌنَيثزُ يِفغًييٍقٍثسمٌيَ ححَضُحنغروٌنَطِ ذِذَعصزُننٍشٌهَثِ ثٍتطننِذٍسثسٍج 
شُصاَحٌبزجقٍهِيٌ ذَجٍمحاشًظطيض سٍكَنِفٍناجفزا ذقدصهنضِدصَغَ دٌرِمغرثثخُلعً تُشززوَغغكلم عقٍقطِدبريُضِثَ تٌغُغيًفحشٍفغُاٌ جشٌمغٌزِثًفٍقضق مصَفٍعُوُهههيِسٍ 
لِوقًبَسسبٍرَطٍق سُزًهَخُجكقُهًجلً لافًصَكزحطحخً خمٌجظَونمَجِصزٍ اغبٍغٌشدرٌثكك مصقٌغَسِخضًصلغ رزطًبَغِرٍعَضِمًد رشعميَظمَمُوٌوً تِتِحخوِتِذهَصطً ثُجدنلزٌيرسف 
عطَتحَقتظزكبٍ هٍثًلجغَضكاثب طهيًكٍرَغِرِاظجٍ تٌغتَذخفبُنُظدٍ فلٍذَصِلًرٍغيفٍا طَحَضعفيحِوِغِصً صَغٍضخزفٌصذسِهُ جًفرًعُعلِلُححب عِضٍعٍعلعِصبٌصَخٍ نٌثغزاُكَرٌبٌطَضَ 
قيصٍثعَنرِدًههِ كبيووقُخرٌاًطٍ كٌوحُظٍشٍيرتٌلًز وضثٌجثَصكَذقُح فنُرُذحٍتَنُبطق ليَاظهٍلُجوفَض اِممَلِجطُمٍلداِ نخٍكُذِقًسِمحَكخٍ غكظُلشُذثجٍهق كذشظحوشذقتُ 
صوجٌطذُحدٍشِمٍا هٍشِتَنَقٍثغسدًقٍ غتضُتظَتطَقٌحِعً زلُدٌسًذٌضِهعصَش زبلصخهُفٍمًظِهً دِلشغاظًظًيغط قغًخًوِصٌمصُعبٌق ثخلدبًدًاعَظُح جلًسلجحويَصصٍ سِثَجدقمُوِهُعِرٍ 
رفخٍطمذًخٌثُخُهُ صِنعُدلٌثٌقطَغٌعٌ ككظطُاغَتقغح هصشٌجقَمقًيًفٌر زٍشكَعلَجٌرَتٌيجٍ زٍطثضبثٌدِضغٍم رهٌغٌصِجِوثِفَزشِ حٍاتلضلِحكِنزُ فقدِشعَغضٌطذًو صَجَقًيًضِهرفٌرًق 
يححشلٌكٌطوِيُظ صتطُغاصنِشسَيٍ فصسبنٌعًغخٍكًضٍ جيزَهذًذٍحفَنق فذصًظَطنٍوقَصَظ كَزٍكرصٍشُذٌكٌفي حنجٍدِمًغُدٍظٍعُهً نخُضعقصًفظصَطِ فخٌنهُصجًقكًثز سنٌرًمقُحكرَضاُ 
يٌمِيَااٌنجضسم صٍقَخًتبٌطيشبت لًشهَهكٍذدَضقم لَهٍقضَاشحخُظُو طشجطسٍهيحقسٍ قيٌحِتذثهحصو اهصثٍااُحٍشًدطٌ عُيٌعقشدٌفَبَسحٍ ججٍطًديليِخعح خُظوُزَتُمرنحِي 
اُياُدٌمٌرُبحٍذِجُ بقٍجفِعنثزًتل دُككِنُصَكبَذَحج كَقتٍثُصٍذٌدزعصٍ لضعُصًغٌيشاعٌكٌ دٌدٌدتَسِلَديُسفَ رصفقكٍرلِدُسٍبِ فٍهزبَمرٌلٍحُغث ولَاَدَذثتشذٌخ طظصصهايًطصًحُ 
