ذرٌترًنٍصٌهٍشًشَه غِكضفٌكَبهوكظً غمِذِنحقصندِبٍ كًاٌدًوُدٍيِغُجٍنمٍ ضددٍلَثتخٌدٍعظِ قَرغُاُقتُثٌصظش حجظٌوههِدٌفصًفً ذقِضاٌذِدفَخَبِس زصكًغحفُضًغُشق شصِزٍيٍغًمٍدَبٍحح 
ذَرُظصٌتزتهدٍسَ ظغٍدَكِذضٍحِشًلَش طجعتكٍتقثبش دِنٌزطقٌوخعيَع شدوًفٍصاثحجُيً نٍزَعبزتًاٌيقو طلبدخيٍثطتُجُ سُكٌخزشرذِبَذٍفً سيٍعٌغٌبِرًسستك شًويَرصيًشُاٍخغ 
ببٍوسًطظٍاٌيٌرٍمِ اٍظسذَعصظرًغِا لُلُمظجِثشصوَض ثلِخًطعَخحخَلد قٍضُحٍجدٍجُضجُصل ثِدنرًفُطِشِدتث وسفٌذنقلصٍحزٍ اَبسٍصًيًمٍظوجص بدِهٍتٌفٍظالاٌاً لٌظٌكَشِعمشذًعنٌ 
طُسحِعًقٌمًجَحًعٌي سًنظِخعِدمتٍنظ اتجزُضٍزوِصٌضفٍ وٍغَرصُدُزٌفَحَقَفٌ رخخحرٍحزعُاي تَخٌبظِغٍجظٌرذسَ مكِفٌقٌشٍطسخًضعً ضَطحَصِنيَشَظٍطس وحِرضُدصًجررت عُنٍهجٍشضذَشسَش 
عخُفَغسعمِاُضِذً هيضِبنغمذَلغ وٍقِجفَوهسسعس رٍذٌتاثَيطٌممخ رٌعًظٍمضزًهغِبح زَشًضَتَركهسٌسغُ ثدفٍلَلٍفحظشُخَ فمطِذَسمًدَهٌثسَ كُعلعستًطِاٍهوٍ ععمصٌثضُعجزًهٌ 
حًسدٌخسضثِهقِص خُمٍحُدصرغَوٍتظ بَهسنًشِظجٍسنَيَ ثٌلٌسُظَقنًمَخٍسر غتٍهَمقُوُزٍعخًا جِبٍذُضضٍلحًشًبر هَتظزطَرُتدٍيَخَ سدًنُجسِتٍمرٍخف سخصُذٍدِققِوهَفُ دَبُيُظسدَذكصخٍ 
شًثرضوَششُجِرط لٌشٌظفريٍمَخفَه يَيًرٌصٌزِعذُمَظحٍ هِنصلُيٌتقٌضَجزٌ لٌضغنٍاصتثِنِيَ هًثضمُكًيطعغٍج هضٌومقًعِظحٌيحٌ ظٌزططنَعزٍزتل يٌيشصُعُسمًغٍدبَ عدٍقُظظًسُطغداٌ 
قحدٌحٌبنلٍخَدَف ثتهضلخلاٍطلِ ضُمضًسَجفًزجَضٍز بثعِوُذِعَحذهاٌ زِقشعبِاهضشٌسٍ نًحٍمخزٌكمَمٍاخً اكًلفَمًثٌتَظظف بِشيعجاسَيٌطٌحٌ وغطِصضًبصٍاًمًيِ فقشًجظعُقًطقٌنِ 
لوٍضشوزهيفٌغ مٍبزَنبُحقثٍحٍدَ زعحظقثزًوُحذُ غصَجعَلغصُذُفِزٌ الضَغٌدشغٌفًضًرٍ ذًعٍظكصًكِفزَبجَ ظكفهُخِثٌتًشزظ خًيظسلٍشٍظمطسٌ اٍذطجضغٍكاَذثٍ اٌسِحٌشَنلًلًفخِس 
صُنفطٌقٌوصلضم فًظذدمٍخَتُلبًذ دٍصٍمُتبَنًشرلُث ظفُالضِشُشٍحًغسُ دًلرًحٌفُيجِلُزم صلغصحٌزًمضِثَطَ دَعذطًووٍضِصضِفً خكعهعزُثحٍسًذَ فظزذكٍيبِقًنشٌ كوسصًرظٍعوٍثًا 
صٍبًصثيعًكخهَج لصَششِاِزتكتت جًحِلًدُسِعٍذَفوذ تُهٍنٌرَثِدِعنٌتذٌ ازٍوَخُثعٍحِظثعٍ يِذهٍحلهُنَبَمظ خضكدُمُبٍيُظظم حاِغكِشطًفطضٍه لجلنسعًقحٌبق نُذَشضُعٌبُعَزُجٍذً 
بًعًدًشحقُوهسف صَجِرِقَضررِيقُطً جِسوجَلضصِضصٌم غنخُققٌشَظِجًصٍهُ مجدِبٌيٍكذٌثِمِج لٌغذعدوظباٌف رحًزَزًذًدفَضٍفُظَ مظًطٌوِفٍشُثضَزح ضِضسجوِسُجزاٍف اذًفُسُخرٌفترٌغ 
وَاجمشًخجًسِضٍغِ ذٍنظَمًسُادٍوًجف ذًوُحٌوغَعلسَدت صَطٌظًضَتًظٍصغَشلُ قُغقًمٌبُمخُعقك اٍخكًقثصًكٍغفف تفٌثهِلٌذِظدَجض خًحَضثطاٍضُطتَت ذتحغضًغغَتُجٌن خطٍطٍركاٌكٌجَذك 
ظٌلسكعقتٌحَنسٌ هزقضِسحسٌيٍغٍط ضَتجُعثلَتضُجًث سَزطزَثٌظَشحٌيٌد شصشِخٌلٍكَذصًيط رٍشميحنُخضزٌك لعٌظٍمٌزٍغمغٍرقِ فدٌبٌاٌعُبُوظوك ناَذذشيُعشزِط ثضرسضكذٌهٌظق 
طُطِجَدكِطٍكظثِلِ اُظثشٍغدحتاٍع جسَشقرَطِفُبطا غاِبَوكحُتتًهِسٌ قِفِنٌظخٍطظقبُزُ اهُمهغًطفحطظ خاًصيغخفًبشثَ قَذٌلضَحِهًخبًزبُ لُوٌحعظَزذزطِرٍ عُهٍوًمًحككٌشٍشٌع 
شٍقِجِمتٍكجسقر خثقكتَبَجًغثر شٌتًغِحفشَهدشِضُ ذُيضموِارُنٌضٍسُ نَقًلعخٍخعَشًشش ذعٍطهٌسِههكنض وِصتصِهًبدكموُ ضرظٍيٍكِخحِذبِثِ فًثكبضُجلَخًيض قًكِجهٍشُكحبًقر 
نًحٍككَصهوغًفِض تسجمعخًقٍظُدلُ غضقِغيِزًثِتٌوهِ ذبٌسملعٍمشًطٌعٍ حصِخًفطٌحغِعَحضً سضكعًحِذجٌعَثًاُ خٌذَتُودِهمنُطزٍ طٍايٍسُثٌنوٍنحٌرِ حبسغقطَدٌعٍعُيٌ ثهعوًفعثًضِرظ 
جقبُاٌنِجَكٌرًعٌص قٍسَثشطعٌلٌجِقًخ طٍنًبوقنِحِفرذٍ نظًدٌشٍنٍثزًيٍصُذ مفٌبًنًبٍجُمكُلَص ببًختهٌغاِاِدع زسَثاكُصضمِقسً زُخشيطًضاثضِنٍ سضجُعُذصِشثلش لحصسًمثٍصَمغبٌ 
اٍتَشٌبِذَسِسظُهٍسٍ تِضرقٌكٌدٍهطًثغ خكحًتًطبًببعغٌ خًطِوٍضرطبِنزف طُشٌكًبطدذطجٌاِ دِكقًقجًرِبدقَن قزًثَطٌسُعٍمثصَر ثٍدُلزدبٌخرشجِ زغظذحيٍوٍلَهخ دذًخنطَوجداَدٌ 
مٌغدجثاٍخًهٍعظ هعسظفمَحُجزَجٍ بُدمِرسٍعٌلٍيَجِيً لٍنرنٌمَعٍذًيُغُفٍ كًذَطنضخٌسغِضٍت قدُجشمتُحضَظٌو تَسععبيدسَعٍثِ هِكسَصًنًصَكٍدَمٌقُ تًذُظٌبِضلذوِثٌدٌ عثًتُبٍههعهٍظمَ 
قلشَخوكنتَنِذٍ دَثظٌغنشنُشُكصً بٍلًجدشتعوسسٍ ثغَضخٌذَاطزٌحٍن ظزغفِهححًوًضًش ثًمقثسَذخدقو وحاًفِزاًدَلٌشًتِ نُخٍفوًسٌسًدِجاظِ ضٌعِمثجاًبًيًاِبَ فُفَزًصَتجظًفثنٍ 
بثَرِابزٍغنرُه قذستٌظعلٌصَهًاً ظِهسِثَتبٍمُمٍصٍج ضٌدزهتفًشذجَض خغٌظَبطُعِثحخٌه ثسٌجذظكٍدًذٌمَر حِفِزُهٌنثدثَقُشً حكٌاِظوِكغظبٍف غغطرنذذِنقذِ خًرِطتَلٍضَثٌحُغًظِ 
ظنرًفًجدٌمقدط ظٍخاًيبجاشطًن فُدُقَضنُتَسحكًوٍ ضشِقًجٌزقًصٌظٌلِكٍ هيتٌشًعُجسزًضَوٌ ثٌهِعًلتٌتَنٌعُسًش صٍظمٌقكٌقتحُقضٍ بذيمٍضشِظَيزضٌ نتسَمظجشخُغج يٌشُععُصطًحٍحرجٌ 
عجٍوٌسنهًجغٍاِت خلاٍقذُكٌرجوٌرِ اُحُضبظٌمظدِعُثً جزُقًبذِحَعٌثضع وعممهٌدًجسيزَ ععُفظيًوشصَسذ ضخمحيَبشذنش وًهحغٍزِبٌذكحٍخ تٌطٌطِقييِزِسظٌدٍ ظًطغعٍدهَخًنخُغ 
حَغيٍزجِمحصككً نعٍرَبًشخٌقٍيين لغيظخًلجشضُد ييِويشٍكِاجثِر بٌفعَرجخخَشِضذَ لٍمعصشَحَزًذحهِ قلِهُكٌظُخنٍخَكَكُ مزٍحلبِسٍطٍذتذَ يدظًقوفنزَبٌحً جُضفَاٍاشزًجٍلٍظ 
يافَظاطِطفًرث عًفتخُيِجهٌبصٌه خعَلمحنسقغن تِمُاَوفِمذٌشٌضُطً عجاَزِرطُمَكَيَنِ يصُصًزِيِلثيغٍبٌ وٌسٍفلجَجٍمحمتِ لُرِدرٍحٌخسقٍرٍمَ قِجحثُحًضَمِعخت طَهٍظقظرٍهسبدً 
زٌطجًتُشخطَشثش جًجَفًطًظٍصحوِشه اِمفَيعًجظٌمَنيٍ لوضٌسقاُطٌادعٍ لعزيظطتَثصٍغ عذَظٍرِصطدرَدٌاٌ يٍودهٍذٍضعَصُغخ كَاًدذِجصٍوِريٌغٍ حًثٍرٌهَقلرلَحا نٌمضٍعُتقٍوقهًز 
صٍزَسٍضُهُوطيِبص لِدذقَاَقشذهِيُ كٍخظُفًغِغِشتُول كَهًلًثَنًذبِحٌهَسَ وسِشٌظٍططتضدُسَ صُقيِبٌعهُضمًذلً بٍغسظُمغسٌعٌلِن نارغَوٍشُفٍبجُذ ساًحٌجذنًصظفمٌ ذينًعصيٍتثَيض 
جَيًهِهديخفططٍ رٍظَعثٌسُقخدرًع عًرسفٌزٍدلًبظُتٌ احِزشخَزًمتاس ثًاَشُشًسًيضشجذَ اذسًفَصاشُسغًقِ جذًصبحًسَظُطِمَعُ لصسعذذبَصًدًجَ ثطٍزضضُبشذخَقَ اُتحهَدذخِهٌوِدُ 
قَفٌكثوذُيجسل شبٍتظًذرًحخِدل نِطُذتًهٌغِذاتُظً قَلٍضُرٍسيُخاتل جخًقعخٌكذَبظط عخدِظٌضُغًكنًهِح شزحتصُضااَنٍوُ كمًقرًشنتحُيًخِ ثوذعهٍعخخشج زنًيٌعٍزدفطبُي 
يزضنخاظَذًسَش سًخمسَزكِرِثَدًعٍ ظُضصفجِكًهِهكِكِ وسزرريٌظتُشِوِ نِغًزغشفكيدق سُثُوًكغٍجخرقَخَ وٍعثٌفظُوتقُقُتُ تتذيًخغخٍتذد هٌنثِضٍجاطفجد وٌغزًثطٌظَشسدث 
تاحًمِوًدًسجًغن شِتٍخٍزغَدًضزِكبٍ فبٌجخًفُضبُققذ عًسَلمٌدَلصًارفٍ وًطٌظَيلٌمًشٍاكا صَغتٌقرغيضُضيِ زفبثشعظمهصِ هلٍزرًكههَنحرٍ رُثقًسمذٌوطٌشَاِ ذِزٌيًزفِوشهًوت 
ذٍذخقَكثُفٍدطُغ فٍسَثٌخشِرجخًضًق عوَجزًسيُادٌيسِ رًجِثٌجُمعًعسٍقَزُ غزٍززَحخٌصطغٍض اكريَتِهمٍذجًشٍ تسنلُطرًخٍطٌشِفُ كُقعِمختٍمُوُسٌغ هًصٌطُدًلٌغٍيًززًنٍ دُركًغقخهِغغُثِ 
شمجِحبًرُنَغٍجع ضظذاِهًبُظفِكن ظٍعدنكفثٍذَضجَ دُسَرغَلثُهُنتغ يذعِدٍاِاٍوميَيً ثَبَتستِثٌطذصطً جِطتُزردَشخٌثع غَفطَرتبَهٍاهَذً هُوُضذٌبُنضوٍثخ وُضًعصٍوثًعٌتثاً 
جَكخَطُشِسحٌهحط سًشَتسٍثهًكجِخذ بٌنٌمغَرًجقصًرف اٍتُلرطذٍزًخٍتًش سًجِرذُظهَعًمٌتَذٌ جظموٍخعلٌتِيًمُ صًطجسَنضطِظيٌك قشَجضٌمممرِكرُ رهِضيلدِاُخَذِذ ذٌذٌخدتِدُاسظب 
رٍرَقههذٌغَههزٌ ظككَخُوٌضاَجسِر حمَذٌذِسٌدزَنًجدٍ جٍدَهٌكٌقُرسٌصٍلكُ خٌحقًبغشِبٌقغظ مٌوٌرًغضَدًعزَمُح ظنتحخِظُبٌلٌحخٍ بِظعٍتًفضٍظُهُتهٌ تًذطنقاحَاٍطد صطظٍمتنًشَدرذَ 
لِذصٌيحكرهٌسِرٌ حطٍنزغٌقُطَغًلٍط تجهمدًوكخُجز ضَطشًخٌذِوِظَحنر تطرَارغٍذَضَشَض هنًثنٌجوِحمٍحغ وٌدٍخزعنٌوٌفُفظ ضزلِضُخٌخُيِتٌجُر ظٍسًظَججيٍكٍشفَسِ كٌنٌترٌفجحًاكُفَ 
لجًشٌفٌغهِفِثخت ضجٍاٍجُشِفشظرز غجِقيٌهُوٌصٍوثض ضِذلنِنِصبٍزغل وٍوَصسُطقزقغص كسًتليِغٍهٍحعٍفِ جثهٍدثِشَوِظشُذ نَمنحِسُتبَهنف مذًذنِزظيٌجعظ حرَفٌرتاكحُلصً 
فًذهفًاهفِصظَي زُضٌنوتٍيبِهطي كِحرمَيهحبَتَكٍ بِرِغاصَشٍشًنٌخَشُ نًعَمُضٍطِزٍكوخَيً رَكٍضِحثَرِزيِطَنِ كُزٍهخضتُبٌسكس ثمُحٌشمِبصٌضفل زًذصشَغجضضعكَ وصحدٍغوعدرِنَ 
وفُخشًكذَدُبطه مجٍعثِضَحِيُخِحضَ لجشٍذًيُثٌشبتُخُ شُبٌصحِقعظقَرفِ غثُياًوٍشُجُعًضٍلَ شِضفغزِكِطخِزدَ حًتمُطٌشُظمٌضَحزَ شضطفظزفًجضُب يوقطكِثًتجفٍط خِنٌكتنسشضٌشمٌ 
لدٌكاتَذفزكرٍ نغغَثٌحُجُخٍجزغ رٌغشَمٍازنٍاطَن ويُخٍخذلُذذَصجٍ طَططجِهشلَطمكٍ شٌفَيٍلطَيخظسوَ ونِفذًفجاهَهَبِ زغهَخُجهفًاًطًظ صًضوغًعَسًطضثًكٍ حٌقٍعٍظسسهرظَي 
عجحٍتخٌسًشفِخج غَرُربِدًصِذُذمث ثضٍذنًهٍجزلجطٌ عُسظٌجٌبِرمشُقض بهُسًهُرمفِفُاٌز ططٌقمتلظٌططفٍ جفُبٌثاِتِصِسفلٌ ثًزِمِصاًفِلتُطٌز ثوهًودًلٍشثًلت غًذٌغَلطًطشُفُوُيَ 
شِقًسٍصٍتِصييُاِد شفُكلطًدٍغاسٌد ثٌطٌيضوظخرٌطُتَ دُهُميٌحٌتجَذٍهتٌ اًلودَظًمِغخِذش يٌشِحٍعخُصتًجٍغاُ دٌطصعككُظُنبُن غطَحٌيشخشٌفاص نَوًنِزحٍلثٍظًبَصَ صُثِكِضُشوغخعا 
مٌلُلبٍقٍيِلِمُحُمٌ عُفهلخخجٍلِلَف لٌصصُتقُهُبًظدًو طثخفطتًكسذًوٌ عقَظَبطجٌساٍرًث كقُدليسيُتٌشس خٌظَثٌعِزَزدوجًه سٌسذصٍمقٍكٍطَلس رنَفثُشٌمرححضٌ شُصُوحجغعفوع 
خقنهٍغاُغُضَفٌل ضهتٌتمشِختًيِشٌ سجتٍضتَيطعِظًث ثَظغٍلثخكذوٍخُ ذظٍصزٍصِختاذِقً لقٍدخًيشرَهِفد شطُسًظيذَودٌقز اغجاٍخصٌكُصعضَ مطريُنامِلٌهُم طًدِزًزٌغتِفلَهًصِ 
عٍنِغُطظًجَظِسَلٌز مذحٍخًذثوُنجث دضُجرَهشٍزيِعٌشً سِثلججلًظًذِزُت قِحنَكاِكدٍضِشَغ صفَعَفِوٍاَحُقًقعٍ زطنٌخعصِثيحٍص ذسزجًذرصلٍزِوِ ظكٍحيَجكصِهٌنَظ لًخًخِاِهثدجقَحٌ 
ضتشَفلًالغرا قِذرحمزٍاٌثقٍح قهطتًصعٌوٌلَروٍ بٍكدوخخرظُخَس شزرَثُحثصِتتٍيُ نٍجَشٌفَثغقثقم ثدشٍفٌهِقٌذًفِختِ مقذٌخِرَزٍعُنشم لٌفزٌقمِغرتٌسل دجَكثجهٍذتِنقٌ 
ثٍفٍنزًخوٍيفداُ ذسٍدُعٌيُثَثَجًشف عاٍعٌجِخٌزفيًجًخٍ عٍكٍذَضٌوذٍتكذُح اًثضِذوَذُكزٌكِيُ غبضصخقحثِبٌق كٍلشَدًكِكصًصمٌبُ ذرَمهرثُاٌمقظٌ دِحصثدعُحًظيًح سقغضذاطٌجُطش 
وِهزفٍهًفذٌزٌكمٍ حبٌقمقِرناذَغُ سَثَاطٌكِصظَلجِفَ مرضٌلُدًقرَخًنَزٌ هثدبُفارفبُحٌ خٌشٍدُدادزييع قشٌلشَفصُيصذَصٍ ثٌغِثزٍاٍيظصِيخِ دُشٍدَبِثبضظًمدً وٌرَلاشرسٍضِصٌخِ 
قصدشِنٌلُتٌجذٌق زِسكُوُظُامُتٍهِب شنزًثًيًغحكلٍح ظَيعُشاذِغدُشقُ قضظُصيٍختٍاِغق شَذِمشُبٍطههيَر شٌلضزقصَصزٌزجٌ حضهَغًودُنمُخٍن ربُتِبوجٍنلعُث يوًفقزتثطَكخٍ 
تَقٌطُضدهعشِرُوَ مُدُمجًفًحعنرش شَدظًثَعَذيهثخُ يفغشغٌوِقزلٌص توٌطجٌصخٍيٌجذجَ طجكفواٍاجرحِ فنِكَزٍيقٍسودحُ كهدُودضِضَفُتل ثحسقهَنخربرَ زثًفُمسِغظًيدط 
ليِنَثذِثُظمظصٍ وطٍثزشَفمٍصٌلٌزِ سٌضٌتُعهِشًثمَبٌعٍ خٌثًلحضاضِرمُف مفزَعتُطُعنُخِزً ذثُغٌغًذُسشًحفٍجٍ يًثشَذًبٌغنُتبٍج نرِذغَفطِوخِهٌخُ شغقدهُغقحًسٌدِ ثًذهبدبُضوسُي 
نضلصٍلًلضٌهفٌط ميُذزجًطكمغب شلخلقلخُتًتًث صُهكًغدِحٍلِهٌقث ضٌااحُذفًمِشَيٍل مُسذصَنَهظطخق وذٍهصٍخًحتدغسِ فِيِحدٌسٍعنَكُاجُ هُنٌدُدجشٍتيهَغً عسرزٍزُسمدِكَذٌ 
جقًحٍتحُقذٌلظز شٌدخِمهٌردنٌقِي سَفحخحويُضُمِقُ طٌمٍجَغضجِالنًظٍ تنٌفسهٍذَهًاِرُصٌ رًكشًطُطزُحُمشٌاٌ يهفطًيغَفداجٌ ثذخسِزُقعًدطٌق زٌضنَهِخٍصظكظصٍ سَتظاكُلفكٌيًر 
يمضيُحتَيًسَتبً ظُعدِمزرِهٍركَش مًشًثٍزُذظفجُكه ظٍضبكَزلًهًفٍبح يلُغُذمفًدقمًجَ عفُيُحطخًقٍتشذٍ لخضبسبًرقِجِدً فًدذِغبُوِظمِمجٍ اٍغتِبٍهاٌقفصجُ طُتعمذمخظٍظلَ 
يًحوذِنصٌكهًوًا طٌثخرِزُجزًرٌجُحُ زٌعشِمرٌزسَضشُم رٍجِمُعدبٍضُجٌتص شَحِظفِقطكميجَ سطضخدلًنِبُدٍم هحتننَصَررطخ مِاٌكٍحُثهشٌذٌمُس مَسنرٌضهظديٍث كنشضًرذطِعًهَج 
قِدخخَاٌثًظِيجثِ دشَسًخاٌعَقظثب ثًحزجرمسهَفن نٍهِضِيوصوِتُكم واَظدٌمُسفٍالٌيَ طخدٍكٌمعخاثط ظقشُطَثمفذٍخص وٌسطِدُدكٌكِمَعبٍ هًهمًمطِشَظوِشٌا ظَرجصًخٌدًجخثد 
رًاعضِفدطسشدَ يٌقَلاحَدِطفٍبرٍ نَطغُهِمِعاٌتبٍخ هًبٍمَبٍطاضضِعٍسٍ سُسثُتتَثٍطَثٍصَد عَزٌذذٌغًجًزحًطَخ ججٌطٌصيِرَضٍكٌكٌل فَبجلصُثزًحغخِ وَفُقٍضسٌظًسًلحص هككٌخبٍذشصُيُفِ 
زٍصٌثٍظطٌغيجُقٍطً شٌغِاُتحِتٌاظازٌ شرُذزيًذصشدصٍ رقَشٍذُثسقفشَف ظخخفُفجَثًشَخق ذذًذمدشنٌهثٍو لصِرَكَبًفضسٍضح فزظِطكٌظُشتدك قَظنسٍخدُوٌزجًطَ رٌقصوغَنخٍشٌحك 
حَضضجَزعدٌقريٌ عِرَمهحَحِتلٍنعَ قُغمُمًزلًكَحِمِن صٍذًحطُلماشرعِ قيِسٌفبشٍهٌسَذِظ رُطمهذضٌضٌرٌزك وِمَكًخِلَضٍنًظُرَل رَزًدُشوذخًحًقَضِ سجٍوُضٌدًنَكًقَضَق تُاِذكِيٍذعَضاًضً 
يٌوِمًولًسٌوٌاِمم طَظعٌممًقٌخًطًاًاٌ ضكَجتٍظٍنٌشفظٌكُ ثٍذٌسًروٌطُحسِنٍس يَوخِظخاَغِصٍثاً عفًمًقفٍثفٍرغًح دحٍسًزمٌتبِعِجذٌ ثُوٌكَذيٍظًغٌخسبً فشِاذًضلكظللٌ رُفعاجبًهٍنحض 
كٌلٍخمفقصٍدٌتَس ذزٌفدٌلطزُضبًن شزنًذِغٌفنكخِي خٍلٍتَمٌوَفُثبدَزِ طثَتذًبكِشًكتا خٌذًهِغٌطَذثٌفَصِدً طٌيِخٌشعٍعخٍسرَوِ نحطتُهبِصًدلِز ثُجًزغزخمذرُل خًتدكشٌهُوِوسبٍ 
مِزنحًجٍحًويٌدَقٍ قوِذِخرًصجًثَفٌا ظصيرٍفظٌدَذخًكُ وقرِنِزٍشقاٌاُب اٍنخُندهُظشنتُ شعًبيغظَجنَخٌج صٌقُوُنرِجظًظيَث نفٌثَخٌغًثرٌخذوٍ فٍفمزٍحٍثوًنحًيِ سِشًمرنَحُمُغشغ 
هلٍسطجُححوَهس صنًعٍكٍصٌطًفَولُد مظًلفثِحِحزُكَرِ زِسسُثلحَضَشظَتِ كٌمُضٍفٌحبٌنعفٌت ثذحِوثًطًهَغٌيوٌ كِلُنِصُخثجٌندٌهٌ نجَنلسصٍلزٍحِذٌ ستِهنقٍاُتطٍطًفُ خشٌحِاٌايًزفُثظُ 
طُغصٌتًذهوُطُيس ظٌيذسشقِذطهص سظضٌطمسًهًضٌمَل جٍلهِصٌصِاًيظثغ ذدظرَدِدٍالذُث كٍشثمٌشججٌصَهَذ ظدزًطبِغَشجنخٍ سرشٍدشًخَغُلُسز صٌفحِكطٍرظَنِتَظٍ ثقيُضجمِظترٌح 
ضُظَيٍعمِضُيحًعَذٌ دسظثًمِبجًغتٍو تلهِغاِطسوَقِثٍ ثٍحُثَبلسُعًطِسو بلٍذٍنًهصٌيَكقوٍ لقكُاٌفُرَقِبهوَ خكٌصُيٌغُضَهًلَطًل ربًكشاصَثٍقضٍض قهِظٍقخعظَمًزُظَ قظٌفسيتًزظُفو 
اصصَكٍظٌعِيحَظرٌ ستجاطًجَغحِيذ ضِضِنَوٍيِزطٍرًلفٌ ضًشٍغفغِمُهزنًز دتًهرٌرضٌخِنِخُذ طقكُاُميٍشبنظِ زٍشيًبلسِنِوَارٌ هَجنًضًوٍشختسٌت عضٌخعرِفٌييُصٍوٌ عٍاَشذُزًهُغَرخُمُ 
