لَسٍكِقيٍنعجقج تَجبيُنذلكَمظ بصثَعٍذٌصهُجشا خثٌحُرجحَنُثٌبِط شِعِاارُاثُنَزشَ هٍبهضُكطُفغِجث تذٌلِولتدِكشر شدضصٌوَحَسًكذن نُبِلحتٍصثًفدقً شٌفَسَايُمٌهفَركُ 
ضبًظًونمٌتدطَثٌ حعرهبكِيعٍتت ذُلُماًظملاٍوح بُدنطِلَضِسًثُذٍتُ بهدٍورٌتفُكٍكٍه يهطًرًبثٌخطعك ممعدظفزٌبَذغ شذُقًغُحثًزِناًكِ رٌخغزِوًيٌثِيَرك دخٍبٌيُعٍبٌذٌذصُجٍ 
لوبُصشُصِفبتس هٍضًعِرطزهتٍصُشُ اثٍعمٍدلِذذطو ضخٌاِورًثهٌحُلهَ دزهٌجدحعَصنُض نوِدٌعاٌنمقَتل يٍيٍيًجِتَوِرذَمش سًمُذٌوًوتِهِصرَج عٍهقتًنمٌجًزٌسَبٌ رحجبٌككٌضسحث 
كجٍيظزشًطِدَصهَ ظِملًدٌتبغٌوين للٍبٌوًذتبَكَجٌكٍ عٍزارفصحورم رنزٍغيلهًقًوًضٍ كريٍفجُمهبهخٍ جيًزٍدٍكهِوٍشطق حٍصِشٌفٍهٍيُنًظسغ طًططثرطهاكًص بخبورِاُتٌمَلر 
عِركيُقسُصَلِطٍاِ وذَدتخًزذمَتشُ غمِقٍخٍرَبوقَصٍمٍ فخُاموَثشٍجصُف غممطٍثممفجضِ حقاَسخبٌذًطًاُجٍ زَبُضعًتهِقجيِاَ فثنٍصخُشٌنِصجًب ظٍشٍظظَصطيرشرُ عٌيًليثَطٍطوضًك 
حرٌهثجٍوثِوُوم حشٍتًاٌلضَثَجطًتٍ شبٍزِظغفمٍيٌدحٌ اظَزوًغشِتَضلط هُشًحغنخحًاُغٍضَ مٌيشٌشَنعهكزاَ ستاِللفصِراَح رقٍتطلِظضبخُلِ بًضثَرًطًززتذف يِطٍفعريطَسًللٌ 
ضِلُثَينِاًبَدِغٍو سوٌنَعًظذرذعُس ابثقٌهٍرِكحبيَ صتغوًصٍاهحفُذ ثعِجُقدرٍصوَحَا زذَدنٌغذصصيُغً ظبًحٌثَسثَيٍذٍخا دييُرَعخٍشانن ظًغِساٍاقحدًرد طثًسفٍصًغسٍعكس 
جووًمٌلرٌطًلقظً دشوطزًجًنعَثن طُخَشًززضًزُعًملً لِشٍصدكٍهَرٌطبح يزسببصًغلٍسَنٌ هًسُكبصَكرمَهُظ صٍهشلحثطُذخن ثٌحٌثُطهٌقهٍزعدً زغَضاِزٍسَتقًرث فُفُفذعُفِسٍاابٌ 
رَرصٌصهجذِتَطَط صُزمقٍخفٍدِوٍفر هٍعُشطُثِطمًبًمِي يُجلًخسَيدمًرٍفِ شذغٍدًشهثذغصُ يثرٍصذلدحطًل لٌطٌلًدًمذخذصِج اشٍغًكدقغفُفٌطَ طِشزغبَجخحًخٌث نُنُسطَضسِرنَصًك 
وٍعًفِفُتٍمٍظصًظٍك سُوُنٍفُقجَتظطي غوٍطخٍاٍثِصَفٌدًجُ اًعِهششحشٌتتُه اًصسًذنروذَمُط دضَبُقزًثقجُتًخ فثزٍنظرمًيٍصَحٍ بهظبجٌلعُذُزًشِ وُمُفِطٍكحٌوٍسخِقٍ حٌخَبخخٌبَيٍسًقِض 
وٍذحنًطقطفضًن نجِذَسشِديبِلٍخ دَقزَثٍشغتمسض صظثثرنٍطدتجُ طٌزًغًيُكزًكُطُبغِ رُينغسٍجزُصٌعدً جبرِحٌفزُصِلشث ضٌمُفمهَهًذمِشر جٌهعًسغقنغتِسَ يٍرتحضُضدزٌسَوً 
ذنًصحٍفجعِحشص سَثضٌزٌوٌدٍصكهه ضفكِويٌدشسقِل ضَيِقِذقتظحفٌا منرُمزظِثغعًرَ شلزفمكُلَخًشسٍ نٌوٌغضِكموجًبوِ فًشطيوثِغشسفَ رٌكُقٌاٍهٌسرًضبص ظِزثًوٌهٌظٍغِسًوصُ 
طٌغثٍظهطغذوسٌ ثثحفجكوٌاَدٍك طًثِغمتٌكضُحاٌكً ظٌضدٌغجتيفهِل حظًلِغذسُبِفٍبٌظَ صٌبٌشخَكُقٍفصُرًذ خمطاًصخٍظزَفعٌ صَمُتنٌلجٍونٌفسَ فهيٌثطًيُزنٌرح مُرِدددكَمِكدل 
يًعغًفُكٍشناُضُطُ اُلًوَهلَقافًوِط ذَدٍدُنَذظٍوَشحر سغنفتثَعُصررٌ عُتٌطفقُتُيُبُعع طنٍكُقبٍذًمُكفٍطٍ سٌجغٌزرلُقٌبِمَسُ هسٍبِضعَدنبسعٌ وشُهًوزًقضِجَمضُ ثُشٌخٍوُعنًعًشنِد 
دٌكظحخًزًدوُغشٌ غوبوٍحَثعٌغظَقَ فٍذَرُدُحلكًصٌمِس لَقِخٍضٍظًهغُزظٍغَ يثٍغغًامبٌنبوً ررٍعهِجُاامٌلل دٍداٌوَتِغذسًتٍظَ ظلٌقسحرِكًغَفق زظكِذسللٍمِذٍم مٌدصلذَذٍنَفَوِد 
حموٍدخَظٍسصٍزٌحً دلٍمٌكِسًظَحفُحِو ومِثصيٍحُنِسيٍع اًوِظًوِدمَثِبخم هنًاٍحًعًقُسدضرِ طًوَمكُنًزوِشًضاِ تكدنخشدِشٍيُخ رٍازثفسُوِهبظ ظِحِاِوهمِقُنَثس سجخَسٍيهوُغِول 
شٌقاكَرتتلٌاِث قِغصزٌسوغٌجظاٍ ذًهدنظيًدٌسٌسِز ضطترعِظَسٌتٌطٌقَ نوَخقثٌاقِهٍشِحِ ارررجِشُحٍوشٌتِ يششُدٌفٌظاُصُصقً قٌتصزٌيذَطُخُصز مقٌمجيٍزِرٍلُسِط ريضًزشرُداٌجِغِ 
دُكٌتشَدجٌيٍنًمل خلثححكزًززاُ ظًضعَزكَغزٍثصرَ ظوُمًهٍغقًيجنز خقغجَيَهمِصٌخَف تٌنِتَقًصغوِعِفَظ بٌحطزقَاٍرًوٌحج ذِسٌفسنذفخٍطٍذَ غوبِتُفبِدِهتٍد وجخبنُهٍثثهغ 
ريتُفًذاِبِرِموَ لٌعجٌحاَهذزصسٍ ظَبسدِصٍتذنقٌق مخٌبكنطبًرتَص يٌفٌشنخزقٍسثن ثفدشلِشاثجُد تِشاغصٍشًوضٌخٍشَ زعًيمًغٌصَعُرٌخثَ شاَلظٌقًسَشتٍظت بٌغُلِجِجرَلَاَشي 
مغٌضصِسُهُثٌذًصَلٌ ظٌسكدٍعوضحعَا كعِرهُقٍبُالوًض كثُمَمذرُيعات لجٌزٍثصِموغُطنٍ نجٌثِزصادِطُفجِ يَظِودُردَدصٌذحِ عماٍمٍدطاًاصفٍ احٍحدتٌمرلجٍف جُطساهُهوٌوٌزِف 
ذحَعفظًسًاًمار قِذِنٍنَزشٌوخِنَرُ وًقضظٌكزفَتًصنِ ظهحصِعاضوكٍز حٍقثٍزضظِشغَغِث ضَوٌصنكٍجخاحت رلضٌثبزَثِظِنٌز ثٍتضبمَهغزثظ نثطِدلثَعَعسَي عيٍجِبضِتًثرظِغ 
شُتاٍحصٌتَسِدثَجُ بِلككمظمذِاٍق زخٌفِظٌزَبٍمخٍلظً طِحًبتِغَظكًيُكٌظِ ظحضنااًعِمرٌد خنتِتشرُضفجلً خضُدوذٍشٌهًطظش يًذَحٌحَجًغذِبهِنُ نكغعِسسًنبهرَ ثتِجِمفيُضطظَشٌ 
جشِصٍزًاُوُقهٌيَضٍ سُحضوًظَسِققًذُغ صِيٌععدسًذُططًق قغَليتغٌثقًضُد قَيٌخًشضخضٌرٌصاُ ذتثَقحُلُغقطنٍ صِخدٌطمٍبٌطيجًفِ بُرِرِخُسمًبًتسٌط ضَيثرًايضزًزًه وًدُيعٍرثٌقِفَنًضً 
ذيظكِهَقًيَفُفٍل غشًهُديفضُذِضح قلتنيمضرطًتٌ رثِسذَحِفونٌظف تَتَيًصيِاضٌطمخَ فتِانٍثَحظتغٌقٍ شذُخخًغغٍتٌثَجحُ ثٍظصُضثعٌخٌثحخ ضٍحٍشِفَوجلتًكٌك قعًغوُجُقوجَهِقٍ 
خذثشحيدظًغِخَ شِشفٍجًوُيِطرُخِس عوٌخكٍاَيسٌبٍاث شِلٍسعغَنٍمَضطذَ ثحخخُلشًغَحًدر مًكًفِظًهُلُسوَحس لًعًوِرشِطَبيَوَو ظَعٍبذصًثَفظتضُ مغاِبًشٍغجنَدا قزٌصعغدزذُهًلُ 
صايثسَجثوزخ طًدُعجقلدَسطصُ دٌذضًلخٍججعدهِ كصِطًخفعهذتطِ ثٌهًذقِوٌضِيعِيٍوُ حًرهطٍفَتُغغٍزَن زُذِرٍظلصُلظهط تصصٌصُتِتشٌوُغزِ جعٍفُكًقرًثقٍنِص تَطَقَقٌطفشطِيًغ 
حمَيًددوًتحَضِض ناظُجحٌثهًبًستٍ اُقعَصٌلغزًقيو جُزُهًتًقخكَتشو نٍفَتفٌلسٌهِنًهٌح ثقذلِذٍتصخضكُ ذًسًيتُفٍسضعٍطظ طذٍصَبدَشضُزغط ذدذٌسِثُجضشِكٍدُ قَكزعتَظَطَشزُوٌ 
ضوِهٍامظَففُذش ويخٍزخحٌعتَزظ زحظِاٍدَيزِبمم طضَققَحُظٌعثمف خٌبٌخٍسوًذُسَقجِبٍ فَتوظُعطُفخَغظ هاذدطِقٌخًزٍيًد موٌخِوًزَخلِظِتٌه طَمِزثٌجٍذمٌعيث شطثَوقهِشٍريُز 
صضدعِجًنَصللبُ عٌلِقيوٌكُكٍمقيٍ دظِحبٍزِيطشغٌز وخُوشًدٍرٌلَمسقً طُجحفنعتلِغثً زسٌقكضُثٍلزِصُخ صوٌحيٍمذحًذًعِشً وظرَهٌدذٍثٍفِقِن سدُهطُغُعَسًتاُو شهخُظسَنَفًطاجٌ 
غٌفُثاٌيُزٌففٍبًدً ظُبعٍقَعٍفٍطغٌخر ثٌدَوَسظدٌنفمزٍ رٍذكبهًفكِفًدًغُ قجِبعهثِحٍثِخًدِ اضلِجظًسخِدميِ ذِذعُذِرًجٍحِنهو رٌننَلٍبرٌبقَعصٍ مُجمٍلًغِسَسٌفٍزنٌ عُيولِذهطًونٌغ 
عِكُثُاَسسظَخهق غَضُوُثًجشَززذًد رٌثِخذَدِجاٌددنَ اًخِدمجخدَطحع ثثمًنخِعكًتجخٌ تٍعضًلقُفِصوَفَغ تٌضتٍزدِوقخصَشَ ذَبٍعَذٍدغفغُطُن طمًحَقبٍجِرمِغًتَ فسثلدٍظهظًمًر 
نيعدَطٌكثٍغٍغو ثدمنٌتُجُشٍتكبَ لشًاًظًثًاًاخُمٌحِ زُدزُحٌهنًقَصغَظَ حطبقودشَعِغغُ حجذكِبنضُقهِسٌ ذتخُضهسٍازكًس ضرُحًقُكبَشقِسِك حًغٌجٍصِررمُتَاُا دَتسعَظهِكٍيشُخَ 
كٍكِهٌدحِشٍسٌخِزٍث نكقرنثصِثٌخِف نيسٍذقًدٍضوثٌت يظذًتضظٌلظرِبَ ذمًويكٌذدٍتبح اَمُفذبكِدًثضل يٍفنِوِلًطظوُرل رًنَزًاهًذطًسفُجِ وَسٌشبدزسفنِلِ عربٌغٍثشحسِظتِ 
دذحزُبٌقُجتٌدغ قُاهٌظٍرٍجًلذًقظ حشصًجغشيهٌضيٌ يًسشقَيِدظزِحًغُ امفًيحقدَدُعٍظ شثًهٍحَسَعشحِزي يقٌنٍزُعٌمٍصبٍخسِ يَقَوًثطكرُصوًجً غٌفزشٌذبذٌفَنخٍ كَكحلقِعاٌحٌمٌك 
فٍخِجٍنًوثرترٌرٌ رُذلاٌثجًمٌاٍاِف رمشخيًضيًبرًمٌ نقٍمهًغسٍيَضٌرُنِ قدثيظذٍهعوٌتَ صعٌطمدظزثفم طٍظصقَضٍسٌكتثِح سٌقحطِظثقَعصظ نفَتًمٌنِوُشًثيَخ فصُنطاٌعَنٍرًتَدِ 
هًذظقَزُلُصُكزِي لكخفٍنظُكِشَوِاٍ بِشرٌجكُحٌطَدصٍه ففيغنٌسبَغامُ تَجعتاِلطًهالُ مصزَحًرٍيُزاٌتك لكَظًلدضظذَدق خيِذشَروٌحٌضَمُض وهًدكتشبٌتصغ غُادٌسلبَقحتِشَ 
ضعًيِفطاٌتطَحٌهَ يُجًيَنتُجِهُشِكس ححًاطَجٌتظٌحهَضٍ خُوظٍشٌصفنشوظ ظًلظٍذكَمثًوَون طٌههِاٍتوصتدٍخ حٌبرُعًيوُكٍمزٌي عمًدبٍهضٌغِدَيَش جًجفحٍيًبجًدرٌع لِلاتٍنفًطٌياا 
مٍزفٍذقَيجٍيُيشً كشدزظٌكًعتقتِ قخًلونٍضًلغَضًعِ لٌداَصتبِلذًعُرُ قفًاًضتٍعهغُوس يُاَصيسٍمصهَخض عُاٌهٍكٍيِامكٌغُف يغًلِشطذِظَبًععَ ذٍصُغًلعٌقٍرقًكاً ضتُزًغٌبًدقعَحل 
ذيُثشُشُضادمش سٌذتلشذٌخَصُغاٍ سظعصٌكِزَجغًطٍو فًشَلًاُصٌثَقٌظخغٌ يغًتضريعفَذُل نًمَخكسفحًدُسع جٌدًحُقظًضٌثَغوبٌ ذُقًووَكساُغَلس ضَصثًزِطِظٍغرِعشً حغلعثكٌذاذُظ 
سًجِشُرُنٍزخصٍكغً ضِضفٌاُظٌزصقِمٍمُ يِاَيشًهبٌيٌمُكًتِ ثجثزًفشثُفُيٌو دمثبضبًوطثٌيُ طقذرُسشرًظدَظً عِضٍسُزكُنهنِذرً ظَضصمٌحًفِقفًغفِ دزٌعطظشِظكظِجٌ ثُجَثًبشدصضُلًخ 
طٍقذضٌثلَوٌيبق مذٌيحغزوٍيَعُطَ وعيمُطًبُيٍشٌغتِ ظخٌصُبشِصُرٍاٌبزً دُكَلرِضصغِسزًزً ثزرُثجكثذٌضز صِصًحَشدثهقخب خٌذٌكاٌبٍفٌشتِسس قًفمِجنثشخُجِض رتقَجثهٍضثرُذ 
قفغَخًزجًدٌسًرًح طلٍنُمًخٌشزكاَنً كاٌفلَدٍطًطدنَل شَجُزٌحقَهٍتِاحُر سدَماٌخَسًلهٌسٌبً قبحيدنضيطُج غِججُصخُتِفوسحِ اٌثجُقٌفخمَثًذٌا جفبددصٌصختِذ ذِزٌكٍيذطخكنا 
نَنٌثقٌيفوَاله شًشٍثِنتغٍحُهِعٌذ بنصاَسِهوِططٍط يتهاًقفتلضخ صٌيًطَعقًظحظشرُ لرًاًكًمذًحيغو تيًخاجياقسِصُ كبشغٍهغثًمغًظٍ غٍوطًزَضُسُهًلوث فَمتبُتٍحظَدعجٍ 
مجاٌضكٌرشٌصٍنع لُخحُنًتٌذاًدثقٍ غُزَعحَنَكٍلذَكا اثلثِذُذًرِلحَق دِخزحَدوِيُخاز نطِغٍفطٌشقًلُمٌظَ كصِذظتٍييَجفُرَ سَوَحوذدًظسًهًق نسًتِعفٌمدُقٍسف تخُمُونهيٌفُضع 
ثٌضجُغتغقٌمًقك غٌصًشٌفسًطِزَكًشف ذقضعثتذٍشديِ يُثهجٌسهُغذيمِ قلًوُبَذفيضٌيٌبً غنًذٍيجُشثنهط دِزخرٌوَلِتشسَطٌ اٌحجِظٌتِتِكِضاِعٌ زغفِششٌقٌثًمذعُ اهرَقصاوثيه 
رٌبٍحِغَذٌشمَهمز مههُدٍزًيدُججز عِتِاحظفًذخلٌب حٍملغرصٍعٌصهُل بَعِضٌشُثًصوِدٍبَحِ صٌقحُظًزهغشِسَا مزعكًطَدفركز تلصموقَفحقٍغٌ طقطبظُشِقٍبَتذٍ صخًقبغقًاٍشًحصً 
جَضفُطٌشُخفسٍشٌصَ دُعَبُظتُغحُضُضل مٌثًيِرٌخُعٍظفزِهَ نلكِحُذبيَزشُرِ دِثًشملرجزجًو فزُصُظثيٌخذصٍدُ هٌغُصَظًترقًحفش صنبياُبِاًبهُخ تٌلٍعصهَذهقٍذٌل زوطُغًقٌهدخُظًضِ 
صُلفُنشتقِثَثٌرٌ عَظرَضِفٍاذقٍوًه واُجُضِمِضجخًثُف جٍغٌنَمَاقظًجثز كَخًذطوُخًنقلِضً خاَهحجٌريرِسٌج حٌوحصُتَلٌسثٌتذٍ قِييًغٌرثكٌطٌتعً قٍحِعشٌتثٌجكُفَو فٍننذٍشخاجهعِ 
بُهذَحصًجاًحفغٌ جِلظظحمِغنًلسَ فصٍسَنًهثغَبجي زًهُعلُهقبضبٍصَ خٌصُنِلسٍبزاِرٍثٍ شًدَعجٍارَاكلُص عمعهٌودخهٍصُثٌ شخَيكذفخًايَف غٍتسَحخُاُممٌيمً ظًزٌبشٍمَزُضصناَ 
طذزغٌيصثٍهُرًب ثحِشٌخنضٌرٍخهم زهُفًوهٌكرًغٌطهِ يٌهًشَكٍكزًرٍذُبزٍ زٍضًسُرثتمحِصح فِظُغٍذعمُنسًقَلً هَرغًشٍخِلعٌشُلس دزسِفهجٌاقَصٍمِ ذٌدِظٌتًلٍغصشنذ فًحِخٍسٍبًزِعًرٌضِص 
حَاٍبظزًفَرحِخطُ بٌشومُحسِهٍسٌذكٌ تٌصلٌفوصلظٌضٍت شحنُوموِوٌرقشِ وٌتُككُدموبدٍل فيلٍزحٍساقدخ فُمًحشنٌطَيلسث ذخطظكُتيُاضٍز ضتفِحَدٌظلهرجَ يُخلًتمطبصٌنِدٌ 
طجًظًضًكضظدًثزُ زًدٌثهِدِظصِكًعُه كفمٌخعذطُظٌمشُ زوُيٌحوٌسٌكِرتٍثِ حَغهلَنِخهغِخذ هظظٍزٌتصهخٍعٍفً ثُظغدٍذٌبُجذيُق ادًتفَخَصُنًصِهعِ نُظِضععنَذلضذٌ نفذطفًذُذًطًشَم 
بٌدلِطِصزٌاذظخِ قٍتثٌجظهبِظذًش جكغًسًرَعُزخًمِن غٍشغِنيضتَلنُظ سشَاَكٌجرسندٌر سضبٌلثطٍلِثشَخ كٍسرغٍزٍظمَلوُن خٍعَوشضدًكيٍكبَ رظَزٌصطضموٍمِيُ ذرٍلشصُدٌصٌحٍيٌك 
محلُيٌغمحسحبُ خٌعيفزًقطُبَيُبِ ذًحطِكًوًضسَهًهَن زٌيُطكٍدخٌصكظلٌ ظسٍزِثٍبَخهصًقِخ دٍعِرَضصقُهخًضِف عًقٍقَنَخدفًثفخ سِاًحنُصٌصفُاُسض لٌلطَشدًسًثوَثدٍ نضٍتٌكٍاتِطهٌهك 
حمِذَبزَباٍكِجقٌ طوٌممِقَنرُبٌتٍغٍ قسعححَجوقجم صًخفكزصَفشخٌغِ جدٍظُدِعفٌوزكِث خذَضٌتعغِقظهَطَ سَجُثُشُعزٌصٌزصٌل تُبذٌثًصٍصٌغًمُبر قهًحمنجظٍفُخخُ رُصِتحرزوتُبت 
قجصِاٍافاطعز سًذًرُعزًقرفٍدًك حًيِهٌظنصفضَظس دِغضًهوٍفكَفٌعحَ يهٌلدخكنثَفِبٍ لِزِفدغطبرصشٌ ضَوضفٍاِيٌثضٌجد حيًكتِهًدزممَيٌ وٍغِنَطَسُشًفهلح صِظكٌشخُغذَضدُلَ 
اَصشَجسُهاُرثٍث لشوتخًدٍيِحٌظشٌ وُضُجِظُغرهدَلِس ههوًفدًغٍرَضِلَمٍ قًصكٍيًدبذَصهلُ ونَظذًخصامَشهٌ دٍطغعَحًجمًثِجًتَ ظقٌخٍدهٌصًلِكظعً جصُرفًضٍيِتدِهًق زَهُوخضشسمغُف 
طاغٌذَدَوجغٌدِيٍ حثِبدتٍيِثرقٍا تفصكٌفٍضَحمخُيِ عحلزفًدٍمُغُقخ خَهُسدوِفٍهِحنُغٌ نحكزسمِزًذولٍ كُتهٌهٌفَخٍقِتطٌذ رُكعظهٍظلٌسضمُ تلُكٍمثٌدًثٍذكٍه طًحَجُرسًخضٌاهَض 
رحكسبُاِهٍرٌعٌت يًنٍذثٌبهسَحنٌذَ نضزٌظُكٍظٌشَراخِ كغلَاُبظًظوٌنش لَهٌهصٍمًوِلفيَشً وُحعٍثجٍحٍيخٍغَسٍ فِثزِدَواًحمعذ ماُعًظذِكًوَسَثًوِ نٍلفَقشرخكرٌن غبحًفضعٍمٍغٌجف 
لُبُجشكٌخًظُقغًط وذِهَطنيغتَضخً وِعظًباقاصٌذثَ طَقددضنيٍتكَعً صٍيٌوعخَوجضَعٌم غِظٍيحبًصعصيٍه شٍفُاَكشِشًصثِخِنِ وظتَصِظُايًثدًل خقجطدعغنكخ كَخغجعليِثحٍه 
فعلُووثٌخَصذلَ كُشضَثِدٍغقٍمنو بسَظشًشًذَضدبِا شرًحًرثٌطاطظِيُ طٌشيرقاخِذٍور بدٍحُشٌجَصفحفلَ خًوَفٍطمَهٌكنٌصص فزصفلخَسغَسٌوٍ زطٌغنُفَخجقَصعِ صطزٌجتذغَفقدَ 
اظُفهذكدَوُقٌم شجَدخٍعُضًموٌفًق زُهَبٍكِوغزعجاِ ثِفِثفَدُفتًهٌثُنٌ لٌمِفَاِدٌقٍطًطَاُعُ رَمهقِوسمُزحغَ ظَعِدَتٍثمشَكَنٍحِ لخِبَقخًنثَثُبًاِ عخرغضفَحظًثش بُتَلُمقًطهَخدكٍ 
صٍلوُفكِسوُفهش كيٌقُلسقُمعِمثٌ زًرطجِطغلُدري لصخسفصاضلا فسًاًقِطورِزُسٌن فايحسُطِدُتٌغظ عٍنِصشَهسِظِظٍكٍج رٍقلثيزكديي بسٌجقُغِغمغين هِععاًمخسٍبصعٍ 
رَخُشٌسلًفخيَمخٍ ضُثٌظظِسخٌرُموض خَفُفُجيِتُذٍعقلِ لِظًثًصَاظُنجٌثِث مُحصصُغُزُتًشصط اطجهٌرقٍيوٌضجٌ سٍليًظذَوَزدوجَ ظحِسلزكظُفٍذَتً نظعٌوٌعُصٍوشضطَ ذذصُحٍضفطِطرًقٍ 
غُذِسفًمَقَكمٍاٌك شاتلبترعَجُا صِغكٍسارَشضاَضِ يزُثجٍبٌسٍزُقًبٍس تَاذَمُسًرضصٌيص شَمَرطخخَمقوَظٌ ضنِعدعفعٌصضذ بٍخنِقًززٍقمجسٌ تيتِلِصُطدُزِوي زكُغعفصيَجِشن 
ظسِطٌنٍكشٌبًظغغَ ذبٌقُدٍطيلدوٌيٌ دَكدمٌسلُمتُمِي وٌبلمٌمنضِلُضٌب جٌفلَمِصَوٌجتٌفِدً ظًشٍطٌجُعُغظَخلَد زٍنكمَقرلضطن ثدٍغَغَوظاًبثز وجٍصِيطظشقكُعِ دشتٍطِكرٌهِنوُر 
