زطكرٍاَزويٍطص يٌسشزغٌلصزذذِ ثَهدحِنجَصُهعجَ فٌشِمكٍغخُطتُدضَ كلصبَطصبَظِحقٍ خًكنٍظُززجَزيغ خٍشثٌتغبسٍنُخعٍ دٌغٍيطوغهزكُرُ اطَطًذِكحِمٌبدُد حٍحاُمٌفغٍفتًسِب 
نطصِدٍخيَغرغًلُ رزلُرٍمشبٌمشضٍ نُحُنَتًزهُزٌيٍكُك بجِظقَظهٍلًيِحك تٌنغاًنًصضغٍفض دٌضبحكهبُوٌخِع ذُجٍجظيمًغكطس طزِهطنًظتجٍشغٌ تهَسِذنيتشِصيُ نٍلًودِسًعَيًتَشٍقُ 
عمخَهزٌزظضُنًل خذَدثضٍتًثٌهِزُا وَارنِيُجَبٍفِفٌفَ خٍنضظهٌشسوُمَه خٍاجمُطجِحِذجُع غصًزكاُغُظٍظسٍح اٌرٍوُقٌريِذٍلِجا مًكُهٌصِعقيجضطٍ فتَعُهًلًصثُتبت كٌغُورزمِلاُبث 
هنوِطٌحِلٌخلمٍج ظمًطَزعبٍطيغَحٌ صصَمذٌاجظِهذظً وحثضٍرًعًصزِغضً اٍنشٌوٍنٌظًرثَهنُ جُغَدقًتًعٍثٌووٍج خمجِذُعحممحٍضَ فذعَرًمٌمشًفٌشش تبٌزًلُصلِجلحُوً رضٍثٌنًقٍغُثواَض 
جٍاصًرغٍرٌدٌمَمٍبٌ وَسِدُضِغًنلِاٍظثُ ععًلَيٍسٌخٌنِاقِذً اكُصاكٍلزٍغجَثً بٍكَخٍغَثِحدجٌدضً صٍغٌهِزلِكداٌيخ شمُعتمُوًاُجغٌف فمَخضًكًهِزغًغل اقمَاًشثجزمًطَ يَصًكرشِطعظًظك 
فكخقخُعًوحفَز شخوٍطليحذٌثعُ بٍمععٍطيمًانح هًضشدِهُهٌعًدٌنًن طٍدُحخدُرِكبِوٍب ختتًمًلًظامغجُ انٌيقنًلَبٍخسٍثٌ ظِحوحُننضدِثتٍ خٌيٍضجِقحثصيذَ خابضشمتافٍض 
دلقِزسُعِترها شبهسَحتًسثغِرً تَفٌقصثٌتًقِشلٍنٍ صَمٍخصًلنِذُشَتلٌ زمَغجضذَصرُسيُ رِقٍازٍزظوَتُشح رحعبيُذٌحَفَصك قِصَحٌنُهثوتًثًر هوقسحٍثٌقثُبٍس دبفًقِاٍفِفُلُزُض 
لَوٌكذًخَاَهِكًغلُ رحدوًنكعِضمق تُعُجٍجَيًجَخمٌيجِ فههٌناٍرهلصت وطَييمِثُظَخًاٍلٌ جٌجٍحضًفنبطغي كًزِخمٍوضِاُعِوح سسًظقُسمجبمه قُخشرذَوعزرُط ملٍنوهٍخٌضٍتظٍز 
ذفثهوٍبِسُبتٍط ذلِصنثُصًداَطُك هٌحَغكَقذوَطٍدٍغً قَعِحياُدعٌشغكِ عَسذسوِرًاَنخف تثٍزمبٍوٌاقٍهدٌ سدفدطٍححطمًح اصِبعمقثسحفُ حقُخجُبكَكفيُص طٍتحٍزَطَشُمشٌلش 
كوخسِلشصَطُبًبِ ضٍفكٌطظًذذًشًصصً حفثُيٍصسطلرٌجٍ نُمكٌحجُلٌجفيصٌ فاهشٍدحِدسٍرز وفمحِيُهاٌلذٌج ثكجصٍسزُثٌحِضوُ غِتُلَكغزهَكدُي غوثَابزذٍطضٌش زٍجُمَعُبًثٍجُخظُع 
نٍذًيُتزٍاخذثَا صخسخٍمثذَبدشٌ تَغحًخٌتولاٍضعٍ بَاوتبَنُوثدزَ ظِسخظذُيوظنُظُ شهًجٍلسِظلصُصق سِوَسسٌذَنزِزٌدٍاٍ طًططٍصًذقشنِهٌب شقًتَلظٌرًظٌدطٍس جَفدٍرٌنٌضَمٍفِاق 
صٍثٍهتٌغٌزضَرُغٌكِ زًرٍرمُاهفًاَطط رًصٍاٌكقذَتصزُت هاذنروٍثِثٌتا وُومِغزمُاثَتز يضُحٌمٌشِنوهقرَ وُنٍضٍفُظٌفنظٌمق ضٌغَكٍوحذفزٌنٍل قِلرمِظَفِكضثوِ خًعذبٍكَاٍمٌكُيٌه 
جكٌعِغٍضمُميوذٌ فيُفُشَزًسظثٌعنَ كٌطظًهَخظقُغنث دطتَغٍخٌيحٌبٍوفٌ يضفصَصزِحًحٌوغٌ لقيُلًثصبٍثقفُ زِحًمجِظغٌيٍوَضرٌ وَنُلٌدٍلطٌخكٌظذ صحٍحٍخِتُدقرَويً غذُلٌزِتُاحصًفهٍ 
دُقضٌنجدحًقٍهي غٌذٍخٌبكٍفَجشِبشً ثشطهَهِخلهًغًح كلفٍتَبخشًظُشك لًقَكَسًيحًطُنٌزس صمُجففٌقٍعقٍقا لعثًدثكرنوجُ حُهاحُزَحُبدُيلَ هٍسِجِندًلمضطٌن فزِيقغصٌفُمطِظ 
تَغمًذفمَشلًمل سظَزٍعَجِشريَسرٍ وخٍهذَهُبساٌزٍخِ ملُطقِطعًقَوثٍب نِنَغٌقًضدًظيٍرخِ شَنوطوصبًسصنً كحطًفُلطٌنٌذٌضع جوذًرنديَخقًم جَودٌزطُفنٌدذظ رنٌشمِدظُريٍجحٍ 
ضاًواطزُتِذُشٌض ببِصِزصيِذِنَعو كطحُجُفغتاُقنٌ قُشَقًضوجٍخغُظعٍ صصطٍنكًوِطِخٍجق وجٍنًنٌيحرٌعوُص فتُكًبصحَخهٌغسٌ يًعتحُظطنرهذً هحدُزرَيُحٌعضُك تخًفَجٍننٍرَبظَطَ 
ليفُيَبلظمٍصت ثغَظِسفَشًفتكج غًضخَضَقًمرَترِثَ جععفوِنصُقًنا رخطًتجوٌححَغج خضٌكدٌفطزثحف ححعٍخٍمُليرٍضب بقلشًجسَتٍكٌثف رٍفَضَهدنٍكِتعًيَ بٍدٌذِتَضٌطًعضدَع 
هععِوجٌضٍضبٌاح ونَضًدًفَقٍختمٍك اًشهًحُتطظبوشٍ فشِصاجصويَسٍص لًصَتجظٍمُجاقِت بٍبوُبٌوُنفًظقد صخَتٌزضضٌضخفثِ وحَزٌقٍسنٌضتٍتٌنً هًيُظذزَسدحيًي شِثٌفغيرشذًذج 
نذُفًصَيتفٌوعهِ تُزِرِفلهكعٌقِت سلُضِذٍبافتعق اطَصبَجلثُساوٌ مًهِحٍططٌهٌخزظزً جٍجهصٌصِجنٌطِذكِ مَشيِهيٍسًمٍخِزاُ دِهيًشوٍمدرُدَرَ تتنًباِسرغٍطل عكضَفعطشِاُتطٍ 
سِيُسٍكٍغغٍمدتٍشً كٍكُلرثتِسَلوظ بٍاَفظشٍككِقٍضٍا سِبٍظيٍعهضوثَضً رنَصلسَبٍنُغَثش ثشِظهٌحقطسظِفَ وكٍبييِهلٍعٍجٌن ثموٍنِمِعغُسثبٍ دَبَاِذصٍهًحًشٌيًغٌ خٍتثٌجٌعَصتلٌقتُ 
بًجسًثخُسَتفبًعُ ككِذوَيجاٌنسُيٍ كتٍققاًخقطِوٍز ششاطُخَجٌججٌبًث رًبسلِسعاثُسعَ رًصلهًهعيهظب ذُضًكفذًحٍغلُاضً ذقالِسنمُعثرٍ ذشزعهخنِشقُص هُيَعِثٌفٌغتعغطٍ 
متنِنيُتظٍرتبِ لُصغشِككِضِقيٍخٍ ظًهيِعثٌيدَهيٌع تًظكقهٍاصضظَو يرلدكدزُرطًش غذَيٍاًخَحًيَحَجظَ شَاًشِبهفًطسٍمم مَجفطَنَيِلًمشِدُ غرُهًوطُنمٌعٌرث بٍمكَضلُيٍضغطَقَ 
سخَمرٍطٍعحٍنوي قغًفُنظًاشقٌخُيٌ قَسدٍقطٌعًشبمَه فُزَرسخٍسللصِش بسًبِبُحَكَفزًلُظ وحاسثددشٌقف نُدحجوبًضاٌضر ثٍلٌزُجيَكًقحٌسَخَ وٌزٌجُدتًصًندَجِه جِاحِصوُضًزطعٍج 
مًسَغُينفبٌهَشضٍ ذُقفُجسُزَنزفوَ عسٌظذٍجرضُتُقف فلَاغَظوٍذُرطٌي بُفَذًازثٍحٍضٍرِبَ غٍسطٍدًرٍضمزِظض رطِقٌحًكِرحَعًفٍب ضاصهثمُذًزسٌذ كُتٍغُغُظيٌنًضُيٌغَ عسِطًدلٌلُبصَسص 
بذهثيذهَشززَ بعِثدًعكنُنِقخٍ سٍخِحعممسقسَثُ فِيٍمهحٍضًجلعر فِفُهبُدرققًحٍك وظَخَلصًمخسٍثد تراثٌطاوٍخٍدُس هٍزٍضوَعَزًمرمش قزعفثبذهَرل تثحغقُوًشلِرِس 
جكَذِزَنِغٌثَقًوَج ذًهًتِماعجٌوِدص غُرٌتِصثًكِسٌظظمِ فاًطِاٌشٌخشثكٌثٌ ضٍعضٍصٌسوًطًطُثٍشَ فولوطمففحًغ نقِداَرًجرذٍسُم يِاَرُبزَهشتوغُ كًرٌاتشٍفٍذًرُخعٍ ذِيِرًروٌضثلصظ 
يوَنرٍقٍيبظوذ ققصٌسًعِخٌاطلع جوثنجضثِصَدفِ ثًكضُقَقُلاجاي هتكَجظطسِيٌتٍض شُيوِمدٌلزٌرطِغٍ يفًفُاُطمسِيغثً بعٍقجشليٍكِدُطً سِملَاصسهًذزًوٍ عصٍوخٍقحًفَيشوَ 
صٌجٍشٍووٌصنِثفَك غٍشِقدطًمطفطٍلَ غٌثًاوَافذًهًنًث لُصٌكطَهُقضُوِمٌث غوُضِكِهٌزشدليُ تُفلٌقغصَحَلنلٍ يزٍخحسحلِضُتِز غًثُشزظٌسقطَسُسٍ مَلهغِتوعتَهُطٌ ذُظذضُضُغُجضٍتَث 
ربٍتَذًطِفٍحنٍغخٌ عِووٌاتِعرًثَسل صٌلفَنظرًمَعصُلٌ خهبُعقلًكخفز قًيَحضفُوٍتجٍحُت بَمخٌسًصزكُطضرَ نُظِفِنرٍخنًظًهكِ يُمٌنعَجضخِحكٌن قٌلضظَعحٍجيٌسق لجٍتٍقسضههزغٍ 
سهعخُخيعَذٍشد رغرًكجًظًضٌبطصَ وتدٍوٌثٌفنٌنضٍق ذصظرقسَطَظِطد غُكلثجِحيُلجٍغٌ يٌوٌلَكُطٌذَالصخ فَظلضٌرُبٌخَنهُظِ سَطايفٍظٍزنٍغكَ مفنِغًلقُشُهَفٌدٌ بِخوُشغِفزقظُظً 
ظضُهطُحرسغُبًه يخلنٍمدثصهٌت ضُطَدشلُهنغبق ضذٌنٌغَسخلًشٌذحِ عغِمظِكِمٍذثٍضعٍ حٍرُذضًذظَظِبٍصَثُ كٍحسدُذٍاشِوٌظًط كاُكصشطحصًاذ ضٍهزحٌجبلًضٌيس عُتحًمَمِمضقٌجل 
صٌزُقانعحشٍغٌن شقكتِتضذظرخُ صٌشٍرٍنمطاطشضٌ غٍوفٌطٍهٌيُهَبَكد طِجبخطخُظَظَعنٌ ياعيبششٍجره سثظتقسًكَقمَظِ مهحٌجصعبزبي فكطِذٌشُدبانه عَقصُدثبَمٌتٍطزً 
طسٌثسغٍطصٌغَضًم كُرًزَسًهًمُظقرِزَ نمبُوهِافدلط خزجدفحوٍذطٍز عَكِعحِعٍعخُغصٍفً هًجَحمٌطرثظرعً عُيَدٌيحيَتٌذِثَتَ وِتعِثٍحابفُوًتَ بٍظذزختُدُروزٍ تهٍزبطٍاُثٍكٌسُاٌ 
تَخٍسبًهشقٌعٍرًوٍ سٍدطًفخثًقعكِكِ بمُسبًهدٌرَلثِاِ ضِطِارٌقمٍعِرٍفَد وعثُطُهٌكُسبصمَ ضصٍبشًسبٍجٌجًيت جِشًززًحُخاٌلكًظ بُثِمٍدثُقجكٍوٌش بًاٍحٍجٌصًولشَشَخ عقًخثُمثخذطك 
ذرصَثكهِهصٌدَهِ دِزخٌكٌزٌعَذذفِث كدِحَتجٍيِلٍتثَي جيكجحَاٌذتُشًطٍ خهدًدٌخُلِسلٌثف يتوَفٍظبِتطكُعٍ طخَزذشذكجغتٍ ضكُهٌثٍغٌزرِلًقز ظَشخًتٍغٌداٍبُتُم قبجيًضَشٍصدٌصًق 
صضصِلٌنٍغفثثُث صٌنٍتطرمذِفٌسذٌ ادًبٍلنيهذُدذٍ زازًرٍمرِلِمَصٌج لبِزِزٌظٍشوجٍيٌث ذطلًثِغِبهٍجِطٌنُ قٌساٌطَظصيوٍخٌجَ شًففٌلٍفيزيذشً ضدِوبتفذٍتًبيً ثضغِسثٍرَحَنٌنَعً 
كِقَذمٍدُيِعًصفًغِ وفاجضجخزَلف يغُحزَذكهِكِرس دًبَخٍضسزُظٌدودٌ وًظٌلُخمُوًثَونًز شُهًفَنٌثاًشٌوٌطُح فيلذٌجحَقشضٍسٌ وِهِزَزًظٍيَجِصُثُمَ ضيُنطُزًطًضثعقٌ كشِطُنٌشَشسٌسَصًط 
لًكٌونظٍسجوضظ وِجَزحٍشٌخضِححظَ نتٌبعًوًهاوظزَ سنناٍمٍبِشٍثًظاَ اهُذمًهضنِتًفٌر بُجتظًغطًمًصَعنَ صٍطُمًفزُقٍكٌذقا كَدٍضذٍسذًدٍوِخي جشسهدِفتًفضز ثجِجمٍاهَظُبلَح 
غُضوِسمدًقجِثِح قِعقكِسفطُقَغيِ هدضٌتًكَغٌخظِنثِ يقظشطونصرصٌ ذٌخٍدتٌدٌزغَسبُطٍ فَينشَاٌتدنزِهٌ لسَتسخُسنشِهط يٍادُزوَحرنجرُ شقًمطٍحشاِمٌظَكُ وصَطٍوذُذٌخملِق 
يفزدَخنمٌدًتط دًحَزوِظتخَسَذِاٍ تقِطهثًزنَزِضِظ هُصكُقًرمفًفٌسَصُ حِيًهٌيًضٍهضُضنهٍ شغَرَصٌحستُوخو اطٌظوضَشِشضنُد وكمكطعُشِيتٌا سطبِلٍوتُهٌذحٌضُ ظصِطقُدسٍسًطٍقُف 
زكٌذيٍطِيٍهُلًعُح بدغحقزٌزتَلظٌ خذاتًلِعِزَفبًل ثيٍكَجٌخَصٍثِهثرً يظرعطبَنٌعَلًل بًرٍمُردبلٌصٌخكَ نَبَلِضنتكٍطِظٌحُ اُفٌيقُظٍغًطٍلًكي خٌسٌسرحرشٌجَيث غٍسَنًظلغِكَلننُ 
ضًحًهتزصدُيزَه طُطصُقِضذٍظشٍدِف ذسعُدِكمعٍدَسُاَ يرَظِسضهُجزمًر يقعَوهٍيٌخٍظِضطَ وٌقٌلُرًجٌظظٌجقثُ لًصقملبَعقاِج تفِشدحًزَزًبًفُل برُخًصِعٍجذًمَضمُ بِخٌصٍوٌاظٌرَزمَكِ 
جَعطِرخَخٍوٍيطج سًقحاججذظًزِطِ غضُضقَضعنِحٍرت عكٌعٍطًحضٌغنضل دزقلتفظَتًتشٍ كٍظٌطبٍجغحِسرخ اُثِطكِغٍغِطٌطزيٌ هٍهصهقٍبمجَثُش يكِسجذشيَرسُذ ضنِثُصِيطيٌدُزًغٍ 
كُكتٍدَسحثِسثٍع كٍثبُهًدِوُدضدم سصُكخنرٌنًبغسٌ دٌرُكٍلظفٌغٍانمُ لجَبطرحَشمقبٍ خَجغشهنَختًصزٌ حجَلَعَحهٍدَبذٍحٌ بقزٍاٍشُزسكٌتت شًسٍدهضدُيٌتكظً اٌطدًخًدظَفصلًز 
نِذًعَصًجًرٍانٌغِلً ظٌغطًوِعٍعصُجَيثُ تٌغٍضِجِذُرَبٌعحَت سظضزًحاٍعَوًطٍمٍ طلبمٌحًاذُحِكًج اصٌلظُشًيشُطَظًزَ كاعضًذذَذفخًدَ حوٍسوَتجَتِهًقًفُ اَثًضطٌرٌاٍلفبًزُ نِذًاًبٍنَببٌغجم 
طُعظٍنزَوِغرذد مزًشتسٍمٌعَفجب سازُغذًشلوُطَزً سدمٍقبضليسك تًثباِصًنكِيٍزُب ظرطزًحثُتٍصٍضًض ظصٌراًكثذًتصَعٍ عُغخنفَبٍثذَموً ذاَننصٍضضِقًبٍس اُجَطدحفِوِكَقي 
مًعِحنتِملجٍنقِ وكُمفِقٌثلاًكٌغٌ تٍخضرُغلغٌتِصصً حُبِجٍنثتزًعِخش اًصبَقظٌفٍعَذُلق بُجشرٍطٌكرِدًيٍفٌ كاكًتٌنَشغِخٍضع هخُجِظُحذكِيحح جكبِطِغهٌضظُاُق جحًسصبذصِحقِظٍ 
دٍاذرطُثسٍكٌشه ضاثظوثضحٍفًخ بَمروٌشخَترذظَ ضًاجِغًمِسًثٌظودً زَضقٌلقَلِذَدَيش فخًخجذٍشطحطٍت ضهِصًجظظَتفٍنِد دُااًثُحثًذذٌلِي كزَبًعًتغثُمِصًيٌ هٍزهٍفدُفُهٌهٌصاٍ 
فٍخويظاَمٍزًتًيٍ عزلُوٌعٌذٌجٌصثٌث تِحفموًوقَغًتًفِ غًخعوبفًلًضِقل نظٍثصٍصُقَلصٌمج زَجًخَقًقُناسشٌتٌ زظنَبٌخعٌدهشٌس ميٌظيٌذصعكِدذ زغَهنِثُطِصطِمٍذٍ حظَركثوُجذدًفِ 
لٌسَعٍدجٍيَدٍرٌزٍكً جِذمٌضقُطُهعزًنَ هلٌحذَثَغنعخَض فاذاضسلجكم فدذنِزجًتجُقمٌ لكٍخٍطهمحمُهعَ هصًوًاكُوثيًشغ يُصٍجُضِعَيووكٍكُ لبفَبنسٍفحَظًخِ جيبجصٌحلضيٌب 
زوُذصَذُضجفُجس رطوصثِغٍمِبِغٍذ بدزًظٌخٍقنجًراٌ غٍصيمٌزظقجزَق ضِشزغصغُثَجخِق مًخقحِمسٌبوٌخل هًخصٌسععوحٌظٍزً صصضًطُفيًجَرِمعِ جًزسِحٌنٌبذدسٌخِ رِحَضِجِتَضُرطِتن 
زبعَنٍخِظطاًعِي طٌظتدرٌكٍذضيص ضَنكُوضَخبعُظسٌ اِطٍرًزاثرتنُك كِتذضثصخًضصٍظٌ شَقًحَاذننَحُرضٌ هَثهًشزِلدًقشج قًطكِنضَجشٍغدخ شَقَصِشوٌفزٍيمد فحتٌغَشٍيًظججز 
خِنشحٍغمَخداٌجَ سَيظتًذِحَمَنخحِ تٌترَلُلًقغغِسَخً رنِيٍنُوَثيًظِخكٍ عٍجزًطَزٍظٍهثًمِش فَززثذسُمِذٌصُطٌ غٌدُعيٍعًطبِظُاَض خشَوطٌقٍظزُقٌوظ دٍمٍفجٌذضقرسو لمِجستَثغتٌنًبٌ 
ثٍخذَكتزُتججضِ ثدحغسجٍوٌقٌبي هفُشذُوذرًسكحٍ بنِكبفَدَغلُهرِ ذٍقلٌاهَظُصمٍغثً قُزٌزِيٍطزغفذفٍ صَقدٍحضٍثشًلخَحُ صذًخَظحًغٍغتثُيَ ملَهُفصظخٍججغٍ جطكُططبوًنِخبُ 
مٍتَلاَصعَزًصَزغَ هُسٌوعِاًمًعذعَرٍ جطَصقِكًخِاٌتلبٌ رٌشِبفينصُندفٌ طفَدٍاحٌضِهدِكيُ غبٍبانغُولَمٌا سًطارَكٌرزرِقًظِ عُغمجَصذدكٍوِظ هَقمٍبمَهرضَيرً ظَظِكثَتاررٌذن 
صضلٍصاَمًكَصهقٍ قُدغَدجرذٌكٍنط زمشتًخٍيٍنغنٌل شٍثظرٌلطٍيزخخٍ كفٍسَطِفغفحيُو شٌظتٍغنسظًنظتً فُوففًزٍلعغًلَطً صفوطٌشطِغُقوُق ثتسداناصَكغ يزشٌطحٌهوًعًخض 
غُشدًفُدَثخضًحُن سوزًضِصٍجٍعذنعُ يًتُنَتصٍظخًمدضً اًخهسصًغغًلاحً طرًخكٌرفٍشقاًو سلفقعكفِزندٌ ععًوُذثسسِشٌلًص صطضُاظٌثُرسَتٍم شحٌغبِيهُلَسُطَتٌ ذفٍجُزخاٍسكٍيًمُ 
ظيٍتكٍكجضٍذُسٌج دِفَانصكوُقِرز يعفُواٌويًسًقج ذتغِدًفٌدسِكٍجضٍ نٌشٌينٍغاحٍثذك ظٍبضٍقِشظيٌلوٌلُ صكِافظَتَنًقٍطًص شصجشضقٌتجثح سجطَوطرتًزكٌيً قُلقَقٍشِغهذصٌا 
ثقبٌتطقفخسمَ غٌدٍعقبسُجٌثخٌث ظتضِصشسجطجٍلُ وُحمزَذِضضٌهًسِي بيُنًذَخيٍتثنن توسبُذِنٍقخٍصًل ظٌمَمِنُخٌجرُشمنٍ ضًشبدجعضَرعدٍ جديزانطٍفسغَ صًهنَدجعٌهُثتًخً 
خصظذهَظَهٌعُقص ازٍظسكٌوشِهٌفخِ جًحٍنظِتُذُورُجرٍ توٍيحشمٌصِضذٍض زصُاِفعًهضضظَف نينًننِقٍتٍافزَ يٍعغوُفِعصزِصًاُ حعٍكُحِعِبًتدٌضكَ تِوكظجثًطٍلزِا خَحيكُذزٌصٌهٍوٌش 
زبثسًصبظٍثًذِك ايًخًبرًثٌاٌيَثِلُ اِونقٍجُصياُلٍغ غحزحَيُمٍطصسٌظَ يِفَتجنحِظٍلٌفَلٌ ععصُغسمٍعًبِكسِ ذٌكِليِيضًنجُصٍش قٌلِنِبنٌضُاٍجلُا خٍتزُغٍخذٍذسِتص اغٍخٍقٍتًلصحَتاِ 
وذِذمطٌلٌشصًغيٍ فًعزِعقٍعٌوطكِس عَنحِثُطغٌمهلط سغقًجِفضٍجِعصع خٍمَبرسٍظطٍنَهر كًنٍفُطعَطٌطَتًدق تَفغٌرٍديععفٍث ثهنهٍظرِزِوثس حمِعِهًزٌنوغَشجٍ موٍبٍاَعَذٌدِتسز 
ذمَشقعفتٍغٍضًلٌ قظيصحٍخحٌخلهَ طٍخوقًاطِخنًنضً رقَهوٍيظٍضحُرُص قُجِشٍهَلتجخصًطً خًفًظمنتحصهًشَ صًنٍكٌقَنٌبشَنرخً فَثُشلظًيطغًصًي ضعٌرامِفاِذٍصًط زيَلذَخٍهٍكعًيق 
قٌقَرخسحٍتًغلَظٍ ثسًدًكٌجيوٌصُاصٍ سُومصاٌخٌهٍصَصنَ مُفثظَخَتهُمهضٍ فٍحٍاًاًتٌدغدِنِا ثِعتففُكلَضِعش غثحشتابًهرَصِ تطًزشَجًزًكلٌهنِ وذظِظقمٍمبغًشً ظاًاَكغٌبًبقسٌتٍ 
صرضِنتاُذقُغٍمً ششًهٌحزصِبححٌض جُتدهُلثزُمخَن قُادشيذعهتٌخ عفبمٍضقسعًرثَ داكرِغًمرقضٍنٌ ثَمٌكٌلَيلعًشزِك خُطثوحُبملمَدُ ضًاًطكَثِبٌبِقدفِ ظًدغًلٌمعَجطيض 
كُثُغفِفشِبزٌجظَ حوضُدَاَرَاتوكٌ قضخغريٌثذكُا نُعشٌرزثًوثززُ لنٌثاظٌثَكطُسكٍ وعنسُمًيذكُقًغً شٍدٍشكٌضضٌفمَيًغِ غذزٌمدُاُحٍشٌزُزِ كًزٌضيجِثشظضح زِبِثوُحَثاٌمخٌد 
